Renew,Brand Loyalty,Location Code,Years after high school graduation,Gender,Marital Status,Education Level,Monthly Income,City,Years subscribed,Active online hours
Yes,1.0825285126450521,Urban,46.0,F,Divorced,College,4369.429960963873,New Castle,4.0,5.031936132730591
Yes,0.39219600102064966,Suburban,39.0,M,Single,Graduate School,4254.054693235847,New Castle,3.0,4.5090984370917315
Yes,-0.37921674383651044,Urban,31.0,M,Divorced,Graduate School,4954.249033590351,Manchester,7.0,5.066670603304079
Yes,0.19548304085289114,Urban,49.0,M,Divorced,High School,3896.7660453100034,New Castle,2.0,8.32756451641238
No,0.01623468627690028,Rural,35.0,M,Married,High School,4265.3765064602585,New Castle,6.0,6.362353854854437
No,-0.3078844177484994,Suburban,22.0,F,Married,Graduate School,4457.711940620718,Manchester,5.0,3.034643711340032
Yes,-0.11429239650489098,Suburban,45.0,M,Married,College,3818.383012005923,London,3.0,5.075172869035583
Yes,-0.07995040601588406,Urban,35.0,M,Divorced,College,4954.266684450529,New Castle,5.0,5.498378356846508
Yes,-0.041351459995405015,Suburban,,F,Divorced,Graduate School,3232.575659147561,Manchester,4.0,6.149019999541631
Yes,0.24290040561150195,Urban,45.0,F,Divorced,High School,3847.1543357916908,Manchester,2.0,3.474897355395809
Yes,0.8838251611288463,Urban,42.0,M,Single,Graduate School,4626.947015116241,Manchester,4.0,6.531939695153313
No,0.13622849566812772,Rural,22.0,F,Divorced,Graduate School,4939.637261054428,London,4.0,6.719443499475542
Yes,-0.3410383568309222,Suburban,36.0,M,Single,College,5502.567295346209,London,3.0,6.058077811477562
Yes,-0.2174627321562919,Suburban,55.0,M,Divorced,College,4488.643633492946,London,5.0,4.557199550005412
Yes,0.08381534986761258,Urban,29.0,M,Divorced,College,4625.74761166281,London,6.0,5.6009589427609106
Yes,-0.11416918726925479,Urban,25.0,F,Divorced,High School,3309.622347393277,New Castle,4.0,
No,0.2727526776240343,Rural,28.0,M,Married,College,6160.6942749081345,New Castle,7.0,8.144738521701655
No,-0.25982119998853975,Rural,17.0,M,Divorced,Graduate School,4148.293036205982,New Castle,7.0,6.5946536572567895
Yes,0.10655250281095702,Urban,42.0,F,Divorced,College,5098.218819028294,Manchester,3.0,8.639621545465817
No,0.5258191882154309,Rural,47.0,F,Married,College,3157.0077589795355,London,6.0,6.383482562265183
No,-0.39631777450009764,Suburban,16.0,M,Married,High School,3767.9084446402894,New Castle,4.0,5.233653483191615
Yes,0.18582742794731855,Urban,39.0,M,Divorced,High School,4464.407679348471,Manchester,5.0,3.9939318389448997
Yes,1.0083677170433027,Urban,42.0,M,Divorced,College,4403.5047715025385,New Castle,4.0,5.507787744239415
Yes,-0.18429886435859583,Suburban,34.0,,,High School,3113.493988903787,Manchester,5.0,3.2275382893519815
Yes,-0.021359709025254775,Suburban,41.0,F,Divorced,Graduate School,2907.374602871606,London,4.0,6.433436559358773
No,0.055016940734541886,Rural,35.0,F,Married,College,3910.203991669451,London,2.0,4.414178076145056
Yes,0.19249849390457646,Suburban,38.0,M,Single,High School,4939.6727364374365,New Castle,6.0,6.40170138382257
No,0.09060471748770157,Suburban,10.0,M,Married,High School,4265.766527851534,London,8.0,4.965346023440091
No,-0.8484762311623874,Rural,32.0,F,Divorced,High School,5705.02956368279,New Castle,5.0,2.429928109168578
No,-0.03834902236145142,Rural,27.0,F,Married,Graduate School,4335.410843009692,Manchester,3.0,4.512126240150136
Yes,0.23073198493312735,Urban,37.0,M,,High School,6323.533632592427,London,5.0,4.710474437597659
No,0.1856484841848106,Rural,29.0,M,Divorced,College,5060.13208756733,New Castle,3.0,4.175553091427194
No,0.010529663385860116,Rural,39.0,M,Married,College,5140.118896004545,Manchester,3.0,4.335255385437792
No,-0.6523484785585902,Rural,11.0,M,Married,High School,5534.552381605419,Manchester,2.0,3.9242381010323997
Yes,0.7643412540708144,Suburban,42.0,M,Single,High School,4001.0245318664242,Manchester,4.0,3.7167170509913956
No,-0.2517278905021594,Urban,20.0,M,Married,High School,4312.689670993163,Manchester,4.0,3.792946419354058
Yes,-0.07660793278239189,Rural,35.0,M,,,4938.49650903184,London,3.0,3.5055974181369285
Yes,0.17399974474796992,Urban,40.0,F,Divorced,High School,2090.3010230975424,New Castle,4.0,6.103492063174978
Yes,,Urban,42.0,M,Divorced,College,4731.699438221524,Manchester,4.0,6.04282832705348
No,0.5471993498877863,Suburban,28.0,F,Married,Graduate School,5824.206194924102,New Castle,4.0,4.235913811548421
Yes,0.1493256058036158,Urban,27.0,M,Divorced,College,6455.321926944796,New Castle,8.0,4.7855954733477475
No,,Rural,34.0,F,Divorced,High School,4321.752034252242,Manchester,2.0,2.9820188920939694
Yes,-0.4209744052090296,Rural,35.0,F,Single,College,4046.238539527397,New Castle,6.0,6.883497699067977
No,-0.1260437657604149,Rural,16.0,M,Single,Graduate School,5452.798410569514,Manchester,3.0,7.227592823378801
No,0.024850293969133824,Urban,48.0,M,Single,College,3387.70854058972,Manchester,5.0,4.825442179180066
Yes,-0.2197177644460832,Urban,41.0,F,Single,College,3981.3093000243557,New Castle,5.0,6.48773871662405
No,,Rural,16.0,,Married,Graduate School,5275.2642187857,Manchester,6.0,6.504729566203122
Yes,0.3059351931742167,Rural,40.0,M,Married,College,5953.138019109432,London,4.0,7.488082484905377
No,0.06705658288296021,Suburban,37.0,F,Married,Graduate School,3959.310882597878,New Castle,2.0,6.541112902386083
No,-0.17521981087720284,Suburban,18.0,F,Divorced,Graduate School,4964.120517595096,New Castle,4.0,5.571408341859953
Yes,-0.06083144037478731,Urban,28.0,F,Single,College,,Manchester,4.0,8.176534635647831
Yes,0.5828208435235273,Suburban,55.0,F,Married,,2795.750843331548,Manchester,2.0,3.6132846329034427
Yes,-0.3194763725755647,Rural,41.0,M,Divorced,Graduate School,,New Castle,5.0,4.117026255419836
No,0.7380508012433353,Rural,50.0,F,Single,Graduate School,4453.6527059799155,London,3.0,3.685879503201634
No,0.09518826250753687,Suburban,26.0,F,Married,Graduate School,5714.46862048565,New Castle,4.0,5.2116935346841196
Yes,-0.01765405115770563,Urban,37.0,M,Single,Graduate School,3862.163474513525,New Castle,6.0,6.299627842645903
No,0.15770438340236587,Suburban,39.0,F,Married,High School,,Manchester,4.0,5.792908944307787
Yes,0.45276366357617515,Urban,,F,Divorced,College,5721.524490593618,New Castle,6.0,7.359567645070705
Yes,-0.22789577595294017,Suburban,24.0,M,Divorced,High School,5170.406692935125,Manchester,3.0,6.751046273195932
No,-0.013101409402845557,Rural,42.0,M,Married,High School,4500.7748051568715,New Castle,3.0,4.511807791272765
Yes,,Urban,41.0,M,Divorced,College,3488.770326617877,Manchester,5.0,4.906749759711356
Yes,0.2265066550331873,Urban,38.0,F,Single,Graduate School,4038.3462691019463,Manchester,4.0,5.325467028606138
Yes,0.2006028509553433,Urban,42.0,M,Married,College,4279.207888325766,New Castle,4.0,4.673954953488089
No,,Suburban,22.0,F,Divorced,High School,4861.184923371024,London,4.0,5.113146857065033
No,0.1987415100763833,Suburban,19.0,M,Married,Graduate School,3453.4732671978913,New Castle,8.0,6.365731162049348
Yes,0.5903027365084793,Urban,42.0,F,Divorced,College,2799.0631446349316,New Castle,4.0,4.381287527096845
Yes,-0.7692779379265164,Urban,34.0,F,Single,High School,4797.215160102245,New Castle,4.0,7.557104213566088
,-0.028135562011298937,Suburban,31.0,F,Married,Graduate School,5824.280017737074,Manchester,4.0,4.1246058146984
No,0.15958656750027578,Suburban,18.0,M,Married,Graduate School,4452.084491774071,London,4.0,4.36780013635848
Yes,-0.2736143843246358,Rural,27.0,M,Divorced,High School,4553.878546012648,London,3.0,8.0347007354136
,-0.8611822422994305,Rural,19.0,F,,College,2525.205912729861,New Castle,1.0,5.900972870568261
No,0.6996004855871794,Rural,39.0,M,Single,,5716.959397523803,Manchester,6.0,5.031573882873248
Yes,-0.05351532013907709,Urban,38.0,F,Married,College,2506.5790654557904,New Castle,5.0,6.155421857419426
No,-0.056036337405419315,Rural,36.0,F,Single,College,3737.9813976176197,London,2.0,7.745342521674846
Yes,-0.19223233698241143,Suburban,29.0,M,Divorced,College,5459.145453885339,New Castle,4.0,6.434247165681898
Yes,0.3609302369667868,Suburban,44.0,F,Single,High School,3128.252989585498,London,3.0,5.303384900671008
No,0.31166423394148046,Suburban,26.0,F,Single,High School,5978.474024917965,London,3.0,3.957839750372308
No,0.39750273334098485,Rural,27.0,M,Married,High School,5006.999131281936,New Castle,6.0,7.56228985495898
Yes,0.02775513245972283,Urban,31.0,M,Single,High School,4323.321193269804,New Castle,4.0,7.6758885202683445
Yes,0.15861422903006067,Rural,23.0,M,Divorced,High School,2108.8555906642237,New Castle,7.0,5.952161513743772
Yes,0.2197642372316143,Urban,50.0,M,Single,High School,3784.9409290320677,New Castle,,6.352234051695268
Yes,0.2517713235599734,Suburban,35.0,F,Divorced,College,4230.233846740802,Manchester,4.0,5.526028136237505
,-0.010353153481408472,Suburban,27.0,F,Married,High School,6373.725194857382,London,7.0,
Yes,0.12861171744254996,Urban,30.0,F,Divorced,College,6504.948934318021,New Castle,8.0,4.664650719115528
Yes,0.17602932484339373,Urban,39.0,M,Divorced,College,3797.6329231881173,New Castle,4.0,6.714275210421341
No,-0.03989392482498108,Rural,28.0,M,Divorced,College,4552.725110849171,New Castle,4.0,7.158837404244232
No,,Rural,29.0,F,Married,Graduate School,4767.881239956629,New Castle,5.0,5.32758556210958
No,0.07429670992525036,Rural,22.0,M,Single,College,1682.8672364050854,London,5.0,7.309861545630405
No,-0.4789899732078418,Rural,26.0,M,Married,Graduate School,3194.185422234422,New Castle,3.0,2.355209465351944
Yes,0.2285797814259347,Urban,45.0,F,Single,College,4378.843606784387,Manchester,4.0,3.9073791260139332
No,0.28561642896625544,Rural,37.0,F,Married,High School,4123.152869029406,New Castle,0.0,7.155648245499297
Yes,-0.5521128232965391,Suburban,34.0,F,Single,Graduate School,3265.955907005068,London,4.0,5.7386001129931
Yes,,Urban,39.0,M,Married,College,5119.9900703828525,London,,3.9426503011900023
Yes,-0.1168566646552324,Urban,30.0,M,Divorced,College,4886.068538753627,London,5.0,5.004705272351311
Yes,0.15458160915599523,Urban,22.0,M,Married,High School,4369.50739844725,London,7.0,5.623403477983154
Yes,0.38198380450793745,Urban,,M,Divorced,,4919.201686226725,New Castle,5.0,
Yes,0.4354716793563346,Urban,43.0,M,Divorced,Graduate School,3393.99724354543,New Castle,2.0,5.59854068454213
No,0.16831048213806116,Rural,20.0,F,Married,Graduate School,4203.628901315142,London,8.0,4.929657764723556
Yes,0.1488563771350927,Urban,36.0,M,Divorced,High School,6269.131610219164,Manchester,5.0,8.429488137907814
No,-0.8567284814943242,Rural,30.0,F,,Graduate School,5459.756315560537,New Castle,4.0,4.019653520599522
Yes,0.04187605959140922,Rural,36.0,M,Divorced,College,5124.262936813186,London,6.0,5.376971002406819
,0.2754509919065519,Rural,27.0,F,Married,College,4462.9862082156715,New Castle,,3.7755672395654147
Yes,-0.19263493547594981,Urban,46.0,M,Single,Graduate School,6363.641653729659,Manchester,3.0,4.530390901819502
No,-0.2746482319903751,Rural,22.0,F,Married,Graduate School,4300.2297822367655,Manchester,6.0,3.7726468052296322
No,-0.01858907426714089,Suburban,35.0,F,Married,College,5379.943979226878,New Castle,5.0,4.098742845012687
Yes,0.4859353082440341,Urban,34.0,F,Married,Graduate School,5248.744647283917,London,3.0,3.252520184356901
Yes,0.09530290351523785,Urban,25.0,M,Divorced,Graduate School,5198.02522061046,New Castle,7.0,5.948081298844159
No,0.009292341591488978,Rural,24.0,F,Married,College,4013.4958369827427,Manchester,4.0,5.211359633716648
No,0.0651734538136522,Rural,22.0,M,Married,Graduate School,6625.86307787517,London,6.0,7.60296448415822
No,-0.036809986974427306,Rural,25.0,F,Married,College,5187.103295036039,London,6.0,5.930672352192501
Yes,0.42158678165817287,Urban,41.0,M,Single,College,3986.275131421583,London,4.0,3.8027850896408357
No,0.1224771297705059,Suburban,33.0,M,Divorced,College,4907.0594715299,Manchester,1.0,5.212726349353433
No,0.5742543738601563,Urban,35.0,M,Single,Graduate School,5047.359240477184,London,2.0,5.907556231734375
Yes,-0.18708006888996448,Urban,28.0,M,Single,College,4174.110055020767,New Castle,5.0,6.311337534497247
Yes,-0.2620311572660513,Urban,27.0,M,Divorced,Graduate School,4676.674419180515,New Castle,6.0,7.311650480354043
No,-0.6204747640730394,Suburban,33.0,F,,Graduate School,6887.713688982265,Manchester,2.0,5.345517865498995
Yes,0.1682412320883137,Suburban,23.0,M,Single,College,5775.521842990327,New Castle,6.0,6.307282335474035
Yes,-0.36440132876725656,Suburban,23.0,M,Single,Graduate School,4228.0414074346445,Manchester,4.0,5.481098864235728
No,0.41719274319084043,Urban,42.0,F,Married,College,,London,2.0,5.82715493058709
No,-0.19782505748016188,Rural,14.0,M,Divorced,College,6650.576300781946,Manchester,4.0,5.950532455052749
Yes,-1.1411520711125007,Urban,14.0,F,Divorced,College,4390.885350496771,Manchester,7.0,3.595982125061936
No,-0.3995855139540156,Rural,32.0,F,Divorced,High School,4632.928867088983,London,4.0,5.953642029754611
Yes,0.13183501268138426,Urban,24.0,F,Single,Graduate School,3769.887719212029,Manchester,5.0,7.110419793441702
No,-0.1388140279167802,Rural,35.0,F,Married,College,3838.9328186895773,Manchester,3.0,7.241789618479621
No,0.03582116447814421,Rural,30.0,F,Married,College,3990.3380096729093,New Castle,5.0,7.331640161911562
Yes,0.06403939409718898,Rural,39.0,M,Single,High School,4926.090958793646,London,4.0,7.061538217531211
Yes,-0.15188551727727312,Urban,27.0,M,Single,High School,5199.032615046911,London,5.0,6.292403205832776
No,0.8640494553205635,Suburban,39.0,F,Married,High School,3090.1461368200307,New Castle,5.0,6.118668669903464
Yes,0.20661956938503784,Suburban,42.0,F,Married,College,3045.541350642622,Manchester,4.0,6.792973237608944
Yes,-0.4629166903826301,Suburban,22.0,F,Divorced,College,4968.581076787542,London,4.0,5.728396392239293
No,0.3526547470406813,Suburban,32.0,M,Single,High School,4936.652218674152,London,3.0,5.427578152963636
No,0.1178220240522655,Rural,27.0,F,Single,College,5064.984322303832,Manchester,5.0,5.964220665415869
No,-0.30321633606484344,Suburban,26.0,F,Single,Graduate School,4862.984981832697,Manchester,1.0,5.3450902931263675
Yes,0.46989214014793146,Suburban,41.0,M,Single,College,4751.187075465361,Manchester,5.0,5.555442497072118
No,0.15597956191236861,Rural,20.0,M,Single,Graduate School,,New Castle,4.0,4.431751592656283
Yes,-0.02641159321398269,Suburban,37.0,F,Single,College,3536.3714297513916,London,7.0,6.529825677949469
No,0.2544212079796934,Rural,23.0,F,Single,High School,4588.451156128421,New Castle,4.0,6.342332274819128
No,0.10485145200052767,Suburban,32.0,M,Divorced,High School,2767.8268198130554,Manchester,5.0,6.055089075036254
No,-0.3965200404272871,Rural,23.0,F,Married,Graduate School,6687.714001565246,Manchester,4.0,5.317762186316552
Yes,-0.2839676528531104,Suburban,29.0,F,Single,High School,3208.6712050695933,London,5.0,5.0157492935500905
Yes,0.2958177124231165,Urban,45.0,M,Single,High School,5989.429847136403,London,2.0,7.067604831750315
Yes,-0.03998668753199368,Urban,33.0,M,Divorced,Graduate School,5879.098369026753,London,4.0,6.874336396910578
Yes,,Suburban,49.0,F,Divorced,Graduate School,5453.973731936598,Manchester,3.0,4.9533460757583425
Yes,0.07952829440262582,Suburban,44.0,M,Divorced,College,3228.411149801845,Manchester,2.0,6.574831924418774
No,-0.1639437890043335,Rural,37.0,F,Married,High School,2722.1520535791437,London,5.0,6.996683199646488
Yes,0.6918334599885634,Urban,42.0,M,Single,College,4887.369501963517,New Castle,2.0,4.4528379344774764
Yes,-0.00328785282760527,Rural,55.0,F,Divorced,,3437.139273418745,London,2.0,3.945517496570607
Yes,0.2581114003715786,Urban,32.0,M,Single,College,6067.952353851591,Manchester,5.0,6.191190536194801
Yes,0.0758406041928383,,30.0,F,Single,Graduate School,3038.2239125457254,London,5.0,5.088079681005018
Yes,-0.025163701889932874,Urban,24.0,M,Single,College,4485.315577278516,New Castle,5.0,3.3686340616789785
Yes,0.24223168431957987,Urban,41.0,F,Divorced,College,4130.870589332214,New Castle,5.0,6.067658659244314
Yes,0.2951930276423871,Urban,41.0,F,Divorced,College,7363.42346463543,London,5.0,7.388144417987687
No,-0.33774187886674567,Urban,31.0,F,Married,Graduate School,3362.7579316108995,Manchester,4.0,4.566318238573357
No,0.6970332846022059,Rural,43.0,F,Married,College,6244.069983331124,Manchester,3.0,4.67583328673092
Yes,0.8856287543845973,Urban,42.0,F,Divorced,College,3770.4011576709026,Manchester,3.0,7.158130724866558
Yes,-0.006172292278659064,Urban,39.0,F,,College,5117.549353614627,New Castle,3.0,4.0957979461765905
Yes,0.8116618662636537,Urban,48.0,F,Divorced,College,4128.56068029165,London,4.0,5.155699872959115
No,-0.09911586760578642,Rural,21.0,M,Married,College,3803.9110181388323,Manchester,4.0,4.197739932420902
Yes,,Urban,18.0,M,Divorced,College,2941.4053731201093,London,6.0,5.67652698369304
No,0.3098634941375391,Rural,39.0,F,Single,Graduate School,4491.370249024494,Manchester,4.0,4.668636457812509
No,0.009822663586089658,Suburban,35.0,F,Single,College,3907.605085418365,Manchester,3.0,8.380194442645138
Yes,-0.05360023466576161,Urban,25.0,F,Divorced,High School,4854.008567515869,London,6.0,6.179694513266498
No,-0.29287087383312704,Rural,34.0,F,Married,Graduate School,3689.8931737203707,London,3.0,6.14431131680443
Yes,0.4057822586097646,Urban,35.0,F,Divorced,High School,4616.944927259791,New Castle,6.0,5.212381024002762
No,-0.33416834545445634,Rural,12.0,F,Married,Graduate School,4644.035055964161,London,7.0,3.6906712293909494
Yes,0.1903151309046897,Suburban,53.0,F,Divorced,Graduate School,4413.992267217708,London,3.0,4.718753133825144
Yes,0.9960921641954037,Suburban,57.0,F,Divorced,Graduate School,3981.8245783083244,Manchester,2.0,5.676585921933159
Yes,-0.3029185170632636,Urban,33.0,M,Divorced,High School,4937.14370562846,London,4.0,5.289397219943554
Yes,0.011811238287007975,Rural,38.0,F,Married,College,4692.162889334968,New Castle,2.0,4.455062080708693
No,0.34668093393772415,Rural,35.0,F,Married,College,3074.9747268132955,Manchester,4.0,5.511292907623717
Yes,0.05857179106056132,Urban,40.0,F,Single,College,1706.180079292756,New Castle,6.0,7.006647765861654
No,0.201728631374343,Rural,41.0,F,Divorced,Graduate School,,London,6.0,7.214489456016238
Yes,1.2229267044124514,Suburban,44.0,F,Divorced,High School,2583.9162061756647,Manchester,3.0,6.599526641102305
No,0.2890595460346569,Suburban,32.0,M,Married,High School,4834.816880280587,London,6.0,5.433520602273369
No,-0.6961062725417299,Rural,17.0,F,Married,Graduate School,3049.790476781125,New Castle,5.0,6.700281046717757
,-0.3142938826463799,Rural,14.0,F,Married,College,4624.978513780217,Manchester,8.0,
No,-0.3554248774110019,Suburban,20.0,F,Single,High School,4298.579072344542,Manchester,4.0,4.015951340204602
Yes,1.0562162863636375,Suburban,60.0,F,Single,High School,4007.4908350529904,New Castle,3.0,5.324237894185499
