age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59.0,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695.0,1,-1,0,unknown,yes
44.0,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483.0,1,-1,0,unknown,yes
49.0,unknown,married,primary,no,341,yes,yes,unknown,15,may,520.0,2,-1,0,unknown,yes
40.0,services,married,primary,no,-9,yes,no,unknown,15,may,920.0,2,-1,0,unknown,yes
41.0,admin.,married,primary,no,-306,yes,no,unknown,15,may,500.0,1,-1,0,unknown,yes
44.0,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911.0,2,-1,0,unknown,yes
60.0,services,single,primary,no,313,yes,no,unknown,15,may,920.0,2,-1,0,unknown,yes
29.0,management,married,tertiary,no,10576,no,no,unknown,15,may,1224.0,2,-1,0,unknown,yes
41.0,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156.0,2,-1,0,unknown,yes
41.0,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052.0,1,-1,0,unknown,yes
42.0,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867.0,6,-1,0,unknown,yes
36.0,services,single,unknown,no,281,yes,no,unknown,16,may,515.0,1,-1,0,unknown,yes
39.0,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813.0,1,-1,0,unknown,yes
31.0,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676.0,1,-1,0,unknown,yes
26.0,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143.0,3,-1,0,unknown,yes
31.0,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,,1,-1,0,unknown,yes
29.0,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803.0,1,-1,0,unknown,yes
37.0,services,divorced,secondary,no,49,yes,no,unknown,16,may,619.0,2,-1,0,unknown,yes
33.0,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767.0,2,-1,0,unknown,yes
24.0,technician,single,secondary,no,409,yes,no,unknown,16,may,912.0,1,-1,0,unknown,yes
50.0,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340.0,1,-1,0,unknown,yes
27.0,technician,single,tertiary,no,3706,yes,no,unknown,16,may,,1,-1,0,unknown,yes
54.0,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297.0,3,-1,0,unknown,yes
30.0,technician,single,secondary,no,863,yes,no,unknown,16,may,1193.0,5,-1,0,unknown,yes
34.0,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064.0,4,-1,0,unknown,yes
37.0,management,single,secondary,no,792,yes,no,unknown,16,may,1187.0,4,-1,0,unknown,yes
41.0,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882.0,1,-1,0,unknown,yes
47.0,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943.0,2,-1,0,unknown,yes
31.0,admin.,married,secondary,no,97,yes,no,unknown,19,may,607.0,1,-1,0,unknown,yes
31.0,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022.0,4,-1,0,unknown,yes
43.0,services,divorced,secondary,no,1040,yes,no,,19,may,552.0,3,-1,0,unknown,yes
37.0,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622.0,2,-1,0,unknown,yes
30.0,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967.0,6,-1,0,unknown,yes
41.0,technician,married,secondary,no,501,yes,no,unknown,19,may,579.0,5,-1,0,unknown,yes
36.0,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446.0,1,-1,0,unknown,yes
35.0,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205.0,1,-1,0,unknown,yes
29.0,services,single,secondary,no,271,yes,no,,20,may,1882.0,2,-1,0,unknown,yes
35.0,blue-collar,married,primary,no,102,yes,no,unknown,20,may,,1,-1,0,unknown,yes
31.0,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182.0,2,-1,0,unknown,yes
35.0,services,married,secondary,no,4170,yes,no,unknown,20,may,1777.0,1,-1,0,unknown,yes
34.0,technician,single,secondary,no,85,yes,no,unknown,20,may,1182.0,4,-1,0,unknown,yes
31.0,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045.0,1,-1,0,unknown,yes
44.0,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650.0,3,-1,0,unknown,yes
36.0,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063.0,2,-1,0,unknown,yes
35.0,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843.0,2,-1,0,unknown,yes
41.0,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,,2,-1,0,unknown,yes
31.0,blue-collar,single,primary,no,216,yes,no,,21,may,,1,-1,0,unknown,yes
34.0,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905.0,1,-1,0,unknown,yes
32.0,technician,married,secondary,no,791,yes,no,unknown,21,may,783.0,2,-1,0,unknown,yes
36.0,management,married,tertiary,no,849,yes,yes,unknown,21,may,958.0,2,-1,0,unknown,yes
30.0,blue-collar,single,secondary,yes,239,yes,no,,21,may,412.0,1,-1,0,unknown,yes
37.0,technician,single,secondary,no,1211,yes,no,unknown,21,may,795.0,1,-1,0,unknown,yes
36.0,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649.0,2,-1,0,unknown,yes
31.0,management,single,tertiary,no,825,yes,no,unknown,21,may,506.0,2,-1,0,unknown,yes
27.0,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857.0,1,-1,0,unknown,yes
34.0,retired,married,primary,no,4499,no,no,unknown,21,may,1681.0,1,-1,0,unknown,yes
30.0,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697.0,2,-1,0,unknown,yes
32.0,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860.0,2,-1,0,unknown,yes
37.0,technician,single,secondary,no,3326,yes,no,unknown,21,may,799.0,1,-1,0,unknown,yes
32.0,blue-collar,married,secondary,no,783,yes,no,,21,may,923.0,3,-1,0,unknown,yes
33.0,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521.0,3,-1,0,unknown,yes
35.0,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349.0,8,-1,0,unknown,yes
35.0,self-employed,divorced,tertiary,no,1354,yes,no,,23,may,736.0,2,-1,0,unknown,yes
30.0,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785.0,1,-1,0,unknown,yes
45.0,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030.0,1,-1,0,unknown,yes
45.0,admin.,married,secondary,no,149,yes,no,unknown,23,may,893.0,3,-1,0,unknown,yes
33.0,blue-collar,married,secondary,no,1464,yes,no,,23,may,588.0,3,-1,0,unknown,yes
44.0,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597.0,6,-1,0,unknown,yes
40.0,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015.0,3,-1,0,unknown,yes
31.0,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392.0,2,-1,0,unknown,yes
30.0,technician,married,tertiary,no,541,yes,no,unknown,26,may,414.0,2,-1,0,unknown,yes
44.0,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788.0,11,-1,0,unknown,yes
34.0,services,married,secondary,no,-538,yes,no,unknown,26,may,682.0,1,-1,0,unknown,yes
37.0,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679.0,2,-1,0,unknown,yes
28.0,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560.0,2,-1,0,unknown,yes
32.0,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234.0,3,-1,0,unknown,yes
37.0,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642.0,2,-1,0,unknown,yes
34.0,management,married,tertiary,no,2287,yes,no,,26,may,,4,-1,0,unknown,yes
38.0,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431.0,2,-1,0,unknown,yes
28.0,admin.,single,secondary,no,460,yes,no,unknown,26,may,741.0,6,-1,0,unknown,yes
31.0,management,divorced,tertiary,no,1145,yes,no,,26,may,1272.0,4,-1,0,unknown,yes
59.0,services,married,secondary,no,-22,yes,no,unknown,26,may,748.0,3,-1,0,unknown,yes
24.0,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896.0,3,-1,0,unknown,yes
,services,single,secondary,no,901,yes,no,unknown,26,may,764.0,2,-1,0,unknown,yes
59.0,retired,single,secondary,no,351,yes,no,unknown,27,may,1063.0,5,-1,0,unknown,yes
30.0,entrepreneur,single,primary,no,0,yes,yes,,27,may,1051.0,1,-1,0,unknown,yes
37.0,admin.,married,secondary,no,274,yes,no,unknown,27,may,731.0,3,-1,0,unknown,yes
30.0,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751.0,1,-1,0,unknown,yes
25.0,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709.0,1,-1,0,unknown,yes
44.0,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094.0,2,-1,0,unknown,yes
29.0,management,married,tertiary,no,314,no,no,unknown,28,may,938.0,2,-1,0,unknown,yes
26.0,management,single,tertiary,no,6840,yes,no,unknown,28,may,,2,-1,0,unknown,yes
26.0,technician,single,secondary,no,668,yes,no,unknown,28,may,,3,-1,0,unknown,yes
27.0,services,single,secondary,no,54,yes,no,unknown,28,may,543.0,2,-1,0,unknown,yes
25.0,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615.0,2,-1,0,unknown,yes
28.0,management,married,secondary,no,292,yes,no,unknown,28,may,507.0,1,-1,0,unknown,yes
23.0,services,single,secondary,no,665,yes,no,unknown,28,may,1183.0,1,-1,0,unknown,yes
34.0,management,single,tertiary,no,1058,yes,no,unknown,28,may,864.0,2,-1,0,unknown,yes
28.0,student,single,secondary,no,949,yes,no,unknown,28,may,1730.0,1,-1,0,unknown,yes
51.0,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560.0,9,-1,0,unknown,yes
35.0,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543.0,1,-1,0,unknown,yes
35.0,admin.,married,secondary,no,404,yes,no,unknown,29,may,539.0,1,-1,0,unknown,yes
56.0,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791.0,2,-1,0,unknown,yes
45.0,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,,1,-1,0,unknown,yes
60.0,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207.0,1,-1,0,unknown,yes
56.0,technician,married,secondary,no,589,yes,no,unknown,29,may,,2,-1,0,unknown,yes
27.0,management,single,tertiary,no,12956,yes,no,unknown,29,may,789.0,3,-1,0,unknown,yes
30.0,admin.,married,secondary,no,873,yes,no,unknown,29,may,792.0,3,-1,0,unknown,yes
45.0,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833.0,2,-1,0,unknown,yes
29.0,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814.0,2,-1,0,unknown,yes
38.0,management,divorced,tertiary,no,4692,yes,no,,29,may,,2,-1,0,unknown,yes
30.0,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109.0,3,-1,0,unknown,yes
44.0,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,,3,-1,0,unknown,yes
36.0,management,single,tertiary,no,7606,yes,no,unknown,30,may,917.0,1,-1,0,unknown,yes
38.0,technician,married,secondary,no,226,yes,no,unknown,30,may,762.0,3,-1,0,unknown,yes
36.0,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133.0,2,-1,0,unknown,yes
37.0,management,divorced,secondary,no,16,yes,no,unknown,30,may,638.0,1,-1,0,unknown,yes
35.0,management,single,tertiary,no,565,yes,no,,30,may,763.0,1,-1,0,unknown,yes
38.0,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604.0,2,-1,0,unknown,yes
40.0,services,married,primary,no,1082,yes,no,,30,may,854.0,2,-1,0,unknown,yes
42.0,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855.0,2,-1,0,unknown,yes
46.0,management,divorced,tertiary,no,14481,yes,no,,30,may,1269.0,1,-1,0,unknown,yes
35.0,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691.0,10,-1,0,unknown,yes
34.0,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097.0,15,-1,0,unknown,yes
32.0,services,married,secondary,no,-34,yes,no,unknown,30,may,1236.0,2,-1,0,unknown,yes
50.0,unemployed,married,secondary,no,3674,yes,no,,30,may,886.0,3,-1,0,unknown,yes
35.0,blue-collar,married,secondary,no,698,yes,yes,,30,may,1343.0,3,-1,0,unknown,yes
36.0,technician,single,secondary,no,4136,yes,no,unknown,30,may,812.0,3,-1,0,unknown,yes
53.0,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980.0,2,-1,0,unknown,yes
46.0,management,single,tertiary,no,2904,yes,no,unknown,30,may,984.0,2,-1,0,unknown,yes
26.0,management,single,tertiary,no,1004,yes,no,,30,may,,2,-1,0,unknown,yes
45.0,technician,single,secondary,no,410,yes,no,unknown,30,may,891.0,4,-1,0,unknown,yes
31.0,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,,12,-1,0,unknown,yes
29.0,management,single,tertiary,no,0,yes,no,,30,may,539.0,12,-1,0,unknown,yes
53.0,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044.0,5,-1,0,unknown,yes
27.0,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193.0,2,-1,0,unknown,yes
39.0,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526.0,2,-1,0,unknown,yes
36.0,services,married,secondary,no,2984,yes,no,unknown,2,jun,394.0,1,-1,0,unknown,yes
,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659.0,2,-1,0,unknown,yes
36.0,services,married,primary,no,0,yes,no,unknown,2,jun,1036.0,1,-1,0,unknown,yes
32.0,technician,married,secondary,no,696,yes,no,unknown,2,jun,815.0,1,-1,0,unknown,yes
35.0,services,married,secondary,no,152,yes,no,unknown,2,jun,,1,-1,0,unknown,yes
36.0,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068.0,1,-1,0,unknown,yes
35.0,management,married,tertiary,no,867,yes,no,unknown,2,jun,230.0,3,-1,0,unknown,yes
30.0,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747.0,2,-1,0,unknown,yes
42.0,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671.0,5,-1,0,unknown,yes
42.0,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555.0,5,-1,0,unknown,yes
32.0,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777.0,4,-1,0,unknown,yes
29.0,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707.0,14,-1,0,unknown,yes
44.0,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432.0,4,-1,0,unknown,yes
32.0,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173.0,3,-1,0,unknown,yes
31.0,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963.0,2,-1,0,unknown,yes
40.0,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941.0,3,-1,0,unknown,yes
43.0,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,,7,-1,0,unknown,yes
27.0,management,single,secondary,no,178,yes,no,unknown,3,jun,732.0,2,-1,0,unknown,yes
37.0,services,single,secondary,no,278,yes,no,unknown,3,jun,1045.0,3,-1,0,unknown,yes
23.0,services,single,secondary,no,425,yes,no,unknown,3,jun,,1,-1,0,unknown,yes
25.0,management,married,primary,no,168,yes,no,,3,jun,801.0,1,-1,0,unknown,yes
26.0,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482.0,2,-1,0,unknown,yes
47.0,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456.0,2,-1,0,unknown,yes
35.0,admin.,married,secondary,no,-87,yes,no,,3,jun,1363.0,7,-1,0,unknown,yes
32.0,technician,single,tertiary,no,6281,yes,no,unknown,3,jun,1336.0,4,-1,0,unknown,yes
45.0,management,divorced,secondary,no,644,yes,no,unknown,4,jun,633.0,1,-1,0,unknown,yes
30.0,admin.,divorced,secondary,no,377,yes,no,unknown,4,jun,524.0,15,-1,0,unknown,yes
29.0,services,single,secondary,no,-271,yes,no,unknown,4,jun,578.0,1,-1,0,unknown,yes
38.0,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984.0,2,-1,0,unknown,yes
23.0,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638.0,1,-1,0,unknown,yes
27.0,management,single,tertiary,no,99,yes,no,unknown,4,jun,767.0,2,-1,0,unknown,yes
27.0,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525.0,2,-1,0,unknown,yes
29.0,services,single,secondary,no,32,yes,no,unknown,4,jun,563.0,1,-1,0,unknown,yes
30.0,self-employed,married,tertiary,no,543,yes,yes,,4,jun,,6,-1,0,unknown,yes
36.0,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920.0,1,-1,0,unknown,yes
35.0,admin.,divorced,secondary,no,437,yes,no,unknown,4,jun,,1,-1,0,unknown,yes
36.0,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208.0,1,-1,0,unknown,yes
59.0,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,910.0,2,-1,0,unknown,yes
47.0,entrepreneur,married,secondary,no,0,no,no,unknown,5,jun,1446.0,1,-1,0,unknown,yes
58.0,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,,2,-1,0,unknown,yes
37.0,management,single,tertiary,no,240,no,no,unknown,5,jun,,1,-1,0,unknown,yes
46.0,admin.,single,secondary,no,849,yes,no,unknown,5,jun,508.0,2,-1,0,unknown,yes
43.0,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736.0,2,-1,0,unknown,yes
27.0,management,single,tertiary,no,703,yes,no,unknown,5,jun,590.0,3,-1,0,unknown,yes
38.0,services,divorced,secondary,no,61,no,no,unknown,5,jun,636.0,1,-1,0,unknown,yes
53.0,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701.0,1,-1,0,unknown,yes
47.0,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761.0,2,-1,0,unknown,yes
56.0,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558.0,1,-1,0,unknown,yes
41.0,housemaid,married,secondary,no,879,no,no,unknown,5,jun,1053.0,2,-1,0,unknown,yes
29.0,self-employed,married,secondary,no,425,yes,no,unknown,5,jun,562.0,15,-1,0,unknown,yes
50.0,technician,married,secondary,no,416,yes,no,unknown,5,jun,494.0,5,-1,0,unknown,yes
45.0,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018.0,3,-1,0,unknown,yes
35.0,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,,4,-1,0,unknown,yes
26.0,technician,single,secondary,no,639,yes,no,,6,jun,709.0,5,-1,0,unknown,yes
26.0,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276.0,2,-1,0,unknown,yes
37.0,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,,2,-1,0,unknown,yes
30.0,admin.,single,secondary,no,223,yes,no,unknown,6,jun,862.0,11,-1,0,unknown,yes
38.0,management,single,tertiary,no,619,yes,no,unknown,6,jun,460.0,4,-1,0,unknown,yes
37.0,services,divorced,secondary,no,319,yes,no,unknown,6,jun,467.0,3,-1,0,unknown,yes
53.0,technician,married,secondary,no,480,no,no,unknown,6,jun,648.0,2,-1,0,unknown,yes
,blue-collar,single,primary,no,213,yes,no,,6,jun,,3,-1,0,unknown,yes
35.0,management,single,tertiary,no,68,no,no,unknown,6,jun,1085.0,1,-1,0,unknown,yes
28.0,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369.0,2,-1,0,unknown,yes
55.0,blue-collar,married,unknown,no,7561,no,no,unknown,6,jun,685.0,3,-1,0,unknown,yes
49.0,management,divorced,secondary,no,-46,yes,no,unknown,9,jun,1055.0,10,-1,0,unknown,yes
50.0,services,married,secondary,no,1595,no,no,unknown,9,jun,882.0,1,-1,0,unknown,yes
43.0,management,single,tertiary,no,1046,no,no,unknown,9,jun,901.0,1,-1,0,unknown,yes
58.0,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700.0,1,-1,0,unknown,yes
38.0,technician,married,primary,no,217,yes,no,unknown,9,jun,491.0,6,-1,0,unknown,yes
48.0,blue-collar,divorced,primary,no,183,no,no,unknown,9,jun,940.0,1,-1,0,unknown,yes
59.0,management,married,secondary,no,1321,no,no,unknown,9,jun,3881.0,3,-1,0,unknown,yes
58.0,blue-collar,married,secondary,no,25,no,no,unknown,9,jun,486.0,3,-1,0,unknown,yes
36.0,self-employed,single,tertiary,no,4844,no,no,unknown,9,jun,1137.0,3,-1,0,unknown,yes
42.0,entrepreneur,married,tertiary,no,5345,no,no,unknown,11,jun,878.0,3,-1,0,unknown,yes
41.0,admin.,single,secondary,no,812,no,yes,,11,jun,583.0,4,-1,0,unknown,yes
42.0,admin.,married,secondary,no,105,no,no,unknown,11,jun,1159.0,4,-1,0,unknown,yes
39.0,management,married,tertiary,no,-190,no,yes,,11,jun,893.0,8,-1,0,unknown,yes
57.0,housemaid,married,primary,no,625,no,yes,unknown,11,jun,867.0,1,-1,0,unknown,yes
