Location Code,Hours Online,Monthly Income,Marital Status,Brand Loyalty,Sex,Years after high school graduation,Education Level,Renew,City,Months with Company
Rural,4.78906769650657,3172.6486251167034,Married,0.3591843331385164,M,36.0,,No,Mahasarakam,74.0
Urban,4.563353891894942,6055.9912422869,Divorced,-0.3480978515159113,F,26.0,High School,Yes,Udon,80.0
Urban,3.458622578304307,6534.607359603004,Single,-0.47274064567848717,F,28.0,College,No,Mahasarakam,74.0
Rural,5.9902073935188875,5579.705398243363,Divorced,-0.7167807404163087,F,33.0,Graduate School,Yes,Khon Kaen,90.0
Rural,5.4761157202737945,4819.138924068604,Married,0.13963183977697563,F,40.0,Graduate School,No,Khon Kaen,61.0
Urban,4.616551655125879,5884.757177806165,Married,-0.07878447706711417,F,26.0,College,Yes,Udon,56.0
Rural,6.369590476750706,6689.676882516638,Married,-0.4421132417381872,M,35.0,Graduate School,Yes,Mahasarakam,36.0
Rural,3.7049661648033014,5311.50547186131,Married,-0.3005401498310251,F,39.0,Graduate School,No,Khon Kaen,69.0
Rural,6.735064701546936,4525.693339850765,Divorced,0.40790784284668574,M,36.0,College,No,Khon Kaen,50.0
Suburban,4.359808006064564,4810.780369659407,Married,0.001074448094143865,F,30.0,College,No,Mahasarakam,51.0
Rural,3.3848132996889633,5804.081585002815,Single,-0.24305819669524953,M,32.0,High School,No,Khon Kaen,80.0
Suburban,5.347986577403789,4484.6447889186,Married,-0.4035140469601042,F,26.0,Graduate School,No,Mahasarakam,60.0
Rural,4.205691738974272,4928.92735673568,Married,-0.16459132356533906,M,28.0,High School,No,Mahasarakam,71.0
Rural,4.009297044544111,4840.107622067144,Divorced,-0.6660239429056533,F,22.0,High School,No,Khon Kaen,85.0
Suburban,3.91339266109622,5086.652117974013,Single,-0.38137399246000014,M,29.0,High School,Yes,Mahasarakam,68.0
Rural,2.714507728038855,5264.255738043919,Divorced,-0.15359142256952718,F,27.0,College,Yes,Udon,84.0
Urban,6.418729287527748,5726.974342940105,Single,-0.40546250268876705,M,36.0,Graduate School,Yes,Mahasarakam,100.0
Urban,3.971233362383455,5805.8886210303135,Married,0.7226319196561113,M,30.0,College,No,Khon Kaen,56.0
Urban,5.994099901618624,2547.0793542275283,Married,-0.7543024830223781,F,47.0,High School,,Udon,67.0
Urban,6.133865050783802,4696.0922620231895,Single,-0.18141889289429236,F,31.0,High School,Yes,Khon Kaen,63.0
Rural,3.2585018074250804,4320.989596198427,Divorced,0.34711189294081457,F,21.0,Graduate School,No,Udon,60.0
Rural,4.44021400108942,4026.2925784957865,Married,-0.5865794866882483,F,25.0,Graduate School,No,Mahasarakam,102.0
Suburban,3.854639716873751,4157.7502131169695,Divorced,-0.5741868357978784,F,18.0,College,Yes,Khon Kaen,78.0
Rural,6.560713733135989,3672.427712201655,Married,0.2238830808837213,F,45.0,College,No,Udon,49.0
Urban,6.033047584558808,5481.883576735694,Single,-0.2376460993811108,F,,College,Yes,Udon,71.0
Suburban,4.086142331940379,4834.922293630062,Divorced,0.14743115618809316,,24.0,High School,Yes,Udon,43.0
Rural,,,Divorced,-0.22970267327062038,F,27.0,High School,Yes,,70.0
Rural,7.69669612408235,3722.5074068125314,Married,0.2634113750463633,M,38.0,High School,No,Udon,
Urban,3.8852839493875324,5662.401780938839,Divorced,-0.34404573300738206,M,28.0,Graduate School,Yes,Udon,99.0
Urban,5.404433605824478,4744.618171329832,Divorced,0.283178407215786,M,23.0,Graduate School,Yes,Mahasarakam,61.0
Suburban,5.3837936739291425,6219.501658031016,Married,0.008115849445387235,M,44.0,College,No,Khon Kaen,59.0
Suburban,5.914364148353285,4217.565564386439,Single,-0.4971495626422985,F,26.0,College,Yes,Khon Kaen,58.0
Urban,4.9300863840853815,5425.182686697195,Divorced,-0.14228927969391558,M,27.0,,Yes,Udon,68.0
Suburban,4.957554834499703,1250.0,Single,,M,6.0,High School,Yes,Khon Kaen,60.0
Rural,6.042370435674156,5334.645629274741,Divorced,0.2594855033478929,F,35.0,College,No,Mahasarakam,78.0
Urban,5.636997771442476,4168.539796533669,Married,-0.020383104801168728,F,33.0,High School,Yes,Mahasarakam,62.0
Rural,4.351477038290361,6497.09703616701,Divorced,-0.6635489644710549,M,22.0,Graduate School,No,Udon,66.0
Suburban,4.667267563675172,4160.730328335878,Married,-0.10499811796896547,M,37.0,Graduate School,No,Mahasarakam,64.0
Rural,7.204842828421752,4257.198684812391,Married,-0.2393435303333909,M,50.0,High School,No,Udon,58.0
Urban,4.037955886451311,4771.859730628945,Divorced,-0.7196494635882491,F,22.0,High School,Yes,Khon Kaen,57.0
Urban,4.891843622296056,5356.203109805843,Single,-0.2463261375269472,M,24.0,Graduate School,Yes,Udon,55.0
Rural,,7166.726787707637,Single,-0.6616829862027027,F,34.0,High School,Yes,Khon Kaen,60.0
Suburban,6.390181884049367,4144.676622637801,Married,-0.7553733571407791,F,40.0,High School,No,Khon Kaen,56.0
Urban,6.66536853127017,4539.77291781352,Single,-0.77111574580374,F,31.0,Graduate School,Yes,,46.0
Urban,4.680183604639206,4766.57698330027,Divorced,0.06399699830094305,F,29.0,College,Yes,Udon,59.0
Rural,4.869358879231806,6314.76965506972,Single,0.194364385620423,F,40.0,College,Yes,Udon,76.0
Urban,5.80429796735646,5229.203260430853,Divorced,-0.7979505448449066,M,26.0,High School,Yes,Mahasarakam,22.0
Suburban,5.175224661564267,5272.1174503360735,Married,0.3291438333638108,F,32.0,College,No,Mahasarakam,32.0
Urban,5.019626187049141,4382.048445554126,Divorced,-0.6129677431583371,F,21.0,College,Yes,Khon Kaen,58.0
Rural,5.641910099465864,4187.736137901389,Single,-0.06477905778515589,M,28.0,High School,Yes,Mahasarakam,64.0
Urban,4.933482586357689,4314.758598172781,Single,0.1505693352498545,F,24.0,High School,Yes,Udon,88.0
Suburban,6.114800962737641,4872.767847905098,Single,-0.3066565736629753,M,23.0,College,Yes,Khon Kaen,65.0
Rural,6.337485272878597,4640.590586592303,Divorced,0.6864231978348804,F,43.0,College,No,Udon,70.0
Rural,3.6763659596341673,5712.039172420732,Married,0.7610789271072896,F,27.0,High School,No,Mahasarakam,69.0
Suburban,4.859466848335933,4527.600194880839,Single,-0.3253759963402723,F,23.0,College,Yes,Udon,50.0
Rural,5.250287849197056,6176.614125844688,Married,0.40542966177072487,F,26.0,High School,No,Khon Kaen,48.0
Suburban,5.38806149901472,3462.058145244779,Divorced,0.1824739526374516,F,20.0,High School,Yes,Khon Kaen,63.0
Suburban,5.53936170176233,6233.676696209224,Single,-0.0632122110742942,M,38.0,College,No,Udon,108.0
Urban,4.308611523882301,4556.122019616278,Divorced,0.3296718293186056,M,21.0,High School,Yes,Mahasarakam,49.0
Rural,7.052583515702078,4903.417308423868,Married,0.6910745165959199,F,45.0,Graduate School,No,Udon,51.0
Rural,5.858272897558059,5885.581723852306,Divorced,-0.002216318110352472,M,31.0,College,Yes,Mahasarakam,77.0
Rural,5.814579944831316,4813.784636435623,Married,0.2381503347476119,M,25.0,High School,No,Udon,112.0
Rural,5.772677086232305,4040.8512303881243,Married,-0.8056686787996894,M,33.0,High School,No,Mahasarakam,78.0
Urban,6.605257217207809,5076.435030354762,Divorced,-0.6127221402229217,F,29.0,Graduate School,Yes,Udon,53.0
Suburban,6.239009994709843,5769.3762952651,Married,-0.029105553678451773,M,39.0,College,No,Udon,85.0
Urban,4.952181412191445,4281.852361502263,Single,-0.8269955855715931,M,19.0,Graduate School,Yes,Mahasarakam,75.0
,2.1077288532816536,4892.042913599649,Divorced,-0.03530055071254054,M,18.0,Graduate School,No,Khon Kaen,35.0
Suburban,5.348513352183929,4777.769990876166,,-0.24120943546250856,F,27.0,Graduate School,Yes,Khon Kaen,92.0
Urban,5.279235213528905,6008.571293315546,Single,0.335859809545516,M,36.0,Graduate School,Yes,Khon Kaen,75.0
Suburban,4.883648743849017,3937.967796450024,Divorced,-0.7959337615919728,F,23.0,Graduate School,Yes,Udon,30.0
Urban,3.7385892791718085,3477.2481336342025,Married,0.21815833027767462,M,20.0,Graduate School,Yes,Mahasarakam,85.0
Suburban,3.8251006422547382,2810.583259549945,Divorced,-1.1086062862539026,F,30.0,High School,No,Khon Kaen,36.0
Urban,4.075961986277344,5836.883235050093,Divorced,0.5124234898428579,F,26.0,Graduate School,Yes,Khon Kaen,67.0
Suburban,4.704504837838919,6989.671186424016,Single,-0.07215411916748324,M,36.0,Graduate School,Yes,Khon Kaen,54.0
Suburban,3.4242784906309476,4322.02306152956,Divorced,-0.025266019049388078,M,26.0,High School,No,Mahasarakam,75.0
Urban,5.546532667545004,6235.215510689344,Single,0.39270415550673327,M,39.0,Graduate School,Yes,Khon Kaen,50.0
Rural,6.707681644618211,5185.787741527171,Single,-1.0447429461898914,F,35.0,,Yes,Mahasarakam,51.0
Suburban,3.9944232947909915,4402.709648506629,Married,-0.21135178262696996,M,28.0,High School,No,Khon Kaen,78.0
Rural,3.389073795536619,5352.534444148868,Single,-0.1085477181888807,M,30.0,College,No,Mahasarakam,56.0
Urban,3.676506111932115,,Divorced,0.5837894763126656,M,21.0,High School,Yes,Khon Kaen,63.0
Rural,3.2947467837049524,4996.351365352809,Single,0.5111165908093223,M,23.0,College,No,Mahasarakam,74.0
Rural,5.772165589862153,5316.6166598869595,Divorced,1.058563173144666,F,38.0,College,Yes,Udon,56.0
Urban,6.191199918751327,5351.045680453027,Divorced,-0.04153568440472585,M,31.0,College,Yes,Udon,68.0
Suburban,5.330020448258985,4303.811328679186,Divorced,-0.8225285810144642,F,21.0,Graduate School,Yes,Khon Kaen,48.0
Rural,3.6332091761675773,5360.001224239858,Married,-0.30097011196220846,M,21.0,High School,No,Udon,23.0
Urban,5.245888284274226,3969.557601403366,Married,-0.284119426623604,,23.0,Graduate School,Yes,,69.0
Urban,4.3183035066889195,4542.720591439311,Single,-0.16393959068752978,M,17.0,Graduate School,Yes,Khon Kaen,87.0
Rural,3.2617361437708348,3543.0346750159324,Divorced,-0.39628570904571425,F,11.0,High School,Yes,Khon Kaen,56.0
Urban,7.943818515242631,4077.996238210527,Married,0.297074238242544,M,46.0,Graduate School,No,Udon,76.0
Suburban,4.39223767866454,3539.5385297507237,,-0.10101961185413849,M,42.0,High School,No,Udon,51.0
Urban,5.050642575423539,3586.35864457927,,-0.455541644614052,M,34.0,Graduate School,No,Mahasarakam,74.0
Suburban,2.907375461444883,4170.104365396417,Married,-1.5,F,20.0,College,No,Khon Kaen,49.0
Suburban,2.3794389157784446,5582.400516633642,Single,-0.16108899154763323,M,17.0,High School,No,Udon,58.0
Suburban,3.6623637627110286,6101.694208354249,Single,-0.015041535741736362,F,29.0,High School,No,Udon,80.0
Suburban,5.504813235673465,4755.056005531085,Single,-0.5130684585041534,M,29.0,High School,No,Khon Kaen,79.0
Suburban,4.146339505376856,3702.8947471513898,Married,0.0520471765224986,F,17.0,High School,Yes,Khon Kaen,75.0
Rural,3.8165600128051587,6022.421882709427,Divorced,0.5232816726041931,M,20.0,High School,Yes,Udon,82.0
Rural,7.114703617518273,5484.055935909769,Married,,M,39.0,High School,No,Mahasarakam,39.0
Urban,4.330242266844952,3444.165821241778,Divorced,-0.12641561037847077,F,20.0,High School,Yes,Mahasarakam,73.0
Urban,6.784263827130198,5048.119808194343,Married,-0.2606218914985064,F,34.0,High School,No,Mahasarakam,21.0
Rural,3.925564544130392,4727.1082722048795,Divorced,0.5321767623335343,M,19.0,College,Yes,Mahasarakam,50.0
Rural,5.483244116291701,4270.637725351546,Divorced,0.2636061089751045,M,22.0,College,Yes,Udon,84.0
Urban,6.373267838181031,3917.9372337787045,Divorced,0.41588552374265975,M,25.0,High School,Yes,Udon,59.0
Suburban,3.4304127953255237,6407.690726532662,Single,-0.08475438289995149,F,20.0,Graduate School,No,Mahasarakam,49.0
Urban,3.867043864225483,5054.386953056743,Divorced,0.3707518245418271,F,25.0,College,Yes,Udon,58.0
Suburban,3.0163835973027373,4090.9430205735453,Divorced,-1.367981026280508,F,18.0,College,No,Khon Kaen,84.0
Urban,5.712375649280689,4325.202618741485,Divorced,-0.09960949217379861,F,26.0,High School,,Khon Kaen,70.0
Suburban,3.364473139777403,3389.3965652929546,Divorced,-0.2735496187754563,F,11.0,High School,Yes,Udon,61.0
Urban,4.734034064029212,5469.885686345966,Married,0.3056786024968897,M,26.0,Graduate School,Yes,Khon Kaen,64.0
Urban,5.036111240538007,5310.717822173634,Divorced,-1.1472235516888283,M,31.0,High School,Yes,Udon,54.0
Rural,,1969.2761033646957,Single,-0.44361435720311926,F,41.0,College,No,Udon,61.0
Rural,7.438810834998046,4491.603182951443,Divorced,-0.22043462439883604,M,38.0,College,No,Udon,64.0
Suburban,4.745514987731449,5034.233849055521,Single,0.3471213515058681,M,25.0,Graduate School,Yes,Udon,75.0
Rural,4.07663567115994,3533.877837536751,Divorced,0.8010962234186928,F,14.0,High School,Yes,Mahasarakam,66.0
Suburban,5.838823192371684,3600.0274257545207,Divorced,0.7635055904773477,F,39.0,College,No,Udon,107.0
Urban,5.706776386733974,4358.795625727051,Divorced,-0.3034940392502731,F,30.0,Graduate School,,Udon,73.0
Rural,3.3832027726861735,4429.910918875133,Married,0.0587299955812003,F,32.0,Graduate School,No,Mahasarakam,71.0
Urban,5.530011314786307,5045.215667661561,Single,0.15928225338005636,M,30.0,High School,Yes,Khon Kaen,62.0
Suburban,,3772.9587835262296,Divorced,-0.9532836697351617,F,16.0,High School,Yes,Udon,100.0
Rural,6.103040665429017,5746.427737198975,Married,-0.08254723915116571,M,39.0,College,No,Udon,65.0
Urban,4.268275353656759,4433.934621145051,Divorced,-0.7106847267110108,F,,College,Yes,Khon Kaen,61.0
Urban,6.855827084835961,6233.778147372729,Divorced,-0.8912707323758151,M,37.0,College,Yes,Khon Kaen,25.0
Rural,6.268146112969213,4579.028813164347,Married,-0.16286151462705534,F,45.0,Graduate School,No,Mahasarakam,64.0
Urban,,5764.047342443169,Married,-0.6298247439361818,F,27.0,Graduate School,Yes,Khon Kaen,21.0
Suburban,3.866961850070635,5116.2557349525205,Divorced,-0.2756797634398518,M,27.0,High School,Yes,Khon Kaen,79.0
Rural,3.9547467517578445,8205.910268767058,Married,0.9460388122634511,F,26.0,College,No,Khon Kaen,35.0
Rural,3.674190535291105,4927.201558940439,Divorced,0.39322616626111595,F,34.0,High School,No,Mahasarakam,70.0
Suburban,4.696856162787599,5026.678211749423,Married,-0.018446005658375203,F,26.0,High School,,Udon,67.0
Suburban,4.145252480965367,2497.082010080364,Married,-0.20923555242632969,F,,College,Yes,Udon,98.0
Urban,6.217149444600901,3942.4890592894626,Married,-0.21194199023136334,M,23.0,College,Yes,Mahasarakam,87.0
Suburban,4.7796737115783285,3370.691120038548,Married,-0.3838092498217741,F,37.0,High School,No,Udon,111.0
,3.9044532130138823,3449.0566750723815,Divorced,-0.6644545498570363,M,12.0,,Yes,Khon Kaen,34.0
Urban,4.468310880221468,5403.916974556129,Single,0.3632104385360413,F,31.0,College,Yes,Mahasarakam,64.0
Suburban,1.7674378683191518,4938.425410878266,Married,-0.34395482714062897,F,15.0,College,No,Khon Kaen,59.0
Rural,6.124562238588064,4132.789522097534,Married,-0.22315941678321505,F,41.0,College,No,Mahasarakam,52.0
Suburban,3.900684760117273,4440.537611694577,Single,-0.8814077882688658,M,20.0,Graduate School,Yes,Udon,55.0
Suburban,5.616088788997579,3384.439238187136,Divorced,0.03216085945774834,M,18.0,High School,Yes,Udon,95.0
Rural,7.1894072414065535,3508.402069974283,Single,0.18577291114324146,M,26.0,College,Yes,Mahasarakam,90.0
Urban,4.939094942963568,5188.730688321884,Single,-0.15434228673188333,M,23.0,College,Yes,Udon,66.0
Suburban,6.863825817403262,5504.158166238148,Divorced,0.5416470595359505,M,45.0,High School,No,Udon,38.0
Urban,6.243960477545484,5858.377981665782,Single,-0.7357992403893856,F,27.0,College,Yes,Khon Kaen,0.0
Rural,4.087261409297686,4273.544090400044,Divorced,-0.7582508126717062,F,40.0,Graduate School,No,Mahasarakam,65.0
Urban,6.560062732115052,6943.169035621962,Married,,F,37.0,College,Yes,Udon,83.0
Rural,5.949174486234534,6969.503150300527,Single,0.17300834833212858,F,42.0,Graduate School,No,Udon,
Suburban,3.800995582553282,5932.429292421828,Divorced,-0.07998520342446469,F,29.0,College,Yes,Khon Kaen,46.0
Rural,2.670643587190331,2955.807950502815,Divorced,-0.7043466793707359,F,25.0,High School,No,Khon Kaen,77.0
Suburban,,4262.994606459505,Married,-0.7250482191148986,M,33.0,High School,No,Mahasarakam,56.0
Urban,3.651141502538695,3911.365929746913,Single,-0.504877074494333,F,22.0,College,Yes,Mahasarakam,50.0
Suburban,4.659128639790716,4695.56703533357,Divorced,-0.3890023223847985,F,29.0,High School,No,Udon,34.0
,5.292321334074714,4260.838629417049,Divorced,0.35332082108926915,F,33.0,College,Yes,Udon,41.0
Urban,3.4591540657708255,5473.502992628833,Single,0.6073527413244642,F,27.0,Graduate School,Yes,Mahasarakam,35.0
Suburban,5.317659257788404,4406.300650376866,Single,-0.019845310546142275,F,24.0,Graduate School,Yes,Udon,74.0
Suburban,5.354225603183411,5886.269829642823,Single,0.36302732874849863,F,33.0,High School,Yes,Mahasarakam,64.0
Rural,4.100021201617059,4583.062758999666,Single,-0.15859799939591684,M,31.0,Graduate School,No,Khon Kaen,61.0
Suburban,5.1064090133015245,4307.639323998944,,,F,28.0,High School,Yes,Udon,61.0
Urban,4.697715303140321,4774.49740300279,Divorced,0.25718130506292,M,26.0,High School,Yes,Udon,55.0
Urban,4.454586911460865,4699.318497894135,Married,-0.6116887531666885,M,34.0,Graduate School,No,Mahasarakam,85.0
Suburban,5.408403801105433,3799.0385981086733,Single,-0.23611626298978478,F,22.0,Graduate School,Yes,Udon,68.0
Suburban,6.119488356781466,5195.302977491558,Married,0.7227430188525041,F,38.0,Graduate School,No,Mahasarakam,43.0
Urban,6.069361960170476,6362.202379967624,Divorced,-0.37591533491711493,F,40.0,College,Yes,Mahasarakam,73.0
Rural,5.900542566704404,4773.999762656877,Divorced,-0.629229154924928,M,28.0,Graduate School,Yes,Mahasarakam,67.0
Urban,4.343285684402257,6086.029043750681,Married,-1.1520519263737097,F,26.0,Graduate School,Yes,Udon,35.0
Urban,4.612406229171304,3866.883631535191,Single,-0.6353019946099133,F,28.0,High School,Yes,Udon,70.0
Suburban,5.614200565000871,5216.979483616483,Single,0.28060904614939686,M,30.0,College,Yes,Khon Kaen,56.0
Urban,3.5181801916361035,5599.779568885445,Single,-0.31069140937182904,F,29.0,College,Yes,Khon Kaen,50.0
Rural,4.488320964930636,5974.212694020662,Divorced,-0.34601282417257584,F,24.0,College,Yes,Mahasarakam,49.0
Urban,7.138129174979346,4883.7241840000015,Single,0.05958552370976722,M,34.0,High School,Yes,Mahasarakam,36.0
Urban,3.721508462495872,4157.9852812766285,Divorced,0.12890146711016034,M,20.0,College,Yes,Mahasarakam,34.0
Rural,2.41408418595959,4308.85388993561,Married,-0.9558784540884193,M,37.0,Graduate School,No,Udon,42.0
Urban,5.139369461853521,4508.575538513936,Divorced,-0.0145247443927152,M,24.0,College,Yes,Mahasarakam,66.0
Urban,4.253164209749854,5562.083841221066,Divorced,-0.5553994288414994,M,29.0,College,Yes,Udon,68.0
Urban,4.624543641355645,4981.4573044369,Single,-0.3915800119719528,M,18.0,College,Yes,Udon,71.0
Urban,4.429041799396514,5717.886388161344,Divorced,-0.05837946433208055,M,24.0,College,Yes,Udon,59.0
Urban,7.095960756475355,3755.040033253174,Divorced,-0.6382108108930626,F,28.0,High School,Yes,Mahasarakam,38.0
Suburban,5.428653232790688,3428.735567918973,Single,0.5136714730996714,M,25.0,High School,Yes,Udon,61.0
Suburban,7.369466909346014,6093.844967494972,Married,0.262148715515164,F,41.0,High School,No,Udon,41.0
Urban,3.7577310065630045,6701.046968844862,Single,0.8748893801536939,M,27.0,High School,Yes,Mahasarakam,44.0
Urban,3.7218516811386593,4096.497569844468,Single,,F,25.0,College,No,Udon,54.0
Suburban,5.5950486366167045,5251.429670051276,Single,-0.5550937368082913,F,31.0,Graduate School,Yes,Mahasarakam,56.0
Rural,4.408965620425105,5331.999573417072,Married,-0.10271654144987818,M,28.0,Graduate School,Yes,Mahasarakam,44.0
Urban,,3832.849705501486,Divorced,-0.6202942397130343,M,26.0,Graduate School,Yes,Mahasarakam,52.0
Urban,5.410800537869746,3538.765226414367,Divorced,-0.12427255814934485,F,23.0,College,Yes,Khon Kaen,70.0
Rural,3.990201844023634,4231.118767493603,Married,-0.49125479242481007,F,28.0,Graduate School,No,Khon Kaen,60.0
Suburban,4.611593317134028,4567.207918761784,Single,0.07088737915804712,M,33.0,College,No,Mahasarakam,70.0
Urban,4.482974177022576,3807.333372449328,Divorced,-0.1486301894393557,F,19.0,Graduate School,Yes,Udon,57.0
Rural,4.962021512381776,5198.467756343359,Single,-0.8927586262595888,M,19.0,Graduate School,Yes,Mahasarakam,60.0
Suburban,4.396343263975945,3757.43271086583,Divorced,-0.2843103122757671,F,18.0,College,Yes,Khon Kaen,76.0
Rural,4.539675823806324,4347.752613196709,Divorced,-0.006052962892733965,M,18.0,College,Yes,Mahasarakam,54.0
Urban,6.566976718355578,2924.6503162344334,Divorced,-0.22605484625193328,M,21.0,Graduate School,Yes,Khon Kaen,61.0
Rural,4.8336111188862025,5256.718772940125,Single,-0.5574858112890986,F,43.0,High School,No,Mahasarakam,47.0
Suburban,4.8931102291116435,,Married,-0.45537270242027994,M,26.0,High School,Yes,Udon,61.0
Urban,6.4986648175209405,2807.6792541907053,Divorced,0.1580741650054458,F,18.0,Graduate School,Yes,Khon Kaen,66.0
Rural,4.888765176085314,4991.908038089956,Single,0.503998081206285,M,30.0,High School,No,Khon Kaen,32.0
Rural,3.614712581280693,5068.096528002573,Divorced,,M,19.0,College,Yes,Khon Kaen,48.0
Rural,5.4624765885135975,5521.184781101503,Single,-0.33555236268606603,M,25.0,High School,Yes,Mahasarakam,44.0
Urban,5.200670504568781,6126.401689635565,Divorced,-0.006382240760869018,F,30.0,High School,Yes,Khon Kaen,26.0
Suburban,6.021598708449638,6886.891674721554,Married,0.02765881050790006,F,34.0,Graduate School,Yes,Khon Kaen,70.0
Urban,3.1781660747159615,5296.080383271975,Single,0.02576440096570165,M,21.0,High School,Yes,Udon,64.0
Suburban,4.991113488702882,4784.0325373558335,Married,0.5265976958819484,F,28.0,Graduate School,Yes,Mahasarakam,51.0
Rural,3.4444514645171584,5904.638331437391,Married,-1.077965806428001,M,22.0,High School,No,Udon,
Urban,5.5633836379901584,6024.080447301574,Single,0.6240361347259111,M,27.0,High School,No,Udon,86.0
Urban,4.637305747769289,4161.824659040845,Single,-0.8354408435719646,M,14.0,College,Yes,Udon,45.0
Rural,5.565569846044854,3477.2906487051014,Divorced,-0.49627333314768884,F,39.0,College,No,Mahasarakam,56.0
Suburban,4.414056176524276,5382.884980191325,Single,0.018553210742114606,F,30.0,High School,Yes,Mahasarakam,72.0
Rural,5.260107414738539,6843.62842367761,Married,0.09542203302953328,M,35.0,Graduate School,No,Khon Kaen,73.0
,4.041982223046139,4340.472158443277,Divorced,-1.0356137865195445,F,25.0,College,Yes,Mahasarakam,89.0
Rural,4.694428212753093,3264.1530270684048,Married,-0.49659709591840584,M,26.0,Graduate School,No,Mahasarakam,38.0
Rural,3.9166683153547948,4777.010926165391,Single,-0.6603358792089005,F,26.0,College,No,Mahasarakam,55.0
Urban,3.5886083077506914,5631.544384648655,Married,0.31173779575563354,F,27.0,High School,Yes,Khon Kaen,55.0
Suburban,3.840124515555389,5239.844630915568,Married,0.05791547518573327,F,44.0,College,No,Udon,49.0
Rural,5.7945556161086955,4648.479888785127,Divorced,0.6292143904413763,M,27.0,College,Yes,Khon Kaen,65.0
Suburban,6.223016476951543,4342.529567535744,Single,0.4631100618593879,F,39.0,Graduate School,No,Udon,83.0
Urban,6.075907893030981,4954.262814554134,Divorced,0.002992073644451476,F,33.0,College,Yes,Khon Kaen,62.0
Urban,3.9604239847301987,4914.296654409368,Divorced,-0.5522440314307119,M,23.0,High School,Yes,,59.0
Rural,6.2765032778307805,5671.27939874444,Single,0.22235898838363205,F,27.0,High School,No,Khon Kaen,61.0
Rural,5.30251079776135,5955.087242938276,Single,-0.18818581482282032,M,27.0,High School,Yes,Khon Kaen,64.0
Urban,4.818862889681969,4532.118798441087,Single,-0.9016291593563992,M,29.0,College,Yes,Mahasarakam,17.0
Urban,6.211204379239503,4674.427276802966,Single,0.3420822762706732,F,30.0,High School,Yes,Udon,44.0
Suburban,4.003407617843269,2724.4559483819344,Divorced,0.018285324969265576,M,13.0,Graduate School,Yes,Khon Kaen,49.0
Rural,6.622323887351174,5512.226463679048,Divorced,-0.2471340689549666,F,48.0,High School,No,Mahasarakam,67.0
Urban,3.458476349414739,3912.539286523527,Married,-0.15453557583298988,F,23.0,Graduate School,Yes,Khon Kaen,41.0
Urban,5.141641279132075,4198.354395941503,Divorced,0.11529578706588167,M,42.0,College,No,Khon Kaen,69.0
Urban,5.11617166819398,5116.451104175984,Single,0.28666884704993983,M,34.0,High School,Yes,Khon Kaen,
