Annual Income,Gender,Subscription score,Age,Marital Status,Brand Royalty
84771.42717329528,Female,82.99599888825378,34,Single,82.25412770398178
85868.68618599667,Female,71.94256200564487,31,Divorced,81.06168146851508
26658.68235379865,Male,28.780705452939813,33,Married,18.57028046455555
91873.64730636803,Female,71.92189020240613,70,Divorced,68.52453115818014
72716.14373709982,Female,22.55249481456675,51,Single,13.714120279571546
86835.04154086919,Male,78.6813459269984,36,Divorced,80.30737583370082
64429.560190816905,Male,23.01013549649892,60,Divorced,15.215233371313154
84626.33653454756,Female,69.06580291668303,74,Single,73.30709640742869
46989.53454688989,Male,31.810476262459108,50,Divorced,31.401165032854436
82267.56811646302,Male,79.37325263627952,67,Single,66.24055088414451
58066.95584994235,Male,17.221008961638958,50,Married,29.543254907079643
48946.48659419501,Male,28.518787162239338,58,Married,27.896346994819503
87758.20838287068,Male,75.21874248220375,76,Married,62.94974588669548
28972.037933414023,Female,27.245633591142884,37,Divorced,16.74988083385341
29174.868663659385,Male,24.31234731806188,42,Divorced,16.430931457448793
62209.4517570244,Female,39.80662918460895,30,Divorced,22.707789596401412
64490.5602280654,Male,33.94340888677673,31,Single,30.65263942751107
71593.52653051661,Female,18.59125142235637,36,Single,31.193456998332124
93656.88712328725,Male,77.57631577852808,35,Married,85.5057294581206
73869.0665310598,Female,16.965319306336315,26,Married,20.87266312899751
20340.51713219079,Male,25.74739383941364,42,Single,12.32198613942247
70823.16245508056,Male,27.090153763952927,57,Divorced,14.839170847946697
44355.71064955188,Male,28.777826571295183,58,Single,22.730506244614162
72827.64745062086,Female,29.343897330068604,50,Divorced,17.7664773844863
70662.23966496358,Female,23.416931891778326,27,Divorced,33.50271693464159
69729.10482646353,Male,28.95912135098324,27,Married,27.86408405952156
50004.14508482574,Male,30.195891267589257,54,Divorced,23.67930421815219
20359.836544584658,Male,30.18890945174212,42,Married,22.930167277287836
88541.59311358457,Female,73.52977556476885,68,Single,69.58343451358583
66472.47525156043,Female,25.82029203816917,53,Single,23.10112008027037
72587.09140670754,Female,39.76831499653292,24,Single,37.338960345516995
81292.59751015334,Female,73.02677507931438,70,Single,73.60544889152622
74906.72032154101,Female,50.61267586180504,34,Divorced,41.445803727783236
29074.96286854302,Male,2.397539964830048,40,Single,9.98785935202072
32724.15650495704,Female,13.363947793114061,42,Married,17.47448439953022
51228.780910867055,Female,23.729132624074744,55,Divorced,18.02210810332302
29912.384775187806,Female,24.084838927967994,38,Married,14.68684184442079
20979.736611651577,Female,21.78010144796988,34,Divorced,15.017690820760428
92895.18837959525,Male,82.44247863604608,67,Single,68.76182154820884
66183.02994793748,Male,13.93206385581167,48,Single,24.186012138396315
69369.02146633892,Male,33.711103518229145,33,Single,36.75568824989685
20312.769580073225,Female,19.043356161806365,32,Married,13.599379176885776
82900.22160663617,Male,83.22384385142219,33,Divorced,89.30538439092062
68964.15786542084,Male,24.55083703619624,59,Divorced,12.10803957637502
72243.98801205962,Female,43.96771864777146,26,Divorced,31.26814099281735
91383.28789156536,Female,65.58415544916643,72,Married,66.39888955239212
89702.24188404539,Female,73.2638820446181,69,Divorced,66.70665767225861
84403.92738459879,Female,58.36224112074898,66,Divorced,63.2748913882473
91384.67326238718,Female,71.10744479863776,69,Divorced,72.47775674042455
56658.73062329433,Male,17.337605477041834,53,Married,31.560461718430403
77706.6539863388,Female,17.688349049994873,47,Married,20.51726906958573
51750.100978881805,Female,14.079026712189512,52,Single,22.653062229521275
55577.195938475954,Male,34.12963417647928,61,Single,25.285919087074404
70969.83943050419,Female,9.05798198862206,65,Divorced,9.622086592561892
89639.19392326429,Female,81.13351557758311,62,Single,77.30240619281615
50409.85456961991,Female,26.408760672019085,48,Divorced,20.075729251490074
19721.371906857057,Female,38.51237649691488,39,Divorced,20.78067687629587
81134.92438535049,Male,71.85253023510485,33,Single,79.9057695936665
72474.10664330356,Female,13.860104559318177,59,Divorced,12.422205579010644
94898.54514798592,Male,82.45961161049263,34,Married,83.76730768114656
90557.24106999344,Male,67.28630742503583,27,Married,80.98597379689
29485.218144165454,Female,-8.323570882287337,39,Married,6.525384043406113
85192.60534631694,Female,87.92962699882287,26,Divorced,75.31544578371197
73726.57973298286,Male,32.35127842052784,25,Divorced,21.209327342323633
87689.9777516672,Male,69.57602854981285,70,Married,67.26020117561933
85606.42808123787,Female,84.86463638837428,25,Divorced,84.4448811909162
93029.72745985337,Male,86.46545336704553,29,Single,90.19815259205134
72918.89675253301,Female,26.350838077046507,29,Single,31.010906051223024
52284.78501665219,Male,29.2536040727423,59,Married,27.363302907197067
48333.58207191,Male,23.576143183194375,52,Single,35.5197869862899
30583.56809327793,Male,9.121501994419766,42,Married,15.660940815009496
51515.31693414568,Female,23.149855628875592,54,Single,23.7752266858851
27373.994481632006,Male,31.183853846196023,38,Single,15.443496761717483
77464.54599723851,Male,17.953500597666075,56,Married,21.581871274514725
74720.03911333875,Male,26.148303828343593,51,Married,16.71049831572857
30575.96980776472,Female,23.150796320512594,40,Married,14.460124575288788
80491.91122299722,Male,52.677107660875464,67,Divorced,65.9618356074148
75912.9786098786,Male,25.64447198728306,56,Married,10.822773458823974
53022.165565486706,Male,32.229964713170716,64,Divorced,20.737950772935363
76283.6947936916,Male,39.44830166460969,28,Divorced,32.27824826723689
59094.786320427265,Male,23.106235652365353,53,Divorced,28.593433660490987
78293.43736734668,Female,75.60082213177235,31,Single,82.78911228970216
28897.710669616397,Female,29.57165609323752,41,Single,11.162841720374935
92660.24410072382,Female,82.60685282465438,31,Single,79.5202899879921
65863.9157324543,Male,30.058073149712076,36,Divorced,28.70657185349328
24817.212332282987,Female,23.653938986104578,45,Divorced,14.9996257406086
58211.78964075283,Female,25.72264324650928,47,Married,23.58115306569139
76750.94463082094,Female,47.18510477722573,45,Married,21.633584491339256
79606.60632016324,Male,2.2234630778496287,55,Married,7.937952413650528
85933.79036080163,Female,80.92594414738389,35,Married,87.06162813592947
86922.28022420342,Female,99.7591466167066,36,Married,95.15761916093126
91616.15243689276,Male,60.185666506625104,76,Divorced,73.14278275162252
85391.12771894848,Male,61.84709957167406,65,Single,64.63416547098232
87434.3823945809,Female,69.73978281634196,66,Married,70.86700747105037
92163.12085246554,Female,68.0844414683507,63,Divorced,81.75502805091128
92554.4849548428,Male,46.472837346512264,76,Single,58.22414544006661
58462.11571713931,Male,-1.3020994597097655,53,Single,11.519720275828597
86269.54026754842,Male,64.12475183737281,63,Single,60.8502334299447
69934.75184832569,Female,39.85146007776129,34,Divorced,26.27829491213216
22371.06700487336,Male,11.601371153964891,38,Divorced,16.342834835384394
83236.68595507217,Female,100.1089127115028,30,Married,90.81599621600122
24858.637671499833,Female,7.188232565461893,37,Single,11.917347904931425
74869.0169692459,Female,22.14922406159932,52,Single,20.565892795928157
47334.13712647879,Male,28.227190388979473,53,Married,29.549164271172195
85548.13668558293,Male,62.966930797578506,64,Divorced,60.91851898823609
88381.89708510507,Female,75.5827668561783,34,Single,79.2342379965924
88249.76364955837,Female,77.95223219345468,69,Married,75.7321973281145
88857.41746022986,Male,92.34935967610194,31,Single,90.00210706613188
74291.78904787805,Female,-5.97556611107623,53,Married,10.340959185503031
66360.62119066906,Female,18.474707177092668,29,Divorced,29.16301451025354
72113.0981983672,Female,17.714479957413243,52,Divorced,7.588338719740712
31792.759262457548,Male,14.962701499763698,36,Divorced,15.251241314277586
25974.40165947422,Male,15.513080881108165,35,Single,12.077138219064658
65235.96957248226,Female,16.290056006968957,61,Divorced,17.31317090789159
25809.33235796223,Male,3.808649885759894,49,Single,8.96058554112254
92318.47007205294,Female,80.28737665432004,26,Divorced,83.03453324798464
28844.259242684646,Male,21.648465928936584,33,Divorced,14.489263687412233
47623.84042508462,Male,31.583272124124605,56,Divorced,26.623092330267767
66588.27068774155,Male,37.71488482530569,31,Married,25.8509801471728
75706.81373557156,Male,29.651383093987125,55,Divorced,11.58131443221724
71291.15302769319,Female,38.93041438258082,34,Divorced,41.63891805512054
28846.39298472317,Male,30.50211076171322,51,Married,26.502762377029953
72069.97721024553,Male,33.12291447084544,31,Single,26.93221600880775
52197.660415490645,Male,12.711521823700993,57,Single,11.590087579427745
87137.82558905042,Female,78.91662003085762,26,Divorced,88.21154157806497
72000.17761168446,Female,33.41217670266388,33,Married,27.23130747298145
29658.925038318193,Female,19.333083437636983,35,Married,23.772299133713908
69367.46231854318,Female,8.816852556798647,54,Married,18.058287676223692
69372.25876311403,Female,31.29069253580095,32,Married,38.16527791182503
67466.82499259815,Male,31.054216854197474,32,Married,29.850003226746708
89896.88172993199,Female,46.2824853262274,69,Married,69.59618998817866
22464.66086459824,Female,26.651209883760952,40,Married,22.579215168676157
23825.35453140387,Female,17.346857250073608,39,Single,23.319304273002835
97560.35392579196,Male,83.38715565029663,24,Divorced,81.7102790607691
86282.06129611588,Female,90.38509497644456,27,Single,95.0571099200186
77424.66772507,Male,10.136689011577406,58,Married,16.59152323679473
77901.99277456224,Male,19.95570432583176,37,Single,23.425742821958316
24310.56912757545,Male,25.760911432915403,37,Divorced,12.717272211295509
80460.8886968017,Female,7.244164860267752,52,Single,15.546950324269197
90984.21226689385,Female,58.91174280348724,74,Married,62.77907128171103
88738.73951672857,Male,88.22535273112167,31,Divorced,85.46571094886217
27530.848554643395,Male,9.909146721703186,41,Married,12.203835696663582
26773.927555738475,Male,25.951384194298896,43,Married,22.207906844549974
24173.673754838674,Female,10.40130335350047,34,Married,28.48004832215406
80371.97876951241,Female,93.22643180271699,35,Divorced,82.75011039996222
90262.21610895325,Female,70.45227438492748,30,Married,89.45719100730236
89088.95437260339,Female,83.49337883390741,31,Single,81.5190779261611
91703.499195856,Female,83.19898554972062,31,Single,84.96742991012226
76398.2960429086,Male,-3.200102225404393,60,Divorced,10.742240546702398
87348.90342171355,Male,72.36005532220892,64,Divorced,70.94626884155994
22913.274793443576,Male,24.636801997717388,29,Single,16.98459267907092
89310.75843800789,Male,75.41299733267313,73,Married,68.5991897198123
77264.73380928431,Female,19.87849996962589,58,Divorced,11.833959365859656
68417.92221272635,Male,27.763397911713195,60,Single,20.680072421151664
90773.54472359849,Female,86.58581329880504,29,Married,88.15910167299344
71942.20520785298,Male,38.73848910523794,35,Married,33.906433307484875
90968.96376206858,Female,101.18764805542128,28,Single,90.43804164337385
81225.41224061398,Female,87.50986929160123,30,Married,87.21675419301037
55724.6247225475,Female,28.015255041390372,60,Divorced,32.234709458607625
87368.45940231238,Male,97.08965720227488,33,Divorced,89.85958308265579
46776.46036457789,Male,29.952055470994548,49,Married,26.109773739140415
26739.03519116676,Female,19.73380976460209,36,Married,21.83895704667227
86646.47227184473,Female,82.65247759454236,31,Single,86.60799850068281
89630.98061578651,Male,83.20965190516436,34,Divorced,82.55760311344714
79747.83317372242,Male,43.313053696558555,22,Single,30.076483361943424
72930.01717023454,Female,28.89751624358494,32,Single,34.84572896855039
69647.27416794527,Female,10.32670833738773,59,Divorced,15.386691759976742
94148.1964147054,Male,76.05685313056878,28,Married,93.55343082693945
66652.26293824453,Male,48.477292201238,30,Single,39.136410564708946
87689.67876529903,Male,66.54842300121112,61,Single,68.05321760355707
87393.18864844117,Male,80.68199851528135,28,Single,88.65070126259835
96973.46262789906,Male,74.39071864166738,66,Married,69.81546443538956
92916.29778761488,Female,116.93110504948612,26,Divorced,99.27117913969992
74513.39907536106,Female,13.101479549636924,31,Married,35.46992929597695
74564.7413313661,Female,3.3231102949991964,57,Divorced,15.175148866156185
86746.39228477397,Female,49.13509774594138,75,Divorced,60.309204746308936
72628.5272419734,Female,42.35465913447904,32,Single,38.9539910149406
90330.31701633606,Male,56.710174131984694,66,Married,60.12585561425647
73200.79680112647,Female,41.021846957694244,21,Divorced,37.57385205264903
74458.90769618718,Male,18.895967192100972,50,Divorced,10.117527498542998
88031.2604533835,Female,78.10396862473686,72,Divorced,68.46766909909243
75234.52929733215,Female,22.229601236090893,24,Divorced,25.690793559889883
26154.261279838414,Male,27.074779054132772,50,Single,23.901418587142267
75506.49139062023,Female,0.3232991851513969,53,Married,10.243522909725861
68598.80365986307,Female,5.558328730586927,51,Single,7.974726281127268
47916.42928329562,Male,20.68402767279848,59,Single,29.524898516539288
85966.40723805396,Female,88.37675153148416,32,Single,90.13839658496724
69340.63918401375,Female,17.502703616765068,59,Single,20.939346835151504
63243.04966705618,Male,21.974746214690796,33,Divorced,29.814614656251024
99212.53322646444,Male,57.45809390440114,60,Married,73.17805514698117
87631.67233676199,Male,77.19755667802592,78,Single,76.64057706741217
74069.13539676188,Female,37.54585741091491,21,Divorced,29.911240439384102
49644.827064518395,Male,2.1318855690459735,59,Divorced,29.381456020530962
91119.89507927353,Male,94.20795011171111,28,Married,90.7398400147402
96923.73245356427,Male,62.96397041529163,70,Divorced,62.87838861953479
87848.50848949357,Female,62.284253306954156,63,Single,67.65654546209122
74613.59568786222,Male,39.497042062827006,25,Single,38.7754196079168
69853.00501983125,Female,15.081725199754551,50,Single,13.45417218739172
80877.27357898757,Male,16.23690257475089,48,Married,18.1077605418942
33914.19092132909,Male,33.178509747525936,39,Divorced,12.15788432925261
51902.81446133443,Male,32.53906562977701,51,Married,32.52277234772026
56783.104435980174,Male,17.39410411900443,56,Divorced,19.87405151415919
82059.28280740844,Male,22.21468673285225,54,Married,18.245557768561532
79439.45437589877,Female,18.71260090762695,63,Married,12.214546319011134
88280.6234137799,Male,45.30777435468811,66,Single,62.63073361305787
69546.4356895591,Male,38.63541814970177,22,Divorced,26.676976917823602
86382.55678229305,Male,74.49129190275546,70,Married,70.95091508245255
66787.79544549287,Female,7.161421107810487,26,Married,27.424132803328654
53861.020619206414,Female,10.879014750967874,56,Single,26.493528806502837
91447.46258681075,Female,66.20635572226657,70,Divorced,67.89497679887933
73376.01615654316,Male,49.26175421947723,33,Divorced,38.042076679795976
79738.44263301254,Female,79.25898418573499,30,Single,87.46053765842265
90518.18443548857,Male,90.12209531769074,36,Married,88.67234034676484
92009.24187555094,Female,66.10009639400789,67,Married,70.60574808063414
50478.30378860201,Female,27.682855185984163,50,Divorced,30.883284569150696
77580.82740974873,Male,27.9464742953607,31,Married,27.520716361576966
88688.03937273611,Male,82.46834751650516,30,Divorced,84.34456407860912
89312.0323841337,Male,64.95644239312071,65,Married,71.55654622698431
32127.164270240464,Female,29.02494498849783,40,Divorced,15.488696060731506
92812.35737139198,Female,63.42481052476759,65,Divorced,70.66516874378608
46340.44996402625,Male,24.42262681729022,51,Divorced,14.56595165753319
81508.77267312244,Male,40.91411779502553,33,Married,35.51122435806404
17100.138122859295,Female,26.389638984644968,30,Divorced,16.8912606326125
78773.27976909543,Male,18.73574543297386,46,Single,21.385864518838822
79278.2880771785,Female,42.11124036722859,34,Married,35.335868717196696
73392.93644675206,Female,16.932628673162604,31,Married,24.94671845650759
58741.68624738864,Male,18.359586381505043,67,Divorced,17.94576649008083
73194.43513439348,Male,33.914921570591126,29,Single,26.43004970995836
87690.53840592441,Male,93.07540497352964,32,Married,91.81379902596854
91348.86201745676,Female,77.98632989716911,28,Single,72.44095222039098
73071.80999620931,Male,-1.148584793130679,54,Single,12.64180767845339
94589.0009144158,Male,63.70101874318591,64,Single,65.42312647899355
82242.57769366063,Female,20.24397041054016,62,Married,15.227683809582068
29781.265009265015,Female,21.086514448428122,41,Divorced,26.07598592529191
87106.1403291138,Female,68.5755792547202,29,Married,85.65711367931726
79595.81675724726,Female,95.03633522204909,24,Married,81.92823124643944
69777.0833270619,Male,27.312444383827426,23,Married,35.646407578261986
30420.841897283288,Male,29.854367547452334,30,Divorced,19.3303841322966
71980.98725367099,Female,5.764485079744295,55,Married,3.353819011295741
72409.84140602648,Female,9.996752789327736,51,Single,11.023927024631504
84252.2951382021,Female,89.86429609675248,70,Married,64.65024901027671
56694.80204330028,Female,13.250153528100277,53,Single,17.5930217076857
24826.15097435438,Female,19.236394357096078,37,Divorced,17.19234847539763
51557.597588563105,Male,33.32439358694657,50,Divorced,29.90260901632361
90600.76445230795,Male,79.24864827601837,66,Divorced,73.97943338548845
30508.569232841466,Male,38.964429054851045,43,Married,22.606311982012727
86770.57396434364,Female,66.99872188798781,76,Single,73.80946657258697
80853.15651590507,Male,27.642115158098846,54,Divorced,26.114652977297773
65793.26701634831,Female,46.576511700688954,30,Single,30.43217767395877
34082.63807685457,Female,5.564991455678014,43,Divorced,14.487896024382778
43642.79734060716,Female,41.53099410684397,49,Single,32.03917343135797
78351.20706936359,Female,21.166399233653838,54,Single,4.54253117804393
24333.032214247032,Male,10.188410158168477,33,Divorced,10.40397830007214
81318.38472103883,Male,97.05387885780002,26,Married,92.99339115245022
53508.6212129146,Male,18.858504815302897,60,Married,18.869406823932877
70704.94230934778,Male,15.819777576664249,51,Divorced,16.087283696487724
70385.99730012659,Male,44.97487425603599,25,Married,45.86450589566478
97135.35033076484,Male,40.256544138079434,77,Divorced,67.13966869676148
68889.55676145814,Male,33.492736148185315,42,Single,22.60336780142272
25597.323032964952,Male,14.151199773409697,31,Divorced,18.085105897959615
71263.74729865322,Female,30.009172711839685,29,Divorced,31.522748459753167
48710.359369127764,Female,32.929335661887364,49,Married,32.6696710574913
24257.06470672026,Male,20.067519468187886,42,Divorced,14.563675671592726
88599.56784102587,Male,54.58654863814189,71,Divorced,59.2524732866258
25073.258091029238,Male,24.94366895781663,34,Single,13.130923710770546
55899.56653839522,Male,29.16753246050774,47,Divorced,25.362640104735306
72067.9181364819,Male,30.551520803488213,56,Single,15.888683624989191
89466.19452271098,Male,91.05281227386033,32,Single,89.65805505257029
33620.68595980665,Male,19.47612577109194,47,Married,20.99965501381824
77079.52472212023,Female,51.87755151402397,28,Single,43.54012699993674
80671.44649526941,Female,7.360068921827214,49,Divorced,17.901922546140348
49252.773464522514,Male,18.61935497341378,57,Divorced,20.722499957203823
25041.1234487506,Male,11.093714370305129,37,Married,11.949546596651992
89410.67807117489,Male,67.37662691206937,21,Married,78.53714144880598
75662.64024232756,Male,96.24753877002512,36,Divorced,81.29934716706413
65489.01364093027,Male,44.08187517030408,25,Single,34.73171057805543
89223.10953246508,Male,63.68280541064889,66,Married,64.18034262831353
47754.19758027041,Male,32.377418806075504,58,Married,28.07303885951675
77567.75066044688,Female,31.74371024027297,59,Divorced,17.870902431113322
88684.6889179064,Female,76.36485602136705,31,Married,95.66027891175739
51688.82178841757,Female,32.16885809019429,62,Married,26.259947464869228
91137.30213016158,Female,68.09205226907329,69,Single,63.3062671414972
28844.767799966205,Female,9.70147313936571,38,Divorced,12.72380206682196
87645.41926872532,Female,73.41462811076596,72,Single,70.53487680564342
81942.14518882355,Male,108.86591118421534,28,Divorced,97.67901743026675
47641.85339369574,Male,31.316181000392547,52,Married,24.21999548813708
82666.68853652671,Female,60.30471185075916,69,Divorced,66.53959922779623
27929.446795314412,Female,-6.091797637524234,37,Single,19.626018948237352
73850.27561596902,Male,24.239175272387513,37,Married,24.371210779598805
79865.57387624978,Male,83.89861691275175,36,Divorced,79.67585994562275
75380.7355398782,Female,26.74438586384265,54,Divorced,13.091163886240622
25726.548103278175,Male,15.787302955227076,39,Single,2.1727309996775404
74925.49394039586,Male,11.003628425937606,59,Single,16.744364993133217
67005.67746801696,Female,26.849812827606755,50,Single,15.631255090206203
78813.6735869305,Female,1.167195193051949,60,Single,14.027567943742184
79378.80217161617,Male,2.49349418858597,58,Married,10.422576708090503
28554.868095735532,Female,21.4567876995935,31,Married,28.587515720005086
97801.83671595073,Female,71.3133209807598,73,Married,72.60098432258829
56479.75112980118,Male,16.20046385059661,55,Single,23.573727791615468
25747.0053140726,Female,7.781463441808919,32,Divorced,9.678558863018033
47759.64713918873,Female,28.913013947627416,49,Divorced,28.327783059551507
71984.97493849866,Male,55.5515494873327,34,Divorced,41.499365139547805
74150.76405787445,Male,23.000744932419735,54,Divorced,21.488626225455207
40699.21095793735,Female,35.32933970951271,46,Married,33.8833069424368
70902.36349490404,Male,13.79578162419612,54,Divorced,17.843481147610646
65501.61833569482,Male,32.1471422991318,36,Married,23.850732952827997
75338.43566119547,Female,18.7842378967346,26,Divorced,24.43833366812111
89428.94685091045,Female,67.45041278239594,71,Divorced,64.15728312137519
97342.41139547568,Female,52.629760934230966,73,Married,61.037011155997526
41675.60076825561,Male,22.57164572286788,55,Married,23.424385026765748
78427.21353464642,Female,7.408630971355544,53,Single,8.262513295248766
45150.315737212484,Female,45.3594673849197,60,Divorced,26.677301446448837
86865.32368444378,Male,101.70009542915216,24,Divorced,87.82362911892754
24216.561784503625,Female,20.515686830830187,34,Married,17.2312364319124
71360.820056689,Female,21.980612438729096,26,Single,37.45790635644353
93226.82234948059,Female,95.77067118308551,28,Married,83.50022434362339
76318.90709762894,Male,10.42171319371458,60,Married,20.482131756628604
46900.995088573145,Female,35.42227067715709,56,Divorced,32.66670197654253
86505.69749690441,Female,80.89226335939223,34,Divorced,84.4989709880748
26527.875592501085,Female,27.777159443502047,41,Married,21.130227228310055
50662.03734980036,Female,18.706313460085788,43,Married,32.082473726063164
73070.8028980694,Female,26.28752584967487,27,Single,20.501518493178175
83838.78914295461,Male,1.9457424600280504,55,Divorced,22.433525552097237
76766.2861973056,Female,36.25378372893204,35,Divorced,37.78420733174531
94161.16886984595,Male,98.95749031789904,35,Married,95.4533990384981
87028.821836211,Male,52.632483406864786,67,Married,64.44483375526956
77090.94621365165,Female,1.4416941393098464,57,Married,6.970198164343458
76897.78628452156,Male,34.411653483855986,48,Married,16.65466260098794
89605.67346545786,Female,91.36394596852432,36,Married,79.63812092261499
51892.85392625421,Male,35.509255020342664,49,Married,29.039130102361383
86876.89310517145,Female,85.05363168880558,31,Married,69.39416976994536
51155.49184169203,Female,30.649258439709392,45,Single,31.42407748059619
71442.15384677387,Female,38.25833715208131,30,Single,32.40190877840867
23166.208692583285,Female,8.09962033986589,40,Married,16.210985959627564
24868.201169332402,Male,31.984122276905993,41,Married,18.674805554767268
85770.39211971704,Female,91.96239731564033,34,Single,86.39173914244526
25626.06080510407,Male,2.7572171144889266,43,Single,2.9508150591513385
74720.07948774176,Male,26.660870096164565,53,Married,14.92641469326346
71715.49887926932,Female,27.866975450462803,55,Married,17.634736977596617
26902.84105468708,Male,12.236571355652591,32,Single,5.103995942726499
43906.13959857485,Female,32.044432940932786,57,Divorced,27.83646761808427
73912.39480269629,Male,38.499050885763424,37,Married,34.8732044149681
91048.20593307815,Male,56.563587466695594,64,Married,71.011319758151
86076.61060957659,Female,90.91807501771436,32,Divorced,86.97089623851157
41728.686750863286,Female,30.351457467720962,52,Single,30.78272867146493
84199.77327770216,Female,68.43735066787386,70,Divorced,74.71400411572552
71125.19654703872,Male,7.011819773582962,52,Married,22.013211953301145
88548.30705984063,Female,82.33494817884068,33,Single,75.39101331730343
46661.42756427558,Female,8.965580351261519,53,Single,24.26894117487585
69751.74993434123,Female,46.09148043075614,30,Married,42.39613881925837
76679.1678003222,Male,-5.264218463526774,47,Married,8.453637175629048
