City,Renew,Active online hours,Education Level,Years after high school graduation,Location Code,Marital Status,Gender,Brand Loyalty,Annual Income,Years subscribed
Udon,Yes,4.401579578996231,High School,25.0,Urban,Single,M,-0.20976611593932742,55870.44177549865,3.0
Udon,Yes,5.413299197951424,High School,35.0,Suburban,Single,,0.14399492498561256,45453.200280534045,5.0
Udon,Yes,5.320529469399144,Graduate School,34.0,Urban,Single,F,0.13704942750148086,57131.76976698875,5.0
Udon,Yes,4.95582501292965,High School,28.0,Suburban,Single,F,-0.36394263129493987,55073.86683403578,6.0
Mahasarakam,No,2.1720203929204716,High School,22.0,Suburban,Married,M,0.12317013206573274,59211.59857847409,5.0
Udon,Yes,5.886884142543801,College,45.0,Suburban,Single,F,0.059999142426176655,34019.64299203962,5.0
Khon Kaen,Yes,6.392555508337008,High School,38.0,Urban,Divorced,M,0.20912331769357867,22902.61477709696,4.0
Mahasarakam,Yes,6.040474223356372,High School,37.0,Suburban,Divorced,M,-0.39970252586830035,50290.52608524337,6.0
Khon Kaen,No,7.071498008302881,High School,42.0,Rural,Married,M,0.33412027417772083,41600.020772469565,5.0
,Yes,5.9897923931413874,,35.0,Urban,Divorced,M,-0.23341775169919401,37040.12050213374,6.0
Udon,No,7.546573668866093,Graduate School,43.0,Rural,Married,M,0.009715838587932818,62398.757846718865,5.0
Udon,Yes,4.941080647457107,College,41.0,Urban,Divorced,M,0.337221806354403,47235.37076519441,7.0
Khon Kaen,,4.8742960112474965,High School,29.0,Suburban,Married,F,0.04179287335881088,45550.523328603995,6.0
Udon,,3.279963671973907,College,13.0,Rural,Divorced,F,0.2695311895386443,50336.57453319438,
Udon,Yes,5.61056608086232,High School,35.0,Urban,Divorced,F,-0.23243294715813306,55311.67238662671,6.0
Mahasarakam,No,,Graduate School,18.0,Rural,Married,F,-0.5711746010291567,48982.67475990649,4.0
Udon,No,,High School,31.0,Rural,Married,,0.3628870924217751,64440.70894604453,6.0
Udon,Yes,6.006725937708061,College,33.0,,Divorced,F,-0.18039757815340368,77998.85025203087,5.0
Mahasarakam,No,2.400466342928338,High School,19.0,Rural,Divorced,F,-0.3320928736306834,42240.1661442161,4.0
Mahasarakam,No,6.274358607579822,High School,38.0,Rural,Married,M,0.31911196623914273,32227.75391657852,6.0
Udon,No,5.374669596109868,College,29.0,Rural,Married,F,0.16507387812481822,36612.462042977975,
Udon,Yes,7.1871866339560135,High School,37.0,Urban,Married,F,-0.3947314373910277,60927.56485800034,
Mahasarakam,Yes,6.005773872004092,High School,45.0,Urban,Divorced,F,-0.15083965315171563,71072.5984660116,3.0
Udon,No,9.330791736242166,High School,35.0,Rural,Married,M,0.3486073804395893,61802.00691725928,6.0
Khon Kaen,No,5.512888729106458,High School,26.0,Suburban,Married,F,-0.03724149574323321,63674.335328185975,4.0
Khon Kaen,Yes,7.18386336035092,College,42.0,Urban,Married,F,-0.7677567133998103,63782.233804152376,6.0
Khon Kaen,Yes,7.78993360984545,High School,,Rural,Single,F,-0.5001495691222002,56486.07523791885,
Mahasarakam,Yes,6.800952895805058,High School,36.0,Urban,Divorced,F,-0.3909870303186827,39419.25439493454,6.0
Mahasarakam,Yes,5.185473885946829,,40.0,Rural,Married,F,0.38567649810486293,44288.16707788447,7.0
Udon,No,4.426897421631375,Graduate School,24.0,Suburban,Married,F,0.074700871727575,65460.753617304275,5.0
Udon,No,2.435599419734166,Graduate School,22.0,Rural,Single,M,0.4466725447842108,18394.027952847893,5.0
Khon Kaen,Yes,4.022141877240989,Graduate School,36.0,Suburban,,F,0.2484373448163278,51664.219219252496,6.0
Mahasarakam,No,5.607548326685742,High School,27.0,Urban,Single,M,0.10092438744136972,54651.94466900471,3.0
Mahasarakam,No,4.668500808076747,Graduate School,26.0,Rural,Divorced,M,-0.350220025493269,42340.41088619405,6.0
Khon Kaen,No,5.353754718976916,High School,25.0,Suburban,Married,M,-0.5583770974582336,53066.286494024775,7.0
Khon Kaen,Yes,3.815974755039665,High School,41.0,Urban,Single,M,0.38577130167883056,50181.57300893186,3.0
Mahasarakam,Yes,6.178021754589966,College,31.0,Suburban,Divorced,F,-0.07595499666349215,41247.70830290656,6.0
Mahasarakam,No,5.539207393178786,High School,36.0,Urban,Married,F,0.5086025913797347,35060.217434862,5.0
Mahasarakam,No,6.3182137971008565,High School,33.0,Urban,Married,M,0.2462732846461937,70742.00462224016,3.0
Khon Kaen,No,6.14492251860768,College,36.0,Rural,Divorced,M,-0.13015385011164624,20457.641683094393,6.0
Khon Kaen,Yes,2.0234510596028783,College,38.0,Urban,Divorced,M,0.9576147148812855,52714.69890253247,7.0
Udon,No,4.0051872364306575,College,28.0,Suburban,Married,M,0.6098324924542201,49452.88134046008,5.0
Mahasarakam,Yes,5.756167090880972,Graduate School,47.0,Suburban,Married,M,-0.3795124001717227,55032.88258650808,5.0
Mahasarakam,Yes,3.451259394100089,High School,41.0,Urban,Divorced,F,0.4974479830652445,59950.16851330543,7.0
Khon Kaen,Yes,4.184226441750659,High School,32.0,Rural,Divorced,F,0.5505143035782478,42764.88344236478,
Mahasarakam,Yes,4.6854734082518465,High School,40.0,Urban,Divorced,M,-0.09705346412310013,53064.75143705201,5.0
Khon Kaen,Yes,5.499666364099981,Graduate School,34.0,Urban,Married,M,-0.005739997693076371,57875.89553136795,5.0
Khon Kaen,Yes,5.044661712330473,High School,40.0,Urban,Divorced,F,0.24770565220130636,72178.28302376182,5.0
Khon Kaen,Yes,6.199685023826929,College,38.0,Urban,,M,0.2683569092431453,69183.92552103243,4.0
,Yes,4.842418596720573,College,40.0,Urban,Single,M,0.44563462394332176,60972.141847275634,5.0
Mahasarakam,Yes,6.3160893080283795,College,31.0,Urban,Divorced,F,-0.4835204367848702,54181.690812058936,3.0
Udon,Yes,5.411955408148412,High School,41.0,Urban,Married,F,-0.41966332434365394,76904.67797663446,7.0
Mahasarakam,No,3.339319271135586,Graduate School,19.0,Rural,Married,M,,76628.95698393212,5.0
Khon Kaen,No,5.810013532801855,Graduate School,,Rural,Divorced,M,-0.7424758984298876,70915.737910725,5.0
Mahasarakam,Yes,6.06060604197293,High School,31.0,Suburban,Divorced,M,-0.10023570720950895,42499.09388755724,6.0
Khon Kaen,Yes,5.028817820180171,College,26.0,Urban,Married,F,-0.24726502920258844,52484.94775338979,7.0
Udon,Yes,5.70269212610158,High School,36.0,Urban,Divorced,M,-0.2681969440821576,32595.214674540974,3.0
Udon,No,6.523898012319192,Graduate School,34.0,Rural,Married,M,-0.17266419344654613,46605.180798070025,
Mahasarakam,Yes,4.2317761585841165,College,41.0,Urban,Single,F,0.5340755776335147,64260.078461791374,4.0
Khon Kaen,No,3.0388648470736404,College,14.0,Suburban,Married,M,-0.2922944173168604,43420.96659447759,4.0
Udon,No,5.074117889014964,High School,28.0,Suburban,Divorced,M,-0.7796980433802542,61541.75055097598,6.0
Khon Kaen,Yes,5.896468609984524,Graduate School,34.0,Urban,Single,F,-0.14232283444370247,62828.938209473,4.0
Mahasarakam,No,4.4358579931258015,High School,35.0,Rural,Married,F,0.7931941226879297,55795.530213162325,7.0
Mahasarakam,No,3.8629169448706904,Graduate School,33.0,Suburban,Married,F,0.0060870569874104385,65021.22983834849,5.0
Khon Kaen,Yes,4.251411750760013,Graduate School,,Urban,Single,M,0.3956769020358534,49913.14003548483,6.0
Mahasarakam,Yes,4.537538350973449,Graduate School,40.0,Rural,Divorced,M,0.42084251334377265,47917.963156265476,7.0
Mahasarakam,No,3.66127010965426,Graduate School,23.0,Suburban,Married,M,-0.3631951115899037,46766.57051876008,6.0
Udon,No,4.097177925674134,High School,23.0,Rural,Single,F,-0.0005854411940311444,50676.05723118567,4.0
Khon Kaen,Yes,6.562549464424427,High School,41.0,Rural,Single,M,0.04066485044206197,94554.98052505715,6.0
Mahasarakam,Yes,4.590892133817472,College,41.0,Urban,Single,M,0.15772662248145347,46805.30942801491,6.0
Udon,No,6.746104102839888,High School,28.0,Rural,Single,M,0.4885859044558074,58864.820824704846,8.0
Mahasarakam,Yes,4.841393622784221,Graduate School,38.0,Urban,Divorced,F,0.3833424917764595,46464.95001519983,5.0
Mahasarakam,No,4.8729215493652465,Graduate School,30.0,Rural,Divorced,F,0.5886107829650867,42853.342072127634,6.0
Khon Kaen,No,2.825122038046361,Graduate School,16.0,Rural,Married,F,0.4720406579569706,58742.863410020815,7.0
Khon Kaen,No,5.6958958189590465,Graduate School,29.0,Urban,Divorced,F,0.49769303406586374,62169.215580592245,5.0
Udon,Yes,6.949843372081517,Graduate School,37.0,Suburban,Divorced,M,-0.1821889370106157,61724.412859821874,6.0
Mahasarakam,Yes,4.04049321018858,College,37.0,Urban,Divorced,F,0.33554630328147583,35425.05008579409,5.0
Udon,Yes,5.8211114269886775,High School,34.0,Urban,Single,F,-0.3765225559013917,56384.79836765742,4.0
Khon Kaen,Yes,6.701750509060117,,36.0,Urban,Divorced,M,-0.07414646216378817,71620.4701824795,4.0
Udon,Yes,4.846089750574172,College,32.0,Suburban,Single,M,-0.09736482956993767,63532.30668472927,4.0
Mahasarakam,Yes,3.5707140191907327,College,37.0,Urban,Divorced,F,1.0202512775839254,46463.072504737196,5.0
Khon Kaen,No,4.964198847784884,High School,36.0,Rural,Married,M,-0.17016740623234786,64501.1108024557,5.0
Udon,No,9.242486708827254,,50.0,Suburban,Married,F,0.41344291162877467,67594.88782771933,6.0
Mahasarakam,Yes,4.915673597190612,High School,35.0,Urban,Single,F,,41462.771483665754,2.0
Khon Kaen,Yes,5.651859086481762,College,36.0,Urban,Divorced,M,0.1758007612436573,57790.283622802155,4.0
Mahasarakam,Yes,4.467637601530382,College,34.0,Urban,Single,F,0.23507472707693317,48609.812099993804,4.0
Udon,Yes,4.876007673065811,College,35.0,Urban,Divorced,F,0.21066126903964977,53229.53319061745,5.0
Mahasarakam,Yes,3.0573021019484394,High School,35.0,Urban,Married,M,0.3572918359542214,52700.7897915534,6.0
Udon,Yes,4.611829070800616,Graduate School,30.0,Rural,Single,M,-0.2688459882852166,62948.777455068564,5.0
Mahasarakam,No,8.395940596558367,Graduate School,34.0,Rural,Married,M,0.23069270393259306,73352.45028974078,6.0
Khon Kaen,No,4.549603101047352,High School,34.0,Rural,Divorced,M,-0.16207813861947465,43619.96526412395,4.0
Mahasarakam,No,5.656904106104493,College,38.0,Rural,Single,F,0.22911324858233595,63578.31604874296,4.0
Khon Kaen,No,6.169638656905995,Graduate School,40.0,Suburban,Married,M,-0.2782125433146605,83458.93883132764,4.0
Mahasarakam,No,4.273982410177846,College,19.0,Suburban,Married,F,-0.1929952541859542,50971.36597593336,3.0
Khon Kaen,Yes,2.575051193613238,High School,,Urban,Divorced,M,0.9995423603198628,65206.45046554645,6.0
Udon,Yes,4.853999359616463,High School,36.0,Urban,Married,F,0.20641052735381382,83517.64193214555,5.0
Udon,No,6.3626248604739875,Graduate School,,Suburban,Divorced,M,0.037358525531885955,49849.82396388791,5.0
Mahasarakam,Yes,4.539140750061476,Graduate School,30.0,Urban,Single,F,-0.05129237746721205,68542.30783096413,6.0
Khon Kaen,Yes,7.747756274015639,Graduate School,44.0,Urban,Divorced,M,-0.8630073705055701,49574.49092337381,3.0
Udon,,8.340101124640524,High School,36.0,Urban,Divorced,M,-1.0156780250568425,55447.14125170075,6.0
Mahasarakam,Yes,5.426305668306688,High School,25.0,Urban,Single,M,-0.4324702756650731,48846.718357125494,5.0
Khon Kaen,Yes,7.289407374015385,College,38.0,Suburban,Married,F,-0.4569277540983028,36575.40956489346,6.0
Khon Kaen,Yes,6.564300502609856,High School,34.0,Suburban,Single,F,-0.39582677995066984,78889.19159582676,5.0
Khon Kaen,No,5.663336314510854,High School,39.0,Suburban,Divorced,F,-0.19875362357124407,77077.87293133745,4.0
Udon,Yes,4.37761674947439,College,43.0,Urban,Divorced,,0.2611719748243955,38417.81569708096,4.0
Mahasarakam,No,6.9774602521950575,High School,33.0,Suburban,Single,M,-0.18108646932210473,45405.02489929384,6.0
Mahasarakam,No,4.94526393805117,High School,43.0,Rural,Married,,0.3119686175969799,41862.81767032428,5.0
Mahasarakam,Yes,7.098825316366607,High School,33.0,Suburban,Single,M,-0.549590867515534,56593.80187155967,7.0
Khon Kaen,No,4.266158084869277,High School,18.0,Rural,Married,M,0.07811200560940706,71872.14901295907,5.0
Udon,Yes,5.752560044788105,Graduate School,48.0,Urban,Divorced,M,,68244.13312899826,6.0
Khon Kaen,No,2.9657200738547047,Graduate School,24.0,Suburban,Married,F,0.16544529614909198,65475.001888545004,5.0
Mahasarakam,No,4.761987387051384,Graduate School,29.0,Rural,Single,M,0.965507484905967,60165.68387278901,5.0
Mahasarakam,Yes,3.8425341130896196,Graduate School,31.0,Urban,Married,M,0.2977877788802223,54686.27390693746,4.0
Khon Kaen,Yes,6.024269593434726,High School,29.0,Suburban,Divorced,M,-0.22796980999512728,39928.028535960824,4.0
Mahasarakam,Yes,5.333984398269781,Graduate School,31.0,Urban,Divorced,F,-0.21305688595216904,54693.84598303385,6.0
Udon,No,3.565526394499124,College,21.0,Rural,,F,0.009801475101894691,38792.257348225925,8.0
Mahasarakam,Yes,4.744000463061998,High School,34.0,Urban,Married,F,0.17898042553634863,40258.84162081914,6.0
Mahasarakam,Yes,8.667623549981535,Graduate School,42.0,Suburban,Divorced,M,-1.0718262729043961,32079.88064089202,6.0
Mahasarakam,,5.922417583017139,Graduate School,32.0,Suburban,Divorced,M,0.13318521772638697,31455.887369403947,5.0
Khon Kaen,Yes,3.924610386716812,High School,29.0,Urban,Divorced,M,0.5490450015103833,,7.0
Udon,No,2.6340990061838756,High School,17.0,Rural,Married,F,-0.6491559526197026,65384.71476198736,5.0
Udon,,4.956406262499651,High School,32.0,Urban,,M,-0.33943418814803655,67285.72122205798,6.0
Mahasarakam,No,4.94778726206206,Graduate School,19.0,Rural,Single,F,0.25038839141146074,36474.74224017403,7.0
Khon Kaen,No,4.563642401959625,Graduate School,25.0,Rural,Divorced,F,0.17434044738192184,57339.48445416343,3.0
Khon Kaen,No,4.7154693200976405,College,24.0,Rural,Married,M,-0.7595769755634003,40617.42702303525,5.0
Khon Kaen,Yes,5.251412457195646,High School,36.0,Suburban,Divorced,F,-0.2393955329045541,55132.33289384464,5.0
Mahasarakam,Yes,5.750551085975738,Graduate School,39.0,Urban,Married,M,0.18710246523745488,70666.02994848652,4.0
Mahasarakam,,4.477536105068932,College,38.0,Suburban,Divorced,M,0.45485021881843046,58174.973572514136,7.0
Mahasarakam,Yes,5.860931498745506,Graduate School,38.0,Urban,Divorced,M,0.15914929376871706,57803.58972634645,4.0
Khon Kaen,Yes,5.674356947867011,High School,34.0,Urban,Divorced,M,-0.3253622531362792,63131.74962635937,5.0
Udon,No,6.628684729314697,College,44.0,Suburban,Divorced,F,-0.01983087470480907,42683.27186920318,5.0
Mahasarakam,Yes,8.138845404885524,Graduate School,36.0,Urban,Single,M,-1.0242891421960905,63664.83367080192,7.0
Mahasarakam,Yes,5.433509328984269,College,36.0,Suburban,Married,M,,50372.715083281546,6.0
Mahasarakam,Yes,,High School,37.0,Suburban,Divorced,F,-0.10056282144358725,52795.360960883016,5.0
Khon Kaen,No,4.392138619665291,College,27.0,Suburban,Divorced,M,-0.3157154152673289,41901.34174606204,5.0
Mahasarakam,Yes,,Graduate School,40.0,Urban,Divorced,M,0.2003459332723696,55975.20191759199,5.0
Khon Kaen,Yes,6.09446797940506,High School,39.0,Suburban,Divorced,F,0.11141990028381216,63955.22503584782,6.0
Mahasarakam,Yes,4.126335449126903,Graduate School,47.0,Urban,Married,M,0.8993099747788618,47837.033623326584,7.0
Udon,Yes,3.5968843015040437,High School,30.0,Urban,Married,M,0.5498893347406216,60641.530447749436,4.0
Khon Kaen,No,5.01151542932997,Graduate School,19.0,Rural,Single,M,-0.07587749439600688,59823.848926995124,6.0
Mahasarakam,Yes,5.980931642988112,High School,38.0,Urban,Married,M,0.0556498352353188,64257.0957870215,6.0
Udon,Yes,6.830786038430013,College,31.0,Suburban,Single,F,-0.4675477382475311,55886.33989868324,4.0
Mahasarakam,Yes,5.576139552918014,High School,32.0,Urban,Married,M,0.06688258737826946,65308.21300718402,6.0
Mahasarakam,No,3.7613027284469096,College,22.0,Urban,Divorced,M,-0.18176733611461812,41739.62478736492,4.0
Udon,Yes,4.922673476846641,Graduate School,40.0,Rural,Married,F,0.056348575322205385,73087.3246796338,5.0
Khon Kaen,Yes,6.636728257895983,Graduate School,42.0,Urban,Single,F,-0.1853333995719115,53945.412751719705,5.0
Udon,Yes,6.833431037258074,High School,29.0,Rural,Divorced,M,-0.3943626667813839,95100.69775468828,6.0
Udon,No,7.139387404819523,College,51.0,Rural,Married,F,0.427701170655324,38492.68049121927,6.0
Khon Kaen,Yes,4.925575999067436,College,36.0,Urban,Single,M,,52422.84386512834,5.0
Mahasarakam,Yes,8.874089353396084,Graduate School,36.0,Suburban,Single,M,-1.2060397949692934,64161.698315130496,
Mahasarakam,No,5.882031154641815,Graduate School,31.0,Rural,Married,M,-0.6200502700101346,59923.98190508451,4.0
Khon Kaen,Yes,5.408374627035805,Graduate School,43.0,Urban,Divorced,F,0.14483518210722768,47861.980825429084,5.0
Udon,No,3.3098248834216752,Graduate School,25.0,Rural,Married,F,-0.298237618679547,63862.40052110884,6.0
Khon Kaen,Yes,5.505293471074405,Graduate School,37.0,Suburban,Single,F,-0.2554438115230905,26449.115414844215,4.0
Udon,Yes,5.337439290056093,High School,38.0,Urban,Divorced,F,0.08794357013087167,64164.95363313808,5.0
Mahasarakam,Yes,5.255050571212264,College,28.0,Suburban,Divorced,F,-0.1506008279947294,67350.02315636906,4.0
Udon,No,,High School,38.0,Rural,Married,F,0.04678399192319313,60011.51530986511,5.0
Udon,No,4.2099346503980835,High School,32.0,Rural,Married,F,,54222.1202425053,6.0
Mahasarakam,Yes,5.041949811624823,College,35.0,Suburban,Divorced,F,0.20249720075840638,67494.26967873325,5.0
Mahasarakam,Yes,5.036118352501194,,37.0,Urban,Single,F,,62852.30938023985,4.0
Udon,No,4.8137326504951226,High School,31.0,Suburban,Married,M,0.11741182152658497,53106.58224244669,6.0
Udon,Yes,7.853654855493403,Graduate School,41.0,Suburban,Single,F,-0.6767024757129907,50424.44040866732,7.0
Mahasarakam,Yes,6.826809235241572,College,38.0,Suburban,Divorced,M,-0.31992272454344917,74270.3343744568,5.0
Khon Kaen,Yes,6.031284012791545,Graduate School,34.0,Rural,Single,F,-0.3096984905669443,62775.2252388722,3.0
Mahasarakam,Yes,5.301494282594222,Graduate School,24.0,Suburban,Divorced,F,-0.17876353378828666,48219.749262682846,5.0
Mahasarakam,Yes,4.718898789053567,Graduate School,32.0,Urban,Single,F,-0.1761207154278482,48550.57209585927,7.0
Udon,No,4.062661532165585,High School,23.0,Suburban,Single,M,-0.3368205056076157,52124.18796050968,5.0
Mahasarakam,Yes,4.034756767008049,Graduate School,37.0,Suburban,Divorced,M,0.2582350457297552,35896.2789121705,6.0
Mahasarakam,Yes,3.469151144316732,College,44.0,Rural,Divorced,M,1.2480486465953815,39797.47037230379,4.0
Udon,No,5.015340850833201,High School,39.0,Rural,Married,M,-0.011084863833996206,56600.73064296542,3.0
Udon,No,5.444726699332332,Graduate School,26.0,Suburban,Married,M,0.16627668430170578,46397.87889523482,5.0
Khon Kaen,No,6.665096611955425,College,30.0,Rural,Single,F,-0.1374264406996499,37636.27382546643,4.0
Mahasarakam,No,2.960862883393764,College,21.0,Rural,Divorced,F,0.5327872316143705,27164.361527241625,5.0
Mahasarakam,,7.549535421425274,College,36.0,Rural,Divorced,M,-0.06507385594043863,46780.113702871684,5.0
Mahasarakam,No,7.075352957527313,College,38.0,Rural,Divorced,M,0.7510436629086911,40914.78141497667,6.0
Mahasarakam,Yes,4.8032439734764845,High School,33.0,Suburban,Divorced,F,0.5644085038643382,46333.3431525855,5.0
Udon,No,5.058278944494032,High School,23.0,Rural,Married,F,-0.05473640039361807,71000.72755669961,5.0
Mahasarakam,Yes,4.388276130190831,,38.0,Urban,Divorced,F,0.05267730215268082,38755.55978487951,7.0
Khon Kaen,Yes,5.661906567689318,College,40.0,Urban,Divorced,F,0.061266462172192504,43106.215621540134,3.0
,No,3.5422549896982574,High School,21.0,Suburban,Single,M,0.12709329597104846,61737.38534991014,3.0
Mahasarakam,No,4.178104039418821,Graduate School,22.0,Suburban,Married,F,0.18111367868723444,50891.364580598674,
Mahasarakam,Yes,5.798770693769846,High School,34.0,Urban,Single,F,-0.4024580481092661,37160.105148386225,6.0
Udon,No,6.112249611656553,Graduate School,33.0,,Married,F,0.7311904654459874,42362.366103910506,4.0
Mahasarakam,Yes,4.865801419143809,Graduate School,36.0,Urban,Single,F,0.1732187121427815,64268.911981042314,6.0
Khon Kaen,Yes,8.906307398996507,Graduate School,34.0,Suburban,Married,F,-0.8877582906450263,52149.295301809405,4.0
Udon,Yes,5.54756502511056,College,24.0,,Single,M,-0.31115684238815483,62727.98269684497,5.0
Udon,Yes,6.887923166280422,Graduate School,31.0,Suburban,Married,M,-0.37646994565193603,37131.91860406508,4.0
Khon Kaen,Yes,5.352548213711827,College,30.0,Urban,Single,M,0.15255955182159853,44222.22874177896,4.0
Khon Kaen,No,4.870817459640389,High School,34.0,Rural,Married,F,-0.5959447352687508,32455.730914596308,4.0
Khon Kaen,No,5.624504488184996,College,34.0,Suburban,Married,M,0.1472043378553735,55559.09203573974,3.0
Khon Kaen,Yes,4.96824474130319,High School,27.0,Urban,Divorced,M,0.03311477115571981,55736.678361477345,5.0
Udon,No,3.831674367267187,High School,22.0,Suburban,Divorced,M,-0.7381117060724139,64144.60178388073,4.0
Udon,No,6.5098206558069505,College,32.0,Suburban,Married,F,-0.8322602245080077,33336.40197207956,3.0
Mahasarakam,Yes,4.402308654446148,High School,40.0,Suburban,Single,F,0.26845922582617227,59669.37290375684,3.0
Udon,No,5.951982532114086,High School,29.0,Suburban,Married,F,0.05890452309113947,62224.39187142453,6.0
Khon Kaen,Yes,6.524860645862692,High School,32.0,Urban,Single,F,0.03304297604528508,51891.66807368133,6.0
Khon Kaen,Yes,,,30.0,Rural,Divorced,M,0.3409974173670389,49987.55235177156,7.0
Khon Kaen,No,3.7091043915518975,College,19.0,Rural,Single,M,-0.1795678986209314,68500.64280976188,3.0
Khon Kaen,Yes,4.985065370828141,Graduate School,39.0,Urban,,F,-0.08404256354029097,39891.70313753674,3.0
Udon,No,5.243568614363555,College,29.0,Rural,Married,F,0.6641640218604313,58646.35580998218,7.0
Mahasarakam,,8.318126088860437,High School,44.0,Urban,Divorced,F,-0.7336908870215133,64756.43786156755,4.0
Khon Kaen,No,3.892150368726387,High School,,Rural,Divorced,F,-0.6204869632929264,54652.64532527035,6.0
Mahasarakam,No,5.082080456055562,,27.0,Rural,Married,F,0.11944245784963159,29940.432518000576,6.0
Mahasarakam,No,4.577655559271073,College,32.0,Suburban,Married,F,0.49228741846974755,56765.915502560325,6.0
Udon,No,1.9528588810389649,High School,22.0,Rural,Married,F,0.3605884846540848,74625.13795942676,4.0
Mahasarakam,Yes,5.942463073703057,College,,Urban,Divorced,,0.10215693967052053,61683.527149949805,5.0
Khon Kaen,No,,High School,25.0,Rural,Married,F,-0.3691291495168626,61273.90580605664,3.0
Udon,Yes,4.610785024239114,College,27.0,Rural,Single,M,-0.09571267746131504,37907.16190280682,3.0
