City,Online Activity,Years after high school graduation,Education Level,Brand Loyalty,Annual Income,Location Code,Gender,Years subscribed,Marital Status,Renew
Udon,5.101164097654472,28.0,High School,0.6974617379119326,62632.73125389565,Rural,M,5.0,Married,No
Udon,4.476895424448745,25.0,College,0.03788564434784486,44120.474084295725,Rural,F,6.0,Married,
Khon Kaen,4.621329899801842,18.0,College,0.6253777840187718,53339.00970795581,Rural,F,5.0,Married,No
Mahasarakam,5.98176984035064,37.0,High School,0.35913691248546575,43134.50320070553,Urban,F,4.0,Divorced,Yes
Khon Kaen,1.8876101603238147,30.0,College,-0.212282950482301,57261.54306715408,Urban,M,4.0,Single,Yes
Udon,3.6963128420804052,41.0,High School,0.6826062731414062,47118.81248348661,Urban,M,4.0,Divorced,Yes
Udon,5.384929252224839,29.0,High School,0.515649382747243,29616.06985765651,Rural,F,7.0,Single,No
Udon,4.10278057886844,27.0,High School,0.22708615111266547,37015.2853199296,Urban,F,7.0,Divorced,No
Mahasarakam,4.34400174918135,42.0,Graduate School,0.32393060940824164,50089.703278714835,Urban,F,7.0,Married,No
Khon Kaen,5.148426409026565,27.0,College,0.11008808628466035,47421.91472499927,Rural,M,6.0,Married,No
Mahasarakam,8.410866340295119,31.0,College,-0.3135916946606838,76447.93274438156,Urban,M,4.0,Divorced,No
Udon,8.679489579389175,43.0,High School,-0.41807673795063194,73795.5680375962,Urban,F,3.0,Married,No
Udon,5.736349145045521,31.0,High School,0.6071283236910856,57355.42389771687,Suburban,M,3.0,Divorced,Yes
Khon Kaen,7.298922517424527,21.0,High School,0.39082848077873733,66313.33195574852,Suburban,M,2.0,Single,Yes
Mahasarakam,4.317148627298154,43.0,Graduate School,-0.054954891441502174,75589.57908643554,Rural,M,4.0,Divorced,No
Udon,4.133257627430648,48.0,High School,0.48647127243923255,59906.15051221823,Suburban,M,5.0,Single,Yes
Udon,5.686823256577773,43.0,Graduate School,1.1242056311050876,42154.8502748062,Urban,M,,Married,No
Udon,3.7928816646010395,29.0,High School,0.06534765998395067,65168.3567804405,Suburban,F,6.0,Single,Yes
Mahasarakam,4.613838807878253,26.0,Graduate School,0.12007015396356456,53199.99243846713,Rural,M,4.0,Single,Yes
Udon,4.496986291952186,28.0,High School,0.07595846695754682,48959.24929522688,Rural,,6.0,Divorced,No
Udon,5.54624864864169,35.0,College,0.29787187307189694,59445.75452948328,Urban,F,5.0,Married,Yes
Mahasarakam,5.375837181772269,29.0,College,0.08830399916570766,65633.83966097306,Rural,M,4.0,Married,No
Khon Kaen,4.356932957471102,31.0,Graduate School,0.6106384996083607,33159.626829504035,Suburban,M,7.0,Single,No
Udon,4.648018207864561,27.0,College,0.7639514010762586,57439.706154830856,Rural,M,7.0,Divorced,No
Mahasarakam,7.330404294812773,30.0,High School,1.0742958200242372,57050.65250186046,Urban,M,1.0,Single,Yes
Mahasarakam,3.8111945226969377,35.0,Graduate School,0.31622709612366856,42617.04800243676,Rural,M,5.0,Married,No
Khon Kaen,4.271248426631286,10.0,College,-0.2873517228322783,60021.120031784776,Rural,M,5.0,,No
Mahasarakam,4.511456763022254,33.0,Graduate School,0.29182479831446295,56074.96514570234,Rural,M,4.0,Married,Yes
Mahasarakam,,26.0,College,0.16796622884931434,36687.44792459302,Rural,M,7.0,Married,No
Khon Kaen,,43.0,College,0.13335914555774753,56063.69907908816,Urban,M,4.0,Single,Yes
Khon Kaen,9.432516837726958,39.0,College,-0.41164108980482916,100000.0,Rural,M,2.0,Married,No
Khon Kaen,3.226180613795097,30.0,Graduate School,0.2995212831668969,61894.278645311366,Rural,M,6.0,Divorced,Yes
Khon Kaen,,32.0,High School,0.7730755053698578,66806.77880766826,Suburban,M,2.0,Divorced,Yes
Udon,4.015320798452251,18.0,Graduate School,-1.0937804439983423,76272.1388557765,Rural,M,2.0,Married,No
Udon,4.6154812132072305,34.0,High School,-0.2605630610081653,57324.440038260924,Suburban,M,4.0,,No
Mahasarakam,3.3049615300184993,21.0,Graduate School,0.4485036297526235,62708.52136271926,Suburban,M,3.0,Divorced,Yes
Mahasarakam,5.486606335800201,31.0,Graduate School,-0.2941197153156193,55733.79944797793,Rural,M,6.0,Single,No
Khon Kaen,5.3008536833341395,28.0,Graduate School,0.33960483077208087,63907.18462128956,Rural,F,5.0,Divorced,No
Udon,3.8788408580976403,46.0,Graduate School,0.130030604799801,52765.62589051193,Suburban,M,6.0,Single,Yes
Mahasarakam,5.345778333221167,31.0,Graduate School,0.802764110854797,58596.89257993163,Suburban,F,4.0,Single,Yes
Udon,3.9437737767135768,35.0,Graduate School,0.3586319366258296,43874.30862771437,Rural,M,,Married,No
Khon Kaen,3.8066188824360045,20.0,High School,-0.006101923762174333,47761.87271182783,Urban,M,6.0,Married,Yes
Udon,,41.0,College,0.21471845586029692,31038.10436711992,Rural,F,8.0,Single,No
Udon,4.786425622626566,37.0,High School,0.8979719305643276,57064.200388295205,Suburban,M,4.0,Single,Yes
Khon Kaen,4.726073512876759,17.0,Graduate School,0.23270395740430821,49788.31389737531,Rural,F,4.0,Divorced,Yes
Udon,4.504130257821171,21.0,Graduate School,0.2901600850809902,67798.28416963689,Urban,M,3.0,Single,Yes
Mahasarakam,2.874310134962882,27.0,Graduate School,-0.10417088734754926,64715.81220012869,Suburban,M,5.0,Divorced,Yes
Udon,6.16359435076787,36.0,College,0.002812208047309306,72050.21263292007,Rural,,3.0,Divorced,No
Khon Kaen,7.217208291953391,24.0,Graduate School,0.5085140872179148,63014.26619819076,Urban,M,2.0,Single,
Udon,6.757239677558829,34.0,High School,0.46809512757018157,55683.011466212294,Suburban,F,6.0,Married,No
Mahasarakam,4.479256804871186,17.0,Graduate School,-0.06184114014587333,51372.08659805955,Urban,M,6.0,Married,No
Khon Kaen,6.6713543212995745,34.0,College,-0.10807798798083462,62307.10412051539,Rural,F,5.0,Divorced,No
Mahasarakam,6.388659631451043,27.0,College,0.1067493561687505,46663.18733522772,Suburban,M,5.0,Divorced,Yes
Udon,5.56916779708407,33.0,High School,0.2008275194811372,36803.10299215134,Rural,M,5.0,Single,No
Udon,6.458543224897725,36.0,High School,-0.12756052948310442,56592.75897884086,,F,6.0,Married,No
Khon Kaen,7.510916791520172,31.0,College,0.799464404314386,58986.14112192097,Suburban,M,1.0,Divorced,Yes
Udon,6.052465577313384,33.0,High School,-0.49369062031083455,54209.75308430543,Suburban,M,4.0,Divorced,No
Udon,5.303723953657369,33.0,High School,0.26320950483333677,57036.890026649584,Rural,M,4.0,Single,No
Udon,5.418133309216981,35.0,College,0.3568309664434207,64872.97125674039,Suburban,F,,Divorced,Yes
Khon Kaen,5.713947127370636,26.0,Graduate School,0.3780988025535335,60410.6791758581,Rural,M,6.0,Married,No
Mahasarakam,6.267526562685419,39.0,College,-0.8309101042860902,46028.42791044375,Rural,F,4.0,Married,No
Khon Kaen,1.955499628645986,23.0,Graduate School,-0.10258560917710075,54948.88818072177,,F,5.0,Single,No
Udon,5.152072648884008,14.0,High School,0.18974732298774433,69043.56696286284,Suburban,M,4.0,Divorced,Yes
Udon,6.693173130151706,35.0,High School,-0.18805645224286865,65275.01444403079,Rural,F,3.0,Single,No
Mahasarakam,5.471099283483149,43.0,High School,0.35068659185095924,45442.1393762605,Urban,F,5.0,Divorced,
Udon,2.64393847524593,12.0,High School,0.056020130390682155,60687.669317875516,Rural,M,6.0,Divorced,Yes
Khon Kaen,4.06990011994291,26.0,Graduate School,0.2004416392394106,55386.09174740009,Rural,F,6.0,Married,No
Mahasarakam,2.982107562856802,33.0,Graduate School,0.26002461201687105,52385.13361495506,Suburban,F,5.0,Married,Yes
Udon,4.353834182933215,33.0,College,0.5894401224431105,55781.166726415366,Rural,F,4.0,Divorced,Yes
Khon Kaen,5.064010786092565,43.0,High School,-0.6366487287788958,65231.754820677896,Rural,M,4.0,Married,No
Udon,5.95483983404575,42.0,Graduate School,0.601600985268109,59460.23097340647,Urban,F,3.0,Single,Yes
Mahasarakam,4.411262767216059,24.0,College,0.19364169175926346,42789.418575446274,Urban,M,6.0,Divorced,Yes
Udon,4.165658197110024,37.0,High School,0.6404998148001304,53107.7737678836,Urban,M,6.0,Divorced,No
Udon,2.753489871833545,47.0,High School,-0.8492124227331876,46925.46837290113,Rural,F,5.0,Divorced,No
Khon Kaen,3.225644557083665,9.0,High School,-0.4408817095493479,45418.02156770493,Suburban,F,,Single,No
Mahasarakam,,29.0,College,-0.15689553967727654,51762.780941058096,Rural,F,5.0,Married,No
Khon Kaen,5.1535565024655146,44.0,College,0.8822970845325339,58288.55044444435,Urban,F,4.0,Married,Yes
Udon,5.3420607960274085,32.0,College,0.38948360215989314,52542.18159874606,Rural,F,5.0,Married,No
Khon Kaen,6.477494652678307,35.0,College,0.42570163108671444,30954.51014805905,Suburban,F,5.0,Divorced,Yes
Udon,4.846878337173299,33.0,High School,0.4338592288482761,62256.27073848446,Urban,F,3.0,Divorced,Yes
Udon,4.75360635592176,33.0,Graduate School,,52358.01436460759,Urban,F,4.0,Divorced,Yes
Khon Kaen,6.452035800621692,37.0,College,0.06830651520092254,68650.04814484536,Suburban,M,5.0,Married,No
Khon Kaen,7.0163732380988115,46.0,College,0.00913213444101546,66306.94932541387,Rural,F,5.0,Single,No
Khon Kaen,,23.0,College,0.6808464331945909,54459.86060527865,Urban,F,3.0,Married,Yes
Mahasarakam,5.751841369710476,47.0,College,-0.30125698180397964,84496.25045418764,Urban,F,3.0,Married,No
Khon Kaen,4.309232203311404,27.0,College,0.19009273317939784,49736.707787418854,Urban,M,5.0,Single,Yes
Udon,2.4148559980363147,25.0,College,0.09812697162268166,37628.716346588015,Suburban,F,8.0,Married,No
Udon,3.649599880035838,38.0,Graduate School,0.6178525746554101,49464.39000114702,,M,6.0,Married,No
Mahasarakam,5.113567435935797,41.0,College,0.08188957156627721,49111.70042696052,Urban,F,4.0,Single,Yes
Udon,4.3709644240650425,32.0,Graduate School,0.021114556523169042,70225.16560010391,Rural,F,3.0,Married,No
Udon,6.848180620861045,30.0,Graduate School,0.5235799539836041,43062.57555163962,Urban,F,4.0,Divorced,Yes
Udon,5.307770070630988,46.0,College,0.8016323196106274,55517.1059958164,Rural,F,7.0,Married,No
Mahasarakam,4.818882872843442,32.0,High School,0.40859502138875814,50722.316476518885,Suburban,M,5.0,Single,Yes
Mahasarakam,5.134718707517826,36.0,Graduate School,0.7424552798831155,68214.38540961256,Urban,M,3.0,Single,Yes
Khon Kaen,4.920010317744568,11.0,High School,0.3106683716454562,49790.307162906174,Suburban,M,6.0,Single,No
Udon,4.308688001681406,42.0,College,0.5222493401648849,49935.8948141889,Rural,F,4.0,Married,Yes
Mahasarakam,3.566581439276179,20.0,College,-0.34022597341204597,44687.04878519521,Suburban,F,7.0,Divorced,Yes
Khon Kaen,5.464605378613914,34.0,Graduate School,0.5331786083184131,54385.524353000364,Suburban,F,7.0,Single,No
Mahasarakam,5.038561142303747,30.0,High School,0.189171485635272,57494.864984060536,Urban,F,7.0,Married,No
Khon Kaen,4.5607665748873005,18.0,College,0.6228149895050107,65721.45133278544,Rural,M,4.0,Divorced,Yes
Mahasarakam,4.43641039088412,27.0,College,0.37372705609806256,51864.37158815072,Rural,M,5.0,Married,No
Khon Kaen,5.737166218758086,27.0,High School,0.10270473239623631,52698.22166524041,Urban,M,5.0,Married,Yes
Khon Kaen,5.487155290047598,31.0,High School,0.7917195979966866,70035.3357392123,Suburban,M,2.0,Single,Yes
Udon,4.363857272512742,30.0,Graduate School,-0.10117092056859484,68697.97958988411,Suburban,M,5.0,Divorced,No
Udon,3.473275113487657,36.0,College,0.38509493244161086,61735.83416778048,Urban,F,5.0,Single,Yes
Udon,3.006530069950494,29.0,College,0.13070526596717652,58389.144189676124,Rural,F,6.0,Married,No
Udon,5.689924583474642,25.0,High School,0.2611197317985404,52812.75896795378,Urban,F,5.0,Divorced,Yes
Udon,3.597499018442783,32.0,College,-0.0024201870221537136,52396.315374708356,Urban,F,5.0,Single,Yes
Khon Kaen,6.777818097534654,23.0,Graduate School,-0.472484772841848,77042.32717861234,Rural,F,4.0,Single,No
Khon Kaen,4.10876342980749,26.0,College,0.06524680246116737,55828.7263280053,Urban,M,5.0,Divorced,Yes
Khon Kaen,6.79725839615786,13.0,High School,0.21598916835054396,76861.48514373688,Urban,F,3.0,Single,Yes
Udon,5.732096307803918,29.0,High School,0.403044635228019,67691.2991321114,Urban,M,3.0,Divorced,Yes
Mahasarakam,3.664341751535874,29.0,Graduate School,1.0856678924149326,54482.58865168927,Suburban,F,7.0,Married,No
Udon,4.569723437821214,17.0,College,0.11447652056527502,61647.25685843585,Urban,,4.0,Married,Yes
Udon,4.093117171458801,32.0,Graduate School,-0.19660302381906786,52834.577731572506,Suburban,F,6.0,Divorced,Yes
Udon,5.139025305518172,39.0,High School,0.061654829750932505,59076.942071655365,Rural,F,5.0,Single,No
Khon Kaen,4.1987945049739865,30.0,College,0.08045233960666126,48718.442281436284,Urban,M,5.0,Divorced,Yes
Udon,4.320747884022336,36.0,High School,0.717490931564992,44501.51942389402,,M,7.0,Divorced,No
Udon,1.8353875790909364,27.0,College,0.8490982755966694,60177.82424842723,Suburban,F,4.0,Single,Yes
Udon,4.142645608490406,34.0,Graduate School,-0.10283538081009169,63551.70010943069,Suburban,F,4.0,Divorced,Yes
Khon Kaen,7.28631074376258,29.0,High School,0.9657398370745256,,Urban,M,3.0,Single,Yes
Khon Kaen,5.194506247120961,49.0,High School,0.10174951681516997,45043.20092755398,Urban,M,6.0,Married,Yes
Udon,6.450619374363528,44.0,Graduate School,-0.1310929272150343,73598.46590160846,Rural,M,3.0,Married,No
Mahasarakam,5.040096180093553,,College,0.2724648076955445,41955.61736978908,Urban,F,7.0,Married,No
Mahasarakam,5.067590839123403,20.0,Graduate School,-0.032788439285945326,52052.93504025733,Rural,M,5.0,Married,
Udon,6.467299325099139,31.0,High School,0.18140836137024036,55857.509779815366,Rural,M,5.0,Divorced,No
Khon Kaen,,36.0,High School,0.22184605228142026,,Rural,,3.0,Single,Yes
Khon Kaen,3.6220286661809062,,Graduate School,0.05847271132507023,49106.96086026126,Rural,F,7.0,Divorced,No
Khon Kaen,5.133211113968565,29.0,College,0.565351106508958,52643.93735376626,Urban,F,4.0,Single,Yes
Mahasarakam,2.694351438788473,,Graduate School,-0.037798439652297844,52061.892858907304,Urban,M,7.0,Divorced,Yes
Udon,4.506789319034347,25.0,College,-0.09294981216752679,51171.81522944109,Suburban,M,6.0,Single,Yes
Khon Kaen,2.3421692320342395,27.0,College,0.22420138041511428,48938.72197778351,Urban,M,6.0,Divorced,Yes
Udon,6.249437896636834,37.0,Graduate School,0.7127224696307773,49059.76694733872,Suburban,M,3.0,Divorced,Yes
Khon Kaen,4.943839941686608,49.0,High School,0.7656052089733071,59279.66396060666,Suburban,M,3.0,Divorced,Yes
Udon,2.742735807044895,24.0,College,0.800547513748856,,Suburban,F,,Married,No
Udon,4.902131986380481,29.0,College,0.37876055527142083,51752.14282699255,Urban,F,5.0,Divorced,Yes
Khon Kaen,5.6901043753741725,30.0,Graduate School,0.35605086215712867,48401.601896483495,Rural,M,4.0,Single,Yes
Udon,4.303012012121662,28.0,College,-0.325033472893392,67815.8627886154,Rural,M,5.0,Married,No
Udon,4.66225552747219,21.0,Graduate School,0.7050632363242937,51327.22938892624,Rural,M,7.0,Married,No
Mahasarakam,4.3825968418218055,30.0,High School,0.2227331062891016,66590.66986320089,Rural,M,7.0,Married,No
Khon Kaen,3.7379666907602678,25.0,Graduate School,0.348970208787192,77973.08861535214,Urban,M,2.0,,Yes
Mahasarakam,4.000406040815186,34.0,Graduate School,0.16313446037022444,43422.42135367335,Suburban,F,6.0,Single,Yes
Khon Kaen,4.946986716479977,19.0,Graduate School,-0.0919119453332396,40884.9471056293,Urban,F,6.0,Divorced,No
Udon,7.551069945275176,26.0,Graduate School,0.0660577403056258,72018.66220770002,Rural,F,6.0,Married,No
Udon,6.087366180212699,33.0,College,-0.09084569419163924,61103.04023452625,Suburban,F,6.0,Divorced,No
Khon Kaen,4.910285056832835,38.0,Graduate School,0.6170537575536887,62104.452741354406,Suburban,F,4.0,Single,Yes
Mahasarakam,5.108232111349551,31.0,High School,0.08218760907398487,64181.79741826205,Suburban,M,4.0,Divorced,Yes
Khon Kaen,6.509818478509175,28.0,College,0.2915483907592407,49048.70764806719,Urban,F,5.0,Married,Yes
Mahasarakam,6.550548400456986,12.0,High School,0.7215043889015952,46257.05292321908,Rural,M,2.0,,Yes
Khon Kaen,2.3983021683677963,31.0,Graduate School,0.0361149524706573,64730.85841319864,Suburban,M,5.0,Single,Yes
Udon,6.498917383197021,24.0,Graduate School,0.5539429487000554,47269.98951897029,Urban,M,3.0,Single,Yes
Udon,5.3830907536497525,33.0,High School,-0.06298551899471855,66067.51113434928,Rural,M,5.0,Married,No
Khon Kaen,5.785936040225865,27.0,College,0.7651534631577637,62036.91528623065,Urban,F,4.0,Divorced,Yes
Mahasarakam,3.7859651024801515,15.0,High School,-0.38894994479122125,45846.73995770092,Urban,M,7.0,Married,No
Mahasarakam,5.8326388437723615,45.0,College,-0.19790110170279585,35200.29606633198,Urban,M,6.0,Divorced,Yes
Mahasarakam,1.6372243302094884,44.0,College,0.3289093969126521,67677.27529015123,Suburban,F,5.0,Divorced,Yes
Mahasarakam,5.906577694377665,25.0,Graduate School,0.7312463295802663,62311.54540557943,Suburban,F,2.0,Divorced,Yes
Udon,5.250171830294768,39.0,High School,0.2089739962766778,62106.6565210059,Suburban,F,5.0,Married,No
Khon Kaen,5.7060264812122385,30.0,College,0.4775107927758652,46754.12066606013,Suburban,M,5.0,Single,Yes
Udon,,22.0,Graduate School,0.15645100038911053,59833.37701012569,Rural,F,5.0,Divorced,No
Udon,5.25336124417176,27.0,Graduate School,0.15313128632378162,57315.287853825546,Suburban,M,4.0,Divorced,Yes
Khon Kaen,3.5291136518719988,36.0,High School,0.05612629194960925,,Suburban,F,7.0,Married,No
Mahasarakam,5.334445220183782,27.0,College,0.9483011106723622,57037.92207378069,Urban,F,1.0,Divorced,Yes
Mahasarakam,3.7225243585958188,28.0,High School,0.682788030309432,71275.07072309106,Suburban,M,3.0,Divorced,Yes
Udon,6.188194549450183,44.0,High School,0.4503355074778562,56005.69815441446,Suburban,M,3.0,Single,Yes
Mahasarakam,4.957914455632887,,Graduate School,0.8462577697110542,38732.70456550588,Suburban,F,8.0,Divorced,
Udon,7.415508127336455,43.0,High School,0.0767584547623387,66623.3208892664,Suburban,M,4.0,,No
Khon Kaen,6.837319539695468,52.0,College,0.6170369957580832,87865.90085120397,Suburban,M,4.0,Single,No
Mahasarakam,3.5786406166230167,47.0,Graduate School,0.31500948821474334,59905.304967984,Rural,F,5.0,Single,Yes
Udon,4.363877306314038,33.0,College,0.7853262686741056,70684.55712839498,Urban,M,3.0,Single,Yes
Udon,6.771513066580542,32.0,College,0.5996186684832747,57309.48269256998,Urban,M,3.0,Divorced,Yes
Khon Kaen,4.2483277495633445,35.0,College,-0.5731798163285379,64504.810297317286,Suburban,M,5.0,Single,No
Udon,7.0093989790183935,19.0,Graduate School,0.22775255347731097,47453.920059479555,Urban,M,5.0,Divorced,Yes
Khon Kaen,5.909015561004896,17.0,College,0.862480078103396,46590.487204352925,Urban,M,5.0,Divorced,Yes
Mahasarakam,4.416627982547019,39.0,College,0.29434527940266886,59569.91445201112,Suburban,F,6.0,Single,No
Udon,5.874767274198616,39.0,College,1.0036091866837704,56245.79279715903,Rural,M,7.0,Married,No
Khon Kaen,7.181107089881574,20.0,College,0.22763040851265737,74726.73124763677,Rural,F,4.0,Single,No
Udon,4.85538256312836,41.0,High School,0.3272798902684896,56165.935794467914,Rural,F,5.0,Married,No
Mahasarakam,4.740554233435416,11.0,College,,54091.87481740371,Suburban,F,3.0,Divorced,Yes
Khon Kaen,6.9947280393248175,18.0,College,0.39771892926013486,53970.0489804327,Urban,F,,Married,Yes
Mahasarakam,3.2067032752282048,36.0,High School,,61548.62030793612,Urban,M,6.0,Divorced,Yes
Khon Kaen,5.55401264237512,31.0,Graduate School,0.562389886545703,51047.741848891135,Rural,F,4.0,Divorced,Yes
Udon,5.95777768152875,23.0,College,0.6600568123438386,55936.862734562565,Urban,M,3.0,Divorced,Yes
Khon Kaen,5.457433860242055,39.0,High School,0.28331168253237926,58026.72417729483,Rural,F,5.0,Divorced,No
Mahasarakam,6.4328221992005545,22.0,Graduate School,0.6646147141158535,63907.65938181792,Suburban,M,2.0,Divorced,Yes
Khon Kaen,5.86051204308743,41.0,College,0.5885424513274788,54051.24802299374,Suburban,M,,Divorced,No
Khon Kaen,4.027442170690236,25.0,High School,0.3297401305391279,57517.694976216495,Suburban,F,4.0,Divorced,
Mahasarakam,3.7185833778730615,30.0,College,0.34130275614041705,45299.84621262284,Rural,M,4.0,Single,Yes
Udon,3.434632607786663,39.0,College,0.4621927292742992,66900.25278876332,Rural,M,7.0,Single,No
Mahasarakam,,31.0,College,0.60009757683408,62818.10767003464,Suburban,M,4.0,Single,Yes
Khon Kaen,4.705921045126598,20.0,High School,0.6892436072883277,69013.77459115801,Urban,M,2.0,Single,Yes
Udon,5.641490704085735,27.0,College,0.39517942100367487,44494.67190980783,Suburban,F,3.0,Single,Yes
Udon,4.695098626887402,36.0,High School,0.38643321164377653,47659.0134136595,Rural,M,6.0,Married,No
Udon,7.48922648846733,42.0,Graduate School,0.28901101505534854,45631.41761195693,Suburban,F,5.0,Single,No
