Marital Status,City,Active online hours,Gender,Years subscribed,Brand Loyalty,Location Code,Years after high school graduation,Education Level,Renew,Monthly Income
Single,Khon Kaen,4.224099853758035,Female,4.0,-0.9669412987987976,Suburban,35.0,High School,Yes,5833.796457899282
Single,Mahasarakam,6.228555761411211,Female,6.0,0.4903649060738301,Urban,31.0,College,Yes,6304.0842713117145
Divorced,,3.6634575942970375,Male,4.0,-0.44520519179038576,Suburban,34.0,High School,Yes,5390.6535182226535
Single,Khon Kaen,3.9512540216539973,Male,5.0,-0.8750607672169582,Suburban,30.0,High School,Yes,5934.714981177811
Divorced,Khon Kaen,5.374516872869635,Female,4.0,0.13129455280220056,Urban,32.0,Graduate School,Yes,6550.96936364781
Married,Khon Kaen,5.753716415896069,Female,4.0,-0.5895014346567773,Rural,33.0,High School,No,6055.82561265253
Single,Udon,5.430150676225,Female,6.0,0.5592938917645702,Urban,32.0,College,Yes,6028.699228075693
Single,Udon,3.888969006739672,Male,3.0,0.12702726212436466,Rural,32.0,College,No,4372.8197625795765
Divorced,Udon,2.473096719102851,Female,6.0,0.07395164453634427,Urban,34.0,Graduate School,Yes,5997.649778834671
Single,Khon Kaen,4.069464195906669,Male,7.0,-0.3014852099536313,Urban,22.0,High School,Yes,6810.263869550645
Single,Udon,3.9981748288532386,Male,3.0,0.1930816189340524,Suburban,35.0,High School,No,4735.824620856934
Divorced,Udon,4.803208286448456,Female,3.0,0.6270655660950314,Urban,38.0,Graduate School,Yes,5730.557640991638
Divorced,Udon,3.708327708154105,Female,4.0,0.120769187994401,Suburban,,Graduate School,No,5107.895239102292
Married,Khon Kaen,6.288841365961982,Female,2.0,-0.04641383248871676,Rural,,High School,No,6093.199015026795
Single,Udon,5.5626842905600915,Female,7.0,0.3062408455554278,Urban,28.0,College,Yes,5890.712329931
Single,Khon Kaen,8.025732895210286,Male,6.0,0.48258166964981525,Urban,26.0,High School,Yes,6220.808818782805
Single,Mahasarakam,4.444941916814333,Male,6.0,0.15614055352364287,Urban,27.0,Graduate School,Yes,5669.95017579287
Single,Khon Kaen,4.974692929840772,Male,4.0,0.31540551220267954,Suburban,31.0,,Yes,6113.993089793681
Married,Khon Kaen,6.675007063383731,Male,3.0,0.34891669142929965,Rural,32.0,Graduate School,No,4840.217965269957
Married,Udon,6.845255758061329,Male,4.0,0.4773583982765571,Rural,29.0,Graduate School,No,2856.030662064328
Divorced,Mahasarakam,7.124839615177342,Female,5.0,-0.7929347021324864,Urban,32.0,High School,Yes,5837.674223141358
Single,Khon Kaen,6.858289278539365,Male,5.0,-0.04900146700468303,Rural,25.0,College,No,4343.480793634119
Single,Mahasarakam,2.5060890268227736,Female,2.0,0.6940701146948931,Suburban,30.0,,No,5642.090201856383
Divorced,Mahasarakam,5.217261705393983,Female,5.0,0.10006955968055274,Suburban,34.0,Graduate School,Yes,6097.110798255817
Divorced,Khon Kaen,3.7994874210155762,,4.0,-1.112661245069016,Suburban,27.0,College,Yes,5309.4202759827285
Divorced,Khon Kaen,7.883282073336282,Male,6.0,0.4044519084101931,,34.0,Graduate School,Yes,5853.746921016564
Married,,5.6823872371607,Male,5.0,0.25099904143563456,Rural,30.0,Graduate School,No,
Divorced,Mahasarakam,6.786696981008299,Male,4.0,0.6989787564169262,Urban,50.0,College,Yes,5026.171251978001
Divorced,Khon Kaen,1.8748400753150247,Male,5.0,0.9473820812619215,Suburban,31.0,College,Yes,5964.807965963261
Single,Khon Kaen,6.3436562434896695,Female,1.0,0.4399212503518076,Rural,28.0,College,No,6261.991981521703
Single,Mahasarakam,4.159731911473253,Male,5.0,-0.09648377464778116,Urban,28.0,High School,Yes,6231.653439127686
Divorced,Udon,7.279938478264841,Male,3.0,0.588654586620356,Urban,45.0,High School,Yes,5423.738567601397
Married,Mahasarakam,5.162485794337495,Male,6.0,1.201962805474409,Urban,19.0,High School,Yes,6581.177566902328
Married,Mahasarakam,6.155821173118925,Female,3.0,0.46493267146523776,Rural,31.0,Graduate School,No,5894.579171276141
Divorced,Mahasarakam,2.9559093047652873,Male,4.0,-0.28103669865311703,Urban,35.0,High School,Yes,5318.164485099291
Divorced,Mahasarakam,7.169246050189944,Female,4.0,0.015960119917384177,Suburban,25.0,High School,Yes,6471.590257587235
Single,Mahasarakam,7.743602789089458,Male,3.0,0.35518348917686565,Urban,39.0,High School,Yes,5652.338661156392
Married,Udon,6.205922923078388,Female,5.0,0.41999242933270464,Urban,24.0,High School,Yes,5727.60711061568
Married,Khon Kaen,4.97982186306482,Male,6.0,0.33458737339213945,Suburban,41.0,College,No,3643.9482166352263
Single,Khon Kaen,6.776706448016861,Male,2.0,0.120971237958541,Suburban,52.0,College,Yes,4557.852616997551
Divorced,Mahasarakam,4.511200316931254,Female,4.0,0.40441735657748085,Suburban,25.0,Graduate School,Yes,6380.5837995333395
Single,Khon Kaen,6.337798312926457,Male,7.0,0.49942762585075595,Urban,18.0,High School,Yes,7657.024205978865
Divorced,Udon,7.686218698691297,Male,3.0,0.7926069380716605,Urban,39.0,Graduate School,Yes,5720.594817758716
Divorced,Udon,6.415267242842982,Female,4.0,0.3834360839788547,Suburban,41.0,High School,Yes,4715.709240692536
Single,Mahasarakam,6.288640870112786,Female,4.0,-0.4924116094524106,Rural,30.0,Graduate School,No,4084.038875525329
Married,Udon,2.067354939799587,Male,4.0,0.7179714688824438,Rural,37.0,High School,No,4935.588344460222
Single,Khon Kaen,5.294983292509606,Male,5.0,-1.1868603234604833,Rural,43.0,Graduate School,No,6238.483873210895
Single,Udon,6.268390788236472,Female,3.0,0.017307976313546112,Urban,34.0,High School,Yes,4508.419553583776
Divorced,Khon Kaen,6.414689347639848,Male,6.0,-0.502203666990396,Urban,41.0,College,Yes,6161.479568366885
Divorced,Udon,5.618515536969505,Male,5.0,0.003032591560452191,Urban,41.0,College,Yes,5355.921972007388
Single,Khon Kaen,3.9247246741300317,Male,5.0,0.21388309347399492,Urban,31.0,High School,Yes,6247.516431865164
Divorced,Khon Kaen,4.492754827502184,Male,5.0,-0.008599347526259668,Urban,34.0,High School,Yes,5440.545028704471
Single,Mahasarakam,3.42013586662874,Female,3.0,-0.16701303250827143,Rural,42.0,Graduate School,No,6330.803506787909
Single,Khon Kaen,6.107243829195111,Male,3.0,-0.3858844999173047,Urban,39.0,Graduate School,Yes,5245.9865944136955
Divorced,Udon,3.6520212815967468,Male,4.0,-0.28766822776285256,Urban,47.0,College,Yes,6253.965535091482
Married,Khon Kaen,,Male,5.0,-0.21948171356576746,Rural,,High School,No,5323.1634419140055
Single,Mahasarakam,7.628571879752402,Female,4.0,-0.7522913098439684,Suburban,47.0,Graduate School,Yes,5519.455261562181
Single,Mahasarakam,4.541772369204707,Female,4.0,-0.24900182017092698,Rural,41.0,College,No,5234.279395446591
Single,Udon,6.933111764996495,Male,5.0,0.09251155104774547,Urban,39.0,Graduate School,Yes,6575.066355256331
Single,Udon,6.618283231930052,Female,4.0,0.8455555965885134,Suburban,28.0,College,Yes,6179.652430563441
Married,Mahasarakam,7.84950081976881,Female,5.0,0.315356751914261,Urban,39.0,Graduate School,Yes,5667.773949213925
Divorced,Khon Kaen,4.055948356578678,Male,7.0,1.0373323477979266,Urban,22.0,College,Yes,6307.6355220198175
Divorced,Udon,4.207798167766853,Male,3.0,-0.6758121506349859,Urban,39.0,College,Yes,6004.796600919029
Married,Khon Kaen,4.747042215791007,Male,5.0,-0.7174197817512079,Urban,,,Yes,6320.914441592232
Single,Udon,5.674200110271238,Female,6.0,-0.17996505030868293,Urban,32.0,College,Yes,6225.587615879285
Divorced,Khon Kaen,6.866048998296865,Male,2.0,0.7812501102099162,Rural,39.0,High School,No,7822.578360751137
Divorced,Mahasarakam,4.609502106862731,Female,3.0,-0.037790202243840734,Rural,47.0,High School,No,6525.055680537717
Divorced,Khon Kaen,6.941765138346328,Female,5.0,0.44862125614422216,Rural,34.0,High School,Yes,5616.008875346853
Married,Khon Kaen,5.702104677830828,Female,3.0,0.16151506898065793,Urban,41.0,Graduate School,Yes,6089.7506967327745
Single,Mahasarakam,2.2002328668431326,Female,5.0,0.2133572292280219,Urban,42.0,High School,Yes,6757.906479801451
Divorced,Mahasarakam,3.9718755481400896,Male,5.0,-0.029733114629785087,Suburban,29.0,High School,No,5364.798863990595
Divorced,Khon Kaen,1.0,Female,4.0,0.6936467500210541,Urban,24.0,College,Yes,6636.291660371019
Single,Khon Kaen,3.894800907387733,Female,4.0,0.5037232806766355,Rural,27.0,College,Yes,5752.188972885478
Married,Khon Kaen,5.183565792220055,Female,6.0,-0.24549630713318255,Urban,9.0,High School,Yes,7496.878532407081
Married,Mahasarakam,4.868462742886491,Male,2.0,-0.0470164017213435,Rural,37.0,College,No,5989.086920462263
Divorced,Mahasarakam,8.441333003250463,Male,3.0,-0.0012008536200156508,Urban,51.0,College,Yes,5022.371569601755
Married,Udon,7.363396715837666,Female,5.0,0.011713255576498261,Rural,41.0,College,No,5689.969790514663
Single,Khon Kaen,3.4605440285868836,Female,2.0,-0.018620061233813545,Suburban,22.0,College,No,4942.726855081243
Single,Udon,3.0191297793649006,Female,4.0,0.6188953132588996,Urban,35.0,Graduate School,Yes,6062.073138180886
Married,Udon,5.327769912799026,Female,4.0,-0.5354057432587752,Rural,31.0,High School,No,5255.3749092519965
Divorced,Khon Kaen,6.887454689524932,Female,6.0,0.00914290493612388,Urban,27.0,College,,6010.732112846882
Married,,9.867516696848309,Female,2.0,0.4706941555808148,Rural,39.0,Graduate School,No,4950.289567662369
Single,Udon,6.477368921083654,Female,6.0,0.11159877085958067,Urban,18.0,College,Yes,6852.783081501064
Single,Khon Kaen,3.4784401419990365,Female,4.0,0.05736232717620052,Suburban,42.0,Graduate School,No,5040.283108251495
Married,Khon Kaen,7.587544269125329,Male,4.0,0.30536681102645735,Rural,27.0,Graduate School,No,5371.293864597862
Married,Mahasarakam,3.789609244217237,Male,3.0,-0.6766883704708264,Suburban,35.0,Graduate School,No,6339.367247523317
Married,Mahasarakam,4.734277700228972,Female,3.0,0.267353110633619,Rural,39.0,College,No,6820.558192789118
Single,Udon,3.073719767731096,Male,6.0,0.6293294241678631,,30.0,College,Yes,5816.840459976055
Divorced,Mahasarakam,2.593798601833286,Female,6.0,-0.3054739521832673,Urban,27.0,High School,Yes,6371.784909554496
Married,Udon,5.234484542709741,Male,6.0,0.08321692103245514,Rural,33.0,High School,No,3106.746330211278
,Mahasarakam,6.173269128061218,Male,4.0,0.23491245018115234,Urban,41.0,High School,Yes,5808.887929047042
Single,Udon,4.865160636054561,Male,6.0,-0.879021473053883,Rural,30.0,High School,,6021.433344938091
Married,Udon,5.404397240973772,Female,5.0,-0.13818104820413454,Suburban,43.0,Graduate School,No,5367.687618171944
Divorced,Udon,4.506322855375605,Female,5.0,0.27314946163318554,Rural,41.0,Graduate School,No,6239.350069598996
Single,Mahasarakam,4.952235509765608,Male,1.0,-0.5064563441774019,Rural,27.0,Graduate School,No,4048.0834384077016
Married,Mahasarakam,3.786803109647758,Male,4.0,0.01433929154725358,Suburban,42.0,College,Yes,5668.236480245011
Divorced,Khon Kaen,4.937938627757998,Male,5.0,0.30884724904128386,Urban,31.0,Graduate School,Yes,6543.895076450357
Single,Udon,5.627363873043051,Female,5.0,-0.4716676137370288,Urban,35.0,College,Yes,6138.770704092669
Married,Udon,5.672517400960384,Male,2.0,-0.2187093699151269,Rural,19.0,,No,4942.093077837401
Single,Khon Kaen,4.48172302755029,Male,3.0,0.23400453300558058,Suburban,38.0,High School,No,4074.12305633907
Divorced,Khon Kaen,2.4407769128272867,Female,3.0,0.09753650019520403,Urban,38.0,Graduate School,No,5498.8895944125015
Married,Khon Kaen,5.349425814833017,Female,8.0,-0.36736152313270926,Urban,10.0,Graduate School,Yes,6930.927547794314
,Khon Kaen,3.605442889803353,Female,6.0,0.5691954904864388,Suburban,30.0,Graduate School,Yes,6289.180996316694
Divorced,Mahasarakam,5.039271536272967,Female,4.0,1.5,Rural,40.0,Graduate School,Yes,5882.66725874172
Single,Mahasarakam,6.4655034698859435,Male,3.0,-0.009057730724684767,Urban,44.0,Graduate School,Yes,5233.243701651634
Divorced,Khon Kaen,,Male,6.0,-0.10323187979198906,Suburban,30.0,College,Yes,5532.238416696063
Married,Khon Kaen,8.27528227254685,Male,2.0,-0.293970778170693,Rural,34.0,High School,No,4886.31489536916
Single,Mahasarakam,2.7328228940554413,Male,6.0,-0.010735444698853278,Urban,37.0,Graduate School,Yes,6187.0943438361055
Divorced,Khon Kaen,5.460733918458028,Female,5.0,0.05779252441915113,Rural,31.0,High School,Yes,
Single,Khon Kaen,5.648458120361908,Male,4.0,0.06151365178898403,Suburban,32.0,College,No,5119.353249510562
Married,Udon,6.62920511984211,Male,5.0,0.22055835461791587,Suburban,33.0,College,Yes,6184.261160530999
Married,Udon,5.7398050302699195,Male,3.0,,Rural,,Graduate School,No,5272.972837136193
Divorced,Mahasarakam,6.645338942823063,Male,7.0,-0.5730137133181492,Rural,17.0,High School,Yes,6847.658146981122
Single,Udon,5.012042270401915,Female,2.0,0.10419482600017847,Rural,33.0,College,No,6216.4835588351625
Married,Khon Kaen,3.804691930538774,Male,3.0,1.027974755162739,Suburban,36.0,College,No,4157.870450374031
Married,Mahasarakam,8.732224582775853,Female,4.0,-0.8220134749393937,Rural,35.0,College,No,
Married,Udon,7.698716470623686,Female,4.0,0.12976038408507243,Rural,34.0,Graduate School,No,4389.680454252386
Divorced,Udon,6.172108713545434,Female,7.0,0.4454990043048312,Urban,28.0,Graduate School,Yes,5845.126089676094
,Khon Kaen,5.502919344411667,Female,6.0,0.9283893380902526,Suburban,25.0,Graduate School,Yes,6767.139770604235
Married,Khon Kaen,7.247168171762265,Male,4.0,-0.13763219652196737,Rural,34.0,Graduate School,No,3982.200807898859
Divorced,Mahasarakam,5.155402680094215,Female,7.0,1.2775501553550985,Urban,16.0,,Yes,7440.3530530488915
Divorced,Khon Kaen,4.734416116022727,Female,2.0,-0.3204419894252218,Suburban,48.0,Graduate School,Yes,5248.204115419445
Single,Khon Kaen,6.584168190950461,Female,5.0,0.518168553379773,Urban,42.0,High School,,5113.8438914396065
Divorced,Khon Kaen,6.471926402103644,Female,3.0,0.03773192546476956,Suburban,30.0,College,No,5820.380899557677
Divorced,Mahasarakam,2.839588401393499,Male,5.0,-0.39767540847018173,Urban,33.0,Graduate School,Yes,5583.497054430892
Single,Khon Kaen,4.076200333549837,Male,4.0,0.30926794299785854,Rural,34.0,College,No,4390.315729942213
Divorced,Udon,4.095113064862534,Male,4.0,0.03489731364292428,Urban,35.0,College,Yes,5612.344457008975
Single,Khon Kaen,3.61980905623777,Female,5.0,0.18696191464464829,Suburban,34.0,High School,No,6433.242275564996
Divorced,Mahasarakam,4.226867985922592,Female,9.0,0.43784262648640526,Urban,21.0,Graduate School,Yes,7191.76227230859
Married,Mahasarakam,4.584769565606016,Female,4.0,-0.5836357178917213,Suburban,26.0,College,No,4267.064115022336
Married,,7.130015995445341,Male,3.0,-0.20474375170355197,Rural,23.0,High School,No,4271.355961913799
Divorced,Udon,6.070293081919662,Male,3.0,-0.3424211518724027,Rural,52.0,Graduate School,Yes,5927.838098738188
Divorced,Mahasarakam,3.1566353988701508,Female,4.0,0.5805446163906719,Rural,35.0,Graduate School,No,5523.305359676727
Married,Udon,5.858824363642202,Male,7.0,-0.8483007351547903,Suburban,24.0,Graduate School,Yes,6119.681835793574
Divorced,Mahasarakam,6.64704705278443,Female,5.0,-0.8488192249583139,Suburban,16.0,Graduate School,Yes,6456.634190097752
Married,Udon,8.585300126996229,Female,5.0,0.3053031872775484,Suburban,39.0,Graduate School,No,3401.588289653203
Single,Khon Kaen,7.541650217813209,Female,4.0,1.306409378593231,Suburban,55.0,Graduate School,Yes,5111.976226632805
Single,,5.979728693478168,Female,6.0,0.11850185085804857,Rural,22.0,High School,Yes,7066.624648490786
Divorced,Khon Kaen,5.210232029779911,Female,4.0,-0.3157729974066192,Urban,33.0,High School,Yes,5194.97810779578
Divorced,Udon,6.322706469001066,Male,4.0,-0.1425246509446413,Urban,27.0,Graduate School,Yes,5323.855605030706
Married,Khon Kaen,4.12350213875392,Male,4.0,0.3427682879522314,Urban,26.0,College,No,4035.409486081146
Single,Mahasarakam,4.099405371224699,Female,5.0,0.27114494659754396,Suburban,31.0,Graduate School,Yes,5886.729283208644
Married,Udon,5.255199557298092,Male,4.0,0.41694662226156853,Rural,30.0,College,No,2894.571374073297
Married,Khon Kaen,3.9295961729101254,Male,3.0,-0.5126052273127812,Rural,33.0,High School,No,4975.968667826767
Divorced,Mahasarakam,5.223159753205142,Female,6.0,-0.2773625878384474,Urban,31.0,High School,Yes,5632.171880414762
Single,Mahasarakam,7.673116934542874,Male,4.0,0.02988302126336157,Suburban,32.0,Graduate School,Yes,5814.97287700326
Single,Mahasarakam,5.661049832585729,Male,4.0,0.47481104518914796,Rural,42.0,Graduate School,No,5123.164623728757
Single,Khon Kaen,6.0580450794335725,Male,4.0,0.04141264226739533,Urban,39.0,Graduate School,Yes,5578.49691795547
Divorced,Khon Kaen,5.87732462728038,Female,4.0,0.3910214270410085,Suburban,27.0,College,Yes,6233.277571997894
Divorced,Khon Kaen,5.201595566660091,Male,4.0,-0.09154538126499939,Rural,45.0,High School,No,7113.397450697523
Divorced,Udon,5.040813537470286,Female,1.0,0.01988003531478165,Rural,34.0,,No,7275.392928734394
Divorced,Khon Kaen,4.98490414226273,,2.0,0.9970704748583126,Rural,37.0,High School,No,6211.76787084463
Married,Udon,3.7718480895499846,Female,3.0,-1.1867458947083547,Suburban,40.0,Graduate School,No,4836.664085662871
Single,Mahasarakam,5.4821059420980065,Female,3.0,,Suburban,29.0,Graduate School,Yes,5152.450387202395
Married,Khon Kaen,5.987125776703426,Male,2.0,0.7417861001084918,Rural,36.0,,No,7120.582568765969
Married,Mahasarakam,6.376679992153431,Male,2.0,-0.8937697648065229,Urban,28.0,High School,No,4094.27572388234
Divorced,Mahasarakam,7.19374172073344,Male,5.0,,Suburban,37.0,Graduate School,Yes,5553.475626610055
Single,Khon Kaen,2.1215033567014587,Female,4.0,-0.18287061102270485,Urban,36.0,High School,Yes,6024.724673502854
Single,Mahasarakam,1.2760211860059467,Male,5.0,-0.03784018313928278,Urban,19.0,College,Yes,6163.964936196658
Divorced,Khon Kaen,3.7150120686696413,Male,4.0,-0.5027221656274014,Rural,44.0,Graduate School,No,5806.814805804412
Single,Mahasarakam,,Male,6.0,0.3338638056679099,Urban,33.0,High School,Yes,6606.088192551364
Married,Khon Kaen,4.901216001726564,Female,4.0,-0.44844190237898124,Suburban,23.0,Graduate School,No,4676.9105994708425
Married,Udon,6.891048064255112,Female,7.0,-0.3384384391446836,Rural,42.0,High School,No,4856.211475112081
Single,Udon,6.353901860553007,Male,6.0,-0.30433276408198606,Urban,23.0,College,Yes,7023.425375746194
Divorced,Khon Kaen,4.6047545679922,Female,3.0,-0.1920866928407884,Rural,55.0,High School,Yes,4989.9694409032845
Single,Mahasarakam,3.7652281784084485,Male,6.0,-0.17527026377640412,Urban,25.0,College,Yes,6848.723289062366
Single,Mahasarakam,3.461446176210908,Male,4.0,-0.11898032426441335,Urban,46.0,High School,Yes,6287.244610500003
Divorced,Mahasarakam,3.857111984633318,Male,6.0,-0.7866538383569834,Urban,,Graduate School,Yes,6228.3901082872935
Divorced,Mahasarakam,2.4687825333657853,Female,6.0,0.039412168412424065,Urban,31.0,Graduate School,Yes,6112.261165122367
Single,Khon Kaen,6.644781801550384,Male,3.0,0.8144052450715888,Rural,31.0,College,No,4642.635500080513
Divorced,Udon,5.298623999035205,Male,4.0,-0.8181599489993724,Suburban,,High School,Yes,4180.5795092622675
Married,Mahasarakam,2.2492907076795263,Female,3.0,-1.0515557813127163,,34.0,Graduate School,No,4226.358287437572
Married,Khon Kaen,5.831040407223054,Male,3.0,-0.22034831178563782,Rural,31.0,College,No,6278.299773936814
Single,Udon,4.518755998195008,Female,4.0,-0.9028272004144863,Suburban,40.0,High School,Yes,5356.972318514442
Married,Khon Kaen,5.65551897743591,Female,2.0,-0.8427509344588884,Rural,30.0,High School,No,4520.886116386149
Married,Mahasarakam,6.620682230011678,Female,2.0,-0.28204491770511025,Rural,33.0,Graduate School,No,6566.196366187104
Divorced,Khon Kaen,5.341457448365466,Male,5.0,0.12765807952422065,Suburban,48.0,Graduate School,Yes,5463.582936560884
Divorced,Mahasarakam,4.104191084783617,,3.0,-0.6886820989783081,Urban,36.0,Graduate School,Yes,6038.1202888162225
Married,Mahasarakam,2.8691999236992167,Female,4.0,-0.19119193750566138,,40.0,High School,No,5186.114151128042
Single,Khon Kaen,3.8953637983322498,Male,4.0,0.009303097368066136,Rural,37.0,High School,No,5047.384656198573
Single,Mahasarakam,6.847487210641918,Male,4.0,0.030503277551939552,Suburban,27.0,Graduate School,Yes,5536.252408064662
Single,Khon Kaen,4.681053970227968,Male,4.0,1.2330434953334144,Suburban,34.0,Graduate School,No,5109.6996124097295
Divorced,Udon,3.0488832339023157,Female,4.0,-1.2168886717047285,Rural,29.0,Graduate School,No,5891.471588050754
Divorced,Khon Kaen,4.7433425095108115,Female,2.0,-0.12612868148740136,Rural,26.0,Graduate School,No,4001.845775054594
Divorced,Udon,5.218520909886647,Male,4.0,0.5817311801655805,Urban,30.0,High School,Yes,6031.548666842379
Single,Udon,4.624916736491231,Female,4.0,,Urban,32.0,High School,No,4847.601349385918
Married,Udon,5.7339732301573765,Female,4.0,-0.2971786438700794,Urban,44.0,Graduate School,No,5048.326315005187
Married,Udon,4.809602023373919,Female,3.0,1.11834040883689,Rural,36.0,College,No,6317.381933813255
Married,Mahasarakam,3.04790790036683,Male,2.0,0.056248552176434916,Rural,46.0,Graduate School,No,6322.967871789802
Divorced,Udon,5.488977719372324,Male,3.0,0.2456111867463981,Urban,47.0,High School,Yes,4812.639320085896
Single,Mahasarakam,7.8131759774124685,Male,4.0,0.033000468024691844,Urban,42.0,College,Yes,5580.512556675773
Single,Udon,6.152379349216192,Male,6.0,0.6115398708615313,Suburban,24.0,College,Yes,6913.794026636704
Married,Mahasarakam,6.690538240472078,Male,3.0,-0.13747687137396972,Suburban,33.0,High School,No,5934.510291062985
Married,Udon,3.144171324111472,Female,4.0,-1.1219707209746654,Urban,44.0,Graduate School,Yes,5516.117184045989
Divorced,Mahasarakam,3.569336797815431,Male,4.0,-0.62093814905729,,29.0,Graduate School,No,6516.820110117
Divorced,Khon Kaen,4.522613078821766,Female,5.0,-0.1316444441180342,Suburban,33.0,Graduate School,Yes,6138.237452981612
Divorced,Khon Kaen,4.428111897743461,Female,5.0,0.2599945956711006,Urban,42.0,High School,Yes,5364.6497439964505
