ID,age,balance,housing,loan,contact,duration,campaign,previous,poutcome,deposit
108,35,4822,yes,no,unknown,843,2,0,unknown,yes
109,41,1250,yes,no,unknown,1392,2,0,unknown,yes
110,31,216,yes,no,,565,1,0,unknown,yes
111,34,1207,yes,no,unknown,905,1,0,unknown,yes
112,32,791,yes,no,unknown,783,2,0,unknown,yes
113,36,849,yes,yes,unknown,958,2,0,unknown,yes
114,30,239,yes,no,unknown,412,1,0,unknown,yes
115,,1211,yes,no,,795,1,0,unknown,yes
116,36,599,yes,no,unknown,649,2,0,unknown,yes
117,31,825,yes,no,unknown,506,2,0,unknown,yes
118,27,2183,yes,yes,,857,1,0,unknown,yes
119,34,4499,no,no,unknown,1681,1,0,unknown,yes
120,,1289,yes,no,unknown,1697,2,0,unknown,yes
121,32,4665,yes,no,unknown,860,2,0,unknown,yes
122,37,3326,yes,no,unknown,799,1,0,unknown,yes
123,32,783,yes,no,unknown,923,3,0,unknown,yes
124,33,0,yes,no,unknown,521,3,0,unknown,yes
125,,994,yes,no,unknown,1349,8,0,unknown,yes
126,,1354,yes,no,unknown,736,2,0,unknown,yes
127,30,239,yes,no,unknown,785,1,0,unknown,yes
128,45,-311,yes,no,unknown,1030,1,0,unknown,yes
129,45,149,yes,no,unknown,893,3,0,unknown,yes
130,33,1464,yes,no,unknown,588,3,0,unknown,yes
131,44,5773,no,no,unknown,597,6,0,unknown,yes
132,40,278,yes,no,unknown,1015,3,0,unknown,yes
133,31,2910,yes,no,unknown,1392,2,0,unknown,yes
134,30,541,yes,no,unknown,414,2,0,unknown,yes
135,44,1262,yes,no,unknown,788,11,0,unknown,yes
136,34,-538,yes,no,unknown,682,1,0,unknown,yes
137,37,125,no,no,,679,2,0,unknown,yes
138,28,0,yes,no,unknown,1560,2,0,unknown,yes
139,32,620,yes,no,unknown,1234,3,0,unknown,yes
140,37,316,yes,no,unknown,642,2,0,unknown,yes
141,34,2287,yes,no,unknown,895,4,0,unknown,yes
142,,198,yes,no,unknown,431,2,0,unknown,yes
143,28,460,yes,no,unknown,741,6,0,unknown,yes
144,31,1145,yes,no,unknown,1272,4,0,unknown,yes
145,59,-22,yes,no,unknown,748,3,0,unknown,yes
146,24,685,yes,no,unknown,896,3,0,unknown,yes
147,26,901,yes,no,unknown,764,2,0,unknown,yes
148,59,351,yes,no,unknown,1063,5,0,unknown,yes
149,30,0,yes,yes,unknown,1051,1,0,unknown,yes
150,37,274,yes,no,unknown,731,3,0,unknown,yes
151,30,-213,yes,yes,unknown,751,1,0,unknown,yes
152,25,97,yes,no,,709,1,0,unknown,yes
153,44,51,yes,yes,unknown,3094,2,0,unknown,yes
154,29,314,no,no,unknown,938,2,0,unknown,yes
155,26,6840,yes,no,unknown,1560,2,0,unknown,yes
156,26,668,yes,no,unknown,576,3,0,unknown,yes
157,27,54,yes,no,unknown,543,2,0,unknown,yes
158,25,1242,yes,no,unknown,615,2,0,unknown,yes
159,28,292,yes,no,unknown,507,1,0,unknown,yes
160,23,665,yes,no,unknown,1183,1,0,unknown,yes
161,34,1058,yes,no,unknown,864,2,0,unknown,yes
162,28,949,yes,no,unknown,1730,1,0,unknown,yes
163,51,606,yes,no,unknown,560,9,0,unknown,yes
164,35,0,yes,yes,unknown,543,1,0,unknown,yes
165,35,404,yes,no,unknown,539,1,0,unknown,yes
166,56,249,yes,no,unknown,791,2,0,unknown,yes
167,45,3354,yes,no,unknown,746,1,0,unknown,yes
168,60,0,yes,no,unknown,1207,1,0,unknown,yes
169,,589,yes,no,unknown,535,2,0,unknown,yes
170,27,12956,yes,no,unknown,789,3,0,unknown,yes
171,30,873,yes,no,unknown,792,3,0,unknown,yes
172,45,594,yes,no,,833,2,0,unknown,yes
173,29,-20,yes,no,,814,2,0,unknown,yes
174,38,4692,yes,no,unknown,1363,2,0,unknown,yes
175,30,486,yes,no,,1109,3,0,unknown,yes
176,44,1593,yes,no,unknown,828,3,0,unknown,yes
177,,7606,yes,no,,917,1,0,unknown,yes
178,38,226,yes,no,unknown,762,3,0,unknown,yes
179,36,366,yes,yes,unknown,1133,2,0,unknown,yes
180,37,16,yes,no,unknown,638,1,0,unknown,yes
181,35,565,yes,no,unknown,763,1,0,unknown,yes
182,38,19,yes,no,unknown,604,2,0,unknown,yes
183,40,1082,yes,no,unknown,854,2,0,unknown,yes
184,42,1713,yes,no,unknown,855,2,0,unknown,yes
185,46,14481,yes,no,unknown,1269,1,0,unknown,yes
186,35,5724,yes,no,unknown,691,10,0,unknown,yes
187,34,1451,yes,no,unknown,1097,15,0,unknown,yes
188,32,-34,yes,no,unknown,1236,2,0,unknown,yes
189,,3674,yes,no,unknown,886,3,0,unknown,yes
190,35,698,yes,yes,unknown,1343,3,0,unknown,yes
191,36,4136,yes,no,unknown,812,3,0,unknown,yes
192,53,2656,yes,no,unknown,1980,2,0,unknown,yes
193,46,2904,yes,no,unknown,984,2,0,unknown,yes
194,,1004,yes,no,unknown,228,2,0,unknown,yes
195,,410,yes,no,unknown,891,4,0,unknown,yes
196,31,0,yes,no,unknown,745,12,0,unknown,yes
197,29,0,yes,no,unknown,539,12,0,unknown,yes
198,53,62,yes,no,unknown,1044,5,0,unknown,yes
199,27,416,yes,no,unknown,1193,2,0,unknown,yes
200,39,2763,yes,no,,526,2,0,unknown,yes
201,36,2984,yes,no,unknown,394,1,0,unknown,yes
202,,143,yes,yes,unknown,659,2,0,unknown,yes
203,36,0,yes,no,unknown,1036,1,0,unknown,yes
204,32,696,yes,no,unknown,815,1,0,unknown,yes
205,,152,yes,no,,563,1,0,unknown,yes
206,36,-78,yes,no,unknown,1068,1,0,unknown,yes
207,35,867,yes,no,unknown,230,3,0,unknown,yes
208,30,953,yes,no,unknown,747,2,0,unknown,yes
209,42,443,yes,no,unknown,671,5,0,unknown,yes
210,42,-1129,yes,no,unknown,555,5,0,unknown,yes
211,32,415,yes,no,unknown,777,4,0,unknown,yes
212,29,260,yes,no,unknown,707,14,0,unknown,yes
213,44,-411,yes,no,unknown,432,4,0,unknown,yes
214,32,1279,yes,no,unknown,1173,3,0,unknown,yes
215,31,86,yes,yes,unknown,963,2,0,unknown,yes
216,40,-754,yes,yes,,941,3,0,unknown,yes
217,43,0,no,no,unknown,1025,7,0,unknown,yes
218,27,178,yes,no,unknown,732,2,0,unknown,yes
219,37,278,yes,no,unknown,1045,3,0,unknown,yes
220,23,425,yes,no,unknown,768,1,0,unknown,yes
221,25,168,yes,no,unknown,801,1,0,unknown,yes
222,,-36,yes,no,unknown,482,2,0,unknown,yes
223,47,126,yes,no,unknown,2456,2,0,unknown,yes
224,35,-87,yes,no,unknown,1363,7,0,unknown,yes
225,32,6281,yes,no,unknown,1336,4,0,unknown,yes
226,45,644,yes,no,unknown,633,1,0,unknown,yes
227,30,377,yes,no,unknown,524,15,0,unknown,yes
228,29,-271,yes,no,unknown,578,1,0,unknown,yes
229,,5839,yes,no,unknown,984,2,0,unknown,yes
230,23,492,yes,no,unknown,638,1,0,unknown,yes
231,27,99,yes,no,unknown,767,2,0,unknown,yes
232,27,-713,yes,no,unknown,525,2,0,unknown,yes
233,29,32,yes,no,unknown,563,1,0,unknown,yes
234,30,543,yes,yes,unknown,1449,6,0,unknown,yes
235,36,403,yes,no,unknown,920,1,0,unknown,yes
236,35,437,yes,no,,908,1,0,unknown,yes
237,36,1772,no,no,unknown,208,1,0,unknown,yes
238,59,-88,yes,no,unknown,910,2,0,unknown,yes
239,,0,no,no,unknown,1446,1,0,unknown,yes
240,58,853,no,no,unknown,1149,2,0,unknown,yes
241,37,240,no,no,unknown,1123,1,0,unknown,yes
242,46,849,yes,no,unknown,508,2,0,unknown,yes
243,43,318,yes,no,unknown,736,2,0,unknown,yes
244,27,703,yes,no,unknown,590,3,0,unknown,yes
245,38,61,no,no,unknown,636,1,0,unknown,yes
246,53,104,no,yes,unknown,701,1,0,unknown,yes
247,47,1996,no,no,unknown,761,2,0,unknown,yes
248,56,1238,no,no,unknown,1558,1,0,unknown,yes
249,41,879,no,no,unknown,1053,2,0,unknown,yes
250,29,425,yes,no,unknown,562,15,0,unknown,yes
251,50,416,yes,no,unknown,494,5,0,unknown,yes
252,45,844,no,no,unknown,1018,3,0,unknown,yes
253,35,860,yes,no,unknown,884,4,0,unknown,yes
254,26,639,yes,no,unknown,709,5,0,unknown,yes
255,26,710,yes,yes,unknown,1276,2,0,unknown,yes
256,37,1508,no,yes,unknown,381,2,0,unknown,yes
257,30,223,yes,no,unknown,862,11,0,unknown,yes
258,38,619,yes,no,unknown,460,4,0,unknown,yes
259,37,319,yes,no,unknown,467,3,0,unknown,yes
260,53,480,no,no,unknown,648,2,0,unknown,yes
261,29,213,yes,no,unknown,2653,3,0,unknown,yes
262,35,68,no,no,unknown,1085,1,0,unknown,yes
263,28,2788,yes,no,unknown,369,2,0,unknown,yes
264,55,7561,no,no,,685,3,0,unknown,yes
265,49,-46,yes,no,unknown,1055,10,0,unknown,yes
266,50,1595,no,no,unknown,882,1,0,unknown,yes
267,43,1046,no,no,unknown,901,1,0,unknown,yes
268,58,1382,no,no,unknown,700,1,0,unknown,yes
269,38,217,yes,no,unknown,491,6,0,unknown,yes
270,,183,no,no,unknown,940,1,0,unknown,yes
271,59,1321,no,no,unknown,3881,3,0,unknown,yes
272,58,25,no,no,unknown,486,3,0,unknown,yes
273,,4844,no,no,unknown,1137,3,0,unknown,yes
274,42,5345,no,no,unknown,878,3,0,unknown,yes
275,41,812,no,yes,unknown,583,4,0,unknown,yes
276,42,105,no,no,unknown,1159,4,0,unknown,yes
277,39,-190,no,yes,unknown,893,8,0,unknown,yes
278,57,625,no,yes,unknown,867,1,0,unknown,yes
279,52,293,no,no,unknown,706,1,0,unknown,yes
280,59,1033,no,no,unknown,1199,1,0,unknown,yes
281,56,1210,no,no,unknown,935,1,0,unknown,yes
282,49,64,no,no,unknown,586,1,0,unknown,yes
283,,164,no,no,unknown,967,2,0,unknown,yes
284,36,1766,no,no,unknown,595,2,0,unknown,yes
285,40,1248,no,no,unknown,1290,2,0,unknown,yes
286,55,0,no,no,,614,2,0,unknown,yes
287,58,826,no,no,unknown,885,1,0,unknown,yes
288,39,2630,no,no,,651,5,0,unknown,yes
289,47,3727,no,no,unknown,993,6,0,unknown,yes
290,40,406,yes,no,unknown,577,2,0,unknown,yes
291,35,2999,no,no,unknown,1141,6,0,unknown,yes
292,48,1000,yes,no,unknown,1268,2,0,unknown,yes
293,48,503,no,yes,unknown,1243,7,0,unknown,yes
294,24,-203,yes,no,unknown,465,3,0,unknown,yes
295,49,361,yes,no,unknown,513,2,0,unknown,yes
296,36,274,yes,no,unknown,686,11,0,unknown,yes
297,52,3687,yes,yes,unknown,741,4,0,unknown,yes
298,42,323,no,no,unknown,617,1,0,unknown,yes
299,36,981,no,no,unknown,1093,1,0,unknown,yes
300,36,638,yes,no,unknown,1395,2,0,unknown,yes
301,48,3229,no,no,unknown,1089,1,0,unknown,yes
302,51,1610,yes,no,unknown,1248,3,0,unknown,yes
303,51,33,no,yes,unknown,721,3,0,unknown,yes
304,46,536,yes,no,unknown,750,2,0,unknown,yes
305,37,0,no,no,unknown,637,6,0,unknown,yes
306,36,3057,no,no,unknown,2769,4,0,unknown,yes
307,47,2892,no,no,unknown,556,1,0,unknown,yes
308,40,0,no,no,unknown,522,1,0,unknown,yes
309,38,3316,no,no,unknown,1345,3,0,unknown,yes
310,40,106,no,no,unknown,676,2,0,unknown,yes
311,39,2303,yes,no,unknown,775,3,0,unknown,yes
312,60,3301,no,no,unknown,2621,3,0,unknown,yes
313,39,426,no,no,unknown,1029,1,0,unknown,yes
314,51,9,no,no,unknown,371,2,0,unknown,yes
315,27,-97,yes,no,unknown,1528,2,0,unknown,yes
316,41,11008,no,no,unknown,1540,1,0,unknown,yes
317,,4930,no,no,unknown,973,1,0,unknown,yes
318,41,707,no,no,unknown,707,1,0,unknown,yes
319,33,4,yes,yes,unknown,625,2,0,unknown,yes
320,46,126,no,no,,1255,1,0,unknown,yes
321,31,671,yes,no,unknown,704,4,0,unknown,yes
322,41,219,no,yes,unknown,1574,3,0,unknown,yes
323,41,3622,no,no,unknown,1135,4,0,unknown,yes
324,55,1580,no,yes,unknown,1007,1,0,unknown,yes
325,53,1319,no,no,,1318,3,0,unknown,yes
326,55,2152,no,no,unknown,922,2,0,unknown,yes
327,,2843,yes,no,unknown,585,1,0,unknown,yes
328,40,0,no,no,unknown,952,4,0,unknown,yes
329,59,1115,no,no,unknown,834,1,0,unknown,yes
330,42,625,no,no,unknown,651,3,0,unknown,yes
331,41,246,no,no,unknown,683,3,0,unknown,yes
332,27,61,yes,no,unknown,1012,1,0,unknown,yes
333,,-191,yes,no,unknown,958,7,0,unknown,yes
334,43,519,no,no,unknown,973,2,0,unknown,yes
335,44,522,no,yes,,911,1,0,unknown,yes
336,26,-46,yes,no,unknown,382,7,0,unknown,yes
337,,2269,no,no,unknown,1210,1,0,unknown,yes
338,54,386,no,yes,unknown,838,1,0,unknown,yes
339,56,0,no,yes,,422,1,0,unknown,yes
340,57,9103,no,yes,unknown,1098,2,0,unknown,yes
341,29,908,yes,no,unknown,1663,1,0,unknown,yes
342,47,1694,no,yes,unknown,560,3,0,unknown,yes
343,57,-92,yes,yes,unknown,1617,1,0,unknown,yes
344,40,188,yes,yes,unknown,570,2,0,unknown,yes
345,46,0,no,no,unknown,1023,3,0,unknown,yes
346,,740,yes,no,unknown,585,2,0,unknown,yes
347,,655,no,no,unknown,693,3,0,unknown,yes
348,24,867,yes,no,unknown,546,10,0,unknown,yes
349,,1009,yes,yes,unknown,1036,5,0,unknown,yes
350,38,6360,no,no,unknown,1409,2,0,unknown,yes
351,36,4145,no,no,unknown,988,4,0,unknown,yes
352,27,-27,no,no,unknown,498,2,0,unknown,yes
353,26,-122,yes,no,,670,3,0,unknown,yes
354,43,149,yes,no,,662,2,0,unknown,yes
355,25,52,yes,no,unknown,528,2,0,unknown,yes
356,27,335,yes,no,unknown,519,3,0,unknown,yes
357,30,526,yes,yes,unknown,677,3,0,unknown,yes
358,28,-7,no,yes,unknown,3183,2,0,unknown,yes
359,27,-413,no,yes,unknown,422,6,0,unknown,yes
360,32,-241,no,yes,unknown,856,2,0,unknown,yes
361,,75,yes,no,unknown,479,9,0,unknown,yes
362,,0,no,no,,1135,2,0,unknown,yes
363,27,158,no,no,unknown,650,2,0,unknown,yes
364,29,84,no,yes,unknown,587,3,0,unknown,yes
365,33,114,no,yes,unknown,676,1,0,unknown,yes
366,36,0,no,no,unknown,584,1,0,unknown,yes
367,28,-127,yes,no,cellular,1044,3,0,unknown,yes
368,55,49,yes,no,cellular,494,4,0,unknown,yes
369,51,216,no,no,cellular,615,2,0,unknown,yes
370,39,506,yes,no,cellular,718,2,0,unknown,yes
371,42,213,yes,no,cellular,434,3,0,unknown,yes
372,33,170,no,no,cellular,782,1,0,unknown,yes
373,36,776,no,yes,cellular,722,3,0,unknown,yes
374,45,879,no,no,cellular,621,2,0,unknown,yes
375,37,1633,no,no,cellular,629,2,0,unknown,yes
376,46,926,no,no,cellular,385,5,0,unknown,yes
377,,2559,no,no,cellular,889,1,0,unknown,yes
378,28,909,no,yes,cellular,532,1,0,unknown,yes
379,45,-176,no,yes,cellular,574,1,0,unknown,yes
380,,1085,yes,yes,cellular,599,1,0,unknown,yes
381,59,1265,no,yes,cellular,849,1,0,unknown,yes
382,47,-239,yes,yes,cellular,973,3,0,unknown,yes
383,31,726,no,no,cellular,719,2,0,unknown,yes
384,31,296,no,yes,cellular,509,4,0,unknown,yes
385,33,-627,yes,yes,,740,1,0,unknown,yes
386,52,-468,no,no,cellular,534,1,0,unknown,yes
387,,551,no,no,cellular,531,1,0,unknown,yes
388,25,0,no,yes,cellular,634,1,0,unknown,yes
389,25,101,no,yes,cellular,460,3,0,unknown,yes
390,28,517,no,yes,cellular,681,1,0,unknown,yes
391,33,37,no,yes,cellular,1082,1,0,unknown,yes
392,45,854,no,yes,cellular,730,1,0,unknown,yes
393,36,30,no,yes,,716,5,0,unknown,yes
394,26,81,no,yes,cellular,803,2,0,unknown,yes
395,38,0,no,no,cellular,635,1,0,unknown,yes
396,56,663,no,yes,cellular,819,3,0,unknown,yes
397,26,102,no,yes,cellular,658,2,0,unknown,yes
398,26,370,no,yes,cellular,1061,4,0,unknown,yes
399,25,189,no,yes,cellular,687,2,0,unknown,yes
400,,111,no,no,cellular,537,1,0,unknown,yes
401,40,665,yes,no,cellular,781,1,0,unknown,yes
402,37,214,yes,no,cellular,645,1,0,unknown,yes
403,43,0,no,no,cellular,1242,1,0,unknown,yes
404,41,1583,yes,no,,662,1,0,unknown,yes
405,49,0,no,yes,cellular,625,1,0,unknown,yes
406,29,0,no,yes,cellular,426,3,0,unknown,yes
407,39,687,yes,no,cellular,869,1,0,unknown,yes
408,38,327,yes,yes,cellular,556,5,0,unknown,yes
409,26,-119,no,yes,cellular,359,5,0,unknown,yes
410,32,794,yes,yes,cellular,1014,1,0,unknown,yes
411,33,-191,yes,yes,cellular,1290,4,0,unknown,yes
412,31,409,no,yes,,564,5,0,unknown,yes
413,49,3,no,yes,cellular,1439,6,0,unknown,yes
414,27,9,no,yes,cellular,919,2,0,unknown,yes
415,30,155,yes,yes,cellular,1426,3,0,unknown,yes
416,35,1330,no,no,cellular,901,1,0,unknown,yes
417,26,-29,yes,no,cellular,998,4,0,unknown,yes
418,45,3133,yes,yes,cellular,804,1,0,unknown,yes
419,34,-33,yes,yes,cellular,961,1,0,unknown,yes
420,28,-170,no,yes,cellular,720,2,0,unknown,yes
421,25,1243,no,yes,cellular,1341,7,0,unknown,yes
422,30,1598,yes,no,cellular,634,1,0,unknown,yes
423,30,5,no,yes,cellular,829,5,0,unknown,yes
424,47,367,yes,no,cellular,476,4,0,unknown,yes
425,57,658,no,no,cellular,724,1,0,unknown,yes
426,38,1722,yes,no,cellular,500,1,0,unknown,yes
427,54,-315,no,yes,cellular,2029,1,0,unknown,yes
428,25,2483,no,no,cellular,1499,3,0,unknown,yes
429,30,0,yes,yes,cellular,1399,1,0,unknown,yes
430,26,45,no,no,cellular,1187,3,0,unknown,yes
431,31,46,yes,no,cellular,487,1,0,unknown,yes
432,29,482,no,yes,cellular,1097,3,0,unknown,yes
433,49,3728,yes,no,cellular,1060,2,0,unknown,yes
434,60,1099,no,no,cellular,764,2,0,unknown,yes
435,60,2222,yes,no,cellular,1120,2,0,unknown,yes
436,29,983,yes,no,,963,2,0,unknown,yes
437,55,204,yes,no,cellular,1973,2,0,unknown,yes
438,44,1074,yes,no,cellular,911,2,0,unknown,yes
439,47,3466,yes,no,cellular,853,2,0,unknown,yes
440,35,-203,yes,no,cellular,1649,2,0,unknown,yes
441,35,2436,no,yes,cellular,1397,3,0,unknown,yes
442,38,976,yes,no,cellular,766,3,0,unknown,yes
443,34,146,yes,no,cellular,788,2,0,unknown,yes
444,,156,no,yes,cellular,1130,3,0,unknown,yes
445,43,189,yes,no,cellular,1062,4,0,unknown,yes
446,44,163,yes,no,cellular,1669,2,0,unknown,yes
447,51,242,no,yes,cellular,1336,4,0,unknown,yes
448,31,1173,yes,no,cellular,444,3,0,unknown,yes
449,39,0,yes,no,cellular,894,7,0,unknown,yes
450,59,296,no,yes,cellular,805,3,0,unknown,yes
451,,333,no,yes,cellular,1056,2,0,unknown,yes
452,58,3864,yes,no,cellular,815,4,0,unknown,yes
453,30,2686,yes,no,cellular,808,3,0,unknown,yes
454,34,-109,yes,no,cellular,860,4,0,unknown,yes
455,51,65,no,yes,cellular,881,1,0,unknown,yes
456,60,597,no,no,cellular,981,1,0,unknown,yes
457,51,-799,no,yes,cellular,1001,3,0,unknown,yes
458,37,1775,no,no,cellular,514,5,0,unknown,yes
459,30,0,no,no,cellular,716,3,0,unknown,yes
460,46,-563,no,yes,cellular,769,4,0,unknown,yes
461,29,5,no,no,cellular,889,5,0,unknown,yes
462,27,139,no,no,cellular,448,5,0,unknown,yes
463,28,0,yes,no,cellular,767,5,0,unknown,yes
464,34,855,yes,no,cellular,578,1,0,unknown,yes
465,29,694,yes,yes,cellular,1806,4,0,unknown,yes
466,27,151,yes,no,cellular,496,1,0,unknown,yes
467,26,354,no,no,cellular,586,1,0,unknown,yes
468,36,673,yes,no,cellular,689,1,0,unknown,yes
469,44,1265,yes,no,cellular,555,1,0,unknown,yes
470,39,597,no,no,cellular,686,6,0,unknown,yes
471,30,-393,yes,yes,cellular,435,1,0,unknown,yes
472,31,256,yes,no,cellular,873,2,0,unknown,yes
473,56,0,yes,no,cellular,1222,1,0,unknown,yes
474,29,2870,yes,no,cellular,988,1,0,unknown,yes
475,43,184,no,yes,cellular,1019,11,0,unknown,yes
476,32,1905,yes,no,,709,2,0,unknown,yes
477,30,-36,no,no,cellular,561,9,0,unknown,yes
478,40,-839,yes,yes,,1018,2,0,unknown,yes
479,42,3465,yes,yes,cellular,1039,2,0,unknown,yes
480,27,119,yes,no,cellular,781,2,0,unknown,yes
481,35,36,no,yes,cellular,1656,5,0,unknown,yes
482,35,113,yes,no,cellular,923,2,0,unknown,yes
483,,118,yes,no,cellular,1275,1,0,unknown,yes
484,39,251,yes,no,cellular,342,2,0,unknown,yes
485,31,-277,yes,no,telephone,1008,2,0,unknown,yes
486,26,-189,no,yes,cellular,538,2,0,unknown,yes
487,42,4,yes,no,cellular,795,1,0,unknown,yes
488,27,1820,yes,no,cellular,1027,1,0,unknown,yes
489,33,1904,yes,no,cellular,1584,2,0,unknown,yes
490,51,201,yes,no,cellular,582,2,0,unknown,yes
491,33,0,yes,no,telephone,1448,7,0,unknown,yes
