Age,Location Code,Years with Company,Hours Online,Sex,Brand Loyalty,Annual Income,Renew,Marital Status,Education Level,City
44.0,Urban,8.0,3.8008234096548024,F,-0.21094319501991718,50595.275276683824,No,Married,College,Kyoto
53.0,Urban,4.0,3.2663001099866644,M,,,Yes,Single,High School,Tokyo
34.0,Urban,5.0,5.360955696008751,M,-0.3850474806377062,51223.3060230242,Yes,Divorced,High School,Tokyo
58.0,Urban,5.0,5.036226473570109,F,-0.3033137241402672,41306.6827604368,Yes,Single,Graduate School,Kyoto
53.0,Suburban,5.0,4.417070983283135,M,0.09242406847271584,72744.4391570194,No,Married,High School,Kyoto
24.0,Rural,5.0,4.919099051242556,M,0.06599767801535456,50592.64793938074,Yes,Married,Graduate School,Kyoto
58.0,Urban,4.0,7.100726735045098,M,0.0038003618903076908,50351.93107372823,Yes,Married,College,Tokyo
59.0,Rural,4.0,7.202660310397647,M,-0.047266904698612666,54846.076237996014,No,Divorced,Graduate School,Kyoto
48.0,Rural,4.0,4.3476377901456775,M,-0.030336228484542316,49771.26360334026,No,Married,Graduate School,Kyoto
60.0,Suburban,3.0,5.525549538639436,M,0.2923499929412595,53827.743742081635,Yes,Divorced,College,Kyoto
38.0,Rural,7.0,4.794256304476909,F,-0.4696492374029763,98135.18728152465,No,Single,Graduate School,Tokyo
49.0,Rural,7.0,4.549578540603411,F,-0.37549824204383075,24281.083604908566,Yes,Divorced,College,Tokyo
51.0,Urban,6.0,5.506187392703938,M,-0.9660478181555736,44485.82676444577,Yes,Single,Graduate School,Tokyo
56.0,Rural,5.0,5.92101197340178,M,0.05287408143146505,47431.39975397089,No,Married,College,Osaka
46.0,Rural,6.0,4.300502290758085,F,-0.7113754194926858,36924.98899477631,Yes,Married,High School,Kyoto
38.0,Suburban,5.0,3.240712915697351,F,0.4635324143373235,51210.419602500406,Yes,Divorced,College,Osaka
37.0,Suburban,4.0,4.949804934176587,,0.25052040008872994,67839.71239636683,No,Single,College,Kyoto
37.0,Urban,,6.579998719064315,F,0.21163581212257954,39564.50041941697,Yes,Divorced,College,Kyoto
51.0,Urban,5.0,4.531382109838296,F,-0.09722726855647008,41192.57273845126,Yes,Divorced,High School,Tokyo
47.0,Rural,4.0,3.596538221083751,M,-0.35398453493522875,44623.142621411665,Yes,Divorced,High School,Tokyo
44.0,Urban,5.0,7.2209543321526475,F,-0.4414019399902682,,Yes,Single,Graduate School,Osaka
29.0,Suburban,5.0,6.274993847503993,M,-0.36092497381059196,58820.717559255456,Yes,Single,Graduate School,Tokyo
38.0,Urban,,3.120542953202211,M,-0.06354271101442238,47424.730969280405,Yes,Single,High School,Kyoto
40.0,Suburban,5.0,6.0373241371664905,M,-0.7199455322482387,70757.93574993074,No,Married,College,Kyoto
53.0,Suburban,5.0,2.6659323860997493,M,0.06339361476802546,43384.503072178646,No,Married,High School,Osaka
44.0,Urban,,6.421419826848516,M,-0.2608973012338952,20373.659921803774,Yes,Divorced,High School,Kyoto
36.0,Suburban,2.0,6.108222504102318,F,-0.12820255260800656,72052.83348091393,No,Married,High School,Tokyo
49.0,Suburban,5.0,4.813848778908717,M,-0.3223164823623193,43307.17740121188,Yes,Single,Graduate School,Kyoto
57.0,Rural,3.0,4.361147119586519,F,-0.8754070047781712,50361.547666443235,No,Married,Graduate School,Kyoto
46.0,Suburban,2.0,5.069327762865254,F,,60399.11492099797,No,Married,High School,Tokyo
53.0,Suburban,6.0,7.363167055725128,F,-0.26814062511144826,33328.459494033435,Yes,Single,Graduate School,Kyoto
37.0,Rural,,,M,0.06627787274807273,51167.781776641765,No,Divorced,Graduate School,Osaka
35.0,Rural,4.0,3.4465802444539095,M,-0.23156168853775091,49826.86685320489,No,Married,High School,Kyoto
37.0,Rural,3.0,4.633963478132765,M,0.3090004073617394,66370.70498043044,No,Married,High School,Osaka
48.0,Urban,4.0,2.1211000157323348,F,-0.05318063142168633,54770.48506740136,Yes,Married,High School,Kyoto
,Urban,6.0,6.450714871989629,M,0.2645900116159493,41010.117049766006,Yes,Divorced,Graduate School,Kyoto
49.0,Urban,7.0,6.744943416608685,M,-0.01577962294197799,73716.23235177228,No,Married,High School,Kyoto
54.0,Urban,4.0,5.769369352643984,F,-0.4746330739176203,48232.111864577215,Yes,Divorced,High School,Tokyo
60.0,Rural,5.0,4.806088614910367,M,0.3526621636218641,74619.85164249156,No,Single,College,Osaka
49.0,Suburban,5.0,7.552220935911668,F,-0.6528232871250843,44219.1004357964,Yes,Divorced,High School,Osaka
54.0,Suburban,8.0,6.07347602100268,F,-0.17835707133115145,75023.12787902926,No,Divorced,High School,Osaka
50.0,Suburban,6.0,5.14104054744263,M,-0.2668300009259616,33535.582963919034,Yes,Divorced,College,Osaka
40.0,Rural,4.0,5.4687427249247405,F,-0.07988575949123908,66281.8890230224,No,Married,High School,Tokyo
51.0,Urban,6.0,6.101147963001364,M,-0.551078152678706,34780.3343874607,Yes,Divorced,Graduate School,Kyoto
50.0,Suburban,4.0,3.111558941741405,F,0.552025588222602,73942.76565088093,No,,College,Tokyo
56.0,Urban,2.0,4.0189528216176456,F,-0.44649540320027437,52051.38364385176,Yes,Married,High School,Kyoto
50.0,Urban,4.0,5.572287369426773,F,-0.5821941205706569,43787.72047383414,Yes,Single,College,Osaka
50.0,Urban,6.0,7.374367111256536,F,0.2986516849182421,44880.78800157261,No,Married,High School,Kyoto
60.0,Rural,5.0,5.537323737719345,F,-0.37819947675757165,79721.47902791154,No,Married,High School,Osaka
41.0,Rural,4.0,5.110664799116516,F,-0.5493169756349994,62549.82161412045,No,Married,Graduate School,Osaka
42.0,Urban,7.0,5.692448036047889,M,-0.21607681211316307,42027.74802069852,Yes,Divorced,High School,Tokyo
58.0,Urban,3.0,3.532123522314052,M,-0.5507662712667638,52022.57701374054,Yes,Divorced,College,Tokyo
47.0,Rural,3.0,4.433687278080215,M,0.04046219178820076,53857.006991354334,Yes,Divorced,,Kyoto
47.0,Suburban,6.0,5.333737719134813,M,0.557271439380652,56392.37621128798,No,Married,College,Osaka
51.0,Rural,3.0,4.979352367226481,M,-0.10007964996387014,55395.665134648654,Yes,Married,Graduate School,Osaka
30.0,Urban,4.0,4.159849098498698,M,0.5501747071431372,48749.36836971577,Yes,Divorced,College,Osaka
59.0,Rural,,4.078469775278792,F,-0.5855197987018596,62529.48327493962,No,Married,Graduate School,Osaka
47.0,Rural,5.0,6.443121250205888,F,0.46011190612817887,36937.627595963175,No,Divorced,Graduate School,Kyoto
26.0,Urban,5.0,5.00815000303222,M,0.22711827304148247,52061.90570762475,Yes,Divorced,High School,Tokyo
52.0,Suburban,5.0,7.534280027213682,F,-0.0808199070438764,37027.63915890052,Yes,Divorced,High School,Osaka
53.0,Rural,5.0,7.912521115604749,M,-0.2572415225081224,55613.89071750718,No,Married,College,Osaka
57.0,Suburban,3.0,5.888745494831136,M,-0.0008929703500063502,66862.03728521708,No,Married,Graduate School,Tokyo
40.0,Rural,4.0,5.418238072058054,M,-0.19908772171716344,67850.64751646153,No,Married,College,Tokyo
34.0,Urban,2.0,5.121114161850826,M,-0.044248996672220375,67970.44913231794,Yes,Divorced,College,Tokyo
41.0,Urban,6.0,6.378081746089634,F,0.04819994609659839,41570.50619532037,Yes,Divorced,Graduate School,Tokyo
39.0,Rural,6.0,6.625743664964186,F,-0.03871437084083912,65840.34223713893,No,Married,Graduate School,Osaka
38.0,Urban,5.0,6.312048916272495,F,0.17449285089707106,42209.33346505774,Yes,Divorced,High School,Tokyo
47.0,Suburban,7.0,4.538097906669743,F,-0.04956975803255448,50833.290049230956,No,Married,College,Tokyo
43.0,Urban,3.0,6.742229182585239,F,0.21176683374422328,54341.918967367215,Yes,Single,High School,Osaka
45.0,Urban,1.0,6.254603519311445,M,,67448.33092730025,Yes,Divorced,College,Osaka
43.0,Rural,5.0,4.848274429951243,M,-0.6561944172542036,35004.45373826318,No,Married,Graduate School,Osaka
56.0,,5.0,5.073107157009013,M,-0.2959768217725268,61750.56631361111,No,Married,Graduate School,Osaka
59.0,Rural,4.0,5.087081738872001,M,0.11529921757469669,46910.24365494564,Yes,Married,High School,Tokyo
45.0,Rural,4.0,4.236795319226144,M,0.03233142234492101,38547.836006888305,No,Divorced,High School,Tokyo
50.0,Suburban,3.0,8.432722593415235,F,-0.0011967200261661648,52349.21377302194,Yes,Single,College,Kyoto
20.0,Urban,2.0,2.4390063804428133,M,-0.7918052875530251,56944.40693275024,Yes,Single,College,Tokyo
46.0,Suburban,4.0,5.323226377950427,M,-0.6469235472614436,59985.508356089325,Yes,Married,High School,Osaka
61.0,Suburban,1.0,4.007174304563911,F,0.6062959160665811,66049.95569856575,Yes,Single,High School,
38.0,Urban,5.0,4.253472089043583,M,0.2752021638164903,47778.14485806141,Yes,Single,High School,Kyoto
53.0,Suburban,2.0,3.9304009310633674,M,-0.3994629684460881,61016.415037029765,Yes,Married,College,Kyoto
43.0,Suburban,6.0,5.12784510930144,F,-0.32308015674492163,42582.70499879995,Yes,Married,College,Osaka
57.0,Urban,5.0,5.203638847091011,M,-0.517816870853014,47250.17884304124,Yes,Married,College,Kyoto
38.0,Suburban,4.0,6.155018374864462,M,-0.13004785722478954,54649.21811293157,Yes,Single,High School,Tokyo
60.0,Rural,5.0,5.488775026260408,M,-0.45885591397080483,71662.39160642817,,Divorced,High School,Tokyo
32.0,Suburban,,3.8817356392062567,F,-0.6459746189955686,66312.88222196432,Yes,Single,College,Osaka
42.0,Urban,5.0,8.017624842437476,F,0.2700156755980225,54126.61763876962,Yes,Divorced,Graduate School,Kyoto
28.0,Urban,7.0,7.108321770248526,F,-0.13067706763370868,30954.411506843775,Yes,Divorced,College,Osaka
64.0,Urban,4.0,4.165469814947574,M,-0.41925980330867224,52429.708446810386,Yes,Single,,Kyoto
38.0,Rural,,4.2187527313173385,M,-0.5360830888794309,,No,Single,College,Kyoto
53.0,Suburban,1.0,6.142716956169806,,-0.6946318093935276,67235.23348976119,Yes,Single,High School,Tokyo
49.0,Suburban,4.0,5.640010344058383,F,-0.2711135728898463,71710.94259704949,No,Divorced,Graduate School,Osaka
50.0,Suburban,6.0,4.887817569521118,M,-0.3891477475936538,45408.03294248194,Yes,Divorced,College,Tokyo
29.0,Rural,,6.420556881638598,F,-0.5874855690829219,50354.86406874827,Yes,Divorced,,Osaka
43.0,Suburban,3.0,7.6293208649396504,F,-0.3883224951526961,71820.69008524978,No,Married,Graduate School,Kyoto
,Rural,5.0,4.303137529897758,F,-0.4867798450368769,52985.05023995234,No,Married,College,Kyoto
41.0,Rural,3.0,6.644250472737843,F,-0.045032061453636085,43012.508344689006,Yes,Single,Graduate School,Tokyo
45.0,Suburban,1.0,4.637789705854299,M,-0.6944908115388773,63668.78281365565,No,Single,College,Osaka
47.0,Rural,1.0,3.0191715857357373,F,-0.3085007277004351,76141.36852910035,No,Married,High School,Kyoto
45.0,Urban,6.0,5.38495052386811,M,0.06933670837188527,50142.55341291865,,Divorced,High School,Tokyo
52.0,Rural,7.0,,F,0.16914298925343663,77145.41143149044,No,Married,Graduate School,
52.0,Rural,3.0,5.848536606881446,F,-0.07289958074006772,61066.772213221986,Yes,Divorced,College,Osaka
46.0,Suburban,5.0,4.534138710764711,F,0.25760116760633706,74860.78106687445,No,Single,Graduate School,Osaka
38.0,Urban,3.0,5.355897539901053,F,-0.40122767567680934,45486.29471117761,Yes,Married,High School,Kyoto
60.0,Suburban,6.0,4.2825696643649245,F,-0.5040743796665595,40135.31219652209,Yes,Divorced,College,Kyoto
43.0,Rural,4.0,5.973132544651569,F,-0.31184672799618735,58495.479716852766,No,Single,Graduate School,Kyoto
49.0,Suburban,4.0,6.041090177912809,M,-0.8561642290307565,64049.52710918148,No,Single,College,Osaka
40.0,Urban,5.0,4.867957633821719,F,-0.1370661538331307,41346.61852285274,Yes,Divorced,College,Kyoto
51.0,Urban,6.0,5.045247958892914,M,-0.437015920170814,52082.44786772617,Yes,Divorced,College,Tokyo
47.0,Urban,3.0,4.221943253462568,F,-0.2713748479281404,62578.53205844312,Yes,Divorced,Graduate School,Tokyo
45.0,Urban,4.0,1.7414662257461537,F,0.3004473354335354,42513.98680443392,Yes,Divorced,High School,Osaka
65.0,Rural,5.0,5.3652057371013635,F,0.0338766696243788,39537.863692175044,Yes,Married,Graduate School,Tokyo
35.0,Urban,5.0,4.516376235721577,M,-0.1837452573901625,48679.290801072195,Yes,Divorced,Graduate School,Osaka
44.0,Suburban,8.0,4.40100477977969,F,-0.9034591190760944,44902.6158370989,Yes,Married,High School,Tokyo
46.0,Suburban,5.0,5.556428110556311,M,-0.02553150375815391,56249.85105115478,No,Married,High School,Kyoto
56.0,Suburban,0.0,1.1059384718264482,M,-0.8057892909405677,63592.11978076291,Yes,Divorced,Graduate School,Kyoto
44.0,Rural,2.0,7.107846078992086,M,-0.24160528757795083,84120.97085657719,No,Single,College,Osaka
54.0,Urban,,6.769790324988845,F,-0.03988862457372094,54033.83207454234,Yes,Divorced,High School,Kyoto
37.0,Urban,5.0,3.8582852287051153,F,-0.1999105612712172,48338.407769800324,Yes,Married,Graduate School,Osaka
65.0,Urban,5.0,6.187500866411536,F,-0.0951861035887638,53499.084363016795,Yes,Single,Graduate School,Kyoto
62.0,Urban,3.0,4.461420224549791,M,-0.6437170083146413,51683.681072592546,Yes,Divorced,High School,Kyoto
46.0,Suburban,4.0,7.258306414961239,F,-0.33962957429407814,58714.919504289326,No,Married,High School,Kyoto
39.0,Suburban,6.0,,,0.39542520374759194,44821.70139516054,Yes,Single,College,Kyoto
47.0,Urban,8.0,3.405325112212809,F,-0.07223201124290379,27930.795923666432,Yes,Divorced,College,Tokyo
33.0,Suburban,4.0,5.123782936655374,M,-0.46755682093536993,62947.58468242261,No,Single,Graduate School,Tokyo
60.0,Suburban,2.0,2.4216768453173287,F,-0.38312746643707846,39793.69204285208,No,Married,Graduate School,Kyoto
45.0,Rural,5.0,4.162234779658633,F,-0.2068754172082954,41569.718862816255,Yes,Divorced,High School,Osaka
49.0,Urban,3.0,5.032990223379033,F,-0.8170402997630682,45646.050427566086,Yes,Single,Graduate School,Tokyo
45.0,Suburban,5.0,4.311270561426988,M,0.3414436455267845,31127.352147931455,Yes,Single,Graduate School,Osaka
55.0,Suburban,5.0,5.549726667460417,F,0.1715173339396096,55896.88996472905,Yes,Single,College,Kyoto
41.0,Rural,5.0,6.011909283280557,M,-0.6366260038831121,69996.00470003171,No,Divorced,College,Tokyo
30.0,Urban,5.0,3.8286281899247987,F,-0.7935906953714724,47714.96493253064,Yes,Single,High School,Osaka
47.0,Rural,5.0,6.568047821937508,F,-0.1302567786676373,42736.05843017252,No,Married,,Tokyo
48.0,Urban,5.0,5.142329744721144,F,0.2030332086391196,29494.610854585477,Yes,Married,Graduate School,Osaka
45.0,Urban,5.0,3.6118199865199103,F,0.052166522616338695,44346.81237502616,Yes,Single,College,Tokyo
60.0,Rural,4.0,4.78599474619943,M,-0.13210100120769858,51324.404766625616,No,Married,High School,Osaka
43.0,Urban,5.0,5.270850315021205,M,-0.44553299770508636,35745.76380860843,Yes,Single,High School,Kyoto
44.0,Suburban,4.0,5.658105549929539,F,,41320.46874645672,Yes,Divorced,College,Kyoto
47.0,Suburban,4.0,5.323774079530066,F,0.3322924192641722,50060.68306444294,Yes,Single,High School,Tokyo
28.0,Urban,4.0,2.7658397659920024,F,0.10909780601159158,38391.174223153335,Yes,Divorced,Graduate School,Kyoto
48.0,Suburban,6.0,5.9428312891261035,F,-0.05814978809667104,33232.83984690257,No,Divorced,Graduate School,Kyoto
34.0,Suburban,3.0,,F,-0.3926633751379556,50918.72343656238,Yes,Divorced,Graduate School,Tokyo
43.0,Rural,5.0,5.89322736712951,F,-0.5931489294505683,66719.66355443637,No,Divorced,Graduate School,Tokyo
56.0,Urban,7.0,3.928923668190369,F,-0.3936892750973212,32115.485724466605,Yes,Single,Graduate School,Osaka
43.0,Rural,5.0,1.1582218508734883,M,0.2113350606701363,66016.51608234976,No,Married,College,Kyoto
55.0,Urban,7.0,5.33531053818651,F,-0.36238078882137964,45181.05071555774,Yes,Divorced,Graduate School,Kyoto
43.0,,4.0,2.538285564765681,F,0.09815722010873085,44292.73118613078,Yes,Single,High School,Tokyo
53.0,Rural,5.0,4.032754861442095,F,-0.584478194234909,42497.5471889082,No,Divorced,Graduate School,Osaka
58.0,Rural,3.0,5.983774117159097,M,0.06096382054059879,,No,Divorced,High School,Osaka
48.0,Rural,2.0,5.804742384943555,M,0.22845031648073427,58666.760452597395,Yes,Married,College,Osaka
62.0,Rural,3.0,7.866505442385681,M,0.13185578221581212,74844.11261125484,No,Married,High School,Tokyo
59.0,Urban,5.0,6.543811328752918,M,0.09404791046375877,49610.40681501692,Yes,Single,College,Osaka
42.0,Urban,3.0,4.5653282617802144,F,-0.9742235731867919,43057.60492009802,Yes,Married,High School,Osaka
51.0,Suburban,0.0,5.651317626042665,M,,46699.35686994903,No,Married,College,Kyoto
40.0,Suburban,4.0,5.705703660520245,F,-0.09994103483802948,58111.38652460228,Yes,Married,High School,Kyoto
49.0,Suburban,3.0,4.095731704676339,F,-0.47329772550499194,62565.03986822267,No,Divorced,College,Osaka
59.0,Rural,3.0,5.108860994887679,F,-0.21613376152154448,47297.98410309816,No,Married,Graduate School,Kyoto
50.0,Urban,,5.619733815656277,F,0.06962025622688783,41544.094800421866,Yes,Divorced,Graduate School,Osaka
43.0,Urban,4.0,4.795159253538198,F,-0.3141245538138199,,Yes,Single,College,Kyoto
32.0,Rural,4.0,5.1892328401976915,F,-0.6207347163605432,56304.463466640955,No,Single,Graduate School,Osaka
49.0,Suburban,6.0,3.7401391025172415,M,0.2604789448337277,46058.840297396644,Yes,Single,High School,Osaka
45.0,Suburban,6.0,5.593989506982802,M,-0.020423628709500652,83320.4804544813,No,Divorced,High School,Kyoto
42.0,Suburban,5.0,5.754908996040298,M,-0.965323151993043,24484.405336496267,No,Married,High School,Osaka
59.0,Suburban,6.0,5.991935259960533,M,-0.24197917991465454,44170.976013023275,No,Divorced,Graduate School,Tokyo
43.0,Urban,4.0,5.893518134147865,M,-0.6535191548836814,54404.72938532903,Yes,Single,High School,Kyoto
47.0,Rural,7.0,5.154469977308895,F,-0.6967196332954189,92129.46152424363,No,Single,College,Osaka
40.0,Rural,4.0,,,-0.6003534500404439,70538.59645902424,No,Married,Graduate School,Kyoto
55.0,Urban,1.0,4.231525928310762,F,-0.21090466861713747,67065.92699731296,Yes,Divorced,College,Kyoto
56.0,Suburban,5.0,3.840039937774216,F,0.45615450410946023,65376.691387661325,Yes,Divorced,Graduate School,Kyoto
55.0,Suburban,7.0,3.5393231675543184,F,0.24492789523688824,61088.48759331243,No,Married,College,Kyoto
51.0,Suburban,4.0,4.380410608950741,F,-0.2806093503943262,44622.46716929435,No,Married,Graduate School,Kyoto
36.0,Urban,2.0,2.8446232796942232,F,-0.2485704097893908,52032.09649412571,Yes,Single,College,Tokyo
32.0,Rural,5.0,5.626446066770436,F,-0.19809459879437546,38168.9192387006,Yes,Divorced,College,Tokyo
57.0,Rural,3.0,6.1497422480999155,F,-0.05905123248526936,41156.69089995344,No,Single,College,Kyoto
55.0,Rural,6.0,6.061554263490687,F,-0.7736664779177655,77656.03863854962,No,Married,Graduate School,Osaka
41.0,,3.0,4.674651955609643,F,-0.6704564210460873,51791.3017940041,Yes,Divorced,College,Kyoto
51.0,Urban,3.0,5.179765688436324,M,-0.15622106342925074,49262.02910901209,Yes,Single,High School,Tokyo
52.0,Rural,5.0,4.729687709246604,F,0.12404339464111486,37468.7967842339,No,Married,College,Tokyo
51.0,Rural,4.0,5.274904216307225,M,0.1457348112332213,59226.26388810954,No,Divorced,High School,Osaka
51.0,Rural,2.0,4.67304520342328,M,-0.3632806879814479,38662.97839416288,No,Divorced,Graduate School,Tokyo
37.0,Rural,3.0,4.6359922818626655,F,-0.37662448626034367,63707.594600993325,No,Divorced,College,Tokyo
54.0,Suburban,2.0,4.388188193222859,M,-0.08687033196628885,56788.47902849188,Yes,Single,College,Tokyo
29.0,Urban,4.0,4.803853713665974,M,-0.9095402923674475,45304.46356951777,Yes,Divorced,Graduate School,Tokyo
57.0,Urban,5.0,6.6226878208001665,M,-0.4128333130047549,51217.272820410086,No,Divorced,High School,Osaka
57.0,Rural,5.0,5.2114464953855295,F,-0.06776316370185734,67972.60298216589,No,Married,High School,Tokyo
52.0,Urban,4.0,3.0880466365088335,M,-0.13448906418261436,55099.0232760863,Yes,Divorced,Graduate School,Osaka
50.0,Suburban,5.0,6.573640351886517,M,0.21382972711337966,60061.19912304203,No,Married,High School,Kyoto
37.0,Rural,3.0,5.118249553437062,M,0.20539176819500116,67785.99419561905,Yes,Divorced,Graduate School,Kyoto
53.0,Rural,4.0,5.776032480685192,F,0.5375416133807593,50183.57811781124,No,Married,College,Osaka
49.0,Urban,5.0,1.7284059428591938,F,-0.6628350307650988,49191.866820733,Yes,Divorced,College,Tokyo
34.0,Urban,2.0,6.183698976429408,M,-0.22768081532335951,58087.32234269666,Yes,Single,Graduate School,Osaka
35.0,Rural,4.0,4.504740345871545,F,-0.5102063220032156,85535.98287944462,No,Married,College,Kyoto
50.0,Suburban,3.0,2.9128452567364866,F,-0.07804406709726597,52323.108252424725,Yes,Divorced,High School,Kyoto
45.0,Rural,7.0,6.248823838432326,M,-0.610108162485604,35882.50513871231,Yes,Married,Graduate School,Tokyo
55.0,Rural,4.0,6.677581749203904,M,,61849.34539004131,No,Married,College,Osaka
38.0,Urban,5.0,6.751667722908361,M,0.49401091299081634,44024.19875923625,Yes,Married,High School,Tokyo
33.0,Suburban,4.0,4.68428416944336,F,-0.4661757102100678,49637.56031912309,Yes,Married,Graduate School,Kyoto
56.0,Suburban,5.0,5.616396607117761,,-0.6453499557502559,49778.51903213132,Yes,Single,Graduate School,Tokyo
,Urban,4.0,7.879816509685961,F,-0.21827481472838028,42103.00289987072,Yes,Divorced,High School,Tokyo
58.0,Urban,6.0,3.3835126248685428,F,-0.12398288402293602,38559.458850033916,Yes,Divorced,High School,Kyoto
48.0,Rural,4.0,6.493824784660977,F,-0.3434655057896383,42337.382110906314,,Divorced,Graduate School,Kyoto
62.0,,2.0,2.927558311689295,F,-0.9112012466591086,60405.278542154956,Yes,Married,Graduate School,Kyoto
38.0,Rural,5.0,8.100696930578296,F,-1.0352476668668706,69412.72610599537,No,Married,High School,Kyoto
42.0,Rural,2.0,6.1782453376216075,F,-0.6349965476382465,60157.99064909332,No,Divorced,College,Kyoto
42.0,Urban,7.0,7.403194372906173,F,-0.342191182839529,32678.80558755777,Yes,Single,College,Kyoto
61.0,Suburban,4.0,4.24876901117583,M,-0.4059353821844539,57449.12559899395,Yes,Divorced,High School,Kyoto
48.0,Suburban,,4.295961212348435,F,-0.4495404754215493,70982.43530158582,Yes,Divorced,College,Osaka
36.0,Urban,5.0,4.898071957684738,F,0.28743684669719405,46917.42497776555,Yes,Married,High School,Kyoto
50.0,Rural,7.0,3.8313243699591286,,-0.7757390525698887,100000.0,No,Single,High School,Osaka
45.0,Rural,6.0,3.098641586171409,F,-0.45871712466246706,64381.03065958523,No,Married,College,Osaka
53.0,Rural,2.0,5.104889984753512,M,-0.4466059504234673,58580.966943509,No,Single,Graduate School,Tokyo
,Urban,3.0,4.445589463926219,M,-0.5324634131962906,60615.219026576684,Yes,Divorced,Graduate School,Osaka
52.0,Urban,5.0,3.438614322018683,M,0.10783321540702667,80723.40119287395,No,Married,High School,Kyoto
38.0,Suburban,6.0,5.144128849479098,F,-0.32097446229440585,57153.647377729794,No,Divorced,College,Kyoto
40.0,Suburban,5.0,7.313868524069245,M,0.009175088532699605,28391.904135272463,Yes,Single,College,Tokyo
25.0,Rural,7.0,5.918723660640191,F,-0.40128305586250423,30379.7841693387,No,Married,High School,Osaka
40.0,Rural,7.0,4.398356558495056,F,-0.6474836380841722,35545.83021125913,No,Married,High School,Tokyo
22.0,Rural,4.0,5.851115729835051,M,-0.5108304502783623,52898.380102226365,No,Single,Graduate School,Osaka
49.0,Suburban,3.0,7.131636382684742,M,-0.2209866384691805,53259.96040250393,No,Single,College,Kyoto
35.0,Urban,5.0,5.33088365341063,M,0.20576508070208321,37273.875827064774,Yes,Divorced,,Osaka
61.0,Rural,3.0,5.133592781248411,M,0.04728244824439193,55457.46800616898,No,Married,High School,Kyoto
41.0,Urban,5.0,3.731517073525275,M,-0.4225477513545659,49553.19723656323,Yes,Single,Graduate School,Osaka
47.0,Urban,5.0,5.537679447097882,F,-0.6635776607275308,51823.86570456305,Yes,Single,High School,Tokyo
50.0,Suburban,4.0,4.7214285733104004,F,-0.4325596817030293,62502.125151490996,No,Single,Graduate School,Osaka
37.0,Urban,4.0,5.598250865217833,F,-0.37277497679092514,39588.83865130844,Yes,Divorced,College,Tokyo
40.0,Suburban,5.0,5.014677999480449,M,-0.01978033602028878,33896.82007598402,Yes,Divorced,College,Tokyo
45.0,Rural,6.0,5.179074335182737,M,-0.1530747574911105,51117.694132878256,Yes,Divorced,High School,Osaka
60.0,Urban,5.0,4.570296328636447,F,-0.517553810628885,58484.92174926427,Yes,Married,College,Tokyo
50.0,Rural,4.0,6.5907693791580515,F,-0.32560977021628906,42696.67388627526,No,,High School,Osaka
,Suburban,5.0,3.90110123665984,F,-0.2783375612954355,51781.27140776165,No,Divorced,Graduate School,Osaka
40.0,Urban,4.0,4.523509426697669,F,0.0375441959909914,65390.68861701407,Yes,Divorced,Graduate School,Tokyo
46.0,Suburban,5.0,3.530908874072301,F,0.45086544556828934,45363.25995409937,Yes,Single,College,Tokyo
