Sex,Education Level,Renew,Online Activity,Marital Status,Monthly Income,Months with Company,Brand Loyalty,Location Code,City,Years after high school graduation
Female,College,No,4.441013148275291,Single,4626.748568942978,44.0,0.42861062518380344,Suburban,London,44.0
Male,High School,Yes,7.020844981835907,,4526.770085012325,31.0,0.2023930275027112,Rural,New Castle,25.0
Female,Graduate School,Yes,6.998848351701426,Divorced,4694.295276979783,43.0,0.22932410548529503,Suburban,Manchester,39.0
Male,Graduate School,No,4.416522379710582,Divorced,5530.233218852793,55.0,0.8750899382619641,Rural,New Castle,35.0
Female,Graduate School,Yes,7.240532977916185,Divorced,4534.773839622072,,-0.5070634891787973,Urban,New Castle,13.0
Female,College,No,4.008678890087022,Married,3300.9786399290015,46.0,0.6221220052054183,Rural,New Castle,29.0
Male,Graduate School,No,6.143147277902353,Divorced,3546.2995546221928,89.0,-0.4331983086019529,Suburban,New Castle,30.0
Female,Graduate School,Yes,6.702176702242163,Divorced,5945.379940868939,22.0,0.7780855709512501,Urban,London,36.0
Female,High School,Yes,6.916489567587917,Married,3781.926457826185,49.0,-0.20038923132619962,Urban,New Castle,30.0
Female,College,No,3.1606904954217927,Divorced,5823.291663187421,35.0,0.8628442114096602,Rural,Manchester,42.0
Male,College,Yes,5.092032250475372,Divorced,4039.0585831035646,50.0,-0.5891224626636135,Urban,New Castle,38.0
Female,High School,Yes,6.688722876679687,Single,5996.184083390964,38.0,0.5332209507977572,Suburban,London,28.0
Female,High School,Yes,5.10589549357211,Married,5964.923521351298,66.0,-0.18563996457352094,Urban,Manchester,28.0
Male,College,Yes,8.006083149002286,Single,,43.0,0.053686480285474736,Suburban,London,42.0
Female,College,No,3.6906271339437344,Divorced,4190.392510401771,52.0,0.45539923990722186,Rural,New Castle,19.0
Male,High School,No,3.406088703624807,Married,5529.013695132449,24.0,0.6247938188432842,Rural,London,28.0
Female,High School,No,3.5760317696465984,,5765.613285444534,43.0,0.716291032213894,Suburban,New Castle,37.0
Female,College,No,3.1253807458851752,Single,4597.298567244575,19.0,0.5004716047745632,Urban,Manchester,33.0
Male,Graduate School,No,4.721813164539775,Married,4393.002013921606,57.0,0.3829204748162933,Rural,Manchester,32.0
Male,Graduate School,No,3.996412007088422,Single,,65.0,0.26723160119637807,Rural,New Castle,15.0
Female,High School,Yes,6.846312153604168,Divorced,5024.297293723278,36.0,0.08362849723197918,Suburban,New Castle,35.0
Male,High School,Yes,3.9171810898148474,Divorced,,43.0,-0.5107304633814949,Suburban,London,32.0
Female,High School,Yes,4.85511690804937,Single,1716.6292011779392,33.0,-0.9673113671701085,Urban,London,44.0
Male,Graduate School,No,3.889472997815873,Married,6051.80721370758,78.0,0.3090728697473376,Rural,Manchester,45.0
Female,College,Yes,,Single,4516.6665620391195,11.0,0.7619318760733759,Suburban,New Castle,34.0
Female,High School,Yes,7.299945220771422,Married,5067.452360435625,42.0,0.1323649707812451,Urban,Manchester,46.0
Male,College,No,5.851370839054306,Single,3151.4587898946565,62.0,0.4367201457139538,Rural,London,35.0
Male,College,No,5.442105514446433,Divorced,4098.518448129786,76.0,-0.04389972777165013,Rural,London,34.0
Female,High School,No,4.956302861376124,Single,2926.7425624511648,74.0,-0.404952679415852,Suburban,London,37.0
Male,Graduate School,No,4.592087160166592,Married,4483.598046226128,92.0,-0.35798335411335847,Suburban,New Castle,27.0
Male,Graduate School,No,4.363662690505613,Married,4454.232351982807,95.0,-0.5549233581366481,Rural,Manchester,48.0
Male,College,No,2.8541345054021554,Married,3368.0733171858733,56.0,0.5797661481718399,Urban,London,38.0
Male,Graduate School,Yes,2.918145571176284,Divorced,4658.796630570846,71.0,-1.1886511203295185,Rural,London,41.0
Male,College,No,3.9531005079069637,Single,5080.978611226614,72.0,-0.16070234336882805,Urban,New Castle,24.0
Male,Graduate School,No,2.2027698948318033,Single,6583.1288997391675,10.0,1.4781535008335702,Urban,London,33.0
Female,College,Yes,5.452509642633674,Divorced,4088.5504407499507,47.0,-0.454787048901756,Urban,Manchester,16.0
Female,College,Yes,5.385854897138526,Single,5533.883669299524,67.0,-0.3909315260141347,Rural,London,25.0
Female,College,Yes,5.486927377263838,Single,4751.081703085694,68.0,-0.5656978133495953,Urban,London,29.0
Female,College,No,5.2085476009717535,Divorced,4298.367893671039,71.0,0.01568816173490964,Rural,London,34.0
Male,High School,No,3.9590654869121304,Divorced,6420.988643754009,58.0,0.017974518124318356,Rural,Manchester,42.0
Male,High School,Yes,5.302903126922754,Single,4245.829165764967,34.0,-0.1644508063636342,Urban,Manchester,24.0
Male,Graduate School,Yes,8.4911183641238,Single,5310.798563157901,42.0,0.1627254274623458,Urban,London,29.0
Male,High School,Yes,9.776025244915093,Single,6977.477321192642,68.0,0.14999650909738538,Urban,Manchester,46.0
Female,Graduate School,No,5.791833112673501,Married,4221.383930559968,55.0,-0.056975136382812736,Suburban,Manchester,26.0
Female,Graduate School,Yes,6.582946224588566,Divorced,5708.634170610445,62.0,-0.05097767225246655,Urban,London,33.0
Male,College,No,4.04906705957915,Divorced,4062.2324663100894,67.0,0.02938147183442935,Suburban,Manchester,
Female,High School,Yes,3.7938124432516043,Single,3914.103766609266,68.0,-0.5222632770797315,Urban,London,31.0
Male,College,Yes,7.389404364993004,Single,6913.289491618259,54.0,0.5559916914069724,Urban,Manchester,33.0
Male,High School,Yes,6.143684063501915,Divorced,5324.931289985629,43.0,0.2820524234935989,Urban,Manchester,31.0
Male,High School,No,3.7874660112471075,Married,5436.907263366544,27.0,1.5000000000000002,Urban,New Castle,25.0
Female,High School,Yes,5.666926106356217,Single,5726.554214329117,20.0,0.7210267033292304,Urban,New Castle,45.0
Female,High School,No,3.4615386774968955,Divorced,4763.231268809621,64.0,0.29324651662408846,Rural,London,29.0
Male,High School,No,4.054634993718494,Divorced,5599.458061110012,87.0,0.03816967095938917,Suburban,New Castle,45.0
Male,College,No,4.602649240575509,Divorced,3098.2900411876913,48.0,0.010876693007021293,Rural,London,38.0
Male,Graduate School,Yes,4.194623595055688,Married,3907.9438355011876,52.0,-0.7435883268707046,Urban,Manchester,41.0
Female,Graduate School,Yes,6.249957431749069,Divorced,6741.287849027065,32.0,0.9138504430845613,Suburban,London,24.0
Female,Graduate School,No,6.261686695167316,Single,3656.3803059075617,62.0,0.40111477767799764,Rural,Manchester,37.0
Female,College,Yes,6.432771299252583,Single,5646.85865493538,,-0.009186822910693032,Suburban,New Castle,37.0
Female,High School,No,3.666618355809973,Divorced,5054.1433660017765,75.0,-0.6535640915615344,Rural,Manchester,41.0
Female,College,No,3.063236382590315,Married,6271.316857691925,62.0,0.8271649300983641,Rural,Manchester,48.0
Male,High School,No,3.3977320179956214,Married,4983.175928320474,84.0,-0.04472452163744048,Rural,London,37.0
Male,College,Yes,3.924809150834129,Divorced,2946.9190415227868,25.0,-0.38809576489425435,Suburban,Manchester,23.0
Male,Graduate School,No,4.825717154894183,Single,4863.204348629171,45.0,-0.42016797938491207,Rural,Manchester,35.0
Female,College,No,4.474143988222657,Married,4605.380963460983,64.0,-0.35705431155893963,Suburban,Manchester,43.0
Female,Graduate School,Yes,8.40224146124411,Divorced,5609.72262266448,37.0,0.3894003557913269,Urban,Manchester,29.0
Male,High School,No,4.820303269076545,Divorced,4936.658761806033,64.0,-0.3714034964319004,Suburban,New Castle,24.0
Male,Graduate School,Yes,8.054757885132126,Single,5626.272736847714,39.0,0.4711738649417746,Urban,New Castle,29.0
Female,High School,Yes,9.187035095812064,Single,5142.068291364554,28.0,0.7291461494375128,Suburban,Manchester,41.0
Male,Graduate School,No,,Married,4712.82394366723,81.0,-0.327748702679166,Rural,New Castle,40.0
Male,College,Yes,6.218547405106232,Married,5431.40123111292,49.0,-0.010012607218254116,Suburban,New Castle,30.0
Male,College,Yes,5.652462066795527,Single,6432.525509858185,53.0,0.3693786447857187,Urban,London,23.0
Female,Graduate School,Yes,7.354761823263326,Divorced,5263.563465321943,42.0,0.02856645907552388,Urban,Manchester,43.0
Male,High School,No,3.9437635260110815,Divorced,4734.14915147427,71.0,-0.08096991602223337,Rural,Manchester,34.0
Female,Graduate School,,8.383543350904771,Divorced,5291.825904322233,73.0,-0.6058506133304524,Urban,New Castle,14.0
Female,High School,Yes,6.233194368937016,Divorced,4643.454357884093,29.0,0.23636381296208914,Urban,New Castle,43.0
Female,College,Yes,4.772046822955894,Divorced,4970.605072554849,54.0,-0.37471525713191567,Urban,New Castle,37.0
Female,High School,Yes,4.464808264980051,Single,1901.076006028431,2.0,-0.10473154635447907,Urban,Manchester,38.0
Female,High School,No,3.685051445333061,Single,3381.158601128297,60.0,0.5981546142680745,Rural,New Castle,33.0
Female,College,Yes,6.3049455326314545,Divorced,6057.003240554055,21.0,0.8271545334594808,Urban,Manchester,28.0
Male,Graduate School,No,4.184309140534619,Single,4740.988196244635,85.0,-0.3733147533142862,Rural,Manchester,35.0
Female,High School,Yes,5.511874723263353,Divorced,4745.341756056614,12.0,0.6660452612599885,Suburban,Manchester,38.0
Male,High School,Yes,6.1870545649374495,Divorced,4226.673272985826,45.0,-0.17582181008704156,Urban,Manchester,42.0
Female,Graduate School,Yes,7.662946475744214,Divorced,5094.010834934583,54.0,0.15311451753616578,Urban,Manchester,25.0
Female,High School,No,3.1134208905172005,Single,5946.369243255225,73.0,-0.7067279284788802,Rural,New Castle,33.0
Female,College,Yes,6.684733885851064,Divorced,4102.779276945778,24.0,0.22239600311746915,Urban,New Castle,41.0
Male,Graduate School,Yes,6.97624827097136,Divorced,8091.347570647475,50.0,0.848657169330955,Urban,New Castle,36.0
Male,College,Yes,7.328880110533291,Divorced,4700.154858852329,34.0,0.4040583604584361,Rural,London,26.0
Female,College,No,5.068815603050644,Divorced,5153.898099873411,51.0,0.1852959342010045,Suburban,Manchester,36.0
Female,High School,Yes,6.603783565904147,Single,6025.645565241015,23.0,0.7237054001252694,Urban,Manchester,32.0
Male,Graduate School,No,4.8610681251550325,Divorced,,51.0,0.8380266448662643,Rural,Manchester,
Male,High School,No,4.513429151390681,Married,4989.668903450074,45.0,1.0004639997587053,Rural,London,37.0
Male,High School,,5.348395918611786,Divorced,4549.438072317206,44.0,-0.26334494684662313,Urban,New Castle,31.0
Female,College,Yes,4.862816479212325,Divorced,3354.9828153783164,41.0,-0.25088875657192394,Suburban,New Castle,34.0
Female,High School,No,4.178579891622906,Divorced,4527.341735552711,,-0.13713247546553603,Rural,London,42.0
Male,High School,Yes,4.845431303601408,Married,4449.514809829771,33.0,0.021551239972211866,Urban,Manchester,36.0
Male,Graduate School,Yes,6.102404980957226,Single,4472.03384949132,14.0,0.22665514536943515,Urban,Manchester,42.0
Male,College,Yes,7.689968605335925,Divorced,5541.977383147141,57.0,-0.10433081439235165,Urban,London,36.0
Male,Graduate School,Yes,6.619993374566492,Divorced,7003.00853881721,63.0,0.18364116732072366,Urban,Manchester,27.0
Female,Graduate School,No,,Married,3184.5539667032745,91.0,0.06143267950910253,Rural,London,50.0
Female,Graduate School,No,2.1984226046217885,Married,7533.913609397313,40.0,-0.12948966909740547,Rural,New Castle,44.0
Male,Graduate School,,5.735484028400409,Married,3954.5724002620536,65.0,-0.00912355059971895,Rural,New Castle,30.0
Male,Graduate School,Yes,5.751401439039073,Divorced,2206.913176897261,13.0,-0.04532759584805762,Urban,New Castle,41.0
Male,Graduate School,Yes,7.35721297776005,Married,1821.5572225095916,6.0,0.12238856839770867,Urban,New Castle,34.0
Male,Graduate School,Yes,6.189797098130978,Divorced,5080.82772652991,43.0,0.16280798112358708,Urban,New Castle,37.0
Male,College,Yes,3.667124129891552,Divorced,4218.247939257946,55.0,-0.5894628613833129,Rural,Manchester,34.0
Female,College,No,4.161828067416901,,6686.938211426856,28.0,0.5728515692936547,Rural,Manchester,36.0
Female,College,Yes,7.861018087516696,Single,4789.446391571268,51.0,-0.1697229975754034,Rural,New Castle,37.0
Male,College,Yes,6.2222343625068905,Divorced,4065.1087774401194,45.0,-0.2789421406028033,Suburban,Manchester,31.0
Male,High School,Yes,5.3260177632895696,Divorced,5130.620717093974,36.0,0.2139368967879305,Urban,New Castle,29.0
Female,Graduate School,Yes,6.081307819723883,Single,5380.802186827164,47.0,-0.00650758722216449,Suburban,Manchester,29.0
Female,College,,7.279803140493321,Single,5016.650718769756,58.0,-0.23086172661359958,Urban,London,35.0
Female,Graduate School,No,4.221899107788527,Married,5546.259118495876,26.0,0.45750720904056763,Rural,New Castle,30.0
Male,College,Yes,4.615903532024633,Divorced,3730.912210341426,41.0,-0.3207199839554351,Urban,London,24.0
Male,Graduate School,Yes,6.154174773315867,Divorced,5942.728722689587,,0.6002702932145171,Urban,London,17.0
Male,High School,Yes,6.338070490629677,Divorced,4808.407358594991,46.0,0.08867154976316899,Urban,London,27.0
Male,High School,Yes,7.195594537646053,Single,4222.498770156919,50.0,-0.3442973571878194,Urban,New Castle,37.0
Female,Graduate School,No,5.15400665474318,Divorced,4493.10513929258,64.0,0.19802973052297346,Urban,London,38.0
Male,High School,Yes,3.3130377156983393,Single,3025.3111854725107,67.0,-1.315799855531685,Urban,Manchester,33.0
Male,College,,6.5143453663170785,Single,,31.0,-0.26985454990877095,Suburban,New Castle,53.0
Male,High School,Yes,6.171271937462123,Married,3140.7403237676003,30.0,-0.293599987265813,Suburban,New Castle,36.0
Female,College,Yes,6.6979078165741495,Divorced,4325.585134275279,35.0,-0.11585769718266681,Urban,London,39.0
Male,Graduate School,Yes,4.321070379523329,Divorced,5655.185368334409,55.0,-0.15119291246218564,Rural,London,41.0
Male,College,No,3.7253931669155493,Married,5818.519891205483,77.0,-0.00510368385548346,Rural,New Castle,39.0
Female,College,Yes,5.810018424382436,Divorced,4483.989616777618,36.0,-0.13350146387465278,Urban,Manchester,14.0
Male,Graduate School,Yes,4.4607769092678335,Single,,56.0,-0.843228316980091,Urban,London,40.0
Female,,Yes,5.245705795437989,Divorced,2994.326115242037,5.0,0.17419227957555722,Urban,London,29.0
Male,Graduate School,Yes,6.336935247779625,Single,6983.059215989131,65.0,0.12115426412944441,Urban,London,34.0
Male,High School,Yes,7.687206653497065,Single,4895.79056533561,42.0,0.19556208323829422,Suburban,Manchester,29.0
Male,College,Yes,7.679734643445985,Single,4851.878413410892,55.0,-0.43212271763520405,,,32.0
Male,Graduate School,No,4.515365936185358,Divorced,5372.257333110629,75.0,-0.6187235461241065,Urban,London,37.0
Female,High School,Yes,6.54562804677404,Single,6537.3286217373025,35.0,0.9035130290140561,Urban,Manchester,31.0
Male,Graduate School,No,3.501764023960943,Married,4785.131615136217,12.0,0.26399156282321895,Suburban,London,27.0
Male,Graduate School,Yes,4.48582580989384,Married,2407.442836979375,13.0,-0.28850266562237975,Urban,Manchester,34.0
Male,Graduate School,No,3.996266993566868,Married,2685.177895760145,29.0,-0.5797135286828593,Rural,Manchester,39.0
Female,Graduate School,No,2.4133764917266265,Married,4642.648823168745,20.0,0.9931728594085067,Rural,Manchester,25.0
Female,Graduate School,No,2.9049151514608074,Married,5791.356751211212,,0.9383327533365844,Rural,London,23.0
Female,High School,,8.563686802719694,Divorced,5871.393737036559,49.0,0.2212174027394111,Suburban,New Castle,39.0
Female,College,No,3.7315228730308663,Married,6376.0052703010715,79.0,-0.49632590497152074,Rural,New Castle,42.0
Male,Graduate School,Yes,6.834800014488407,Divorced,5373.505141150991,41.0,0.13346497003024993,Suburban,New Castle,36.0
Male,College,Yes,6.165172755057665,Single,4634.430284004184,33.0,0.12878405375047863,Urban,Manchester,29.0
,College,Yes,7.39435627056001,Divorced,5705.09512192283,61.0,-0.18968568187184293,Urban,New Castle,29.0
Female,Graduate School,No,4.909188091362028,Married,2701.635898721316,46.0,0.6201949965209042,Rural,Manchester,29.0
Male,High School,Yes,5.091738061945911,Single,,45.0,-0.2291019594782147,Urban,Manchester,40.0
Female,Graduate School,Yes,7.784798600674326,Divorced,4720.065921229908,24.0,0.3386200973918948,Urban,London,41.0
Male,Graduate School,No,4.427483917284073,Married,5529.983238239196,55.0,-0.16897708357130323,Rural,Manchester,
Male,College,No,4.069412037777875,Divorced,4698.003636942343,69.0,0.4444592091243138,Suburban,London,27.0
Female,High School,Yes,6.226021912389215,Single,3376.148152519113,31.0,0.042574956341269454,Suburban,Manchester,23.0
Male,Graduate School,,5.5337929735856735,Single,7651.34252859972,65.0,0.6234059623086153,Urban,New Castle,28.0
Female,Graduate School,No,2.9844271831271163,Married,4848.479627470337,60.0,-0.05041993915796464,Urban,London,39.0
Male,College,No,5.117019772408685,Single,5785.925944703098,88.0,-1.0202369616238816,Rural,,23.0
Male,Graduate School,Yes,4.72837202153348,Single,4896.300197689202,29.0,0.19186935239053565,Suburban,Manchester,21.0
Female,High School,No,4.313594361589928,Married,2513.9266497221142,25.0,0.3140913755449909,Rural,London,35.0
Female,Graduate School,Yes,5.463379841013292,Divorced,4324.537415811339,48.0,-0.48146994826317313,,London,22.0
Female,Graduate School,Yes,6.159534622014028,Divorced,2870.98693184324,27.0,-0.13338749239447656,Rural,New Castle,44.0
Female,College,Yes,6.114173855921909,Divorced,5152.621712146527,56.0,-0.12465414791220983,Urban,Manchester,31.0
Male,Graduate School,Yes,7.468729017514674,Married,7150.863869736197,60.0,0.35743991972861033,Urban,London,34.0
Male,College,Yes,4.280644784915011,Married,6523.241843431577,52.0,0.22844516310918417,Urban,London,30.0
Female,Graduate School,Yes,4.4602673331000755,Divorced,6207.008091180127,34.0,0.7948175555016315,Urban,New Castle,20.0
Male,High School,Yes,7.656750991691551,Single,7283.338551122499,47.0,0.9010641496554213,Suburban,Manchester,45.0
Female,High School,Yes,7.354949709139856,Married,5110.4621604083795,43.0,0.1684216179823121,Suburban,London,29.0
Female,High School,Yes,6.566525191848475,Single,4381.548600186129,44.0,-0.07412700079739423,Suburban,London,32.0
Female,Graduate School,No,5.091823260083204,Married,5808.249380335037,82.0,-0.2537266552693682,Suburban,London,32.0
Male,Graduate School,Yes,7.505872498315102,Married,3593.7758777671443,13.0,0.27099285581250265,Rural,New Castle,26.0
Female,High School,No,3.9113937293082133,Married,3651.8917106209938,42.0,-0.03703162872100038,Rural,New Castle,28.0
Male,College,No,4.695183167274405,Married,3818.2915610558325,56.0,0.11562455459821308,Rural,New Castle,34.0
Female,Graduate School,Yes,5.811297350441678,Single,1502.191984296101,16.0,-0.6065814623290402,Suburban,Manchester,38.0
Female,Graduate School,No,3.736853776296245,Married,6019.071124543564,32.0,0.29323808445957134,Rural,New Castle,34.0
Female,College,Yes,7.178156847402627,Divorced,5594.143706012033,61.0,-0.35425912136351356,Urban,New Castle,31.0
Male,College,Yes,7.449164826785996,Married,5361.902038067254,61.0,-0.24487610545041028,Urban,Manchester,57.0
Female,College,No,3.094835459275007,Married,4274.598457925888,37.0,-0.015256189411307186,Urban,New Castle,39.0
Female,College,Yes,6.734567504303621,Single,4144.148658802487,45.0,-0.20491994858478546,Urban,London,26.0
Female,High School,No,5.2461583702420596,Single,3703.1452903754794,60.0,0.030084470701333577,Suburban,Manchester,42.0
Female,College,Yes,6.627476921465387,Divorced,3153.6643850562014,7.0,,Rural,New Castle,28.0
Female,High School,Yes,8.20738506373833,Single,6404.0608684259805,75.0,0.1371634419298996,Rural,New Castle,33.0
Male,High School,No,3.583992742400051,Married,5637.6614752950045,48.0,0.35609776083976663,Rural,Manchester,41.0
Male,Graduate School,Yes,7.080246344536025,Divorced,5466.067039363373,55.0,0.09047512730401758,Suburban,London,36.0
Female,Graduate School,Yes,6.881152322328864,Divorced,6640.879713803501,49.0,0.1518786005153463,Rural,London,18.0
Male,High School,,3.4461554753467567,Married,4829.732208833873,27.0,0.18959707886685245,Suburban,Manchester,34.0
Female,Graduate School,No,4.06006455911312,Single,4150.034296974975,41.0,0.2897058686405329,Rural,New Castle,35.0
Female,College,No,5.696315856556035,Married,4854.539349584523,,0.2089879771035435,Suburban,London,22.0
Male,High School,No,3.6051333850613183,,5569.306261821189,54.0,0.39082842449393074,Urban,London,33.0
Female,Graduate School,No,4.121802768405523,Married,5024.9723184169525,81.0,-0.17205622580485028,Rural,Manchester,49.0
Female,College,No,4.134641037806441,,6253.0363112061605,39.0,0.35732496877222486,Rural,New Castle,32.0
Female,High School,No,4.07853646879386,Married,3387.8404041468643,28.0,0.7904798201001992,Rural,Manchester,36.0
Male,High School,Yes,5.478208365968876,Divorced,,31.0,-0.09816820372164725,Urban,Manchester,30.0
Male,College,Yes,6.108645418738304,Divorced,5295.3762831228005,63.0,-0.1511614723167431,Urban,Manchester,38.0
Female,Graduate School,,4.889901221684361,Divorced,4737.6325029592645,51.0,-0.33153578949188156,Suburban,Manchester,41.0
Female,College,Yes,5.1042386480876845,Divorced,3899.482305388159,,-0.15026587544973094,Urban,London,33.0
Male,Graduate School,Yes,5.413658954459608,Married,4898.953071442245,41.0,0.1901647061705577,Urban,New Castle,36.0
Female,College,Yes,6.210711631396117,Married,4252.827391960765,22.0,0.0732122469268976,Suburban,London,45.0
Female,High School,Yes,5.738058014073881,Single,3722.0233388473785,23.0,-0.02179096919276241,Urban,London,34.0
Female,Graduate School,No,3.7940767798939796,Divorced,5490.410579076842,48.0,0.6777165876919298,Rural,New Castle,37.0
Female,College,No,3.227062531702509,Divorced,4747.190915217467,72.0,0.3104068645447342,Rural,,36.0
Male,Graduate School,Yes,5.876350501156431,Married,5545.6571652179655,33.0,0.16976707835836263,Urban,London,48.0
Female,Graduate School,Yes,7.490423886143914,Single,6056.362429127317,39.0,0.38587274357674284,Urban,,38.0
Male,Graduate School,No,4.02777819287501,Married,4942.168153841594,68.0,0.49164190054818446,Rural,London,30.0
Female,Graduate School,Yes,6.307858267626324,Divorced,4969.706373860904,5.0,0.9992056173210624,Urban,Manchester,35.0
Female,College,No,4.508615276037719,Married,5117.950486651596,27.0,0.18101749393286443,Rural,London,34.0
Female,High School,Yes,8.030274885257816,Divorced,5523.6954733277325,56.0,0.0832445095350195,Urban,Manchester,34.0
Male,College,Yes,5.902155110037831,Married,3751.1856495357288,75.0,-1.216555575381888,Urban,New Castle,31.0
Male,High School,Yes,7.964570653121733,Married,6297.312218114024,54.0,0.24144380083340072,Suburban,London,29.0
Male,Graduate School,Yes,7.324300899000395,Divorced,4842.756528646455,61.0,-0.4223178079770935,Urban,Manchester,29.0
Male,Graduate School,Yes,7.129795061758932,Married,6720.369737743843,39.0,0.6331355972164807,Urban,New Castle,21.0
Female,College,Yes,6.8122498376314145,Married,7057.393730174439,27.0,1.0543522269975534,Suburban,Manchester,41.0
Male,College,Yes,5.1897643833282725,Divorced,3543.8733728083944,70.0,-1.1685048132074138,Urban,New Castle,39.0
Male,College,Yes,5.650216423095822,Single,5587.8542195971295,37.0,0.2659424992254577,Urban,London,
Female,,Yes,7.870458980196833,Single,3299.764611986533,24.0,0.08972131796782956,Urban,London,27.0
Male,Graduate School,,5.617033973980062,Divorced,4848.655641590299,38.0,0.17248333096645513,Urban,Manchester,18.0
Female,High School,Yes,6.605190961454651,Divorced,3034.828678370379,45.0,-0.7042247124320444,Suburban,New Castle,38.0
Female,Graduate School,Yes,7.090540238452295,Single,5791.727985818092,36.0,0.45877529358605884,Urban,Manchester,32.0
Female,Graduate School,No,4.368751279303114,Married,5343.169595571395,78.0,0.16720475086913683,Suburban,New Castle,40.0
Female,College,No,4.975269687934854,Single,3996.4124308835444,68.0,-0.15463998080161612,Rural,New Castle,34.0
,College,,5.443136673086908,Divorced,4128.986887087539,48.0,-0.2826219450337396,Urban,Manchester,24.0
Male,High School,Yes,,Divorced,7118.462764954209,53.0,0.45926353379937745,Urban,New Castle,33.0
