Marital Status,Education Level,Brand Loyalty,Online Activity,Years after high school graduation,Sex,Renew,Annual Income,Location Code,Years with Company,City
Single,College,0.25206725297142324,7.203927785005829,,Female,Yes,62018.74947121183,Rural,8.0,Manchester
Divorced,High School,0.09643609802317843,3.3285022117298952,25.0,Female,Yes,75932.7966795284,Urban,9.0,London
Married,High School,,4.692751031195568,32.0,Male,No,44116.05768529895,Suburban,6.0,Manchester
Single,College,1.1026245044067335,5.78865855746675,25.0,Male,No,62577.258640136264,Rural,6.0,New Castle
Divorced,,-0.11924135683283985,5.284553580684953,26.0,Female,Yes,59326.24482565224,Suburban,5.0,Manchester
Single,High School,-0.6765444321564998,5.360314143478131,24.0,Female,Yes,51057.68101791704,Urban,4.0,New Castle
Divorced,High School,0.11465841855557292,5.436353288586145,20.0,Female,Yes,42183.71954075151,Suburban,,Manchester
Divorced,College,0.3768963665671616,4.04469264802903,22.0,Female,Yes,61295.99178899293,Urban,5.0,London
Divorced,Graduate School,-0.473389087380383,6.59201646358302,,Female,Yes,60663.951027001676,Urban,3.0,Manchester
Married,Graduate School,-0.7875612424395642,5.996101127886651,31.0,Male,Yes,48943.367102134944,Suburban,5.0,Manchester
Divorced,College,0.122755731845869,5.883957321971513,28.0,Male,Yes,54525.44408414115,Rural,5.0,New Castle
Married,Graduate School,-0.24957281081520805,6.713674290717597,34.0,Male,No,53003.92363747662,Urban,8.0,Manchester
Divorced,Graduate School,0.4893809623084418,6.7115420073523175,21.0,Male,Yes,51917.9121870782,Urban,6.0,New Castle
Divorced,Graduate School,0.780457001729279,3.698563875544936,31.0,Male,Yes,60788.673175197786,Suburban,5.0,Manchester
Married,Graduate School,-0.05331221434732378,6.378565267645726,25.0,Female,No,43312.965052812,Rural,5.0,London
Divorced,Graduate School,0.7495970871092207,4.192282685195646,25.0,Male,Yes,67514.78005183552,Suburban,3.0,London
Divorced,Graduate School,-0.35321844143938186,6.179574597187397,25.0,Male,Yes,62578.81314317324,Rural,4.0,New Castle
Divorced,College,-0.7895298136259704,3.5486796123520623,29.0,Male,No,64570.08314527383,Rural,5.0,London
Divorced,College,-0.15993590957960072,4.282331747269175,16.0,Female,Yes,54651.09162390965,Urban,4.0,London
Divorced,High School,0.0404349143612143,3.6336232346254342,,Female,Yes,60576.343084389235,Urban,6.0,New Castle
Married,Graduate School,-0.29428464801602794,7.58514191859846,31.0,Female,No,86647.87971352215,Rural,4.0,Manchester
Single,Graduate School,0.7306017521980283,5.287783858232104,29.0,Female,Yes,,Suburban,2.0,New Castle
Divorced,Graduate School,0.2408241025222527,4.945480593000066,15.0,Female,Yes,45758.68427524026,Urban,5.0,New Castle
Married,College,0.44485891432172653,7.026885812792423,21.0,Female,Yes,37562.03039358497,Urban,5.0,London
Married,Graduate School,-0.11082595403693887,4.800468041729169,26.0,Female,No,57447.79220885495,Rural,5.0,New Castle
Divorced,College,-0.13914338976821802,4.670916079124901,35.0,Female,No,56401.81443704236,Suburban,4.0,Manchester
Divorced,High School,0.45699913818633936,5.194056071841307,27.0,Female,Yes,60013.13517095541,Urban,3.0,Manchester
Divorced,College,-0.5423818913866955,4.530956562093131,19.0,Male,Yes,54298.606584150395,Suburban,4.0,New Castle
Single,Graduate School,0.683187913181599,6.756650445595913,24.0,Female,Yes,46660.033315978486,Urban,3.0,New Castle
Married,High School,-0.04285846039300832,5.9514959098851214,22.0,Male,Yes,53680.95961098511,Urban,8.0,Manchester
Divorced,Graduate School,-0.5532681015301469,4.366330540083935,20.0,Male,Yes,75479.53995473064,Rural,4.0,New Castle
Single,College,0.29111825301602867,6.831510550573918,35.0,Female,No,68031.03060393078,Suburban,6.0,New Castle
Divorced,High School,-1.0966312997906391,3.849092806513111,25.0,Male,Yes,59306.8490809064,Urban,7.0,Manchester
Married,College,-0.1588428363264306,6.324597005707901,40.0,Female,No,62869.57533790199,Rural,3.0,London
Single,High School,0.43331634341690506,1.5787903523948188,17.0,Female,Yes,75254.47522638476,Urban,3.0,Manchester
Single,High School,-0.2240981444629503,4.199601220710564,21.0,Male,Yes,66566.91326212493,Suburban,5.0,London
Single,College,0.3510405412607934,4.303351388742269,21.0,Female,Yes,53975.198723927686,Urban,3.0,Manchester
Single,Graduate School,-0.277798712367485,6.111878343119299,30.0,Female,,,Urban,4.0,Manchester
Divorced,High School,-0.779323438966384,6.782504272581592,30.0,Male,Yes,49422.60499749153,Urban,6.0,London
Divorced,High School,-0.06048507200422301,6.244906606289195,27.0,Female,Yes,61278.03947600606,Suburban,5.0,Manchester
Married,High School,0.08040733619698512,4.822985012494675,29.0,Male,Yes,48191.90583116521,Urban,7.0,London
Divorced,Graduate School,-0.05025680001994569,,39.0,Female,No,52732.433356942085,Rural,,New Castle
Divorced,Graduate School,0.48642518185501604,5.133358081008618,25.0,Male,Yes,47375.43532908479,Urban,5.0,Manchester
Married,College,-0.6177114774695704,7.27224602197548,27.0,Female,No,70246.37340947418,Suburban,4.0,London
Married,High School,0.32424774783286,3.85230479476611,24.0,Male,Yes,55198.84892782143,Urban,7.0,London
Married,High School,-0.25085620127990843,7.421387633734072,36.0,Female,No,51169.00124034529,Suburban,6.0,London
Divorced,Graduate School,-0.4008468628448478,7.0789034280528895,25.0,Female,Yes,48906.232351903884,Urban,2.0,Manchester
Married,College,-0.17199090208657297,7.4848373957498815,40.0,Female,No,65636.06702889634,Rural,5.0,London
Divorced,,-0.5188335484891657,7.538565177596802,33.0,Female,No,64072.48081333251,Rural,4.0,Manchester
Divorced,Graduate School,0.7135962211977148,5.136594944226472,33.0,Female,No,56889.19666382529,Rural,5.0,New Castle
Married,Graduate School,-0.12165654046798785,5.2687158044192595,29.0,Male,No,38161.2480548875,Urban,3.0,London
Married,College,-0.08879146875154112,7.769124935530006,33.0,Female,No,69146.8008377613,Suburban,2.0,London
Single,Graduate School,-0.5357383138372783,6.663884713214968,16.0,Female,Yes,40370.24220945791,Suburban,5.0,New Castle
Divorced,High School,0.2073246934766536,5.868057765628098,29.0,Male,Yes,77752.04348228581,Rural,6.0,London
Single,Graduate School,-0.13470855412866514,4.578084470024604,42.0,Male,No,71610.47755041783,Suburban,3.0,Manchester
Single,Graduate School,0.35096008415928626,6.333638456826411,27.0,Female,No,53328.63611839302,Urban,5.0,Manchester
Single,Graduate School,-0.12795264889634955,6.224298218133769,32.0,Male,Yes,64580.32385177225,Suburban,6.0,New Castle
Divorced,Graduate School,-0.7779472923747118,6.124980905460801,19.0,Female,Yes,47891.64976640809,Urban,4.0,New Castle
Divorced,High School,-0.23997688744119283,2.5591759817328366,11.0,Male,Yes,74671.4239234234,Urban,3.0,London
Divorced,High School,-0.7659693032394947,7.215838719720617,22.0,Male,No,54634.44813461937,Suburban,4.0,London
Married,High School,0.21830945158694298,9.722518138977096,10.0,Female,No,48058.78895521738,Suburban,5.0,New Castle
Married,Graduate School,-0.12121049467721251,5.786671376347308,25.0,,No,58869.96101877186,Suburban,3.0,New Castle
Married,High School,0.22613453194180855,6.099209671026102,31.0,Female,Yes,47559.674048934365,Urban,7.0,London
Single,High School,-0.08440993020347856,3.537535890953219,17.0,Female,Yes,60863.16055462992,Urban,5.0,New Castle
Married,High School,1.034110169365085,2.98539944853694,30.0,Male,No,47235.47565012495,Suburban,4.0,Manchester
Single,College,0.06429023096160832,2.4397152004839935,36.0,Female,No,63804.300506905754,Suburban,4.0,London
Married,Graduate School,0.9443181034209821,4.159973399794453,32.0,Male,No,41367.098435240536,Suburban,6.0,New Castle
Married,College,-0.22672830257724091,6.843263086056806,34.0,Male,No,74848.0627030625,Suburban,5.0,New Castle
Divorced,Graduate School,-0.7212555704108752,6.083245039293392,21.0,Female,Yes,45973.11715644586,Suburban,5.0,London
Divorced,High School,0.0424263309558314,6.186196352377934,39.0,Female,No,58149.01453287778,Rural,6.0,Manchester
Divorced,High School,0.14625916148468476,6.403136330397566,27.0,Male,No,64346.54075336265,Rural,6.0,Manchester
Married,Graduate School,0.552821168991367,3.4449756605641255,,Male,Yes,74838.670284558,Urban,7.0,London
Divorced,College,-0.00026768917090388977,6.919761793022233,23.0,Female,Yes,56901.953693811265,Urban,6.0,Manchester
Single,High School,-0.62510771678161,3.755627032765881,15.0,Female,Yes,54604.379200788484,Urban,5.0,New Castle
Divorced,High School,0.12112436094652984,6.513749324978402,27.0,Male,Yes,63123.80997309459,Urban,2.0,London
Divorced,Graduate School,-0.29917924518872774,6.825558046388192,25.0,Male,Yes,57362.12343872179,Suburban,7.0,Manchester
Single,High School,-0.07205407307984998,4.512568231961997,26.0,Male,Yes,64453.06141258381,Suburban,3.0,
Single,Graduate School,-0.3605973364359616,6.687276574026099,37.0,Female,Yes,50048.00495775845,Urban,3.0,New Castle
Divorced,Graduate School,-0.7756346115246223,5.345327169053002,28.0,Male,No,38527.58325741747,Rural,6.0,London
Married,College,-0.06459058546636223,6.334290920344879,31.0,Male,No,49689.344459035136,Rural,2.0,London
Divorced,Graduate School,0.4699787614335244,3.9739151702858377,19.0,Male,Yes,55123.94690447803,Urban,4.0,London
Divorced,Graduate School,0.5552124713475414,7.536025824466903,39.0,Female,Yes,32321.36044231513,Suburban,4.0,New Castle
Married,High School,0.1447177311685006,6.89149021588302,16.0,Male,No,49509.32208284816,Rural,4.0,London
Divorced,Graduate School,0.7410959845628246,3.4188939018825275,11.0,Female,Yes,44132.888838759594,Suburban,3.0,London
Divorced,Graduate School,-0.0698088252741779,3.7467749978612765,19.0,Male,Yes,64613.547923851926,Urban,8.0,London
Married,College,1.2288966152670346,2.7994357971692825,,Male,No,34563.64602883773,Rural,5.0,London
Divorced,High School,1.2022317135623135,3.7972980915986074,17.0,Female,Yes,70714.45165260474,Urban,3.0,New Castle
Divorced,Graduate School,0.01994944639467173,5.011950923115919,22.0,Female,Yes,53044.28063586691,,6.0,New Castle
Single,Graduate School,-0.2722203777086524,6.859349133105688,28.0,Male,No,40665.3858442209,Rural,4.0,New Castle
Single,Graduate School,-0.2829979224791473,2.173198594014809,19.0,Male,Yes,65169.21926507361,Urban,6.0,London
Married,High School,-0.5108676163280456,4.396109038020998,25.0,Male,No,59917.812738530476,Rural,3.0,New Castle
Divorced,High School,0.25965190702691,5.3697618579531134,32.0,Male,No,53901.56863999947,Urban,2.0,Manchester
Divorced,High School,0.5341775844651893,7.400825552369277,37.0,,Yes,59823.82663136657,Suburban,7.0,New Castle
Divorced,High School,-0.465607842241182,2.840236919971947,19.0,Male,Yes,64943.80505161204,Urban,3.0,New Castle
Married,College,0.2872228781063917,5.70012149711706,29.0,Female,No,48826.71529874982,Suburban,7.0,Manchester
Single,Graduate School,-0.14595915662784312,7.544949847452324,24.0,Female,Yes,51904.0083260515,Rural,7.0,London
Married,High School,-0.3198359923542437,6.841415928326885,31.0,Male,Yes,60693.506633645105,Urban,4.0,New Castle
Divorced,Graduate School,,9.049848194674745,20.0,Male,No,43432.38105368288,Rural,3.0,New Castle
Divorced,High School,0.8659595708259433,4.246428287021948,21.0,Female,Yes,57647.69947418106,,5.0,London
Married,Graduate School,0.5422804861957092,7.276586539195316,36.0,Female,Yes,44203.22983528343,Urban,3.0,Manchester
Married,College,-0.3435672244141081,5.925032301550326,29.0,Male,No,54973.16461924815,Suburban,7.0,Manchester
Married,College,-0.136808739236691,7.018694035398648,32.0,Female,Yes,47379.6857851962,Urban,5.0,New Castle
Married,College,-0.4963256696026246,3.227286022367686,45.0,Female,No,47526.03131751381,Rural,7.0,New Castle
Married,College,0.32580510369475596,5.431079028417642,3.0,Male,No,41501.88188774266,Rural,3.0,New Castle
Divorced,Graduate School,0.36598511146846635,4.052616260038765,11.0,Female,Yes,40804.32580515972,Urban,5.0,London
Divorced,High School,-0.10906220515910009,3.8732247635663977,23.0,Male,Yes,52422.04293286815,Urban,5.0,New Castle
Divorced,Graduate School,-0.19255437555436378,6.28117920535516,27.0,Male,,68274.23680086611,Urban,3.0,
Single,Graduate School,-0.35295737724226434,5.894755215828123,32.0,Male,Yes,53063.68979797379,Rural,3.0,London
Single,Graduate School,-0.42317597700432585,5.135140403784645,19.0,Female,Yes,53350.69761966859,Suburban,4.0,Manchester
Single,College,0.14959545448942327,4.786302272522161,26.0,Female,Yes,60050.96635951592,Urban,5.0,Manchester
Single,High School,-0.34491553651112666,4.506271241410865,25.0,Female,Yes,62270.79334412855,Suburban,4.0,Manchester
Single,Graduate School,0.3211590850616345,6.267121270289827,27.0,Female,Yes,46954.94584648273,Rural,4.0,London
Single,Graduate School,-0.24098729170748295,4.94647340229131,16.0,Female,Yes,66066.73791872316,Urban,4.0,London
Divorced,College,0.5896322185481292,6.693578734323093,27.0,Female,,44436.04618156742,Suburban,4.0,London
Single,College,0.23559416686556955,5.187505138838661,23.0,Male,Yes,50601.660409433534,Rural,7.0,Manchester
Married,High School,-0.021383187979535492,6.041894706336662,19.0,Male,Yes,43727.31158580945,Urban,6.0,New Castle
Divorced,Graduate School,0.23858280338691606,5.159001531525964,31.0,Male,Yes,69137.23305789629,Rural,5.0,New Castle
Divorced,College,-0.1377462795245936,4.362237009537872,28.0,Male,Yes,72936.23803656116,Rural,6.0,Manchester
Divorced,Graduate School,0.042046696476092035,4.384296710097664,26.0,Female,Yes,56230.43025408179,Suburban,1.0,Manchester
Married,College,0.32578767273574344,6.138815138090314,40.0,Male,No,60410.480765256856,Rural,4.0,New Castle
Divorced,High School,-0.2837447293259411,5.68659172074784,26.0,Female,Yes,47108.25146707277,Suburban,6.0,New Castle
Married,College,0.061639096146062396,6.323045057854868,22.0,Female,Yes,42311.38448642231,Rural,3.0,London
Divorced,Graduate School,-0.1911766860933377,6.576212411196363,30.0,Female,Yes,55047.125764426746,Suburban,4.0,London
Married,High School,,3.9400128377286836,33.0,Male,No,46078.825149081145,Rural,2.0,New Castle
Married,College,0.37124539148305324,6.030546667364475,37.0,Male,No,58487.17603903292,Rural,4.0,Manchester
Divorced,Graduate School,-0.6104445453693186,8.496499119529632,37.0,Female,No,65032.94789371156,Rural,2.0,London
Divorced,High School,-0.052509550597422974,6.995712975772105,20.0,Male,Yes,37850.49781710206,Urban,5.0,New Castle
Divorced,College,-0.4658325325628776,6.2212013612707215,37.0,Female,No,61002.71913621064,Suburban,3.0,London
Single,High School,0.8791106740926524,5.295030856317083,25.0,,No,44593.402752785085,Rural,3.0,London
Divorced,High School,-0.3951012262319223,4.328558797923081,26.0,Female,Yes,80584.72327630741,Urban,3.0,New Castle
Single,High School,-0.006181194574761448,3.966303602085762,41.0,Female,No,56642.18686087133,,5.0,Manchester
Married,High School,0.3452527401055854,4.222574207059646,14.0,Female,Yes,57909.09918481294,Suburban,4.0,New Castle
Divorced,Graduate School,-0.09516902302285393,4.2231852755278565,12.0,Female,No,37067.07546301021,Suburban,5.0,London
Single,High School,0.720198154332869,5.393651784258209,34.0,Female,No,52183.55293392055,Suburban,7.0,New Castle
Married,Graduate School,,5.233002807480338,35.0,Male,No,,Rural,4.0,London
Married,College,-0.06644764251610649,5.7905424074584335,,Male,No,33811.58262532673,Rural,4.0,New Castle
Single,College,0.2518336708811687,3.6603639970433344,19.0,Male,Yes,63030.27430060518,Suburban,7.0,London
Divorced,High School,0.05191870678797887,5.2636238098719454,23.0,Male,Yes,70865.35614063957,Urban,5.0,New Castle
Divorced,Graduate School,-0.016785443637687025,4.29936353181688,25.0,Male,Yes,52357.01147655654,Urban,6.0,New Castle
Single,Graduate School,0.1776680756353942,6.68616928568908,21.0,Female,No,59296.625316012396,Suburban,6.0,Manchester
Married,College,0.6884524865605899,4.98164454860713,32.0,Female,No,66766.98880316853,Rural,2.0,Manchester
Married,High School,-0.3123662382937272,8.806900434113352,32.0,Female,No,53652.77673984516,Rural,9.0,New Castle
Married,Graduate School,-1.0125244541235978,5.887482177462866,22.0,Female,Yes,32669.516960104425,Urban,8.0,New Castle
Married,High School,0.057772108969464595,5.707137157501014,20.0,Female,Yes,52526.78486185533,Urban,3.0,London
Divorced,High School,1.5,9.52128377061258,35.0,Female,Yes,42484.37511096521,Suburban,5.0,New Castle
Married,High School,-0.09462585477391044,5.047287625402797,30.0,Male,No,51086.347616183775,Rural,5.0,Manchester
Divorced,High School,0.20107635986148803,7.338059861805483,36.0,Male,Yes,52738.56614946973,Suburban,6.0,
Single,Graduate School,-0.0660060025134227,7.903365520702616,35.0,Male,Yes,49630.50581520665,Suburban,2.0,Manchester
Single,High School,-0.8905871905542232,6.046325285737291,33.0,Female,Yes,62065.21977554235,Urban,3.0,London
Divorced,High School,0.2675252533263123,5.864535127078021,16.0,Male,Yes,54225.09777780785,Suburban,9.0,London
Married,High School,-0.9391565640830002,4.325633592917866,27.0,Male,No,45708.534838060674,Urban,4.0,Manchester
Divorced,Graduate School,0.11784133963589247,5.492128115936148,24.0,Male,Yes,55880.48364240852,Suburban,7.0,London
Married,College,0.19455567580344013,5.850573515053754,14.0,Male,No,38132.86400127165,Urban,6.0,
Single,College,-0.527745770737153,4.357101958700116,28.0,Female,No,45490.07816754375,Rural,4.0,New Castle
Divorced,Graduate School,-0.12202285321168677,2.3168104458782537,22.0,Male,Yes,66583.76769422156,Urban,6.0,New Castle
Divorced,College,0.41482182520167454,4.954555895239193,19.0,Male,Yes,60175.74056883455,Urban,6.0,London
Married,High School,0.2793204172359086,4.199949711389346,33.0,Female,No,51171.95249391197,Rural,6.0,Manchester
Single,Graduate School,0.6267018824190512,5.675657803947656,27.0,Female,Yes,59505.946654488216,Urban,2.0,New Castle
Married,High School,0.06633340364057393,4.08056543780335,37.0,Male,No,56791.35552719797,Urban,5.0,London
Married,High School,0.9972049795180087,5.9807745263066,34.0,Male,No,61014.9706826809,Rural,,Manchester
Single,Graduate School,-0.44645574513153463,2.2146157368567314,18.0,Female,Yes,73229.21318225471,Urban,5.0,London
,Graduate School,-0.3740598454269417,5.200749905087384,25.0,Male,No,51569.128258955476,Rural,4.0,London
Married,High School,-0.29769036215132394,4.3334840204224845,29.0,Male,No,49405.83685443229,Urban,4.0,London
Divorced,High School,0.44415471890086555,4.297901428076472,13.0,Female,Yes,52907.85024746118,Urban,6.0,London
Divorced,Graduate School,-0.040277055061755315,5.438902937177585,31.0,Female,No,54118.12251158077,Suburban,4.0,Manchester
Divorced,College,0.5048193559717231,5.763406101051895,22.0,Male,Yes,47059.40751843996,Suburban,6.0,London
Married,College,0.028560816762968892,4.019116521568087,17.0,Female,No,45978.96316875065,Rural,4.0,New Castle
Married,College,-1.0675769866983786,5.320736923284529,46.0,Male,No,59261.22505860803,Suburban,5.0,London
Single,Graduate School,0.38717057555997336,4.992882822009978,17.0,Male,Yes,41636.627226240904,Suburban,3.0,London
Single,College,-0.8312940532210537,6.901054708160778,22.0,Male,Yes,61862.46937815776,Suburban,5.0,London
Divorced,Graduate School,0.4519005078656738,5.327319652281418,19.0,Female,Yes,50982.58772064004,Urban,6.0,London
Single,High School,-0.06223911689350631,6.309793824259527,21.0,Female,No,45189.762496249095,Urban,4.0,New Castle
Married,College,0.5125722332589115,6.748540823102542,29.0,Female,Yes,51513.565729051275,Urban,3.0,New Castle
Divorced,High School,-0.2163381736724772,5.31094794997132,29.0,Female,Yes,53300.98950377644,Suburban,2.0,Manchester
Single,Graduate School,-0.3317161022047126,3.4796348793069174,13.0,Female,Yes,47262.31601007923,Urban,3.0,New Castle
Divorced,Graduate School,-0.4776298855236073,5.509552108676764,18.0,Female,Yes,69560.49591980239,Urban,4.0,New Castle
Divorced,Graduate School,-0.4705294149266126,4.575598782692501,15.0,Female,Yes,49421.44748616907,Urban,5.0,Manchester
Single,,-0.22024720838669792,5.743873474341122,19.0,Female,Yes,58363.28867616261,Suburban,4.0,
Divorced,High School,-0.05536501467237484,4.754080614599423,31.0,Female,Yes,58785.89001992556,Urban,5.0,London
