Renew,Years subscribed,City,Sex,Marital Status,Education Level,Active online hours,Location Code,Years after high school graduation,Brand Loyalty,Monthly Income
Yes,2.0,Udon,Female,Single,College,6.914404594393004,Urban,35.0,-0.07963665723237341,5475.959544456642
Yes,5.0,Mahasarakam,Female,Single,College,5.159258511028865,Urban,26.0,0.44742807820889785,6427.678052353176
Yes,5.0,Mahasarakam,Male,Single,,5.547479244248121,Urban,34.0,,5098.861362843059
No,6.0,Khon Kaen,Female,Married,Graduate School,4.023624998103401,Rural,33.0,0.6921442509045446,4687.773685215845
No,4.0,Mahasarakam,Male,Married,College,3.328309552545782,Suburban,29.0,0.07932325999119416,5103.146060536594
No,4.0,Udon,Male,Married,High School,3.8860597869254496,,27.0,-0.4410735336995033,5418.588861066299
Yes,3.0,Khon Kaen,Female,Married,Graduate School,5.412040587862447,Urban,43.0,-0.120270060077904,4052.033639745988
No,5.0,Khon Kaen,,Married,College,3.772099954315559,Suburban,45.0,0.24281029957242828,3987.6503773565573
No,2.0,Udon,Female,Divorced,Graduate School,3.2488982701892257,Suburban,25.0,0.5809959573273765,3859.050383129489
No,5.0,Udon,Female,Married,College,3.319772477917631,Urban,31.0,-0.22511926844665203,6218.873911652238
No,4.0,Khon Kaen,Male,Married,Graduate School,3.2624639409607497,Rural,43.0,-0.09825409343920863,4130.047839590119
Yes,5.0,Udon,Male,Divorced,High School,3.5052518867856044,Rural,37.0,-0.2940164324332706,3877.7669139396994
Yes,4.0,Mahasarakam,Male,Divorced,High School,4.352687560705511,Urban,22.0,0.22767171090824062,4511.61923348272
Yes,6.0,Udon,Female,Single,Graduate School,4.694906510287052,Urban,46.0,-0.09905683649486581,5585.093911780563
No,4.0,Khon Kaen,Female,Married,High School,3.725617077987983,Rural,32.0,-0.25984875929072015,5699.465518914014
Yes,6.0,Udon,Female,Single,High School,4.735146705029479,Urban,34.0,0.06461535830264215,4362.455460716784
Yes,3.0,Udon,Male,Single,Graduate School,4.201584616446806,Urban,31.0,-0.2706381859812479,5743.637562273008
Yes,4.0,Udon,Male,Married,High School,3.004224016940052,Urban,42.0,0.061166827034658644,3397.6154127955324
Yes,4.0,Khon Kaen,Male,Married,Graduate School,4.668495058983884,Urban,21.0,0.19844377687636272,6260.523024721326
Yes,6.0,Mahasarakam,Male,Divorced,High School,5.555372302650394,,33.0,0.1423338415657518,4329.714235790769
Yes,3.0,Khon Kaen,Female,Single,College,5.128118206475317,Urban,23.0,0.2832153926765181,3740.3061848475395
Yes,7.0,Khon Kaen,Female,Single,Graduate School,6.906830147852409,Urban,38.0,0.12033066140407589,5389.244257785174
,5.0,Udon,Female,Divorced,Graduate School,4.598957459888411,Urban,39.0,0.017349681651241455,3394.0257552984244
Yes,6.0,Mahasarakam,Male,Single,College,4.514752518204193,Urban,33.0,-0.5068673447064778,4019.0668996687914
No,5.0,Khon Kaen,,Married,College,4.286411037636353,Suburban,36.0,-0.1934069061483631,5344.539581707732
No,3.0,Mahasarakam,Female,Single,Graduate School,3.182158250790293,Urban,27.0,-0.2971470077365812,6877.783362585504
No,4.0,Mahasarakam,Female,Divorced,Graduate School,3.906618716021618,Rural,28.0,0.03393924207031679,4041.692023659176
No,5.0,Udon,Female,Single,High School,3.4045501357363355,Urban,39.0,0.16092614608435296,6594.16406715602
No,3.0,Khon Kaen,Female,Married,College,4.52243021940916,Rural,41.0,-0.48597118406832973,6378.581326931333
Yes,3.0,Udon,Male,Divorced,High School,4.898040944606252,Urban,47.0,0.08536002957171762,3934.586442606468
No,4.0,Udon,Male,Divorced,High School,2.2125062766148016,Rural,22.0,0.5752335337754013,4035.6654358000465
No,9.0,Khon Kaen,Female,Married,High School,2.5681987162390874,Rural,27.0,0.550061533509339,5385.750116687426
Yes,3.0,Khon Kaen,Male,Married,Graduate School,,Urban,37.0,-0.1501133740799072,3933.531801408886
Yes,5.0,Khon Kaen,Male,Divorced,High School,4.630947608494399,Urban,49.0,0.039919872748056195,3685.6468613414722
Yes,7.0,Mahasarakam,Male,,High School,3.9964532446356937,Urban,38.0,-0.22371648026581498,4226.408741451558
No,6.0,Mahasarakam,Female,Single,High School,5.003454677716946,Rural,19.0,1.5000000000000004,2573.0025808055243
Yes,4.0,Khon Kaen,Male,Single,High School,7.020415357540493,Urban,41.0,0.06518846476931484,4836.321431562987
Yes,7.0,Udon,Male,Single,Graduate School,5.38022906222819,Suburban,29.0,0.18860688344858767,6139.79754636104
No,7.0,Mahasarakam,Female,,High School,3.668940996727597,Suburban,34.0,-0.08017262044720576,6833.504826200062
Yes,5.0,Mahasarakam,Female,Divorced,College,4.679340957089725,Urban,45.0,0.14868302968742075,4701.659870387133
No,3.0,Khon Kaen,Male,Married,High School,5.311018985497237,Urban,39.0,0.09049080276810662,4717.508240449129
Yes,4.0,Khon Kaen,Male,,College,6.740509095073223,Urban,25.0,0.6778848947921474,6731.654398199671
No,5.0,Khon Kaen,Male,Married,College,3.7327182042422002,Rural,36.0,0.49777130688732507,2797.103902180455
No,4.0,Udon,Male,Divorced,Graduate School,3.0672228631988565,Rural,17.0,0.00535140069218995,5411.527269488385
No,4.0,Mahasarakam,Male,Divorced,College,2.4228225850633893,Rural,39.0,-0.33421027285440985,5681.6577865709205
Yes,4.0,Khon Kaen,Male,Single,High School,4.151987871180387,Suburban,47.0,0.19543127627235202,5292.142027169305
Yes,2.0,Mahasarakam,Male,Single,High School,6.859255144897951,Rural,27.0,0.16654286468334967,6024.663006210143
Yes,3.0,Udon,Male,Married,,6.310208551112563,Urban,35.0,-0.1788299224665896,4707.848010995108
No,6.0,Mahasarakam,Female,Single,Graduate School,1.8752715472769173,Rural,26.0,0.5459921822839205,4417.647336871854
No,5.0,Mahasarakam,Female,Married,College,2.5469802709627385,Urban,30.0,,4123.620395826115
Yes,5.0,Khon Kaen,Male,Married,Graduate School,3.3690364199584053,Urban,35.0,-0.22599074690936438,4498.805515192087
Yes,6.0,,Male,Divorced,Graduate School,7.2059278037568415,Suburban,27.0,-0.2121097671602551,3949.242772761471
No,4.0,Mahasarakam,Female,Married,Graduate School,2.9103106862420045,Rural,28.0,-0.6750793901264829,4743.314408664207
No,5.0,Khon Kaen,Female,Married,High School,3.6081539261704565,Rural,36.0,0.004293019257349595,4264.443916357762
Yes,6.0,Mahasarakam,Female,Single,High School,5.824881993223681,Urban,30.0,0.3669552583115493,5552.603194221332
Yes,6.0,Mahasarakam,Female,Single,High School,4.492065181198296,Suburban,33.0,-0.04412064225723372,6125.672240907019
No,5.0,Udon,Male,Married,Graduate School,3.4508414331104706,Rural,36.0,-0.05070406265341337,5624.524135201524
Yes,5.0,Khon Kaen,Male,Divorced,High School,5.410381629713712,Urban,29.0,0.33951432652337166,5219.221385647815
No,,Khon Kaen,Male,Single,Graduate School,2.6081977849737643,Rural,29.0,-0.45400306935495766,
No,4.0,Udon,Male,Married,High School,4.526900937159877,Urban,46.0,-0.07048067391526011,5639.1512526284905
Yes,4.0,Mahasarakam,Male,Married,Graduate School,4.638265260910553,Suburban,34.0,-0.06862069745873692,4790.111625986147
Yes,6.0,Udon,Male,Single,High School,5.273753839117365,Urban,30.0,-0.01148059967958645,3485.4741087791417
Yes,4.0,Udon,Female,Married,College,5.643000176669924,Suburban,29.0,-0.05391078419503362,4087.5888368644705
Yes,6.0,Udon,Female,Married,High School,4.678358765754693,Urban,54.0,0.2153707005775053,5864.359034403813
No,5.0,Khon Kaen,Male,Married,High School,4.373633153876122,Rural,19.0,0.4589972528387204,4257.993572802194
Yes,3.0,Khon Kaen,Male,Single,High School,5.555633342370869,Urban,41.0,0.04016211975014164,4595.245089545736
No,7.0,Mahasarakam,Male,Married,Graduate School,4.317379815852937,Rural,34.0,1.1127561556015333,1761.6354397240639
Yes,6.0,Mahasarakam,Male,Married,High School,5.489435040728279,Urban,35.0,-0.12144386083027102,4455.90038189077
Yes,4.0,Khon Kaen,Male,Married,Graduate School,7.124327175430781,Urban,17.0,0.2478360153738593,4002.6683394119254
Yes,3.0,Mahasarakam,Female,Divorced,Graduate School,5.0317619429581635,Urban,39.0,-0.19858516268491758,5098.71346010643
Yes,5.0,Udon,Female,,Graduate School,3.8023423670756764,Suburban,41.0,-0.08355111404903451,2605.4677355659123
Yes,6.0,Mahasarakam,Male,Divorced,College,3.9941885438428852,Rural,,-0.21791449732867396,4707.880882660763
Yes,5.0,Khon Kaen,Male,Divorced,Graduate School,2.7741362803483423,Suburban,34.0,-0.1310071074231521,6123.092949061652
No,6.0,Mahasarakam,Female,Married,College,4.665198400367241,Rural,31.0,0.13672695405711716,4126.183871203943
,7.0,Khon Kaen,Female,Divorced,High School,,Urban,33.0,-0.04913923508688173,1754.989331221408
No,7.0,Mahasarakam,Male,Married,High School,2.799635524947264,Rural,43.0,-0.5485910250931458,5062.796356280267
No,6.0,Khon Kaen,Male,Married,High School,3.641888436004008,Rural,29.0,-0.2770636000035721,5398.129393514466
Yes,4.0,Khon Kaen,Female,Divorced,High School,,Urban,33.0,-0.0181995038604664,4667.816038908206
No,5.0,Udon,Female,Single,College,4.7864547419943095,Suburban,36.0,0.5833162832907546,1923.5681882365543
Yes,7.0,Khon Kaen,Female,,High School,5.596172097810723,Urban,32.0,0.26591746350265827,4489.931960670636
Yes,3.0,Udon,Female,Single,Graduate School,6.300823028985653,Urban,45.0,-0.3167057792169865,3272.187083383318
Yes,5.0,Mahasarakam,Female,Divorced,Graduate School,1.530136483738223,Urban,22.0,0.12132634703966222,4241.843898684263
No,6.0,Udon,Female,Married,College,5.083678343665316,Rural,29.0,1.492326283007779,1561.1352289445117
Yes,3.0,Udon,Male,Divorced,College,2.815818187924751,Suburban,28.0,-0.2327675571272739,3097.898257564345
Yes,2.0,Udon,Male,Divorced,College,2.4712063213767412,Rural,33.0,-0.005971937786652476,4995.327571156092
Yes,3.0,Mahasarakam,Female,Single,High School,5.179619798530544,Suburban,35.0,0.050594760735898775,4443.502916747995
Yes,4.0,Khon Kaen,Female,Married,College,5.060952362022915,Suburban,33.0,-0.17848152739275194,3716.807664827969
No,1.0,Mahasarakam,,Single,High School,5.223204951674024,Rural,18.0,1.062255677889529,3420.6319756596813
Yes,4.0,Mahasarakam,Female,Divorced,College,3.3133918069979638,Suburban,34.0,-0.2527820907209587,5332.559844185422
Yes,7.0,Udon,Male,Single,High School,5.864229129745123,Urban,17.0,0.3819741836847712,4338.315305418585
Yes,5.0,Udon,Female,Single,Graduate School,6.551463414846074,Suburban,39.0,,4605.804699953653
Yes,3.0,Udon,Male,Single,College,3.1442895987449395,Suburban,20.0,,4750.6832604947185
Yes,3.0,Mahasarakam,Male,Single,College,4.3453944321797175,Urban,32.0,-0.383599961678771,4225.958084342286
Yes,4.0,Mahasarakam,Female,Single,Graduate School,6.6380425660545,Urban,27.0,0.22637957905541828,5384.951878434593
,6.0,Mahasarakam,Male,Divorced,High School,1.5404372786471412,Suburban,37.0,-0.15079431070414584,5125.086775521202
No,4.0,Mahasarakam,Male,Divorced,Graduate School,4.405244388299158,Rural,43.0,-0.34931440185997187,5510.380376557922
Yes,4.0,Khon Kaen,Male,Divorced,College,4.8571673888997084,Suburban,31.0,0.05839242138094203,5899.980467077163
No,2.0,Khon Kaen,Female,Single,College,4.197337778426082,Suburban,34.0,0.7297302199079709,6297.447392947352
No,9.0,Khon Kaen,Female,Married,High School,3.8255071604950723,Suburban,,0.15437992159518726,5649.753612990489
Yes,3.0,Khon Kaen,Female,Single,High School,3.680459423431475,Urban,38.0,-0.4368596238719781,3951.123602857696
Yes,,Udon,Female,Single,Graduate School,4.1084985763123,Urban,42.0,0.2219123869158769,4305.229264920229
Yes,2.0,Khon Kaen,Male,Divorced,High School,7.1054132930298,Urban,23.0,0.12645383565525287,4551.914602362742
No,7.0,Mahasarakam,Female,Married,High School,4.846307937308815,Suburban,23.0,0.7279527171002061,1628.099065300933
Yes,3.0,Udon,Male,Divorced,Graduate School,7.851261009968592,Urban,30.0,0.38249406536929054,5598.959700158002
Yes,3.0,Mahasarakam,Female,Divorced,Graduate School,2.6937979017657327,Urban,37.0,-0.07158253392328841,3939.7709979127244
Yes,7.0,Udon,Female,Single,Graduate School,5.677163944275689,Suburban,11.0,0.16139208004806876,4119.070569371798
Yes,0.0,Udon,Male,Divorced,Graduate School,4.310002597273473,Urban,24.0,0.2459194601982354,5119.309581787802
Yes,5.0,Khon Kaen,Male,Married,College,3.2250864672284827,Suburban,43.0,0.029472541942591163,4898.6051441341
Yes,3.0,Mahasarakam,Male,Single,Graduate School,5.759614135661544,Rural,29.0,0.17631787265058124,4647.673291716239
No,5.0,Mahasarakam,Male,Married,College,4.499631741277671,Suburban,,-0.036866746874685025,4590.331283108999
No,3.0,Udon,Male,Single,High School,3.94529430008856,Suburban,47.0,0.5097320050531331,3662.239659060295
No,5.0,Udon,Female,Single,High School,3.588685618486241,Rural,28.0,0.5430405284908437,4320.77256983244
No,4.0,Khon Kaen,Female,Single,,2.5474775317439358,Rural,36.0,0.3211758166148162,5389.5197959285215
Yes,3.0,Khon Kaen,Female,Single,Graduate School,7.513642773069526,Suburban,32.0,-0.020881533416418824,5159.829837676483
No,3.0,Udon,Male,Married,High School,4.301475073499261,Rural,34.0,-0.44312480396770804,5478.323716248908
No,4.0,Udon,Female,Divorced,Graduate School,4.728777856011388,Rural,47.0,0.14848680875642123,4233.8917328292555
No,7.0,Udon,Male,Married,High School,4.650777669236656,Rural,30.0,0.2388973192208031,5261.941406448622
Yes,4.0,Khon Kaen,Male,Single,Graduate School,4.288837616530599,Suburban,23.0,-0.27407595408049457,4839.233878567696
,4.0,Udon,Male,Married,High School,4.719639393129638,Suburban,34.0,1.1609899354737956,3945.986296810269
Yes,4.0,Khon Kaen,Female,Divorced,College,5.092610418478961,Urban,12.0,0.08494538969948606,5103.683238912987
No,5.0,Khon Kaen,Female,Married,Graduate School,5.545042820394791,Rural,26.0,-0.6792528643269724,5238.627929499658
Yes,2.0,Mahasarakam,Female,Divorced,Graduate School,2.5021145011600314,Urban,19.0,-0.4433326553820601,3996.331159865436
Yes,5.0,Khon Kaen,Male,Divorced,Graduate School,2.6967963249324747,Rural,,-0.15543810679991985,
Yes,4.0,Mahasarakam,Male,Single,College,6.7868037751744,Urban,33.0,0.1497780246115516,4107.879766107918
No,5.0,Udon,Male,Married,High School,4.039545724108693,Rural,33.0,0.06749361766123468,4670.735684499284
No,3.0,Mahasarakam,Female,Married,High School,3.356812020517064,Rural,40.0,0.031059497333223496,2809.211367841838
Yes,7.0,Udon,Female,Single,College,6.456669265525073,Urban,14.0,0.1461392297677811,4775.704500099169
Yes,7.0,Khon Kaen,Male,Divorced,High School,5.230768301391365,Urban,29.0,0.09910624843361565,3972.842810527813
No,6.0,Khon Kaen,Female,Married,High School,2.6374190428564046,Suburban,50.0,0.6977198115906476,3227.6752159007165
Yes,6.0,Khon Kaen,Male,Married,College,4.920849277318244,Urban,29.0,0.042163045546638106,5020.8455780956965
No,4.0,Udon,Male,Single,High School,3.239396121688751,Rural,23.0,0.6557388958659235,3742.8998236469124
Yes,,Khon Kaen,Male,Single,College,4.413271772459507,Urban,52.0,-0.25013627444525316,5483.093857321692
No,6.0,Khon Kaen,Male,Married,Graduate School,2.659312210590584,Rural,31.0,-0.5648803406908565,7011.0573985952105
Yes,3.0,Khon Kaen,Male,,High School,5.282874110522452,Urban,32.0,0.23314360017893215,5413.209815801863
Yes,4.0,Mahasarakam,Female,Married,Graduate School,5.705370911811409,Urban,32.0,0.02861570496021254,4225.348303377265
Yes,3.0,Udon,Male,Single,College,3.588412094849528,Suburban,24.0,-0.03140918991811917,4781.219218264669
Yes,4.0,Mahasarakam,Female,Divorced,College,4.586258683402561,Suburban,46.0,-0.21235114329014212,4783.132876107943
No,7.0,Udon,Male,Married,High School,3.70973851163066,Suburban,31.0,0.3078722639933902,4899.059183465497
No,3.0,Mahasarakam,Female,Single,Graduate School,2.5611032256093713,Rural,25.0,-0.03879587308491739,7079.686339481358
No,7.0,Mahasarakam,Male,Single,Graduate School,5.013583591911908,Rural,32.0,-0.3048069860109747,5919.515213968195
Yes,6.0,Mahasarakam,Male,Married,High School,5.142562399238266,Urban,32.0,0.26754628552891774,4208.632320522111
Yes,7.0,Khon Kaen,Male,Divorced,College,4.338915786646257,Suburban,14.0,-0.04472772063210126,2763.0857699127355
Yes,3.0,Mahasarakam,Female,Married,High School,8.761830404252994,Rural,17.0,0.20192683024455338,5630.91553903017
,4.0,Udon,Female,Married,High School,,Urban,14.0,-0.13798122284546951,5752.766770283441
No,3.0,Mahasarakam,Male,Married,High School,2.818334965245016,Suburban,39.0,1.0022330327564055,5419.155637616404
No,4.0,Khon Kaen,Male,Married,High School,3.4771316398474177,Rural,,0.1758361064470677,4535.510382527477
No,6.0,Mahasarakam,Male,Married,Graduate School,2.5691619751640298,Rural,45.0,0.11590756352104126,3574.543735901131
,6.0,Udon,Female,Single,College,4.20631869832023,Suburban,41.0,0.35820232297633003,4534.249839854208
Yes,3.0,Mahasarakam,Male,Single,High School,6.949971134337757,Suburban,39.0,0.2889938405610006,4844.8248097431715
Yes,4.0,Khon Kaen,Male,Divorced,Graduate School,5.255806053044624,Urban,7.0,0.5826244472320937,6064.87781932502
Yes,7.0,Mahasarakam,Male,Single,College,3.4789702961561537,Urban,17.0,-0.05359259007393652,4207.3389703799085
No,4.0,Udon,Male,Single,High School,3.7328093928111,Suburban,22.0,0.029195091243688936,
Yes,6.0,Udon,,Married,Graduate School,5.0153572826635875,Urban,41.0,0.05930526177828027,3769.7047307856246
Yes,4.0,Khon Kaen,Male,Divorced,College,5.2244524099678475,Urban,40.0,0.03372265829884549,5071.271859141046
Yes,2.0,Udon,Male,Single,College,,Urban,28.0,0.3099983031121828,4336.104913462239
Yes,5.0,Udon,,Single,Graduate School,,Rural,33.0,-0.09612559749274553,3786.50819407209
Yes,5.0,Khon Kaen,Female,Divorced,Graduate School,7.53208869430088,Urban,43.0,0.06799107539347071,5520.569348161578
