Marital Status,Children age,Gender,Satisfaction,Annual Income,Happiness level
Single,8,Female,27.265984565069616,39676.90356051406,12.602033138172741
Divorced,7,Male,38.514417811411235,32075.357435179856,34.75779840523689
Single,9,Female,36.58593529490753,39347.34939499486,21.4028611567068
Single,9,Male,21.766925639559528,30699.272024988906,27.648830931006025
Single,13,Male,56.9383763340957,65033.905317656696,66.7809770900877
Divorced,14,Female,64.5965213734681,70070.86148726377,59.53166173187311
Divorced,7,Male,55.72320325393107,41231.94814631335,59.0633031010849
Single,9,Female,23.592416497229422,29113.309949840863,22.701269233672065
Married,13,Male,49.56443841169182,70595.05495370053,65.53586666200412
Single,9,Male,5.062517435692179,75941.81559493684,11.328169089355221
Single,14,Female,52.60302807507159,84679.53754474607,54.36661920552129
Married,14,Female,62.40275399227379,71060.68405512406,63.47339238290886
Married,9,Male,21.832307272423318,41699.75683754123,15.816056929116368
Married,8,Male,18.25105493276948,86478.43906243658,10.468627490072144
Single,8,Male,9.01216497998881,67460.98242808015,17.942984206012497
Married,8,Male,32.978540404427456,31423.44635699031,35.843076096855306
Divorced,8,Female,15.560349865352059,92418.58906549269,23.223047351523647
Single,9,Male,43.9200094278381,42143.880145317235,53.97340273345557
Divorced,9,Male,21.488372708588265,80115.13484753532,17.526099232897806
Divorced,6,Female,90.77391730163288,37809.63619763747,104.72218576698582
Divorced,8,Female,29.060464153610813,21825.55279093267,27.711160232052208
Married,10,Female,39.541623515649064,40604.62602072429,41.769341412592915
Divorced,8,Male,52.7814740172446,23708.04168306718,46.05417727685476
Divorced,6,Female,79.93713411769802,50083.956133664535,92.51573850029511
Divorced,6,Male,86.31854256043684,33534.81261462984,68.92801477939514
Single,8,Male,21.495746391503975,42331.976958810315,15.343880847681223
Married,9,Female,13.65094326463143,76752.75521198253,16.448793460565547
Married,8,Female,37.132334930275576,30400.76093897846,35.37110808352997
Married,9,Male,32.16119432645821,34868.36200839746,30.890981714357473
Single,6,Male,60.51390967816465,35238.98411829734,56.774410225638306
Single,8,Male,32.09886648996079,27426.411955242344,35.61692599867673
Divorced,14,Male,64.28953326513783,62693.04960309503,64.04485949291394
Divorced,8,Female,23.58630990161302,32461.691273856486,24.666000598508926
Single,8,Female,18.986981633343174,32152.510547112193,31.058289871535752
Divorced,12,Female,62.44051330676513,60831.59431254515,58.39994454876677
Married,9,Female,18.413876362880636,82787.98387238961,14.19947324116105
Single,6,Male,41.705432253660184,38185.63251587612,44.57719676134773
Single,7,Female,52.134556475252694,33138.64413534706,35.81257522569446
Single,9,Female,30.50838155239053,28727.750282648823,19.660226563430562
Single,6,Male,95.99772740117885,38290.297447555204,119.85361117624532
Divorced,7,Male,47.10794241992075,42606.91956544454,47.63176295152635
Single,6,Male,52.45895582366264,31809.834238652853,55.61351088682646
Single,6,Female,90.05045604264325,40805.629486694575,80.54047188142766
Single,7,Male,55.125797794648896,42733.64740936222,57.39583590049274
Divorced,12,Male,67.00453722281381,71602.41969670443,62.75908942887698
Divorced,9,Female,39.09362390618802,45072.59150653165,33.954492314033914
Divorced,13,Male,67.49765429093058,72090.7226924491,56.56622576205321
Divorced,8,Female,19.34731622082501,38706.19420475739,23.829775366065277
Divorced,6,Male,81.54920684466484,26858.739522303604,90.33880300113981
Married,13,Female,73.98416211014387,72528.8120864826,80.80307507292501
Married,8,Male,40.41248485097582,42482.507892721194,27.78786620124289
Single,9,Female,11.179264655454894,75789.46084939342,3.424202355301457
Divorced,6,Female,48.65412075324826,40914.799046120774,42.41992746504944
Divorced,7,Female,52.92880068546409,35197.32997962871,59.42973796985923
Married,13,Male,56.799230775745066,65991.58097711032,57.79558183018776
Single,9,Female,34.902277798111314,31847.62729760025,28.750930833028118
Married,8,Male,23.15055407349866,35857.06316006962,33.548086750618566
Married,14,Female,61.49320959115781,66241.14711950062,59.97728053659418
Divorced,9,Male,28.177737836136473,33116.05059583543,20.595373608740875
Single,6,Male,71.28326336659941,33415.37633231676,63.73863008563922
Married,6,Male,39.24545211949156,42205.85117606522,37.22253401345054
Married,7,Female,27.44738026352096,31532.44047815887,19.01924521577919
Single,8,Male,14.659091711331364,75965.83136894892,19.309030568940916
Married,8,Female,23.117001713581253,34485.78799208894,21.211475938839165
Married,8,Male,37.321853494773585,30949.836552581695,40.77567029123349
Married,13,Female,66.7736557445413,70528.78455443759,74.86860608069728
Married,9,Male,4.0861739549541625,79045.22769199696,1.7122586979521657
Divorced,9,Female,20.641789557507867,79744.06386634779,20.616616615416856
Single,7,Female,48.14138520816791,38765.185699494636,56.12896271305677
Divorced,6,Female,81.45414266790985,45458.36650419916,73.18187119670543
Married,7,Male,53.667713164676954,36734.500401013895,37.18210371119759
Married,9,Male,23.91119327916007,84824.05939333473,17.059153537678444
Married,8,Male,49.94630874891488,36750.46785846398,46.42978918299883
Married,7,Male,45.59219383556511,34743.105538249365,53.661994720716166
Divorced,13,Male,65.25643319398716,71001.7227810112,66.72291520941047
Divorced,7,Female,62.3010451756977,31204.640183662013,58.3561824912195
Married,14,Female,75.73867724595088,72407.48567677039,60.76177463789832
Single,8,Female,34.08159384342696,33127.52778248645,33.846069763687154
Divorced,7,Male,84.46125979652291,32295.502284513474,78.93782766852556
Single,9,Female,16.55778686545485,84562.75654309127,9.877142129273956
Married,6,Female,83.74455817990045,35034.11464086853,81.89061859847861
Married,13,Male,74.95464074807504,65131.29282615075,75.32310851624285
Married,9,Male,30.79639226186107,38711.25091658722,20.884755757805834
Single,8,Male,32.49859677175675,42067.27611877005,46.63734764034369
Single,8,Female,24.35007978984899,24986.588478463225,13.974308723970934
Divorced,6,Male,49.68805629551483,32414.36657073498,43.34158744089362
Divorced,9,Female,16.607467355757958,78999.0060416341,19.083421951648372
Divorced,7,Female,47.72088661385695,44044.43867512451,45.73560950801393
Divorced,8,Male,27.79911167707308,34409.92124416709,29.100348159305835
Divorced,14,Female,65.27045116132038,69256.80892178309,74.09352896090016
Married,6,Female,44.461209272136216,39490.61723031033,41.68150402054917
Single,8,Female,14.164800736320167,79097.22038426492,8.97641519180512
Married,8,Female,27.41565488434398,31455.261034933756,22.304526120249157
Single,6,Female,84.5300013024619,25945.63827589264,82.09869236763181
Single,13,Female,51.873282674584885,75227.4127298809,54.88116398267581
Single,7,Male,96.76600658082185,27665.628612144832,64.75395733708413
Single,6,Male,87.00734324286054,35173.820146257654,67.05049078531667
Divorced,6,Male,92.8472309725162,42228.341246564174,89.28915843406487
Single,9,Male,33.15013636974221,24530.139994133453,52.22931849727735
Married,13,Male,59.39842825637294,73921.46193437093,52.364930664086046
Single,7,Male,49.98625239496524,31490.449755350925,51.75173465311548
Divorced,9,Male,29.19133660018766,36482.943288098075,15.901172132749354
Married,8,Female,32.376573708386076,44521.3184118742,18.17162622135088
Single,6,Female,78.96986910033414,32431.898441388043,75.74142793905986
Divorced,6,Female,53.013326104949925,33843.19930374282,73.28827045073157
Divorced,6,Male,92.82096560504002,32148.01573775665,71.94797904745745
Married,9,Male,11.806486458342818,83437.99710645198,-2.5016373716538087
Single,12,Male,67.34295860794231,79092.33612746163,66.59446208947413
Divorced,9,Male,21.309789468277103,42086.26222072124,23.914752478424028
Divorced,9,Male,10.070770532039752,81652.70359310787,7.87960695949214
Divorced,14,Male,56.154041454176166,71744.1582724879,74.61731050538016
Married,10,Male,16.435973156849325,69965.07332914259,3.743314798922066
Divorced,8,Female,24.908848714966066,84603.39121705052,16.121608135545813
Single,6,Male,90.56073681605451,43706.342783960106,89.28321159112636
Married,6,Male,87.7053595632755,47969.62571268638,84.37190220750851
Divorced,14,Female,62.71005224490549,72548.5884238503,68.82602998141304
Married,9,Male,8.800000196356216,79589.2652225093,12.243329846632859
Single,6,Male,49.62982293985496,40694.79439341116,50.67863429139009
Divorced,9,Female,30.7756161083146,40020.71786185695,23.133819787160554
Single,8,Female,9.414565182781587,82936.19862318248,5.9056064754882485
Divorced,13,Male,59.89694686209338,76601.05144624175,59.14942171059688
Married,12,Female,66.43223109718492,71037.76573939207,57.833584717302074
Married,8,Male,21.49071153011726,37980.657996018104,7.447724655230157
Divorced,7,Male,48.87118137296561,43811.84623561366,43.08815957244508
Single,5,Male,96.74053161122,45418.011654427326,82.88954173662087
Single,6,Male,94.51934290365548,38550.46095609612,88.53228485635705
Divorced,9,Female,22.112998987220866,90597.55425689495,31.502924024822633
Divorced,13,Male,65.94643936762489,67782.52302784436,58.40912157594146
Married,9,Female,31.51736546935362,31696.23394371864,27.31926783810846
Single,7,Male,90.89935036618488,37517.192389056436,90.69939293559264
Divorced,7,Female,82.15500078782989,26236.64592145966,64.6380765538743
Single,7,Female,91.8834291083133,41500.34470180108,108.87343724699149
Divorced,13,Male,67.26748445712325,70729.40936332062,66.82514708624248
Single,6,Female,96.54384280388594,30170.363757118117,102.41734422055622
Divorced,6,Male,48.928273784432434,42480.081407696336,61.30596571118219
Single,9,Male,17.20057360946692,92726.37931754603,13.300350856569297
Divorced,6,Female,95.03886269996097,25258.06408092945,98.17281907025396
Divorced,9,Male,30.27587761518185,25300.059313658086,16.521296540544817
Married,8,Male,25.890443265974827,25655.3218034424,35.71403720772751
Single,7,Male,47.190804788229435,49796.409453085784,30.026237509476054
Single,6,Female,49.89631851018457,28497.596510425734,66.81384069588938
Single,6,Male,44.31211187103996,42454.957008354446,53.01480969369256
Married,14,Male,54.42495580910205,66512.98361742812,52.856552035682064
Married,13,Male,70.75478724369363,71304.3480841773,69.44358615597315
Divorced,6,Female,86.63688753057727,33886.550316127454,88.51642683957803
Single,8,Female,32.23093140824639,31394.804585664868,41.4177658129823
Single,12,Female,57.04941974338032,69663.51845199236,45.186884989553214
Married,6,Male,92.73077458584363,37732.13013231371,91.32110621537119
Divorced,13,Male,64.53926250369884,59479.866722248655,62.20329000111549
Married,9,Female,21.93237719339987,32133.109004046448,23.530864878508172
Divorced,10,Female,6.779208995483941,75800.03572932634,10.50609689546605
Divorced,9,Female,19.733143751524818,80909.91192217292,15.263397728710377
Married,7,Male,55.453906570028806,27627.6323565836,51.2689196217149
Divorced,14,Female,68.49112516283117,65721.79708364865,84.6806410208357
Single,7,Male,48.29596690847716,38967.21576802997,36.21968087947331
Married,5,Female,88.74347939349738,35234.611259637444,98.54363280754566
Married,6,Male,45.688400163148295,27330.470826750243,42.04699698497299
Divorced,5,Female,80.01123426720025,33463.41443821191,94.2184930374063
Married,8,Female,9.673358230292266,92821.29599494347,17.919816210494652
Married,9,Female,14.478022156073798,77508.5758692789,3.594098926971723
Divorced,13,Male,57.41568508654082,73672.4108597646,56.380968209849044
Divorced,13,Female,65.7671171919346,65351.26772124012,62.905429995762944
Divorced,9,Male,31.504838984026694,40771.53013363762,39.73397957749896
Divorced,9,Male,20.649091353892203,85659.35726073576,6.600390106054704
Divorced,9,Male,12.0636803395861,84348.08250071853,-5.07502535154897
Divorced,14,Male,69.79132848683007,67563.26567500143,64.12346304625723
Married,8,Male,36.81974149095487,38006.315777937096,37.142494905097166
Single,13,Male,72.0972297723257,64204.02592584799,57.208392408249736
Single,7,Female,50.81744758183391,37196.50413618878,52.575032358032125
Single,8,Female,25.289987833061563,33309.16044555439,30.07649374681647
Single,13,Female,64.93190234137691,70560.12956886081,51.55248762327843
Divorced,9,Male,14.254377473296657,86437.45750434045,21.168143413943852
Married,7,Female,85.70589750343318,29036.979946447973,72.64998368006978
Married,13,Male,62.01113036264091,66828.34631332582,70.11995316212447
Divorced,7,Male,59.84075651186284,43504.64469187184,55.52875268982853
Divorced,5,Male,81.9118830600107,42412.499932420906,77.70673741189664
Divorced,8,Male,24.408353983062078,31778.321175097608,6.613093365364389
Single,7,Male,49.420727775248174,41480.31645112383,44.80223970249021
Single,10,Male,12.08841828965815,80045.7963781898,14.319766142256459
Divorced,13,Female,61.08543850914511,76118.78609358399,57.115017115972
Single,8,Male,22.326564370540023,72204.06984932351,28.064578965568945
Single,7,Male,47.29844461271797,46608.3204301929,31.739042242652197
Divorced,6,Female,92.00478097712443,30105.06123376913,78.8008901687796
Married,13,Male,68.17629072842897,66500.15511474757,74.56727904664514
Single,6,Male,86.72440848344395,34354.27208925641,96.11624387483198
Married,9,Female,29.84873958252888,37058.93844108364,43.301027578353256
Divorced,6,Male,86.6593110672785,18313.931538080436,88.26449610774162
Single,8,Female,35.11135432321451,35947.57271961898,46.15296550414634
Divorced,14,Male,67.750286967817,69428.84820866655,66.80318796042492
Married,13,Male,56.66804122884057,73558.83085446738,58.64635688978872
Single,13,Male,66.49897494904717,62367.075730639626,61.166881851236205
Married,6,Male,56.19855497692435,29935.68155151671,62.851997430539
Married,13,Female,60.201716302349155,69539.1275446219,53.97042180169525
Married,9,Male,36.44217048935535,33145.111942583506,39.35424782022278
Single,6,Male,54.717664158101314,45389.568966150684,51.69605783591462
Married,13,Female,63.58224438250505,71906.77204619744,80.97182424933524
Married,12,Male,76.3271370564159,78363.87639785188,74.91934175639072
Divorced,6,Male,42.1435923328322,36741.53399187247,46.12985927450568
Married,7,Male,33.06776192922508,42462.286811939106,43.95386590665974
Divorced,6,Female,50.40960400581331,44654.07233129405,49.00046101411722
Single,13,Male,72.93638740795517,74450.26053467055,76.3823028845386
Single,7,Female,52.842297960257945,43316.201813351436,34.11910897109077
Married,13,Female,65.90649909988203,67955.40502186018,66.33455998980456
Married,7,Male,53.640670552274266,30380.353131243814,66.1983071209612
Single,5,Male,91.46479677927924,44291.76063254948,100.33872251622732
Divorced,7,Female,52.42779007367031,34033.22916875107,45.046534429997266
Single,13,Male,55.947984836954205,61533.509796325336,63.702653351616924
Single,9,Male,30.587303211099037,35099.86784270508,26.00868259712652
Divorced,9,Female,38.511206065172715,29316.725515858943,39.67602140430137
Married,8,Female,53.70961540884518,19191.903076469822,45.2066419304336
Single,9,Female,10.682361474041969,68737.4640613004,13.10837856154594
Single,13,Female,61.714870955383404,76097.16349058891,68.34470148098248
Single,7,Male,46.40985557427151,35260.491787468505,36.142392527661706
Married,6,Male,36.70869649316095,33198.51445654194,19.446732545459593
Divorced,8,Female,11.859433775778335,72768.05094414043,17.45457969311083
Single,5,Female,84.55122560613806,32877.843343575376,95.10400401159058
Divorced,8,Female,10.54672092277761,82677.79040557353,7.740291085285958
Single,8,Male,43.12502418212168,27203.720405470936,40.331728375115304
Single,7,Male,54.96888101781623,44178.00268338216,41.38043095591762
Single,7,Male,58.92567676716404,42167.869962172736,58.62691395406388
Divorced,12,Female,70.48197387942434,59958.752373207186,60.86598408172456
Divorced,9,Female,7.656939303441092,86897.20686527502,1.2870742035165748
Divorced,8,Male,52.234002020353316,27574.1037039597,46.82018560844247
Married,8,Male,12.22319213430896,79617.27853840552,19.703440958162027
Single,9,Female,18.907482338930237,82883.35790062067,11.274646629694303
Divorced,9,Female,37.62512997171994,29450.730815043178,12.671113983038612
Married,7,Female,52.26066024499794,41356.44273389444,51.17458608793671
Divorced,6,Male,91.0855849652317,32773.18785271693,103.63857468856307
Divorced,6,Female,84.32210944040023,20138.51346884881,75.6231436396664
Divorced,6,Female,96.27557218653267,37573.21617396255,91.4714440077457
Divorced,9,Female,11.48622499719535,96950.37453702083,29.031541593228642
Married,7,Female,43.18877508792272,30290.906495847226,30.82648004018753
Single,8,Male,34.72288306308854,22844.340365292297,27.32100064165183
Divorced,7,Female,38.951060666915296,33472.41529520753,45.70973454415679
Single,9,Female,26.170113413922213,35155.84343976512,31.226085129832455
Married,6,Male,59.76091987332704,45210.93392410825,55.28953669622591
Single,13,Male,62.97657736718109,61054.46899667447,68.51265097115446
Single,13,Female,56.25841167615385,78910.63277774263,43.8243795213454
Single,13,Female,64.90361475716057,65093.66390468388,52.70293583560396
Divorced,13,Male,72.86273880380108,73473.40103031055,83.30035221908949
Divorced,7,Male,39.59428585969569,37296.45844648359,45.77723034832033
Married,13,Female,68.03924052632539,67470.61752168629,60.1776124198902
Single,10,Female,36.60037515064523,34454.96459313178,46.20478345886292
Single,7,Male,59.23954212424388,30909.295428655347,68.35554508541779
Single,6,Male,87.12192990714945,36381.32042203927,94.8443572182909
Divorced,8,Male,53.50174832897742,30363.51887905478,59.98282400048474
Divorced,7,Male,37.17672344917975,34224.0300312216,36.015292491853884
Single,9,Female,13.189209293592029,90452.78052574451,9.398951079342723
Single,8,Female,33.49422059525533,26790.553691455916,23.655192976999988
Divorced,7,Female,84.78649032530187,38688.81819618403,85.89622313625433
Married,7,Female,46.097478240968286,37319.31522162289,59.77459882703955
Single,13,Female,68.79562218246431,63909.397482441265,83.98350862073744
Married,6,Female,86.82623103260775,30995.96729729156,102.17396769027526
Divorced,5,Male,87.8018422344803,38445.66292234076,88.44273762497629
Single,8,Female,20.54129814064352,34635.580786685045,17.7774505323125
Divorced,8,Male,3.8943507199395384,80663.00757178586,-2.5482516435095697
Single,8,Female,20.93198586831699,79188.18898771385,17.483060450680174
Divorced,6,Female,61.431659257362114,36969.22609005298,56.92042521831056
Single,9,Female,34.48210027605938,26111.863469770826,44.586615781472986
Married,8,Female,53.27846921953075,27429.383279933652,42.948397529574166
Single,6,Male,42.805635728930795,22130.91590460686,48.82309657390439
Single,13,Male,73.38385591960548,72182.50309463879,77.15463307978412
Divorced,6,Male,47.47374990769151,28502.246649224617,46.96328689854134
Married,7,Female,54.6869860465622,46362.9437179367,73.12733484525452
Single,13,Female,70.70814711315516,63462.98483478888,69.79397972661774
Married,7,Male,43.62828115113916,37296.8210568469,62.210133631855946
Married,9,Female,13.702768439079769,87186.40833617994,13.909667673126677
Divorced,8,Female,46.51969576565668,50864.942457688994,60.03760799779781
Married,6,Female,84.71026219265153,34525.59258744895,77.27818484195829
Divorced,8,Male,6.110545725489601,84601.08641418522,11.656319059018589
Divorced,6,Male,87.42123427824457,41047.93204130555,84.83901769688008
Single,7,Female,54.92075884830334,36040.918839850274,43.629186351151205
Married,6,Female,89.4170000629777,34756.25817555317,82.57014361900454
Divorced,9,Female,9.502129325699443,83778.37051400935,9.295479760193853
Single,6,Female,45.80049030157745,29115.5230211032,59.531958537072896
Married,9,Female,7.297387208057671,82831.29785397727,-0.6768030650259185
Married,13,Male,75.82972036817917,67683.93729714214,86.95974085614445
Married,6,Male,46.49603835786853,31800.54251679156,36.85694753054611
Divorced,8,Female,20.817875813190412,24829.018925371576,19.3220974691242
Single,9,Female,8.724416462990852,78909.87596378963,3.4573701902679677
Married,6,Female,92.67034299357223,27598.84503528381,106.64028261550064
Single,9,Female,20.121265877380026,77558.22425789687,23.418879812585196
Divorced,9,Female,10.855095052693997,87496.1479098357,6.735630110431749
Single,14,Male,72.13036476656299,71053.48592377565,74.65087704829509
Divorced,8,Female,7.318930344641657,86361.07184914473,24.234843838792862
Divorced,6,Female,58.83558384263759,42086.13115486808,59.58584511692342
Divorced,6,Male,48.589631199421426,41459.126217248355,64.39137313197864
Single,8,Male,32.21655231572096,35327.20987531633,33.14038220102534
Divorced,8,Female,14.374709265078863,80473.7850924335,-8.302561936911516
Divorced,6,Female,87.64396501927123,39315.14396112051,89.90191016696018
Married,5,Male,49.16054407289899,32362.30132293075,56.981586202922
Divorced,14,Male,57.47754951299401,77343.79273971872,46.20541554265694
Married,9,Male,19.852582274734264,86036.1793720873,33.79566271444623
Single,9,Female,14.712679328797016,82115.72230117262,10.023520279113834
Married,6,Male,84.4714322542969,41263.182901653265,81.67306253847335
Married,6,Female,46.372834530182324,30827.17909089767,30.899697738634522
Single,13,Male,66.64173104585888,72811.33250945229,71.57250218500363
Divorced,8,Male,15.88378109186543,74606.28400361992,10.618913169191888
Single,6,Female,85.50024192042899,44699.15512926107,69.7667258128176
Single,7,Male,43.81549676788981,33214.88815125295,54.63318067274226
Single,6,Female,94.11190314870385,37883.56139194285,89.02063635977689
Single,6,Male,46.28493688000222,33115.838542729216,42.92671448777423
Divorced,9,Female,42.20814337573358,21530.787364450836,47.85445951034988
Single,9,Male,23.687554871956625,44614.061021186746,21.62103621892825
Divorced,13,Female,50.69638079278975,61233.60944481467,34.28090956545225
Single,9,Female,36.29822547636013,44955.81796757078,33.728166763084474
Single,12,Female,62.06268434011172,68697.37961415252,74.88015837436676
Married,14,Male,56.92456521964592,74179.92710583747,43.08166458387252
Single,9,Male,8.19886789872794,77156.31817246828,5.674429947263433
Divorced,6,Female,43.32632249274083,34322.33782903509,38.41938195230271
Divorced,8,Male,18.089961764196755,85352.12794391875,4.596801039821287
Married,9,Female,33.624203703831625,32143.527760081368,44.42669891330691
Single,6,Male,53.81130145147011,42122.72603863135,67.40794487776593
Single,8,Male,33.93546862609441,35980.92913753724,31.885903798374304
Married,9,Male,39.72170917707305,41685.99730965357,51.91857352632118
Divorced,13,Male,67.10814671769555,66060.68043535107,78.83839927574961
Divorced,13,Male,55.2314970021736,67352.95594835245,70.55108624496494
Married,6,Female,41.661826870104754,23133.466211166917,51.66522397858171
Divorced,7,Male,43.33330553305752,25644.17330838961,54.92935753106499
Single,7,Female,84.94664807122867,41301.187183790615,86.4347586715569
Single,8,Male,34.88547566764693,37398.398430748646,41.80351188981826
Divorced,13,Female,68.9758604462159,65595.5922963244,71.14557955519977
Divorced,6,Male,81.95601515686771,28164.769737306942,79.85559088161266
Single,9,Female,32.135515742808906,24747.42071086471,35.36936625157987
Married,14,Male,69.13760603195792,62343.34949631081,60.24057342557925
Single,6,Female,88.46315183287422,48406.514861003394,93.84601441810808
Divorced,7,Male,38.11883417985062,32012.749455830373,29.13276739522133
Married,8,Female,30.864681791343855,46216.28588628823,46.31883002795253
Single,8,Male,5.550120331856213,72684.59008396638,16.968981522895085
Single,5,Female,86.41337383686172,43306.00457349045,97.63725082899337
Divorced,7,Male,40.73470084229775,35677.87778127887,45.602492782865106
Married,9,Male,20.73429969244938,37520.3086282818,25.671078155611625
Married,8,Female,40.852434025186554,45330.87305551848,35.62752536721512
Married,7,Male,78.78627619566151,45902.53597361598,71.0141002402047
Married,10,Male,6.621087963101253,87435.51782898657,10.004805347625794
Married,12,Male,68.46537185545169,66677.46369018621,65.68235663251016
Single,13,Male,71.28318713313197,67671.99168113705,69.10552782131302
Married,6,Female,93.96063918823165,44933.35602430465,82.15211909820371
Single,8,Male,16.412012068202714,90218.19296805136,24.13665489452236
Single,8,Male,33.8958695513092,36362.179058738315,50.139100664160416
Single,7,Female,50.75570591602676,31219.93057336419,40.82507332834092
Divorced,9,Male,12.166564204793374,81514.34920018524,18.020520981706635
Single,6,Male,53.44649917354152,30269.411594124518,58.98049242638759
Divorced,8,Male,15.327762841641402,33187.95937636765,10.504683985083092
Single,13,Female,68.90384985009024,62800.610153541784,63.45657250891518
Divorced,14,Female,64.46562792300952,62320.61987492509,70.91584101206602
Single,9,Female,30.693016354425897,33254.65920144351,29.567747349724726
Married,9,Male,22.503372311804842,29062.275072329037,20.208072062698083
Single,7,Male,49.5156125774404,34736.88200017992,29.19777783919759
Married,9,Male,35.547277166379054,15512.801716780046,43.72317367996128
Married,6,Female,85.33906512666292,24053.52963691472,99.51232052834382
Divorced,7,Female,50.27492143503743,34969.4694837862,43.437026939440095
Divorced,9,Male,23.814752894870814,40475.84691788484,17.727405190026374
Single,5,Female,89.57835591945155,36647.387056593965,89.56103040618625
Married,8,Male,41.07535014989503,38932.5436010014,46.86776303019052
Married,9,Female,40.69472085828142,27155.980357623586,49.47879676071562
Single,14,Male,62.23393984073657,64765.81087201678,66.93532902708402
Single,9,Male,19.3018047519455,89037.77383828578,18.968452785075506
Single,7,Male,44.56599874894952,34415.73963536823,31.019596992279308
Married,7,Male,80.96925062611379,36523.69686288934,92.04591056247858
Married,6,Female,93.41572795533327,39133.39873461481,93.15355447521335
Married,7,Female,97.674296123038,40498.68006995458,92.33698095469818
Married,13,Female,69.44497386794019,73926.47644467253,83.24715586013714
Single,14,Female,68.64614472690987,70389.90340602022,78.97217337354253
Divorced,7,Male,32.99675485825934,36154.32569629944,40.403209636805364
Divorced,6,Male,86.32207783156571,51125.57793591191,88.81717872066741
Single,6,Female,85.2150803791026,40315.88510202571,83.87467921544616
Single,7,Male,87.38821029393036,39166.40631095237,83.9723312260457
Single,7,Female,51.14654224983088,32800.91229207143,55.22517436752831
Divorced,13,Female,61.79170606988913,63315.98070598395,66.1219455519297
Married,6,Female,42.38839431771657,39435.68710488678,44.88295578151303
Single,9,Female,8.917354677840734,71558.16899747262,14.035682582757065
Married,9,Male,9.563892067689665,87049.78947862113,10.60305859782492
Single,5,Female,82.56021003959125,32320.054924550517,79.0128669271104
Divorced,8,Male,31.889638030282203,26035.32330473991,22.242139746338907
Married,14,Female,60.60629981768301,86569.48641392158,64.13987982067428
Divorced,5,Male,85.21210764047622,35072.03852014531,90.18399542391602
Divorced,9,Female,33.332087862708974,34694.05445429183,37.00425396799409
Divorced,7,Male,54.22676261711783,33619.977568903814,54.667617464627114
