sales_channel,Season,advertising_spend,population_variables,pricing_strategy,Sales,promotion_effectiveness,brand_image,product_quality,economic_conditions,consumer_confidence
Call center,Summer,4190.900277452565,1,45777.33904715173,5134.512826848497,0.4310249796770498,0.13830011539764409,5.166388474877284,0.531050194139043,1.6692954195625422
Call center,Rainy,4384.376235022563,0,43750.207919914465,4101.290336436657,1.0225871823100938,-1.2826982996496203,4.3610730684868235,,
Call center,Summer,7138.981533381225,0,60628.934143335784,5059.033669759855,-0.4188134383261531,0.14298335187767078,3.1759061937972834,-0.23921080259609098,0.14034395698288052
Agent,Rainy,6097.424806448654,1,79999.35011102632,6658.377892355235,0.37305568373666737,1.4242227092643245,4.27145646291843,-0.4894542250112145,0.5147087307396261
Call center,Rainy,6001.859653871242,1,45747.66371069145,5591.851274433878,1.1457546432670749,0.4892710891672032,3.266738093652913,-0.18659525433267876,1.4583290205807125
Agent,Rainy,4122.6265086130215,2,48202.20570743551,3874.7183567829343,-0.16004207207599597,-1.0136832237292892,5.352910391294042,0.4051164522613129,-0.84567619170897
Call center,Summer,6341.239844276449,2,66365.25876757085,4087.3896853792166,0.6985318707956227,-0.9443081308323938,1.3067774578939995,1.2846962742990968,-0.0052975391041070645
Call center,Summer,3243.7208126302066,1,29455.89381574536,3820.8237181111813,0.3259106898360753,0.20559000178651138,3.972767708753228,0.9443417723100294,0.7986717376679158
Call center,Rainy,3138.2911421441077,0,43982.61759509187,2979.450833770966,-0.8110129132813374,-0.2078166134101391,4.421646228702125,-0.3529301717127054,-1.8896880542135372
Call center,Summer,5877.383870601262,2,58858.59407432016,6421.497627647112,-0.7179736834107434,1.673118073086077,5.131858601745792,1.6864254962284984,-0.08356566050117292
Web,Rainy,6069.315222029973,1,43267.50938098755,4824.271653633591,-0.0960020062755764,0.9856698719738242,2.1405834029875357,-0.20225262666706895,-0.15826371278227674
Call center,Summer,7343.366122372488,1,91878.27620039321,4043.393349213067,0.44623101722283504,-2.471178180533241,2.84909581478201,2.2221476011518186,-0.8314665946530503
Call center,Summer,5121.91327472978,1,58571.094817919125,3582.916616100513,-0.9458179707584964,-1.231730659157874,4.868385034818578,-0.2456047918148791,1.7250413486221887
Call center,Summer,5922.666959193924,1,70237.05961452592,4084.8553699701934,-1.8620217895304205,0.6288435884883494,3.5932653713221736,-0.5702287333258593,-1.2990868660169639
Web,Summer,6452.640935292022,2,38840.572227492485,6778.060399509557,0.6937715401865856,0.24273103681056352,6.050944861180174,-0.7326608341021267,0.8221394195976771
Agent,Summer,6360.117655846506,2,46904.9123164824,6403.882551716259,1.6257747164125316,-1.0749413689600187,6.011692927028847,,
Call center,Summer,3758.9531796850633,1,88170.36350629172,4796.062047785003,0.021277028104130777,0.9470186491421803,3.654061771335658,0.08240566362234951,0.5053237698949595
Call center,Rainy,5290.405560703683,0,64667.17337728028,6121.8020735304,-0.013505302388297606,0.19739004245699265,6.800879946832813,-0.3791810301537368,1.262247008398301
Call center,Rainy,5512.477922797278,2,55722.580455889176,3089.5412655884274,-0.14834415527862668,-2.0120521449376727,3.8513586643690876,0.5701583536207354,-0.30296760077120755
Call center,Rainy,5568.040266294974,1,49851.12246716001,4448.982765585885,-0.5922521980731649,-0.8229497807132812,5.217963162777184,0.027839910457461127,-0.29171784892214986
Call center,Summer,3480.173290434765,2,29303.775688480717,3849.059332612166,2.1057428638898212,-2.357936840269386,5.2479316353457675,-1.4042100979450098,0.06539366049723572
Call center,Summer,5138.884884720275,1,45109.53139250328,6923.998852497754,0.9090043870137205,1.037901149609084,5.868780062382248,1.6337985635870282,-0.10596810770695295
Call center,Summer,6270.443681321634,0,25064.84770998881,6140.548750483158,0.37454369311349783,0.34965410886186,5.0794725331115895,0.2521733106643712,1.71456706281493
Call center,Summer,4103.9388871208575,2,62107.41417286038,5816.472616005511,0.950859777349298,1.1283561738705388,4.67002003049374,-0.15080058930700213,-0.21160223602500056
Call center,Rainy,5697.765139295118,2,58279.35769720305,4111.97406605853,-0.9287478498619764,0.36688715156931806,3.212549784477301,-0.8288650855760031,-0.19909832205964062
Call center,Rainy,7292.942567649763,0,23924.29595168095,5906.419595758814,0.2439994619327304,-0.7416030650739383,5.7304274979404175,,
Call center,Summer,7241.1447113881895,0,53818.4472048538,6586.411281012976,2.0663555395611484,-0.5649920266219175,3.5493788783846294,-0.7639201673343198,0.4036475238648431
Call center,Summer,5755.793600137971,0,38445.48808380969,4471.444266161735,-0.05802205249103088,-0.7922715664019059,4.547276550223437,-0.023629915605254695,-0.2165005333274529
Web,Rainy,6225.5294547740195,1,44442.211912952174,4307.5437575288115,0.11030400680512617,0.06292436722398816,1.7655919420144346,1.159037715245708,0.5184343337489558
Call center,Summer,4874.445511001128,0,61834.41805242178,5101.2184091695135,-0.3636276463847728,1.028743807559109,3.949619520857482,0.18721661543641804,-0.01088723086880806
Call center,Summer,4144.7720008519345,2,62929.49290751942,4390.7600771482785,-0.3500702278286816,0.4586351910452736,4.244464612628094,,
Web,Rainy,4780.374739892775,0,61056.185417719316,5388.650113468534,1.0224534161591332,1.2066687947641512,2.4488949165189786,1.113638868106097,-0.26027317536624356
Call center,Summer,5717.428136870584,2,47562.59699234114,5105.699733427418,0.4696973372026143,-0.24059979437496662,4.009329733188949,1.0433588886048162,0.6717662871814444
Web,Rainy,4339.372137668057,1,75414.70305966446,4177.394334279678,-0.1797082506493094,-0.1698084815849463,4.586035713735485,-2.246238714640293,1.2304546243753558
Call center,Summer,4770.512641323653,0,32785.94894825955,5618.472348059782,1.6593726035792118,-0.2607320810952649,4.705808390635509,-0.5946115836195284,-0.47749797752794826
Web,Summer,4930.551943024447,1,53134.8677438481,2854.991482543801,-2.0471492817759542,0.7103423526141236,2.491259180849529,-1.4286172484996411,-0.9959561135352021
Web,Summer,4301.2292376992145,0,54494.4970776303,5222.875633569654,-1.047144983035973,0.40698655060716105,7.146359349267469,1.1872443343219512,-1.1322973730721853
Call center,Summer,4282.450961454209,0,39395.025961559564,4101.77213195101,-0.2194914029727815,0.7314565985550879,3.227427625600453,0.8432673044809341,-0.7787956332549961
Call center,Summer,4684.06487033183,1,77854.66019447736,4089.6784136924803,-0.004412618106559588,-0.560091368704315,3.8662191375709,1.5999364401549874,-0.052048758070470616
Call center,Summer,5347.567534648116,1,38938.35290900116,1766.5387026953754,-0.4506703815301814,-1.6928715295716898,1.1590667880233467,0.5198176627879928,-1.3923688396315785
Call center,Rainy,3547.2015810587604,2,61707.99683271023,6028.3014276661215,1.3891135984538308,1.1705164409679707,5.102183091550328,-0.22567322135889997,-0.16110866322402692
Call center,Rainy,5508.716909414183,2,53176.71883508059,6300.061984052669,0.51227749119436,-0.04664344937326196,6.33798279022281,-0.45259579027395647,-0.2309334108846859
Call center,Rainy,6745.641981301144,0,55243.493633033846,5348.344755276642,0.3963734874667333,-0.8685534732114557,4.638296676599365,-0.31122277849198715,0.20878416371680084
Call center,Summer,6014.978788633509,2,62422.489204778896,6823.154701285052,1.1443966989955676,1.166976653816981,4.020481809009761,-2.2347920039349005,-0.39340628299300184
Call center,Rainy,3290.582236462921,1,62806.710458675116,3372.940270802309,-0.4441233510267309,-0.5976230537286685,5.050908757556999,-1.4711614935136332,0.6697074014995966
Call center,Summer,3371.2964190850957,0,67972.66713138964,3252.7058103294407,-1.7235239512430829,0.5385851021217121,4.480013236463558,1.2240519738613502,-0.5805576542520454
Call center,Rainy,5002.754137528578,2,35824.57554769749,3404.531331846513,-1.528008371865187,0.1721484735732967,4.004096877247006,-0.36860461892087204,0.14539544411641736
Agent,Summer,4269.986704382641,0,59767.14733585545,6734.47084852529,-0.34162385862601913,1.6137754678392708,7.543611658080551,-0.6858039254097958,-0.16135608002829838
Call center,Rainy,5047.4995593357335,2,98683.94704972536,5024.345000201955,0.11814928269123444,1.3862969651007429,1.9236580952862248,1.7750442475493078,-1.0883832093533987
Agent,Rainy,5428.882060288233,0,34211.21095327961,5688.54830678125,-1.162256723344494,0.8140953115241789,6.9987506297886135,0.3398779943180539,0.41424137843093994
Call center,Rainy,3643.266783958049,2,57353.420143213625,3592.2316188046357,0.176499482327292,-0.5822723271657209,4.191091499235177,0.21943541046446138,1.4601731313070732
Call center,Summer,4647.319202903413,2,24838.235484850265,3487.956289036686,-0.4759934255070368,0.9329269619021596,1.9751502726607981,0.6152384720066554,-0.055616783502090095
Web,Rainy,4499.786804728318,1,51973.398600963665,6878.801928653681,1.4895593153621238,2.239767112109511,3.9164022780595134,0.41254131506481984,-0.27205602160248354
Agent,Rainy,4987.619760851258,1,42728.82258249719,5482.85640181659,-0.015240773259273928,1.7359064393036916,3.64800835615368,,
Call center,Rainy,5190.13281220401,2,40283.38552995227,5691.156063294361,1.456099803100535,-0.02106565619560282,4.213112439666115,-1.2032999663783044,0.02932632803367191
Call center,Rainy,4843.992829867042,0,69169.78183040452,3289.796348862532,-1.0013793514764784,0.8365053780870058,1.9395454178211553,-1.3006597541634015,-1.0271737988000267
Web,Summer,5466.436965720461,2,58555.07880527185,6029.218717321286,0.8655299218373051,-0.010403397290976547,5.455910418528573,0.9054208358137286,1.132372928368338
Call center,Rainy,2578.7431929764034,1,48075.887643090704,3843.9841474076698,-0.33888592040351095,0.08755325343144352,5.608127676760946,-1.0294410102726956,-0.9174527955208233
Agent,Summer,4961.858116606599,1,37161.66114931612,4640.233327997268,1.0173815645590372,-1.099292163598696,4.479097656202145,1.5703532222069845,1.1586141062815376
Agent,Rainy,5175.068742369266,1,80006.47084136892,3733.985314651394,-1.8629723451807967,-1.177525646688912,6.207717386188168,-0.6291582077790214,0.4106799063012334
Call center,Summer,5664.114476712707,0,57322.2189106586,4989.957566208195,0.6951895055201502,-0.07448086468610193,3.3023094316219757,-1.2323627546970313,-1.666671332379341
Call center,Rainy,4906.2671793397485,2,42402.33452652143,3238.9139715762412,-0.8449054080177125,-1.4010404741242586,4.901190816583375,0.07056607531203789,-0.21580782769634416
Agent,Rainy,5728.134819820852,1,64738.99243671231,2956.7330106251434,-2.1530810039244197,-1.4446287480070408,5.141805625446501,0.9017212131143759,-0.4813582023376737
Agent,Rainy,3600.5679377851875,2,64401.123303911176,4531.850703261056,1.0698361551502904,0.5169622920343278,2.775956844841684,-0.5495576266912634,-0.1818062209575145
Call center,Summer,5035.133261974499,2,46166.9184232253,5226.522267407254,0.2852883606729588,0.7075829274830122,3.9608262257726046,0.5680419765136593,0.00015638347088559826
Call center,Summer,5435.364139433445,0,35504.86544391595,5632.370169148395,0.8792258966712562,-1.2412459175305421,6.554635722853733,0.9847480453432024,-0.5611806202549251
Agent,Summer,5349.5450932611475,0,22186.31353482257,2406.014594129861,-0.9809974630808634,-1.8167176272422103,3.842937409395706,-0.6449358774176032,1.205706696257813
Call center,Rainy,6361.9546459354115,2,42891.88057799003,4336.584190472321,-1.724879736365872,1.0221943519711743,3.01552261919082,0.054285221411312576,-0.33456970488268845
Web,Rainy,4091.535514658224,1,46849.28989009768,3279.2432020235365,0.37651783084440604,-0.1615905555110669,2.057393267891973,0.5259374571638208,-0.45066059685790255
Call center,Rainy,6745.9306520060145,1,61914.96138886006,4299.701063685784,-0.3005013898505342,-0.5925448362027324,2.6691650877778725,-1.474005096951045,0.8522730988512188
Call center,Rainy,8753.47015023907,0,50677.06002266054,9096.546857340421,2.0672057120782115,0.9364083612831294,4.8254859747098555,-0.22856711775415167,0.668016851792255
Agent,Summer,3715.5443954949787,1,82613.97657059442,5962.7378739541655,-0.3171827996286608,0.9844099634775015,6.6026284591403055,-1.053805968548422,-0.8580748406756799
Web,Summer,3642.6229942820282,0,32970.15203272916,3779.8564198047125,-0.41255820421668443,-0.3414055758071683,5.426786530990071,,
Call center,Rainy,6219.963665555295,1,62938.4161956146,4413.547003440039,-1.1312321209121745,0.02056290117082515,4.1517906735047605,-0.7950110851436655,0.570895740581627
Call center,Rainy,5549.781959206068,1,46064.207892160375,6785.941972828048,0.08758358287451018,1.2702362533484113,6.160160235454502,-0.9732407980463118,-1.37951729772178
Call center,Summer,5719.789173881148,0,47783.54131955039,2927.1564511869014,-1.333213594146639,-0.047879028794271195,2.135076263857952,-0.750665353232652,-2.02094025267566
Call center,Rainy,5117.229021858921,0,56289.754782391065,6086.614359279081,0.6466985626909303,0.3427510104131412,5.617664285004032,-0.5937585426978305,-1.0759227652080368
Call center,Summer,6359.04728641504,2,60178.63270376504,7445.235075101504,0.24072313541507695,1.260787880207738,6.164736132943398,0.3708730576986972,0.9923568189018284
Call center,Summer,6714.2714215895785,1,63333.582694358396,3854.28752313906,0.47008239648237365,-1.4357055706620834,2.081334526791436,0.4461552197246193,-0.3664851610622605
Call center,Rainy,4898.731919483996,1,47454.870716088495,5196.943000971777,-0.8307971528989384,0.5580933589759709,6.140246438421067,0.1308492357150752,-1.6764849084430469
Call center,Summer,5590.224486581264,0,37319.81436698958,6412.561302039426,-0.2611652554214341,1.6680990175631594,5.316215863629039,0.40354315245788197,0.8703285275606361
Call center,Summer,4223.694316848238,2,59125.939570272196,5708.713984531387,1.3135716930949701,0.5791996128806078,4.5277279670716855,,
Call center,Summer,5740.946633983469,1,46607.52348668522,6192.1612268755325,0.7954205390065712,1.1427651629258533,3.8827376669953377,-1.2286567003078934,0.735356933270667
Call center,Rainy,5396.61028602675,1,61167.463502187245,4369.685430612721,0.8009767469010698,-0.7128392432305755,3.1357994489376404,-0.5958377127150124,-2.296203628179646
Call center,Summer,4368.665207493194,1,64512.55233582732,4761.402957412059,1.2765138113993748,0.3904739272623876,2.3940199943224907,0.7836606675468599,-0.9212397489757567
Call center,Rainy,4785.895654779275,1,52497.82676830467,4113.0945637605455,1.524789371210525,-0.5011692896429956,2.1221398118612664,-0.7343788982299463,-0.3471158744484136
Call center,Summer,7750.004813706693,1,54196.03004369745,4725.858182747014,-2.079002517997914,0.23516966796931105,3.8715767128005933,-1.6764378529122899,-1.2985139585994283
Web,Rainy,4804.107568412175,0,40783.092107952645,3203.359598695336,0.09244879288657536,-1.2515468903262397,3.36613748692308,1.775995538606192,0.5115532744462129
Call center,Rainy,6014.672271115821,2,65312.51236794614,6970.420189581642,-0.0495363859777456,0.992819183584166,5.991327142063407,1.5744850875781744,-0.6277373618569649
Web,Summer,5408.023698277403,1,66871.02457135568,4961.823094190712,0.15295379387821487,-0.5321201275204593,4.539672590342862,0.5425713554992211,0.5417369936232055
Agent,Summer,3349.1341286734996,0,47032.86915151401,3583.575455455281,1.303021737982133,-1.0603167157061517,3.773806470678784,-1.9740072455148512,1.7026382067504604
Call center,Summer,5483.795467599402,0,48757.6366941448,3639.410778493244,-1.8546169594212696,0.3475303533027507,4.002565040332325,-0.4562845970530398,0.7799046286361769
Agent,Rainy,6423.97134499754,2,63562.40774986411,7035.249686396639,1.3259870053234584,-0.5822961943689041,6.496107822196777,-0.3632687586216606,2.230475730696741
Web,Summer,3404.030500893381,2,65545.13192229332,3619.618754003568,-0.8155474745316995,-0.6273512440157518,5.999021107374524,0.6240874002274711,-0.7725594753362535
Web,Rainy,7680.297781291705,0,65653.65021358017,4250.352690610407,-1.3658612799919867,-1.7619326887122333,5.039272675232214,1.4144070337150894,0.8103693370416163
Call center,Summer,4995.257543308815,0,45795.30521615881,4813.498178228197,-0.19611662060331325,0.5069109957651392,4.264802754984684,0.04449864908913099,0.6702787821332497
Call center,Rainy,5210.242812656692,0,61962.85390441347,3671.6661620976147,-1.3794673300002769,0.04615195478043243,3.6885323831414265,-0.06597881529045459,2.1584133233736655
Agent,Rainy,8092.419214857817,1,50822.46864687747,7531.433290842562,0.8631296532203423,1.4865311279608986,3.0882356453791404,1.5121175756962673,0.1839584383608693
Web,Rainy,6379.770174408402,1,69177.55761737138,4513.285489920469,0.06699132606816101,-1.6772697548187454,4.770796011819739,0.1337512941557747,1.1406515786970397
Web,Summer,7441.086583183181,1,83087.3539862796,8255.424732472196,0.4234196675919344,0.2675886506614346,7.393474752967132,-0.14603868881676946,-0.14414278255760896
Call center,Rainy,4460.369594876562,1,51718.89007108508,3806.013791585172,0.3250908606010201,-1.1266909403381364,4.281201427343546,0.5623018434664836,-0.693962838269437
Call center,Rainy,5247.565877599199,0,71884.248492484,5567.252589069472,0.9387519642567689,-0.9987829661604355,5.904091064653409,0.3296822683663867,0.32699754305954537
Web,Summer,7845.954109455013,1,37105.513984886216,6163.29666622209,0.39701045676405944,0.48072854025559747,3.2556781461759385,-0.4121641055471011,-2.6739281353334343
Call center,Summer,3842.516978292124,0,69896.57223998802,3829.7754395026923,-0.16499224762282713,-1.3554250927169869,5.8779951777856825,1.150157948412301,-0.5457801931322925
Call center,Rainy,4772.376856300081,1,48586.45061833045,3842.89484509825,-1.598721069135365,0.018103245043686333,5.354562376416681,0.17670763095914513,-0.7012950867609614
Call center,Rainy,6020.87684628511,2,46505.700637676375,7069.186390100309,1.8904119237972483,0.8464104433114699,4.1924966378629795,-1.0728163621438385,-1.0050081752311508
Call center,Rainy,5738.062255730393,2,46990.81357017558,7222.887593462071,0.9917327646861244,0.7258890306340294,6.363129474571327,-0.6604201035424969,-0.8368114527004606
Call center,Rainy,5299.579603889215,1,53696.460246117094,5540.163882098026,0.19766196643258319,1.486780486956414,3.1410614821607723,0.3213623762654005,1.1299505514555643
Call center,Summer,4668.541600162164,0,50084.96561672865,4342.728546701721,-0.04943308425388201,0.045401934230362165,4.1578673430072,-0.1710876702835857,-1.259506819228949
Call center,Summer,5727.613689774289,1,42510.14092993527,5444.405190694641,1.0359956575937022,-0.45971746529047436,4.759732270992381,0.7357671798002983,-0.5319758106535045
Call center,Rainy,5726.480797270489,2,46857.42244740214,2566.324919768091,-0.2696918993734699,-2.5678899581430836,3.4243903377731066,0.8297745441942362,1.9370760524642854
Agent,Rainy,3781.148706733502,1,60846.56259820894,4852.010777751098,-0.45442936101590087,1.2691403653289755,4.22357985188005,2.064674070537847,-0.13061838071245216
Call center,Summer,3407.161101997155,2,43171.88166433369,5201.546548607144,0.5618930577106707,1.2637146145961433,4.476448451068107,0.10036460409425804,-1.4029168413342517
Agent,Rainy,4486.359829569844,0,67595.25565598725,5754.192314595135,0.1017331279975086,0.8621757174149729,5.570954634142611,0.16023182963046048,-1.576739038356124
Call center,Summer,5329.7992504814665,0,53133.53073863637,4103.343033757698,0.07250548264833999,-0.07414825528518036,2.9262775051751726,-2.223333393131329,0.2425721978452363
Call center,Rainy,6356.0297342823405,0,63841.31024207732,8668.529959909896,1.4544908485978407,1.022221265744257,7.081561409005742,-0.49744223087848044,1.097819949504829
Call center,Summer,3003.6234826480895,0,43348.264442919804,6556.388360443378,0.08993203104206317,1.9778679284832852,7.395920245621932,,
Call center,Summer,5929.313161033674,1,63338.08283501716,5676.802416168875,0.17309199682600368,0.21173817936850262,4.874310457577048,0.715116461262668,-1.2072161775556791
Web,Rainy,4784.6584401468435,0,56194.98991352915,3210.754472074428,-0.7264607909131057,-0.5881803096931065,3.3392603152901823,1.5419751172337544,2.2130611777048124
Web,Rainy,1793.5150288324157,2,43946.44999123375,2497.954529244408,-0.750076057249307,-0.10139340524506889,4.56414356562791,-0.3260791217469617,-0.2146519009895911
Call center,Summer,3296.7197034800806,0,43606.53457223833,4182.860912795374,1.175628262966103,-0.5410090676692669,4.406448677796952,0.007649188673765111,-0.41688728509924416
Call center,Rainy,3993.253084608751,0,68865.36402078878,4724.701450070604,1.0385230696728567,-1.485454412891339,5.9361262220272595,1.8451518754495944,1.1161954990378202
Agent,Rainy,6025.328935198268,1,63175.4400904281,7093.337178822656,0.9818674579409421,1.1495614362993272,4.488804010212567,1.3365571387659354,-0.9427531815123323
Call center,Summer,6624.953357241891,0,48078.20684819478,7370.638386805213,1.3104765815845782,0.7744758558029718,4.981615963130267,-1.1557741019944618,-1.8702304109041585
Web,Summer,4179.90381008875,0,63790.52955077069,5398.621477975939,1.4072908846980983,-0.28066075405034335,5.183862558699168,-0.29776076470815754,1.2158371829382224
Agent,Summer,6752.59943710633,1,60898.455268116486,6756.234840477346,2.058410690957688,-0.3254438135128956,4.064943993217325,,
Call center,Rainy,5038.382072624684,0,86711.9012185083,5263.66117860468,0.3212287285905834,-0.35335423335179794,5.0027037407150186,-0.05255374328185362,0.26423956252127506
Call center,Rainy,5572.457901721814,0,36248.52352295711,7397.689729750194,0.7716932253452512,1.3651529751498572,6.204774074852957,0.6612727705414261,-0.9118302909124997
Web,Summer,6118.510317500236,1,52036.91514833432,6233.621906671354,-1.5000411392445154,0.6386831197929362,7.5424579900882005,2.211962071869709,0.8381507650271691
Web,Summer,3197.6653807768216,1,71238.01209042434,3611.52074143433,-1.165199519395089,0.7702567603718282,4.576841946902656,-0.7991456451936059,0.16058816340065493
Call center,Rainy,4063.025194321459,2,55765.9718215753,4099.475736471406,-0.44474677833799314,-0.3914099330045157,5.140936985758994,-0.04684893945284258,-0.36903488587861855
Call center,Summer,4479.200073609441,2,64667.44320513652,4398.260702990049,-1.4916274406139183,-0.8262055178509385,7.683102529936821,-1.4692145515046418,1.2865123311912756
Agent,Summer,4270.350294591047,1,51575.75334214428,6029.044974666961,0.05825473970890073,0.577782562076257,6.924300339487503,0.4486273295461047,-0.40296342048719286
Call center,Summer,3693.3402753508317,1,50017.06647738842,3348.064355369432,0.06682500102886246,0.6240816240703773,2.3005033832070247,-1.5256834348361132,0.45741678094139954
Agent,Summer,6025.646222238953,1,40747.69676142909,5119.884137215605,0.1432195679798181,-0.1633215967575362,4.3428400699907685,-0.08393496705783994,-0.4773707438044914
Call center,Summer,4222.304839999322,2,74183.81721230908,6503.890082068296,1.5934142378233764,-0.3505683057774323,6.817690906620669,1.0668561317608156,0.10930296470023501
Agent,Rainy,4357.181863763452,1,32985.136538935265,2903.023580013936,-1.3185275670573662,-0.2572810620933359,3.6639360723376484,2.2627097497411257,-1.6878333142933641
Web,Summer,4408.938140868677,2,65901.00062699048,5739.479320133418,0.5056227960756876,0.42430926084481635,5.727737796931796,-0.8337760304440965,0.06900658912617574
Agent,Rainy,5701.527930448256,1,29496.701352284294,3078.9555737200462,-0.9259908105100717,-0.6934870571566547,2.851494177305625,0.2576178040669795,0.9419909935929661
