Gender,Brand Royalty,Children age,Subscription score,Annual Income,Marital Status
Male,82.62648565425806,12,83.5700167439833,79371.4397446971,Divorced
Male,81.59156238932694,11,88.5876612021429,78357.60916334254,Divorced
Female,86.4653078344051,12,94.83385533747668,80754.42422358986,Married
Male,39.71274059078272,12,48.502291004678106,93957.39281696256,Divorced
Male,48.952091633765356,13,39.80271856907713,60145.40169764695,Single
Female,41.33691386743658,12,30.607186493997695,82381.43571016402,Divorced
Female,89.76269922097602,11,96.6380181891836,72128.5363180979,Married
Female,68.59596741862622,6,67.43857529658996,30130.399400516573,Single
Male,20.34944940370922,12,18.085796669240885,72206.47987166795,Single
Male,58.166221112044404,7,57.899003715842206,87985.80238565586,Married
Female,49.23135057015591,13,52.68772210484628,55807.40761120574,Divorced
Female,34.352033643015275,11,38.00909473590915,92304.44478267655,Married
Male,72.32638146575898,6,79.88933123104117,30514.188386967184,Divorced
Male,89.20371490638374,11,78.86338622194485,83722.13776910285,Single
Male,60.60602495101316,14,67.18395544921353,54090.215874321286,Single
Female,91.93493817920242,12,95.62305794435716,85717.59494474578,Divorced
Male,37.327811239918546,11,51.359134045004446,82928.81067042469,Divorced
Male,9.806261432300502,12,8.864309846068727,69545.38055325898,Married
Male,59.62387766861794,12,67.6692797346016,60116.725589227266,Married
Female,65.61632128316906,7,76.04130478775558,91530.27456022847,Married
Male,60.59158089115963,14,65.18823346236938,57770.442255411064,Married
Female,76.91623169736859,12,75.25685601212527,80586.41712416513,Married
Male,6.333501698001541,12,20.27824657358534,70143.13019953696,Single
Male,67.27777070360725,6,58.44224300802002,23692.38849561174,Married
Female,51.95912357705878,13,51.79882665202948,53601.78953264473,Single
Male,75.02724095107321,11,77.70186442371646,74552.58307896549,Divorced
Male,63.40171067192405,13,64.04639961865895,46732.26674211884,Single
Female,4.777941499047458,11,2.382953332709813,73908.34278682926,Divorced
Male,82.02824325169193,11,80.95055680246577,76272.14561483247,Single
Female,60.0667431989264,7,56.70490591840293,92088.40477679635,Divorced
Male,43.339996458252024,13,50.879613560565666,51404.387113637844,Divorced
Female,61.670459987510114,7,59.30607875227486,84094.41295686789,Single
Female,62.716113896813326,6,62.793037377190416,95457.27849617333,Married
Female,86.04193340334493,11,92.3064016310372,83484.60719199353,Married
Female,63.86019901361672,6,54.458597790620395,27497.414686396784,Married
Male,84.32120228863076,12,76.09401625103149,78425.63817225484,Divorced
Female,59.426452221201544,5,63.70340152026518,30022.91806847703,Single
Female,35.54367513794864,11,22.83633564546672,92067.9090040729,Divorced
Female,60.230483190009494,14,66.26572976824474,51798.406656681196,Divorced
Female,79.63818931403189,12,91.7107293739488,84049.93990194134,Divorced
Male,54.42294998645308,6,61.32929841756626,23073.83771902015,Married
Male,63.176472756591494,8,66.8686927733771,85435.51367567481,Single
Male,63.11145073924388,7,73.94540016160714,86356.58867280894,Single
Male,84.65637218632888,11,92.00751058297863,84425.89596976797,Married
Male,54.02897527537255,11,59.11787135840358,85661.76386195779,Married
Female,89.64924254189835,12,86.47229971285871,81327.74077252334,Single
Female,88.47268997430567,11,82.84998701617522,79480.42678413502,Married
Female,17.723983667231785,12,-3.1581545888606257,75438.77215286871,Single
Male,88.88145708208123,11,76.2126286198939,84819.08982904996,Single
Female,60.56372152869665,13,55.98973661843586,58395.62567699151,Married
Female,60.130002409984115,6,55.60699513917948,24024.633657744103,Married
Female,50.56199556190301,11,52.05849400384527,83438.00827067482,Divorced
Female,63.15078419767114,6,61.73109321386198,27298.63640681311,Single
Female,68.67338677765599,8,70.6843328429694,82707.02612880096,Divorced
Female,39.196259335371934,11,39.3858175192558,91806.54913244711,Single
Female,50.11899383562983,7,57.029701498028466,23478.562598295117,Single
Female,55.09498492512379,7,66.53239202796121,23935.288819239417,Married
Female,55.0757275610961,13,45.99537994392463,54503.496070315094,Single
Male,12.371526584893651,12,10.977045923747236,76140.39415720898,Divorced
Female,68.65207774986939,8,68.2201957185161,87939.23375951327,Single
Male,66.64765655802844,8,76.64777943071579,87587.07230911157,Married
Male,17.774523112669726,11,15.993028737690153,68241.168881453,Divorced
Female,11.73190993790115,11,13.549393345266816,73519.32013153752,Divorced
Female,55.77843080859992,13,56.61119363540523,50337.7404211527,Divorced
Female,68.31625734262278,9,57.61567943603911,86973.21980925999,Single
Female,61.19461045236133,13,68.83658344034554,51246.86037671299,Divorced
Female,93.62268577758645,11,87.3776028695006,79948.6439419499,Married
Female,26.108578544547647,11,27.92645809076607,94095.25479330312,Married
Female,54.56613202840406,5,48.02753201151208,21197.707113797987,Divorced
Female,19.77220251204385,12,13.555427254048354,73163.3456533858,Single
Female,62.52274320688319,6,61.01919891465822,24999.177587535938,Single
Female,61.42854042055442,13,66.09789665500689,56069.9634457548,Single
Female,12.77329100986507,11,-6.816015522252307,65627.32655556998,Married
Female,54.92134754355427,7,58.58720167446317,87877.79124215856,Divorced
Male,34.68790587998331,11,40.571581534825974,95663.24515772238,Divorced
Female,54.53461868838584,6,55.45471172122789,33257.14671734753,Single
Male,34.81826830535002,11,26.06197349225717,95552.9220513359,Divorced
Female,32.362332191583036,12,38.286626137305895,83200.73832025168,Single
Female,65.12156456900527,8,70.82888423546135,86954.38138719747,Single
Female,67.11605792809769,7,72.51334267359431,88458.00674520037,Single
Male,69.35053144656041,8,68.59265961796069,87559.29218471932,Divorced
Male,16.047170550732808,12,-0.10450514171644087,70521.52095510038,Divorced
Female,80.64189146363175,11,79.64815048672604,89298.25129819928,Divorced
Female,9.770685467272848,13,8.512598169640064,69979.18717051538,Single
Female,36.592248995368685,13,29.612343829989946,85003.99251180943,Divorced
Male,15.95658443982731,12,18.470557590468054,69451.46989427769,Single
Female,44.24505729434452,12,42.38707102579245,87941.84804628251,Single
Female,60.775495692651006,13,66.20985458530807,51553.59783801467,Married
Female,14.161460002055598,13,9.220238462967453,68239.49666167574,Divorced
Female,56.61206859229122,7,54.2275769983317,32030.559117572786,Married
Male,80.06064263413114,11,68.0444529773964,80223.18979486618,Divorced
Male,81.53983548717292,12,78.10120619747907,77171.24029341545,Divorced
Female,54.845976214073715,5,58.26160950137015,21206.166267213543,Single
Female,81.61915824347113,12,79.86620205398273,78620.16742550439,Divorced
Female,58.5771756469746,8,69.41916554527938,84206.641163451,Married
Male,63.600265486825876,5,70.96225798043004,18391.708479425994,Divorced
Female,41.35406821822716,11,36.61241821540047,90333.0816591769,Divorced
Male,47.53405080770863,13,53.80641428845572,51934.96835020307,Divorced
Male,56.89828229935975,8,63.610557172582816,84226.16324201334,Married
Female,57.6626930326484,7,61.9489528756483,81789.25062610653,Divorced
Female,77.08183482975603,11,66.32412660430447,79574.27552099247,Divorced
Male,61.692043109024844,6,67.66853893592491,24665.16951580412,Married
Female,35.07775212476902,11,37.556644870721215,88402.91183173076,Divorced
Male,50.19187071938068,12,64.79496674558895,85504.57226506162,Divorced
Male,65.84381226392964,8,59.3206638623992,87755.59648121594,Married
Male,61.624644318267585,6,59.48919802001242,26565.615841922932,Single
Female,39.37266824002335,11,45.63007271220783,91768.67312985816,Married
Male,46.61507289343581,13,49.93196961183488,54399.481043510576,Single
Female,11.104406669711594,11,19.889758834896405,76464.11708755208,Single
Female,13.673970681310045,12,8.322575859464,71528.5196127338,Divorced
Female,12.813411556518545,12,14.620104359913086,70512.19934614052,Divorced
Female,18.999733841959525,11,15.407134258996109,74565.2918591159,Single
Female,17.949431477465808,11,23.412187806183198,67618.67879122695,Divorced
Male,87.24702442064611,12,85.9660233062924,81489.45878740755,Divorced
Female,86.15672814477863,11,82.00129361670275,74338.44265645283,Married
Male,79.5708053462088,12,79.80173734004833,78827.92206150947,Single
Male,45.02035860757234,13,41.53952254012565,59232.25127559087,Married
Female,59.347346226979255,7,63.79547263038157,20842.382669060797,Single
Male,46.34242178385518,12,40.32966756821534,89323.69916207917,Single
Male,70.88715629568046,7,69.13438499142951,80284.8276260671,Married
Female,40.0667775276052,12,34.92431959061049,86915.3232597171,Married
Male,65.3916650478148,8,56.40331189070242,91227.23393010392,Divorced
Female,21.103229917945704,12,28.063015627180445,69207.15195210889,Divorced
Female,63.78413170107339,6,48.666720667160426,24600.557735982307,Single
Female,3.382272462790631,11,7.097269478743735,71142.5147769927,Married
Male,16.264674700886417,12,8.65977967842722,68164.30142212026,Married
Male,46.93266961944951,11,55.74802419377556,91434.47812103346,Married
Female,79.17487475009783,11,85.72339612890033,85133.99024318393,Married
Male,64.52827354221769,13,61.01384755894706,58290.001255722826,Married
Male,62.57964544299943,6,73.26949799951245,27155.287198204856,Single
Male,37.09686672108744,11,27.89863647537703,86073.84909199066,Single
Female,21.068645006001795,12,2.600109671965761,62865.50574352066,Married
Female,56.21167126057183,13,72.13014176254863,57259.6387043451,Single
Female,57.13871704495475,6,50.65882080468062,17510.641151934702,Divorced
Female,58.66561372282906,13,57.816717963737105,46819.14769423731,Divorced
Male,68.6270714089703,5,75.39911418978994,29768.084192781644,Divorced
Female,64.62666551021618,7,69.0738706579786,89413.48291374766,Single
Male,12.643290300698176,12,7.680000569937161,70022.7448982979,Married
Male,61.876925572172496,8,54.14152996794155,81249.30527996259,Single
Male,57.348932306436694,8,49.783658217661326,91473.73150413905,Single
Female,61.1632209794781,13,54.90399239046954,48257.29262810789,Single
Female,81.53035313334091,11,74.91368147827373,83518.78563150004,Single
Male,18.270065267667604,11,30.58590554967722,79147.11027943865,Single
Female,56.59493538131252,7,43.1965327726196,85634.98442791722,Divorced
Male,58.72785299437492,7,63.03585259803226,91595.60862094976,Married
Female,52.840632689933884,6,58.551117725515674,21654.25623095165,Divorced
Male,36.62186162830985,12,38.73580169850043,84070.87621282844,Single
Female,45.54555642529249,13,56.98981759438476,61263.47492824257,Divorced
Female,60.82471281357701,6,63.71602656136893,30666.44233670952,Single
Female,77.38568860567284,12,68.00156262125552,75801.73292717795,Married
Female,74.36311551524663,8,71.23736263971614,93093.45242699204,Married
Male,14.138858447227861,12,18.792651392812143,66988.07708833984,Married
Male,59.73622764843458,8,56.58880647084785,78616.12816580554,Married
Male,53.80631535338701,13,42.798602451269986,61968.878289668646,Divorced
Female,47.5631118478697,11,57.59186266178284,89692.34001436163,Divorced
Female,62.200160062521846,13,62.90864144394703,52640.15915445248,Single
Male,64.71523975508704,6,60.66317633026874,30370.6965754346,Single
Female,52.33843082329704,13,53.46815973355892,49755.33777500254,Single
Male,61.68435419846641,7,67.75100878931559,88570.88308758744,Married
Male,58.73523540137497,13,54.25332862989559,50498.26381710697,Divorced
Female,63.83171365255862,8,62.03348726497019,87961.83535047324,Single
Female,52.52019447237356,13,61.22663069097472,55321.0341488564,Divorced
Female,62.65537106883958,7,56.841990836912956,31087.95833684025,Divorced
Male,18.99876212641125,12,10.469056736754936,63403.625349496746,Single
Female,86.30867953679135,11,87.52721025711526,80485.55412766268,Married
Male,8.764465954365448,12,8.655894804838454,63141.089117007585,Single
Female,66.08104726113682,8,64.52909801940297,86503.21783914376,Divorced
Female,12.014482090875347,13,9.10154447072054,73331.0102885396,Single
Female,87.75929360786608,12,88.5894868606797,80388.38796483492,Single
Male,83.04612648304673,12,88.14316738395405,87567.1603606832,Married
Female,49.960127164299195,14,42.070671295980134,48908.86496901394,Divorced
Male,56.36396570116204,14,51.31225527747169,56360.5299038794,Married
Female,56.34807183978358,14,61.8503552429137,59299.58102191987,Married
Male,62.51085691490715,7,51.73108666506407,79895.67260352774,Divorced
Male,4.274583582389688,12,-3.07757049982372,69528.31368389721,Married
Male,45.00043948359814,11,42.36016667241806,90225.49925892042,Married
Male,43.4601234458273,11,45.086870941444424,89503.56566933324,Married
Male,16.57720395048389,12,24.48569933035116,61649.13258331728,Single
Male,73.26220205270677,8,75.1079542214639,88424.34263983343,Divorced
Male,14.959312993538447,11,5.32616665972847,65537.8853190307,Single
Female,59.159550378633895,6,53.87902877788056,29628.34011025813,Divorced
Female,61.12115726113177,6,59.50120950137749,21987.16269177261,Divorced
Male,59.282040994704,6,53.64228721569515,86909.71705689692,Married
Male,90.53638359992627,12,79.08217843205374,83516.66482673632,Married
Male,60.33906752966934,6,56.51469025207703,19496.681019836775,Single
Female,62.36251269218239,6,66.3949643316152,32066.061422010578,Married
Female,46.92240115875635,10,46.71807453293637,89808.71776529346,Single
Female,58.240388541827016,7,61.2590769146803,90374.91084171066,Single
Male,55.69631444398163,13,52.566599595001655,50625.33708509496,Divorced
Female,7.653940416365977,12,-13.278231910941027,69763.7975384899,Divorced
Male,86.26132700575897,12,91.78792537856918,84755.40583520335,Divorced
Female,58.98419042548926,8,66.45659451417313,87988.55267952448,Married
Male,14.444255148114387,12,0.261684165956078,72000.99650015093,Single
Male,46.37540753861339,13,45.50532067248759,55270.64293102827,Divorced
Female,23.146449719597758,12,12.950741482316268,72197.27359633474,Married
Female,76.70814836619218,11,88.29917094652434,80373.86276109319,Single
Female,62.03187647059618,5,61.21342574993187,21673.4140775829,Single
Male,62.156308945529034,13,55.41406598066637,60577.76705898408,Married
Male,37.03652707237148,12,41.39863304254611,82763.69014333132,Married
Female,12.439494230051253,12,20.871370919051678,69081.57316753415,Single
Female,50.837363862043084,13,58.130092058201775,55405.01675125332,Married
Female,19.74376451679853,12,10.519397527337091,75456.44426805669,Married
Male,61.067326957954926,8,64.36635398784004,89801.44229139225,Single
Female,55.67610658953491,5,54.61324070600585,19241.834786596257,Single
Male,15.38984995052347,13,19.662944130092697,70423.48462596149,Divorced
Female,79.37684582515098,12,81.48018057772194,86576.18730203442,Single
Female,64.69351104929171,12,68.41848544371189,53432.71256432504,Single
Female,58.78127603718291,13,50.02014262635417,53665.71945933682,Divorced
Female,38.76626761907537,12,44.66963424869934,84965.93541022573,Divorced
Female,53.237346307716784,14,41.79896898871292,54260.2734773144,Divorced
Female,82.65790210240579,11,82.32487579298086,85512.07610482158,Married
Male,38.65853143755121,12,39.04172136398537,90789.68014865197,Single
Female,64.49581540245654,8,70.40214720319393,84991.54615261513,Divorced
Male,84.02498008480134,11,91.69135856447261,84918.52925356256,Single
Female,45.96273011323568,13,33.7566466505273,58605.82059509358,Married
Female,62.739325823339776,13,70.92620848177347,58548.27543515213,Married
Female,75.17432819592827,6,51.75366749183261,22302.446189576032,Married
Male,56.14812136620058,7,48.334048891993355,89732.62873130533,Single
Female,63.40079039083738,8,69.21115002334479,84939.95297373385,Divorced
Male,44.341215304155504,11,37.441167261396714,85852.8246923495,Married
Male,54.68838544499072,13,51.857654480870664,48306.32795531661,Single
Female,56.54488111349636,6,46.35754959222403,27396.769062935957,Single
Male,43.16007987992602,11,35.84440647288962,93127.6292343958,Divorced
Female,37.766201023764964,12,39.238574409759494,93207.22781416346,Single
Female,80.92216192678197,11,88.86238806147085,77495.87481061353,Married
Female,69.76935690401285,7,76.5373352360595,94249.6151227966,Divorced
Female,15.568088902390265,13,12.246317681606504,66366.2848413151,Divorced
Female,8.383404094122206,12,9.232184541224635,64217.83864880575,Married
Female,40.214183270305966,13,41.45141120215562,97017.42818672908,Divorced
Female,17.705205026271102,12,26.962708075952307,64314.98852538997,Married
Female,58.16490759313253,13,43.75814164026767,61806.20503885082,Single
Male,21.26678673011585,12,17.797446680888243,72255.36024090006,Single
Male,38.24027817696164,12,36.247561462485706,91331.3588461881,Single
Male,44.16763799922913,11,46.88660457930048,90468.20233639613,Divorced
Male,41.96565308134085,11,36.502292210596224,93672.55960474395,Married
Female,13.731269477601579,12,9.630839301013948,77614.86172002906,Married
Female,62.20828935662286,6,68.30190099606978,24537.106794786778,Married
Male,62.559393351283695,6,60.6720905798059,18538.33402763978,Divorced
Male,11.816697792034944,13,6.547597171973483,65846.55404604996,Single
Male,79.83466117129612,11,82.73983037901944,79727.69786283627,Married
Female,39.51392527263546,11,35.18807599469212,89471.72004555905,Divorced
Male,69.01598743344378,12,64.2947804576362,80149.06692931706,Single
Female,54.651611674289754,14,52.60129628157982,49841.77185544347,Married
Male,53.5508861400907,6,46.973293762017335,31825.982990347165,Divorced
Female,42.45253450260135,12,53.107185466382305,88873.74248501484,Divorced
Female,20.692421235936827,12,19.520670748089895,65065.04765276342,Divorced
Male,56.1438605266824,14,65.98095651005536,52568.48875833462,Single
Male,57.255832451079215,6,55.02342059462508,28408.85971705193,Married
Male,43.50405523500381,12,32.47867199899407,84283.83650787146,Married
Female,48.1888067220366,13,54.09455607571695,49088.921172475944,Divorced
Male,16.182341991993695,11,21.153649337298486,68647.07703356416,Married
Female,41.38326642189875,11,44.555475359764266,90801.34226561748,Single
Male,61.14255162477427,6,54.455096492356624,21925.717504765387,Married
Female,42.238259828028944,11,35.39081010436327,94880.9837414962,Divorced
Female,57.05060268536033,6,55.951066865545414,27322.52509393818,Married
Female,46.28120280869655,12,52.76586826876848,80143.05774549145,Divorced
Male,54.96825463954972,13,56.274361248296785,55376.05036400887,Divorced
Female,58.663254615972804,5,66.92275426603936,28103.630028024192,Married
Female,60.994100055104084,7,65.81805574330238,94915.81733115512,Married
Male,62.86207303117266,13,59.92688928821299,55515.03947062876,Married
Male,72.5094779340274,7,69.00324235463736,93377.7329299763,Divorced
Male,55.23732111145282,13,48.72796778715738,54158.58327585076,Divorced
Male,65.05361245983599,6,64.70390874025561,25801.840825393876,Divorced
Female,65.48052166548453,7,64.95215224232152,89033.30251815412,Divorced
Female,16.315061487039905,12,23.000672087845036,67065.99525818399,Single
Male,56.6358411716471,6,55.97716030349059,23524.503110347265,Divorced
Male,19.94244781940055,12,14.421034543283819,65047.1448133473,Married
Male,90.07273245606395,12,102.40333012604626,79274.79695614263,Married
Male,74.4654684271945,7,74.81899512304743,89516.18701877464,Married
Female,25.137408976475417,12,14.587884686321797,77568.20386343473,Divorced
Female,58.13421099812679,8,48.95668105625828,85848.13353770802,Married
Female,63.18624404161869,6,60.93660518180731,25827.23959852893,Divorced
Male,61.53427786426194,6,67.48350694113822,20446.3757853363,Divorced
Male,19.488146579112236,13,15.238153977569572,71787.5015584627,Married
Female,38.04717680399485,10,43.61912384420505,90431.14225862626,Married
Female,12.733265957318551,11,8.277890251410295,67690.66467707277,Married
Female,46.48741174035387,11,45.47153497991035,89321.1196784211,Single
Female,42.01914008411063,11,48.200229266622,91616.40552989556,Married
Male,38.90306448956272,11,35.42160272651699,90589.04794414331,Married
Male,60.35891044947503,7,69.33508823281102,80774.82751438362,Married
Male,35.67546868844113,12,23.86193982075332,93254.51655105042,Divorced
Male,39.390159161359236,12,41.40858516322787,89181.56370288564,Married
Female,83.24486345655697,11,79.32137806892736,87474.23734785568,Married
Female,46.06586215404873,12,43.22028735384507,90193.95647423188,Single
Female,7.3664177933403465,12,5.091319620742218,58050.90376353748,Divorced
Male,13.825459630237098,12,9.481374181001048,71950.841297126,Single
Female,57.48130862235163,7,48.965013474205556,88011.52849580729,Single
Male,88.25018876796638,11,89.14598745226158,77324.39768307036,Married
Female,21.188591876555517,12,22.535725415268715,62644.62879993992,Single
Male,56.725255405599384,14,49.78716120921408,51602.60842125172,Single
Female,52.633362986678556,13,54.61039175449097,53194.85127659936,Married
Male,94.94173461880457,11,92.71551828732424,86262.87452704263,Divorced
Male,67.08848412567959,13,60.03001655076127,58207.80446768769,Divorced
Male,47.37874952842597,6,43.53140530127408,22417.57342828979,Divorced
Male,41.419926973788286,12,42.38078813153298,84397.09772636797,Single
Female,43.59232414799061,11,47.93100451684355,85412.57317239806,Married
Female,86.63721825714643,11,105.8693168478203,83292.43907503704,Married
Male,87.86976131280757,11,85.86480241883612,82904.38154738162,Single
Male,60.92919595418684,7,68.85656617090422,20273.26038734753,Divorced
Male,74.05889076746173,12,78.57094976851043,82221.10369714264,Single
Female,43.916972041604346,13,43.90694227111321,89469.23013251545,Divorced
Male,55.88969201676238,6,62.473331867258906,26929.3627069391,Divorced
Male,56.570295094537,6,68.3454616419916,22999.236402407216,Single
Male,17.537870680851583,11,17.01008038470715,61856.7520268609,Married
Male,85.1573366375309,10,74.45433296461955,84805.93573048507,Single
Female,66.19784258554141,8,66.35527172794667,86899.37218722847,Divorced
Female,59.375340941837244,8,59.570105853623346,83090.34814350457,Single
Female,8.95318945590445,13,4.811019088538722,76979.80504926885,Divorced
Female,61.38056825059248,7,61.418256044215745,95848.01814567062,Married
Male,82.27216994268056,11,77.62921248479626,80583.62963231983,Married
Male,40.86535805798752,13,46.296270518299295,57617.11215357715,Divorced
Female,47.35667685717586,6,41.30824934934523,23502.091023546564,Single
