Marital Status,Active online hours,Brand Loyalty,Sex,City,Age,Renew,Location Code,Annual Income,Years subscribed,Education Level
Single,6.43488219957209,-0.5907477668115324,Male,Tokyo,46.0,No,Suburban,73685.4102100026,5.0,College
Married,5.65953784339807,-0.0796031008129367,Female,Kyoto,48.0,No,Suburban,76314.05346120731,3.0,Graduate School
Married,7.209096304960432,-0.33568513696010094,Female,Osaka,56.0,No,Suburban,39369.008799755255,5.0,Graduate School
Married,5.826467331677102,-0.2147379301146447,Male,Tokyo,50.0,Yes,Urban,45588.25376612791,4.0,High School
Married,5.574131762190892,0.07566347140817598,Female,Tokyo,53.0,No,,40356.7139166966,5.0,College
Married,5.935316073986181,-0.4575857247617016,Female,Osaka,45.0,No,Urban,39788.38852024224,4.0,College
Single,4.588301555471218,0.11988019756170654,Female,Osaka,69.0,No,Rural,69163.40439005855,6.0,High School
Single,5.836532883230118,-0.3261161318636705,Male,Kyoto,48.0,Yes,Urban,73986.85164841986,5.0,High School
Married,6.518030003573546,-0.28831170939251594,Male,Osaka,49.0,No,Suburban,50969.31159139648,6.0,College
Divorced,6.684826973550183,-0.5146972209829032,Female,Tokyo,48.0,No,Rural,63872.23405210173,4.0,High School
Divorced,5.810725758727324,-0.8686337828785138,Male,Kyoto,31.0,Yes,Urban,29867.62888185335,5.0,High School
Married,6.310991297100638,-0.339418427907084,Male,Osaka,58.0,No,Suburban,56774.655347305285,6.0,High School
Divorced,4.041437554108697,-0.24618168525183382,Female,Osaka,32.0,Yes,Urban,70387.733174307,4.0,College
Married,4.771288161750904,-0.421305951034057,Male,Kyoto,56.0,No,Rural,45445.55630692046,6.0,High School
Married,5.181706384221497,-0.5173102914282566,Male,Tokyo,34.0,No,Rural,49888.33267566629,5.0,High School
Married,8.006702364693808,-0.9124923096463364,Female,Kyoto,40.0,Yes,Urban,55616.94008800321,8.0,College
Divorced,6.333479629808185,0.19817245563522523,Female,Kyoto,45.0,Yes,Urban,46822.18996493335,5.0,College
Single,4.555624979759315,-0.4860576375649793,Female,Kyoto,39.0,Yes,Urban,66128.96445285641,4.0,College
Divorced,4.247388273366715,-0.7664032562899035,Female,Osaka,35.0,Yes,Urban,80007.57305981057,4.0,Graduate School
Married,5.566661476139493,-0.01657959111760443,Male,Tokyo,50.0,No,Rural,62184.48217315468,4.0,High School
Divorced,4.77205631869446,0.23305778964475365,Male,Tokyo,53.0,No,Rural,47969.8980451156,4.0,College
Divorced,5.236063250446542,0.10460612689034754,Female,Kyoto,45.0,Yes,Suburban,51043.8720964867,4.0,Graduate School
Single,5.159016224024384,0.6469081365382937,Male,Osaka,61.0,No,Suburban,76736.15277497072,5.0,Graduate School
Divorced,6.465502469729659,0.01859080290434767,Female,Tokyo,51.0,Yes,Suburban,68801.6828500627,5.0,
Married,,1.0362044138435724,Male,Osaka,49.0,No,Suburban,30293.057188759823,6.0,Graduate School
Single,5.21024496981252,0.22778144341456186,Female,Tokyo,47.0,Yes,Suburban,59217.71072098874,4.0,Graduate School
Married,4.258312846727858,0.12785671310336655,Male,Osaka,56.0,Yes,Suburban,44453.417142961305,3.0,College
Divorced,4.752165464234836,-1.1101177721761153,Female,Kyoto,29.0,Yes,Suburban,64205.229931830734,5.0,High School
Married,5.6895389347871665,0.02526216543976534,Female,Kyoto,65.0,No,Rural,60030.17477850811,6.0,High School
Married,6.673980326187222,0.3855065491308467,Male,Tokyo,63.0,No,Rural,36153.86436185128,7.0,Graduate School
Married,5.373208725180897,0.5992311119522872,Male,Osaka,56.0,No,Urban,68543.73549193636,6.0,High School
Married,5.806549682759068,-0.5976276225757555,Male,Kyoto,39.0,No,Rural,40548.19046390003,5.0,College
Divorced,5.898210146687351,-0.7233496784640456,Female,Tokyo,33.0,No,Rural,67142.67659103352,3.0,High School
Married,8.500218947293448,-0.6967458312458105,Female,Tokyo,45.0,Yes,Urban,63274.837487517034,8.0,Graduate School
Divorced,5.61544187687222,0.12818776578249957,Male,Tokyo,41.0,Yes,Urban,57152.9951855987,5.0,College
Divorced,5.679447973159269,0.29682622623626687,Female,Tokyo,38.0,No,Rural,55266.63329270658,6.0,Graduate School
Married,5.331281480684371,-0.35141792622735807,Male,Tokyo,41.0,Yes,Urban,57892.79383345394,4.0,Graduate School
Divorced,6.2235962235605875,-0.8949151547742857,Male,Tokyo,,No,Rural,62840.77797122259,3.0,High School
Married,6.545829803107134,-0.38519063159283606,Male,Kyoto,46.0,No,Rural,65036.054162716304,4.0,Graduate School
Divorced,5.498591257517211,0.22589763567639276,Female,Kyoto,61.0,No,Rural,63537.977771385406,6.0,High School
Single,4.489177257680245,-0.11901704920729272,Male,Osaka,41.0,Yes,Urban,69770.87272604874,3.0,High School
Married,6.030634059453459,-0.11418356698024729,Male,Osaka,59.0,No,Suburban,54032.41497799105,6.0,College
Divorced,3.6429030107589164,-0.45380216199139106,Male,Osaka,26.0,Yes,Suburban,44704.63150297593,4.0,High School
Married,3.2056607708719507,-0.09316719297639992,Female,Tokyo,33.0,Yes,Suburban,57083.38703641995,3.0,High School
Divorced,6.668628633453434,,Female,Osaka,57.0,Yes,Suburban,59035.88979553509,5.0,Graduate School
Divorced,6.458413699227082,-0.13610264992820414,Male,Tokyo,53.0,Yes,Urban,64072.57233683711,,Graduate School
Divorced,6.142120586238221,-0.30277283345094874,Male,Kyoto,37.0,Yes,Rural,50405.853825992075,6.0,College
Single,6.219245374140379,0.10417266506364586,Female,Osaka,53.0,No,Suburban,59568.86501108036,5.0,Graduate School
Divorced,6.35966783320446,-0.09059003359445394,Male,Tokyo,60.0,No,Rural,68258.7770242019,5.0,College
,5.297228859607118,-0.4333372734802061,Female,Tokyo,48.0,No,Rural,81403.50296843806,5.0,
Divorced,5.01111845537748,-0.3872352045505865,Female,,59.0,No,Urban,61087.13657422737,5.0,College
Single,8.125429012119792,-0.030739526236941428,Male,Tokyo,57.0,Yes,Rural,39046.35710909936,6.0,Graduate School
Married,6.522188509179918,-0.40835376161529136,Male,Tokyo,39.0,No,Rural,57411.81097855118,2.0,Graduate School
Divorced,5.575053212777983,-0.44884960133670315,Male,Tokyo,37.0,Yes,Urban,89008.77497957749,5.0,High School
Married,5.786233811995268,-0.8061261954414504,Male,,51.0,,Urban,74603.14656660342,6.0,Graduate School
Divorced,4.407998411945202,0.07690002783714123,Male,Kyoto,43.0,Yes,Suburban,35785.69211731832,4.0,Graduate School
Divorced,4.674583400752623,-0.42382515519704045,Male,Tokyo,30.0,Yes,Urban,57143.50729066126,5.0,
Married,4.522993954131645,0.19452925289005796,Female,Osaka,56.0,No,Suburban,53229.1498592221,4.0,College
Married,5.541997419753684,-0.03267961950597542,Female,Osaka,66.0,No,Suburban,30020.178546460127,5.0,College
Divorced,4.118076187065122,0.00904028860248629,Male,Kyoto,,Yes,Urban,45963.960573844895,2.0,High School
Divorced,6.297078244879307,-0.121069433812303,Female,Tokyo,62.0,No,Suburban,56564.006758730364,6.0,College
Married,6.015050650305724,-0.5798013691525022,Female,Tokyo,43.0,No,Rural,50258.87230998558,4.0,College
Divorced,6.488181217776696,-0.05721559724650338,Female,Kyoto,40.0,Yes,Suburban,63580.98815074667,6.0,College
Divorced,2.9398424870562865,-1.1882961800211205,Female,Tokyo,20.0,Yes,Suburban,74179.24747578445,4.0,College
Single,6.014461132344673,0.040230758960252744,Male,Osaka,59.0,No,Rural,53460.74725749762,6.0,Graduate School
Married,5.727477736204089,-0.05902474779477729,Male,Tokyo,60.0,No,Rural,59296.32590363666,5.0,High School
Single,5.7101129799729975,-0.531241728865547,Female,Tokyo,46.0,No,Suburban,60112.63255250583,5.0,High School
Divorced,6.3216803550503045,-0.3856864840078553,Female,Tokyo,40.0,Yes,Suburban,47918.26503990179,6.0,Graduate School
,7.828952439535858,-0.5910879123834978,Male,Osaka,42.0,Yes,Urban,68349.81120600695,7.0,College
Married,5.866369438469435,0.15195089712438514,Male,Osaka,70.0,No,Rural,49649.555634240074,6.0,High School
Married,5.38617656679103,-0.3158650966658614,Male,Osaka,33.0,Yes,Urban,58748.459622918876,6.0,High School
Single,2.7091289943862806,0.8495029121248326,Male,Osaka,48.0,Yes,Rural,55248.09829839837,1.0,High School
Divorced,5.372317984010343,-0.08629070351948864,Female,Tokyo,50.0,Yes,Rural,54091.55525990001,4.0,High School
Married,4.560309258065988,-0.2010624833761135,Female,Kyoto,50.0,Yes,Suburban,53989.571946349264,3.0,Graduate School
Single,9.955262857425932,-0.2584153454749968,Male,Kyoto,50.0,Yes,Urban,31736.173722982017,10.0,Graduate School
Single,4.495036596021435,-0.7774396040329512,Male,Tokyo,31.0,Yes,Rural,61579.657607711524,4.0,Graduate School
Single,6.395734493894782,-0.3921580127285659,Female,Tokyo,40.0,Yes,Urban,62149.32849401434,6.0,High School
Married,6.438703704664815,-0.6162635595786463,Male,Tokyo,45.0,No,Rural,61303.86196212422,5.0,College
Divorced,4.575956865027778,-0.22368050144808976,Male,Kyoto,47.0,Yes,Suburban,56425.65436955492,3.0,High School
Divorced,5.463057856193945,-0.7227917595275237,Male,Osaka,29.0,Yes,Urban,48765.905976725044,6.0,High School
Single,5.499743435072898,-0.19892062045179798,Female,Kyoto,44.0,Yes,Urban,36651.67161810995,4.0,High School
Married,6.2911871993217074,-0.008538726369722971,Male,Kyoto,53.0,No,Suburban,52433.61092156972,5.0,High School
Single,6.6733270032922976,0.22008841628684994,Male,Tokyo,52.0,No,Suburban,51211.03453502024,,Graduate School
Married,3.3696228726769695,-0.22070675475537643,Male,,38.0,Yes,Urban,71726.69597668057,2.0,Graduate School
Married,6.40246750503232,-0.30854072214046047,Male,Osaka,60.0,No,Rural,59980.375276362916,7.0,Graduate School
Married,5.728614274935229,-0.32233788323371965,Female,Kyoto,43.0,Yes,Urban,55436.30942842703,6.0,College
Divorced,5.623082054521854,0.599055315790132,Male,,31.0,No,Suburban,34959.35274339722,4.0,High School
Divorced,4.242193953042075,-0.17740212303809844,Male,Kyoto,37.0,Yes,Rural,54225.289990296544,4.0,College
Divorced,5.892093032358135,0.05966871945377061,Male,Kyoto,46.0,Yes,Urban,69570.94888445712,4.0,College
Single,5.3027021473542995,-0.5749648854485135,Female,Kyoto,41.0,Yes,Rural,59360.669040244946,3.0,Graduate School
Single,5.663949120399963,-0.39970604054647674,Male,Kyoto,50.0,No,Rural,48851.201303998765,6.0,College
,5.128805483484857,0.21608182574093304,Male,Tokyo,46.0,Yes,Urban,27031.813894117826,4.0,High School
Married,4.196705148398866,0.4901747523161467,,Tokyo,57.0,No,Rural,50247.11951079804,6.0,High School
Divorced,5.100334627623347,-0.22579306061178084,Female,Tokyo,38.0,Yes,Suburban,44433.555395268704,4.0,Graduate School
Married,2.333860501010995,-0.33695291875002237,Male,Osaka,28.0,Yes,Suburban,,2.0,College
Single,5.352151976764308,-0.27202730347802073,Female,Tokyo,49.0,Yes,Urban,56244.22460323197,3.0,College
Single,4.329893941041201,-0.3475106459019815,Female,Tokyo,35.0,Yes,Urban,75757.83619325492,4.0,College
Divorced,5.582245834980054,-0.35173300277291786,Female,Tokyo,42.0,No,Rural,44122.145923310745,5.0,High School
Single,8.064859931443012,0.4057675109039467,Female,Kyoto,60.0,Yes,Urban,54370.13684067535,7.0,High School
Single,6.7125529646603885,-0.3916569094993722,Male,Osaka,44.0,Yes,Urban,46998.74793963535,6.0,College
Married,5.405830863788992,0.6204248136021907,Female,Tokyo,54.0,No,Rural,43177.27244744659,5.0,Graduate School
Divorced,4.793432215730344,-0.008924607847819677,Male,Tokyo,36.0,Yes,Urban,46209.3118090966,4.0,College
,5.98921085363833,0.16818154110000205,Male,Kyoto,44.0,No,Rural,,4.0,College
Divorced,5.088121080914988,-0.9108121382812768,Male,Osaka,46.0,No,Suburban,72184.85844943671,4.0,Graduate School
Married,5.410251555195788,0.20553858995765084,Male,Osaka,53.0,No,Rural,,6.0,Graduate School
Single,4.856975879011999,-0.3696420927581584,Female,Osaka,39.0,Yes,,57625.97942680452,4.0,High School
Divorced,5.572217307153758,-0.03329872094481662,Female,Tokyo,41.0,No,Rural,46689.48219892728,4.0,College
Divorced,5.975709652187138,-0.3093796003384615,Female,Osaka,48.0,No,Suburban,61498.583906957865,5.0,High School
Married,5.76487743133278,-0.1195435135647393,Female,Osaka,47.0,No,Rural,61539.74027134769,5.0,
Divorced,6.3458967168203255,-0.9509239983453723,Male,Tokyo,33.0,Yes,Rural,53068.1216751313,6.0,Graduate School
Divorced,4.898148078373141,-0.021837001298667946,Female,Osaka,40.0,Yes,Suburban,45610.3269859307,5.0,High School
Divorced,6.161355675021363,-0.5928663236028877,Female,Osaka,46.0,,Urban,45729.60320549138,5.0,High School
Single,6.932580609594656,-0.27916610742822945,,Kyoto,56.0,Yes,Urban,79025.22795766155,5.0,High School
Married,6.420613176115506,-0.09988689784459887,Male,Osaka,56.0,Yes,Suburban,55120.102849913856,5.0,College
Single,7.202590528401545,0.5269858078185846,Male,Osaka,49.0,Yes,Suburban,52224.22390148325,5.0,Graduate School
Divorced,4.62316444968103,-0.8831861531852454,Male,Tokyo,41.0,Yes,Urban,65480.038063262524,2.0,Graduate School
Married,6.027514700622598,-0.1723644271094119,Female,Kyoto,50.0,No,Urban,33905.73678821338,6.0,High School
Married,6.204158796216046,-0.7845782884373285,Male,Tokyo,36.0,,Rural,58569.39406632809,3.0,College
Married,5.568403506556217,0.5125424943219251,Male,Kyoto,58.0,Yes,Urban,38630.756068482966,4.0,High School
Divorced,3.3479423956250822,,Female,Kyoto,41.0,Yes,Rural,36082.50730268103,3.0,High School
Single,8.382367331751684,-0.12360816847929462,Female,Kyoto,62.0,Yes,Urban,55411.73849894216,7.0,College
Divorced,7.461911964936661,0.01982337029213288,Male,Kyoto,53.0,Yes,Urban,32389.03207696508,7.0,College
Married,5.900971417722997,,Female,Tokyo,48.0,No,Suburban,54626.63692230072,5.0,College
Divorced,6.018157743307433,-0.6316899543477777,Female,Kyoto,40.0,Yes,Urban,67610.94071270109,5.0,College
Single,5.551383844426369,-0.5777177863747941,Female,Kyoto,42.0,Yes,Suburban,58597.76748642113,5.0,Graduate School
Divorced,5.469909766819383,-0.43211158156141405,Female,Osaka,46.0,No,Rural,62093.96733089219,4.0,Graduate School
Divorced,5.426282065314473,0.05585324231547795,Male,Tokyo,,Yes,Suburban,44386.2410262998,5.0,Graduate School
Divorced,5.857291089942133,-0.08320313031965104,Female,Tokyo,46.0,No,Urban,57804.7563979967,5.0,College
Single,6.2681133509943185,0.12412493318836226,Female,Osaka,42.0,Yes,Urban,67572.0467511969,6.0,College
Married,6.658028253191386,-0.33772599775768797,Female,Osaka,45.0,Yes,Suburban,54598.9006996134,5.0,College
Married,6.238569453337789,-0.40922859379906573,Male,Kyoto,51.0,No,Rural,56589.480177687976,6.0,High School
Single,3.123762711208719,-0.6339797922859358,Male,Tokyo,37.0,Yes,Rural,52143.25710998408,2.0,College
Divorced,5.158918804770029,0.1850977448205311,Male,Osaka,59.0,No,Rural,63695.61311167933,5.0,Graduate School
Divorced,5.028533982007189,-0.18202085384316108,Male,Osaka,58.0,No,Suburban,60624.68636859509,6.0,Graduate School
Married,6.499439567650605,-0.7706694203289532,Male,Osaka,53.0,No,Suburban,65758.02862469079,4.0,Graduate School
Divorced,4.073543420672212,-0.03756732698634346,Male,Kyoto,34.0,Yes,Suburban,44553.41277489881,4.0,High School
Married,4.652670822777302,0.4686659231348499,Female,Tokyo,66.0,No,Rural,52501.22484001091,6.0,Graduate School
Divorced,6.2884179415391195,0.1220493356517901,Female,Tokyo,51.0,Yes,Suburban,76490.40261910419,6.0,High School
Divorced,5.444203274889457,0.43369000092681675,Male,Tokyo,54.0,No,Rural,43260.57274145331,5.0,High School
Single,5.901166261637837,-0.4055294519888519,Female,Osaka,44.0,No,Suburban,54234.48885204017,4.0,College
Married,5.712405955254552,-0.5550498142923129,Female,Tokyo,50.0,No,Urban,72258.84416741201,4.0,Graduate School
Single,7.019487172395534,-0.005788153608793367,Female,Tokyo,40.0,Yes,Urban,55550.61286864076,6.0,High School
Single,7.226833360271408,-0.6973069423827344,Female,Osaka,38.0,No,Urban,51132.922441599185,4.0,High School
Married,7.235343428016247,-0.371241955263241,Male,Osaka,44.0,Yes,Suburban,51638.50642466804,6.0,Graduate School
Single,5.063035127951971,-0.14207432781978724,Female,Tokyo,43.0,Yes,Urban,51737.58508779613,4.0,High School
Married,6.1848599235095945,-0.3346288701968318,Male,Tokyo,62.0,No,Rural,44284.56097105748,5.0,College
Single,6.135092556414191,-0.006816971697942598,Female,Kyoto,46.0,No,Rural,59725.4044995703,,Graduate School
Divorced,5.443377042659934,0.14233840319271196,Male,Osaka,40.0,Yes,Rural,37325.19832419843,5.0,College
Single,5.5641316279809425,-0.47672381009764564,Female,Kyoto,41.0,No,Urban,58080.46052933566,3.0,Graduate School
Divorced,,0.5029535451145534,Female,Tokyo,67.0,Yes,Rural,75271.48229542475,1.0,High School
Single,,0.04522190868183651,Female,Tokyo,47.0,Yes,Rural,69507.80069167116,5.0,Graduate School
Single,6.0186052206084035,0.6902515135288897,Female,Kyoto,59.0,Yes,Suburban,64276.385742297214,4.0,High School
Single,4.438039736127014,0.37790594376713427,Male,Tokyo,47.0,Yes,Rural,38069.052806151456,4.0,Graduate School
Single,5.646576038916191,-0.7469676627338598,Male,,37.0,Yes,Suburban,61983.69485069623,5.0,High School
Married,5.560614037276158,-0.8599624293192158,Male,Osaka,29.0,Yes,Suburban,65341.640083979866,6.0,College
Single,8.569190907003447,0.09514451050728967,Female,Kyoto,66.0,,Urban,41474.552793914445,7.0,College
Single,6.1090420381002914,0.93296507457099,Male,Kyoto,66.0,Yes,Urban,45654.45010045667,3.0,College
Single,6.8107064578994,-0.30015118435827504,Male,Tokyo,34.0,Yes,Suburban,68286.68116878642,7.0,High School
Divorced,4.58725474283278,-0.8038116469284424,Male,Tokyo,,Yes,Suburban,52160.62366034423,5.0,Graduate School
Married,6.030402464548185,-0.6434711273673961,Male,Osaka,48.0,Yes,Urban,,5.0,Graduate School
Single,5.234615083297359,0.15443183102756897,Female,Osaka,43.0,Yes,Urban,69047.53486985713,4.0,College
Divorced,4.944339606148166,0.028901151431087735,Female,Tokyo,37.0,Yes,Urban,44896.908675990235,5.0,Graduate School
Divorced,6.648540213076977,0.003783561583589279,Female,Kyoto,55.0,Yes,Urban,67637.94456554612,5.0,High School
Divorced,6.172285352542554,-0.341117756233489,Male,Kyoto,44.0,,Rural,65341.16676800346,5.0,College
Divorced,3.561262219071148,-0.3625539789462753,Female,Kyoto,37.0,Yes,Urban,37283.370628978126,3.0,Graduate School
Single,5.397660949049173,-0.5818001838573671,Male,,66.0,No,Suburban,65022.233951467504,6.0,Graduate School
Divorced,5.3018432407902445,0.0292171313700873,Male,Kyoto,52.0,Yes,Urban,68421.28965261072,4.0,College
Divorced,5.007548488115924,-0.5904953923621585,Female,Osaka,35.0,Yes,Urban,37462.74037085318,6.0,High School
Married,6.229882149526092,0.09195409409046218,Female,Osaka,40.0,Yes,Urban,62997.57005154273,6.0,High School
Divorced,6.163607527261781,-0.23215730104326587,Male,Kyoto,53.0,Yes,Urban,53532.960704553996,5.0,Graduate School
Single,6.553107771055371,0.3271621046812676,Male,Tokyo,49.0,Yes,Suburban,40295.8258128475,6.0,Graduate School
Single,7.005607557854255,-1.1511265925621674,Female,Osaka,37.0,No,Rural,64330.584612464656,4.0,Graduate School
Married,5.34776982849497,-0.4893393419303734,Male,Osaka,55.0,No,Suburban,49132.154524808546,4.0,College
Single,6.101693265690752,-1.0026951391871823,Female,Kyoto,34.0,No,Rural,57018.59977151405,3.0,Graduate School
Single,8.09370031016079,-0.3637496864576124,Male,Osaka,51.0,Yes,Urban,68543.45570362208,7.0,High School
Married,5.431790997581442,-0.30519766530175996,Female,Osaka,53.0,No,Urban,57096.95388367974,6.0,High School
Divorced,5.598693688590445,0.03186204199749387,Male,Osaka,59.0,No,Suburban,55085.02715645668,5.0,Graduate School
Divorced,7.999086877339993,0.23063042971877423,Male,Osaka,55.0,,Suburban,54906.503498863385,7.0,High School
Married,6.295250345997709,0.20883192217330737,Female,Tokyo,74.0,No,Rural,62155.694523633865,8.0,High School
Divorced,4.727890418452092,-0.5720139613178987,Male,Tokyo,31.0,Yes,Urban,83216.49057235545,5.0,High School
Single,5.838710202003297,-0.2568281138336881,Female,Osaka,42.0,No,Suburban,37410.11404232821,4.0,Graduate School
Divorced,6.756655703299575,-0.801839115589865,Male,Tokyo,,No,Rural,45862.8523412013,5.0,High School
Single,3.5811516294304795,-0.5941120568943774,Female,Kyoto,28.0,Yes,Suburban,67951.92376092241,3.0,Graduate School
,6.541879778511391,,Male,Tokyo,46.0,Yes,,65280.50053599646,6.0,College
Single,5.230163656957674,-0.03591513350978709,Male,Kyoto,46.0,Yes,Urban,72430.64230543491,3.0,College
Divorced,5.2953642596017145,0.32567196826596934,Female,Tokyo,54.0,Yes,Suburban,55710.3173257748,3.0,College
Single,6.335097392841455,-0.4549548632695272,Male,Osaka,45.0,Yes,Urban,68805.94168229704,6.0,College
Single,,-0.5079470307792878,Male,Osaka,46.0,No,Rural,52019.59386217097,4.0,High School
Single,7.68595168481926,0.12492018342507671,Male,Osaka,54.0,Yes,Suburban,54536.59587234966,7.0,College
Divorced,8.684103294621945,0.9568962640393038,Male,Tokyo,69.0,Yes,Urban,52939.6545286187,7.0,High School
