Education Level,Sex,Hours Online,Years with Company,Marital Status,Location Code,City,Monthly Income,Years after high school graduation,Brand Loyalty,Renew
College,M,3.822106940212271,6.0,Single,Urban,New Castle,6231.874980478694,35.0,-0.07814902948928273,Yes
College,F,3.9135696109158276,7.0,Single,Urban,New Castle,6340.827162597217,,-0.05061621839844796,Yes
High School,F,5.148276030643269,4.0,Divorced,Suburban,London,5214.003694300352,33.0,-0.07507565274688419,Yes
Graduate School,M,4.510560397629421,5.0,Married,Urban,Manchester,,27.0,-0.5529008363509267,Yes
College,M,3.924463929404631,5.0,Divorced,Rural,London,6403.230541918241,24.0,0.09116449630317536,Yes
Graduate School,F,6.2169274283222675,3.0,Single,Rural,Manchester,5416.352488284434,31.0,0.6935768678101542,Yes
High School,F,6.903986264500317,4.0,Single,Urban,New Castle,3965.190997825962,29.0,-0.5819763011121275,Yes
,F,5.748060612393185,2.0,Married,Suburban,New Castle,3597.4266312310074,33.0,0.9472232456228271,No
College,M,5.523648335512549,7.0,Married,Suburban,New Castle,8025.307329914494,44.0,-0.056322046507200435,No
College,M,2.4079209052105437,5.0,Divorced,Suburban,New Castle,5456.439671431659,27.0,-0.04414355184564245,No
Graduate School,F,4.583750924730406,6.0,Married,Suburban,London,5463.139957316067,23.0,-0.07004872077113852,Yes
Graduate School,F,3.3376087778876276,,Married,Urban,London,6163.044447500239,35.0,-0.00936053326195388,Yes
High School,F,3.514161528674088,6.0,Single,Rural,Manchester,5664.898266967973,27.0,-0.149999072231729,No
Graduate School,M,6.329779662006749,3.0,Single,Suburban,London,5848.258022668164,41.0,0.11394743371495544,Yes
Graduate School,F,5.922409944113671,3.0,Divorced,,London,5570.937792091089,36.0,-0.09451718426040215,Yes
Graduate School,F,3.7214386233779972,5.0,Married,Urban,Manchester,5415.489824537488,21.0,-0.18915509141295156,Yes
College,M,5.442960712174219,3.0,Divorced,Urban,New Castle,3374.4206402102927,40.0,0.0316072664606946,
High School,F,3.956452005158929,6.0,Single,Urban,Manchester,5410.101546447707,28.0,0.5927071208448125,Yes
College,M,8.046679882943518,3.0,Single,Urban,New Castle,4515.592313915162,40.0,0.05112063845460545,Yes
Graduate School,M,3.9311007866997185,2.0,Divorced,Rural,,4060.4152106666334,32.0,0.010625751412939075,
Graduate School,M,4.11042865046766,8.0,Single,Rural,London,7524.845992372038,28.0,1.357175328137666,No
College,M,5.6541373169777245,6.0,Married,Suburban,London,2647.066902479699,39.0,0.28699466278400987,No
High School,M,1.8205155049918096,6.0,Divorced,Suburban,New Castle,6939.619136054771,2.0,0.1768659023243173,Yes
High School,M,6.2750162378294965,2.0,Married,Suburban,London,4806.214511468428,24.0,0.17013866896558297,Yes
College,M,4.607816974480302,4.0,Divorced,Urban,Manchester,6485.234087133233,19.0,-0.05711741108550705,Yes
High School,F,6.070258247995954,6.0,Single,Urban,London,5020.299299078965,46.0,-0.23695835145334915,Yes
College,F,7.441253868644157,4.0,Divorced,Urban,New Castle,4206.01992827051,47.0,,Yes
High School,M,3.6012340856085343,1.0,Married,Rural,New Castle,5664.813587041774,43.0,0.09829126293362651,No
Graduate School,M,6.961514162619895,1.0,Single,Urban,New Castle,4841.30836298759,27.0,-0.2603324551653281,Yes
High School,M,5.21260557600097,5.0,Married,Urban,Manchester,5770.699418069618,34.0,0.45044346342286884,Yes
College,M,4.253867458060109,6.0,Married,Rural,New Castle,6148.719908435087,36.0,0.13861074447624627,No
Graduate School,M,4.36892588398902,5.0,Divorced,Urban,London,5179.555114567716,30.0,,Yes
High School,M,5.682970435284062,4.0,Divorced,Urban,New Castle,5848.173651052706,41.0,0.07400435544335249,Yes
High School,F,6.776598584496342,4.0,Divorced,Suburban,New Castle,5599.074329587184,36.0,0.8648197798408768,Yes
High School,M,4.855884076125206,5.0,Divorced,Suburban,Manchester,6350.404996541304,21.0,0.3515076990784,Yes
High School,F,4.678757325802242,4.0,Divorced,Suburban,London,6115.62662544876,25.0,-0.9037551137858985,Yes
High School,F,4.066756111593787,5.0,Married,Rural,Manchester,3941.285747997508,41.0,0.2867115150287847,No
College,F,4.131091505673716,6.0,Divorced,Suburban,Manchester,5958.058155779729,28.0,0.1509720402686937,Yes
Graduate School,F,4.339505300913933,3.0,Divorced,Urban,Manchester,6231.849959777894,25.0,0.5774049129634613,Yes
High School,F,6.61303664869876,3.0,Divorced,Urban,New Castle,5503.997997826387,35.0,0.2852730190945917,Yes
Graduate School,F,6.090311831719349,2.0,Divorced,Urban,London,5767.018765129072,35.0,0.0771977463044039,Yes
Graduate School,F,5.405738184250677,2.0,Divorced,Suburban,New Castle,5551.257798269104,44.0,0.37017465777131126,No
College,F,5.802074571768203,5.0,,Rural,New Castle,4742.108395790943,27.0,-0.7662093898554142,Yes
High School,F,,6.0,Divorced,Rural,New Castle,4708.291867541752,32.0,-0.775316471092136,No
High School,M,5.345400180863924,7.0,Married,Urban,New Castle,5109.7106317773605,29.0,0.8314527877755822,Yes
High School,M,6.387015727713851,5.0,Married,Rural,London,4215.26415424527,39.0,-0.20833526392129387,No
High School,F,4.793216441462601,6.0,Divorced,Urban,London,5788.808047484781,32.0,0.23602206519237576,Yes
High School,M,3.9822600605458227,5.0,Single,Rural,New Castle,5721.459896572821,42.0,,No
Graduate School,F,5.136471673284341,5.0,Divorced,Urban,New Castle,5730.136804046474,27.0,0.4633617292916403,Yes
High School,M,7.965980934399797,3.0,Divorced,Suburban,London,3828.9595595753494,38.0,0.7273989246663176,Yes
High School,M,5.965002221271048,7.0,Married,Rural,Manchester,4215.963995266951,41.0,0.2957692196265128,No
College,F,5.10172662155037,4.0,Divorced,Suburban,Manchester,5420.9194067848475,25.0,-0.20568228395874594,Yes
College,M,9.14071780674067,0.0,Divorced,Urban,Manchester,3867.9430374441667,35.0,-0.5644127829792518,Yes
High School,M,6.712837424073179,1.0,Single,Suburban,London,2808.470565303516,47.0,-0.6932315837062708,No
College,F,4.768484728629746,4.0,Married,Rural,London,5056.836518173435,40.0,0.5905701779215472,No
College,F,3.0217385544648443,5.0,Single,Rural,London,5256.584626884067,30.0,0.6024918957959059,No
High School,M,8.181823937575123,2.0,Divorced,Urban,New Castle,5026.202710960788,48.0,0.03193349289129222,Yes
High School,M,4.381971380103975,5.0,Married,Rural,New Castle,4017.1049225397182,35.0,-0.014165479267903916,No
Graduate School,F,5.349188201977743,3.0,Married,Rural,New Castle,4083.265155478139,37.0,-0.02369161802858505,No
College,M,,5.0,Single,Rural,London,4781.989188776874,33.0,0.20007849197151645,No
High School,F,5.614011871727486,4.0,Married,Suburban,New Castle,4860.917354724,41.0,-0.18247832010502174,No
High School,F,7.826989475335987,4.0,Divorced,Urban,London,4699.414662576701,39.0,-0.02932938429417245,Yes
Graduate School,F,3.1759985578417993,6.0,Single,Urban,Manchester,,34.0,-0.4762588428461344,Yes
Graduate School,M,5.730309868292942,4.0,Single,Rural,New Castle,2774.961073972213,32.0,0.09738000464133845,No
High School,M,5.535703278415458,5.0,Single,Rural,New Castle,3685.217421136943,30.0,-0.033077122357276764,No
College,F,,3.0,Divorced,Urban,New Castle,4428.680842072821,41.0,-0.3958104017473806,Yes
Graduate School,F,3.849737162201626,6.0,Divorced,Rural,New Castle,6257.281299182552,14.0,-0.08185634773818895,Yes
High School,M,6.465026911999075,3.0,Single,Suburban,Manchester,5819.382015735631,33.0,0.13621073412578621,Yes
Graduate School,F,4.328723312487342,3.0,Single,Urban,Manchester,6610.241657985454,28.0,0.044337150202271795,Yes
High School,F,8.023687204852525,5.0,Married,Rural,London,,48.0,-0.20433154919407476,No
Graduate School,M,5.5318759692131065,3.0,Married,Rural,London,,39.0,0.13783078044799785,No
College,F,5.859584020999284,6.0,Married,Rural,New Castle,4015.722557348466,30.0,-0.44092261209175887,No
High School,,4.807830160808466,6.0,Married,Rural,New Castle,6706.2981612852345,38.0,0.5324152451045021,No
High School,F,6.194742493247507,4.0,,Urban,New Castle,4783.525586807069,34.0,0.9955193001656897,Yes
High School,M,5.4592351222449125,6.0,Single,Suburban,New Castle,5649.850405863277,22.0,-0.570556295690729,Yes
High School,M,6.253171620217262,8.0,Single,Rural,London,4186.917006339871,42.0,0.262202287464295,
Graduate School,M,5.420938102092979,5.0,Divorced,Rural,New Castle,4210.82524972484,34.0,-0.9323060745659812,No
College,F,6.559770815254428,4.0,Divorced,Urban,Manchester,3870.2500629615065,40.0,0.816380238274484,No
High School,F,5.513535095641353,7.0,Single,Suburban,New Castle,4912.333717054593,30.0,0.22192933781374563,Yes
Graduate School,M,6.564811059511588,5.0,Divorced,Urban,New Castle,3569.5610296419,32.0,-1.16332052120209,Yes
Graduate School,F,6.3309062332171715,2.0,Married,Suburban,Manchester,4055.320999603203,37.0,-0.1821520395898193,No
College,F,3.7854264447294588,6.0,Married,Rural,Manchester,6506.355265828211,39.0,0.21852073458422663,No
High School,M,4.4895057683986135,7.0,Married,Suburban,New Castle,4416.86103289826,21.0,0.350547532178404,Yes
Graduate School,F,6.9020324661761485,5.0,Married,Rural,Manchester,4913.006838901318,36.0,-0.29430893835415095,No
Graduate School,M,7.128650079761912,5.0,Divorced,Urban,Manchester,4434.76126470962,30.0,0.5180591229815719,Yes
Graduate School,M,4.245897419749427,6.0,Married,Rural,Manchester,5334.654464050127,38.0,0.2873293263578133,No
College,M,3.455280343830146,3.0,Married,Suburban,London,7063.312001863071,14.0,0.1762928576453444,Yes
High School,M,4.031531139408894,4.0,Single,Urban,New Castle,6734.930229151284,38.0,-1.0533354042666085,Yes
Graduate School,M,3.886712581160859,4.0,Divorced,Suburban,New Castle,6152.684309125597,27.0,0.3380827629222729,Yes
College,F,5.196369634303872,4.0,Single,Urban,Manchester,6331.010158343746,38.0,-0.046740121906322096,No
Graduate School,M,3.8574170136053008,2.0,Single,,Manchester,4515.8529775919205,37.0,-0.030716955819690542,No
College,M,5.342363578635943,6.0,Married,Rural,London,2260.209121952436,30.0,-0.05722022241478378,No
High School,M,5.624489418439335,5.0,Married,Suburban,Manchester,3197.978353080526,37.0,0.9882308475152625,
Graduate School,M,7.538908046430383,5.0,Divorced,Urban,London,3600.084172180218,30.0,0.8380036258813062,Yes
High School,M,5.336806918316112,4.0,Single,Suburban,London,5323.256787631485,35.0,-0.08387613854529788,Yes
Graduate School,M,5.888904834715751,2.0,Married,Suburban,London,5601.604547245867,,0.527955986989584,Yes
High School,F,2.7634785612872537,5.0,Divorced,Rural,Manchester,7430.792458846134,21.0,0.587262295365227,Yes
College,M,4.143559788418991,5.0,Divorced,Rural,Manchester,6255.920796461257,21.0,-0.10077302521328074,Yes
Graduate School,M,4.831936887435445,4.0,Single,Rural,Manchester,4675.156810027829,31.0,0.3790246570457913,No
College,F,4.505550177141481,8.0,Married,Rural,Manchester,6917.467296781242,30.0,-1.0364369784568932,No
College,F,5.8722471377862,8.0,Married,Suburban,New Castle,4793.736803761832,36.0,-0.2540594894761039,No
Graduate School,M,5.553767725881903,5.0,,Rural,New Castle,3425.5238103309193,32.0,0.551824924989636,No
High School,F,5.546403588168169,5.0,Single,Suburban,London,5752.905892023226,21.0,-0.08347341242280329,Yes
College,M,2.7666351819781,6.0,Single,Urban,New Castle,6452.4191569134855,22.0,0.5183821059746956,Yes
College,F,2.624133231538391,6.0,,Suburban,Manchester,7278.734989973194,19.0,0.20020011740054328,Yes
High School,M,4.649389082519686,4.0,Divorced,Urban,London,5233.648292324846,42.0,0.0789737331792512,Yes
College,F,3.924070469467727,6.0,Single,Rural,London,5936.19816518029,37.0,-0.3278279648708624,Yes
High School,F,6.638519184274547,5.0,Divorced,Rural,Manchester,5048.254246149094,35.0,0.4582796331410355,No
High School,F,4.69473906734302,5.0,Single,Urban,London,5100.815593346591,35.0,-0.48794750440558443,Yes
Graduate School,F,3.7743271231546647,5.0,Single,Urban,Manchester,6700.438208927291,26.0,0.08773465605206125,Yes
Graduate School,M,3.393071317702901,7.0,Married,Suburban,Manchester,4694.760572594417,31.0,0.48008442000804497,No
Graduate School,M,3.3728346431261045,7.0,Divorced,Suburban,New Castle,6080.0035325007175,30.0,-0.5299100739173984,Yes
Graduate School,F,2.634886202984991,4.0,Single,Urban,New Castle,7352.516593725876,29.0,0.24280934802283088,Yes
College,F,3.716233119635537,6.0,Married,Suburban,,5669.003087981112,21.0,0.32620018248662985,Yes
College,M,5.18413470540993,4.0,Divorced,Suburban,London,5107.418309123446,42.0,0.5628517579531387,Yes
Graduate School,M,4.486662365965931,6.0,Divorced,Suburban,London,3665.454168871955,27.0,-0.12607937094223087,No
High School,M,5.356462710600112,5.0,Single,Rural,New Castle,3525.736403118259,37.0,-0.4428322812166604,No
Graduate School,M,5.264322303899722,6.0,Single,Rural,Manchester,5032.868152401964,46.0,0.11409542525227583,Yes
College,M,,4.0,Single,Urban,Manchester,6372.302631627772,27.0,0.3104824100823391,Yes
Graduate School,M,2.4436504646463657,6.0,Married,Urban,New Castle,7345.304154385478,32.0,0.199210029670849,Yes
College,M,5.553487220122756,6.0,Divorced,Rural,Manchester,3400.9715010361383,38.0,0.19332310153155918,No
Graduate School,M,5.049411980659349,4.0,Married,Rural,Manchester,4007.5007284290123,38.0,-0.17955767521739913,No
Graduate School,F,2.6940803535577253,,Married,Rural,London,6648.120546769612,36.0,0.10379586903949299,No
Graduate School,M,5.111997934517451,6.0,Divorced,Urban,Manchester,6071.798522401074,31.0,0.1704784416931414,Yes
College,M,7.334104701415886,2.0,Divorced,Rural,London,3835.868578475371,36.0,-0.5020274044017167,Yes
Graduate School,M,4.926145146580399,6.0,Divorced,Rural,London,4825.755816988371,21.0,0.20971345534500133,Yes
Graduate School,M,7.220243746734507,2.0,Divorced,Urban,Manchester,5122.4988558142695,43.0,,Yes
Graduate School,F,3.798486213544374,6.0,Single,Rural,Manchester,5518.749561793351,37.0,0.8166365676676419,No
Graduate School,F,6.540063332458963,4.0,Divorced,Rural,New Castle,5058.023610795094,31.0,0.08636257956707734,Yes
High School,M,4.828853411402579,6.0,Divorced,Rural,Manchester,5114.513227544201,36.0,0.04794859488912931,Yes
High School,F,5.770492130551569,6.0,Divorced,Suburban,Manchester,5627.735134321014,38.0,-0.6880147887480628,Yes
Graduate School,F,5.633431260457627,7.0,Single,Rural,Manchester,3718.2364304407693,36.0,-0.20690034377296473,No
Graduate School,F,5.359380733966978,6.0,Divorced,Rural,London,,31.0,-0.2035364464675497,No
Graduate School,M,9.372919861755959,2.0,Divorced,Rural,New Castle,3381.3221973941395,39.0,0.27934830275738654,Yes
High School,F,4.441618382131133,3.0,Divorced,Urban,Manchester,6406.10153818266,27.0,-0.1847092690569252,Yes
College,M,6.1405223115986605,8.0,Divorced,Rural,New Castle,4352.88196029617,43.0,0.08503662642759265,No
Graduate School,M,5.832936794338489,6.0,Married,Suburban,London,4651.028612300238,28.0,0.0002575950147040429,Yes
Graduate School,F,7.252381443414894,2.0,Divorced,Suburban,,5422.848349683517,28.0,-0.1788018524052749,Yes
Graduate School,F,4.47687398094124,4.0,Married,Suburban,London,5539.179746499196,16.0,-0.1222858090592556,Yes
College,M,6.429981322952518,9.0,Divorced,Rural,New Castle,5816.280832765402,39.0,0.2041360343042471,No
College,M,4.511574120172854,4.0,Divorced,Rural,London,3956.6758144324444,32.0,0.6948659918214993,No
,M,6.600497355073401,4.0,Divorced,Suburban,London,5415.428282640813,40.0,-0.09313356838527423,Yes
College,F,4.254274440425672,3.0,Divorced,Urban,Manchester,5581.095377372633,17.0,-0.032036511426220896,Yes
High School,M,6.352475260761109,4.0,Divorced,Urban,London,4085.5739248127484,31.0,-0.45672485749459546,Yes
Graduate School,M,4.203633186043247,4.0,Divorced,Urban,Manchester,6557.7526755711515,30.0,0.2050710701597543,Yes
High School,F,6.763950779872223,3.0,Divorced,Rural,London,5101.9025070532,28.0,0.39870862548794067,Yes
Graduate School,M,4.871828306906377,5.0,Divorced,Suburban,London,5949.2529136936,29.0,0.7270006553083551,Yes
College,F,4.608031572726577,5.0,Single,Urban,London,5982.699154539896,26.0,-0.300580546813154,Yes
High School,M,6.9016159115215805,3.0,Married,Rural,New Castle,1659.9230316807802,42.0,-0.2797832344870399,No
Graduate School,F,5.648049761517069,2.0,Divorced,Urban,New Castle,5885.809839886631,39.0,-0.607071802767966,Yes
College,M,6.820004171554199,1.0,Single,Rural,New Castle,4817.06081083245,46.0,0.23847218884656946,Yes
Graduate School,F,4.7624294466696835,5.0,Married,,London,5541.986447301104,33.0,-1.0652587233692108,No
High School,M,6.7547693337302785,3.0,Single,Suburban,Manchester,5002.879988909202,27.0,-0.20863633016611743,Yes
College,F,5.043079896256386,5.0,Married,Urban,London,4783.228203141919,37.0,-0.1507107931225927,No
High School,F,5.943624278455666,6.0,Married,Rural,,5621.180000308196,33.0,-0.016029923610782995,No
High School,M,4.247137835759156,5.0,Married,Rural,New Castle,5632.193793102092,15.0,0.45343563797932246,Yes
Graduate School,F,3.0159113436764233,3.0,Divorced,Suburban,London,6312.503802519956,31.0,-0.49049899047835155,Yes
College,F,2.7698986585120333,5.0,Divorced,Urban,London,7290.776598716069,28.0,-0.3016305283653861,Yes
College,M,5.1694367913244275,4.0,Divorced,Urban,Manchester,5739.2670997888,29.0,0.18418322973962764,Yes
Graduate School,F,4.98316838877553,4.0,Single,Urban,Manchester,6468.613261438977,21.0,0.30837781912945617,Yes
College,F,5.753350036343971,2.0,Married,Rural,London,3320.1905181681514,41.0,0.5581205063534935,No
College,F,2.0601901270291627,8.0,Divorced,Suburban,London,6744.291645810391,24.0,0.29865570194614105,Yes
College,M,2.6101872503856995,6.0,Married,Urban,London,6512.730780240497,23.0,,Yes
High School,F,3.972200749294782,6.0,Divorced,Rural,London,6273.11982131247,42.0,0.002516329092917116,Yes
High School,F,4.752727779213087,6.0,Married,Suburban,New Castle,6032.055603478658,37.0,-0.40279077909054606,No
High School,F,3.556372653823605,5.0,Divorced,Urban,New Castle,7031.084014729844,35.0,0.02004034505427238,Yes
High School,M,4.416016422610835,3.0,,Urban,New Castle,5481.541663353411,23.0,-0.8609583254091413,Yes
High School,F,5.275946010002716,6.0,Single,Urban,London,5653.581125773262,,,Yes
High School,M,4.684324493462871,2.0,Married,Rural,London,4502.8793002390485,41.0,-0.7064520344259748,No
College,M,6.3120415378785975,6.0,Divorced,Rural,,4948.7695689432685,27.0,-0.0665664324003252,
College,M,6.245263286696544,3.0,Divorced,Urban,Manchester,5555.559378342711,44.0,0.4125185419840815,Yes
Graduate School,F,6.087657999267395,4.0,Divorced,Urban,London,5629.157738366016,30.0,0.5854855942029931,Yes
High School,F,4.480000446055983,5.0,Married,Suburban,New Castle,5214.377357284312,38.0,0.2383824490165119,No
College,M,5.727017390440427,5.0,Divorced,Urban,Manchester,5304.864561425496,41.0,,Yes
Graduate School,F,5.2647271058569896,3.0,Divorced,Urban,London,5059.515631898028,37.0,-0.12197807180563991,Yes
High School,,5.76015516909185,2.0,Divorced,Urban,New Castle,6468.557446845195,28.0,-0.0041588035426417536,Yes
College,F,6.533190541076192,3.0,Married,Rural,London,3244.1831434549094,38.0,0.4856045059328002,No
High School,M,5.05368136009026,3.0,Married,Rural,Manchester,3847.4457782176105,36.0,0.6114452298849619,No
College,M,3.9134734294271456,5.0,Married,Suburban,New Castle,4597.401072718916,23.0,0.8719798612962137,No
Graduate School,F,4.278994908085237,5.0,Married,Urban,New Castle,5170.496117253837,24.0,-0.3407182810720489,No
College,F,6.631794969296168,4.0,Divorced,Rural,Manchester,3859.568900202967,41.0,-0.08645572779876318,No
High School,F,4.731242446160796,2.0,,Rural,New Castle,5240.395864277556,41.0,0.8431521905065493,No
Graduate School,F,6.635790689308363,5.0,Married,Suburban,Manchester,5362.397675320401,45.0,0.4962040336977065,No
High School,M,6.421200128763231,4.0,Single,Urban,Manchester,5367.417922870698,,0.8094149527019932,Yes
College,M,5.077546045781688,3.0,Married,Urban,Manchester,6207.530858433312,30.0,-0.246998561795655,
High School,M,6.865215479953862,6.0,Divorced,Suburban,London,3254.1912468764403,39.0,-0.21297662433946302,No
College,F,4.965985609596584,4.0,,Rural,New Castle,5374.366896575053,38.0,0.009911600007218635,No
High School,F,6.202169056520892,5.0,Married,Urban,Manchester,4670.565500304281,30.0,0.5055374957079917,Yes
High School,M,2.81593928235015,7.0,Divorced,Urban,Manchester,6782.985158110489,22.0,0.38449384999853586,Yes
College,M,5.660577180593346,2.0,Married,Rural,London,4145.620586714235,42.0,,No
College,F,5.021606893678918,3.0,Divorced,Suburban,New Castle,5375.276714750041,30.0,0.26925885174120334,Yes
High School,F,5.971286822651774,2.0,Divorced,Urban,New Castle,5859.652993747038,46.0,-0.3914606078108089,Yes
High School,F,5.112312688762323,6.0,Single,Urban,London,5032.987635147334,40.0,-0.4187515634423,Yes
Graduate School,F,2.651813294834023,6.0,Single,Suburban,New Castle,5205.828539908158,,-0.11140371989558856,
Graduate School,F,5.536015359868747,6.0,Divorced,Suburban,New Castle,5316.9718747261695,38.0,-0.14259241208559484,No
High School,M,4.32331795138513,6.0,Divorced,Urban,Manchester,5652.047510863866,30.0,0.30462602477868383,Yes
College,F,4.701938643032892,6.0,Single,Suburban,Manchester,6040.4552837042975,43.0,-0.44284229070921544,Yes
Graduate School,F,7.062536169889167,5.0,Married,Rural,New Castle,3400.376204423568,43.0,0.3221354525946843,No
College,F,6.7279486966943765,4.0,Married,Urban,London,4491.117318160691,42.0,,No
High School,M,6.21769962430426,2.0,Divorced,Urban,Manchester,5464.979932492746,31.0,-0.15364895686187785,Yes
Graduate School,M,5.755902430083133,6.0,Single,Rural,Manchester,4335.024816924761,39.0,0.5381698288601429,No
College,F,6.297610193971987,4.0,Married,Urban,New Castle,5007.63727449938,48.0,-0.2698080482019639,Yes
