sales_channel,financial_circumstances,customer_satisfaction,demographic_factors,Sales,competitor_pricing,advertising_spend,Season,consumer_confidence,product_awareness,promotion_effectiveness
Call center,1.1527882211299918,3.073324093175596,0,5803.54280040029,48638.07522736079,4741.505926015432,Summer,0.10212410133940439,1.3529587364694167,1.0278852927163895
Call center,0.14667448991345422,5.079253636782117,0,2704.009986208484,60238.38153411527,4801.855191685506,Summer,0.2971186712176653,0.34010608843900686,-0.7420022809946836
Web,-0.6823247578699666,5.624465582590627,2,4599.868196599563,68883.16708023136,1666.5412049823558,Spring,-0.7263780630257992,0.11262891790601415,-0.9372088712846846
Web,-1.202898327838993,4.973896548466492,1,3316.938874793821,60042.856795082946,5662.934580274989,Spring,0.7543725599369221,-0.5394703597233352,-0.13009260274873788
Agent,0.9310825028028313,4.916337677917728,2,4729.709601260582,80398.07436620395,3532.2171771906974,Summer,-0.2693071028158836,-0.30887825564216886,-1.2057160244349687
Call center,-0.7889909945172685,3.8747590568635717,1,5075.782596618274,45035.962623043335,3370.300208387418,Autumn,-1.0966115774869696,0.5151242207000923,-2.197437925927083
Agent,1.1326735713153684,3.4024757363013354,2,6857.968294251073,42316.51047496076,6607.159809077887,Autumn,-1.5485025629888771,-0.3252655443586356,1.076902985486378
Call center,-1.0865445340008186,3.42933453323115,2,3250.780168275801,43310.758703607054,2177.240577180203,Summer,1.6370431754407775,-0.7590468967254204,0.7414107504287469
Agent,1.285782759970632,6.666102621652187,0,6344.146648813747,37034.73730531821,6113.311153066194,Summer,1.1834342096597246,1.1403740725591267,1.0062334827179837
Agent,-0.9569616242935863,3.5933154991399228,0,3058.1573995137387,61600.889569601975,3115.3459447340047,Spring,-0.3388453582482982,-1.1877640461985612,0.9101112321339851
Call center,-0.8639862727844752,3.0001756514506903,2,3222.2989350246544,45685.24234863644,6269.174021120249,Summer,-0.8501122674532392,-0.5334847454288469,1.0540878686758652
Call center,-0.17591930162220804,5.023810411870633,1,6024.236945286524,39234.319509274574,7215.034683387716,Autumn,-0.4982265877974605,-0.35985875192771827,-0.12357975201504066
Web,-0.5107507323085118,5.21033450638164,0,5530.912046591387,69955.74404173013,5903.10015604929,Autumn,-0.4970618068173383,0.7749680814373646,-0.3702423917026391
Web,0.11442379480304911,5.156684628405138,2,3594.008875096359,56697.089102285325,5241.966907684562,Autumn,-1.1446396039084352,0.545599456538892,-0.6869228069394463
Web,1.0270481532665423,3.9891765871683362,1,2309.776975826879,29353.735239896465,2820.208494164828,Summer,-0.44718705888546256,-0.543574618239467,0.8669321582850826
Web,1.368258302151388,4.487353309982994,1,5690.696560359347,45960.92839768973,6518.688090278309,Spring,-0.5213225284310306,1.5340947646267282,-0.1199899991170087
Call center,1.4805202918233256,5.999309414387907,0,6620.521205633986,55369.83891700639,6841.109623911302,Summer,-1.0325520269894817,0.17853773731370878,0.4027391821797477
Call center,-0.31037841636787533,4.7102995142790345,0,5544.141837186575,33714.161503018884,7985.024416003596,Summer,-0.981547608394068,-0.37326712497318415,0.3302225491778123
Call center,0.04779279772657932,4.2208737119708575,0,4122.312787654779,54546.975216558574,5263.400367568209,Autumn,-0.11761108395102515,-1.1596437932792851,-1.7929917319556687
Call center,-1.0019375519848714,3.7110958232990736,2,4621.983956430842,50178.79905627022,3344.507430258048,Spring,-0.5440512234642444,0.33943964023374745,-0.07282611602079361
Call center,1.8172242370776024,5.509729299393655,1,4710.045281565476,64185.04609217328,2887.745822987633,Autumn,-0.8944939605756805,0.19662459054697493,-0.029801072799713457
Agent,1.137622401441335,4.374733657023906,2,5511.83627016414,51315.31886193425,3407.601177654452,Spring,2.9299975706186046,1.083612226617688,0.7089700720775338
Call center,0.8137611202872169,1.5219314988498334,2,2869.686281182968,51895.1523783894,3321.1737093487054,Spring,-0.6696713225573683,-0.6641104542076022,0.27453111467968927
Call center,0.7720128703355017,3.401039149009949,1,3065.7306049262347,62756.410203143896,3225.024661449297,Summer,0.22969404682206046,0.5549003979757549,-1.3729990020187566
Call center,0.006705308216565317,2.6724725262535562,0,7312.196739346631,55883.90117185089,4931.3906333608165,Autumn,-0.5577524422730304,0.936330589456017,0.2625282210815945
Agent,0.049323953181634905,5.68936263472975,0,6727.852040020898,41647.419952443706,5613.621828893548,Spring,0.3147317275217532,0.4025888400530997,1.4651974931118132
Agent,0.5255443743047423,3.4567061211335894,0,6999.029352872173,62049.59790555155,4509.238637567228,Autumn,-1.68286141114108,-0.529620746754303,-0.20625879346254553
Call center,-0.32605539403708717,4.54254606009562,2,2949.898151425009,57064.27638308148,4471.609327071597,Spring,-0.34003949361961244,0.8464990699387732,-0.7901379813237249
Agent,0.9948896995775133,2.462057075952994,2,3472.3676106584207,34560.101951740995,3549.7209217088466,Autumn,-0.43881807712709686,-0.7298156411504992,0.8761749038733264
Call center,-1.49484926846513,3.268288546317936,2,6829.3758540080635,70576.6237755675,6354.253409315672,Autumn,-0.04007233864850895,0.5349525749451577,1.3542458524728593
Agent,-0.37525137028560607,4.578571100583714,2,5978.717818839194,52558.28646612925,5837.666266951503,Summer,0.32305752437891483,0.9390190375505175,-1.8490124789705376
Call center,-0.8503690383743562,4.908168573356481,1,3429.606564757839,39975.03792853598,3145.479226124687,Summer,1.3354712589671274,-0.41370760315507804,0.6241506815629699
Agent,-0.28794512124145166,2.812526689308789,0,6713.443460701997,65945.33158748367,5600.689961374883,Spring,0.14422878369635328,0.16069563419757196,-1.0851143951411466
Call center,-0.2549617100900599,4.690853869136085,0,3367.894685573321,73272.75016933997,4468.81186650703,Winter,0.15242958165107975,-0.9625310908742358,1.1560766263336302
Call center,-0.0011857102212044332,4.253557328472954,2,4092.2283466516924,49160.902512594985,3091.60032386594,Autumn,0.10009442602126825,-1.5053292496269142,-1.9418178507714574
Agent,0.5024973414454167,6.180750285319328,2,4629.459786095636,45683.51998956547,5591.425769037629,Summer,-0.021613645152172897,0.14627480853766262,0.8625887569517392
Call center,0.24060800604244117,2.1326567460937884,2,4992.190710939896,55004.85041186829,2806.1406086110446,Winter,2.093728749167762,0.1509842029685774,-1.2570132182542455
Call center,-1.430509477877996,6.058895402975902,2,4587.924461858377,52747.59113785746,4763.0966151049915,Spring,2.336361801125208,-0.7374218515339869,0.7826918252766014
Web,0.41788315238561863,6.68231014681393,0,3240.6650724834853,35086.809602033405,5734.144927691372,Winter,0.6252515788183702,0.39603655821997386,0.9027627824941103
Agent,0.05656376166196364,3.8335586540029167,2,5046.560574428599,52427.90724574062,5442.619483033373,Summer,-1.3211462000676908,-0.03964808197182443,0.20676373581746488
Agent,-0.18582464003405075,2.9707407241523454,0,4241.8839074207035,49586.8220029732,3345.476750844282,Spring,-0.09189913575731677,0.026458589059801557,-0.2645420174884249
Web,0.6744754177084386,5.4311968665931545,0,2939.0872865980264,63447.03611275486,3843.27597394463,Spring,0.3574023685934942,-1.6788511357938676,-0.23296799537973356
Call center,0.2630925925027122,4.1321456378854675,1,4414.05952279546,40029.11510056578,6949.249125544633,Spring,0.4233174390558804,-0.9337062426020206,-0.08523402418087245
Call center,0.8973830288669485,5.33540515530236,0,7848.948779230423,63735.921510855194,6297.266324266349,Summer,1.6224566202797412,-0.638838957878583,0.638002865299325
Call center,-0.09795153543630614,3.7538018753552698,1,3864.3707452116078,46789.319652249775,5858.494101774325,Summer,0.9059230693574958,0.07102981620013248,-1.3311658860792717
Agent,0.8569367844375625,5.0627844953692716,0,6221.058626270128,43150.47766783159,4236.045888733107,Winter,0.6870539800968685,1.2437637335068537,1.0250353804336014
Call center,1.765248366922146,3.2824843108286217,2,5073.5974098470215,85325.20351137526,6152.147539272011,Winter,1.0383613704380907,-1.2180184625111357,-1.9221868201665697
Call center,2.1210380190178526,4.556895147021297,0,4744.162148363954,42827.65642907762,,Spring,-0.26961311927279824,0.3802124842772026,
Call center,1.806109357819711,1.6020922150640384,1,3679.2491359543637,37955.496384244034,4690.894967047352,Autumn,1.2641050414199553,-1.7256389562660028,1.9972203032927016
Call center,1.0345891516805872,5.028829864628811,2,2037.99223044152,37647.344588241984,814.8054110403764,Summer,-1.5032610599925615,-1.7854326848297233,0.4705781058783095
Web,-0.4621367225313517,7.080314430621385,2,3862.773377935204,46968.362312361365,,Spring,0.4659722356957808,-0.4523894526951636,
Web,-1.0612444611706326,4.310575807089182,1,4501.412220104381,60026.05529015632,8016.369037708619,Winter,-2.327447059453382,-0.7115177077615069,0.3680612890733419
Call center,0.9884221378444091,4.984498657326953,2,5459.94503879649,35669.05144704852,6545.590279705631,Spring,-0.025225827768344602,-0.4387583408963389,-1.6663050379823892
Call center,1.0150709517320329,3.152853426777305,0,3070.5657008205535,40461.62548015106,5886.499443503004,Spring,0.18634476381418996,-0.13636220993932838,-0.7951834290322081
Call center,1.0106298178358513,6.031001163701889,2,4643.657728581547,59890.006850825914,5010.503279864145,Spring,-1.4353825851280795,-0.6853904704532079,-0.1465275775742201
Call center,1.312975899439276,2.91281946902932,0,104.32361046184906,53380.98626677327,3672.7488539307487,Autumn,0.7792191209515961,-1.7912851419466709,0.28747056441245933
Web,-1.0556497449406568,2.5873573417794056,2,4374.005604994427,45689.37868382653,4961.165198256663,Spring,-0.023073908387519864,-0.3989477922014715,-1.1579955131499047
Web,-0.4329561018015556,5.118730653171607,0,4317.368604061313,73107.94223108643,6727.7151731262875,Spring,1.0652684175562341,-0.4456903622806893,0.7737832754036155
Web,0.7263729478601516,4.247965585783671,0,1086.7093082199121,66820.5758531335,4579.899047551053,Autumn,3.3479726838968906,-1.746892349725594,-2.747227445586317
Call center,-0.341648619256069,4.450766643223277,1,7078.78741152413,61147.60182155882,5949.050031977424,Spring,-0.6003335138706836,0.7659847025025541,0.3437387208577747
Web,0.7570018388894134,4.991513227600652,0,2995.3219134534675,63746.170574677424,6191.254085743329,Spring,-0.2205971599574645,-0.6377370688062474,-1.194984229047453
Web,0.06894573611689828,3.228610051726954,1,5749.9225595857115,47321.717323126926,4158.115761265783,Autumn,0.9261843281611513,1.3311704746958912,0.43391203194735395
Call center,0.2428929823574738,5.666915812859539,1,5287.502187941329,42829.329081762364,6793.4185960169325,Summer,0.8742978509597743,-0.2931014976019126,-0.11615419763616731
Call center,0.42128286456567193,3.075445844773856,2,5892.372347233722,61869.98628035684,5768.936633283279,Spring,0.05803331662712278,0.6657993147010604,1.3896774334938502
Call center,-0.6817534610186816,3.0746100643043395,0,8005.451773689703,24848.066559891275,8198.208032814075,Spring,-0.3847109873219656,0.5818795193748783,0.3558261205045976
Call center,2.382980400879305,5.510693196425903,1,2534.2437772399157,53018.46143313547,5821.538915087671,Spring,0.16139667656481818,-0.9315884158302564,0.5762548742247716
Agent,-1.0654799444611378,6.7199126461861045,2,5421.685500977096,40436.27329583911,4926.99824828145,Spring,-0.6623105451381899,-0.7435078596288222,0.015597577892703237
Call center,-0.8328844424168111,4.660249777209846,0,5377.511902375227,53608.30863566131,,Spring,0.5265577359234483,1.6461327306828626,
Call center,-2.697178385259769,4.801920877358123,2,4481.999828242237,70538.4329647821,2662.598278975309,Winter,0.352922418853139,-0.361802824470867,-0.5263592497978704
Call center,-0.4662481088123559,2.9221586797263046,0,6291.1230436244205,59254.234417529515,4532.880139742582,Spring,-0.6931118398263626,0.8004766676581773,-0.41946973518651326
Call center,1.8988195010162578,4.3269166147698135,1,5126.214931082634,62644.51078583105,7549.359885739086,Spring,-0.7482206151759226,0.11226662892679351,-1.7837039083464634
Call center,-0.2592423534891885,4.884808274131968,2,4757.305485361082,50253.49622542088,3301.6195805790644,Winter,1.563541097818196,-0.5704532314998618,-0.3781757739890838
Call center,1.0272045989847947,4.2061123532879305,1,4700.179255273294,43961.98507491463,7232.556737837196,Winter,1.9461961190427295,-2.3040833016754165,0.874515178724897
Call center,0.3696477547521267,5.099369850907546,2,5283.968565375664,38269.69296201532,5785.094125066085,Winter,-0.10519288245528179,0.23545721419996968,-0.37323909280374057
Call center,-2.0828005984589906,3.070015379290628,1,4390.859649448582,59003.47763668247,3782.145153670933,Summer,1.4345287560492088,0.32757198047937286,-0.0780585585455039
Agent,0.852248907922775,4.609583927948979,0,6566.638789675564,58492.73868622436,5453.188890505535,Summer,-0.32094411479292323,0.17106914434924697,-2.539655450454521
Call center,0.33023845936340274,5.906684452722333,0,7003.633734993408,51992.39224075586,6478.68309713137,Winter,-0.2416851860794938,-0.4595135525300024,0.25671424181227
Agent,0.1799583433106418,2.815695770194873,1,5471.835429368327,71991.76472811733,,Autumn,0.22037578814469047,0.23330743678677143,
Web,0.20101030201240955,4.568769703642001,0,4893.482404304252,72409.56456593296,4366.416788340163,Summer,-0.9460422451371329,0.6254832931307679,1.276120831656065
Call center,1.2852235723945649,4.46397229847771,2,4388.918169435643,61798.126106377225,5630.532945005843,Summer,1.7669575379040483,1.1351094182679013,-0.6593346406840865
Call center,-0.4996123405299153,3.4369305487963704,0,3136.176222305462,44045.81788692565,5020.075573780356,Spring,-0.7504327072444634,-1.6448730546241088,-0.6123042904172902
Agent,-0.4115317826353274,5.798566177697264,1,6313.37973155941,43698.480390912446,5510.949114979831,Autumn,0.32684728859670603,-0.6964083792952206,-0.4229040723820555
Call center,0.2575006138851446,3.7082473110369696,2,4673.22756290264,56213.183454545455,5434.008889914058,Autumn,-1.0225621596772843,0.40562068348205776,-0.3264702824159838
Web,0.25051812761890474,4.292488312973351,1,2698.734036735629,68147.85051644639,2454.93344948226,Summer,-2.065619224943777,-1.2646894063760856,-0.0639957496992986
Call center,0.16915128469890153,4.904271544537255,2,4488.199212643883,59600.033927911165,3457.448085215267,Autumn,-0.11376788249282634,-1.3891223241558954,-0.5777901686666247
Call center,0.6560924112455602,3.743123438500015,2,6225.979977332373,56891.83861821634,6843.462890347504,Winter,1.5766285840240237,0.10819458503353806,0.1284511332395329
Web,1.339995111991563,4.307127765880551,1,1491.7848518055753,53379.20300679583,3062.4400672948495,Winter,-1.7812986305203566,-0.2558505231181886,-1.126134258420485
Call center,-0.5027990708674334,2.217990010725277,0,4663.252319881311,51493.269098459394,7016.165738397483,Summer,-0.14624583513202602,-0.7990269391857527,1.4571587187343704
Call center,1.3283877060714593,2.4206058938480854,2,4947.661742822394,79126.30715598344,4218.179161281401,Winter,1.254457126388839,-0.7572657544641409,-0.5700389313026121
Call center,-0.012420586782038752,4.918392236397469,1,4327.743940406607,82223.28532012319,,Summer,1.5710056585221668,-1.2793879132258958,
Call center,-0.4946318706164082,3.8378697290600083,1,4481.603009837025,65096.94451436419,5411.947558182227,Summer,-0.4553930468990084,0.2355455320216232,0.4668920031407539
Call center,1.158990771134779,3.8148764057713223,1,6638.8426163657205,54727.674578370825,6002.52987100134,Winter,0.15495818748314197,-0.5523409955374917,-2.140863411818647
Web,-1.1137244971815141,6.448810211259853,0,4342.903824210202,80088.67109550205,7202.022257443199,Summer,-1.4122248989453612,-0.08485206122091972,-1.6896557655616868
Call center,-0.2918862223121909,3.174079218494943,0,4708.866781981542,51242.70198542474,,Spring,0.6449428855390321,0.9857058007107941,
Call center,-0.46990096648379537,2.6697243545513207,2,5394.152140565819,36862.56065753587,6003.8503132642945,Summer,0.5983694253060606,0.48895898900472434,0.5122332103266048
Web,-0.21858889256540354,5.379536990334099,2,3086.780815919063,46448.27490037757,4263.23499048012,Spring,-0.7304893686527992,-1.4849541539279207,-0.7837855798564342
Call center,0.7833891194401678,3.7019417736205296,0,6308.944936286663,78407.2745588443,5119.46400646561,Spring,-0.7217422526171019,0.0015225804230287626,0.2261202147434747
Call center,0.3990790367720593,1.9027728146025114,1,6179.284295890644,46268.56482490561,6093.5103943228205,Summer,-1.273944441275308,0.10336956919689493,0.1477138622287485
Call center,1.7374380044451578,5.219384723834178,0,3701.498921322564,64641.056582581885,4432.1084588326785,Spring,-0.47450065420182436,0.14466818322037048,-0.76224692603537
Call center,1.3549144545237044,4.576951749085277,2,3749.338795925896,78650.88263666551,4874.462632135083,Spring,1.3492176048277957,0.4627238306661385,1.4697002680173117
Agent,-0.3356542664456756,5.67561517579732,2,3165.4251793888834,55958.6588390205,5410.6978498464805,Summer,-1.4732876987933448,-0.6624731484197485,-0.10880598123444528
Agent,-0.4523873695416439,6.652299149443375,0,8002.404585424669,55174.32075630735,6108.8896274253775,Summer,0.8830449461054094,1.0640425731346617,-0.8844442895378258
Call center,-0.4101149733112359,5.013290903542007,1,4295.639535179324,58773.81789143065,4461.219622723772,Winter,-0.2703933432059364,0.43742460490445834,-0.10962000896933946
Call center,-2.2952570627370474,4.202483111846967,2,4371.799175142226,42927.898828131,2954.6861483702373,Autumn,-0.4750418653719559,-0.6608266048321577,-0.8308601444801627
Call center,-0.6913152705824959,5.3551306696851295,1,4436.868036795703,46293.77289887196,3213.353046115507,Winter,1.2340260406164605,0.23761405657595133,0.29227134069385213
Call center,-0.5359552394051056,6.208607781782245,0,5551.374921960058,80426.61452511884,6674.321728789232,Autumn,-1.5934436507976302,0.574965775519458,0.2100491832434275
Web,-0.8800053321048998,6.394340379821328,0,2634.621242446005,59166.38571869699,3902.5563930521384,Winter,0.961406209290058,-0.4480758084054177,-0.2759533221985098
Web,-0.8928359651208951,7.752080563249979,2,3366.461452758702,45448.21447987927,5877.68305384998,Spring,-0.9356314741447986,-0.8990229104728582,1.1562194472251566
Call center,-0.5010839921034133,6.515983765553063,1,5004.882117059944,59752.40062085034,6549.6912982403355,Autumn,-0.6787199542969504,-1.2018167416838357,-0.06760010542554924
Call center,0.10843858933141949,6.355438218791629,1,2529.7829952124657,52803.10703530702,6670.39713785837,Autumn,-0.08750931776793426,-2.848052508502451,0.5898375273106881
Call center,1.0310033728816559,4.40530242902893,0,4858.819016177898,53750.64434677852,,Autumn,0.049997810524984705,0.5189505284293692,
Call center,0.7382958651637764,4.414305858555447,2,3605.0933035227017,59133.10932805029,4649.705947621586,Winter,1.152630119090219,0.09468979088980624,1.5886534239991676
Web,-0.34060214516333126,3.1618846073656037,2,0.0,49294.32842121858,2397.1686055319133,Summer,0.051829836996502586,-1.4593097755743027,-0.5141159376401869
Call center,0.5494794987085626,6.169636674720605,0,5882.676625005238,61729.11105678578,4632.355190754689,Spring,0.5744029755960837,1.0401004029724406,-0.5084826667842212
Call center,0.5069971266866301,5.8614708815368015,1,2488.5250711773574,33844.97522506815,,Autumn,-0.4002804740632273,0.4891962272267203,
Call center,-0.09643087700624121,1.9968486498061009,2,4788.642671331365,51933.6909497146,6712.362251620058,Summer,-1.9480064335252991,-0.29578678704502565,-0.6728795415161497
Call center,0.1948941207430138,2.942071896927632,0,4611.631683612782,44926.183626915634,6850.536448271199,Autumn,1.3523489144203111,-0.4011426969029137,-0.5273976149485162
Call center,1.3721953230354371,3.2801474072546863,1,3626.8068095833232,77053.49992695813,1809.8856806487092,Autumn,0.8753498457051158,-0.4525108929704474,-0.8133574727461559
Call center,0.05370060575549239,3.135120264442055,0,4218.775029888436,55395.50617152796,,Autumn,-0.3108560083653721,-0.2806589825900705,
Agent,0.3745707244704795,4.159106999776371,1,4564.649974093521,75474.8651369902,6862.0612211679045,Winter,-0.28979898772156876,-1.2404270027809932,-1.2479490115028289
Call center,-0.004374433070030815,3.5018668534627375,2,5383.540365321964,35581.264523659,5079.965340118354,Spring,-0.9382584413977452,1.230066112401711,-0.5230477540753632
Call center,-0.4794760806489858,3.9770956250495644,0,5246.546000899527,72618.22401488283,6495.264477868197,Winter,2.601155730322784,0.01873058680604198,-1.1122792038730347
Call center,-1.5102346454018447,5.839609930477415,0,7718.632022617809,61099.05725563885,6559.100306505298,Summer,-0.4161470974588027,2.0691613114823566,0.1620433775209773
Web,0.8650591562250273,2.752030732089176,2,3753.0205234442,68985.37816730248,3624.097223851288,Winter,0.3064324993455222,0.3468269844598407,0.06142267608707686
Call center,1.5725942993490483,4.686941135361919,2,2291.907482226636,27100.706650886103,5106.80745802693,Spring,-0.22468089362723487,-0.7563453181805512,0.056562631691860425
Call center,-1.2614180196498472,5.3576096515308125,0,6837.353966956626,75875.58652942978,4084.0655280452033,Summer,-0.2191482545762805,0.5634036912977888,-0.31992190144308064
Call center,-0.6202054549103035,4.915392647255172,1,7362.9922467729575,85689.15076746854,9824.320581878746,Summer,0.5647485359543867,1.0555139185950289,1.858921739063235
Call center,0.37497867802948687,4.326779978325379,0,4459.5606030822755,53327.239710883,5256.82289298887,Spring,0.470117384037034,1.2286450698396914,0.2185560664709494
Call center,-0.792569480629159,2.9660572618477374,0,5113.783933795239,62180.695274561855,5741.00271565914,Summer,-1.094503731348335,0.03831018055585723,0.10410613166314465
Call center,-1.0718128687436337,3.18892881916496,1,4333.670044441417,53274.87266554553,6669.186422121504,Spring,0.801149303392904,-0.4910909410972482,1.7932679173897876
Call center,-0.8254989033638734,3.9116841174294876,0,5004.700339682954,38234.34600498182,4918.59950939465,Summer,0.3356162201048827,-0.020179736817690027,-0.29139167410389644
Web,-0.9955475552887664,4.883956175580969,2,5468.023690013543,49024.6348935015,5826.474262774898,Winter,-0.9283785278527076,0.21142360108645797,-0.037136913264510005
Agent,0.4492236356992479,3.089518198368051,1,5178.1887830283085,46922.22952351533,7356.41391970195,Summer,0.6542186158669766,-0.5548828173667837,0.1731109639044176
Call center,-0.27301804662843016,4.6766906612036685,2,1353.7272337722957,48631.387538351264,2736.618910537478,Spring,-0.4922195382738465,-1.3184383448838835,0.8941679461319352
Web,-1.335444660975576,3.6830422269780985,2,2966.090466891403,51551.52763387047,4038.0629533820634,Autumn,-0.36501441782935723,-0.5771060726829017,1.5275749596666772
Web,0.3907323773049645,4.179600019484581,2,6081.568412365029,61507.30905023568,4700.9282605158405,Summer,0.9213456111299134,2.0256054663671006,0.9511890227697685
Call center,0.057471597369056826,10.0,0,5455.843841334144,65945.30242295895,3449.063960267872,Spring,-0.7723575858932812,-0.31952644073308867,1.570475807029594
Call center,-1.4906624849259027,3.9525932961747436,1,4907.392416873471,44229.30930565383,3518.5938485224196,Autumn,0.16205182725707815,-0.2097247522647046,0.41439292418382706
Agent,0.5648527357708134,3.815510882586451,2,6471.60673341943,52318.61434174155,4608.482544083812,Autumn,-2.283199601787223,1.1267878125858877,0.37975938007128696
Call center,0.5874576186479895,4.986027833485051,2,2453.2598820986045,71517.42014715134,2510.251440411405,Autumn,-1.2234112317773609,-0.25398866970824624,1.591348837556458
Call center,0.35128411446416535,5.01717470546872,1,3835.199653109876,56766.50873935742,4549.272553476662,Autumn,0.9821913649601484,-1.0765988367017885,-1.1184414530735263
Web,-0.8986333528099845,3.3721494422703175,1,4925.90796791192,81543.69134946402,7841.830822671362,Winter,1.2899513281899366,0.2846226653440824,-0.1712735339513081
Call center,-0.5277172454054504,3.5844131216798374,1,2991.994737644948,82265.11474648298,5104.4552983188905,Spring,-2.10370833384912,-0.23006973252572885,-1.1767385321682922
Web,0.8004947100789959,4.566168840909131,2,3326.5884089195706,32719.993800050706,4534.484795432274,Autumn,1.4056995360272007,1.1639331169406821,-0.2249759485450197
Call center,-0.0707029887189849,4.9401049188085056,1,4251.744637890341,61023.95613539615,5249.354302746023,Winter,-0.14145806798157898,-0.11482540605349513,-1.3372237967365939
Call center,1.3717143548697641,3.3954176500205393,0,6434.337308232865,39069.70928794791,6509.875295957844,Spring,-0.27461649992768933,1.2348773512886877,-1.0300408938942491
Agent,-0.011729395126114883,5.723581282108877,2,4954.50282172698,54494.164010417575,,Winter,1.0822728867798044,0.08146191456620493,
Call center,-1.5026691139995123,4.3528871600774615,2,4053.462003751646,36965.29753715421,3045.048050624091,Spring,-0.06484959218649473,0.7114307063141535,-1.8334892321218976
Call center,1.025925392214473,4.7054988435087495,1,5437.805804155259,48918.29382941978,6640.551014873716,Autumn,-1.0744230857988157,0.0821229786967456,-1.0817221572499685
Call center,1.5790519613379779,5.675977026742879,1,3581.0485722540225,68816.4304768604,3735.887162598914,Autumn,0.2648261816710791,-0.5961907886294866,0.7535197983169246
Call center,-0.4962768127511021,5.55600318824298,0,5593.120445909665,47012.41417192771,7686.1925184215015,Winter,0.47513003365229084,-0.5563374016873053,-2.7160344036610424
Call center,0.6409700397910347,4.585128004354356,1,1886.5213880383826,68973.47923385381,2266.624078762535,Summer,1.7389546251743584,-0.43149645013342025,-1.058467922177571
Call center,-0.19685033216392492,3.6264694865134124,0,2350.171804489451,58877.354835709455,1981.2313622819142,Summer,-0.06737385248515279,-0.41816747384508274,0.029016090409712748
Call center,0.28341412332712385,5.724667306041847,0,6391.349731437256,55509.92975714663,6183.286910976927,Autumn,-1.7091880678860023,-0.04253868107877088,-1.9074461678894896
Web,-1.7381255757183347,3.9187863188099796,0,3471.5082418552474,48399.65143382432,4307.510359321878,Autumn,-1.3962448167758084,-0.5458529904483274,-0.7574485996518394
