Location Code,Renew,Age,Online Activity,Education Level,City,Brand Loyalty,Monthly Income,Sex,Months with Company,Marital Status
Rural,No,46.0,6.298943338840063,Graduate School,New Castle,0.549733744363334,4331.223128560329,Female,64.0,Married
Suburban,No,51.0,5.404613189169508,High School,London,-0.7994059300469418,5025.841875810679,Male,73.0,Divorced
Urban,Yes,47.0,5.232643314172842,Graduate School,London,0.10206927509148717,3679.806480128036,Female,56.0,Single
Urban,Yes,57.0,8.190010571508989,College,London,-0.2989512530352871,4534.62917525334,Male,55.0,Divorced
Urban,No,,4.818242085581521,Graduate School,Manchester,-0.13950374376902575,4608.875681411611,Male,37.0,Married
Urban,Yes,46.0,8.078984862666228,High School,London,-0.12180908367031837,4280.530455370108,Male,29.0,Divorced
Suburban,Yes,56.0,7.284465770618111,Graduate School,Manchester,-0.22558355003306427,5939.395797159512,Male,63.0,Divorced
Urban,Yes,49.0,8.153203066465018,High School,,0.03521202658486072,5645.031233950469,Male,47.0,Single
Urban,Yes,55.0,6.4164785063071506,High School,Manchester,0.08003060634842074,4286.8894748102375,Male,56.0,Married
Urban,No,55.0,2.889760348810917,College,New Castle,0.16053726500725746,6146.17370018033,Female,65.0,Single
Rural,No,48.0,2.5545941381537416,College,Manchester,1.0296175421963454,3265.2933444765968,Male,43.0,Married
Rural,No,54.0,4.58185901887697,High School,London,0.02558107364268114,2695.17459045094,Male,69.0,Single
Urban,Yes,47.0,5.0683015153895745,Graduate School,London,-0.06934633476826671,6717.669324900437,Male,46.0,Single
Rural,No,45.0,6.788284519650437,Graduate School,New Castle,-0.7273210633354397,4883.248676506264,Male,57.0,Divorced
Rural,No,51.0,6.092830159288707,College,New Castle,-0.021828733256522126,3971.0997364623836,Female,70.0,Married
Urban,Yes,51.0,6.544656822548361,High School,Manchester,-0.5988748390067736,4768.971466611074,Male,27.0,Single
Urban,Yes,44.0,6.534279239209411,Graduate School,Manchester,-0.22241496376799408,,Female,56.0,Divorced
Urban,Yes,39.0,4.8617096580645995,High School,Manchester,-0.5228841552025107,5343.979082271389,Male,53.0,Divorced
Rural,No,61.0,6.321722524487723,College,Manchester,0.48604263773716805,4941.256978177344,Male,75.0,Married
Urban,Yes,80.0,4.797266603636247,Graduate School,London,0.5582565477669782,5655.511107212159,Female,87.0,Divorced
Rural,No,61.0,6.064708213777182,Graduate School,London,-0.048779571080683204,4018.6012044599183,Female,86.0,Married
Urban,Yes,47.0,6.802222443235955,College,New Castle,-0.6466234438167463,4876.431900019351,Male,68.0,Single
Suburban,Yes,62.0,6.265338963579366,High School,London,0.17106323161503584,4011.709591717269,Male,93.0,Single
Rural,No,39.0,5.455754286079655,High School,London,0.23205983601807068,4284.8914082884985,Female,53.0,Married
Urban,Yes,51.0,4.752982614824762,High School,London,0.03907083233875319,5346.227721279665,Male,75.0,Single
Urban,Yes,52.0,5.101597579403355,Graduate School,London,-0.5632166328413162,4589.8733573327945,Female,48.0,Single
Urban,Yes,41.0,7.42996024326385,,New Castle,-0.5850880526194805,5260.001887489696,Male,71.0,Divorced
Urban,Yes,37.0,4.878016109378232,High School,New Castle,-0.31672733682411,3938.2832175704416,Male,86.0,Divorced
Urban,Yes,44.0,5.142229090175876,Graduate School,New Castle,0.32892270561005144,6602.029581234205,Male,69.0,Divorced
Rural,No,71.0,5.678295016439949,Graduate School,London,0.06281232021583616,4357.008705056081,Male,66.0,Married
Urban,Yes,53.0,5.02600532440042,Graduate School,New Castle,0.3107087042866168,4030.0938542838994,Female,85.0,Divorced
Urban,No,48.0,4.903984910315509,,London,0.6750547557763258,5384.59903207824,Male,63.0,Married
Rural,No,58.0,5.463761285985167,High School,London,-0.8763940376828636,4545.702274291555,Female,72.0,Divorced
Suburban,Yes,42.0,6.158947282746196,Graduate School,Manchester,0.4488652174087375,6494.2657846622915,Female,74.0,Single
Suburban,Yes,59.0,4.8942042768136504,College,Manchester,0.21407226977555716,4804.607763750783,Female,87.0,Divorced
Suburban,Yes,54.0,6.30877285239486,Graduate School,Manchester,0.5137416075792418,4479.639857987737,Female,30.0,Single
Rural,No,53.0,5.816359236172604,Graduate School,New Castle,0.6806661444329288,2839.910323663342,Male,65.0,Single
Suburban,No,40.0,4.906105819394378,Graduate School,New Castle,0.4083584489822121,5489.636057845343,Female,40.0,Single
Urban,Yes,,4.0437277191744165,Graduate School,London,0.468072680106717,4857.706260473203,Male,65.0,Single
Suburban,No,42.0,6.131458910047604,High School,Manchester,0.16376049130022918,3218.7109584582067,Male,62.0,Married
Suburban,No,30.0,7.953359448172446,High School,Manchester,1.0929128023678611,,Female,44.0,Married
Suburban,No,33.0,5.732818056655252,Graduate School,New Castle,0.2208937169862818,6158.58459873343,Male,56.0,Married
Suburban,No,50.0,5.111368538009845,Graduate School,London,0.2615777907985821,5521.508573211331,Male,67.0,Divorced
Suburban,Yes,,6.678808901273685,High School,Manchester,0.20405214327948762,5299.535399665907,Male,54.0,Married
Suburban,Yes,47.0,5.851475923965982,College,London,-0.5635419964143233,3341.1296328556336,Male,73.0,Divorced
Rural,No,31.0,3.270896727070132,College,London,-0.5328071113027133,5237.059567720523,Male,55.0,Married
Urban,Yes,61.0,4.146975781831653,High School,Manchester,-0.0366907171312717,4434.133110786928,Female,67.0,Divorced
Urban,Yes,,7.161221168973516,College,Manchester,-0.3642937195074309,3778.279643918453,Male,37.0,Divorced
Suburban,Yes,56.0,5.0544168138517716,Graduate School,New Castle,-0.22975717959549496,4689.010235871852,Female,46.0,Divorced
Urban,Yes,55.0,7.611198494750303,Graduate School,London,0.38314138158131084,3911.789326979557,Female,61.0,Divorced
Rural,No,42.0,4.315890531788509,High School,New Castle,0.7883304820912562,4434.384470487817,Female,61.0,Divorced
Urban,Yes,50.0,6.4224016874590895,High School,London,0.501628606499666,3394.8798324064774,Female,98.0,Divorced
Urban,Yes,56.0,5.744618760503062,High School,New Castle,-0.009935941134047332,3584.0001694310054,Female,75.0,Single
Rural,No,40.0,5.915043963727516,High School,,0.004264019715617906,6269.810322812796,Female,53.0,Married
Urban,Yes,46.0,4.700436971993202,High School,Manchester,-0.15637358507766674,4156.978076600446,Male,94.0,Divorced
Urban,Yes,52.0,6.842854303941572,College,London,-0.3133198007697742,5719.659627440808,Male,54.0,Single
Urban,Yes,47.0,6.79370191779394,College,London,-0.39155261555593984,5132.74531156357,Female,38.0,Married
Urban,Yes,61.0,5.0930504732775415,High School,Manchester,0.27715425538933813,6278.0118422952055,Female,97.0,
Urban,Yes,61.0,3.7834770382182406,Graduate School,New Castle,0.623340495575848,5235.018116531235,Male,50.0,Single
Urban,No,54.0,6.855631866677711,Graduate School,London,0.18561945901189492,4929.59678947038,Male,58.0,Divorced
Urban,Yes,47.0,4.349532065304157,High School,New Castle,-0.12788967348944463,4026.948343586549,Female,54.0,Divorced
Rural,No,45.0,6.630135592694088,Graduate School,Manchester,-0.9939771400508266,3656.187356091668,Male,64.0,Single
Rural,No,48.0,4.246924982611265,College,New Castle,-0.29247296953171414,2910.158842882346,Male,67.0,Married
Rural,No,67.0,4.249635299866805,Graduate School,Manchester,0.05827646631110872,3759.138089699571,Male,74.0,Married
Urban,Yes,48.0,7.992977586641498,Graduate School,London,-0.09109144534549679,5320.950171468631,Male,55.0,Single
Urban,Yes,53.0,5.357897533094182,High School,Manchester,0.5033229120462699,7418.12221130995,Male,68.0,Married
Rural,Yes,59.0,5.225030768303533,College,New Castle,0.9504089574636587,3544.7146897665425,Male,,Divorced
Rural,No,58.0,4.934292868390825,College,New Castle,-0.15385870918151034,5553.036051176747,Female,79.0,Divorced
Rural,No,43.0,6.949445542033059,High School,London,0.0915399438249781,4630.004493657831,Male,60.0,Single
Urban,Yes,68.0,7.26272082121391,High School,New Castle,0.07196060522965447,5023.720418026147,Female,70.0,Divorced
Rural,Yes,41.0,3.427265952997865,Graduate School,Manchester,-0.9667332720304961,4999.086129942729,Female,51.0,Divorced
Rural,No,45.0,7.27717744743059,High School,New Castle,0.315458876521011,5248.508751675479,Male,56.0,Single
Suburban,No,44.0,7.819204018257346,High School,London,-0.5025892147406755,3904.4631033365813,Female,67.0,Married
Suburban,No,48.0,5.774441035885432,Graduate School,London,-0.7813095688140366,4512.922124081143,Female,67.0,Divorced
Suburban,Yes,43.0,4.256842049895088,High School,London,-0.6557189462630657,2735.2200902681375,Female,53.0,Divorced
Urban,No,73.0,4.324158155951247,High School,Manchester,-0.6934294535198631,4592.481291798055,Female,88.0,Divorced
Urban,No,56.0,6.127909152020101,High School,New Castle,0.5476098608722497,5850.229393678392,Female,72.0,Divorced
Urban,No,50.0,,College,London,-0.17670981059502416,5604.388592313082,Female,44.0,Married
Rural,No,64.0,5.313158757119939,Graduate School,London,0.19138637544827902,5649.44315405445,Male,69.0,Divorced
Rural,No,53.0,5.0524018002418325,Graduate School,London,-0.21314694292636477,3001.8778538471443,Female,73.0,Married
Suburban,No,53.0,6.445387897427341,College,New Castle,-0.3795740611433205,4145.17240495444,Male,66.0,Married
Rural,No,37.0,6.076801648305931,High School,London,-0.018040038704390193,2908.019931983981,Male,54.0,Married
Urban,Yes,57.0,5.991663593499736,,New Castle,-0.39820015428315514,4460.405426761322,Male,78.0,
Suburban,Yes,58.0,7.029232432135402,College,London,0.31199555902549614,5723.527834914402,Female,76.0,Divorced
Rural,Yes,52.0,3.9595187033691714,Graduate School,New Castle,0.10979944153303511,3530.262182885076,Female,83.0,Single
Suburban,No,39.0,6.868890481520039,High School,New Castle,0.28416720756618696,4829.530350896222,Male,57.0,Single
Urban,Yes,55.0,3.9883037938770416,High School,New Castle,-0.3291492233692001,4686.098780442195,Male,96.0,Married
,Yes,58.0,6.900928166470588,Graduate School,London,0.6949280935131027,3626.9327951667874,Female,100.0,Married
Rural,No,54.0,6.844780506727673,College,London,0.6732910646362998,4979.689221703786,Female,63.0,Married
Urban,No,58.0,5.176553862082262,High School,London,0.08936570622376316,5450.077294306028,Male,46.0,Single
Rural,No,49.0,6.726600047381013,College,New Castle,-0.7785885619869339,3436.6326304739728,Female,60.0,Divorced
Suburban,Yes,50.0,5.238701760469418,High School,New Castle,-0.1507905693194242,4372.1243192260035,Male,60.0,Divorced
Urban,Yes,47.0,4.354674515581545,College,London,-0.1628896817176063,4621.425101863053,Female,65.0,Divorced
Urban,Yes,53.0,5.605847310445475,Graduate School,Manchester,-0.4356250724482995,2984.0204535519133,Female,65.0,Divorced
Suburban,No,36.0,6.032208301167179,College,New Castle,0.2518729414796924,3693.6335244798324,,55.0,Married
Suburban,Yes,56.0,3.7219250839058184,College,New Castle,0.3282494689064822,5215.0595548219935,Male,64.0,Single
Urban,Yes,53.0,4.344281241865875,High School,,-0.16350068599669784,3986.312477792766,Female,87.0,Single
Rural,No,41.0,6.18058541900905,College,London,0.3398979588825244,4848.027278861094,Female,54.0,Divorced
Urban,Yes,46.0,4.352443118725539,College,,-0.2174188807588905,5642.558020422532,Male,72.0,Married
Suburban,Yes,45.0,6.158003309255767,High School,London,-0.07781223774440832,5850.663552624251,Female,56.0,Single
Suburban,Yes,51.0,5.852134784406579,Graduate School,New Castle,0.024228593239158047,6052.193917839015,Female,37.0,Married
Suburban,No,38.0,2.5026186435505124,High School,London,-0.6327904695809767,2407.556474854055,Male,51.0,Divorced
Urban,Yes,48.0,4.840708058482064,Graduate School,London,-0.7706897702862914,4439.878486972874,,49.0,Divorced
Rural,No,48.0,6.849960531903119,College,New Castle,-0.2309173673757044,5472.258929595502,Female,62.0,Divorced
Rural,No,63.0,4.629670083210797,High School,London,0.04961141909752531,5530.928755358821,Female,69.0,Divorced
Rural,No,51.0,6.062703133048863,Graduate School,Manchester,0.5360890582789868,6246.588527558686,Female,67.0,Married
Suburban,Yes,57.0,4.379943027787017,Graduate School,London,0.4247369603598564,6781.907851468,Female,61.0,Divorced
,Yes,46.0,5.079065948796635,Graduate School,Manchester,-0.2815903965238983,4461.3583035735055,Female,38.0,Married
Urban,Yes,55.0,3.898070372161187,High School,New Castle,0.3586038102326303,2167.489180353258,Male,73.0,Married
Urban,Yes,59.0,5.094912054864268,Graduate School,Manchester,-0.48177452958484535,5147.206151150936,Male,48.0,Single
Suburban,Yes,54.0,5.275214170055559,College,London,-0.052812283269586396,4033.5312553336794,Female,59.0,Divorced
Suburban,No,47.0,3.9695622135671105,High School,Manchester,0.17462140178612529,3348.070521128596,Male,54.0,Single
Suburban,No,54.0,5.3477061580894265,High School,London,0.4868955629080304,4865.41191350056,Male,69.0,Divorced
Rural,,44.0,6.933078513123373,College,London,0.07009835175152418,6497.137371177937,Female,58.0,Divorced
Urban,Yes,60.0,6.991963871298885,Graduate School,London,-0.298693921296987,3018.1901014019104,Female,39.0,Married
Rural,No,49.0,5.586823142622742,Graduate School,New Castle,0.44376705671845973,5339.302912892781,Female,50.0,Married
Rural,Yes,42.0,5.692472272944443,College,New Castle,-0.45875477850107094,2335.889898954448,Female,42.0,Divorced
Urban,Yes,71.0,4.719666853438398,Graduate School,Manchester,0.894481500812002,3974.426528918494,Female,90.0,Divorced
Urban,No,49.0,5.664954159045258,Graduate School,New Castle,-0.5872522846901076,3736.6062587434994,Male,63.0,Divorced
Suburban,Yes,47.0,5.972877998414778,High School,New Castle,-0.004224891183994106,4217.4077001035785,Male,104.0,Single
Urban,Yes,37.0,5.44027130701843,High School,New Castle,-0.5049820231912033,3990.3216754194627,Female,74.0,Divorced
Suburban,No,55.0,5.768346084893688,College,Manchester,0.4500757090952425,5143.685410732521,Female,79.0,Married
Suburban,No,31.0,6.512570189544206,Graduate School,New Castle,-0.3622436373852288,2539.567813050718,Female,56.0,Married
Rural,No,68.0,5.067205790079074,Graduate School,Manchester,0.07597619437565556,6209.73002593454,Female,71.0,Married
Urban,Yes,49.0,3.3387272913302386,College,London,,5685.399071577399,Female,99.0,Divorced
Suburban,Yes,45.0,5.9873241694915835,High School,New Castle,-0.4499824081255039,3856.647399370889,Female,75.0,Married
Suburban,Yes,53.0,7.041032661957762,College,London,0.250339255505162,4465.178094561142,Female,43.0,Divorced
Urban,Yes,47.0,4.827671672098054,College,New Castle,-0.8372617275321754,4335.392263304546,Female,71.0,Divorced
Urban,No,41.0,7.314586994806246,Graduate School,New Castle,-0.6753150163502419,4409.896111457746,Female,62.0,Married
Rural,Yes,42.0,6.638278593262354,High School,New Castle,-0.11102526797397322,4043.4496328697846,Female,56.0,Single
Urban,Yes,50.0,5.26162790650947,Graduate School,,0.29964165812295096,4569.940794305686,Female,52.0,Divorced
Rural,Yes,47.0,5.931086167155668,Graduate School,London,-0.5874529939296795,4931.105671800147,,71.0,Single
Suburban,No,66.0,6.161924294392247,College,London,0.18019096926234263,4767.933114580891,Female,70.0,Married
Urban,No,56.0,5.817212681348295,College,New Castle,0.5022949422253407,3944.033517846603,Male,71.0,Married
Suburban,Yes,50.0,5.993705044060973,High School,London,-0.12771119220020088,5000.337801972515,Female,51.0,Divorced
Suburban,No,61.0,4.343819226247888,High School,Manchester,0.5058770004619302,,Female,75.0,Divorced
Suburban,Yes,57.0,4.584688679324159,High School,New Castle,-0.1716081500265887,4897.8224205309325,Male,57.0,Married
Urban,Yes,53.0,4.947636337106212,Graduate School,Manchester,-0.39732221360333086,3933.757461299412,Male,62.0,Single
Suburban,Yes,48.0,5.054095667597782,High School,New Castle,0.1667032166262677,4481.061140960917,Female,46.0,Divorced
Suburban,Yes,52.0,5.147194326909165,College,,-0.06227797356998141,3045.6136616686117,Female,79.0,Divorced
Suburban,No,50.0,5.249639294600842,High School,London,-0.37213235916872034,4740.48450680579,Male,68.0,Married
Rural,No,49.0,5.366780171571085,,London,0.9775383514580314,3996.698447804,Female,54.0,Married
Urban,Yes,42.0,5.3916479251033,High School,New Castle,-0.265902826980306,5623.591265666322,Female,77.0,Divorced
Rural,No,32.0,4.495185725963192,High School,New Castle,0.5428141086384416,4898.891879421866,Male,50.0,Married
Suburban,No,41.0,5.1690727828628695,College,London,-0.21352803220867184,4219.396644344301,Male,64.0,Single
Suburban,No,53.0,8.520903106534409,Graduate School,New Castle,0.1886653547863265,,Male,59.0,Married
Urban,Yes,46.0,5.507151489892683,College,London,-0.38966943846502,5579.562665417584,Male,77.0,Single
Urban,Yes,57.0,5.514958678741904,High School,London,0.012254949887876287,4658.203082028616,Male,89.0,Married
Urban,Yes,42.0,3.3090790519947677,College,New Castle,-0.08723447375265769,4886.714201017634,Female,54.0,Divorced
Urban,,50.0,6.8000722015058725,College,Manchester,-0.11134356642354376,4898.347389518402,Male,67.0,Divorced
,Yes,46.0,4.623559606220292,College,Manchester,-0.1049400537205041,4135.2074134203895,Female,47.0,Single
Suburban,No,67.0,5.849373211273586,High School,Manchester,0.08166696704224874,5256.022428713946,Female,68.0,Married
Rural,No,43.0,7.8902451235319555,Graduate School,London,,3833.2362801712134,Male,68.0,Divorced
Suburban,Yes,57.0,5.430549792124695,Graduate School,London,-0.27109550428143375,2996.5172821362758,Female,74.0,Divorced
Urban,Yes,60.0,3.6868304486240686,High School,London,-0.7378972338495691,2917.7570804981915,Female,61.0,Divorced
Suburban,No,54.0,6.306468231546038,College,Manchester,-0.49717809191567597,5298.214398162098,Female,70.0,Married
Urban,Yes,50.0,4.3285060638458095,Graduate School,Manchester,-0.3017476195821887,5921.209361166823,Female,65.0,Married
Urban,Yes,44.0,4.869257653369488,College,New Castle,-0.6060223065460062,6629.979103895685,Male,,Single
Urban,,53.0,7.622355100264525,College,London,-0.218727635626638,4217.56807918904,Female,37.0,Married
Urban,Yes,43.0,7.536868047938121,High School,Manchester,-0.5985783710733804,3864.9767191395777,Male,50.0,Single
Rural,Yes,43.0,6.557162129302004,College,New Castle,-0.38825308660808455,5399.926349762933,Female,61.0,Divorced
Urban,Yes,58.0,4.809424746423729,College,New Castle,0.6418510305216315,,Male,108.0,Married
Urban,Yes,46.0,3.917220476577975,High School,Manchester,0.07516323659756097,,Female,76.0,Divorced
Suburban,Yes,43.0,5.4461241985552995,College,Manchester,-0.3989964139794823,5226.90665852377,Female,103.0,Married
Urban,Yes,50.0,4.731776975467512,College,New Castle,0.6321903981281698,2854.123081783392,Female,79.0,Single
Rural,No,32.0,6.909861984208102,Graduate School,New Castle,-0.07054329521347519,4754.323579158266,Male,57.0,Married
Suburban,Yes,49.0,6.4454771652230765,College,London,0.38333356571613986,5032.374743755115,Female,,Single
Rural,No,48.0,5.316275448622621,High School,Manchester,-0.6809629446184099,6038.246163486787,Male,80.0,Married
Suburban,No,52.0,6.0738321660167625,High School,Manchester,-0.04764002848068383,5856.334726162937,Male,61.0,Married
Urban,Yes,50.0,5.637161098870752,High School,Manchester,,4989.913537216109,Male,55.0,
Suburban,No,56.0,6.253547751761689,Graduate School,New Castle,0.2422233842901761,4060.546760640046,Female,80.0,Married
,Yes,47.0,3.867921679757124,College,Manchester,0.5429683848125315,4535.5059227231595,Female,60.0,Single
Urban,No,60.0,4.867483136906426,Graduate School,Manchester,-0.5764603985103847,5900.203872226832,Female,81.0,Married
Suburban,No,37.0,4.065641975972591,High School,London,-0.4155863621509058,4440.651819769512,Male,63.0,Divorced
Suburban,,60.0,4.891936740312093,College,Manchester,0.7279087057099087,6001.661695622791,Female,98.0,Divorced
Suburban,Yes,61.0,6.285900784336001,College,Manchester,,3711.6599399380093,Female,113.0,Divorced
Urban,Yes,53.0,4.2458186461646825,Graduate School,Manchester,1.0096174785732477,4081.1518890843186,Male,101.0,Single
Suburban,Yes,44.0,5.083826557238888,Graduate School,New Castle,-0.2811530052495956,4581.716594015666,Male,77.0,Single
Suburban,Yes,30.0,3.5303831080341443,High School,New Castle,-0.43162642543523944,2718.528018773006,Male,74.0,Single
Rural,Yes,56.0,6.230531256880118,Graduate School,Manchester,0.6713079293748637,4446.080283034325,Male,27.0,Divorced
Suburban,No,44.0,5.541713602407369,Graduate School,New Castle,-0.8361749183980329,3558.6657476580767,Male,66.0,Married
,Yes,47.0,3.879782124520889,College,Manchester,0.39494625538260886,5535.89779633079,Male,87.0,Divorced
Urban,Yes,38.0,4.485056667842132,High School,New Castle,-0.636088937684669,2817.8117141132852,Male,57.0,Single
Urban,No,48.0,5.151365642945172,Graduate School,New Castle,-0.9115657469673967,5345.156517319898,Female,63.0,Divorced
Rural,Yes,47.0,4.9543735340608555,High School,London,-0.6418924383604379,3082.0919526876414,Male,60.0,Single
Urban,No,66.0,4.87286539699853,High School,London,0.7977150013105792,4292.3241124132,Female,66.0,
Suburban,No,67.0,4.780931421925492,Graduate School,Manchester,0.4211475642643807,5349.7616003335825,Female,79.0,Married
Rural,No,49.0,7.462780655726628,Graduate School,Manchester,-0.4342372822826615,2010.9089752747818,Female,67.0,Divorced
Urban,Yes,43.0,3.8356854537186784,College,Manchester,-0.07432140058771267,4141.774035875678,Female,88.0,Single
Urban,Yes,51.0,6.695167741233548,High School,Manchester,-0.14432048519940363,3610.183755012116,Female,60.0,Divorced
Suburban,Yes,53.0,8.737531551400387,College,New Castle,-0.5096168290274201,6189.748084416122,Female,92.0,Single
Suburban,No,39.0,6.016109618489045,High School,Manchester,-1.0722905095019823,4386.016137954008,Female,55.0,Married
Urban,Yes,55.0,4.97558976238196,High School,London,-0.1515782958429097,6029.14670488391,Female,95.0,Divorced
Urban,Yes,50.0,4.956919942681743,College,Manchester,-0.15512893354820753,4322.35958519114,Male,59.0,Single
Rural,Yes,56.0,5.826276184673539,High School,London,0.7466023690578281,4567.588781388094,Female,55.0,Single
Urban,Yes,58.0,3.6344946973292656,High School,Manchester,0.2649643257412372,3971.1311918620822,Male,91.0,Divorced
Suburban,Yes,54.0,5.622413525268585,High School,Manchester,0.14452701334105406,6553.400721736369,Male,41.0,Single
Urban,Yes,40.0,6.359639514426769,Graduate School,London,-0.972133055517891,4830.394576508221,Male,68.0,Divorced
Urban,No,45.0,5.326091808301296,College,New Castle,,3970.0433465392234,Male,63.0,Married
Suburban,Yes,62.0,4.085460659538732,College,London,0.4958402561162498,4162.101110419665,Female,61.0,Divorced
Urban,Yes,56.0,6.21142536614423,High School,New Castle,-0.331846197127491,4956.595315575487,Female,56.0,Divorced
Suburban,Yes,51.0,6.735517417922035,High School,Manchester,0.04321118789504136,4132.479557540608,Male,90.0,Divorced
Suburban,Yes,,4.876673947021634,High School,Manchester,-0.015784243180313795,4629.513135939048,,58.0,Married
Urban,Yes,34.0,6.769305950747127,College,New Castle,-0.6074274717765051,4264.016461097265,Male,59.0,Divorced
