Years after high school graduation,Renew,Active online hours,Monthly Income,Marital Status,Location Code,Brand Loyalty,Education Level,City,Years with Company,Gender
15.0,No,9.276334460174512,3744.466396665861,Married,Rural,0.7677442318058083,Graduate School,New Castle,3.0,M
42.0,Yes,7.531080585197913,5423.87119433743,Divorced,Urban,0.23608762090677501,High School,London,3.0,M
22.0,Yes,4.583389876172028,5221.6040697702865,Divorced,Urban,0.5737800468884492,High School,New Castle,5.0,M
24.0,No,7.810254778207952,1956.5747551614868,Married,,0.19992970936517407,Graduate School,Manchester,7.0,F
26.0,Yes,5.404240243616303,4357.297964189452,Divorced,Suburban,-0.9654434051720502,Graduate School,New Castle,1.0,F
47.0,Yes,4.353443657371415,5332.165660595392,Single,Suburban,0.30579882423964344,High School,Manchester,6.0,M
37.0,No,6.135696322061839,5691.516198572675,Married,Suburban,0.47642788262945024,College,London,2.0,M
27.0,No,6.381735650372047,4185.148155261559,Married,Urban,,High School,New Castle,4.0,F
24.0,Yes,4.56034125492185,4396.265127548686,Divorced,Urban,0.30013525062808905,Graduate School,London,3.0,M
35.0,No,5.255508192920491,6346.854479485915,Married,Rural,0.5686195243668462,High School,New Castle,2.0,F
32.0,Yes,5.7593309647082025,4865.664413972576,Divorced,Urban,-0.10801022944282263,High School,London,4.0,M
35.0,No,4.99482985467459,5848.203239986186,Married,Rural,-0.14132045343514588,Graduate School,New Castle,1.0,F
27.0,No,5.793929717822313,5810.954448155593,Married,Rural,0.49474819185066,Graduate School,Manchester,3.0,M
10.0,No,4.9970996925897,5324.997977135535,Divorced,Rural,0.21338402894722597,Graduate School,London,3.0,M
31.0,Yes,4.550775840630619,6354.99718961378,Single,Suburban,-0.281176744447426,Graduate School,New Castle,3.0,F
18.0,Yes,5.068790436618971,4104.129273068966,Divorced,,0.2293286358632343,Graduate School,Manchester,4.0,F
43.0,No,7.169489926257353,4353.179178350469,Divorced,Rural,0.2205017553282987,College,London,4.0,M
,Yes,3.8628496993218313,4818.8730343634015,Single,Suburban,0.06392333603060468,Graduate School,London,5.0,M
25.0,Yes,5.806657142112509,3993.141624869094,Single,Urban,-0.3921377764157976,College,London,4.0,F
31.0,Yes,4.7665994934401255,4892.220326288203,Single,,-0.03691986169548417,Graduate School,London,4.0,F
19.0,No,6.7540386332783955,4400.066194965639,Married,Suburban,0.30047634508072496,High School,Manchester,4.0,F
21.0,Yes,4.763791827439235,3416.8561086334666,Divorced,Urban,0.29490280139813535,High School,New Castle,4.0,F
38.0,No,5.3009135363076965,5191.222784769329,Married,Rural,0.1705132034124655,Graduate School,London,4.0,
29.0,Yes,4.846943674209083,3987.6378926187826,Divorced,Urban,-0.362332219964169,Graduate School,London,4.0,M
6.0,Yes,5.461193268175166,6358.074988174048,Married,Suburban,0.14184046107268714,Graduate School,New Castle,3.0,F
28.0,No,5.7371987611769875,5344.851431429523,Married,Urban,0.3160353639529584,Graduate School,New Castle,2.0,F
23.0,Yes,4.135934276166729,4611.740622289559,,Urban,0.4786405937598261,Graduate School,London,6.0,M
28.0,No,6.513162073147723,5387.30151660794,Married,Rural,0.7298689316944641,College,New Castle,3.0,F
30.0,Yes,8.075239130795117,3229.1458655194574,Single,Rural,-0.06516988007400298,Graduate School,Manchester,1.0,F
18.0,No,5.147534644877004,5373.477998842138,Married,Urban,0.1942885776706163,College,New Castle,3.0,F
14.0,No,5.894805948152333,5534.352844761428,Divorced,Urban,0.9688509061447154,High School,Manchester,6.0,F
30.0,No,7.356467869298515,3055.0911640262884,Married,Rural,0.4558034511166335,College,Manchester,7.0,F
23.0,Yes,3.2334719228970914,4016.3537617242832,Divorced,Suburban,0.3837272535522367,College,London,5.0,M
35.0,Yes,4.1030481706581545,4953.891490604478,Divorced,Rural,0.10331716643432706,Graduate School,Manchester,5.0,M
14.0,Yes,5.522751292091504,5495.243384663762,Divorced,Urban,-0.8047729373152005,High School,New Castle,2.0,M
25.0,Yes,6.849351757099281,5118.927477135789,Divorced,Suburban,-0.2223046367411144,High School,London,2.0,M
28.0,No,6.202278718248308,4234.547340619787,Married,Rural,0.029777848257632494,Graduate School,Manchester,4.0,F
,No,5.14050824040303,4771.878036575544,Married,Rural,-0.2073527326928547,High School,Manchester,4.0,M
17.0,Yes,4.838602257859504,4873.172938420724,Divorced,Rural,0.19689348145868985,Graduate School,New Castle,6.0,M
39.0,Yes,,2928.9139149530993,Divorced,Suburban,0.6627608286698414,College,London,6.0,M
37.0,No,5.270357380016844,6418.456599343675,,Rural,0.6555172205112342,High School,Manchester,2.0,M
26.0,Yes,4.530469485494993,4901.963733470286,Divorced,Urban,0.3062497185831111,Graduate School,Manchester,4.0,M
27.0,No,5.903109751139708,3891.5611906714767,Divorced,Urban,0.29938402575911105,High School,London,5.0,M
32.0,Yes,6.001233480328166,3938.196213816308,Divorced,Urban,-0.563209495519601,Graduate School,Manchester,2.0,F
27.0,Yes,4.7124917244006745,2923.108586672999,Single,Urban,0.7288075908163184,High School,New Castle,2.0,F
22.0,Yes,,4395.462351178464,Divorced,Suburban,-0.11824713385759195,Graduate School,New Castle,1.0,F
29.0,No,4.782105035642665,6377.717270381293,Married,Suburban,0.9780000244503138,High School,Manchester,4.0,M
31.0,No,3.4196945791955984,6941.291064878784,Divorced,Suburban,0.5000221256576179,College,London,4.0,M
25.0,No,7.589057137434043,3401.005421548768,Married,Rural,0.18371193360164306,College,New Castle,2.0,M
21.0,No,4.722975375635559,4593.680943865302,Divorced,Suburban,0.06182548189736334,College,London,,M
33.0,Yes,3.4617124246571667,5366.204873842976,Divorced,Urban,-0.08451943668730078,Graduate School,New Castle,4.0,M
34.0,Yes,5.443769501128752,2635.934836421553,Single,Urban,0.5262624194943711,High School,New Castle,3.0,M
36.0,No,6.523304699797206,6001.444187988996,Married,Rural,0.9360802508775943,High School,Manchester,3.0,M
33.0,Yes,5.132527308877662,3297.975529126774,Single,Urban,0.24261710291908392,High School,New Castle,3.0,M
30.0,No,7.309020068929233,2876.3723811692557,Married,Suburban,0.2103847247860949,Graduate School,Manchester,5.0,F
30.0,Yes,4.790182752300972,5749.621226338873,Single,Suburban,-0.6336159631172895,Graduate School,Manchester,,M
25.0,Yes,6.197139118077124,4282.330771828777,Divorced,Urban,0.4227776731393425,High School,Manchester,4.0,
,Yes,5.970790668295616,4726.213473134869,Single,Urban,-0.43941046991041044,High School,London,3.0,
40.0,Yes,5.123111593737088,2951.932446474417,Divorced,Urban,0.6213923411200396,Graduate School,New Castle,6.0,F
29.0,No,6.378451816004398,3806.718327343643,Divorced,Rural,0.28279032930800285,College,Manchester,6.0,M
35.0,No,3.6900028962788225,5414.270295234801,Divorced,Suburban,-0.01713784416427594,Graduate School,New Castle,5.0,F
20.0,No,6.879132747842017,2942.4449161305333,Married,Rural,0.2823482158864338,College,Manchester,7.0,M
34.0,No,6.345580108549747,4479.240743713658,Divorced,Suburban,-0.3513052709225749,High School,London,3.0,F
37.0,Yes,3.3289140858895383,4562.908683668518,Married,Urban,0.23357900584754035,College,Manchester,5.0,M
17.0,Yes,6.584336127298753,5351.646248073197,Divorced,Suburban,-0.050642156670957256,High School,New Castle,3.0,M
11.0,Yes,2.93664421903681,7180.713335061107,Divorced,Urban,-0.12936523495469576,College,Manchester,7.0,F
23.0,Yes,6.2617028436160735,5653.2661762050575,Single,Suburban,-0.4843417607908883,College,New Castle,3.0,F
39.0,Yes,2.830193997836701,5122.412201980059,Divorced,Urban,0.17590048890608914,High School,Manchester,5.0,F
19.0,Yes,2.6058377216885193,4664.653086082587,Divorced,Suburban,-0.09295989033302055,College,London,4.0,F
28.0,Yes,5.430715010822868,5446.880159544085,,Urban,-0.38004216127315105,High School,London,3.0,M
23.0,Yes,,4916.651956957844,Single,Suburban,-1.0007047132087936,Graduate School,London,2.0,M
48.0,Yes,2.57055169717542,3832.7344621830844,Married,Rural,-0.24898414616967374,College,New Castle,5.0,M
21.0,Yes,3.0718099205237404,4954.4928615427025,Single,Urban,-0.19705994672103566,College,London,4.0,M
40.0,Yes,3.3564491102120124,6572.524424564004,Divorced,Rural,0.04179766075681718,College,London,6.0,M
27.0,Yes,3.7965729896867275,5232.925698883102,Single,Urban,0.6400102449052705,College,London,7.0,F
27.0,Yes,5.10470505421592,5651.007612913606,Single,Rural,-0.06690157648432873,Graduate School,Manchester,3.0,F
31.0,No,6.5498571940642405,4275.906174968699,Married,Rural,0.13222175633715538,College,New Castle,4.0,F
16.0,Yes,5.132152898794196,3871.8810535479556,Single,Urban,-0.03331235300539942,College,London,,M
19.0,Yes,3.670236438781318,4241.231568868449,Married,Urban,0.11076212484753238,High School,Manchester,3.0,F
27.0,No,7.765112676004199,4628.724953031633,Married,Suburban,0.9094964546171592,College,New Castle,4.0,M
16.0,No,5.106188987369106,4588.949335638274,Married,Rural,0.9272201921004362,High School,Manchester,8.0,M
30.0,No,9.022795028403586,2699.1986572068085,Married,Suburban,0.18636511384829704,College,New Castle,4.0,M
27.0,No,5.70073115724371,4294.009143890962,Married,Urban,0.34494608193076565,High School,New Castle,4.0,F
32.0,Yes,4.405322804765818,2805.5798145326735,Single,Urban,-0.5834850974512662,High School,London,3.0,M
13.0,No,5.86339306179104,4763.462993743025,Married,Suburban,0.687582415903217,College,Manchester,5.0,M
19.0,Yes,3.7950678395864554,4520.18512259019,Divorced,Urban,-0.1956295461846555,High School,New Castle,5.0,M
24.0,Yes,4.64993039448764,4682.200869700875,Married,Urban,0.30161319637708633,College,Manchester,6.0,M
36.0,Yes,3.3447741541080074,4289.613749090632,Single,Urban,0.4333052453348564,Graduate School,London,6.0,F
30.0,Yes,4.4307389983218375,2578.805459672899,Divorced,Urban,0.04501658649544378,College,London,3.0,M
26.0,Yes,7.2024378938931175,5077.706552458481,Single,Urban,0.10688943937056147,,New Castle,4.0,M
25.0,No,4.337710861669288,5740.531498073387,Married,Rural,-0.04206988468618597,High School,London,4.0,M
27.0,Yes,4.14499300462529,4388.106386494103,Married,Urban,-0.028088023725498817,College,,4.0,M
37.0,Yes,5.4013160623262335,4525.738549829453,Divorced,Suburban,-0.5145145861515389,Graduate School,London,3.0,M
25.0,No,8.050201818963117,3480.1803903935725,Single,Rural,0.8438248376398215,Graduate School,Manchester,5.0,M
22.0,Yes,4.742728552649759,4902.761984333845,Single,Urban,-0.24338044454982727,High School,Manchester,3.0,M
24.0,,5.286860258794698,,Married,Suburban,0.36955349896369194,High School,Manchester,5.0,F
36.0,Yes,4.611596042272604,5832.657919178044,Single,Rural,-0.4207575219507955,High School,,4.0,M
25.0,Yes,4.776818198041258,4891.808266778289,Divorced,Suburban,-0.29336981968956655,College,London,4.0,M
29.0,No,5.458312363378072,4282.853650077668,Single,Rural,-0.15058462664779504,High School,Manchester,4.0,F
35.0,Yes,4.404320884110964,3149.6465912988656,Married,Urban,0.32737750242781205,Graduate School,Manchester,5.0,F
15.0,Yes,5.874552887493608,3743.49075904957,Divorced,Urban,0.23057638298031902,College,London,4.0,M
16.0,No,6.565215125806693,5310.532501908033,Single,Rural,0.8927158782343158,Graduate School,New Castle,4.0,M
31.0,,3.149248401993181,4432.588163736225,Divorced,Urban,0.7276927376223189,High School,New Castle,6.0,F
43.0,Yes,4.469550079284057,3582.665692171926,Single,Suburban,0.2489215296212506,Graduate School,London,4.0,F
27.0,Yes,4.091553252361615,4549.710624050595,Divorced,Urban,0.03340670123188477,College,Manchester,4.0,M
32.0,Yes,3.9749045410890553,5449.374391525343,Single,Suburban,0.03748527318431219,High School,London,4.0,F
26.0,No,5.740513639830837,5125.708216006184,Married,Rural,0.3347710870756681,Graduate School,London,4.0,F
38.0,Yes,4.858174026106115,5367.388195296118,Divorced,Rural,-0.28439493555955137,High School,New Castle,4.0,F
39.0,No,7.441903576348819,2609.1572906534134,Married,Rural,0.8184848354898785,High School,London,9.0,F
20.0,Yes,2.7604275189994594,3882.755641492289,Divorced,Suburban,0.6880396961035977,High School,New Castle,5.0,M
18.0,Yes,4.037659333436271,4239.786640601893,Divorced,Suburban,0.11221688790577088,College,New Castle,7.0,M
32.0,No,6.317964481193196,3971.3301887412345,Married,Rural,-0.09076809129207225,High School,New Castle,4.0,M
27.0,No,4.940797105237532,4771.412729468371,Married,Suburban,0.09318091929134623,Graduate School,New Castle,4.0,M
21.0,Yes,5.458804386913552,4413.810812803249,Single,Suburban,-0.5028093243623278,College,London,3.0,M
25.0,Yes,4.688290366140862,4521.663552398844,Single,Urban,0.4337452628151788,High School,Manchester,5.0,F
35.0,Yes,6.791800251193631,5102.4405064092325,Divorced,Rural,-0.26401154182010655,College,Manchester,2.0,F
25.0,No,,4878.90849085801,Married,Suburban,0.31750335035303234,High School,New Castle,5.0,F
23.0,Yes,5.016674106908128,3536.980303681932,Married,Rural,0.1389495647667291,Graduate School,New Castle,4.0,F
32.0,Yes,3.263928530721522,,Single,Urban,0.7315494873717251,College,Manchester,7.0,F
21.0,No,6.599709201952056,5535.444875699988,Married,Rural,0.8366130634728436,High School,London,3.0,F
23.0,No,6.815793099676203,4304.415935263805,Married,Rural,0.3894578521132319,High School,New Castle,3.0,F
20.0,Yes,5.217864996854216,3639.4198932924946,Divorced,Urban,0.07601711400410183,High School,New Castle,3.0,F
26.0,No,4.472993334280658,5449.699771813183,Married,Rural,0.17102357350002018,College,Manchester,5.0,M
30.0,No,6.043530115126103,5133.016142351446,Divorced,Suburban,0.7104970199900804,,Manchester,4.0,F
14.0,Yes,5.031528302142133,5711.192335901082,Married,Urban,0.10551774190490917,College,New Castle,5.0,F
13.0,,7.197908704454839,4268.291286911671,Divorced,Rural,0.15871011685657607,Graduate School,Manchester,2.0,F
25.0,Yes,3.7907528154395296,4198.173008302162,Single,Rural,0.9203576429404298,High School,New Castle,5.0,
36.0,No,8.096554312782299,3730.0337894554673,Married,Rural,0.6459250323117586,High School,New Castle,4.0,F
26.0,Yes,5.941490421193547,3673.999106449457,Divorced,Urban,0.18481031142219026,High School,Manchester,3.0,F
26.0,Yes,3.8955068748137824,5616.404020976828,Divorced,Urban,-0.41697457627347934,College,New Castle,5.0,F
29.0,Yes,4.445159265548648,4501.1771325757845,Married,Urban,1.293371254032427,High School,Manchester,6.0,M
36.0,No,5.382315435247861,4627.9442525321965,Single,Urban,0.24096432718715546,College,New Castle,5.0,M
35.0,Yes,3.436137834703597,4990.105006094254,Divorced,Suburban,-0.17318765505620348,High School,New Castle,2.0,M
,Yes,6.109878505874104,4799.470646678188,Divorced,Rural,-0.19328905248034944,High School,London,4.0,F
17.0,Yes,5.579743792551999,,Married,Urban,-0.011150253981155017,Graduate School,New Castle,3.0,F
35.0,Yes,5.283287047557893,4580.984088275668,Divorced,Urban,-0.027509916146924246,Graduate School,New Castle,4.0,F
27.0,No,4.649772622160347,5230.567930564144,Married,Suburban,0.13348058667677654,High School,London,6.0,M
30.0,No,8.122706014328442,2779.409367571225,Married,Rural,0.41959589406863973,Graduate School,Manchester,5.0,M
23.0,Yes,4.313506424857578,3678.664013147529,Divorced,Urban,-0.15977002464010243,College,Manchester,4.0,M
34.0,No,6.472137959706696,3161.3262445413807,Married,Rural,0.3795209558064827,College,London,7.0,M
30.0,Yes,3.6726816281089483,5041.9349169521465,Divorced,Rural,-0.2285582208434095,Graduate School,London,6.0,M
19.0,Yes,4.626936287138734,6583.97263154018,Divorced,Urban,-0.4060418205192081,High School,London,5.0,F
31.0,Yes,3.9394726736459313,5494.749579881609,Divorced,Rural,0.060836506320198436,College,Manchester,5.0,M
35.0,Yes,3.9943326375046198,5107.115224447017,Divorced,Urban,0.4059260940593262,Graduate School,Manchester,4.0,M
29.0,Yes,2.075410900407511,5290.326245510644,Single,Urban,0.6049287651671702,High School,New Castle,7.0,M
30.0,Yes,4.672248363507503,4536.762827862639,Married,Suburban,,High School,London,4.0,M
25.0,Yes,5.501816427880342,5008.186236180998,Single,Suburban,0.09063535540560132,Graduate School,London,3.0,M
17.0,No,5.3631592842363345,,Married,Rural,-0.0659395710174624,Graduate School,New Castle,3.0,M
32.0,No,5.73422488609118,5566.133309124092,Married,Rural,1.0264395332611898,Graduate School,New Castle,5.0,M
15.0,No,7.336929902045929,4635.799069428595,Divorced,Rural,0.2541878629107698,Graduate School,New Castle,3.0,F
29.0,No,5.423895952219368,5563.216745835915,Married,Rural,0.6569669283949704,High School,New Castle,4.0,F
33.0,No,7.756303625690911,3769.8896710406193,Divorced,Suburban,0.5340252864097536,High School,Manchester,5.0,M
18.0,No,7.174422498144421,3856.024460260751,Married,Rural,0.0007800105133963509,Graduate School,Manchester,4.0,M
39.0,Yes,3.6295509035946525,5245.674329992319,Divorced,Urban,-0.6854062765491862,High School,New Castle,4.0,M
33.0,No,7.0796320375892305,4757.840863059758,Divorced,Rural,0.6347765338661868,College,Manchester,3.0,M
29.0,No,2.5273302674974043,6188.439861192217,Married,Rural,-0.36514319513795224,High School,London,4.0,F
17.0,No,6.361680075442257,5040.17089209883,,Rural,0.5413573738438903,College,New Castle,3.0,M
36.0,Yes,4.027710508597176,4377.984606586805,Divorced,Suburban,0.02608887606174884,College,Manchester,4.0,F
35.0,No,4.370812975992977,6053.061292398911,Divorced,Rural,-0.02794009099667355,Graduate School,London,2.0,M
32.0,Yes,5.795408783464351,6783.892910713329,Married,Urban,-0.009201859147593694,Graduate School,New Castle,4.0,M
35.0,Yes,5.687028210111211,3545.6606242725024,Divorced,Urban,0.1877463584543335,Graduate School,New Castle,2.0,M
20.0,No,5.473649880429711,4059.356274445345,Married,Rural,0.04858080584366563,College,London,5.0,M
17.0,No,4.5250335958600285,4717.978611144063,Married,Rural,0.1556274320523975,Graduate School,London,7.0,M
54.0,No,7.515192145303228,4062.2153627067437,Divorced,Rural,0.30737421197035053,High School,New Castle,2.0,M
25.0,No,7.686510256894794,3867.7528443706115,Divorced,Rural,0.7390998528319743,High School,New Castle,4.0,M
24.0,Yes,3.423613322799826,4877.21042081534,Divorced,Suburban,0.06414412827993549,Graduate School,New Castle,5.0,M
,Yes,5.640854073653579,5009.970240073471,Divorced,Rural,-0.4494835591883837,College,London,4.0,F
27.0,Yes,7.035978844006271,3538.257887511624,Divorced,Urban,-0.03212711272276117,College,Manchester,2.0,F
36.0,No,6.7882585892866505,3591.9126027402604,Married,Rural,0.46801755260757005,Graduate School,London,6.0,F
29.0,No,7.431840170822378,2753.7375804406706,Single,Rural,0.33598007827691356,Graduate School,Manchester,7.0,F
18.0,No,5.119688542428087,4987.039505142783,Single,Suburban,0.34398568843389776,Graduate School,New Castle,5.0,M
36.0,Yes,3.8400427166484636,5613.8450364547025,Single,Suburban,-0.05321872206954639,College,New Castle,5.0,F
21.0,No,5.307723145198002,6231.474783649193,Married,Urban,0.7434164407802212,College,New Castle,4.0,F
19.0,Yes,5.675297783286947,3634.0986373212654,Divorced,Urban,0.27873710767440707,High School,New Castle,5.0,M
26.0,Yes,3.442534490638596,3196.995982329331,Divorced,Suburban,1.0601959405878674,College,New Castle,7.0,F
31.0,Yes,4.436278725792786,3807.4983908576305,Divorced,Urban,0.7431233981786922,High School,New Castle,3.0,F
35.0,No,6.666684601681582,3577.0033043870717,Married,Rural,0.9107775176735049,College,Manchester,7.0,M
17.0,No,4.905546225769411,5967.139991426182,Married,Suburban,0.17681878520105207,College,London,4.0,F
44.0,Yes,3.842102551431906,6297.131590536091,Married,Suburban,-0.36188229974766817,High School,New Castle,6.0,F
21.0,Yes,5.0602380945362695,,Divorced,Rural,0.2799373234576121,High School,New Castle,3.0,F
31.0,No,8.591348453334577,3342.7448056949556,,Suburban,0.8227950161283509,College,London,5.0,F
39.0,No,4.205178547067338,5436.597398215083,Married,Rural,0.14357785522743866,College,New Castle,5.0,M
38.0,Yes,3.8541715016588958,4344.267473444734,Single,Urban,0.15279936836109267,High School,New Castle,5.0,M
28.0,Yes,3.732113310154294,4762.46320569284,Divorced,Urban,0.15780189172817252,College,London,6.0,F
34.0,Yes,6.213329786964655,5656.537111009073,Single,Urban,-0.20297659808352048,Graduate School,Manchester,4.0,M
47.0,Yes,2.8994107093914656,4905.628840984496,Single,Suburban,-0.22028223940206648,Graduate School,Manchester,6.0,M
24.0,No,4.680670585251116,6191.020744314932,Divorced,Rural,0.2138418448614204,College,New Castle,2.0,M
41.0,No,5.976268858355155,5426.238631475949,Married,Rural,1.0620918647463355,High School,New Castle,6.0,F
22.0,Yes,5.1262266340110925,5460.210890220296,Divorced,Suburban,-0.25129509174447207,High School,London,5.0,
38.0,No,4.79314414668022,6080.812461334549,Divorced,Rural,0.1888557225219444,Graduate School,New Castle,3.0,F
24.0,No,5.150972290671493,6185.71895793773,Married,Suburban,0.7453116071649541,Graduate School,Manchester,3.0,M
44.0,Yes,5.5862667739178455,3371.0913778176496,Divorced,Urban,-0.10612756132060724,Graduate School,Manchester,3.0,F
49.0,No,5.276553164206513,7260.420525024715,Divorced,Rural,1.143130093863687,High School,London,4.0,M
26.0,No,4.936705557471351,,Married,Rural,0.12518006192799025,College,London,4.0,M
32.0,Yes,5.938364893889804,3563.7879343433933,Divorced,Suburban,0.48580212813633095,Graduate School,New Castle,4.0,F
40.0,Yes,4.275177370649335,6652.058316489416,Single,Urban,-0.3959821120193022,,New Castle,5.0,F
21.0,Yes,6.017990948973344,4284.813485094476,Married,Urban,-0.1401529042782393,High School,London,5.0,M
33.0,Yes,4.580493417566489,4325.917216328122,Divorced,Urban,0.40590236405548463,,Manchester,5.0,M
26.0,Yes,6.025079092988403,,Single,Urban,0.42159637503081315,College,New Castle,5.0,M
28.0,No,6.116660330943034,5782.009954130092,Single,Rural,0.6472691444375465,Graduate School,Manchester,3.0,M
22.0,Yes,3.333272422737592,3700.2045718363756,Married,Suburban,0.5354949089515504,High School,New Castle,6.0,F
24.0,Yes,4.081013559556932,3986.9605682202314,Single,Suburban,0.13627945726809076,Graduate School,London,3.0,F
