Sex,Renew,Marital Status,Years after high school graduation,Location Code,Monthly Income,Education Level,Online Activity,Brand Loyalty,City,Years with Company
F,Yes,,27.0,Urban,3859.455922597241,High School,4.04614033138562,0.9504834052050654,Manchester,5.0
M,No,Married,35.0,Rural,4507.087649788818,Graduate School,5.825580933527637,0.48164996564367724,Manchester,6.0
M,Yes,Married,47.0,Suburban,3195.8433240959466,College,5.733086198790233,-0.08920145134094697,Manchester,5.0
F,Yes,Single,35.0,Urban,2390.558513174764,College,6.242188522857809,0.27244276621748503,London,4.0
F,Yes,Divorced,15.0,Suburban,3958.408919707752,Graduate School,5.596218727886431,-0.2628284484239869,Manchester,5.0
F,Yes,Single,19.0,Urban,5015.775350965067,College,6.587277753006671,0.2803915278858651,London,4.0
M,No,Married,33.0,Suburban,5186.171800231508,High School,6.835476923438271,-0.23647008651351084,London,2.0
F,Yes,Married,13.0,Suburban,4449.29897377854,High School,4.501971775529654,-0.581244374723573,New Castle,4.0
M,No,Married,29.0,Rural,4130.844497012222,Graduate School,5.70749679432658,-0.08679996662837434,London,3.0
F,Yes,Single,28.0,Suburban,3929.4865081813696,Graduate School,5.411331848666647,0.057751419666319595,Manchester,4.0
M,No,Married,37.0,Rural,4874.39058677423,High School,7.031583101516826,-1.3799542835190264,New Castle,4.0
M,No,Divorced,38.0,Urban,3956.472399907396,Graduate School,7.365963417217427,-0.2983314153647234,New Castle,5.0
F,No,Divorced,22.0,Rural,5618.057462401328,Graduate School,8.070191420231025,-0.23124365731342586,London,1.0
M,Yes,Married,35.0,Suburban,4241.144384215347,College,6.425089677516232,-0.4201663911104293,London,4.0
M,No,Married,26.0,Rural,5980.250560245542,High School,8.394798897860849,0.1845249816739849,London,3.0
M,No,Single,23.0,Suburban,3097.392281823456,High School,2.67873181005821,-0.4923393769067839,New Castle,3.0
F,Yes,Single,30.0,Rural,3898.0536269927893,Graduate School,4.954648939046639,0.4343624214993379,London,2.0
F,Yes,Single,36.0,Urban,3257.176100377863,High School,5.269500012193206,-0.2866613246064125,New Castle,6.0
F,Yes,Married,,Suburban,3045.168770049778,Graduate School,5.507469754763617,-0.48016420481931804,London,7.0
M,Yes,Divorced,20.0,Suburban,4249.0147001519035,,5.325234297324188,-0.7688176854674571,New Castle,5.0
F,No,Married,40.0,Rural,5360.409689348699,High School,7.138183599207017,0.926364159467702,,3.0
F,No,Married,15.0,Rural,6425.019769455073,Graduate School,9.076043368057565,0.10364077325095201,Manchester,3.0
M,No,Divorced,32.0,Rural,5805.691458342099,Graduate School,7.354137355858451,0.589778035121093,New Castle,
F,Yes,Single,38.0,Urban,2618.2166779279205,High School,7.199737107842016,-0.1113005266121166,Manchester,5.0
F,Yes,Single,47.0,Urban,2602.528281395617,College,3.6181823351638753,-0.14477296644096593,London,2.0
M,Yes,Divorced,,Suburban,,High School,5.571832706536042,0.20981008825802017,London,1.0
F,Yes,Single,14.0,Suburban,5072.12132232784,College,4.060575564912999,0.36551962236206414,London,6.0
F,No,Single,34.0,Suburban,3049.208015822668,Graduate School,6.625493735017518,0.017439935087609253,Manchester,5.0
F,Yes,Married,27.0,Urban,3984.7623474250754,Graduate School,5.595886640335321,-0.31297806224519553,London,5.0
F,Yes,Single,44.0,Urban,2622.0020415849153,Graduate School,4.991742250343586,0.18492146661999756,New Castle,
M,Yes,Divorced,25.0,Suburban,4227.852474345342,Graduate School,6.199033758071647,0.02139511891515522,London,9.0
M,Yes,Divorced,41.0,Suburban,3925.2188471218897,College,6.281870095793002,-0.1779265545759791,London,7.0
M,No,Single,28.0,Rural,4924.264006136524,Graduate School,7.292050636121704,0.35233609859546144,New Castle,3.0
M,No,Married,26.0,Suburban,6038.710490400325,Graduate School,8.383793046311174,0.27164682413664826,Manchester,5.0
F,Yes,Married,30.0,Rural,3937.064705572681,High School,5.647081349107058,-0.1372201643111594,Manchester,
M,No,Single,34.0,Urban,4293.189275431694,High School,5.581103267748113,-0.49214041430829253,London,2.0
F,No,Married,27.0,Urban,5605.742792205027,High School,7.0394568741897565,-0.5637704836124268,London,3.0
M,Yes,Divorced,49.0,Suburban,3463.4427203030186,,6.820326699247598,-0.43962508438101694,London,5.0
F,Yes,Divorced,33.0,Rural,3550.524186963697,,5.886785734896747,-0.4038732951903442,London,6.0
F,No,Single,34.0,Rural,5535.506433444906,Graduate School,6.918781088612616,-0.30629657968665136,New Castle,2.0
M,,Married,25.0,Suburban,4144.882362033185,Graduate School,6.215308726960027,-0.59305325568042,Manchester,2.0
F,Yes,Divorced,30.0,Urban,3330.952487896635,College,3.2386102750884493,-0.039884156552373366,,5.0
M,Yes,Divorced,24.0,Urban,3218.190633791028,Graduate School,5.1745048656972275,-0.05392773351808878,London,4.0
M,,Married,28.0,Urban,3587.3642484265297,Graduate School,6.309205477181863,0.42254798949198524,London,5.0
F,Yes,Single,38.0,Suburban,2535.5378218211617,High School,3.817249070873026,0.023851163204317176,New Castle,4.0
F,No,Married,29.0,Urban,4058.518634990904,High School,5.268039092050558,-0.014369022569291274,London,7.0
F,No,Married,37.0,Rural,6026.524422068719,High School,9.025571361472185,0.39867663201987324,London,7.0
M,Yes,Single,28.0,Suburban,3662.213181358529,College,4.1721107336324375,0.41830584427985606,London,5.0
M,No,Married,39.0,Suburban,4966.926468925789,High School,5.040443838536439,0.09484299283772123,New Castle,4.0
M,No,Single,41.0,Rural,4058.7787696433275,College,5.960372015268103,0.12949846530019474,Manchester,2.0
M,No,Divorced,27.0,Suburban,5907.131369199686,Graduate School,7.019444012716708,0.2943617151717658,Manchester,7.0
F,Yes,Single,32.0,Suburban,3596.3099124053406,Graduate School,6.153431770971247,0.24022826511252426,London,8.0
M,Yes,Single,26.0,Rural,4991.5752424081165,High School,5.3393912417588485,0.27183540173646764,London,6.0
M,No,Married,20.0,Suburban,4613.878455490595,College,5.169585873394681,0.3518622128185483,London,5.0
F,Yes,Divorced,40.0,Suburban,,College,5.8483159470608745,0.1864513093528329,New Castle,5.0
F,No,Married,,Rural,5477.775099739845,High School,8.497547559350808,0.3922657133024203,New Castle,3.0
F,No,Married,44.0,Suburban,3313.697380548817,College,4.898283539550952,0.5612734682603413,New Castle,3.0
M,Yes,Single,25.0,Urban,5121.505005320781,Graduate School,2.5537811017122345,-0.45289935871570786,Manchester,4.0
M,Yes,Divorced,28.0,Suburban,3512.78080762002,Graduate School,4.297977321486787,-0.053839448486950214,Manchester,6.0
F,Yes,Single,47.0,Urban,3374.4393710790973,Graduate School,,0.6315297927468388,New Castle,4.0
F,No,Married,18.0,Rural,5775.44813383389,College,7.186603429848372,0.3022943455232366,London,6.0
M,No,Married,26.0,Rural,4726.023871845482,College,5.245762360688566,-0.2550308873851934,London,5.0
M,No,Divorced,30.0,Rural,4429.387933945582,Graduate School,2.836288608754259,-0.5656565295048916,London,8.0
F,Yes,Divorced,25.0,Urban,3625.2122939454857,College,4.635207224861254,0.23544717226404246,New Castle,4.0
F,No,Married,45.0,Rural,3140.341421823702,College,4.9654701450789105,-0.34057823910598334,Manchester,1.0
M,No,Married,27.0,Rural,5771.43754639489,Graduate School,6.7429729762859845,-0.06688052967955703,London,5.0
F,No,Divorced,31.0,Suburban,4843.218101546391,College,6.981568656544931,1.0305678331587869,New Castle,3.0
M,Yes,Divorced,,Urban,4367.228228800432,College,4.710687795834969,0.43373073642475474,New Castle,2.0
M,Yes,Married,37.0,Suburban,3259.181412396309,High School,5.932840957510615,0.8657166858665484,Manchester,
M,No,Married,24.0,Urban,6065.680496043216,Graduate School,8.906943431282542,0.36636964127298427,Manchester,5.0
F,No,Divorced,25.0,Rural,4912.421948352279,High School,7.012917963700471,0.008666482079291968,Manchester,5.0
M,No,Divorced,27.0,Rural,4387.4492497319525,Graduate School,6.840922375241899,-0.36369434451328425,Manchester,3.0
F,Yes,Divorced,32.0,Suburban,3961.0779560318097,Graduate School,5.246302828682218,-0.08315019276333883,New Castle,6.0
F,No,Single,12.0,Rural,6299.290806073937,Graduate School,8.952856791113037,-0.10814612751088439,New Castle,2.0
M,No,Divorced,19.0,Rural,4952.490372698067,Graduate School,6.081686873088007,0.2331634296477684,Manchester,8.0
F,No,Married,17.0,Suburban,5130.221025505467,High School,6.751288330145751,0.3865598924399877,London,3.0
F,Yes,Divorced,19.0,Urban,4825.077968292658,Graduate School,6.4925566053008055,0.26401204649135745,London,1.0
,Yes,Divorced,39.0,Urban,3520.985225474202,Graduate School,5.20111757876034,,New Castle,4.0
M,Yes,Single,21.0,Suburban,4871.95364872859,High School,5.504044876636327,-0.09387836007721376,London,6.0
F,Yes,Single,29.0,Suburban,3535.5493660279094,College,4.937612823232092,-0.3429539976004928,New Castle,5.0
F,No,Married,22.0,Rural,3788.4062009802,High School,4.876613752934835,0.20042742774583136,New Castle,5.0
M,Yes,Married,28.0,Rural,3450.132190716852,High School,,0.8698389163412806,London,0.0
F,No,Divorced,14.0,Rural,5037.591128235574,College,8.359493551879513,0.22598795605731095,Manchester,6.0
M,Yes,Single,38.0,Suburban,4100.505629414474,Graduate School,8.140585459851719,-0.27099869737386667,London,3.0
M,Yes,Single,24.0,Urban,4246.814560931476,College,5.680832902466325,-0.3269702412170907,New Castle,4.0
M,Yes,Divorced,33.0,Urban,3949.9775517633234,Graduate School,3.4917161068137386,0.5422715238648558,New Castle,4.0
M,No,Married,37.0,Rural,2534.1950052722796,High School,4.942424942026614,0.3709425121622619,London,3.0
F,Yes,Married,32.0,Urban,3739.8998298129213,College,4.675108148883805,-0.17074576771381852,Manchester,2.0
F,Yes,Single,26.0,Suburban,4389.891304891376,High School,5.2089616657147815,0.08800627598184971,London,4.0
F,Yes,,27.0,Suburban,2859.2829347296297,Graduate School,5.412196431224866,-0.034510737064475785,New Castle,4.0
M,Yes,Married,24.0,Suburban,4766.146681753161,Graduate School,4.717892980766466,0.054195513415333366,Manchester,4.0
M,Yes,Divorced,33.0,Suburban,3530.3111614316194,High School,5.3765919725679785,0.40091570683730926,New Castle,6.0
M,No,Single,40.0,Rural,4675.833966737132,College,8.526798594145797,0.16248905300027758,Manchester,3.0
M,No,Divorced,30.0,Rural,6120.07723244771,High School,7.888551534711015,0.701288747089253,London,5.0
M,No,Single,42.0,Rural,5632.783317994491,Graduate School,8.50195023370947,-0.6547112521214935,Manchester,4.0
F,Yes,Divorced,8.0,Urban,4797.465913421782,High School,5.745721807089404,-0.6078683551701783,Manchester,4.0
M,No,Single,44.0,Rural,4398.580716355001,High School,5.427382110351948,0.05859169163148201,Manchester,5.0
M,Yes,Divorced,35.0,Urban,3564.7036894753755,Graduate School,5.223271054957655,-0.1838274991061347,Manchester,3.0
F,No,Married,23.0,Rural,6662.281255569596,High School,9.552152124014196,0.03480108491185066,London,2.0
M,Yes,Divorced,25.0,Rural,3448.5569017655084,Graduate School,4.78620144756493,-0.12628972157923474,Manchester,6.0
M,Yes,Single,31.0,Urban,3933.7824492348946,Graduate School,5.384991464558543,-0.949771798416916,New Castle,4.0
F,Yes,Divorced,44.0,Suburban,3926.4232793086467,College,6.042070942430614,0.795823991166391,Manchester,3.0
F,No,Married,37.0,Rural,3634.1073520232703,Graduate School,4.468784698821614,-0.05131526118378993,London,4.0
F,Yes,Single,29.0,Suburban,3844.071345902434,College,2.127381150090814,0.3181160824484772,New Castle,
M,Yes,Single,19.0,Urban,3373.073488766535,College,3.7777320946757027,-0.5457146807678847,New Castle,4.0
F,Yes,Single,,Urban,3136.1867923025693,High School,7.686118748234042,0.37956034591981,Manchester,5.0
M,Yes,Divorced,34.0,Urban,3892.7795200798905,College,5.933691508858967,-0.2736768118995918,Manchester,3.0
F,No,Married,27.0,Rural,5566.263867010874,High School,7.3511186425467026,0.38194877437178215,Manchester,6.0
F,Yes,Divorced,27.0,Urban,3931.0883995059326,College,6.648023683376154,0.34088208902869643,London,5.0
M,No,Married,28.0,Suburban,4982.267410870218,Graduate School,6.591667359122019,0.04969877828354405,Manchester,5.0
M,No,Married,22.0,Urban,4922.55263166544,College,6.199377164905173,0.017239637999281916,New Castle,5.0
M,Yes,Married,39.0,Suburban,4395.594374325382,Graduate School,8.21278350175844,-0.30541657997746163,London,1.0
F,No,Married,35.0,Rural,3385.5101148016747,College,4.705021202052344,-0.4580560540630613,Manchester,3.0
F,Yes,Divorced,36.0,Suburban,3768.0458298268695,High School,5.570841043777184,0.23827219333785105,London,3.0
,Yes,Divorced,30.0,Rural,2930.13268591266,College,4.265602333784533,-0.3599438881689174,New Castle,4.0
M,No,Divorced,38.0,Rural,2798.1921913198876,Graduate School,6.030232858603761,-0.12514420220608047,Manchester,3.0
M,Yes,Divorced,28.0,Suburban,4243.609719726173,College,6.450431677763899,0.086784339531181,London,2.0
F,Yes,Divorced,14.0,Rural,4676.6749978385205,College,5.54674947748135,-0.007914677529976835,Manchester,4.0
F,No,Divorced,28.0,Suburban,5313.900327268477,Graduate School,7.586856690041626,-0.34537734303736006,New Castle,5.0
M,Yes,Divorced,40.0,Urban,2848.8171019306,Graduate School,5.650797001358972,-0.051403945191313354,London,4.0
F,Yes,Married,40.0,Suburban,3454.4305542211964,Graduate School,7.344050880377152,0.03702456301225161,Manchester,6.0
F,No,Married,32.0,Rural,5543.405919962216,College,7.014246698640067,-0.523841787385744,London,3.0
F,No,Single,24.0,Suburban,5074.682210989008,Graduate School,6.409051089056491,-0.6123316053915797,London,2.0
F,No,Married,30.0,Rural,4069.381506321249,College,6.90078445441241,0.6328296584746157,New Castle,0.0
M,Yes,Divorced,39.0,Urban,4188.040498604901,College,7.7010710001284295,-0.04317857083109462,London,2.0
F,No,Divorced,23.0,Rural,6438.713345253973,Graduate School,7.5401850777876485,0.633964911066173,New Castle,5.0
M,Yes,Divorced,36.0,,3030.2746933708495,High School,4.22931958955074,-0.440367232118542,Manchester,3.0
M,Yes,Divorced,38.0,Urban,,Graduate School,5.672499620625598,-0.24380088920602672,London,5.0
