age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
49.0,Private,5th-6th,3.0,Married-civ-spouse,Other-service,Husband,White,Male,40.0,Greece,<=50K
37.0,Self-emp-inc,10th,6.0,Never-married,Transport-moving,Not-in-family,White,Male,50.0,United-States,>50K
38.0,Private,10th,6.0,Never-married,Prof-specialty,Not-in-family,White,Male,90.0,United-States,>50K
23.0,Private,Some-college,10.0,Separated,Other-service,Not-in-family,White,Male,40.0,United-States,>50K
59.0,Self-emp-inc,10th,6.0,Widowed,Exec-managerial,Unmarried,White,Female,50.0,United-States,>50K
52.0,Private,Prof-school,15.0,Divorced,Exec-managerial,Not-in-family,White,Male,60.0,United-States,>50K
51.0,Private,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,50.0,United-States,>50K
60.0,Self-emp-not-inc,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Black,Male,50.0,United-States,>50K
63.0,Federal-gov,Doctorate,16.0,Divorced,Exec-managerial,Not-in-family,White,Female,60.0,United-States,>50K
53.0,Private,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,48.0,United-States,>50K
51.0,Private,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,50.0,United-States,>50K
37.0,Self-emp-not-inc,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,60.0,United-States,>50K
54.0,Private,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,40.0,United-States,>50K
44.0,Private,Bachelors,13.0,Divorced,Exec-managerial,Unmarried,White,Male,50.0,United-States,>50K
43.0,Private,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,40.0,United-States,>50K
51.0,Private,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,40.0,United-States,>50K
43.0,Private,Masters,14.0,Divorced,Prof-specialty,Unmarried,White,Female,40.0,United-States,>50K
71.0,,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,15.0,United-States,<=50K
48.0,Private,Bachelors,13.0,Married-spouse-absent,Sales,Unmarried,White,Female,70.0,United-States,>50K
71.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,52.0,United-States,<=50K
73.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40.0,Vietnam,<=50K
68.0,,Some-college,10.0,Married-civ-spouse,,Wife,White,Female,40.0,United-States,<=50K
67.0,,Some-college,10.0,Married-civ-spouse,,Husband,White,Male,40.0,United-States,<=50K
40.0,Self-emp-not-inc,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,45.0,United-States,>50K
50.0,Private,HS-grad,9.0,Widowed,Sales,Not-in-family,White,Female,72.0,United-States,>50K
51.0,State-gov,Assoc-voc,11.0,Divorced,Tech-support,Not-in-family,White,Male,39.0,United-States,>50K
42.0,Private,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,40.0,United-States,>50K
39.0,Private,Masters,14.0,Never-married,Sales,Not-in-family,White,Male,45.0,United-States,>50K
32.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Other-relative,White,Male,50.0,United-States,>50K
53.0,Private,Some-college,10.0,Separated,Craft-repair,Not-in-family,White,Male,45.0,United-States,>50K
40.0,Local-gov,Some-college,10.0,Never-married,Protective-serv,Not-in-family,White,Male,40.0,United-States,>50K
38.0,Private,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Female,45.0,United-States,>50K
33.0,Private,Assoc-voc,11.0,Separated,Craft-repair,Not-in-family,White,Male,42.0,United-States,>50K
43.0,Private,Assoc-acdm,12.0,Divorced,Craft-repair,Not-in-family,White,Male,70.0,United-States,>50K
50.0,Self-emp-inc,11th,7.0,Never-married,Exec-managerial,Other-relative,White,Male,40.0,United-States,>50K
44.0,Private,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,6.0,United-States,>50K
51.0,Self-emp-not-inc,Bachelors,13.0,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40.0,China,>50K
41.0,Private,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,United-States,>50K
60.0,Self-emp-inc,Assoc-voc,11.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70.0,,>50K
37.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.0,United-States,>50K
55.0,Self-emp-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,35.0,Greece,>50K
39.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,60.0,United-States,>50K
42.0,Self-emp-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.0,United-States,>50K
49.0,Private,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,55.0,United-States,>50K
47.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.0,United-States,>50K
41.0,Local-gov,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,45.0,United-States,>50K
55.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.0,United-States,>50K
39.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,65.0,United-States,>50K
42.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.0,United-States,>50K
41.0,,Assoc-voc,11.0,Married-civ-spouse,,Husband,White,Male,12.0,United-States,>50K
46.0,Private,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,65.0,United-States,>50K
40.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.0,United-States,>50K
32.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,48.0,United-States,>50K
41.0,Self-emp-inc,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,55.0,United-States,>50K
60.0,Self-emp-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,80.0,United-States,>50K
31.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,70.0,Taiwan,>50K
58.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,40.0,United-States,>50K
37.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,50.0,United-States,>50K
44.0,Self-emp-not-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.0,United-States,>50K
39.0,Self-emp-not-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.0,,>50K
43.0,Federal-gov,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55.0,,>50K
55.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.0,United-States,>50K
44.0,Self-emp-inc,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,55.0,United-States,>50K
39.0,Private,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67.0,India,>50K
46.0,Self-emp-not-inc,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,United-States,>50K
39.0,Private,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,99.0,United-States,>50K
62.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,60.0,United-States,>50K
31.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,40.0,United-States,>50K
46.0,Private,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35.0,Philippines,>50K
46.0,Self-emp-not-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,80.0,United-States,>50K
39.0,Self-emp-inc,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,>50K
39.0,Private,Prof-school,15.0,Married-civ-spouse,Sales,Husband,White,Male,99.0,United-States,>50K
59.0,Private,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,45.0,United-States,>50K
50.0,Self-emp-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.0,United-States,>50K
46.0,Private,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,55.0,United-States,>50K
53.0,Self-emp-not-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,United-States,>50K
50.0,Self-emp-not-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,30.0,United-States,>50K
41.0,Self-emp-inc,Prof-school,15.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,55.0,United-States,>50K
36.0,Private,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,45.0,United-States,>50K
38.0,Private,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,90.0,United-States,>50K
54.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,50.0,United-States,>50K
50.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,20.0,United-States,>50K
47.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.0,United-States,>50K
47.0,Self-emp-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,45.0,United-States,>50K
67.0,Private,Bachelors,13.0,Widowed,Exec-managerial,Not-in-family,White,Male,40.0,United-States,>50K
67.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,75.0,United-States,>50K
72.0,Self-emp-not-inc,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,25.0,United-States,>50K
72.0,,Doctorate,16.0,Married-civ-spouse,,Husband,White,Male,6.0,United-States,>50K
46.0,Self-emp-inc,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.0,United-States,>50K
78.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,United-States,>50K
71.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.0,United-States,>50K
83.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,55.0,United-States,>50K
68.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,United-States,>50K
26.0,Private,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,45.0,United-States,<=50K
68.0,State-gov,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.0,United-States,>50K
49.0,Self-emp-inc,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,40.0,United-States,>50K
36.0,Private,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.0,United-States,<=50K
70.0,Self-emp-not-inc,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,12.0,United-States,>50K
27.0,Private,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20.0,United-States,<=50K
35.0,Local-gov,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,United-States,<=50K
23.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,40.0,United-States,<=50K
81.0,Private,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,26.0,United-States,>50K
66.0,Self-emp-not-inc,Doctorate,16.0,Married-civ-spouse,Sales,Husband,White,Male,25.0,United-States,>50K
71.0,Private,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.0,United-States,>50K
68.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,55.0,United-States,>50K
68.0,State-gov,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,42.0,,>50K
65.0,,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,40.0,United-States,>50K
52.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Husband,Black,Male,40.0,United-States,<=50K
40.0,Self-emp-inc,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,50.0,United-States,<=50K
68.0,,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,35.0,United-States,>50K
21.0,Private,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,48.0,United-States,<=50K
35.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
70.0,Self-emp-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.0,United-States,>50K
61.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,50.0,United-States,<=50K
65.0,Self-emp-inc,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,65.0,United-States,<=50K
46.0,Private,5th-6th,3.0,Divorced,Craft-repair,Not-in-family,White,Female,45.0,United-States,<=50K
26.0,Local-gov,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,55.0,United-States,<=50K
59.0,Local-gov,HS-grad,9.0,Widowed,Farming-fishing,Unmarried,White,Male,40.0,United-States,<=50K
61.0,Private,5th-6th,3.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40.0,United-States,<=50K
60.0,State-gov,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,40.0,United-States,<=50K
49.0,Self-emp-inc,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,50.0,United-States,<=50K
34.0,Private,Bachelors,13.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,40.0,,<=50K
25.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,35.0,United-States,<=50K
55.0,Private,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,Black,Female,45.0,,<=50K
59.0,Local-gov,HS-grad,9.0,Separated,Protective-serv,Other-relative,Black,Female,40.0,United-States,<=50K
28.0,State-gov,Some-college,10.0,Separated,Exec-managerial,Own-child,White,Male,40.0,United-States,<=50K
43.0,,Assoc-voc,11.0,Widowed,,Not-in-family,White,Female,36.0,United-States,<=50K
56.0,Self-emp-not-inc,Masters,14.0,Divorced,Sales,Unmarried,White,Female,60.0,United-States,<=50K
41.0,Private,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,40.0,United-States,<=50K
42.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Other-relative,Black,Female,40.0,Trinadad&Tobago,<=50K
28.0,Private,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,40.0,Canada,<=50K
40.0,Self-emp-not-inc,Prof-school,15.0,Divorced,Other-service,Not-in-family,White,Female,35.0,United-States,<=50K
69.0,Private,Bachelors,13.0,Widowed,Prof-specialty,Not-in-family,White,Male,40.0,United-States,>50K
66.0,Local-gov,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
69.0,Private,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.0,United-States,<=50K
55.0,Local-gov,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,40.0,United-States,<=50K
57.0,Federal-gov,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,40.0,United-States,<=50K
20.0,Self-emp-not-inc,Some-college,10.0,Never-married,Farming-fishing,Own-child,White,Male,10.0,United-States,<=50K
33.0,Private,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,84.0,United-States,<=50K
30.0,Self-emp-not-inc,Some-college,10.0,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,40.0,South,<=50K
40.0,Private,Bachelors,13.0,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48.0,Philippines,<=50K
38.0,Private,Some-college,10.0,Separated,Machine-op-inspct,Not-in-family,White,Male,55.0,United-States,>50K
46.0,State-gov,Assoc-acdm,12.0,Divorced,Adm-clerical,Unmarried,White,Male,38.0,United-States,>50K
29.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,45.0,United-States,>50K
57.0,Federal-gov,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Male,40.0,United-States,<=50K
39.0,Private,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,42.0,United-States,>50K
47.0,Private,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,40.0,United-States,>50K
26.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,45.0,United-States,>50K
27.0,Self-emp-not-inc,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,50.0,United-States,<=50K
23.0,Private,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,40.0,United-States,>50K
34.0,Private,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,50.0,United-States,<=50K
33.0,Private,12th,8.0,Divorced,Craft-repair,Not-in-family,White,Male,42.0,United-States,<=50K
38.0,Local-gov,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,60.0,United-States,<=50K
57.0,Private,Some-college,10.0,Widowed,Adm-clerical,Unmarried,White,Female,38.0,United-States,>50K
36.0,Private,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,White,Male,70.0,United-States,<=50K
44.0,Federal-gov,Bachelors,13.0,Divorced,Tech-support,Not-in-family,White,Male,40.0,United-States,>50K
49.0,State-gov,Doctorate,16.0,Never-married,Exec-managerial,Not-in-family,White,Female,50.0,United-States,>50K
44.0,Self-emp-inc,Some-college,10.0,Never-married,Sales,Not-in-family,White,Male,60.0,United-States,<=50K
55.0,Private,Some-college,10.0,Widowed,Farming-fishing,Not-in-family,White,Male,62.0,United-States,>50K
45.0,Private,HS-grad,9.0,Divorced,Farming-fishing,Not-in-family,White,Male,44.0,United-States,>50K
48.0,Private,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,40.0,United-States,>50K
31.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.0,United-States,>50K
55.0,Local-gov,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,40.0,United-States,>50K
70.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,United-States,>50K
70.0,Self-emp-not-inc,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,8.0,United-States,>50K
73.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,United-States,>50K
72.0,Self-emp-not-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,28.0,United-States,>50K
31.0,Private,HS-grad,9.0,Separated,Machine-op-inspct,Unmarried,White,Female,40.0,United-States,<=50K
28.0,Private,10th,6.0,Widowed,Adm-clerical,Unmarried,White,Female,35.0,United-States,<=50K
23.0,Self-emp-not-inc,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Male,40.0,United-States,>50K
49.0,Local-gov,9th,5.0,Widowed,Handlers-cleaners,Unmarried,White,Male,40.0,United-States,>50K
27.0,Local-gov,Some-college,10.0,Never-married,Protective-serv,Not-in-family,White,Male,40.0,United-States,>50K
90.0,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,Black,Male,40.0,United-States,<=50K
68.0,Private,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,30.0,United-States,<=50K
65.0,Private,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,59.0,Canada,<=50K
65.0,,HS-grad,9.0,Widowed,,Unmarried,White,Female,10.0,United-States,<=50K
67.0,Private,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,5.0,United-States,<=50K
66.0,Local-gov,Bachelors,13.0,Widowed,Prof-specialty,Not-in-family,Black,Female,25.0,United-States,<=50K
24.0,Private,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Male,24.0,United-States,<=50K
44.0,Self-emp-not-inc,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,35.0,United-States,<=50K
35.0,Private,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,40.0,United-States,<=50K
20.0,Private,Assoc-acdm,12.0,Never-married,Other-service,Own-child,White,Female,18.0,United-States,<=50K
38.0,Private,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,40.0,United-States,<=50K
39.0,Private,Some-college,10.0,Never-married,Other-service,Own-child,Black,Female,40.0,United-States,<=50K
32.0,Private,Some-college,10.0,Never-married,Machine-op-inspct,Other-relative,White,Female,40.0,Holand-Netherlands,<=50K
42.0,Private,7th-8th,4.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40.0,United-States,<=50K
63.0,,HS-grad,9.0,Divorced,,Not-in-family,White,Female,40.0,United-States,<=50K
42.0,Self-emp-inc,Masters,14.0,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,60.0,India,>50K
64.0,Private,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
28.0,Private,7th-8th,4.0,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40.0,Puerto-Rico,<=50K
41.0,Self-emp-inc,Assoc-voc,11.0,Married-civ-spouse,Sales,Husband,Other,Male,84.0,Mexico,<=50K
41.0,Self-emp-not-inc,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
58.0,Self-emp-not-inc,1st-4th,2.0,Married-civ-spouse,Transport-moving,Husband,White,Male,18.0,United-States,<=50K
59.0,State-gov,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.0,United-States,<=50K
34.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Wife,White,Female,12.0,United-States,<=50K
45.0,Private,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,45.0,United-States,<=50K
29.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,40.0,United-States,<=50K
47.0,Private,10th,6.0,Married-civ-spouse,Sales,Husband,White,Male,52.0,United-States,<=50K
40.0,Private,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.0,United-States,<=50K
47.0,Self-emp-not-inc,5th-6th,3.0,Married-civ-spouse,Sales,Husband,White,Male,50.0,Mexico,<=50K
63.0,,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,45.0,United-States,<=50K
41.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.0,United-States,<=50K
34.0,Private,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,40.0,United-States,<=50K
66.0,,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,40.0,United-States,>50K
65.0,Self-emp-not-inc,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,10.0,United-States,>50K
70.0,Private,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.0,United-States,>50K
75.0,Self-emp-not-inc,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.0,United-States,>50K
65.0,State-gov,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.0,United-States,>50K
65.0,Federal-gov,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40.0,United-States,>50K
73.0,Private,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.0,United-States,>50K
60.0,,Bachelors,13.0,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,25.0,South,<=50K
68.0,Self-emp-not-inc,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.0,United-States,<=50K
74.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,20.0,United-States,<=50K
43.0,Private,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,72.0,,<=50K
19.0,Self-emp-not-inc,11th,7.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,55.0,United-States,<=50K
37.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,<=50K
45.0,Federal-gov,Assoc-acdm,12.0,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,40.0,Philippines,<=50K
64.0,Private,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60.0,China,<=50K
