Marital Status,Gender,Age,Brand Loyalty,Renew,Location Code,Hours Online,Education Level,City,Months with Company,Monthly Income
Divorced,Male,53.0,,Yes,Rural,3.446830910503574,High School,Mahasarakam,77.0,3828.4832559204388
Married,Male,55.0,0.4490564960397134,No,Rural,5.24041907821768,College,Khon Kaen,64.0,5471.746422819994
Divorced,Female,56.0,0.06418962004756923,Yes,Suburban,7.367764802556889,College,Khon Kaen,83.0,3367.7984270233424
Married,Female,66.0,0.03934950851976357,Yes,Urban,7.78451994030729,College,Mahasarakam,46.0,3361.8310948956296
Married,Male,57.0,-0.2627027651316058,No,Suburban,5.3790299944025195,Graduate School,Udon,77.0,5975.098391204658
Divorced,Female,66.0,-0.08533810176449724,Yes,Urban,5.205238542595066,High School,Khon Kaen,75.0,5368.8187018163735
Married,Female,48.0,0.2981660196090931,No,Rural,7.504231511947583,College,Udon,91.0,5815.954674073653
Divorced,Male,65.0,-0.6682996724613653,Yes,Urban,4.643661766923362,College,Udon,29.0,3718.1479309272845
Married,Male,53.0,-0.3028445575513551,Yes,Urban,7.223461198297152,Graduate School,Mahasarakam,68.0,3993.551125201284
Married,Male,55.0,0.18311331924256768,No,Suburban,6.666716791737554,College,Udon,99.0,6723.2183708486245
Single,Female,54.0,0.4251895968961553,Yes,Urban,7.110639493165605,Graduate School,Mahasarakam,42.0,4563.627375130911
Married,Female,49.0,0.20939926295421796,Yes,Urban,7.774981026746263,College,Khon Kaen,52.0,3728.949006670596
Married,Female,53.0,0.29036669726415637,No,Rural,5.2379201415698535,College,Mahasarakam,53.0,3800.2399834447956
Married,Male,46.0,-0.23857536878800845,No,Urban,6.520197931135817,College,Mahasarakam,20.0,4241.544394335489
Single,Male,52.0,0.20646166404397231,No,Rural,6.485621873929236,High School,Khon Kaen,80.0,4695.220943008933
Single,Female,71.0,-0.0023036569734943,Yes,Suburban,7.228668691512272,High School,Udon,71.0,5317.234775116057
Married,Male,54.0,0.0264481871958393,No,Rural,6.5086624054964,Graduate School,Mahasarakam,50.0,5810.977145989946
Single,Male,39.0,0.3317250460559868,Yes,Urban,6.63880263270515,Graduate School,Mahasarakam,67.0,5089.643267134001
Single,Male,46.0,-0.2968311689616261,No,Rural,7.202162686972952,High School,Udon,59.0,5674.204052037477
Divorced,Male,63.0,0.0010729542282663929,Yes,Suburban,6.557629409655151,Graduate School,Khon Kaen,80.0,3956.812175529176
Married,Female,60.0,0.09443741293513888,No,Suburban,5.316488716326813,High School,Mahasarakam,85.0,6226.384245893727
Single,Male,56.0,-0.24621415674778463,Yes,Urban,7.261865465622235,Graduate School,Mahasarakam,46.0,3355.1982227453127
Married,Female,58.0,-0.2267386180672446,No,Suburban,4.927213459510886,Graduate School,Khon Kaen,42.0,5555.66613308898
Divorced,Male,49.0,0.5201720150716962,Yes,Urban,3.7288388244912887,High School,Mahasarakam,82.0,5434.557208411296
Single,Male,44.0,-0.26841131094761894,Yes,Urban,6.146970956691464,High School,Udon,75.0,4010.114447024796
Single,Female,58.0,-0.03532712452864442,Yes,Suburban,6.028809564362979,College,Mahasarakam,68.0,3939.839709291889
Divorced,Male,49.0,0.19905062139865834,Yes,Rural,6.968960791022267,High School,,69.0,4423.755428007806
Married,Male,49.0,0.025351285190583023,Yes,Urban,4.8760987772066775,Graduate School,Khon Kaen,87.0,4238.2058047859355
Married,Male,52.0,-0.09712701270700153,No,Suburban,5.432750617922982,High School,Khon Kaen,67.0,4966.580632219229
Single,Male,57.0,-0.11842124355247463,Yes,Suburban,3.8236456413485715,College,Mahasarakam,49.0,4952.522435108865
Single,Female,54.0,-0.07852622398995251,No,Rural,4.161830550209915,High School,Khon Kaen,47.0,4132.107259239601
Married,Female,51.0,0.23529861705705435,No,Rural,6.689501250775158,College,Mahasarakam,,5370.111288073969
Married,Female,54.0,-0.3185217399039346,No,Rural,5.125652296596783,College,Khon Kaen,,5896.144414432401
Married,Male,47.0,0.1373011929982048,No,Rural,5.752935743856869,College,Udon,79.0,5251.042547321724
Divorced,Male,51.0,0.0511512431099376,Yes,Urban,6.167306749678843,College,Udon,41.0,3708.4458269258685
Divorced,Female,54.0,-0.5293322698467229,Yes,Urban,4.573239648581485,Graduate School,Mahasarakam,68.0,3337.6938288106485
Married,Female,69.0,0.05704877481590223,Yes,Urban,6.731919878497778,High School,Khon Kaen,35.0,3014.1868193412015
Married,Female,51.0,-0.12474956618734684,No,Suburban,6.001384036530531,College,Mahasarakam,45.0,4705.134628945341
Divorced,Female,50.0,0.06213137423741197,Yes,Suburban,4.346609863176263,College,Udon,61.0,5219.627972107066
Single,Male,53.0,-0.4400716718425606,Yes,Suburban,6.490691801166525,Graduate School,,50.0,3449.6347427425717
Divorced,Female,58.0,0.3722969902518877,Yes,Rural,5.8320220892135,High School,Mahasarakam,83.0,4495.277769157992
Divorced,Male,42.0,0.1189838993326501,Yes,Suburban,5.772928694341216,Graduate School,Udon,48.0,4636.203213863315
Divorced,Female,51.0,0.6785478179541508,No,Suburban,5.2352784248452675,Graduate School,Udon,,3422.816349829743
Divorced,Female,41.0,0.5176385901176885,Yes,Urban,5.903803446143924,College,Khon Kaen,95.0,4387.035176144634
Single,Male,40.0,1.059966618730186,Yes,Urban,6.954989474059077,High School,Udon,33.0,5260.135566039228
Married,Female,38.0,-0.32014859425094244,Yes,Urban,5.606084662911526,College,Udon,50.0,4216.09843270965
Married,Male,62.0,-0.5097040848968394,No,Suburban,5.2476869348028155,High School,Khon Kaen,52.0,5388.881856814915
Divorced,Male,49.0,-0.20670234218621752,No,Rural,7.6044201420179425,Graduate School,Mahasarakam,59.0,6663.790943078508
Married,Male,50.0,-0.2744380244608916,No,Rural,6.936621352134107,College,Mahasarakam,44.0,5329.909104842942
Divorced,Male,38.0,0.4660430416224121,Yes,Suburban,5.342717484918681,High School,Udon,40.0,5996.960557034316
Divorced,Male,53.0,0.10082707959813524,Yes,Rural,5.40336193973362,College,Mahasarakam,65.0,5348.102518222418
Divorced,Female,51.0,-0.2523658819473743,Yes,Suburban,5.405878751377616,High School,Khon Kaen,72.0,5187.109905690342
Divorced,Male,45.0,0.39874728057201303,Yes,Suburban,4.7673384598690225,High School,Khon Kaen,47.0,4830.5893644353055
Divorced,Male,56.0,-0.13129345173218693,No,Suburban,7.822943794323758,Graduate School,Khon Kaen,91.0,6648.295978170358
Married,Female,43.0,0.16085684394387906,No,Rural,6.629928501781835,High School,Khon Kaen,77.0,4875.916550889567
Single,Male,56.0,0.6510325765737106,Yes,Suburban,7.304956237031257,Graduate School,Khon Kaen,35.0,5541.396483773486
Married,Male,56.0,-0.07810340247858566,Yes,Rural,8.539833622717012,Graduate School,Udon,66.0,2376.759415178257
Divorced,Female,47.0,0.03596062538651515,No,,5.9751654207470315,College,Khon Kaen,75.0,5101.017155220114
Married,Female,54.0,0.3199662047759525,No,Suburban,6.85384044281385,College,Khon Kaen,46.0,7160.717716134937
Divorced,Male,55.0,1.0782168281168136,Yes,Suburban,4.911836461471012,High School,Udon,63.0,5175.57191876261
Married,Female,38.0,0.22971003303540596,No,Suburban,8.423028244882603,Graduate School,Udon,32.0,6158.052886610906
Divorced,Male,68.0,0.8759040932850309,Yes,Urban,7.70102429261638,Graduate School,Udon,61.0,4077.049463905796
Divorced,Male,66.0,0.04352639643560585,Yes,Suburban,6.017144987980523,Graduate School,Udon,56.0,3451.50914778517
Married,Female,45.0,-0.08522864751301201,No,Suburban,6.010549533308964,Graduate School,Mahasarakam,54.0,3542.382038083709
Divorced,Male,51.0,0.4394508843606372,Yes,Suburban,6.728803581761163,College,Khon Kaen,74.0,4693.911632691709
Divorced,Male,,0.43055690651476114,Yes,Suburban,4.366732281410315,High School,Udon,56.0,4236.604728129126
Single,Male,29.0,-0.7343452866430278,Yes,Urban,4.814099752853583,College,Udon,60.0,4235.476614587836
Divorced,Female,49.0,0.00272364799373917,Yes,Urban,4.2417955308694335,Graduate School,Mahasarakam,71.0,4083.51516853706
Married,Female,52.0,0.09297722333674611,No,Suburban,6.626753768849583,College,Khon Kaen,69.0,5476.7024810059675
Single,Female,65.0,0.027392436594937064,Yes,Urban,4.839426998567963,College,Mahasarakam,67.0,4780.877266880676
Married,Male,57.0,-0.06618272003296155,No,Suburban,5.214223790653045,Graduate School,Udon,50.0,5441.919407276602
Divorced,Female,48.0,-0.40644188329448494,No,Rural,8.714033337291093,College,Khon Kaen,60.0,5747.633388911719
Single,Male,54.0,0.684071937416613,Yes,Suburban,6.361076024189489,Graduate School,Mahasarakam,65.0,5986.932292771862
Married,Female,56.0,-0.33403260446912486,No,Urban,6.511531203483392,Graduate School,Khon Kaen,61.0,5654.63044205221
Divorced,Female,55.0,0.5940740896163026,Yes,Suburban,7.776014732798636,High School,Udon,46.0,5211.826913584635
Single,Female,68.0,0.24273240186270675,Yes,Urban,6.095142298604138,High School,Udon,45.0,3996.2514133270415
Single,Female,63.0,0.45046644675171976,Yes,Suburban,8.576845260769263,Graduate School,Udon,74.0,4513.326689015911
Divorced,Male,45.0,0.2517592869129491,No,Rural,5.372673907731212,Graduate School,Mahasarakam,20.0,3979.915678750648
Married,Female,53.0,-0.3668063681131333,No,Suburban,6.418808544881757,College,Khon Kaen,82.0,5691.935103785755
Married,Female,51.0,-0.10532752860459776,No,Rural,6.7248915335147155,High School,Udon,25.0,4853.883926990079
Married,Female,54.0,0.006134341023256773,No,Rural,6.8584449773749165,High School,Mahasarakam,79.0,5486.809382058235
Single,Female,56.0,-0.35178065950294235,No,Suburban,5.8896755294173255,High School,Udon,54.0,5023.605717432815
Married,Female,54.0,0.4099605849483533,No,Rural,6.271978191256077,High School,Mahasarakam,47.0,4525.295914524323
Single,Female,63.0,-0.7607235406280265,,Suburban,5.6881735588467475,High School,Mahasarakam,80.0,2757.6556333660155
Single,Male,57.0,0.8818724966243113,Yes,Urban,8.547780807279482,College,Mahasarakam,79.0,3420.8539911835733
Divorced,Female,61.0,0.3732680317919497,Yes,Rural,7.1565023945598005,Graduate School,Khon Kaen,56.0,3966.6359226215263
Divorced,Male,61.0,0.6624344116439995,Yes,Rural,8.831631410898943,College,Udon,88.0,4317.070635691539
Married,Female,,,No,Suburban,5.463353414493984,College,Khon Kaen,48.0,5008.713630395745
Divorced,Female,52.0,0.3472585421529143,Yes,Suburban,5.145878742848685,Graduate School,Udon,55.0,5341.155989923054
Divorced,Male,54.0,0.7554460954448923,Yes,Urban,,College,Udon,38.0,
Married,Female,44.0,0.7151674551033519,Yes,Urban,4.645358603702134,College,Khon Kaen,54.0,5143.240978967105
Single,Male,42.0,0.00037978914392064467,Yes,Urban,5.298398599613172,College,Mahasarakam,85.0,4930.872386747806
Divorced,Male,53.0,-0.0920051054815696,Yes,Rural,7.8230602959260995,College,Mahasarakam,67.0,3695.615841126324
Divorced,Male,53.0,0.054468792644413094,No,Rural,6.28295093658099,Graduate School,Udon,37.0,5686.298283855511
Single,Male,63.0,0.601131335105579,Yes,Urban,5.696168188311093,College,Udon,62.0,5614.661991266596
Married,Female,54.0,-0.09048432975438792,No,Suburban,6.565855473526319,Graduate School,Udon,108.0,5981.731628739109
Single,Female,56.0,-0.10343922845227238,No,Suburban,4.491227226642259,High School,Udon,57.0,5124.178435322958
Divorced,Female,46.0,0.4253819956753682,No,,6.2408416931390045,Graduate School,Mahasarakam,63.0,3576.0907407456884
Married,Female,47.0,0.333658876664539,No,Suburban,6.562610823108441,College,Khon Kaen,77.0,4181.625938211375
Divorced,Male,42.0,0.662601376267185,No,Rural,4.942765359942605,Graduate School,Mahasarakam,29.0,2422.3885394332888
Single,Male,50.0,0.1917485162333486,Yes,Rural,6.027902626668262,College,Mahasarakam,55.0,4614.822992845559
Married,Female,52.0,-0.2393851156710271,No,Rural,7.547651839582409,College,Udon,63.0,6144.488125743102
Single,Female,25.0,-0.3802341224698397,Yes,Urban,4.032871570479742,Graduate School,Khon Kaen,46.0,5193.637234696406
Divorced,Male,39.0,-0.14471821719855787,Yes,Urban,4.574828805676118,Graduate School,Udon,66.0,5266.493543129152
Married,Female,51.0,-0.16026733253264064,No,,6.551039032684193,Graduate School,Udon,79.0,4961.49463063355
Married,Female,51.0,0.3248186969963342,No,Rural,4.543522368139055,Graduate School,Mahasarakam,32.0,4575.151864196183
Divorced,Male,54.0,-0.22820195925714465,Yes,Urban,5.058486625831144,Graduate School,Khon Kaen,49.0,4716.596049956069
Divorced,Male,,-0.20497276643113815,Yes,Urban,6.279431829574072,Graduate School,Udon,38.0,4376.663414887282
Divorced,Male,30.0,-0.43753738185615887,Yes,Urban,2.4777453179969573,College,Mahasarakam,56.0,5156.715062262114
Divorced,Male,65.0,1.0028192652261931,Yes,Urban,7.89727741189623,High School,Mahasarakam,47.0,4629.336494636836
Divorced,Female,74.0,0.7280938050554722,Yes,Urban,7.323602731197262,Graduate School,Khon Kaen,66.0,4438.156796972457
Single,Female,52.0,0.8242541054296345,Yes,Urban,7.379764609242908,Graduate School,Udon,59.0,4253.863648308489
Married,Male,55.0,-0.38505627359117334,No,Rural,7.4715687834112,High School,Khon Kaen,50.0,6950.388398261067
Divorced,Female,56.0,0.007881802168605484,Yes,Urban,5.638621151946789,College,Khon Kaen,80.0,4236.348687337214
Divorced,Male,47.0,-0.551595098446247,Yes,Urban,5.6457607957115545,High School,Udon,,3334.949823438129
Married,Male,49.0,0.40083479756871276,No,Suburban,,High School,Khon Kaen,65.0,5679.890741568994
Divorced,Female,44.0,0.5691609521875234,Yes,Suburban,6.242855964370403,College,Mahasarakam,31.0,4681.84663817375
Married,Female,48.0,-0.5040395963789152,No,Suburban,6.945084842419696,Graduate School,Mahasarakam,82.0,5512.390445521654
Divorced,Male,63.0,0.22888274503452538,Yes,Urban,9.40016694628018,Graduate School,Udon,82.0,3321.6154372462443
Divorced,Male,53.0,0.006770400049496167,No,Rural,4.987134535569149,High School,Khon Kaen,55.0,5760.914106245328
Married,Female,51.0,0.12430655260951212,No,Suburban,6.819128520854444,College,Mahasarakam,56.0,5533.72324714703
Single,Female,43.0,-0.2257756024188327,Yes,Suburban,6.62024690377931,Graduate School,Mahasarakam,,3552.9620698754625
Single,Male,52.0,,Yes,Urban,5.96074047656468,High School,Mahasarakam,47.0,3649.9032956697356
Divorced,Male,47.0,-0.1349718550490417,Yes,Suburban,5.561189665066346,High School,Udon,59.0,3523.2818308828664
Married,Female,59.0,0.03430944475933473,No,Rural,6.555750184455857,College,Udon,75.0,6627.775884172538
Divorced,Male,53.0,-0.01158251454597023,No,Rural,6.828020845843001,Graduate School,Udon,101.0,6872.013850815416
Divorced,Female,45.0,0.3618042708018907,Yes,Urban,4.15283179512633,High School,,68.0,5039.4062893834725
Divorced,Male,64.0,0.5062094642731745,Yes,Urban,8.261506946446541,College,Mahasarakam,93.0,4008.60904254087
Divorced,Female,53.0,0.7451821960741326,Yes,Suburban,,High School,Khon Kaen,41.0,4626.137330232783
Married,Male,48.0,-0.5343518439937872,Yes,Suburban,5.014672967692081,Graduate School,Mahasarakam,21.0,4204.26606032723
Single,Female,48.0,0.4099146476203367,No,Suburban,7.191086954512374,Graduate School,Khon Kaen,71.0,4958.64335348874
Divorced,Male,74.0,0.09019911492903925,Yes,Urban,,High School,Udon,71.0,1746.3909854084718
Married,Male,42.0,-0.5396462564909267,Yes,Urban,5.139225644712908,High School,Udon,53.0,4116.277587270428
Single,Female,58.0,0.13398535857812102,No,Rural,5.96688301785453,Graduate School,Khon Kaen,72.0,6127.881462352538
Single,Female,53.0,0.7692599562382525,Yes,Suburban,6.932792996192175,College,Khon Kaen,70.0,5621.097285166134
Married,Female,53.0,-0.016506076141499793,No,Rural,5.825731007987827,College,Khon Kaen,52.0,5281.568949019605
Divorced,Female,67.0,0.6390236910978501,Yes,Urban,8.169305099917759,College,Mahasarakam,79.0,3940.9214473139364
Divorced,Male,46.0,0.6771663829698524,Yes,Urban,5.4858635593852565,College,Khon Kaen,57.0,5212.902855528974
Divorced,Female,,-0.11875699937073819,Yes,Suburban,7.3323875031673955,College,Mahasarakam,40.0,3693.5448908824237
Married,Male,50.0,,No,Urban,7.1262596048028515,High School,Udon,71.0,5466.691971297676
Divorced,Female,50.0,-0.04950702737872342,Yes,Suburban,6.0804039146114395,College,Khon Kaen,64.0,4127.898498836421
Married,Male,56.0,-0.1700146508650957,No,Suburban,5.62792080107737,College,Mahasarakam,51.0,5328.099345964632
Married,Male,52.0,-0.15643647293525942,No,Suburban,4.789287167861571,High School,Mahasarakam,53.0,4877.60864532746
Married,Male,53.0,0.3077511172290948,No,Suburban,6.938100980172938,High School,Mahasarakam,62.0,5431.224046316462
Single,Female,56.0,-0.22783939419441063,Yes,Suburban,5.819550812267164,Graduate School,Udon,66.0,3530.787509954638
Divorced,Male,54.0,0.1598233816332742,No,Urban,6.731317829531449,Graduate School,Udon,59.0,6255.4105589616765
Married,Female,53.0,-0.31307231608803554,No,Urban,5.603986386790634,College,Khon Kaen,,4326.588137781633
Divorced,Female,50.0,-0.5022797629032962,No,Suburban,8.15594096244261,High School,Khon Kaen,51.0,6261.403596040205
Married,Female,56.0,0.23146163275402773,No,Rural,4.575430974911885,College,Udon,31.0,4086.710836296733
Divorced,Female,59.0,0.17551900151311173,Yes,Urban,7.620476346625357,College,Khon Kaen,42.0,4139.388850637159
Divorced,Male,51.0,-0.04485893832942239,No,Rural,6.365330899633946,Graduate School,Mahasarakam,67.0,6190.104773105699
Single,Male,45.0,0.0013352352458041172,Yes,Urban,4.792872277299575,College,Khon Kaen,17.0,4273.396994212644
Divorced,Female,50.0,0.6997204957340606,No,Rural,4.294120246354693,College,Udon,65.0,3210.5130600315742
Married,Male,57.0,-0.13973728390593765,No,Suburban,5.736314313809763,Graduate School,Mahasarakam,72.0,6665.118160997153
Married,Female,50.0,0.219022975114553,No,Rural,5.899607554339364,College,Mahasarakam,87.0,4277.499052498436
Married,Female,46.0,0.142429441270028,No,Rural,7.31838015068624,,Udon,77.0,6577.450573326848
Single,Male,51.0,0.2733488390775529,No,,6.202402933458756,,Khon Kaen,53.0,4613.5594093150385
Married,Male,53.0,0.015188533806153842,No,Suburban,5.583097713069289,College,Mahasarakam,65.0,5711.292373223238
Married,Female,,0.25788616180944285,No,Rural,6.965089709958619,Graduate School,Mahasarakam,59.0,5872.0070971844925
Married,,58.0,-0.6010722477890378,No,Rural,5.905182092935319,College,Mahasarakam,80.0,5636.905941860614
Single,Male,47.0,0.3012669061852397,No,Rural,6.913077986110653,Graduate School,Khon Kaen,80.0,5093.535791082254
Divorced,Female,49.0,-0.06046515481354159,Yes,,6.40603591582366,High School,Khon Kaen,53.0,3409.5806967815015
Divorced,Male,46.0,0.6979322200684281,Yes,Urban,5.713482283191861,High School,Udon,83.0,4738.662953759046
Divorced,Female,58.0,-0.22820560104978393,Yes,Urban,5.661149161401874,Graduate School,Udon,70.0,3009.682517316887
Single,Female,31.0,-0.5625253096339933,Yes,Urban,2.5293556795331655,Graduate School,Udon,51.0,4383.637270149198
Divorced,Male,50.0,-0.09778353171344595,Yes,Suburban,5.790911623084038,College,Udon,44.0,5109.190130362231
Divorced,Male,59.0,0.7040009946013852,Yes,Urban,8.605953872293005,College,Mahasarakam,97.0,3961.457811621278
Divorced,Female,,-0.04191112408901998,Yes,Urban,6.673321422274329,Graduate School,Udon,38.0,4577.539546191108
Married,Female,48.0,-0.13044497612073042,Yes,Suburban,4.217441912445578,Graduate School,Khon Kaen,57.0,4425.730466313918
Divorced,Female,45.0,-0.4159227960758626,No,Rural,7.337393014265361,College,Khon Kaen,57.0,4877.569432487551
Single,Male,58.0,0.22082907770913013,Yes,Urban,6.059063124108327,High School,Mahasarakam,62.0,4812.0222083009685
Married,Female,48.0,0.010389124255082316,No,Suburban,4.150085700401609,College,Khon Kaen,63.0,4222.976614860187
Single,Male,41.0,-0.18915863813218575,Yes,Rural,4.092886420775755,College,Udon,88.0,4980.1166045445125
Single,Male,50.0,0.032704984363161965,Yes,Suburban,4.676218875183714,College,Mahasarakam,78.0,5480.4703979555325
Married,Female,31.0,-0.12847233571644628,Yes,Suburban,3.045462505756913,High School,Khon Kaen,56.0,4147.223053072308
Single,Female,56.0,-0.5192229113900344,No,Rural,6.74825438343763,High School,Khon Kaen,34.0,6014.962876224454
Divorced,Male,51.0,0.12590933193218073,Yes,Urban,7.11465047643857,High School,Khon Kaen,26.0,5293.876055047159
Married,Male,55.0,-0.10267833728039649,No,Rural,5.8476437683318,Graduate School,Khon Kaen,58.0,5431.895297171434
Divorced,Male,61.0,0.35006904718882537,Yes,Urban,5.503138670155128,College,Udon,77.0,4447.790728629657
Single,Male,56.0,0.448397723807174,No,Suburban,5.952706276234037,Graduate School,Khon Kaen,93.0,5844.834582393005
Married,Female,50.0,-0.09095213787764422,No,Rural,5.738545810843286,Graduate School,Mahasarakam,64.0,4386.787514477422
Single,Female,53.0,0.23663798700283273,Yes,Suburban,4.499413197310449,College,Khon Kaen,38.0,5237.265659943236
Single,Male,61.0,-0.056754196853146366,Yes,Urban,8.39547900463246,High School,Udon,99.0,3578.3372661929297
Divorced,Female,59.0,-0.0440818789168308,Yes,Rural,6.5214215270459714,Graduate School,,55.0,4085.2755721990534
Married,Male,60.0,0.2031383672791104,No,Urban,4.994709441125923,High School,Khon Kaen,57.0,5187.783637364908
Married,Male,,0.06065964329761503,No,Rural,6.031297312364822,Graduate School,Udon,60.0,4556.770067045928
Single,Female,61.0,-0.10423879390296031,No,Suburban,6.021670166800378,High School,Khon Kaen,42.0,5651.885790782927
Divorced,Male,72.0,-0.015251655479588788,Yes,Urban,6.395338288492991,College,Udon,74.0,4086.9687524137066
Single,Female,44.0,-0.03672215654051117,Yes,Urban,5.837565759276793,College,Khon Kaen,68.0,3589.439686693317
Divorced,Male,47.0,-0.6357664758848783,No,Suburban,5.358540965353406,High School,Udon,63.0,3760.3969374054573
Divorced,Female,51.0,-0.22416939725602136,No,Rural,6.614963851146394,High School,Mahasarakam,76.0,4085.3837454842496
Married,,51.0,0.3312401431183582,No,Suburban,5.102778165680048,High School,Mahasarakam,49.0,3396.324774786921
Married,Male,54.0,-0.47921349863626683,No,Rural,4.750406118017579,High School,Udon,48.0,5299.26692874042
Divorced,Female,64.0,0.21328524418973735,Yes,Suburban,6.967551802935948,Graduate School,Khon Kaen,29.0,2688.6065415698813
Single,Male,52.0,-0.06935217372614921,No,Rural,4.940821634527184,College,Mahasarakam,61.0,4470.275164460987
Divorced,Female,51.0,,Yes,Suburban,5.995974605696497,College,Khon Kaen,56.0,3317.6768368337825
Divorced,Female,43.0,0.7211891588283558,Yes,Rural,5.9968619895180995,,Udon,81.0,4278.756369523426
Divorced,Male,57.0,0.03158990851708238,Yes,Urban,5.587473825009448,Graduate School,Mahasarakam,58.0,4124.712661334751
Divorced,Male,40.0,-0.31468623330627055,Yes,Urban,,College,Mahasarakam,51.0,5668.213737374141
Married,Male,55.0,-0.2983727926308629,No,Rural,4.408177118261753,Graduate School,Khon Kaen,62.0,4746.743289641599
