Location Code,Months with Company,Annual Income,Age,Marital Status,City,Sex,Renew,Brand Loyalty,Online Activity,Education Level
Rural,70.0,31812.654090989025,62.0,Divorced,Udon,Female,Yes,-0.18682426328389928,6.068645237991197,Graduate School
Urban,63.0,28681.297810136784,53.0,Divorced,Udon,Female,Yes,0.29242307799627965,5.3961899126152595,Graduate School
Urban,60.0,32775.500996052855,36.0,Divorced,Mahasarakam,Male,Yes,-0.31061088166002665,6.979610552078368,High School
Rural,73.0,51957.57628516762,54.0,Married,Mahasarakam,Female,No,0.6135601046751714,4.158931502883913,Graduate School
Urban,50.0,49839.669870570244,40.0,Single,Khon Kaen,Female,Yes,0.023904594883957547,6.735143314702464,College
Urban,47.0,71725.22191293362,42.0,Married,Udon,Male,No,0.32244339732534283,1.5900250637351139,High School
Urban,62.0,31081.30651065014,29.0,Married,Udon,Male,Yes,0.18050441638687342,4.897365340530189,College
Suburban,65.0,61712.474281339455,42.0,Single,Mahasarakam,Female,No,-0.5161083589342232,4.072082093305704,Graduate School
Suburban,85.0,42268.57646797957,65.0,Single,Khon Kaen,,No,0.11814207320317356,5.356462198283437,College
Urban,63.0,46366.0804795975,36.0,Divorced,Mahasarakam,Female,Yes,-0.22893142778311154,7.687507262377633,Graduate School
Urban,58.0,51302.50120409496,48.0,Married,Udon,Male,Yes,0.7913982055325437,4.228832805072581,
Urban,46.0,39380.229119320284,40.0,Divorced,Khon Kaen,Female,Yes,-0.13552268851678523,6.275712710418529,College
Urban,90.0,24352.266835350183,56.0,Married,Khon Kaen,Male,Yes,-0.19326649056777642,6.5190095999700315,Graduate School
Suburban,41.0,56081.98982718366,30.0,Single,Khon Kaen,Male,Yes,-0.464450113916834,8.822247893690225,Graduate School
Suburban,57.0,28682.256048031,42.0,Divorced,Udon,Female,Yes,0.02583136059732715,6.8180225965693815,High School
Urban,55.0,40520.28936741792,27.0,Single,Khon Kaen,Male,Yes,0.05176022986626057,6.4164456519530795,Graduate School
Urban,70.0,43261.33530886369,48.0,Divorced,Mahasarakam,Female,Yes,-0.3653136603485775,7.567650001717368,College
Urban,82.0,33346.98977442742,34.0,Married,Udon,Male,Yes,0.6963806853733806,3.7294096163017394,High School
Rural,60.0,45658.59804384783,36.0,Married,Khon Kaen,Female,No,0.3796913687742999,3.4776777959756062,High School
Suburban,65.0,61831.363664976045,45.0,Married,Mahasarakam,Male,No,-0.6188687502741151,4.31640094087097,Graduate School
Rural,44.0,66598.39683593642,49.0,Single,Khon Kaen,,No,-0.32432499144670285,4.3009070711494015,Graduate School
Suburban,75.0,41441.25867039894,65.0,Married,Udon,Male,Yes,0.23232656353081685,4.885570871754475,College
Rural,70.0,67098.73716047035,43.0,Married,Khon Kaen,Female,No,-0.42503307760361525,7.653321430539332,College
Urban,22.0,50141.26294450891,38.0,Married,Mahasarakam,Female,Yes,0.006232911297107922,8.42433647892212,College
Suburban,23.0,75682.97277456832,47.0,Married,Khon Kaen,Female,Yes,0.40695611445387514,9.229736846967295,College
Suburban,46.0,57151.986110030295,56.0,Divorced,Khon Kaen,Female,Yes,0.25526417399018175,6.415908379701632,High School
Rural,68.0,42818.05636751439,41.0,Single,Khon Kaen,Female,Yes,0.2900300850489148,4.159489026287702,College
Rural,78.0,63118.9109373316,37.0,Married,Udon,Female,No,-0.4657508175090802,4.165063577233748,College
Urban,53.0,50132.569356832,58.0,Divorced,Khon Kaen,Male,Yes,0.348064636662838,6.301354469594277,Graduate School
Urban,52.0,43894.782480677095,45.0,Divorced,Khon Kaen,Female,Yes,0.6506973687985156,5.996428940209786,High School
Suburban,83.0,64156.34745817947,40.0,Divorced,Udon,Female,No,-0.030905227011111744,6.748011422129414,High School
Suburban,56.0,32523.948319223087,54.0,Single,Mahasarakam,Male,Yes,-0.23973311219446608,6.5363321186943635,High School
Urban,36.0,48590.547158762376,51.0,Divorced,Udon,Male,Yes,-0.17971812019523925,8.33736983741087,College
Suburban,76.0,60143.52115439814,39.0,Married,Khon Kaen,Female,No,0.07403115671398103,6.059184543896161,High School
Rural,61.0,72572.80586167033,47.0,Divorced,Khon Kaen,Female,No,-0.5430385649252202,4.367435361808163,High School
Urban,34.0,48597.125369048554,,Single,Mahasarakam,Female,Yes,0.15969459523186064,7.383866712932,College
Urban,68.0,38328.71427470693,37.0,Single,Khon Kaen,Female,Yes,0.2668602153984656,5.85436865828039,High School
Rural,51.0,56300.619414360575,52.0,Single,Mahasarakam,Female,No,-0.08916564924199455,4.5415189638552125,College
Urban,42.0,58739.4465952609,26.0,Divorced,Udon,,Yes,0.8831192030015915,6.523345590394536,High School
Rural,60.0,45754.343972231894,40.0,Divorced,Khon Kaen,Female,Yes,0.28374342688461734,6.6184722078429985,College
Rural,12.0,68948.54912855689,49.0,Divorced,Khon Kaen,Female,Yes,1.0103177049011842,6.485091163526312,High School
Urban,61.0,53901.19318872047,68.0,Divorced,Khon Kaen,Female,Yes,0.2030626910035562,6.081085263594202,Graduate School
Suburban,40.0,61073.1988327646,51.0,Single,Mahasarakam,Male,Yes,0.12231101145955238,7.917327765711416,College
Suburban,88.0,28774.241973726406,22.0,Single,Udon,Female,Yes,-0.002995510836192851,4.481710095323104,College
Urban,41.0,37365.74037308133,48.0,Single,Udon,Female,Yes,0.09195475780885745,6.0937400960994434,Graduate School
Suburban,37.0,63628.630106836565,52.0,Divorced,Mahasarakam,Female,Yes,0.9115786844204745,7.364485913608441,High School
Rural,56.0,61496.06512752583,36.0,Married,Khon Kaen,Male,No,,7.655295702012616,High School
Rural,60.0,45193.491084597845,47.0,Single,Udon,Female,Yes,0.3137930309306371,5.923105041500748,Graduate School
,48.0,30400.557828934674,48.0,Divorced,Udon,Male,Yes,0.5498813670768671,6.348085931928346,College
Urban,51.0,70043.44594977832,48.0,Divorced,Khon Kaen,Male,No,-1.0797269480238463,6.571096416572514,College
Suburban,61.0,39477.797003717074,46.0,Married,Khon Kaen,Female,Yes,0.303981624378011,5.832142994142585,College
Suburban,36.0,49279.03318113478,38.0,Divorced,Mahasarakam,Male,Yes,0.3842465259725104,6.721949393341761,Graduate School
Urban,56.0,77579.66965767264,48.0,Divorced,Mahasarakam,Female,No,-0.7950134730993794,7.797699363438764,High School
Rural,83.0,57841.77238453955,57.0,Divorced,Mahasarakam,Female,No,0.00813296392705204,5.07451579889949,College
Urban,49.0,49760.36441747193,,Divorced,Khon Kaen,Male,Yes,0.06655776441914461,6.869989752922037,Graduate School
Rural,90.0,66110.83284506937,42.0,Single,Khon Kaen,Male,No,-0.3142105815266676,5.1273407128611765,College
Rural,79.0,71037.45927812126,51.0,Single,Mahasarakam,Male,No,-0.6561415391181683,6.177903145659926,High School
Urban,87.0,37042.27922461217,44.0,Divorced,Mahasarakam,Female,Yes,0.053578190949707644,4.790249861316812,Graduate School
Rural,64.0,72343.39618526907,39.0,Married,Khon Kaen,Female,No,-0.08313504726466409,5.490577584403401,College
Rural,62.0,48848.48286907206,43.0,Divorced,Mahasarakam,Male,Yes,0.9053766248308284,4.958146113269916,College
Suburban,75.0,29400.18429330027,53.0,Married,Mahasarakam,Female,Yes,-0.5735369420780669,5.808979874343272,Graduate School
Urban,60.0,22454.166850906975,57.0,Divorced,Khon Kaen,Female,Yes,0.3976689963302285,6.157511064970528,Graduate School
Rural,59.0,39897.9681409091,39.0,Divorced,Mahasarakam,Female,Yes,0.42114109217779794,5.111697422203199,High School
Urban,50.0,50437.479414726615,37.0,Divorced,Khon Kaen,Female,Yes,0.03571557414930477,6.698454304934517,College
Suburban,58.0,27721.662511227794,52.0,Divorced,Mahasarakam,Female,Yes,0.3578560521524766,6.139888253047199,College
Suburban,35.0,54505.86738645999,49.0,Divorced,Udon,Female,Yes,1.1445501660277853,5.810246334114925,College
Rural,37.0,48759.86774381657,44.0,Divorced,Udon,Female,Yes,0.16797884868192786,6.950678860786406,College
Rural,77.0,,50.0,Divorced,Udon,Male,No,-0.5231264967451021,6.947819724630778,Graduate School
Rural,96.0,36077.89138858054,54.0,Married,Khon Kaen,Female,No,-0.3678395979115354,4.407878204016666,High School
Rural,30.0,57829.759147177036,52.0,Married,Khon Kaen,Female,Yes,0.7452876404147785,7.161453071419966,High School
Rural,87.0,53754.9975044505,31.0,Married,Khon Kaen,Male,No,-0.09199193806699874,4.930659351372552,Graduate School
Suburban,68.0,55939.12342843057,48.0,Divorced,Mahasarakam,Male,No,-0.4236745204157801,4.231330244946792,Graduate School
Rural,62.0,60255.29832185379,56.0,Married,Khon Kaen,Female,No,-0.0838997627555676,4.633326471891046,Graduate School
Rural,51.0,72648.01636888928,61.0,Married,Udon,Male,No,-1.2099363018372762,5.401411873464613,College
Suburban,95.0,60029.652592532206,41.0,Married,Mahasarakam,Male,No,-0.28761327118021224,6.4670326562302245,Graduate School
Suburban,36.0,62756.09885369036,50.0,Divorced,Udon,Female,Yes,-0.1855947880942237,7.334107877259357,Graduate School
Suburban,38.0,60608.47642642206,50.0,Single,Udon,Female,Yes,0.9084015606528566,6.086666905857323,College
Rural,92.0,43625.78863706683,48.0,Single,Khon Kaen,Female,No,-1.0979092582788685,6.974243161256191,High School
Suburban,60.0,42868.782569789124,29.0,Divorced,Khon Kaen,Female,Yes,0.4610336541752354,5.723195363551038,College
Urban,46.0,78228.4815235261,55.0,,Khon Kaen,Male,No,-1.2326911060897219,4.963755996330635,College
Suburban,39.0,59432.00876332734,54.0,Divorced,Khon Kaen,Female,Yes,0.31987160332640135,7.847844511596605,College
Rural,89.0,63192.01238942743,55.0,Single,Mahasarakam,Female,No,-0.438436125004242,6.286361871935812,College
Suburban,39.0,55210.8754440523,60.0,Divorced,Mahasarakam,Male,Yes,-0.02701817972987615,7.181565858302379,High School
Urban,55.0,46968.217465200156,43.0,Divorced,Khon Kaen,Male,Yes,0.19210490553532408,4.787679888691777,College
Rural,46.0,50310.15218991371,59.0,Single,Khon Kaen,Male,Yes,0.9330849430300512,6.457022821143192,Graduate School
Urban,72.0,57848.97461538211,75.0,Married,Khon Kaen,Male,No,-0.3737272194601484,6.070950861277542,High School
Rural,66.0,66033.72397142583,50.0,Married,Mahasarakam,Male,No,-0.30552330098044145,3.154015470253236,College
Rural,101.0,,57.0,Divorced,Udon,Male,No,0.0051741357865482465,6.329567906138881,College
Urban,66.0,43797.140086475956,48.0,Divorced,Mahasarakam,Male,Yes,-0.07367242167182336,6.07743549049423,High School
Rural,92.0,41478.665117105804,43.0,Married,Mahasarakam,Male,No,-0.40890665154964123,7.050210402505062,High School
Urban,55.0,49319.910095602834,24.0,Single,Udon,Female,,-0.260315393916383,7.170388081529766,Graduate School
Rural,42.0,81351.44615810341,31.0,Married,Udon,Female,No,0.11419885018764336,2.5762316872938857,Graduate School
Suburban,71.0,46423.530795763036,48.0,Married,Khon Kaen,Female,No,-0.6734674812329056,5.807664141397105,College
Urban,27.0,39576.28814104473,37.0,Single,Mahasarakam,Male,Yes,0.6637906583238635,6.694671174738359,High School
Suburban,84.0,40967.75279421845,43.0,Married,Khon Kaen,Female,No,0.01886236756741543,3.9487350963226393,College
Urban,56.0,38867.068441820215,38.0,Divorced,Udon,Female,Yes,0.06027149078098478,6.204304812853833,Graduate School
Rural,77.0,56246.48203598721,34.0,Single,Khon Kaen,Male,No,-0.6712766252105584,4.609370678588062,College
Urban,23.0,46509.01046592651,49.0,Single,Udon,Male,Yes,0.46755714436084894,8.224703759429463,Graduate School
Suburban,38.0,38306.576748800086,56.0,Married,Udon,Female,Yes,0.7367091139065115,6.612414697799401,College
Urban,67.0,36526.59674229944,39.0,Single,Khon Kaen,Male,Yes,-0.08656917065313147,5.612551954860772,College
Suburban,34.0,56775.26955401578,38.0,Single,Mahasarakam,Male,Yes,0.8490784096006205,5.947304899259785,Graduate School
Urban,49.0,53763.24912914832,56.0,Divorced,Mahasarakam,Female,Yes,0.350680587255652,7.504150775640399,Graduate School
Rural,56.0,61447.11680050357,37.0,Married,Udon,Male,No,0.2338338861205061,2.4819203404330996,High School
Urban,65.0,43798.3312256954,47.0,Single,Udon,Female,Yes,1.2651636628013652,3.0332816261626165,Graduate School
Suburban,73.0,53335.51171534057,46.0,Divorced,Khon Kaen,Female,No,-0.5064642270253279,6.2748665831689685,Graduate School
Rural,79.0,52397.36309003104,50.0,Married,Udon,Male,No,0.3305270977180511,5.447897042272075,
Rural,81.0,60855.29753577332,48.0,Single,Udon,Female,No,-0.26345497279140634,6.584156602356028,High School
Urban,50.0,36650.844315146605,26.0,Single,,Male,Yes,-0.0605078593232696,6.354934044379341,Graduate School
,80.0,36186.44852592284,40.0,Married,Mahasarakam,Female,No,-0.056041747588185226,3.365821286239917,High School
Rural,53.0,48003.824044875175,57.0,Divorced,Khon Kaen,Female,No,0.25951625216282814,3.001061110338887,
Urban,12.0,73027.78698303316,30.0,Divorced,Udon,Male,Yes,1.3051163986024783,8.513684817585188,College
Suburban,45.0,42318.30171779345,45.0,Divorced,Mahasarakam,Female,Yes,0.28748138563712267,6.911732303572154,Graduate School
Rural,64.0,42975.44763106606,40.0,Divorced,Udon,Female,No,-0.4225504563890097,4.185689378172418,High School
Suburban,57.0,54772.85662047574,33.0,Divorced,Udon,Female,Yes,0.6504771585405096,5.541624663561893,High School
Rural,46.0,82044.37391882046,46.0,Married,Udon,Male,No,-0.5144006954043153,5.003198623071843,Graduate School
Rural,99.0,50578.7904837109,52.0,Married,Udon,Female,No,0.4807332309096013,,College
,64.0,68468.93552223893,39.0,Married,Udon,Female,,0.17820554555769813,4.205871627437126,High School
Suburban,56.0,42294.55307337089,48.0,Divorced,Udon,Female,Yes,-0.2075707306142452,6.043452339177156,Graduate School
Rural,50.0,43909.35214757356,50.0,Divorced,Khon Kaen,Male,Yes,-0.06036273804138184,7.997038185306151,College
Suburban,78.0,66077.32697129947,27.0,Married,Udon,Male,No,-0.06589352224669784,6.154923347984818,High School
Rural,33.0,46945.24758011437,29.0,Divorced,Khon Kaen,Female,Yes,0.510488356898777,7.958142057318343,Graduate School
Urban,42.0,59884.66989519182,,Single,Mahasarakam,Male,Yes,0.3735668388737336,6.758404644451757,College
Urban,53.0,53884.488838611105,56.0,Single,Udon,Female,Yes,0.28856805659668416,7.217719008304201,College
Urban,58.0,35839.289137588596,35.0,Divorced,Udon,Female,Yes,-0.004710016033751527,6.696961348786752,College
Urban,50.0,44636.32791545798,37.0,Divorced,Udon,Female,Yes,0.9451319281738136,4.816507515901616,College
Rural,69.0,45115.35882785024,49.0,Married,Mahasarakam,Male,No,0.5342826478811783,5.772216306903282,High School
Rural,60.0,68390.43895346689,42.0,Single,Mahasarakam,Male,No,-0.8679347681152049,5.473257349232032,Graduate School
Rural,70.0,69456.05825257229,46.0,Married,Khon Kaen,Female,No,-0.37743054683352456,3.4036205949345146,High School
Suburban,53.0,50629.59733429779,44.0,Divorced,Udon,Male,Yes,-0.030537883763526563,6.37337843813217,College
Suburban,30.0,53208.78403275971,42.0,Single,Udon,Male,Yes,0.43534161934226023,8.0494923981401,College
Suburban,73.0,53008.76844592136,39.0,Divorced,Udon,Female,No,,6.43242876866389,High School
Rural,70.0,58352.09605717418,47.0,Single,Mahasarakam,Male,No,-0.027587446408311886,3.774634154875493,
Urban,50.0,56221.67954353274,42.0,Single,Mahasarakam,Male,Yes,1.1284066414489273,5.122012558195612,College
Urban,45.0,43602.14837073666,43.0,Single,Udon,Male,Yes,0.6450863577838339,6.374026857554048,High School
Rural,37.0,60807.18417600372,44.0,Single,Mahasarakam,Female,No,0.05788431447107779,2.898650956375448,High School
Suburban,1.0,69187.62227323065,55.0,Divorced,Udon,Male,Yes,0.7091138084588514,9.114690032196837,Graduate School
Urban,,45193.57697716052,60.0,Divorced,Udon,Female,Yes,0.38587677713618385,7.339946536728209,Graduate School
Rural,100.0,35936.82023168121,40.0,Single,Mahasarakam,Female,No,-0.13595812356060588,5.11497672961086,College
Urban,49.0,48820.94778932729,39.0,Divorced,Udon,Female,Yes,-0.01484932282157847,8.241485922049359,High School
Urban,82.0,25486.672038908055,39.0,Divorced,Udon,Male,,0.23088963914629113,5.062864998953067,Graduate School
Urban,83.0,54781.92505450911,45.0,Married,Udon,Female,No,-0.1814239325117492,7.126017974169183,High School
Urban,42.0,41496.53847844001,38.0,Single,Mahasarakam,Female,Yes,0.37021293462279004,7.281357841324052,College
Rural,67.0,50429.70231443194,66.0,Single,Udon,Female,No,0.3998239329241983,4.572689832861763,Graduate School
Rural,53.0,39804.89193009505,49.0,Divorced,Udon,Male,Yes,0.27030847816308023,6.823299261071046,Graduate School
Rural,79.0,51531.9821569469,52.0,Divorced,Khon Kaen,Female,No,-0.006158120641815597,7.241165331927153,Graduate School
Urban,20.0,63876.851752408395,43.0,Divorced,Mahasarakam,Male,Yes,0.7483524306337496,7.055093490612791,Graduate School
Rural,61.0,84907.2799740145,48.0,Divorced,Udon,Female,No,-0.4806310899685853,6.388505561063519,Graduate School
Urban,34.0,38314.540951491275,44.0,Divorced,,Male,Yes,0.03265146876877467,7.532630670703599,College
Urban,62.0,61275.60882050741,45.0,Single,Mahasarakam,Female,No,-0.09813862390710942,4.065065919898198,College
Suburban,37.0,56127.97524611015,32.0,Single,Khon Kaen,Male,Yes,0.9947533148336359,5.786680438078584,Graduate School
Suburban,50.0,35357.13813844399,40.0,Single,Udon,Female,Yes,0.37973991632319015,5.390468148170701,High School
Rural,71.0,56737.54099136383,23.0,Married,Mahasarakam,Male,No,0.5620008450829069,4.48530912233266,College
Suburban,46.0,50790.82780376128,36.0,Married,Khon Kaen,Male,Yes,0.38606333701270895,6.7346421706236494,High School
Urban,61.0,37839.88642114492,38.0,Single,Mahasarakam,Female,Yes,0.053341765764811276,5.957988856486232,Graduate School
Suburban,50.0,75990.04070591586,41.0,Divorced,Mahasarakam,Female,No,-0.8645408271456928,5.694118456052408,Graduate School
Urban,37.0,47787.56615330307,55.0,Divorced,Udon,Male,Yes,-0.19263906792913452,9.009416108648221,Graduate School
Rural,67.0,69798.34370399323,34.0,Divorced,Mahasarakam,Female,No,-0.7353082519739854,4.339353831338849,Graduate School
Urban,61.0,37807.37456669123,34.0,Single,Khon Kaen,Male,Yes,0.015352394584201824,6.321261628757587,Graduate School
Urban,85.0,26498.46352488951,48.0,Divorced,Mahasarakam,Male,Yes,0.3776144193502309,4.361044838035102,Graduate School
Urban,41.0,46967.91192127825,54.0,Divorced,Khon Kaen,Male,,0.7272435174739084,5.9106290608926875,Graduate School
Rural,61.0,68071.42371772419,37.0,Divorced,Udon,Male,No,0.08250040951673906,3.837106389727196,High School
Urban,57.0,40889.1539786216,41.0,Single,Udon,Male,Yes,0.13452129113486389,6.212291106344365,Graduate School
Suburban,70.0,68029.7900166375,33.0,Married,Khon Kaen,Male,No,-0.5839715942296569,5.309382625188989,High School
Urban,18.0,59686.34696548076,41.0,Divorced,Udon,,Yes,0.9263072429366233,6.597077284425653,High School
Suburban,52.0,32542.660794139327,29.0,Divorced,Khon Kaen,Female,Yes,-0.0934322371581382,5.788943465926229,College
Rural,80.0,51642.12140450147,55.0,Divorced,Mahasarakam,Male,No,0.23191603592737273,3.621936293690867,College
Rural,74.0,49314.72641217603,54.0,Single,Khon Kaen,Male,No,-0.6800867530986573,5.560849817958649,High School
Urban,47.0,59296.045654965885,38.0,Single,Udon,Male,Yes,,5.671269621193277,High School
Rural,82.0,37854.32841166904,39.0,Divorced,Khon Kaen,Male,Yes,,4.996023993199583,Graduate School
Urban,68.0,33504.692137529804,42.0,Single,Mahasarakam,Female,Yes,0.0604575894240261,6.297492951722929,Graduate School
Rural,62.0,54594.90103957856,63.0,Married,Udon,Male,No,-0.041776660877514055,4.6241203935596475,College
Rural,92.0,37612.44399707924,42.0,Divorced,Mahasarakam,Male,No,-0.013192217689989592,2.198308815191457,Graduate School
Urban,52.0,45242.00755866653,53.0,Divorced,Khon Kaen,Female,Yes,0.5301144389441687,6.642371927987996,High School
Suburban,35.0,52145.16578938796,54.0,Married,Udon,Female,Yes,0.9661603698910056,5.41613901156796,Graduate School
Rural,51.0,77693.65303338796,42.0,Single,Mahasarakam,Male,No,0.5702056035107751,4.481286781449619,Graduate School
Rural,39.0,50227.41780028306,62.0,Divorced,Mahasarakam,Female,Yes,-0.14235397860029156,8.052187813227992,High School
Suburban,77.0,49911.461223271865,36.0,Married,Udon,Male,No,0.2956780051195479,6.657661528765013,High School
,59.0,31102.42893479469,42.0,Divorced,Khon Kaen,Female,Yes,0.6910315893925674,6.17907956301887,Graduate School
Urban,56.0,40199.50789941431,39.0,Divorced,Mahasarakam,Female,Yes,0.3277915760129781,5.660723423031333,High School
Suburban,85.0,29595.581930935998,40.0,Divorced,Udon,Male,Yes,-0.49766236949745235,5.56136333969165,College
Urban,41.0,53539.2092212886,39.0,Married,Udon,Female,Yes,0.19049524655630318,7.733860467388851,Graduate School
Urban,61.0,62488.619967684965,59.0,Married,Mahasarakam,Female,No,-0.5214371200359237,3.3547488146745756,College
Urban,67.0,24345.030040792793,56.0,Single,Mahasarakam,Male,Yes,-0.10326679424714935,6.8326546699318,High School
Rural,63.0,53142.831575625634,48.0,Divorced,Khon Kaen,Female,,-0.29016322685778034,5.425691681583093,Graduate School
Rural,74.0,63385.10324118927,44.0,Married,Khon Kaen,Female,No,-0.2249798656986925,5.177156188059061,High School
Urban,59.0,36432.71251911106,39.0,Single,Khon Kaen,Female,Yes,0.10460677889700776,5.671886331130262,High School
Urban,77.0,40612.77029582327,52.0,Single,Khon Kaen,Male,Yes,0.527452305042767,3.741913796253752,College
Suburban,48.0,59299.252113300754,34.0,Married,Khon Kaen,Female,Yes,1.0007341276938257,5.226872265433575,
Urban,25.0,60468.846569639994,39.0,Single,Mahasarakam,Male,Yes,0.9342547641167879,7.571473387063957,College
Rural,34.0,78317.12409862032,34.0,Divorced,Khon Kaen,Male,No,-0.5828393568389908,7.277037835491374,College
Rural,50.0,45322.56512337735,40.0,Divorced,Khon Kaen,Male,Yes,0.34899537471528636,6.951742868665633,
Urban,38.0,46488.989699501864,39.0,Married,Khon Kaen,Female,Yes,0.2070095696664129,7.998102339776958,College
Urban,47.0,58433.59912866923,62.0,Divorced,Udon,Female,Yes,0.4996341817033761,6.557655626569882,Graduate School
Rural,61.0,40212.607713108315,47.0,Single,Udon,Female,Yes,-0.0265681388201037,4.921894676104059,High School
Suburban,68.0,27726.992132352803,48.0,Divorced,Khon Kaen,Male,Yes,-0.6311407681628936,6.95519095076354,High School
Rural,89.0,48229.7191438599,49.0,Married,Udon,Female,No,-0.6631068802977521,,Graduate School
Rural,86.0,58755.68722815515,37.0,Married,Khon Kaen,Female,No,-0.10254697118808001,3.964618272687648,College
Suburban,54.0,39539.36321482729,51.0,,Udon,Female,Yes,0.23175293599786168,5.46540851066164,Graduate School
Rural,71.0,61203.46633078217,55.0,Married,Udon,Female,No,-1.3294782255126094,6.54792381595429,Graduate School
Rural,46.0,49866.15026621901,26.0,Divorced,Khon Kaen,Male,No,-0.5384271871534902,4.30677174526022,College
Urban,41.0,31084.362757162635,51.0,Single,Udon,Female,Yes,-0.12745658163100668,6.9839326655835965,Graduate School
Urban,67.0,47517.225526857575,27.0,Divorced,Khon Kaen,Female,Yes,0.5896296882178438,5.413849024535981,High School
Suburban,62.0,43498.1252270531,43.0,Single,Mahasarakam,Female,Yes,0.4435779028171538,5.1273107052503075,High School
Urban,42.0,55874.33238370489,44.0,Divorced,Udon,Female,Yes,0.427174051046314,7.012511932419157,High School
Suburban,52.0,42221.93029965375,49.0,Single,Udon,Female,Yes,0.1472604159134579,6.372171084210841,Graduate School
Suburban,35.0,44809.25366328246,34.0,Single,Udon,Male,Yes,0.31752479955508484,6.604839955751531,High School
Suburban,70.0,49765.381442151636,38.0,Single,Udon,Female,No,-0.20954682264005164,4.638333190450759,Graduate School
Urban,36.0,42466.351080045824,41.0,Divorced,Khon Kaen,Male,Yes,0.4704145777458936,7.55994657864901,College
Suburban,67.0,47020.76366684052,37.0,Married,Udon,Male,No,-0.10277783293623224,3.7875616239720777,College
Rural,46.0,41446.3090562727,33.0,Divorced,Khon Kaen,Male,Yes,0.24632985690380438,8.016372646952718,College
Suburban,62.0,40432.69663328226,42.0,Divorced,Khon Kaen,Male,Yes,-0.1525286886985751,6.970042942903294,College
Rural,80.0,52478.17959486266,41.0,Divorced,Udon,Male,No,-0.24603739264337215,4.295710956593236,College
Suburban,69.0,51335.9549702565,48.0,Married,Mahasarakam,Female,No,-0.7105079440297292,6.03396364667996,High School
Rural,62.0,72433.540426689,22.0,Married,Mahasarakam,Male,No,-0.3826852269116291,4.299925276387143,College
Urban,20.0,54332.666629133695,37.0,Divorced,Udon,Female,Yes,0.3274301035824302,7.655169529110001,Graduate School
Suburban,58.0,,54.0,Single,Khon Kaen,Male,Yes,0.17333628354584163,5.16301001711535,High School
Rural,,75249.24750693911,60.0,Divorced,Khon Kaen,Female,No,-0.4791548437055835,4.420286817961884,Graduate School
Suburban,80.0,38224.538551701364,,Divorced,Khon Kaen,Female,Yes,0.10726569958840321,5.924414781627319,High School
Urban,11.0,63056.21979310666,53.0,Married,Khon Kaen,Male,Yes,0.41614835413293383,8.678733043586055,Graduate School
Rural,86.0,44072.2807296245,54.0,Married,Khon Kaen,Female,No,-0.3484294190837795,7.306209883333371,Graduate School
Urban,71.0,38405.975553951466,36.0,Single,Mahasarakam,Female,Yes,-0.38882727047565185,6.052053065149339,College
Suburban,82.0,57870.44344794671,34.0,Married,Udon,Male,No,-0.12475004207171528,3.541008846400518,College
Rural,73.0,75911.61419426485,62.0,Married,Khon Kaen,Male,No,-0.6661967763014272,5.744030361106552,College
Urban,82.0,33811.075660734714,56.0,Divorced,Khon Kaen,Female,Yes,-0.6526509535634465,6.205159468490477,Graduate School
