Annual Income,Active online hours,Years subscribed,City,Gender,Education Level,Renew,Brand Loyalty,Marital Status,Age,Location Code
62535.693524159615,6.142404844991675,6.0,London,Female,High School,Yes,,Single,43.0,Suburban
50570.1574178059,4.258663647736601,4.0,London,Male,College,No,0.1728809117798688,Married,66.0,Suburban
69502.9092422328,5.227990161747068,3.0,New Castle,Female,Graduate School,No,-0.19233909105930613,Divorced,39.0,Rural
63808.981596715676,7.051461560590963,4.0,New Castle,Female,College,Yes,-0.6013056560653866,Divorced,53.0,Rural
35494.195959545934,5.991164700150724,4.0,London,Male,High School,Yes,0.09065150445022263,Divorced,52.0,Rural
46649.77555109207,5.853673055133843,5.0,London,Male,High School,Yes,0.5184641259662804,Divorced,48.0,Rural
51843.19198400162,4.647447771032401,6.0,Manchester,Male,College,Yes,0.9188976200339785,Divorced,46.0,Urban
57568.92446529857,6.906556801774684,6.0,London,Male,High School,Yes,-0.3452827745897876,Divorced,44.0,Urban
49135.19340974942,5.819646901325916,3.0,New Castle,Male,College,No,0.3653200510108491,Divorced,52.0,Rural
45747.523638815896,6.612450483561068,,London,Female,Graduate School,Yes,-0.33523742924917366,Married,53.0,Suburban
68249.37095815735,5.405982272515898,3.0,New Castle,Female,College,No,0.0023310882980309977,,,Rural
52244.66865812712,5.593806373972522,3.0,Manchester,Female,College,Yes,-0.19719401444983012,Married,60.0,Urban
47540.54548287653,3.381545626432827,6.0,Manchester,Female,Graduate School,No,-0.44329407509247093,Married,32.0,Suburban
57191.49434118051,8.007463012762145,4.0,London,Male,Graduate School,No,-0.8492896553998754,,61.0,Rural
58022.9371859242,5.538457843984901,3.0,Manchester,Female,College,,0.21779196680003554,Single,67.0,Rural
57121.22181775133,6.358048612968429,6.0,New Castle,Female,Graduate School,Yes,0.6949474950799926,Divorced,51.0,Rural
53052.50619071147,5.534291723106095,5.0,Manchester,Male,High School,Yes,0.11337391152983078,Single,45.0,Suburban
35808.50114403714,3.6847053327873334,3.0,London,Male,College,No,-0.5211250528190638,Divorced,46.0,Rural
40973.25593201957,5.580594209501672,6.0,New Castle,Male,College,Yes,0.7653945854034189,Single,47.0,Urban
73979.96205445161,6.707490679649423,4.0,New Castle,Male,Graduate School,No,0.2622313580157753,Single,44.0,Rural
40495.25769758012,3.6851988349600626,4.0,Manchester,Male,Graduate School,No,-0.09456438284897704,Divorced,50.0,Rural
57454.481326624475,5.404670618605145,4.0,Manchester,Female,Graduate School,Yes,-0.13110460344232952,Divorced,49.0,Urban
52217.55972572597,4.728000113609086,,Manchester,Female,College,Yes,-0.11888285424625473,Single,53.0,Urban
52269.74181899098,4.911330966622491,,Manchester,Male,Graduate School,No,0.1648433382282749,Married,51.0,Rural
47154.785327754864,8.599220536457898,4.0,New Castle,Female,High School,Yes,-0.46463068148097975,Married,62.0,Urban
46816.11087090974,5.971018685514067,5.0,Manchester,Female,College,Yes,-0.0817228686716198,Married,53.0,Urban
44422.86384015597,4.102609562340451,3.0,New Castle,Female,High School,No,0.10964557809411607,Married,46.0,Rural
55880.4265892213,6.875598017197063,5.0,New Castle,Male,Graduate School,Yes,-0.15514528819428006,Divorced,48.0,Suburban
60045.60143222487,4.844030221556413,2.0,Manchester,Female,College,No,0.5240079181710896,Married,45.0,Rural
66344.35532868213,6.089229262077254,5.0,New Castle,,Graduate School,Yes,-0.6087875995217518,Divorced,44.0,Suburban
42917.47431844288,8.293981843376773,5.0,London,Male,College,Yes,-0.33646248336089823,Divorced,34.0,Urban
,5.766534388402079,5.0,Manchester,,College,Yes,0.10082785818229983,Divorced,,Urban
57114.831959043586,6.914620018219455,6.0,Manchester,Female,High School,Yes,-0.27485847548475884,Divorced,45.0,Urban
45716.49668160254,6.2063420044756015,6.0,Manchester,Male,High School,Yes,0.09313833164243313,Married,50.0,Urban
52983.58063518554,6.276246463303373,4.0,New Castle,Female,,Yes,-0.2228220783229495,Single,59.0,Urban
83894.51015054985,6.800933182915638,3.0,London,Female,College,No,0.4751402426980357,Single,49.0,Rural
61229.07295812365,6.184905773213536,3.0,New Castle,Male,College,No,0.4379370881961929,Married,57.0,Rural
46380.29474228132,3.572888810415204,6.0,New Castle,Male,Graduate School,No,0.16466580558245686,Married,51.0,Rural
59817.51224397308,5.327688315434501,3.0,New Castle,Male,Graduate School,No,0.7655011345673648,Married,37.0,Rural
53892.05608142904,6.592626506309973,5.0,New Castle,,College,Yes,-0.5286422268191577,Single,50.0,Urban
59334.1794096629,6.110914737266352,5.0,New Castle,Male,Graduate School,Yes,0.20337090328611013,Single,50.0,Suburban
51491.01853408966,5.403751796803752,4.0,Manchester,Female,Graduate School,No,-0.010768088201777742,Divorced,45.0,Rural
37236.20671784539,3.895708823741102,3.0,New Castle,Male,High School,No,0.1751462988064707,Divorced,48.0,Suburban
50068.51473873096,9.282375506308192,4.0,Manchester,Female,High School,Yes,-0.7088886210890961,Divorced,54.0,Urban
67102.34585511882,6.3612363697248195,4.0,Manchester,Female,College,No,0.23113331060706577,Single,52.0,Rural
50162.906370686054,5.960228838869932,4.0,Manchester,Male,College,Yes,-0.07971596195786795,Married,50.0,Suburban
46347.642315320365,6.496852818145251,6.0,London,Female,Graduate School,Yes,0.07367729004909196,Divorced,63.0,Urban
27272.316716870297,6.628411460537428,4.0,London,Female,College,Yes,0.3436044675378115,Divorced,35.0,Urban
55114.5385937971,5.167443204195152,3.0,Manchester,Male,High School,No,-0.08585537407680617,Single,51.0,Rural
77062.31553088091,7.2397332685826985,5.0,Manchester,Male,Graduate School,Yes,-1.112795131215385,Married,56.0,Urban
63314.04780914321,7.899543495832957,3.0,London,Female,High School,No,0.4414412012690395,Married,39.0,Suburban
58552.88695378986,5.814294012821437,6.0,Manchester,Female,Graduate School,Yes,-0.11148896334225342,Single,48.0,Rural
59782.91234171552,6.309347091049999,4.0,London,Male,Graduate School,Yes,-0.019451564743434513,Divorced,65.0,Suburban
27616.078813624907,5.8435518812278,5.0,London,Female,High School,Yes,0.43500946725894973,Single,51.0,Urban
32794.00804915438,6.121752263554021,2.0,London,Female,College,Yes,-0.19294464421202176,Divorced,41.0,
32841.69059586076,3.5392330181415375,4.0,Manchester,Male,College,No,-0.39531462663541483,Married,,
40249.7955029517,3.595431792882458,4.0,London,Male,College,No,-0.19096938449057646,Divorced,55.0,Rural
62433.34333313834,4.226005612608999,3.0,New Castle,Male,High School,No,0.07783780636540583,Married,51.0,Rural
45315.127693668095,6.313946468473376,4.0,New Castle,Male,Graduate School,Yes,0.08807287747092835,Divorced,40.0,Urban
65622.48124658556,6.4465474302700905,7.0,London,Male,High School,Yes,-0.1374044042244802,Married,64.0,Urban
57942.223610848174,6.322376373391714,3.0,New Castle,Male,College,No,0.038797761801583036,Married,51.0,Rural
45852.78820671897,5.825968520321139,4.0,Manchester,Male,Graduate School,Yes,0.15832979574274253,,43.0,Urban
50583.149970095896,5.464086146861444,3.0,Manchester,Female,College,Yes,0.15269988554581326,Divorced,40.0,Urban
53584.05510278412,7.106286287986924,7.0,New Castle,Male,College,Yes,-0.03491826811629886,Single,50.0,Urban
52420.42383741821,4.929433122366014,3.0,Manchester,Female,High School,No,0.09255504041090584,Divorced,47.0,Suburban
60619.20963841336,4.532485181560688,3.0,Manchester,Female,High School,No,0.43128120641350476,Married,58.0,Rural
65268.68393263134,5.246269673369909,5.0,Manchester,Female,Graduate School,Yes,,Divorced,48.0,Suburban
59100.26740338141,4.857297331685728,3.0,New Castle,Female,High School,No,0.5152635028172433,Married,64.0,Suburban
40517.78886479371,3.956942549534033,3.0,London,Female,Graduate School,No,-0.08179110077865244,Married,54.0,Suburban
58227.67925898996,5.348225771006895,5.0,Manchester,Male,Graduate School,No,0.1295606911424284,Married,40.0,Rural
46156.30505997386,3.827424494822924,4.0,Manchester,Female,High School,No,-0.019379685197003588,Single,45.0,Urban
60133.89220492034,8.314501555694578,6.0,New Castle,Female,High School,Yes,-0.06438990024597958,Married,54.0,Urban
59755.46485525359,6.009541248268413,5.0,Manchester,Female,High School,Yes,0.4074951276132268,Divorced,49.0,Urban
52380.32107564059,3.98006337616535,4.0,Manchester,Female,College,No,-0.11774229585025003,Married,56.0,Rural
49881.44376574243,7.763341944862024,3.0,Manchester,Male,College,Yes,-0.6011003942308385,Divorced,47.0,Urban
54732.740633078654,6.888352491303907,3.0,London,Female,Graduate School,Yes,-0.687362952760032,Single,64.0,Suburban
52384.24005176363,6.0175009915638595,8.0,Manchester,Male,College,Yes,1.0182293141022096,Married,40.0,Urban
60970.07352842214,7.463091375190557,4.0,Manchester,Female,High School,Yes,-0.14498822793880117,Divorced,50.0,Suburban
51110.52786251236,5.447978229860313,4.0,New Castle,Female,High School,No,0.14911277299138725,,47.0,Rural
44401.566573437776,5.926068409706545,5.0,New Castle,Male,College,Yes,0.5688741490607596,Divorced,47.0,Urban
56224.14176834505,3.8743526009206386,6.0,New Castle,Female,College,Yes,0.3972699635145617,Married,45.0,Urban
49459.34054026359,3.150510838632214,4.0,Manchester,Female,High School,No,0.1980449877753937,Married,47.0,Rural
41364.57192143162,3.7376893716486483,5.0,Manchester,Male,College,No,-0.3562631764428214,Single,59.0,Rural
91586.7320339886,6.75829301518826,2.0,London,Female,College,No,0.3726087924137472,Divorced,54.0,Urban
55340.31093395544,6.115472478936901,6.0,London,Female,High School,Yes,0.020820780617655965,Divorced,34.0,Urban
45137.294933948826,7.173403972850641,6.0,New Castle,Male,College,Yes,0.2093733963253817,Divorced,45.0,Urban
64189.226190633686,5.92552405543331,4.0,Manchester,Male,High School,No,0.12809770993238723,Divorced,47.0,Rural
61186.63548587524,6.053913039867047,6.0,Manchester,Female,College,Yes,0.18851459469562515,Divorced,46.0,Urban
64770.754606509334,5.421578038488295,6.0,New Castle,Male,High School,Yes,0.4690456669922617,Divorced,49.0,Urban
52656.66199127685,5.552370742420794,6.0,New Castle,Female,High School,Yes,0.32078926402112173,Divorced,51.0,Urban
58129.64637114079,4.116350320989951,3.0,London,Male,High School,No,-0.2617253288516169,Divorced,42.0,Rural
41549.0586547362,5.38766110353912,5.0,Manchester,Male,College,Yes,0.9838670494006736,Divorced,43.0,Suburban
60066.74138096631,6.872119788393908,1.0,London,Female,High School,No,0.6527958373090396,Single,58.0,Suburban
39759.653555651545,4.442061193188272,4.0,New Castle,Male,Graduate School,No,0.0025380504060513176,Divorced,52.0,Rural
49489.12976710592,5.596072303383729,5.0,New Castle,Male,Graduate School,Yes,0.2574204459788924,Single,54.0,Urban
44881.383493890076,6.997576785646023,5.0,Manchester,Female,High School,Yes,-0.3601730182298063,,61.0,Rural
45572.94867243532,6.14296292761035,5.0,London,,Graduate School,Yes,0.8164268667682196,Divorced,45.0,Urban
65770.37141068939,6.6339716097363395,6.0,London,Female,Graduate School,Yes,0.17087487237035592,,32.0,Suburban
18647.703172783094,3.502145180846009,4.0,London,Female,Graduate School,,0.00548940367194356,Married,60.0,Urban
65193.4612286868,4.543515459510214,7.0,London,Male,College,Yes,0.5967744074579163,Single,35.0,Suburban
51612.52860501097,7.332325916950321,,Manchester,Female,Graduate School,Yes,-0.5387707462196955,Single,59.0,Urban
69501.81779694057,7.293856841715305,6.0,New Castle,Female,High School,Yes,,Married,53.0,Urban
59690.68333336637,5.167879081837648,4.0,New Castle,Male,College,Yes,-0.19259489879662509,Divorced,58.0,Urban
48668.17519779443,6.758037515964091,3.0,New Castle,Female,College,No,0.18255295373971275,Divorced,55.0,Rural
51778.86002330369,5.594184919703673,4.0,Manchester,Female,College,Yes,0.03658926281628569,Divorced,35.0,Rural
56192.48798925341,3.9317858847860063,4.0,New Castle,Female,Graduate School,No,,Married,,Rural
59434.233159126576,6.880896012859559,7.0,London,Female,College,Yes,0.052044843571715294,Divorced,47.0,Urban
59713.84958186485,4.566277531961022,6.0,London,Female,College,Yes,0.08497627352352027,Single,34.0,Urban
69753.60406332233,5.484492139926222,5.0,London,Male,Graduate School,,0.22930341769084173,Divorced,44.0,Urban
61660.83269059085,6.307728148152993,7.0,Manchester,Male,High School,Yes,-0.25200472887079267,Married,49.0,Urban
62431.62677932113,4.657292720362326,3.0,London,Female,High School,No,0.24170734766182211,Married,35.0,Rural
47304.91596002785,4.33425140483004,4.0,London,Male,College,No,-0.18964507051790083,Single,41.0,Urban
54570.44009138634,4.621143285320387,3.0,Manchester,Female,Graduate School,No,-0.32003725069643585,Single,64.0,Suburban
59826.07106717538,5.998309365501543,8.0,Manchester,Male,College,Yes,0.09322697048466466,Divorced,53.0,Rural
64904.65942432913,4.398729292771132,3.0,Manchester,Male,Graduate School,No,0.2892800449576498,Married,45.0,Rural
49029.09324387068,5.719687675612299,7.0,New Castle,Male,High School,Yes,1.4999999999999998,Divorced,31.0,Urban
56360.47341174519,3.4679209471197545,5.0,,Female,High School,No,-0.36423424251433034,Married,47.0,Rural
79189.50835815657,5.827226197989888,6.0,London,Female,Graduate School,Yes,-0.5287487480925087,Divorced,28.0,Suburban
63466.69086775632,5.947539253763761,6.0,New Castle,Female,College,Yes,0.2912805281428732,Single,53.0,Urban
50417.10274201483,4.7654470863035066,4.0,New Castle,Female,High School,Yes,0.25138733309327005,Divorced,50.0,Urban
47253.73213724524,5.380301755816967,2.0,Manchester,Male,College,No,0.3040481600819808,Married,40.0,Suburban
56345.12040394088,6.739775224769789,7.0,Manchester,Male,High School,Yes,0.07937733975779027,Divorced,52.0,Rural
41801.052843431105,7.128637126094413,4.0,New Castle,Female,High School,Yes,-0.20107771418223425,Single,48.0,Urban
45370.66064504912,5.666231538747642,5.0,Manchester,Male,Graduate School,Yes,0.3772909353240228,Divorced,49.0,Suburban
49624.84988770721,3.852590419216922,4.0,Manchester,Male,High School,No,-0.14250627583029996,Married,53.0,Rural
53546.8465650602,,5.0,London,Male,High School,Yes,0.34002732792543433,Single,37.0,Urban
47279.60930457489,6.2687011706876365,6.0,New Castle,Female,High School,Yes,0.5697463657702158,Married,35.0,Rural
65203.227054253344,7.244973282606835,5.0,New Castle,Male,,Yes,-0.7318305936632575,Single,67.0,Urban
53113.801414796035,6.126654406387388,3.0,New Castle,Female,College,Yes,-0.036583575552665476,Divorced,57.0,Urban
46369.54560020314,4.840631495250754,5.0,New Castle,Male,College,Yes,0.4470000467289711,,59.0,Urban
54075.85224214431,5.325278306549066,3.0,Manchester,Female,Graduate School,No,0.06926568724544241,Single,53.0,Suburban
81063.16842543393,6.42697836115204,7.0,Manchester,Female,Graduate School,Yes,-0.08758061423431678,Married,58.0,Rural
57317.916714463005,5.27498532999128,3.0,London,Male,College,No,0.44488560330678706,Single,61.0,Suburban
72648.28307102325,4.558952508282197,7.0,New Castle,Female,College,Yes,0.49124610949317127,Divorced,51.0,Suburban
47954.05767209569,,4.0,New Castle,Female,Graduate School,Yes,-0.7640302667421363,Married,32.0,Urban
60985.235094950796,5.693153280484814,5.0,London,Female,College,Yes,-0.486050903764871,Divorced,43.0,Suburban
34315.9826223636,4.366409872906765,4.0,Manchester,Male,College,No,-0.5474869264841602,Divorced,30.0,Suburban
82155.77232377541,7.7040396736275945,2.0,Manchester,Male,College,No,0.5278959268547865,Married,32.0,Rural
51518.393435640864,2.804238112610473,3.0,Manchester,Male,College,No,-0.7008746877935744,Divorced,47.0,Suburban
61339.420005232154,5.151883515126526,4.0,Manchester,Female,High School,No,-0.4531719351749918,Single,55.0,Rural
62712.494522425055,6.25392816822524,6.0,London,Male,College,Yes,0.6564998428671244,Divorced,44.0,Urban
78029.41972071181,3.852183077231512,7.0,,Male,High School,Yes,0.6503245922102387,Divorced,51.0,Urban
67863.70463806663,6.567637047206591,3.0,New Castle,Female,Graduate School,No,0.7509806063857258,Single,41.0,Rural
49863.6232401,6.81043543212081,4.0,London,Male,High School,Yes,-0.3518316583323141,Single,61.0,Suburban
62625.30079167936,8.051827297971128,7.0,Manchester,Female,Graduate School,Yes,-1.041632077524166,Single,40.0,Rural
65932.29732908495,6.747893881554825,3.0,London,Male,Graduate School,No,0.1647919304745772,Married,67.0,Rural
42413.21466776355,3.7604325380806363,5.0,Manchester,Male,Graduate School,No,0.24185969284195363,Married,57.0,Rural
42348.31566508711,4.015841314033289,4.0,Manchester,Male,College,No,-0.002324289048290379,Married,38.0,Rural
38476.195811881335,6.290330476693994,4.0,New Castle,Female,Graduate School,Yes,0.04328226074490063,Divorced,64.0,Rural
75651.01440451466,7.369531888486557,2.0,London,Female,Graduate School,No,0.25974955798201355,Single,43.0,Rural
65927.79961322153,7.33511779057903,3.0,Manchester,Male,Graduate School,No,0.3607305424638455,Divorced,51.0,Rural
84171.35189934038,4.603263819824177,8.0,London,Female,High School,Yes,0.6627340782394726,Divorced,44.0,Urban
55634.67914608256,6.499604398124227,5.0,London,Male,Graduate School,Yes,0.21706009652134373,Divorced,54.0,Suburban
34401.64574937919,6.366952704338872,4.0,Manchester,Female,Graduate School,Yes,-0.20564538585308967,Divorced,48.0,Urban
60947.07564190294,4.555343234886797,7.0,Manchester,Female,High School,Yes,0.8643715584314624,Divorced,52.0,Urban
51222.57113605639,5.150192451930588,4.0,Manchester,Male,Graduate School,No,-0.2031231079263622,Divorced,57.0,Urban
,7.505620169585797,6.0,New Castle,Female,Graduate School,Yes,0.2530927423650215,Divorced,50.0,Suburban
53534.45602909902,4.358316392232741,3.0,London,Male,High School,No,0.20571428121091523,Married,43.0,Rural
30202.89258773726,3.7497590803181957,3.0,London,Female,High School,No,-0.3106058026076038,Single,31.0,
55806.67689141723,7.059260035422862,4.0,Manchester,Female,High School,Yes,0.11479651727716467,Single,56.0,Urban
54249.80056210574,5.046172335924724,4.0,New Castle,Female,High School,Yes,-0.3546377431788371,Single,47.0,Urban
50617.450415156025,4.31989247709096,2.0,,Female,College,No,0.4834138578000071,Married,46.0,Suburban
82254.64512951716,6.455031581045728,4.0,New Castle,Male,College,No,0.3961292754515975,Divorced,51.0,Rural
44761.03698326371,6.645181602062653,6.0,New Castle,Female,College,Yes,0.5760569791318364,Married,44.0,Suburban
58062.976945854476,4.1586654601003294,6.0,London,Male,Graduate School,Yes,0.2521303855431385,Married,47.0,Suburban
60804.00437386392,4.934799613979848,7.0,London,Male,High School,Yes,0.6250854663344573,Divorced,41.0,Urban
58444.10587061322,5.444161442579515,5.0,London,Male,Graduate School,No,0.3345621594439907,Divorced,43.0,Rural
51183.84266868062,5.5007647905796,5.0,New Castle,Male,College,Yes,0.38827530119552023,Divorced,53.0,Urban
53518.46727541995,4.581116365670397,4.0,Manchester,Female,High School,No,-0.00361033924815668,Single,60.0,Suburban
54598.812238419145,6.062582375437565,6.0,Manchester,Female,Graduate School,Yes,0.5814923168068281,Divorced,44.0,Urban
52467.75511314288,6.590403006416755,4.0,New Castle,Male,College,Yes,0.33818069492884084,Single,47.0,Urban
65815.1360606972,6.504643473266586,3.0,New Castle,Female,Graduate School,No,0.31024655142488994,,43.0,Rural
55391.56072252464,5.463766399500765,4.0,London,Female,Graduate School,Yes,0.41679599421919855,Divorced,58.0,Urban
33830.54156078495,4.0530894240353845,5.0,New Castle,Female,College,No,-0.10897285227259626,Divorced,53.0,Suburban
,7.197882916573167,5.0,Manchester,Female,High School,Yes,0.28368964594792767,Single,59.0,Urban
39828.376012054956,7.110178435879716,5.0,New Castle,Female,Graduate School,Yes,0.1992994610528357,Divorced,44.0,Urban
69683.56974109828,4.696399892341587,4.0,London,Male,College,Yes,-0.29719867132830996,Divorced,30.0,Urban
35620.15221915301,5.424849718897987,4.0,New Castle,Male,College,No,0.032878115929738716,Married,44.0,Rural
47703.94652239971,5.390460202836919,5.0,London,Female,High School,Yes,-0.17673861828513496,Single,55.0,Suburban
49389.79544308081,6.473845443857525,3.0,London,Male,Graduate School,Yes,-0.25587486823016115,Divorced,52.0,Urban
48295.897631371336,6.047627490162947,4.0,London,Male,High School,Yes,,Single,44.0,Urban
62718.02956342958,4.1867143190249045,5.0,London,Male,College,Yes,0.3232572290878064,Single,64.0,Suburban
54293.51558878174,4.727586304343495,4.0,Manchester,Female,College,No,0.08795912916824067,Divorced,58.0,Rural
38460.09707251901,6.40224538337756,4.0,New Castle,Male,College,Yes,0.2840420149941373,Divorced,53.0,Suburban
47684.46929065485,6.2609441725430495,3.0,New Castle,Female,High School,Yes,-0.23894232635437307,Divorced,44.0,Suburban
51010.533185611625,6.805239222427979,5.0,New Castle,Female,Graduate School,Yes,0.06642292461163751,Divorced,66.0,Urban
66107.17503788054,5.898598829932091,5.0,London,,High School,Yes,-0.5740016225356606,Married,52.0,Rural
68415.96730153414,5.70462383792995,4.0,London,Female,High School,No,0.7103425165794348,Divorced,46.0,Rural
45618.747061349524,4.026853178751586,6.0,London,Male,Graduate School,No,0.0024860247585115625,Married,44.0,Rural
52376.80672321293,6.953565587710614,7.0,London,Male,High School,Yes,0.32135474811769893,Divorced,41.0,Urban
57774.30124485027,4.8604796167470266,7.0,New Castle,Male,College,Yes,0.33500113808109466,Single,67.0,Rural
56977.8211942407,5.063959739190279,3.0,London,Male,Graduate School,No,-0.09017838750268417,Single,68.0,Suburban
56098.35676945045,2.651120176395453,4.0,Manchester,Female,College,No,,Married,59.0,Rural
55351.59421608911,7.075547563240056,4.0,London,Female,College,Yes,-0.3822117709600089,Single,38.0,Urban
61755.742200974135,4.5435382152472235,5.0,London,Female,College,No,-0.17843155251004367,Divorced,39.0,Rural
74511.05663830439,4.66040722009842,5.0,New Castle,Male,College,No,-0.1114256663483541,Divorced,42.0,Urban
41396.76249545882,4.227810053009174,4.0,London,Female,College,No,-0.5183478615743212,Married,57.0,Rural
68699.83510069271,5.632594065683318,5.0,Manchester,Male,Graduate School,Yes,0.054247365505225076,Single,39.0,Urban
54017.09705529164,6.115685985608919,6.0,New Castle,Female,College,Yes,0.3428176638438285,Single,38.0,
45955.218643752196,,4.0,New Castle,Female,College,Yes,-0.19578539529779532,Divorced,40.0,Urban
54049.90664135825,6.464435043463945,7.0,London,Female,High School,Yes,0.4982561350658131,Divorced,45.0,Rural
72131.57635172406,6.078568031148351,5.0,Manchester,Female,High School,No,-0.028404159528487766,Married,39.0,Rural
49488.23834456697,5.571496348479703,5.0,London,Female,Graduate School,Yes,0.5345864889096514,Single,50.0,Urban
63376.80384731542,5.543080160496125,4.0,London,Female,Graduate School,No,0.1684083093128717,Single,50.0,Suburban
41873.942152782154,6.960657414429333,1.0,London,Male,College,Yes,-0.7511671068395948,Single,50.0,Suburban
47738.12413872927,3.0664951306033394,3.0,New Castle,Male,College,No,-0.46242822922717675,Married,46.0,Rural
