Location Code,Annual Income,Years after high school graduation,Marital Status,Sex,Renew,Brand Loyalty,Hours Online,Years subscribed,City,Education Level
Urban,47957.88476841026,18.0,,Female,Yes,-0.5550288354233739,6.104860705990736,3.0,Mahasarakam,High School
Urban,31885.167647508762,33.0,Divorced,Female,Yes,-0.12361726213786994,4.551087024387656,3.0,Udon,High School
Suburban,31438.654549770778,10.0,Divorced,Female,Yes,0.5100098275819444,4.5648820093933455,2.0,Mahasarakam,Graduate School
Rural,79946.48639158854,35.0,Married,Female,No,0.9008508150790426,2.3953058044200723,3.0,,College
Rural,52835.41031179147,41.0,Divorced,Male,No,-0.24231073981862716,4.6512249863009565,4.0,Mahasarakam,Graduate School
Urban,29737.684475216494,37.0,Single,Female,Yes,0.6263600213513643,5.225004684663732,1.0,Khon Kaen,Graduate School
Suburban,43009.141875911795,40.0,Single,Male,No,-0.6597371564005919,4.752611036909121,4.0,Mahasarakam,High School
Suburban,49383.04303971742,33.0,Single,Female,Yes,0.38344258497157935,5.440236844501405,4.0,Mahasarakam,High School
Urban,66961.3802089756,21.0,Married,Male,No,-0.0744821669423409,3.726981992846468,7.0,Khon Kaen,Graduate School
Suburban,33693.84013221466,41.0,Married,Female,No,0.48140649307591044,4.542865771301413,,Udon,College
Urban,38166.96835333794,36.0,Divorced,Female,Yes,0.5869999570528499,4.007492872848129,4.0,Khon Kaen,College
Urban,42034.56815496763,31.0,Divorced,Male,Yes,0.6986701701241258,5.906001614767046,3.0,Udon,Graduate School
Urban,48001.096641119475,47.0,Divorced,Female,Yes,0.36103296621924297,4.827481450761505,4.0,Khon Kaen,College
Suburban,38157.3339593284,31.0,Married,Male,Yes,0.5733740575603022,4.037492496507643,2.0,Mahasarakam,Graduate School
Suburban,62537.532032326446,12.0,Divorced,Female,No,0.36489981308820896,3.3761567585969967,6.0,Khon Kaen,College
Rural,50647.020430043405,27.0,Married,Female,No,,4.921464122971531,1.0,Khon Kaen,Graduate School
Rural,49042.24446215791,27.0,Single,Male,No,0.166524495973926,,4.0,Khon Kaen,College
Urban,61592.68654094917,26.0,Divorced,Male,Yes,-0.027942554253893692,7.9981066121070254,4.0,Udon,Graduate School
Suburban,57462.206849989074,24.0,Divorced,Male,Yes,-0.26493820483134417,6.8641264389430665,5.0,Khon Kaen,High School
Urban,41650.74205979091,23.0,Married,Female,Yes,,5.005410301367098,2.0,Udon,High School
Suburban,61886.395186040754,33.0,Married,Female,No,0.1527826643140931,3.0377547622504792,4.0,Mahasarakam,High School
Rural,48457.309015360646,32.0,Single,Male,Yes,-0.47231859269069393,6.4108601654418935,5.0,Mahasarakam,Graduate School
Rural,29890.47050666155,21.0,Married,Female,No,-0.5117444214663682,6.5508492496051645,4.0,Udon,Graduate School
Urban,43022.38661118884,41.0,Divorced,Female,Yes,-0.39707570873910136,4.561637165349658,3.0,Khon Kaen,College
Rural,36497.97242824573,40.0,Married,Male,No,-0.22329294039705708,4.508709579390723,4.0,Khon Kaen,College
Suburban,44805.96598061022,31.0,Divorced,Female,Yes,0.35593914845644237,5.483345168237153,2.0,Mahasarakam,College
Rural,79530.82304014274,28.0,Married,Male,No,-0.014833950128105788,3.7877145884149765,3.0,Khon Kaen,Graduate School
Rural,63091.477864299086,36.0,Divorced,Male,No,-0.29234879551989285,4.886098857026917,5.0,Udon,College
Urban,30245.466054639935,16.0,Single,Female,Yes,0.8068040262975482,5.036562304350319,2.0,Khon Kaen,College
Suburban,53432.658334774926,40.0,Divorced,Female,Yes,-0.05204988621179989,5.584363665230528,3.0,Mahasarakam,Graduate School
Urban,50381.51720179468,52.0,Divorced,Male,Yes,-0.2765368766379468,5.908313201027579,3.0,Udon,Graduate School
Rural,75044.5012564156,28.0,Married,Female,No,0.5410588801930342,6.310201004711297,,Mahasarakam,College
Suburban,45512.566384765996,31.0,Divorced,Male,Yes,0.09915961442071591,4.803319627723991,3.0,Udon,High School
Urban,,24.0,Divorced,Female,Yes,0.11382283125989512,6.017671453288056,4.0,Udon,College
Suburban,42320.15182440929,38.0,Divorced,Male,Yes,0.24227829847857318,6.3331513525425045,3.0,Khon Kaen,College
Urban,54742.07208926025,,Married,Male,Yes,-0.3703037243552397,6.838127390371969,3.0,Udon,High School
Suburban,44956.03327940219,29.0,Married,Male,Yes,0.6000894869874188,6.0570946734752535,3.0,Mahasarakam,Graduate School
Urban,42873.90092215845,53.0,Divorced,Female,Yes,0.09737832709170863,5.169661680720563,3.0,Khon Kaen,High School
Urban,43879.828033618076,24.0,Married,Female,Yes,0.21253899678981464,5.701463323344101,5.0,Mahasarakam,High School
Urban,35999.36817658372,38.0,Divorced,Male,Yes,0.25417667185975834,4.8544883153118175,2.0,Mahasarakam,College
Rural,,14.0,Married,Male,No,0.27665608769518796,3.5168590202162355,4.0,Mahasarakam,Graduate School
Urban,53919.89395461806,29.0,Married,Female,No,0.06921218470000667,3.2527097706070673,3.0,Udon,High School
Urban,47781.91941223368,39.0,Single,Female,Yes,0.2529882516119776,6.134277248842341,4.0,Mahasarakam,High School
Rural,51276.79673202818,31.0,Married,Female,No,-0.4965965432690793,5.817459653258277,5.0,Mahasarakam,High School
,64590.46875305768,21.0,Divorced,Male,Yes,-0.8161759571169878,8.011717584690562,4.0,Khon Kaen,Graduate School
Urban,66265.43439740031,53.0,Divorced,Male,Yes,-0.05493596887031449,7.26152555987147,6.0,Udon,College
Rural,40672.350416771995,27.0,Single,Male,Yes,-0.011380370896726055,5.036832696974335,4.0,Udon,High School
Suburban,48659.23063463197,33.0,Divorced,Male,Yes,-0.45787257135808407,6.97198000177795,3.0,Khon Kaen,College
Suburban,78120.5678034791,36.0,Married,Female,No,,3.1547526591005983,3.0,Mahasarakam,Graduate School
Rural,96059.56158686729,39.0,Married,Female,No,0.8539828359776693,1.350285232948384,,Khon Kaen,High School
Rural,72381.45865951806,15.0,Married,Female,No,0.1900246547410973,4.177312986404374,5.0,Khon Kaen,College
Rural,53198.51358728146,25.0,Married,,Yes,0.11939747704858344,6.2002665741580705,4.0,Udon,High School
Urban,42225.665912413926,24.0,Single,Male,No,-0.16772280640218012,4.176941281933788,4.0,Khon Kaen,College
Rural,63008.26232393859,44.0,Married,,No,0.17326023559034331,3.6310769366235434,5.0,Udon,Graduate School
Suburban,52238.291529641836,22.0,Divorced,Female,Yes,-1.283978379149964,7.471766412657367,3.0,Mahasarakam,College
Urban,34483.31608556768,32.0,Single,Male,Yes,0.5698759450057709,4.326922800322537,2.0,Khon Kaen,Graduate School
Urban,44391.20596255241,30.0,Single,Female,Yes,0.3262486771756281,5.519813045514696,3.0,Khon Kaen,High School
Rural,54227.50780518244,24.0,Married,Male,No,-1.1561936242777622,4.649313966654925,,Udon,College
Suburban,42058.44906839004,31.0,Married,Male,No,-0.36123536952355373,6.771129143186659,6.0,Mahasarakam,Graduate School
Urban,34214.02929780615,25.0,Divorced,Male,Yes,0.04093027255835627,6.012213816680247,1.0,Udon,High School
Rural,56842.08028138937,41.0,Divorced,Female,No,-0.6229479084064615,4.13622194668976,6.0,Udon,High School
Rural,51301.747066375894,31.0,Divorced,Male,Yes,-0.554413666910182,7.697214591874226,5.0,Udon,High School
Rural,41056.832258375696,21.0,Married,Male,No,-0.10296338251273442,5.086197212893468,5.0,Mahasarakam,High School
Urban,54052.40858578339,27.0,Divorced,Female,Yes,-0.7956267248264856,6.707995474941821,4.0,Udon,College
Urban,32139.113226880934,25.0,Divorced,Male,Yes,0.480206033853509,5.097311941479015,3.0,Khon Kaen,Graduate School
Rural,42498.05704993138,22.0,Married,Male,No,-0.7338727152327734,5.5541624108496395,5.0,Khon Kaen,College
Suburban,65637.37322798424,38.0,Single,Female,No,-0.12134391461060162,1.1619417076575438,6.0,Khon Kaen,High School
Rural,64487.008524720266,32.0,Divorced,Female,No,-0.3802727274555875,4.924398546463611,4.0,Mahasarakam,High School
Urban,36469.8843889628,19.0,Divorced,Female,Yes,0.027922176303524643,4.400067666690659,2.0,Khon Kaen,High School
Urban,27729.95946025558,38.0,Single,Male,Yes,0.8084524327965231,3.901568135762831,2.0,Mahasarakam,Graduate School
Suburban,56099.224332449216,25.0,Single,Female,No,-0.30445730257430814,3.2599950871557057,4.0,Udon,Graduate School
Rural,82563.23261508936,37.0,Married,Male,No,-0.45290555921312997,7.422367100004545,4.0,Mahasarakam,College
Suburban,67300.76782375392,26.0,Divorced,Male,No,0.6221701047423612,4.446140071727738,3.0,Khon Kaen,College
Suburban,32476.269456985076,17.0,Single,Male,Yes,-0.1924910447315866,4.67108618245308,1.0,Khon Kaen,College
Rural,49718.725739166985,45.0,Married,Male,Yes,-0.28389131221024505,6.788067149964824,5.0,Khon Kaen,College
Urban,45676.5755508734,34.0,Married,Female,Yes,0.6600977691908286,5.582608475841396,4.0,Mahasarakam,Graduate School
Rural,52548.92850164482,16.0,Married,Male,Yes,-0.5110655607403392,6.887559237297568,5.0,Mahasarakam,High School
Rural,68909.3728949212,22.0,Married,Female,No,0.6068530210034244,4.554798777434819,4.0,Mahasarakam,College
Urban,52384.69697561684,18.0,,Male,Yes,0.22387018391172314,,4.0,Khon Kaen,High School
Urban,27812.520757496786,31.0,Single,Female,Yes,1.0001250366508232,3.8822113698324405,1.0,Khon Kaen,Graduate School
Urban,48230.37712225365,32.0,Single,Male,Yes,-0.3799781742615922,6.612551166715347,3.0,Mahasarakam,College
Suburban,36860.07708698114,35.0,Divorced,Male,Yes,0.0143917141122189,5.299471359330136,2.0,Khon Kaen,College
Rural,63983.96751698213,24.0,Married,Male,No,0.49030426329823007,2.571650771936982,7.0,Mahasarakam,College
Suburban,32056.115531230345,18.0,Divorced,Female,Yes,0.4849749247291594,4.7901220693815025,0.0,Mahasarakam,High School
Rural,74846.62699580152,36.0,Divorced,Male,No,0.7973056858994365,2.649133715117571,5.0,Udon,High School
Suburban,42353.765139711504,24.0,Single,Female,Yes,0.32972555466033193,4.132145085594707,3.0,Mahasarakam,Graduate School
Urban,52780.78993832061,33.0,Divorced,Female,Yes,-0.22333733775657152,6.701058113845594,4.0,Udon,College
Urban,36508.48816738717,22.0,Divorced,Female,Yes,0.3625712700169701,5.874452204230057,2.0,Udon,Graduate School
Suburban,54553.502130220535,36.0,Married,Male,No,0.5422314336687954,5.569012408182683,4.0,Mahasarakam,College
Suburban,56137.04402096719,24.0,Married,Male,Yes,-0.7062096866981555,7.330260462478764,5.0,Udon,High School
Rural,75645.6335921205,36.0,Single,Male,,0.41386961285415247,3.7941882271161056,,Udon,Graduate School
Urban,59130.35265678873,49.0,Single,Female,Yes,-0.5817552585716743,7.187552514598253,4.0,Khon Kaen,Graduate School
Rural,66287.93924768812,35.0,Single,Male,No,0.2103219369938168,5.025427827983499,5.0,Khon Kaen,College
Rural,66659.11446152268,42.0,Married,Female,No,0.031255802644493125,3.892650526290174,2.0,,Graduate School
Urban,44517.595979445396,45.0,Divorced,Female,Yes,,5.89028817726284,3.0,Khon Kaen,Graduate School
Rural,,25.0,Married,Female,No,-0.0006668061878401244,3.2854342141378785,4.0,Udon,Graduate School
Urban,18424.57261961326,25.0,Single,Female,Yes,0.8682910113966107,3.5052574171386137,0.0,,High School
Rural,55819.71723539646,23.0,Married,Female,No,-0.04875298830191799,4.844885019177081,6.0,Khon Kaen,Graduate School
Urban,44880.84754597212,,Divorced,Male,Yes,0.12874731812231655,6.096771369500153,,Mahasarakam,High School
Suburban,63551.96457378497,22.0,Married,Female,No,0.00335488062302014,,5.0,Mahasarakam,College
Urban,54257.37846089866,24.0,Divorced,Male,Yes,0.08540741150333186,7.086051583097908,4.0,Mahasarakam,Graduate School
Suburban,53054.25974250007,20.0,Married,,No,-0.621505956722729,4.832832318280303,3.0,Udon,High School
Suburban,46953.47718866148,33.0,Married,Male,No,-0.0657884700202509,3.603834668212319,3.0,Khon Kaen,Graduate School
Urban,32986.55620639237,51.0,Single,Male,Yes,-0.21305613922354652,5.019096288544726,2.0,Khon Kaen,College
Urban,49652.54413270363,35.0,Divorced,Female,Yes,-0.4665104283890934,6.502195505282165,5.0,Udon,College
Suburban,52086.318570016716,34.0,Divorced,Female,Yes,-0.9029194568676573,7.820368642451264,4.0,,College
Rural,62140.78017996669,33.0,Married,Male,No,0.4169614009272422,6.36388311543494,2.0,Khon Kaen,High School
Rural,67779.22761542501,21.0,Divorced,Female,No,-0.08918456040342992,4.689150198977124,3.0,Mahasarakam,Graduate School
Rural,55982.15085141539,48.0,Divorced,Male,No,0.012424329324458139,4.5067100060144005,4.0,Khon Kaen,College
Rural,53104.59847817922,39.0,Divorced,Male,Yes,-0.43505810267231776,6.935559336142353,4.0,Udon,High School
Suburban,26542.472136324093,19.0,Single,Female,Yes,0.028677508276965497,4.752799567010498,1.0,Udon,College
Suburban,37978.658287594815,24.0,Divorced,Male,Yes,,4.590151987627915,3.0,Khon Kaen,College
Rural,,33.0,Single,Female,No,-0.38442285443271346,3.566051015219778,7.0,Udon,Graduate School
Urban,35871.47558407258,31.0,Divorced,,Yes,0.46524028052111077,5.375573100534429,3.0,Khon Kaen,College
Rural,61958.027859799295,23.0,Single,Female,No,0.2890803039419555,5.514253817309973,4.0,Mahasarakam,Graduate School
Rural,55728.57123111792,36.0,Divorced,Male,Yes,-0.21899904804115233,7.25606792441026,3.0,Khon Kaen,Graduate School
Urban,50331.717682012975,40.0,Single,Male,Yes,-0.700785327003674,5.883429017982836,,Udon,College
Suburban,54080.78344201161,,Married,Female,No,-0.14526912107727663,4.450433657455104,5.0,Khon Kaen,College
Urban,37596.2013313908,23.0,Divorced,Male,Yes,0.007244398222517878,6.202310259957432,3.0,Khon Kaen,College
Suburban,63010.97420600426,41.0,Divorced,Male,No,0.6647496485953486,,4.0,Khon Kaen,College
Suburban,60505.36172476662,22.0,Married,Female,No,-0.3024234838247637,4.387317090500451,5.0,Mahasarakam,Graduate School
Urban,,40.0,,Male,Yes,-0.6198286417131842,5.3789700622538215,5.0,Khon Kaen,Graduate School
Rural,48603.181938527334,38.0,Married,Male,No,-0.2747391183569038,5.386054981983029,4.0,Khon Kaen,College
Rural,55436.29822069655,40.0,Divorced,Female,No,0.6581524238884771,3.8538910856774438,,Udon,High School
Suburban,32689.605874938403,,Divorced,Female,Yes,0.1414193554917303,5.631560416538842,3.0,Khon Kaen,College
Urban,24731.289398567802,37.0,Divorced,Male,Yes,1.041685199798172,3.869195785556169,1.0,Udon,Graduate School
Suburban,43971.30999165104,31.0,Divorced,Male,Yes,0.5678005145874675,4.7190145657086076,3.0,Khon Kaen,High School
Rural,32186.714072798102,37.0,Married,Male,No,-0.018638649781899747,5.385357274756487,6.0,Khon Kaen,College
Rural,35985.278715052526,24.0,Divorced,Male,Yes,0.02717190196235786,5.251323464959643,3.0,Udon,College
Urban,56362.29684586979,38.0,Divorced,Male,Yes,-0.6896763522793637,7.694631394273673,4.0,Khon Kaen,College
Urban,53752.79186985908,22.0,Divorced,Female,Yes,-0.6544749891181477,7.197166706885445,4.0,Khon Kaen,High School
Suburban,40789.108574083955,,Married,Male,No,-0.5169033338353701,7.496709010666054,4.0,Khon Kaen,High School
Rural,42167.653234171805,26.0,Single,Female,Yes,0.7148717986412337,,,Mahasarakam,Graduate School
Suburban,37577.36472016883,26.0,Single,Male,Yes,0.14067407434884,6.581554834282999,3.0,Khon Kaen,Graduate School
Suburban,53020.18068059883,23.0,Single,Male,Yes,-0.2771577598271123,6.433070615207554,4.0,Mahasarakam,High School
Urban,,34.0,Divorced,Female,Yes,0.19109029424707086,5.813523409808685,2.0,Udon,High School
Urban,43393.65479683419,30.0,Divorced,Female,Yes,-0.222235293570369,5.144505802155239,,Mahasarakam,Graduate School
Suburban,47873.39679291228,21.0,Single,Male,Yes,-0.0474620973476399,5.6736632579296105,5.0,Khon Kaen,High School
Urban,31612.89965569874,34.0,Single,Male,Yes,0.6948982388561732,3.7233603890350735,2.0,Mahasarakam,High School
Suburban,40306.32056438373,19.0,Divorced,Female,Yes,0.846622973009638,,4.0,Khon Kaen,High School
Urban,33216.63233834659,32.0,Single,Male,Yes,0.41584310831575977,4.099354822403129,2.0,Mahasarakam,Graduate School
Suburban,22525.13035029561,25.0,Divorced,Female,Yes,0.6348940544851825,3.9463240874491357,1.0,Khon Kaen,College
Urban,33058.956560141625,27.0,Divorced,Male,Yes,0.365481372352912,5.146714916942109,2.0,Khon Kaen,High School
Suburban,48648.864077148304,27.0,Divorced,Female,No,-0.587510334555247,5.88840481339197,,Udon,College
Urban,57840.85753571134,35.0,Single,Male,Yes,-0.031110831800139682,8.208917477672033,4.0,Mahasarakam,College
Suburban,41976.33301946517,29.0,Divorced,Male,Yes,0.02350440812825838,5.656306120991394,4.0,Khon Kaen,College
Urban,45017.79602119494,33.0,Divorced,Female,Yes,-0.15655744555493167,5.252965344706611,2.0,Udon,College
Urban,31447.506898789175,29.0,Divorced,Male,Yes,0.45666027090159766,4.763217779985767,1.0,Udon,College
Urban,39495.84919091323,24.0,Divorced,Male,Yes,-0.1136311488996567,,3.0,Mahasarakam,College
Urban,44014.07490928651,34.0,Single,Female,Yes,0.10074945687947162,5.48265792631078,2.0,Udon,Graduate School
Rural,63448.30589682926,39.0,Divorced,Male,No,0.1650463465191942,5.49303070831118,5.0,Udon,College
Rural,72916.97097308194,28.0,Married,Male,No,0.12671280932460044,4.245092994189644,5.0,Khon Kaen,Graduate School
Suburban,44313.95622478539,41.0,Married,Female,No,-0.08344310641873799,,4.0,Khon Kaen,Graduate School
Suburban,48815.348643823236,28.0,Married,,Yes,-0.14152372218853831,7.281074166801044,4.0,Mahasarakam,Graduate School
Rural,52407.90641283094,22.0,Married,Male,No,0.07224964411998025,5.40305834803032,3.0,,Graduate School
Rural,51048.87006097158,39.0,Divorced,Male,,0.6027187862611102,2.999469105705598,4.0,Mahasarakam,College
Rural,68007.31544354264,46.0,Single,Female,No,0.5549640608654586,1.833937688188981,4.0,Khon Kaen,College
Rural,37068.83353381086,27.0,Married,Female,Yes,0.141024328533636,5.116978327851494,2.0,Khon Kaen,Graduate School
Urban,34642.94671203922,38.0,Single,Male,Yes,0.44470500022235937,4.497968086371852,1.0,Khon Kaen,High School
Suburban,77381.98770662077,26.0,Divorced,Male,No,0.4588900766150077,,3.0,Udon,College
Suburban,60783.57412211144,29.0,Single,Male,Yes,-0.3362776674850162,6.978724005655751,4.0,Mahasarakam,College
Urban,24454.214403020873,51.0,Single,Female,Yes,0.769547030484549,4.8815472259531365,2.0,Khon Kaen,College
Suburban,55662.052262628706,24.0,Divorced,Female,Yes,-0.09241324685910726,6.598417463517155,6.0,Udon,College
Suburban,40544.291407051336,27.0,Divorced,Male,Yes,0.445812697226899,5.257119549779574,4.0,Mahasarakam,High School
Rural,50424.02479689973,42.0,Married,Female,No,0.2939787201269715,5.182680162775854,2.0,Khon Kaen,Graduate School
Rural,59153.66805868028,36.0,Single,Female,No,-0.6344468918799353,5.69787827321278,3.0,Mahasarakam,Graduate School
Urban,26551.680028273688,29.0,Divorced,Male,Yes,0.54133826809987,4.2020782889333095,2.0,Udon,High School
Rural,51128.61942041265,34.0,Married,Male,No,0.10816529740184061,3.0944755690841586,5.0,Khon Kaen,College
Urban,62625.2282491508,28.0,Married,Female,Yes,-0.684737230095356,6.446300817187559,5.0,Khon Kaen,High School
Urban,37081.20122142371,52.0,Single,Male,Yes,0.6290417060271585,4.948473859991455,3.0,Khon Kaen,High School
Rural,47176.804447884635,23.0,Married,Male,No,,4.463133957476176,4.0,Udon,Graduate School
Suburban,25923.15692114424,16.0,Divorced,Male,Yes,0.5274832778569477,5.692974028674656,4.0,Udon,High School
Urban,43926.881453416034,23.0,Single,Male,Yes,-0.04287065346893976,4.250514870425182,2.0,Udon,High School
Urban,76276.85156559787,32.0,Married,,No,0.6249809372438144,3.648444679810383,2.0,Khon Kaen,
Rural,30368.903259658975,38.0,Divorced,Female,Yes,0.13752680500781106,5.712669335170876,2.0,Mahasarakam,Graduate School
Rural,59846.135955855745,38.0,Divorced,Male,No,0.39965427485855143,3.8373890107238298,6.0,Udon,High School
Urban,35256.03113513884,42.0,Married,Male,No,-0.2464402841283007,6.974357180226096,2.0,Mahasarakam,Graduate School
Suburban,31112.182757503946,27.0,Divorced,Male,Yes,0.8557407893625861,4.809444721221036,2.0,Khon Kaen,Graduate School
Suburban,27092.585027029505,16.0,Single,Female,Yes,0.6774983215207,3.7835952882922115,1.0,Mahasarakam,College
Suburban,41481.70486524375,24.0,Divorced,Female,Yes,-0.2573705568506323,5.780879595027253,2.0,Mahasarakam,Graduate School
Urban,53671.515457802685,38.0,Divorced,Female,Yes,-0.08978640586482639,6.439834177144824,2.0,Mahasarakam,College
Rural,61525.31756659386,40.0,Divorced,Male,No,-0.234736274163937,3.5030489319114366,6.0,Mahasarakam,College
Rural,49872.035685223265,27.0,Divorced,Male,No,-0.20214641296184682,5.537139965906361,3.0,Mahasarakam,Graduate School
Urban,35572.58983375383,31.0,Divorced,Female,Yes,1.3623669289395663,3.104694908636698,3.0,Udon,High School
Rural,23837.89626578,29.0,Divorced,Female,Yes,,4.432440810648003,3.0,Khon Kaen,College
Suburban,73629.07720205607,20.0,Single,Male,Yes,-1.3630173647784243,8.69012391609572,5.0,Udon,College
Rural,54770.42680944503,25.0,Married,Male,No,0.3751005617097508,4.818397935536799,4.0,,Graduate School
Rural,57268.96470476314,24.0,Single,Female,No,0.0304269558673034,4.382460644750932,5.0,Udon,
Urban,28534.720885194663,29.0,Divorced,Male,Yes,0.7354032263750523,3.4460157464355907,2.0,Mahasarakam,College
Rural,33392.87695740568,41.0,Married,Male,No,-0.22854244985235833,4.789633380074078,6.0,Mahasarakam,College
Urban,49622.936436042226,37.0,Divorced,Female,Yes,-0.287259094400747,7.364225157973735,3.0,Udon,Graduate School
Urban,42380.90391088163,31.0,Divorced,Male,Yes,0.10475909941486661,4.672454643592942,3.0,Khon Kaen,Graduate School
Suburban,38077.69619090738,22.0,Single,Female,No,,5.954804126528713,3.0,Khon Kaen,High School
Rural,42373.816058870885,37.0,Married,Male,No,0.1253221786804335,4.856043156441898,4.0,Mahasarakam,Graduate School
