Sex,Education Level,Marital Status,Location Code,Brand Loyalty,City,Age,Active online hours,Monthly Income,Months after becoming member,Renew
Male,Graduate School,Divorced,Rural,-0.11456815736317326,Udon,32.0,4.393183529159403,5995.820275364201,44.0,
Female,High School,Married,Rural,0.4296103216897748,Khon Kaen,56.0,4.893301970215548,5156.202015780013,66.0,No
Female,High School,Married,Rural,0.10586531404742627,Udon,52.0,4.319789702369308,3004.7285692004307,60.0,No
Female,,Divorced,Suburban,0.8263720192987866,Udon,55.0,4.749800247641263,5319.781194741844,57.0,Yes
Female,College,Married,Rural,0.4829622872525039,Mahasarakam,46.0,4.993816149689038,5675.465671294114,60.0,No
Female,College,Married,Rural,-0.35159742381043785,Mahasarakam,57.0,4.0939208957655175,7331.645713394555,20.0,No
Male,Graduate School,Single,Urban,-0.12641759932962549,Khon Kaen,42.0,5.738177018278611,5811.488901784051,43.0,Yes
Female,High School,Divorced,Rural,-0.12495554844013071,Udon,43.0,3.846281246352013,4698.177096336559,49.0,Yes
Male,Graduate School,Divorced,Urban,-0.7863719515829647,Udon,46.0,6.218071920212921,5367.172101050187,58.0,Yes
Female,College,Single,Urban,-0.07747439381946933,Khon Kaen,46.0,6.7364165525079915,5305.837701686957,60.0,Yes
Female,College,Married,Suburban,0.23107327206228562,Khon Kaen,32.0,2.652904460713443,2773.193816691697,46.0,No
Female,College,Divorced,Urban,-0.41916639425889657,Khon Kaen,49.0,6.906932214616468,4942.076480641728,60.0,
Male,Graduate School,Married,Urban,-0.4039300250703765,Khon Kaen,61.0,3.1903778483819303,3609.908931827141,56.0,Yes
Male,College,Divorced,Urban,-0.7450830738111344,Udon,60.0,5.324840854974402,3667.290182694589,61.0,Yes
Female,College,Single,Rural,0.26309159338335275,Khon Kaen,48.0,5.527966258337984,6096.854960265135,80.0,Yes
Female,Graduate School,Divorced,Suburban,0.242767828303112,Mahasarakam,60.0,6.332909708550779,2956.9279860088022,50.0,No
Male,College,Divorced,Rural,0.09176191941164277,Khon Kaen,42.0,6.1501601362275515,4824.086270509472,39.0,No
Female,Graduate School,Divorced,Urban,-1.2520130896369182,Mahasarakam,51.0,6.95505762773711,5161.656725049876,43.0,Yes
Female,Graduate School,Divorced,,-1.1323954290544516,Mahasarakam,47.0,6.7778159395019,5097.835594715152,32.0,No
,College,Divorced,Urban,-0.6179047013797088,Khon Kaen,47.0,5.218567321885278,4673.439398874379,59.0,Yes
Female,High School,Married,Urban,-0.22692618136809337,Mahasarakam,57.0,5.366948928598724,4688.418753647917,28.0,Yes
Female,Graduate School,Divorced,Urban,-0.47727701061745115,Khon Kaen,52.0,4.254178924245079,3624.382849525551,23.0,Yes
Male,College,Divorced,Urban,-0.1144706783968109,Mahasarakam,48.0,4.705227602618573,4019.912993326261,52.0,Yes
Female,Graduate School,Married,Rural,-0.4909652123250941,Mahasarakam,33.0,6.886954643289808,5214.842387621237,47.0,No
Male,Graduate School,Single,Urban,-0.06346202347844587,Udon,53.0,7.125433627294788,7015.686653302638,37.0,Yes
Male,Graduate School,Single,Suburban,0.015901168681671393,Mahasarakam,44.0,6.526206476375219,6086.0544640692415,54.0,Yes
Male,High School,Divorced,Rural,,Udon,52.0,3.8890849643053476,5107.828384359215,77.0,No
Male,Graduate School,Single,Urban,-0.17598290445499692,Udon,45.0,5.315979278918544,3973.3683358336066,29.0,Yes
Male,Graduate School,Married,Rural,-0.09333985688328188,Khon Kaen,38.0,5.3914196666492895,4876.376923570093,37.0,
Female,Graduate School,Single,Urban,-0.4338763933985212,Udon,37.0,6.7899472969111585,3344.9607759862974,60.0,Yes
Female,Graduate School,Single,Urban,-1.0349582388264804,Mahasarakam,44.0,1.9024938725965685,4496.359790434558,109.0,Yes
Female,Graduate School,Married,Rural,0.08717612171695249,Mahasarakam,52.0,5.694896081030871,,44.0,No
Male,Graduate School,Single,Suburban,-0.6476516998372653,Khon Kaen,46.0,3.65565677939678,,54.0,Yes
Female,College,Married,Suburban,-0.8630421966635878,Mahasarakam,58.0,2.5583911201502283,,,Yes
Male,Graduate School,Single,Urban,-0.25561916759618764,Khon Kaen,55.0,4.607891440691137,3167.3009600879323,80.0,Yes
Male,College,Single,Rural,-0.11287111032540854,Khon Kaen,52.0,5.5752906391691655,5052.134084593765,68.0,No
Male,High School,Single,Urban,-0.6277769687469207,Khon Kaen,66.0,5.704865057937015,4397.703470683633,38.0,Yes
Female,Graduate School,Married,Urban,-0.3759965221259364,Udon,31.0,3.97217765408422,5746.895809257847,26.0,Yes
Female,High School,Divorced,Urban,-0.3239685585077215,Khon Kaen,52.0,4.933634433321318,5335.9230390276725,62.0,Yes
Male,High School,Married,Rural,0.2125591009931455,Mahasarakam,56.0,5.92526943058863,5198.19974701097,55.0,No
Male,Graduate School,Divorced,Urban,-0.5887729287104109,Udon,42.0,4.274860301800372,4253.057662313295,62.0,Yes
Male,Graduate School,Single,Suburban,-0.4355874456279541,Khon Kaen,37.0,5.2529394823542,3967.4584272371376,69.0,Yes
Male,High School,Divorced,Urban,,Khon Kaen,61.0,4.554935289343719,2346.7600777012344,27.0,Yes
Male,Graduate School,Married,Rural,-0.05758023705688358,Khon Kaen,48.0,4.016346885542979,3465.306633953651,69.0,No
Female,Graduate School,Married,Suburban,-0.45455331747336497,Khon Kaen,39.0,4.15087575332931,3804.2502332716313,59.0,No
Male,High School,Married,Urban,0.2655469637313104,Khon Kaen,35.0,5.346760797744241,4956.692740208033,45.0,No
Female,Graduate School,Married,Urban,0.1100508858688436,Khon Kaen,51.0,5.665357263052658,4879.876595651784,44.0,No
Male,High School,Divorced,Urban,-0.4186431670313548,Khon Kaen,51.0,5.9062358704082065,3012.521287573939,35.0,Yes
Male,College,Married,Urban,0.13050449215432883,Mahasarakam,55.0,4.999275741341737,3832.295596240395,40.0,No
Male,Graduate School,Divorced,Rural,0.41973474266013255,Mahasarakam,58.0,2.2323861852016877,3732.7106833459984,63.0,No
Male,College,Married,Urban,-0.07851204977369755,Udon,57.0,,5150.989033583213,81.0,Yes
Male,College,Married,Rural,0.25964583285866966,Khon Kaen,44.0,5.692665296803428,6350.472369922489,47.0,No
Male,College,Married,Urban,-0.5101491208649898,Udon,55.0,4.009242775272714,5779.401999096215,41.0,Yes
Male,High School,Single,Urban,0.009302967492112554,Mahasarakam,37.0,6.743783233037769,4973.66040537029,35.0,Yes
Male,High School,Single,Suburban,0.012847613197911535,Udon,46.0,4.425957139009408,5575.635933516782,68.0,Yes
Female,College,Married,Urban,-0.3142708671789017,Mahasarakam,39.0,8.386862789261997,3550.8982196761735,60.0,Yes
Female,High School,Married,Rural,0.27867401397293184,Khon Kaen,48.0,3.202207657560398,6107.049556224822,54.0,No
Female,College,Single,Rural,0.015583343710121392,Udon,45.0,6.78738314398778,3906.0993698150173,70.0,No
Male,Graduate School,Married,Rural,0.15024460208916804,Khon Kaen,59.0,4.395276446625731,5554.212035799601,56.0,No
Female,Graduate School,Divorced,Suburban,-0.8524000375810877,Mahasarakam,53.0,3.3495559511173294,2888.396583796071,29.0,Yes
Female,Graduate School,Married,Suburban,-0.04492284827206237,Udon,50.0,6.293377122683893,6534.512754665191,96.0,No
Female,Graduate School,Single,Suburban,0.5166761146347164,Udon,54.0,6.498748733448908,2091.937484290836,42.0,Yes
Female,College,Single,Rural,-1.1154689509756466,Mahasarakam,50.0,4.62481114503537,3650.2805383822742,63.0,Yes
Female,Graduate School,Divorced,Suburban,-0.07088802984075243,Mahasarakam,38.0,5.958805235086098,5128.739828149907,32.0,Yes
Male,High School,Married,Rural,-0.7352483355537385,Mahasarakam,49.0,5.281327267539566,3780.7340257949486,51.0,Yes
Female,College,Married,Urban,-0.8911599294936426,Mahasarakam,52.0,4.305589811548716,6306.067224608114,55.0,
Female,College,Single,Suburban,-0.863277600620909,Mahasarakam,40.0,2.5563938457746467,4715.51300938294,45.0,Yes
Female,High School,Single,Urban,-0.05700679049013534,Udon,,5.29241832011072,4168.177260262558,44.0,Yes
Female,Graduate School,Divorced,Urban,-1.0270757449644035,Khon Kaen,42.0,3.7200156518465515,2313.242198494627,76.0,Yes
Female,Graduate School,Divorced,Suburban,0.7464958238964241,Udon,62.0,5.4822761983641435,5413.709765129044,33.0,Yes
Female,High School,Divorced,Suburban,-0.8180516231430698,Khon Kaen,74.0,5.22588342764778,5259.990859605211,46.0,Yes
Male,Graduate School,Married,Suburban,-0.04084662228915727,Mahasarakam,46.0,6.427213784024938,4847.455262649333,71.0,No
Male,Graduate School,Single,Rural,0.21181181990154885,Khon Kaen,39.0,5.4225214485929305,2778.8761366118165,74.0,Yes
Male,Graduate School,Married,Urban,-0.7477447270943043,Mahasarakam,59.0,3.903763252349583,5496.8372771850945,63.0,
Female,Graduate School,Married,Urban,-0.03608197303429344,Mahasarakam,,5.093902946349254,5723.948833909955,48.0,Yes
Female,Graduate School,Single,Urban,-0.6513560212246476,Mahasarakam,34.0,5.292876686045102,4829.876533569302,76.0,Yes
Male,College,Divorced,Urban,-0.3940989244276996,Khon Kaen,50.0,4.203984185233423,5538.757930013508,69.0,Yes
Male,College,Single,Suburban,-0.47721936592163666,Udon,48.0,4.930238748501147,2717.118093753752,38.0,Yes
Male,College,Divorced,Suburban,0.370709707675558,Udon,37.0,5.956655839370716,5300.0265310346595,47.0,No
Female,Graduate School,Married,Suburban,-0.059078254088262915,Udon,50.0,4.524691464086284,6342.692499979356,72.0,No
Female,High School,Married,Rural,-0.8791340878483352,Mahasarakam,41.0,5.385574522397512,5529.291350637666,70.0,Yes
Male,College,Single,Urban,0.1731060116926237,Khon Kaen,52.0,6.7124025870623,4388.65340681342,50.0,No
Female,Graduate School,Married,Rural,-0.04813229949968861,Mahasarakam,55.0,4.230955164094725,4937.065973446469,74.0,No
Female,,Married,Rural,0.7889779932771266,Mahasarakam,40.0,5.03719453983357,6160.010291035029,77.0,No
Male,College,Married,Suburban,0.552872418894363,Khon Kaen,65.0,1.8762493249636885,5522.085778579019,23.0,No
Female,High School,Single,Urban,0.05489990223172182,Khon Kaen,53.0,4.838182737885675,4468.770202828386,38.0,Yes
Male,Graduate School,Divorced,Rural,0.30849741657524465,Udon,52.0,,2880.7504175142894,33.0,Yes
Female,College,Divorced,Urban,-0.1073869501613505,Udon,44.0,,5612.805732753807,26.0,Yes
Male,High School,Single,Rural,0.7345899187091205,Khon Kaen,54.0,6.335159054422377,4846.656398798912,50.0,No
,High School,Divorced,Suburban,-0.25117438702778827,Udon,47.0,5.450827918367588,5146.970725331729,70.0,Yes
Male,High School,Married,Urban,0.20164628460883438,Udon,58.0,4.459285136608959,4030.762229655001,46.0,No
Male,Graduate School,Divorced,Urban,-0.8470436108696391,Khon Kaen,56.0,3.890447958971293,4736.561863362116,79.0,Yes
Male,Graduate School,Married,Urban,-0.09476782913115342,Mahasarakam,46.0,3.0622313491917583,5265.2974518321935,105.0,Yes
Male,Graduate School,Divorced,,-0.07487458135193731,Khon Kaen,49.0,5.758836810187187,5619.67579613861,35.0,Yes
Male,Graduate School,Single,Urban,,Udon,58.0,3.8381818597683957,3065.3661541672946,60.0,Yes
Male,High School,Married,Suburban,-0.36243353084700586,Udon,39.0,5.931643494781935,6494.785963036742,61.0,Yes
Female,High School,Single,Urban,-0.24810988651008312,Mahasarakam,42.0,6.457985547667359,3992.1643115063225,79.0,Yes
Male,High School,Divorced,Urban,-1.0932914179820847,Khon Kaen,58.0,3.102880629410012,3789.850005802491,65.0,Yes
Female,Graduate School,Married,Urban,0.8216078140397796,Khon Kaen,52.0,6.968041144911757,4067.7534521399334,61.0,No
Female,College,Divorced,Urban,-0.471005645927654,Mahasarakam,50.0,5.055448973641021,4403.114056318506,45.0,Yes
Female,Graduate School,Married,Rural,-0.5481058496145987,Udon,42.0,6.742926203326449,4437.8852056720625,84.0,No
Male,Graduate School,Divorced,Suburban,-0.27951713139430356,Mahasarakam,63.0,5.896251832444456,4909.440542168551,52.0,Yes
Male,College,Divorced,Rural,-0.6916485659429576,Khon Kaen,54.0,4.633775924555644,6332.216615219693,46.0,Yes
Female,College,Divorced,Urban,0.1444517972634247,Khon Kaen,55.0,7.105769298368465,4700.499439955891,87.0,Yes
Male,High School,Divorced,Suburban,0.22138532834565683,Mahasarakam,67.0,7.484654599730243,5612.608914332022,63.0,No
Female,College,Divorced,Urban,-0.9913935052560163,Mahasarakam,53.0,4.586204080348026,5003.510643012504,17.0,Yes
Female,College,Single,,0.02844135736198536,Khon Kaen,42.0,4.777814886393122,4902.679186803471,46.0,No
Male,High School,Married,Urban,-0.15174916071788452,Udon,58.0,4.542444960025545,6253.544755468399,68.0,Yes
Male,College,Single,Suburban,-0.3759972859090054,Mahasarakam,51.0,5.31875294623851,3824.6726146677242,43.0,Yes
Male,Graduate School,Married,Rural,0.00788158620921705,Khon Kaen,41.0,4.943798673784998,4824.596905598848,53.0,No
Female,Graduate School,Married,Rural,-0.43322471368100435,Mahasarakam,57.0,4.716641972689869,3442.649207075859,25.0,No
Male,College,Married,Urban,-0.43391637750924117,Khon Kaen,58.0,4.667138304854891,5049.193253055957,48.0,No
Male,College,Single,Urban,-0.8767498148539545,Mahasarakam,39.0,4.802964682366137,4625.4668991072995,39.0,Yes
Female,Graduate School,Single,Urban,-0.774316803813125,Mahasarakam,54.0,7.104123230190465,5645.15685101376,48.0,Yes
Male,College,Married,Rural,0.08769666704500959,Udon,41.0,5.503193858888887,5818.164355070076,60.0,No
Female,Graduate School,Single,Urban,0.07744647704848534,Khon Kaen,60.0,3.6391961459700752,3955.4623663864168,38.0,Yes
Female,Graduate School,Married,Suburban,0.2818423795039007,Udon,49.0,6.948986750612533,4561.0091797996365,,No
Female,High School,Married,Urban,-0.6897237813511283,Mahasarakam,53.0,4.531928884743025,4247.142333093388,43.0,Yes
Male,,Single,Rural,-0.03380692746845222,Udon,55.0,5.336790254243275,5808.193952652603,48.0,No
Female,High School,Divorced,Urban,-0.15503543906143202,Khon Kaen,,4.490813469195006,4738.3926120265505,65.0,Yes
Female,High School,Divorced,Suburban,-0.4048288377465395,Mahasarakam,63.0,5.05884195540892,6723.077046393462,53.0,Yes
Female,High School,Divorced,Urban,-0.3273982903752064,Udon,51.0,7.170602414837578,4857.759004486323,35.0,Yes
Female,College,,Urban,-0.20035983269765176,Udon,43.0,3.7558080056482277,5125.093770987745,44.0,Yes
Male,Graduate School,Single,Urban,,Khon Kaen,62.0,7.507609226063846,5612.993608606376,60.0,Yes
Female,Graduate School,Married,Suburban,0.7784165461887552,Khon Kaen,31.0,4.514621638586776,3523.38100917851,52.0,No
Female,Graduate School,Single,Urban,-0.3962449809412751,Udon,40.0,2.715576863479923,3832.5378160870987,64.0,Yes
Female,Graduate School,Divorced,Urban,-0.14793326335523793,Udon,42.0,5.503181045671597,5423.968953226628,82.0,Yes
Male,Graduate School,Married,Urban,-0.33606194117454474,Udon,49.0,7.4823779148163485,4746.919437745016,62.0,No
Female,High School,Single,Rural,-0.5463965411948162,Udon,65.0,4.4402677862528215,4101.420696675068,,Yes
Female,College,Single,Urban,-0.6982635745999912,Udon,57.0,5.7391815070616445,3070.4450396441166,41.0,Yes
Male,Graduate School,Single,Urban,0.022860907556826376,Mahasarakam,54.0,4.906598159501824,4429.553742570937,65.0,Yes
Female,Graduate School,Divorced,Urban,0.0044366018329637935,Udon,46.0,4.704592865146964,7410.011091347494,44.0,Yes
Female,High School,Married,Rural,0.005614642714114222,Mahasarakam,37.0,4.312952707240071,4709.8349082084915,55.0,No
Female,High School,Married,Rural,-0.06014314591809398,Mahasarakam,50.0,5.479202659096843,4570.609675603372,73.0,No
Female,Graduate School,Married,Urban,-0.5352699874697678,Mahasarakam,47.0,3.9144093897893195,6355.1167693534735,57.0,Yes
Female,Graduate School,Married,Suburban,-0.7975270770618668,Khon Kaen,54.0,4.881376199763845,5069.51602742787,45.0,Yes
Male,High School,Single,Rural,-0.39479332974718817,Udon,45.0,4.998163902652236,3992.230828722885,99.0,Yes
Male,Graduate School,Single,Rural,-0.2069883195584402,Mahasarakam,43.0,5.584865746692696,3846.8156563688503,52.0,Yes
Female,Graduate School,Married,,0.5165986263932736,Mahasarakam,56.0,5.226290349583649,2701.805798789847,49.0,No
Female,Graduate School,Married,Suburban,-0.015999775826767364,Udon,50.0,5.4345121549830875,5831.870500591482,53.0,Yes
Male,College,Divorced,Urban,-0.8916347782481744,Khon Kaen,40.0,5.656242506056549,4812.910562920035,61.0,Yes
Male,Graduate School,Married,Urban,0.09259308073648048,Udon,41.0,,4691.602778855593,48.0,Yes
Female,High School,Married,Rural,-1.053003934074728,Khon Kaen,63.0,5.706992886958902,3720.59333473519,30.0,No
Male,Graduate School,Single,Rural,0.4074583427687506,Khon Kaen,68.0,4.048294733964889,2933.27512356657,54.0,No
Male,Graduate School,Divorced,Urban,0.029162959402089905,Udon,50.0,4.36322292194273,4004.4152076599676,41.0,Yes
Female,College,Single,Urban,-0.3965126382882588,Khon Kaen,52.0,4.998260382017688,3683.4033747405374,47.0,Yes
Male,College,Divorced,Urban,-0.3839641973435045,Mahasarakam,54.0,5.3150540332230065,6196.093247794892,53.0,Yes
Male,Graduate School,Divorced,Suburban,0.0061690488731731,Khon Kaen,60.0,,3992.847705268045,62.0,Yes
Male,Graduate School,Single,Urban,-0.34573349791608415,Udon,49.0,4.835124027487004,3296.307966224799,82.0,Yes
Female,College,,Urban,,Mahasarakam,57.0,5.284515652538148,5094.88443354331,36.0,Yes
Male,High School,Married,Rural,-0.6336808348205948,Khon Kaen,46.0,5.160108010252868,3229.404298673016,51.0,Yes
Female,College,Divorced,Suburban,0.680015542324473,Mahasarakam,35.0,4.311017679521023,4742.953868934469,60.0,No
Female,College,Divorced,Urban,0.12338162498970265,Mahasarakam,60.0,4.510753882541347,6311.8817949072245,72.0,Yes
Male,High School,Divorced,Rural,-0.6317549665399219,Khon Kaen,55.0,4.069104443868442,3507.105030277737,6.0,Yes
Female,College,Divorced,Rural,0.4624943157359833,Mahasarakam,62.0,4.707945484828077,3867.096376717075,34.0,No
Male,College,Single,Rural,0.8598356428410867,Udon,46.0,3.105696763955776,4607.802888344517,,No
Male,College,Divorced,Urban,-0.6224237643278743,Mahasarakam,58.0,4.852688561640998,6436.720272675126,39.0,Yes
Female,Graduate School,Divorced,Urban,-0.2896778216982396,Mahasarakam,54.0,3.72496214715052,6052.258911374644,77.0,Yes
Female,College,Single,Rural,0.727722959672214,Mahasarakam,38.0,4.7135300842764405,4171.94070377945,21.0,No
Male,Graduate School,Divorced,Rural,-0.15517748239698917,Khon Kaen,38.0,6.104739730420571,5994.757714542715,45.0,No
Female,Graduate School,Single,Suburban,-0.565847771170333,Khon Kaen,47.0,5.242734407877241,4540.719259671898,47.0,Yes
Female,Graduate School,Single,Urban,0.008425811766774753,Udon,49.0,3.8887457120456244,5568.542500462489,28.0,Yes
Female,Graduate School,Single,Urban,-0.4131990995659954,Khon Kaen,47.0,5.021045149648591,5253.907621477557,29.0,Yes
Female,College,Single,Suburban,0.4011549751276347,Mahasarakam,24.0,6.476006458559095,,53.0,No
Female,High School,Married,Urban,-0.707839527772922,Khon Kaen,46.0,5.113638076355249,5078.279075071866,28.0,Yes
Female,College,Divorced,Suburban,-0.47462939871468135,Khon Kaen,41.0,5.751387091126465,5827.0191901157195,70.0,Yes
Male,High School,Single,Urban,-1.431480897170087,Udon,53.0,2.761061886179708,4341.297702449473,72.0,Yes
Female,High School,Divorced,Urban,-0.9451444449594599,Udon,34.0,5.4710854234706,4727.822246314221,47.0,Yes
Male,High School,,Urban,-0.12080888177547776,Mahasarakam,43.0,5.765177749036475,4480.200151811096,45.0,Yes
Male,College,Married,Rural,-0.05214820168562938,Udon,64.0,6.766717511534979,5734.35629571695,57.0,No
Male,High School,Divorced,Urban,-0.36949957092731744,Udon,51.0,6.0459242104148,4502.016693183148,55.0,Yes
Female,College,Single,Suburban,-0.22717143794279562,Khon Kaen,44.0,4.454493382480569,4916.057040238163,54.0,No
Male,High School,Single,Urban,-0.5739846346090524,Udon,53.0,6.745426319785778,4626.169109203725,62.0,Yes
Female,High School,Divorced,Urban,-0.5457597346823375,Khon Kaen,52.0,5.7732022834746815,4771.57763171396,70.0,Yes
Male,High School,Single,Suburban,0.6716600948584995,Mahasarakam,57.0,4.209536285309608,2806.6842267293646,27.0,No
Female,College,,Rural,-0.0734352387193853,Mahasarakam,45.0,6.761086890828372,4782.523941721667,63.0,No
Female,College,Divorced,Urban,0.7209788631500899,Khon Kaen,50.0,5.534697546271428,4190.268655528609,,Yes
Male,Graduate School,Single,Suburban,0.17166410721313277,Mahasarakam,58.0,3.902864851382633,7478.993299754477,75.0,Yes
Female,Graduate School,Single,Rural,0.2537877833678441,Mahasarakam,49.0,5.874639099330508,,35.0,Yes
Female,High School,Married,Urban,-0.3777522615655917,Khon Kaen,66.0,7.633683508820596,6548.499173205733,65.0,Yes
Male,High School,Married,Urban,-0.16082672877704213,Mahasarakam,61.0,6.408402276587163,3859.332943006858,80.0,Yes
Female,High School,Single,Suburban,-0.06575765266976677,Mahasarakam,53.0,5.677537127460498,4991.783761797971,36.0,Yes
Female,College,Single,Suburban,-0.9837014674747803,Udon,57.0,,5829.576436371225,64.0,Yes
Female,Graduate School,Married,Suburban,-0.5804666267608455,Khon Kaen,56.0,5.510965688200146,5613.479430570398,53.0,No
Female,College,Married,Rural,-0.41589625709481265,Khon Kaen,66.0,8.589662514649605,3440.6425432255155,61.0,No
Female,College,Divorced,Urban,-0.12708532070596032,Khon Kaen,47.0,6.663612275452089,4667.741643242,53.0,Yes
Female,Graduate School,Single,Suburban,,Mahasarakam,48.0,6.137029287464079,4892.249116307564,37.0,Yes
Female,Graduate School,Married,Rural,-0.24578521370737327,Khon Kaen,51.0,5.756868789137773,6280.6038608211475,,
Female,High School,Married,Rural,-0.1601046190874698,Udon,50.0,4.813889253981725,5046.568387444641,51.0,No
Male,High School,Divorced,Urban,-0.726638731669684,,45.0,5.093611554232616,5645.353207648925,61.0,Yes
Female,Graduate School,Married,Urban,-0.1646571580975929,Mahasarakam,37.0,4.208212993104637,5100.30539910583,51.0,Yes
Female,Graduate School,Married,Urban,-0.4521519034434428,Khon Kaen,48.0,6.561517478484812,5047.236429485232,56.0,
Male,Graduate School,Single,Suburban,0.06177840882697348,Udon,61.0,4.777676421196934,3661.0151580868655,76.0,No
Female,Graduate School,Divorced,Urban,-0.2327000016551607,Khon Kaen,53.0,5.7140964585682426,6158.078304955852,27.0,Yes
Female,Graduate School,Married,Suburban,0.09208595964007421,Khon Kaen,50.0,3.9840304589850235,5662.758143823495,43.0,No
Male,Graduate School,Married,Rural,-1.1278550752082503,Udon,30.0,5.540753614549511,4261.028722787307,47.0,No
Male,Graduate School,Divorced,Suburban,-0.1661759727397859,Khon Kaen,47.0,4.136226774410887,7303.507027889833,29.0,Yes
Female,College,Married,Urban,-0.9940050774851602,Udon,41.0,3.348257089271204,4691.701906551105,37.0,Yes
Male,Graduate School,Single,Urban,-0.8462841506243722,Udon,52.0,4.664924414295673,5006.903187498289,30.0,
