Years after high school graduation,Monthly Income,Sex,Location Code,Brand Loyalty,Active online hours,Years subscribed,Marital Status,City,Education Level,Renew
27.0,6035.545347100226,F,Urban,0.5137346111858941,3.5576296728273062,5.0,Single,Tokyo,Graduate School,Yes
28.0,5674.057995250501,M,Suburban,0.8610555006824624,3.7817984278820607,4.0,Married,Osaka,High School,Yes
32.0,5935.659056863953,F,Urban,0.3982692850542976,5.43393510509983,3.0,Divorced,Tokyo,Graduate School,Yes
21.0,5977.609145238049,M,Urban,0.4998980031835294,3.4961621115484487,4.0,Divorced,Kyoto,Graduate School,Yes
47.0,4689.7944929618325,M,Urban,-0.14379588243590974,3.7378885671763804,4.0,Married,Osaka,High School,Yes
23.0,4393.659346275094,F,Urban,-0.19674784675552007,4.051513916324931,6.0,Married,Kyoto,High School,No
22.0,3038.857931897847,F,Urban,-0.6127288009285972,5.860601130158832,5.0,Divorced,Kyoto,Graduate School,No
36.0,4488.219971818382,F,Suburban,-0.11894793615640124,6.092626690754844,6.0,Married,Osaka,,No
26.0,3945.9355643892686,,Rural,-0.539129591226287,5.696400276769102,3.0,Married,Tokyo,Graduate School,No
25.0,4171.105277104811,F,Rural,0.04309539345995554,3.8191156103172936,4.0,Divorced,Kyoto,College,No
22.0,6434.923596467861,M,Urban,0.12492610532267057,4.6865151097873206,6.0,Divorced,Osaka,Graduate School,Yes
28.0,5664.248406924043,M,Rural,-0.01016339530910726,5.668189748430119,2.0,Single,Kyoto,High School,Yes
28.0,4417.250219914171,F,Rural,-0.5247391508949457,5.909101518480156,1.0,Single,Osaka,High School,No
28.0,6223.80141198794,M,Urban,0.3667547223654317,5.099254930534135,4.0,Divorced,Tokyo,Graduate School,Yes
33.0,5365.383267694523,F,Suburban,0.5305652909594953,5.907391306646214,7.0,Divorced,Kyoto,High School,Yes
37.0,4897.105334429485,F,Urban,0.9568621400741348,4.6723145336066025,2.0,Single,Osaka,Graduate School,Yes
25.0,6092.444648524905,M,Urban,0.22888092317309494,3.107376699003639,3.0,Single,Osaka,Graduate School,Yes
27.0,4695.918289655029,F,,-0.7251471426831602,7.402580787745228,3.0,Married,Tokyo,High School,No
47.0,4560.401250909557,M,Rural,0.48937008756056055,5.639926806911099,4.0,Single,Kyoto,College,No
14.0,4723.872262545967,F,Rural,-0.32197277459746587,5.999247111203349,5.0,Divorced,Tokyo,High School,No
33.0,5827.060167099525,M,Suburban,0.4569473196654229,3.444320658236944,5.0,Single,Kyoto,High School,Yes
51.0,4246.448062017176,M,Urban,0.05897339132121909,4.014674945384039,5.0,Divorced,Tokyo,College,Yes
26.0,5811.41325208615,M,Urban,0.0022714468475636546,4.733627514268087,4.0,Single,Tokyo,College,Yes
33.0,6152.077913671224,M,Urban,0.7117057604985645,3.7703790068578957,3.0,Divorced,Osaka,Graduate School,Yes
21.0,2927.5366198403453,F,Rural,0.11157916713373031,3.979684627847062,6.0,Married,Tokyo,High School,No
25.0,4228.829143257201,M,Urban,0.015942609261609328,6.438962674379738,5.0,Married,Osaka,High School,No
32.0,4952.729350457692,F,Rural,0.8486745542918502,5.0193766996233835,5.0,Single,Osaka,High School,Yes
8.0,6688.683180082074,F,Urban,-0.15302124467530637,5.857555013567206,3.0,Single,Kyoto,High School,Yes
34.0,4345.714014023822,F,Urban,0.35289249048967297,5.636316973768392,6.0,Divorced,Kyoto,Graduate School,Yes
34.0,3780.88545512911,M,Rural,0.4512030745757596,5.757422151307669,7.0,Married,Kyoto,High School,No
36.0,5483.846008186069,M,Urban,0.10158334010813033,4.776366803026653,2.0,Divorced,Kyoto,College,Yes
21.0,3373.464188801986,F,Rural,-0.41909206978216607,4.4925804171110695,5.0,Divorced,Osaka,Graduate School,No
19.0,2317.800168554533,M,Suburban,-1.0995826461854856,6.898073979553308,3.0,Married,Kyoto,High School,No
28.0,4809.61220773778,,Urban,0.11751366138168864,6.438187631340424,3.0,Single,Osaka,High School,Yes
46.0,5079.09163628918,M,Urban,-0.028122174229262324,4.679618187114442,4.0,,Kyoto,College,Yes
35.0,4911.8239171741525,M,Rural,-0.3939673425996093,4.014322586458514,5.0,Divorced,Kyoto,High School,No
24.0,6050.754505927796,M,Urban,0.73825638023671,3.940504634028006,6.0,Divorced,Osaka,High School,Yes
28.0,4533.152119554693,F,Rural,-1.4045244146048697,6.073747068397511,4.0,Married,Osaka,High School,No
39.0,4592.620500015311,F,Suburban,0.8850662852833087,2.3424117730665577,5.0,Single,Osaka,Graduate School,Yes
36.0,4860.5760625004095,M,Urban,0.6297434543936037,5.869547439341908,2.0,Divorced,Kyoto,Graduate School,Yes
18.0,6769.7801955182995,F,Urban,0.43082731919350814,7.142129405125543,3.0,Single,Osaka,College,Yes
17.0,4589.438942565035,F,Suburban,-0.8368645498036402,6.140966984114582,3.0,Married,Osaka,High School,No
43.0,5528.753782988925,F,Urban,0.2117368685604284,3.876621091064555,2.0,Divorced,Kyoto,College,Yes
28.0,5082.360398415704,M,Urban,0.5268587102663963,4.294219855431582,5.0,Divorced,Osaka,High School,Yes
29.0,5502.781749847331,F,Urban,-0.716360158784204,3.3009786447957055,4.0,Single,Tokyo,Graduate School,Yes
30.0,6109.230449431414,F,Urban,-0.3452320599675986,4.345884245948813,4.0,Divorced,Tokyo,Graduate School,No
34.0,4969.98017305666,M,Rural,-0.41236711135900045,4.039277740314288,2.0,Married,Kyoto,College,No
31.0,4793.338156004505,M,Urban,-0.1188256181474795,4.921092554275929,3.0,Married,Osaka,College,Yes
29.0,3822.6841070209375,F,Rural,-0.5613408162615084,7.667087511109987,6.0,Divorced,Tokyo,High School,No
27.0,5869.613883201242,M,Urban,0.5000961857706043,5.934180217989065,4.0,Divorced,Tokyo,College,Yes
30.0,4263.902910030672,M,Suburban,-0.13714621424136836,7.622005055836694,4.0,Single,Kyoto,Graduate School,No
39.0,4671.6001494438415,F,Rural,-0.5649301417013384,7.026662566863103,4.0,Married,Osaka,High School,No
20.0,4383.7313574421205,F,Suburban,-0.6694156589346085,8.011516592787906,4.0,Divorced,Kyoto,Graduate School,No
43.0,5477.943558747763,M,Rural,-0.8118522370314952,5.885157342490093,4.0,Divorced,Kyoto,High School,No
36.0,4896.050690392097,M,Suburban,0.6158643512673156,5.944210887341457,4.0,Single,Tokyo,,Yes
22.0,5749.165259912701,M,Suburban,0.6553621551463854,5.24497466835794,4.0,Divorced,Tokyo,High School,Yes
37.0,5888.442963820468,F,Rural,-0.42834297190669923,3.8964496139799945,4.0,Divorced,Osaka,College,No
31.0,5337.9594821966975,M,Rural,-0.25875902001817325,6.571474139315974,3.0,Married,Osaka,Graduate School,No
26.0,5941.841094222818,F,Urban,0.22582654438513472,1.9530676595976675,4.0,Single,Osaka,College,Yes
14.0,5271.213467184764,F,Urban,-0.08308130705260541,4.0018002027428015,5.0,Single,Kyoto,College,Yes
49.0,3756.4665193414403,F,Suburban,-0.02014768186278324,5.528274470031296,,Divorced,Kyoto,Graduate School,Yes
28.0,,M,Urban,0.48866805873189234,5.456157336188289,4.0,Married,Osaka,Graduate School,Yes
30.0,5558.356624763302,M,Suburban,0.26306677422252706,4.467827494406363,4.0,Single,Kyoto,Graduate School,Yes
44.0,4781.25402029296,F,Rural,-0.7795488061160156,6.0709689456172695,5.0,Single,Osaka,Graduate School,No
23.0,5164.744641964705,M,Urban,0.42156678869179326,5.816304952652376,5.0,Single,Osaka,Graduate School,Yes
24.0,6016.966551470215,F,Suburban,0.14344012266818232,6.433052557217814,5.0,Divorced,Kyoto,College,Yes
30.0,5872.055597909948,M,Urban,0.006073202987084275,1.7295734410989336,4.0,Divorced,Tokyo,College,Yes
26.0,4151.582344185083,M,Suburban,0.27207402702209776,5.137078148187692,4.0,Married,Kyoto,High School,No
33.0,1808.293652330446,M,Rural,0.3819311133809811,6.335447993729986,5.0,Single,Kyoto,Graduate School,No
29.0,3374.9447468150615,,Suburban,-0.5355038191615735,6.375134588539509,5.0,Divorced,Osaka,High School,No
25.0,4805.900021247516,F,Rural,-0.43503821108437635,5.463127120216669,4.0,Married,Kyoto,High School,No
13.0,5827.468683159676,M,Urban,0.11818765863054279,4.734213676984504,6.0,Divorced,Osaka,High School,Yes
31.0,5164.598147943257,M,Urban,0.40930994384468455,4.158971840969288,5.0,Divorced,Kyoto,College,Yes
34.0,5352.867693011618,F,Suburban,0.5164545206080186,5.9789327192446855,1.0,Married,Tokyo,Graduate School,Yes
24.0,4705.566261570494,F,Urban,0.31899881379384226,4.596772046222583,7.0,Single,Kyoto,College,Yes
42.0,4187.929305748584,M,Suburban,-0.8197087549390712,5.528923952652971,5.0,Single,Kyoto,High School,No
32.0,4460.396127888517,F,Urban,-0.08163448662634452,4.389793023972683,3.0,Divorced,Osaka,High School,No
21.0,6887.065136983071,M,Urban,-0.06345162251630515,1.1299694493231365,6.0,Single,Tokyo,Graduate School,Yes
32.0,4427.689265873284,M,Rural,-0.5966718438859444,6.234573807119884,4.0,Single,Kyoto,College,No
21.0,4114.602633195538,F,Suburban,0.38666116826121844,3.04033881359973,6.0,Married,Kyoto,Graduate School,Yes
45.0,4428.272899815071,M,Urban,0.4037962117626956,3.034334897001672,4.0,Single,Tokyo,High School,Yes
11.0,2443.3359379907797,M,Suburban,-0.9742689041281576,8.068853435135507,2.0,Married,Kyoto,Graduate School,No
52.0,4661.854113060753,F,Suburban,-0.8812440647149701,7.2722057133547295,4.0,Single,Tokyo,Graduate School,No
20.0,3826.21823269803,M,Rural,-1.3389052711903366,5.635384894123463,6.0,Married,Tokyo,High School,No
23.0,3841.9059306636645,F,Rural,0.04085084578127521,4.961115652576787,4.0,Married,Tokyo,College,No
35.0,5665.6103385078095,M,Rural,0.034988393638410914,3.77752366067274,4.0,Married,Tokyo,College,Yes
26.0,6310.825239935901,M,Urban,0.7197642117925306,6.196256816032961,5.0,Divorced,Tokyo,High School,Yes
28.0,4650.175916458392,F,Suburban,0.7228609335357451,4.570077446187056,6.0,Divorced,Osaka,High School,Yes
18.0,6630.94036641633,F,Urban,-0.29264244293931285,,,Single,Tokyo,High School,Yes
31.0,6324.046188311807,F,Rural,-0.4647736739698707,5.558420539894388,3.0,Married,Osaka,College,No
35.0,5492.505819483371,F,Rural,-0.8023537242713488,5.591688098718602,4.0,Married,Tokyo,,No
39.0,3967.772787867806,F,Urban,0.6099570054580145,3.8648232255264015,2.0,Divorced,Kyoto,College,Yes
27.0,4507.108557524103,F,Suburban,0.08020414970193665,4.761594820743169,2.0,Married,Osaka,Graduate School,No
24.0,5084.043366480887,F,Urban,0.6114095601111409,5.079786058886319,3.0,Single,Osaka,College,Yes
29.0,5266.937677715315,M,Rural,0.2584040025074608,4.458175007188487,5.0,Married,Kyoto,Graduate School,No
20.0,5159.770521569923,M,Rural,-0.37410584986242357,5.885030744107379,6.0,Single,Kyoto,Graduate School,Yes
25.0,5399.274889216987,M,Urban,0.8604983910065838,5.712461810422374,2.0,Single,Tokyo,High School,
26.0,4244.317598000195,M,Rural,-0.6335548677634386,4.7916968773848705,3.0,Married,Osaka,Graduate School,No
22.0,1923.1634827400285,F,Suburban,-0.31409083472355415,6.9322901404665025,3.0,Married,Osaka,College,No
45.0,4997.698179459513,F,Urban,-0.05168203385553869,3.8785086961957207,5.0,Divorced,Kyoto,College,Yes
44.0,3561.2666966743773,M,Rural,0.19503814778883805,5.185870849241796,7.0,Divorced,Tokyo,High School,No
43.0,3663.516867739677,M,,0.950566009625095,5.760411558684804,4.0,Single,Osaka,College,Yes
13.0,3675.0653670558722,M,Rural,-0.9279099980594252,8.16406455076515,3.0,Married,Tokyo,High School,No
20.0,5734.6885887686185,F,Rural,-0.980710602950739,5.541766357183976,3.0,Married,Kyoto,High School,No
37.0,3811.500836749236,M,Suburban,-0.21397512966970753,6.915682066653424,3.0,Married,Tokyo,Graduate School,No
26.0,5208.514391991096,M,Urban,0.5201890633356582,3.3527465764381637,4.0,Divorced,Kyoto,College,Yes
,5407.483062107169,F,Urban,0.5732833135059184,4.873743184117767,2.0,Divorced,Tokyo,High School,Yes
27.0,6115.37083136792,M,Suburban,0.3382144668514649,2.482194567404553,5.0,Divorced,Osaka,Graduate School,Yes
48.0,5170.091957067541,M,Urban,0.549989883493912,5.0653695980762015,5.0,Divorced,Osaka,Graduate School,Yes
32.0,,M,Suburban,0.40221925216819143,3.892682140487376,4.0,Single,Tokyo,High School,Yes
42.0,4112.66575904182,F,Suburban,-0.17020047776319872,5.687233142289758,3.0,Single,Kyoto,High School,Yes
24.0,4551.843037820552,M,Urban,-0.7794067813264853,5.696868040780009,4.0,Married,Tokyo,Graduate School,No
33.0,4733.479438329816,F,Rural,-0.550781716942881,5.765927894753145,2.0,Single,Kyoto,Graduate School,No
24.0,5584.186658305331,F,Suburban,-0.3396810942061261,4.72318501709277,3.0,Divorced,Osaka,Graduate School,Yes
37.0,5478.6159557383335,F,Rural,0.05247613003563964,4.656896677909997,4.0,Divorced,Tokyo,High School,Yes
18.0,6514.391084247599,M,Suburban,1.0478690576921625,,4.0,Married,Osaka,Graduate School,Yes
20.0,5240.077421146952,F,Suburban,0.6244263316742807,3.36079753855401,3.0,Married,Tokyo,High School,No
22.0,3925.014430975491,F,Urban,0.7004895979382706,2.3359059772246153,5.0,Single,Osaka,High School,Yes
23.0,5350.375776725032,F,Urban,0.4635529333381223,6.487307456758403,3.0,Married,Tokyo,Graduate School,Yes
33.0,4886.059157177744,F,Rural,-0.06005865966103003,3.886248107386259,4.0,Divorced,Tokyo,High School,Yes
31.0,6070.41922235276,M,Urban,-0.07215769248245314,3.643960071911337,4.0,Single,Tokyo,Graduate School,Yes
24.0,6238.112454430188,F,Suburban,0.3794206733065627,4.689889682507299,5.0,Single,Kyoto,High School,Yes
23.0,5286.08530241264,M,,0.4874956356555006,3.0146316781458222,3.0,Divorced,Osaka,High School,Yes
10.0,5000.61662639612,F,Suburban,-0.48845155395502843,5.195139556798031,3.0,Divorced,Kyoto,Graduate School,Yes
12.0,6404.43801836529,F,Suburban,0.05783169848672612,3.2790181204968443,4.0,Divorced,Tokyo,College,Yes
41.0,6088.621718958768,F,Rural,-0.442590352052252,6.162203742917332,4.0,Single,Kyoto,High School,No
33.0,3761.964781904432,F,Urban,-0.37086089212754364,7.082189722305093,4.0,Single,Osaka,Graduate School,No
27.0,4946.037706935256,F,Rural,-0.3527168354285617,3.775019431416206,4.0,Married,Kyoto,High School,No
28.0,6032.035517946861,F,Suburban,0.5326215570997447,3.3268361332361285,5.0,Single,Osaka,Graduate School,Yes
47.0,5149.868727687315,F,Rural,0.02419232167924848,5.815237300141762,5.0,Married,Tokyo,High School,No
38.0,4183.017037830156,M,Rural,0.79387803820454,5.2719601435218575,3.0,Divorced,Tokyo,,Yes
,5561.142130003328,M,Rural,0.6035202695069677,3.729437618003594,2.0,Divorced,Tokyo,Graduate School,Yes
54.0,4108.366652894764,F,Suburban,0.7558100888818351,4.683515226865253,3.0,Divorced,Tokyo,College,Yes
28.0,6039.818004722927,F,Urban,-0.08610527746389832,4.156609981986423,5.0,Divorced,Kyoto,High School,Yes
30.0,3503.7839328080463,M,Suburban,0.3696131051028133,4.540547363126033,6.0,Married,Tokyo,High School,No
24.0,,F,Urban,-0.45802889405117825,3.8076892466630694,3.0,Divorced,Osaka,High School,Yes
30.0,4988.4218797535395,M,Urban,-0.7102365851635701,4.511470224012516,3.0,Divorced,Kyoto,Graduate School,Yes
45.0,5057.682764031427,F,Rural,,7.319546949832558,4.0,Married,Tokyo,High School,No
14.0,4241.351048020352,F,Rural,-0.8738848128978873,7.438771089094022,3.0,Single,Osaka,High School,No
26.0,3537.911240995064,M,Suburban,-0.4911141793139188,5.378834674358419,4.0,Married,Tokyo,High School,No
32.0,5998.27545081417,F,Suburban,-0.16030277273643317,5.242582889563796,4.0,Married,Tokyo,High School,Yes
38.0,5297.411065591915,F,,0.1159570876879249,4.615965127562321,4.0,Married,Osaka,College,No
24.0,,M,Urban,0.7487139625247776,3.431982349277321,3.0,Single,Kyoto,Graduate School,Yes
52.0,4198.765826338539,F,Rural,-0.07939306032127563,5.136489956540839,5.0,Married,Tokyo,High School,No
22.0,5324.807533320904,M,Suburban,0.1736888192357768,7.1564019565497325,5.0,Married,Tokyo,High School,Yes
34.0,3092.0453297062645,F,Urban,0.08684319900655679,7.63417895977768,5.0,Single,Tokyo,Graduate School,No
38.0,4353.460315248213,F,Suburban,0.2990760700927329,3.93115036399264,3.0,Divorced,Osaka,High School,Yes
23.0,5055.606749032647,M,Rural,-0.5855707003185162,6.406494875656013,2.0,Divorced,Tokyo,High School,No
27.0,5625.417233410106,F,Urban,-0.13401930114897542,4.091001597500607,6.0,Divorced,Kyoto,College,Yes
35.0,4356.792201855962,F,Suburban,-0.6027447117038643,6.4397898663388435,4.0,Divorced,Osaka,College,No
35.0,4720.429891469461,M,,0.5532397710235334,4.883576309841563,4.0,Divorced,Tokyo,College,Yes
33.0,5005.806409364987,M,Rural,0.6010865809509562,4.1814736608269305,4.0,Divorced,Tokyo,High School,Yes
37.0,6089.548665063647,F,Urban,-0.41296507370367336,3.8568005535064174,3.0,Married,Tokyo,College,No
48.0,4821.496652981026,F,Rural,,5.269644319072156,5.0,Married,Kyoto,College,No
32.0,4625.127424787802,M,Rural,-0.053549615328528505,6.567681978124566,3.0,Married,Osaka,High School,No
31.0,4488.8943038850675,F,Urban,-0.07557839241244783,2.9579240686362955,3.0,Single,Osaka,College,
25.0,,M,Urban,0.29639582054913544,4.237728758712915,6.0,Divorced,Tokyo,College,Yes
21.0,5222.557215038857,M,Suburban,0.7547177574857715,4.387083842017637,5.0,Single,Osaka,Graduate School,Yes
,6238.246043606773,F,Suburban,-0.20169283217683412,5.63993260033822,2.0,Divorced,Tokyo,High School,
38.0,4677.673330552135,F,Urban,0.7545092490207618,3.7130346881202785,3.0,Divorced,Kyoto,Graduate School,Yes
21.0,5932.8857222900915,F,Urban,0.8589580301749454,5.081074464043685,4.0,Single,Tokyo,College,Yes
38.0,4962.224278111359,F,Suburban,0.8870401872681652,4.8652722946026215,6.0,Divorced,Kyoto,College,Yes
14.0,5648.798530006301,F,Rural,-0.3437480345752003,3.6696290909257123,5.0,Single,Tokyo,High School,No
24.0,5992.362147064983,M,Rural,-1.192842831355609,6.129291046643218,5.0,Married,Tokyo,High School,No
37.0,5313.640440584025,F,Rural,0.02037026636038776,,3.0,Single,Osaka,Graduate School,No
32.0,6241.311469199411,M,Urban,0.1228582343974812,3.119703181124059,4.0,Single,Tokyo,High School,Yes
34.0,6135.730493926042,M,Urban,-0.1218130829634122,5.88370633189717,6.0,Divorced,Tokyo,Graduate School,Yes
33.0,4495.108304705013,F,Rural,0.09375440869744,4.385598442546759,4.0,Divorced,Kyoto,High School,No
7.0,6639.497637781593,M,Urban,0.6856874338002312,4.446635184350862,4.0,Single,Osaka,High School,Yes
20.0,4990.804332510297,F,Rural,-0.848586964542843,5.668363243249518,4.0,Married,Kyoto,Graduate School,No
43.0,5259.097246700483,F,Suburban,-0.5007692341638366,5.357518677854305,2.0,Married,Osaka,College,No
14.0,6107.799895834038,F,Urban,0.41733499996917034,4.099270402724972,6.0,Married,Tokyo,College,Yes
24.0,3941.5188741368147,M,Rural,-0.9691285042824833,7.453305066507761,4.0,Single,Kyoto,High School,No
22.0,4451.900604655811,M,Rural,-0.15168056797824223,4.688192199934689,4.0,Married,Osaka,College,No
37.0,3166.28297329375,F,Rural,-0.10408629686175914,7.1558877922342194,4.0,Married,Osaka,High School,No
21.0,2819.958722249917,M,Rural,-0.402838826151988,5.690844958916455,4.0,Married,Kyoto,High School,No
16.0,5430.269575518704,M,Urban,0.19511152678467486,3.178203316416174,4.0,Divorced,Osaka,Graduate School,Yes
19.0,6215.190033715804,F,Urban,0.5270460151715827,5.488728429125168,3.0,Divorced,Tokyo,High School,Yes
28.0,4139.833210723535,F,Rural,-0.32635658057091055,6.006938539400907,6.0,Married,Kyoto,Graduate School,No
27.0,3653.941288962332,F,Suburban,-0.5780845425261683,7.422019313848178,4.0,Single,Tokyo,High School,No
39.0,6486.047218364744,M,Urban,0.46581383346908134,4.652547579155353,6.0,Divorced,Tokyo,High School,Yes
22.0,,M,Rural,-1.0388211608165383,7.794006538267566,1.0,Married,Tokyo,High School,No
38.0,4704.278272296881,F,Rural,-0.3414221581449407,6.782939568665183,3.0,Married,Tokyo,,No
50.0,4723.330815763295,F,Urban,0.3943732649051017,4.61830312282616,4.0,Married,Tokyo,High School,Yes
24.0,6973.5314327553,F,Urban,-0.03257115813837882,3.5686377079881533,5.0,Single,Kyoto,College,Yes
33.0,4919.127778834164,F,Urban,-0.1133158554941577,4.454886017190456,5.0,Divorced,Tokyo,High School,Yes
42.0,4612.062144254232,F,Urban,1.1810036360444878,2.9429545742928136,5.0,Single,Tokyo,College,Yes
20.0,5156.576909578613,M,Suburban,-1.469114367337494,5.477486298878107,4.0,Married,Kyoto,Graduate School,No
18.0,5382.8587801832155,M,Rural,-0.8163118661713357,5.827899248904275,4.0,Married,Tokyo,High School,No
41.0,4431.286434874137,M,Suburban,-0.8006096622772063,8.869144032927744,6.0,Single,Tokyo,College,No
31.0,5033.255577876213,F,Suburban,0.3706287683543017,5.418580591442187,4.0,Married,Osaka,Graduate School,Yes
31.0,4259.894560033228,M,Suburban,0.2859682371070086,5.502627211189981,5.0,Divorced,Tokyo,Graduate School,Yes
39.0,1927.209762803488,M,Rural,-0.4760886326685275,7.784704038930314,5.0,Divorced,Kyoto,Graduate School,No
41.0,5363.383045518498,F,Rural,-0.28564562801543014,6.443871932377986,5.0,Married,Kyoto,High School,No
36.0,5059.145190424426,M,Rural,-0.2958852182773962,6.486863134600959,3.0,Married,Tokyo,College,No
28.0,4202.647811598157,F,Rural,-0.28049215677854356,5.6916438028084375,5.0,Single,Kyoto,College,No
35.0,3987.926819148552,F,,-0.026185426459982827,5.7544559505984125,4.0,Married,Kyoto,High School,Yes
36.0,5701.439977315504,F,Rural,0.09677502004279159,2.9152346235630424,3.0,Divorced,Tokyo,Graduate School,Yes
36.0,5915.861069417042,F,Urban,0.5101571857976094,2.398137852128886,3.0,Married,Tokyo,High School,Yes
28.0,4284.1947028632,M,Rural,-0.5992778910798238,6.325307015731251,,Divorced,Kyoto,College,No
