City,Renew,Monthly Income,Education Level,Months after becoming member,Active online hours,Sex,Marital Status,Location Code,Years after high school graduation,Brand Loyalty
Tokyo,Yes,6487.079025222945,College,71.0,1.6839268876615607,Male,Married,Urban,42.0,-0.38931613848562363
Kyoto,Yes,3636.0193270550185,Graduate School,53.0,4.958572110344873,Female,Divorced,Urban,42.0,0.5823747946257917
Osaka,Yes,4182.322718800273,College,49.0,6.894595148946768,Male,Divorced,Urban,39.0,0.23601866608541744
Osaka,Yes,4463.146240509738,High School,99.0,6.652380014160704,,Single,Urban,40.0,0.49634629229527094
Tokyo,No,5486.351938291936,Graduate School,58.0,8.15934885180419,Male,Married,Urban,28.0,-0.7389027397732122
Kyoto,No,4922.881909286848,College,82.0,6.020199798285351,Female,Married,Suburban,24.0,-0.44154716082627166
Osaka,No,3842.9489373666443,College,88.0,5.77426920786409,Male,Married,Rural,35.0,0.2694623213888412
Tokyo,No,5344.9324517519935,High School,44.0,5.929692035679613,Female,Divorced,Rural,26.0,0.3850752791291546
Osaka,Yes,4063.020578494107,College,79.0,6.226235803023042,Male,Divorced,Suburban,28.0,-0.686710375073331
Tokyo,No,2750.0224246807607,College,50.0,3.7768317839120042,Female,Married,Rural,12.0,0.18551685258319572
Osaka,No,3129.065263524566,College,9.0,5.403078717118567,Male,Married,Rural,35.0,0.9364457982587351
Kyoto,No,4495.1390512628395,High School,91.0,5.624731347973193,Male,Single,Rural,27.0,0.8586425642699285
Osaka,No,4714.3217915320165,High School,65.0,,Male,Married,Suburban,36.0,-0.2868236945004162
Kyoto,Yes,4386.453528331688,Graduate School,48.0,7.861186050954378,Female,Single,Urban,37.0,0.18968122656662378
Osaka,Yes,4044.9702581452902,Graduate School,93.0,3.999598284624323,Female,Divorced,Suburban,42.0,-0.5798968717208175
Tokyo,No,3778.790109537268,College,71.0,2.802145658709551,Male,Divorced,Rural,22.0,0.7079820616556038
Kyoto,No,4159.905133343533,High School,85.0,4.741937668814316,Female,Married,Rural,26.0,-0.7937038602304476
Tokyo,Yes,5930.461010497874,Graduate School,79.0,3.3773209843993555,Female,Divorced,Urban,37.0,-0.12188845740698484
Tokyo,Yes,3992.3697663631056,Graduate School,67.0,4.544709858871792,Female,Divorced,Suburban,44.0,-0.24253039372933086
Tokyo,No,4836.822984429258,Graduate School,73.0,6.334035586389432,Male,Single,Rural,17.0,-0.9772495830168972
Tokyo,Yes,5202.810841671709,Graduate School,66.0,6.538845563755542,Female,Single,Urban,31.0,-0.11660356275199163
Tokyo,Yes,4642.145179192601,College,71.0,3.360664631130641,Female,Single,Suburban,30.0,
Tokyo,Yes,4257.47364883398,College,52.0,5.3482133767447815,Female,Single,,41.0,0.32978977765545037
Kyoto,Yes,3833.8305807680485,College,57.0,7.018964782923883,Female,Single,Suburban,32.0,0.07133674676003693
Kyoto,Yes,3203.5945836933706,High School,73.0,5.349061047947727,Male,Married,,33.0,-0.6930134705505627
Kyoto,No,2920.5545746490307,High School,52.0,4.716746620307346,Male,Divorced,Suburban,26.0,-0.07523027966581985
Tokyo,Yes,4072.7177333390177,Graduate School,52.0,7.899481719795553,Male,Single,Urban,43.0,0.2806558599087007
Kyoto,Yes,5420.922462272916,College,49.0,5.76255371119105,Male,Married,Urban,39.0,0.02587006496156069
Tokyo,No,4959.651453949453,High School,48.0,,Female,Married,Urban,35.0,0.22207943646713357
Tokyo,Yes,5203.349463601342,High School,62.0,2.778388728733351,Female,Divorced,Urban,25.0,-0.6590619011087646
Kyoto,No,4954.41389275522,High School,82.0,,Male,Married,Suburban,32.0,0.11369987825375971
Osaka,No,5855.796896758632,College,52.0,4.021571235034425,Male,Single,Urban,23.0,-0.24991260824674172
Kyoto,No,5644.432010582385,High School,45.0,5.73674511493778,Male,Single,Rural,21.0,-0.06679674123579638
Tokyo,No,3312.2861969654787,Graduate School,77.0,4.740733790893728,Male,Single,Rural,33.0,-0.6085299268109277
Osaka,No,3561.6366069086716,High School,,3.6278527551061392,Female,Married,Rural,39.0,1.0145641195835413
Osaka,Yes,3189.588146754891,High School,43.0,7.350206891182451,Male,Divorced,Rural,44.0,-0.18659667276900477
Kyoto,Yes,4322.317283211992,Graduate School,45.0,2.6256716251631986,Female,Divorced,Urban,26.0,0.5876692539174102
Osaka,No,4389.80965957229,College,76.0,6.408791261995832,Female,Married,Rural,16.0,-0.32386898793235325
Tokyo,Yes,5921.437875540867,College,36.0,4.6156138922441,Male,Divorced,Urban,42.0,0.23267504059403032
Osaka,Yes,7825.512625420122,Graduate School,62.0,3.7011444423648294,Female,Divorced,Urban,28.0,0.05917312267721164
Kyoto,Yes,3564.6254226930823,High School,79.0,6.243578472819801,Female,Divorced,Urban,,-0.89986573283021
Osaka,Yes,3678.1236803019056,Graduate School,48.0,5.867074253891402,Male,Divorced,Suburban,35.0,-0.09009997665982689
Osaka,Yes,6175.959352897276,High School,55.0,6.890979117521065,Male,,Urban,47.0,0.4182243582697418
Osaka,No,3593.301127291398,High School,73.0,7.988712665927337,Female,Divorced,Suburban,29.0,-0.03405077317946226
Kyoto,No,5867.56006816983,College,75.0,4.931043263188016,Male,Married,Urban,33.0,-0.27570901644349416
Kyoto,Yes,5797.923714223168,High School,79.0,4.712477001166373,Female,Divorced,Urban,33.0,0.08935182914480644
Kyoto,Yes,3457.741736361969,Graduate School,61.0,7.6893507512526895,Female,Divorced,Suburban,36.0,0.17620595486979562
Tokyo,Yes,2948.3038345926116,High School,63.0,6.6172033314693035,Female,Divorced,Urban,39.0,-0.3906273067809415
Osaka,No,5142.274839960569,College,57.0,4.6999625783958745,Male,Married,Rural,35.0,-0.10729931675155724
Osaka,Yes,4736.681096309092,,61.0,4.912842146025972,Male,Divorced,Suburban,46.0,0.08774407405990048
Tokyo,No,5045.4115058331745,Graduate School,54.0,5.667025969256314,Female,Married,Rural,47.0,0.6798633221455122
Kyoto,,4638.183700161363,High School,63.0,5.341823208790274,Male,Divorced,Urban,25.0,
Tokyo,Yes,3365.3862816807605,Graduate School,40.0,4.416739084755926,Male,Divorced,Suburban,47.0,0.2555806570960558
Tokyo,No,6360.273002269325,Graduate School,53.0,6.874721585338799,Female,Married,Urban,21.0,-0.06429390242379607
Tokyo,No,4518.870412289011,College,38.0,4.837090490150667,Male,Married,Suburban,10.0,0.03207622150474149
Osaka,No,5187.009392262614,Graduate School,78.0,6.678107129393326,Male,Single,Rural,23.0,0.239791679479334
Tokyo,No,4431.6079658660365,High School,103.0,5.004799832139437,Male,Married,Rural,12.0,-0.31232567314530685
Tokyo,No,4344.806033983981,High School,75.0,5.109635158767433,Male,Married,Suburban,37.0,0.8220031264730183
Tokyo,No,4191.846225823931,Graduate School,39.0,5.350998990598816,Female,Divorced,Urban,15.0,0.3145963136774541
Osaka,Yes,4811.886069033288,High School,68.0,4.205509860900196,Female,Divorced,Rural,29.0,0.20814695192906363
Kyoto,Yes,3003.6376903548435,High School,54.0,4.949769487421168,Female,Single,Urban,41.0,-0.09078507374875278
Kyoto,Yes,4303.0889189800155,Graduate School,34.0,6.194449134414297,Male,Divorced,Urban,23.0,-0.12296375039824431
Osaka,No,5874.570929789443,High School,64.0,3.4895203814524236,Female,Married,Rural,32.0,0.13673201478222008
Tokyo,No,4826.94579392177,College,63.0,2.9059441046476593,Female,Married,Rural,37.0,0.5049262011967482
Kyoto,Yes,5393.413243479089,High School,59.0,4.809929864620607,Male,Married,Suburban,,-0.6913147553676803
Osaka,Yes,4524.687176851613,High School,59.0,9.355652183416485,Female,Divorced,Urban,31.0,-0.2801142264508714
Osaka,No,3913.2394186449183,Graduate School,58.0,6.031309709878619,Male,Divorced,Suburban,22.0,-0.1042032971502041
Osaka,No,5107.934172928912,Graduate School,15.0,4.563949536916683,Female,Married,Rural,25.0,0.658774564688728
Kyoto,Yes,4614.719650273142,College,63.0,6.526548275475261,Male,Single,Urban,31.0,0.03973455913978846
Osaka,Yes,5441.101586289109,College,72.0,7.999605666377887,Male,Married,Urban,41.0,0.27625332378869405
Osaka,No,3883.8119534225007,Graduate School,56.0,7.356159116543309,Male,Single,Rural,24.0,-0.4826993273074804
Tokyo,No,4785.642795867416,College,,6.641660212937394,Male,Married,Rural,37.0,0.0498851156749302
Kyoto,No,5518.5013770769265,Graduate School,48.0,3.61794230562782,Female,Divorced,Rural,25.0,-0.35085019695085207
Kyoto,Yes,3568.2502871630873,High School,48.0,4.646698853214908,Male,Divorced,Suburban,46.0,-0.20421404726895878
Osaka,No,4333.453554534237,High School,60.0,6.253618674089203,Male,Married,Rural,13.0,0.028469408398215157
Tokyo,Yes,3870.7405761365753,High School,76.0,6.702329884594403,Female,Single,Urban,19.0,-0.08932199110293443
Kyoto,Yes,5487.1914479025345,High School,35.0,2.9756269409138154,Male,Married,Suburban,42.0,0.5715344274595286
Tokyo,No,4797.642686100663,Graduate School,88.0,8.518996525138895,Female,Married,Rural,25.0,0.007282742219325178
Tokyo,Yes,4048.1692238957967,College,79.0,4.2567645181084615,Female,Divorced,Urban,38.0,-0.9269294081583991
Tokyo,No,5525.037152714354,Graduate School,32.0,5.367416361360585,Female,Married,,39.0,-0.4189549026358148
Osaka,Yes,4368.783140510723,College,49.0,6.201265616934788,Male,Divorced,Urban,34.0,0.060226333423914424
Kyoto,Yes,5135.459767044405,Graduate School,91.0,3.9161892047769107,Female,Single,Urban,37.0,-0.4264120544544245
Osaka,Yes,5247.385494903919,High School,76.0,7.360411586961341,Male,Divorced,Urban,24.0,-0.12872465957701035
Osaka,Yes,6570.464310948267,College,57.0,3.7183984355778925,Male,Single,Urban,36.0,0.3303216343278673
Tokyo,Yes,4848.788581779347,College,42.0,7.217815663309543,Female,Single,Urban,46.0,0.1353648970730178
Tokyo,Yes,4992.938862243855,High School,76.0,4.79778048076497,Female,Married,Suburban,31.0,-0.2987147683509565
Kyoto,No,1825.267314460299,College,84.0,6.68709298445585,Male,Married,Urban,18.0,-0.5463820653407954
Kyoto,No,5467.600515798223,Graduate School,64.0,3.8791003019324988,Male,Single,Rural,36.0,0.20251998448957587
Tokyo,Yes,3866.329596512047,High School,51.0,7.687834041938059,Male,Single,Urban,38.0,-0.04302347763542036
Tokyo,No,5913.65394509776,High School,49.0,4.6620868053557265,Female,Single,Rural,22.0,0.5462181505712296
Tokyo,Yes,5616.567989415587,College,65.0,2.184363241969846,Male,Divorced,Suburban,40.0,0.08752840059721839
Osaka,No,4589.052152219765,College,48.0,2.434135586995577,Female,Married,Rural,23.0,-0.28143860525122905
Osaka,Yes,5088.945197269696,Graduate School,72.0,3.6703726695525267,Female,Married,Suburban,26.0,-0.09582955646090335
Tokyo,Yes,6173.768739283867,College,60.0,6.188608289282234,Female,Divorced,Rural,24.0,0.2607054462207523
Tokyo,Yes,5611.612534867356,College,63.0,8.510820285411068,Female,Single,Suburban,37.0,0.320611986081936
Tokyo,Yes,5371.141762449608,High School,50.0,6.029771792731952,Female,Divorced,Suburban,41.0,-0.19441294335536558
Kyoto,Yes,4172.45229066448,College,83.0,4.8973252651109345,Male,Divorced,Urban,21.0,0.15582283990522816
Osaka,Yes,6317.094589723654,Graduate School,38.0,5.278137677015682,,Single,Urban,41.0,0.5563304382809936
Kyoto,No,5527.154264506519,College,30.0,4.818195538001403,Female,Married,Suburban,29.0,1.3736427010000722
Osaka,Yes,5777.545606860145,,,7.495537385856549,Male,Single,Rural,52.0,-0.14455681032677203
Kyoto,Yes,3698.2009314190427,High School,66.0,5.029203438183792,Female,Divorced,Urban,39.0,-0.19400706328453096
Kyoto,Yes,5781.638110540372,Graduate School,47.0,6.220072510037431,Female,Single,Urban,38.0,-0.4454748664232273
Tokyo,No,5360.922535635379,High School,77.0,3.931263334174502,Female,Single,Rural,10.0,-0.8290170550312648
Osaka,Yes,5384.313511014729,High School,67.0,6.8791886873542705,Female,Divorced,Urban,19.0,0.2284646247393225
Osaka,Yes,4376.666493135934,High School,66.0,4.8199593412352195,Male,Single,Suburban,33.0,0.2543437897496692
Osaka,No,4848.942222491109,High School,84.0,4.822181791129215,Male,Married,Rural,38.0,0.13215503527078343
Osaka,Yes,3606.4838395096403,Graduate School,84.0,5.5494407298800015,Female,Single,Suburban,34.0,-0.5586944620001759
Kyoto,No,3718.9803535975825,High School,58.0,5.463610231066583,Female,Divorced,Suburban,22.0,0.16443114239266887
Tokyo,Yes,5224.030111615039,Graduate School,76.0,4.992598991528499,Female,Divorced,Suburban,56.0,-0.3976163885524425
Tokyo,No,4497.738493170832,Graduate School,31.0,6.06036530163885,,Single,Urban,23.0,0.6574230279019535
Osaka,No,6093.329408280621,Graduate School,77.0,4.22494371372584,Male,Married,Rural,23.0,-0.43404127274945065
Tokyo,Yes,5640.255502082316,Graduate School,92.0,4.780592455580447,Male,Single,Urban,42.0,-1.160019204782391
Tokyo,Yes,3796.4121554442536,Graduate School,84.0,6.096424248474373,Male,Divorced,Urban,44.0,0.040478655094838056
Tokyo,No,5093.844358133309,College,40.0,5.353726455794659,Male,Married,Suburban,19.0,0.3299945761270908
Osaka,No,4806.245667940649,Graduate School,45.0,5.364337197848585,Male,Divorced,Rural,28.0,0.8468517075714737
Kyoto,Yes,3988.9735418828413,High School,56.0,4.593263073423013,Male,Single,Urban,35.0,-1.0719899809738442
Tokyo,No,5020.585262759612,College,78.0,6.824016760610151,,Married,Rural,35.0,0.09237071267468122
Tokyo,Yes,3136.2157242864523,College,83.0,5.104650582291166,Male,Married,Urban,18.0,-0.06939278219853179
Kyoto,Yes,2570.623729504303,College,77.0,5.381803761490732,Female,Single,Suburban,60.0,-0.5091011683906583
Kyoto,No,5543.222389026585,College,64.0,4.445969661280561,Male,Married,Rural,29.0,-0.07795119789683419
Tokyo,Yes,1816.2995230144552,Graduate School,78.0,8.720902872170454,Male,Married,Urban,34.0,-0.37717030448892924
Kyoto,Yes,3168.8026564338797,Graduate School,43.0,4.215924721686076,Male,Divorced,Suburban,43.0,0.669356553946642
Tokyo,Yes,3272.6787446865537,Graduate School,79.0,6.8649155396391075,Male,Divorced,Suburban,43.0,-0.6906543095092244
Tokyo,No,4109.866979336635,Graduate School,32.0,3.8239555822981846,Male,Divorced,Rural,50.0,1.1496649623987047
Kyoto,No,2032.268614018184,College,49.0,3.9478630925761227,,Single,Rural,25.0,0.27183355579792023
Osaka,No,3754.7321378978804,Graduate School,77.0,6.3989412590111225,Male,Married,Suburban,29.0,-0.3813807835089757
Tokyo,,4905.21055735789,Graduate School,59.0,6.839417067221477,Female,Divorced,Rural,16.0,0.7063415360402252
Kyoto,No,2923.3937150386746,High School,79.0,8.315612372580201,Male,Married,Suburban,5.0,-1.1043134088183941
Kyoto,Yes,2399.6360966202046,Graduate School,69.0,,Female,Divorced,Urban,23.0,-0.18104579310423355
Tokyo,No,4402.9270510481765,Graduate School,87.0,4.858965284699709,Male,Single,Urban,30.0,-0.440804839300553
Tokyo,No,4680.250339870829,College,61.0,7.796557309611746,Female,Married,Suburban,15.0,-0.15524406872105434
Kyoto,No,6002.586841545804,High School,59.0,5.920178089313479,Female,Divorced,Rural,11.0,
Kyoto,No,3852.1626751121826,High School,48.0,5.3819418545026805,Male,Married,Suburban,18.0,0.7784439176887481
Tokyo,Yes,1941.830442670951,High School,59.0,2.3828105883524118,Male,Single,Suburban,47.0,0.1433902360792808
Osaka,No,5079.140537555808,College,86.0,7.1364314074722,Male,Married,Rural,15.0,-0.49488212415100613
Osaka,No,4377.359159394067,Graduate School,41.0,3.8929292460151057,Female,Single,Rural,13.0,0.09143675754368452
Osaka,No,6462.078867144957,Graduate School,68.0,6.018122349999147,Male,Married,Suburban,22.0,-0.13043143486812975
Osaka,No,3625.357278162217,College,37.0,6.314079978859607,Male,Married,Rural,26.0,0.35320071648893836
Tokyo,No,4967.003274779273,College,72.0,4.607307149647323,Female,Married,Suburban,31.0,0.42677033902310557
Osaka,No,3549.2211735670717,College,96.0,4.403101874004285,Male,Married,Rural,18.0,-0.8772685208644668
,No,5584.045821338633,Graduate School,87.0,5.267811138091021,,Married,Suburban,22.0,-1.0740934989599824
Kyoto,Yes,4179.708192752344,College,50.0,6.216272656998306,Female,Single,Rural,26.0,-0.17101025123116068
Tokyo,No,4202.402244691599,Graduate School,79.0,6.460256071795126,Female,Single,Rural,26.0,-0.11595693630550513
Kyoto,Yes,4463.820045712213,College,68.0,7.462220058753402,Male,Married,Urban,46.0,0.019484430744539927
Osaka,No,2558.471102200688,Graduate School,83.0,5.857257895851281,Male,Single,Urban,34.0,-0.710658626944729
Osaka,No,3545.5776998042793,Graduate School,31.0,4.601674229188024,Male,Divorced,Suburban,35.0,0.7785897958998664
Kyoto,Yes,4450.54187834409,College,59.0,8.335343705644402,Male,Single,Suburban,,-0.3415903079278243
Kyoto,No,3183.0006095421977,High School,46.0,4.207157146916332,Female,Married,Rural,28.0,0.5897844470177818
Tokyo,Yes,6595.524234474983,Graduate School,62.0,4.052662100568481,Female,Single,Urban,28.0,-0.0686915300457015
Kyoto,No,5144.4258424840145,Graduate School,52.0,6.1306221163572125,Female,Divorced,Suburban,26.0,-0.38042273800285153
Tokyo,No,4866.110700464766,College,67.0,5.735562307205879,Male,Divorced,Rural,38.0,-0.38968473423351696
Osaka,Yes,4604.0647436593945,Graduate School,57.0,7.395490992550231,Female,Single,Urban,43.0,-0.13015984470727976
Tokyo,Yes,4337.670649118314,High School,90.0,5.514250340404369,Female,Divorced,Urban,12.0,-0.14416654892141517
Kyoto,No,4494.235374450535,High School,65.0,4.556654540414539,Male,Single,Rural,16.0,-0.40976401138158713
Tokyo,No,4172.909569556767,College,119.0,5.802526201436895,Male,Married,Suburban,19.0,-0.5802744869116951
Kyoto,No,3011.9584340876504,College,84.0,6.418907343532471,Female,Divorced,Rural,25.0,-0.4094704890876525
Osaka,No,3305.53978964416,High School,72.0,4.0502099819977095,Male,Married,Rural,12.0,-0.19567570364597758
Osaka,No,4585.073007226236,High School,102.0,6.449662875940595,Female,Divorced,Rural,17.0,-0.8910754730781493
