Renew,Brand Loyalty,Marital Status,City,Education Level,Age,Gender,Monthly Income,Months after becoming member,Location Code,Active online hours
Yes,0.5802136179229475,Divorced,,High School,33.0,F,6975.256157531477,82.0,,6.423199944993373
No,0.43467742245712965,Married,New Castle,Graduate School,42.0,M,4162.08016522954,40.0,Urban,5.136476141018097
Yes,0.9336698786878913,Divorced,London,College,49.0,F,6504.119406677779,78.0,Suburban,3.226589045900211
No,0.45726303313506533,Married,Manchester,High School,49.0,M,4740.982361088759,64.0,Suburban,5.968701891707654
No,-0.3700986494309021,Divorced,London,Graduate School,46.0,M,5168.223428975749,88.0,Suburban,4.428440914188202
Yes,-0.12385349411637692,Single,Manchester,College,40.0,F,6841.888219953611,53.0,Urban,7.373819471406023
No,-0.0343410429535444,Married,New Castle,Graduate School,53.0,M,4359.547417636743,65.0,Rural,3.9782215942776435
Yes,-0.3396369519702518,Single,London,College,44.0,F,4555.39680828562,73.0,Urban,6.790761237254485
Yes,-0.5058693075058784,Single,New Castle,High School,33.0,F,5725.44626673474,58.0,Urban,5.807540577734209
No,0.20891342434459642,Married,New Castle,College,49.0,M,5421.869484289687,80.0,Suburban,6.435160757989327
No,0.16536580995920422,Married,Manchester,College,48.0,F,4579.524944823363,63.0,Rural,4.2055687083993085
No,0.2667163640572181,Married,London,High School,54.0,F,5556.030880048381,63.0,Rural,4.690764124006203
Yes,0.39031149118376396,Divorced,New Castle,Graduate School,39.0,M,6361.665783607298,62.0,Suburban,4.4700159235791865
Yes,0.7124737662607471,,Manchester,College,54.0,M,6950.098159121399,55.0,Urban,3.939286510869432
No,-0.2658953738445311,Married,Manchester,High School,49.0,F,6399.009909429507,67.0,Rural,5.502659790038531
No,-0.003846683877064938,Married,Manchester,Graduate School,43.0,M,,75.0,Suburban,5.009126247572297
No,-0.35258061210991065,Married,London,High School,49.0,M,5178.030610403517,26.0,Rural,4.9168846951076555
No,0.2994575463109417,Married,New Castle,High School,39.0,F,5637.876372402075,35.0,Rural,7.471974737031977
No,0.671492800319241,Married,New Castle,High School,30.0,M,5087.833696586216,57.0,,4.998560392040555
Yes,0.8506673227768087,Married,London,Graduate School,43.0,F,6899.265224853985,59.0,Urban,7.199958496768345
Yes,0.6877920720415656,Divorced,London,College,47.0,F,7032.1236373861375,42.0,Suburban,6.403600626363746
Yes,-0.4699911598177736,Divorced,London,College,54.0,F,5624.289070718795,,Urban,7.48716228118224
Yes,-0.45797626738334374,Single,Manchester,High School,35.0,F,5502.422194036484,33.0,Urban,6.038125264157989
No,-0.7041318392083231,Divorced,London,High School,47.0,M,5637.705273668924,95.0,Rural,7.793407903601698
No,-0.20021148354158214,Divorced,New Castle,High School,37.0,F,5044.178150104877,71.0,Suburban,5.271304958318042
Yes,1.1181024891674285,Single,New Castle,Graduate School,37.0,M,5928.13974388045,68.0,Rural,6.997489497373993
No,0.05015339326195212,Married,New Castle,High School,40.0,M,5184.085004292887,45.0,Rural,5.252097634103117
Yes,0.3461372098665692,Divorced,Manchester,Graduate School,40.0,M,6674.946441352963,39.0,,5.876461237806279
No,0.13219257672235496,Married,Manchester,High School,46.0,F,5520.94225208888,36.0,Rural,7.033258634822452
Yes,0.5486607522024771,Divorced,London,,51.0,F,5953.029095269799,32.0,Urban,5.254275253625295
Yes,0.7806958876528813,Divorced,Manchester,Graduate School,35.0,F,6062.732023894696,64.0,Suburban,5.36780683722751
No,0.15986752221852535,Divorced,New Castle,College,52.0,F,5526.516661658446,75.0,Rural,5.006644563768696
Yes,-0.5596485219544217,Divorced,New Castle,Graduate School,40.0,F,5799.078526860282,49.0,Urban,6.939310393728532
Yes,0.5454825055830055,Single,London,High School,54.0,F,4460.762839077094,31.0,Suburban,1.776979363675066
Yes,0.027634366451162573,Divorced,London,College,48.0,F,6424.31506390427,64.0,Rural,6.642377164579395
Yes,0.2490101969734556,Divorced,New Castle,Graduate School,60.0,F,5431.345970259448,66.0,Urban,5.356063802193939
Yes,-0.5008806429670409,Single,New Castle,College,44.0,M,5743.960134921412,67.0,Urban,8.863989239877503
Yes,0.3354999740897634,Divorced,London,Graduate School,34.0,M,5964.850299715517,58.0,Urban,5.538698484660566
Yes,0.2625271760842933,Single,Manchester,High School,51.0,F,5763.00352422263,72.0,Urban,7.760137508740938
Yes,0.3785919952050122,Divorced,London,College,43.0,M,5677.951057136214,35.0,,6.45688642835588
Yes,0.16224600479941131,Divorced,New Castle,Graduate School,57.0,F,6601.117042183598,63.0,Urban,5.066966227908404
No,-0.5622492539805387,Married,New Castle,,55.0,M,5607.522020863615,35.0,Suburban,5.936287397137979
No,-0.15452625735135117,Married,Manchester,Graduate School,60.0,F,5475.066638523959,58.0,Rural,6.589812143895332
Yes,0.11151436131237996,Single,Manchester,Graduate School,48.0,F,6412.935834506277,45.0,Urban,5.093848192722224
No,0.6373191681806971,Married,New Castle,Graduate School,50.0,M,4165.500429680153,66.0,Suburban,6.523611022898788
No,0.3895505294529207,Married,Manchester,Graduate School,45.0,F,4415.631025045237,71.0,Rural,7.773087432802514
Yes,0.613739061529914,Single,Manchester,High School,70.0,F,7504.668423196679,94.0,Urban,7.202716124269412
Yes,0.006411982952439943,Divorced,New Castle,College,38.0,F,5661.154693765293,37.0,Suburban,4.86241179463128
No,-0.6482153361631737,Divorced,New Castle,College,47.0,F,4024.611939485015,47.0,Suburban,1.8156521541243036
Yes,0.5213551055231689,Divorced,London,Graduate School,49.0,F,6505.027817220982,76.0,Suburban,6.066024846879132
Yes,0.7998673923798918,Single,Manchester,College,66.0,M,6034.240392897251,62.0,Urban,4.3319725684399595
No,0.2287923256945661,Married,London,College,41.0,M,3932.441461249152,49.0,Suburban,4.579558205353682
Yes,-0.029538977850203374,Divorced,Manchester,High School,49.0,F,5616.784646284234,52.0,,5.4964890909469375
,0.5885914868615458,Single,London,College,36.0,M,5315.823125379359,53.0,Rural,4.488968500668996
Yes,-0.7928780005773766,Divorced,London,High School,34.0,M,5919.456720749558,41.0,Suburban,7.554166695539046
No,-0.4502010677213235,Single,Manchester,High School,52.0,M,5507.997957191473,63.0,Rural,3.064354850957401
Yes,0.2714021608110715,Single,Manchester,College,40.0,M,5789.485642525585,50.0,Suburban,7.335697425980678
Yes,0.508615159759237,Divorced,Manchester,College,47.0,F,6241.431512357502,70.0,Suburban,4.218937158453112
No,-0.39751508925121615,Divorced,London,High School,47.0,F,5526.79488638782,105.0,Suburban,5.149408734371898
Yes,-0.7521667906933169,Single,New Castle,High School,44.0,M,5609.068899638071,48.0,Suburban,8.142794697174507
No,0.2404530028966442,,London,High School,47.0,F,6039.161209266575,66.0,Suburban,6.014763867370975
Yes,0.46430670362085225,Divorced,Manchester,High School,47.0,M,5926.874291007664,39.0,Rural,5.19161686601375
Yes,-0.0733992647993073,Single,Manchester,College,44.0,M,5849.627247472987,72.0,,5.648585873073788
Yes,0.06856703257984476,Single,London,High School,48.0,M,5189.119586141691,32.0,Rural,5.998077273033009
No,-0.03345395864666967,Married,Manchester,High School,50.0,M,6179.526169896206,42.0,Suburban,7.254649676244877
Yes,-0.5969945690160869,Divorced,London,College,47.0,F,5855.606785848112,73.0,Suburban,7.059633520667781
No,0.4090802883434163,Married,London,High School,34.0,M,4922.811624413695,86.0,Rural,7.6208117860295355
Yes,-0.47431843360944737,Single,New Castle,Graduate School,55.0,F,5151.047890807363,79.0,Urban,7.367852981610427
No,-0.1901092577039878,Single,Manchester,High School,48.0,M,4477.199471436543,56.0,Suburban,4.511523045101329
Yes,-0.4201610906772846,Single,Manchester,High School,38.0,M,6128.599856817127,37.0,Suburban,6.198269999941514
Yes,0.1600899549786331,Single,London,Graduate School,39.0,F,5627.6150455832485,83.0,Urban,3.9553950049969293
No,,Single,London,Graduate School,59.0,M,4513.387443588528,56.0,Rural,5.147117034940784
Yes,0.22289890864287074,Divorced,London,College,40.0,F,6814.442420934178,81.0,Suburban,4.23875089203074
Yes,0.40917130296746607,,London,Graduate School,45.0,M,6781.399906355693,37.0,Urban,5.847712364264665
Yes,-0.05684944506035716,Single,London,,40.0,M,6315.5313147311845,72.0,Urban,6.709114471019328
Yes,1.1946211780430804,Divorced,Manchester,High School,39.0,M,6039.44023138309,49.0,Urban,4.194422040031208
No,-0.265139812619551,Divorced,London,High School,32.0,F,6382.156839435753,,Rural,6.699321504071632
No,-0.09045492202665761,Single,Manchester,High School,42.0,M,4684.9075283118955,79.0,Suburban,5.303190704725864
No,0.026194222053961325,Married,Manchester,Graduate School,51.0,F,3665.1757125187773,91.0,Suburban,4.868042319176834
Yes,0.5128046581314731,Single,Manchester,College,48.0,F,6410.892490211148,82.0,Suburban,4.641280506493944
Yes,0.10400926393193027,Married,Manchester,College,62.0,M,4149.680728521063,53.0,Suburban,4.9703194160735915
Yes,,Married,London,Graduate School,46.0,F,6527.768586821212,68.0,Urban,4.460243072930197
Yes,-0.10558775286696598,Single,New Castle,High School,56.0,F,5918.977948923363,48.0,Urban,7.80884550084551
No,0.3011219488642711,Married,Manchester,High School,45.0,F,4434.7430413344155,82.0,Urban,6.016345525081862
No,0.7943201043727568,Married,New Castle,College,53.0,M,3773.9471279482655,74.0,Rural,5.1965634426581016
No,-0.05245664402727246,Married,London,College,48.0,F,6718.414550187193,55.0,Urban,5.815352566549041
No,0.021232917058545187,,London,College,55.0,M,4321.644211101052,98.0,Suburban,6.145469961249619
Yes,-0.30195618735435004,Divorced,New Castle,High School,47.0,M,6938.410701411413,57.0,Urban,6.679194138602684
No,-0.3482918002130604,Married,London,Graduate School,38.0,M,6263.100047823413,51.0,Rural,7.019233629172995
No,-0.3429157027938242,Married,New Castle,College,45.0,F,6876.85693088929,64.0,Rural,7.531373922548715
Yes,0.26105428760481747,Single,New Castle,High School,24.0,M,7341.221891305983,45.0,,5.226520423022421
Yes,0.4963514420023042,Divorced,Manchester,High School,46.0,M,6670.084067541278,37.0,Urban,7.453441669258331
Yes,0.4667768100108324,Single,Manchester,Graduate School,52.0,F,5309.081750434877,42.0,Suburban,1.4599588077043428
No,0.7047024318424884,Single,New Castle,College,52.0,M,5195.559591174428,44.0,Suburban,7.079013441005668
No,-0.44365606517393885,Divorced,Manchester,Graduate School,38.0,F,5853.354338784062,88.0,Rural,5.536601280979934
No,-0.06841904062142001,Married,London,High School,39.0,F,4433.268775852146,69.0,Rural,6.583637221954378
Yes,-0.1270127669805824,Divorced,London,College,51.0,M,5945.068914735746,51.0,Suburban,6.566963871532408
No,-0.008714540558631134,Married,London,Graduate School,43.0,M,5757.213226783212,54.0,Suburban,7.2795549985508226
Yes,0.17938499957817602,Single,London,Graduate School,24.0,F,7357.806822163226,81.0,Urban,6.377059698758164
Yes,0.2898940082907713,Single,New Castle,High School,47.0,F,7030.286320117597,56.0,Urban,5.641864759535833
Yes,0.6293328594400442,Divorced,Manchester,High School,29.0,F,5992.218418164786,45.0,Urban,5.804730712737567
Yes,0.11286535375564621,Divorced,New Castle,High School,55.0,M,6020.760411176022,54.0,Urban,7.097894106808631
Yes,0.4294678601101588,Single,Manchester,Graduate School,43.0,F,4545.724691875777,76.0,Suburban,5.435859214939977
Yes,0.31553286621063004,Divorced,Manchester,High School,58.0,F,5239.903878370772,45.0,Suburban,3.9074795965241362
Yes,0.15427673817159987,Single,London,College,31.0,F,6244.531680312958,40.0,Urban,4.925524789810586
No,0.5576790517920351,Married,New Castle,High School,49.0,M,4132.525160644962,77.0,Rural,3.8790591718816145
Yes,-0.18455496864886012,Single,London,College,36.0,M,5446.259561147004,91.0,Urban,6.472700780690211
No,0.09920150789659526,Divorced,London,High School,39.0,F,6261.273918714006,28.0,Rural,6.554712934150445
No,1.2048514998999984,Married,London,Graduate School,55.0,M,3897.7957540535517,46.0,Rural,8.508345188050374
No,0.48687212627865456,Married,London,High School,53.0,M,4009.8725649875596,61.0,Urban,4.110371138916349
No,0.5647396996707315,Divorced,London,Graduate School,35.0,F,4900.108373215117,85.0,Urban,4.286401320833459
Yes,0.20983115500673313,Divorced,London,High School,46.0,M,5663.155784218513,40.0,Urban,5.008875015875642
No,0.4257181515764112,Married,Manchester,Graduate School,48.0,M,5534.561642079862,72.0,Suburban,9.228755129362403
Yes,-0.13242325658939624,Divorced,Manchester,College,45.0,F,6470.566533983786,78.0,,4.6448015912255975
No,0.7381550814231475,Married,London,High School,47.0,M,1250.0,42.0,Rural,4.735975060013845
Yes,0.2960293457168643,Single,Manchester,Graduate School,48.0,F,4931.446118477735,57.0,Urban,2.987052116077509
No,-0.8370046903275656,Married,New Castle,High School,38.0,,7106.0300656645695,71.0,Rural,
No,0.3407407532002483,Married,New Castle,College,66.0,M,4888.148068329072,75.0,Rural,4.699361507028674
Yes,-0.515030305995737,Married,London,High School,55.0,F,6252.3987275885565,38.0,Urban,7.98850622977211
Yes,0.2429247407129788,Divorced,London,Graduate School,51.0,F,6663.477041980205,,Suburban,7.004023231461298
Yes,-0.09403455700791785,Divorced,Manchester,College,32.0,M,5811.206128538451,55.0,Urban,7.278622457910811
Yes,0.20697743233809437,Single,New Castle,College,49.0,M,6571.116200208371,51.0,Urban,6.939441095705348
No,0.28422193995950373,Divorced,New Castle,High School,46.0,M,4624.718508440029,54.0,Suburban,4.916081648682041
Yes,0.6454953876737386,Divorced,London,College,51.0,F,6487.802638664956,97.0,Urban,6.176027842403762
No,-0.09669642353263175,,New Castle,High School,34.0,F,4959.502200703833,27.0,Suburban,6.25470577473067
Yes,-0.08385898924321905,Divorced,Manchester,College,44.0,M,4501.494556502862,60.0,Urban,6.788566466920327
No,0.23093163242107845,Divorced,London,College,45.0,M,4674.766846829735,50.0,Urban,6.208254957746249
Yes,0.1034488835441803,Single,New Castle,Graduate School,43.0,F,5895.986213266782,37.0,Urban,5.138279721485794
Yes,-0.17208792253712257,Divorced,New Castle,College,43.0,M,5063.733376443449,37.0,Suburban,4.724185671357918
No,0.9810877303344604,Single,New Castle,High School,52.0,F,,35.0,Suburban,6.990526652611635
Yes,-0.21225645996924902,Single,Manchester,College,38.0,M,5496.498764265581,38.0,Urban,7.038769794551714
Yes,-0.12851181069423712,Divorced,New Castle,Graduate School,59.0,F,6963.001127339825,40.0,Urban,6.942589635221041
