Location Code,Months with Company,Education Level,Marital Status,City,Sex,Brand Loyalty,Annual Income,Active online hours,Age,Renew
Suburban,74.0,College,Divorced,Kyoto,Male,0.24368362197283683,,6.218919257806764,36.0,Yes
Suburban,62.0,Graduate School,Divorced,Osaka,Male,-0.8269124592963875,76165.8710571471,7.127453329684002,48.0,Yes
Urban,68.0,Graduate School,Single,Kyoto,Male,-0.012558260278415195,55042.806410397796,4.652596002712643,43.0,Yes
Urban,56.0,Graduate School,Divorced,Kyoto,Male,-0.5957011478642036,88940.42851441342,4.4105806430357966,50.0,Yes
Urban,85.0,College,Single,Kyoto,Female,0.1317940808033456,71220.94574176,,45.0,Yes
Rural,39.0,High School,Married,Kyoto,Female,0.49891336725526403,65223.540387017696,5.533010995335566,46.0,No
Urban,44.0,High School,Divorced,Kyoto,Female,0.34851081298498554,51094.55774428817,6.228110472564562,64.0,Yes
Urban,45.0,Graduate School,Single,Osaka,Male,-0.10939955704648163,59630.9142921766,5.633539165140418,64.0,Yes
Suburban,53.0,Graduate School,Divorced,Kyoto,Female,-0.7332922620509907,64116.4808522755,5.45861899821417,51.0,Yes
Urban,38.0,High School,Married,Osaka,Male,-0.30420786260518323,67169.46039693104,6.191073355291305,51.0,No
Urban,53.0,High School,Single,Tokyo,Female,-1.2064242561641183,61555.40885513356,3.883854565452853,59.0,Yes
Suburban,66.0,College,Single,Kyoto,Male,0.3851573277252143,,6.905656487601643,39.0,Yes
Rural,67.0,High School,Single,Tokyo,Female,-0.17545140316931535,51651.28194442022,5.678264301853464,42.0,Yes
Urban,86.0,High School,Divorced,Kyoto,Male,0.07505703951264836,69696.35234291025,6.151217456353829,34.0,Yes
Suburban,65.0,College,Single,Osaka,Male,-0.13548355115223432,54667.26781605518,7.204874344219588,53.0,Yes
Rural,71.0,Graduate School,Single,Kyoto,Male,0.14108447857582712,56549.99740203943,4.920310284542263,47.0,No
Urban,67.0,Graduate School,Single,Osaka,Male,-0.05082783424568221,50607.0641154685,2.949917779981798,41.0,Yes
Suburban,52.0,Graduate School,Divorced,Kyoto,Female,0.07908891338796295,63550.47119799083,6.516920935820938,46.0,Yes
Rural,46.0,High School,Married,Osaka,Male,0.02623010443538562,49518.985312036595,5.608168327125369,50.0,No
Suburban,62.0,Graduate School,Married,Tokyo,Male,0.5499303724954363,69144.5882059531,5.743447124388897,44.0,No
Rural,40.0,Graduate School,Married,Osaka,Male,0.3888005403244975,63434.488393363754,6.581576045697484,43.0,No
Rural,96.0,High School,Single,Tokyo,,0.06003107005671342,61907.557129846056,4.853743417222489,50.0,Yes
Suburban,59.0,Graduate School,Single,Kyoto,Female,0.08904615853209351,56216.434998133176,6.226586650811695,45.0,Yes
Suburban,,Graduate School,Divorced,Tokyo,Male,-0.8840698685607763,74685.21346130765,4.37245043354759,43.0,Yes
Urban,58.0,Graduate School,Single,Kyoto,Male,0.3148657672695922,80295.97820257515,5.168182495645315,49.0,No
Urban,53.0,College,Single,Tokyo,Female,-0.12629008043031636,62088.550613954125,4.987997244290738,64.0,Yes
Rural,49.0,Graduate School,Divorced,Kyoto,Male,-0.7088334107908378,59755.83394047397,5.067674254165294,61.0,Yes
Suburban,38.0,High School,Married,Osaka,Female,0.3977511513206637,50518.33868016469,4.963951298706039,51.0,No
Suburban,64.0,Graduate School,Single,Kyoto,,-0.34892724559193117,58437.92368552498,4.457498493698828,59.0,Yes
Urban,49.0,Graduate School,Single,Osaka,Female,-0.7090279148492508,69639.59475875848,4.540200887742742,36.0,Yes
Rural,63.0,Graduate School,Married,,Female,0.31704746372225767,68502.33503694089,6.587118445955924,38.0,No
Suburban,,High School,Divorced,Osaka,Male,-0.06632619515269489,63326.133784823534,4.4538109357622675,39.0,Yes
Suburban,41.0,College,Single,Osaka,Female,-0.40125948028744185,72065.0807142297,,51.0,Yes
Rural,73.0,High School,Married,Kyoto,Female,0.1491659988108937,73648.77715557706,5.640667658141718,43.0,No
Urban,62.0,Graduate School,Single,Kyoto,Male,0.17889261314291569,51609.31412121306,6.0959284167088175,59.0,Yes
Urban,52.0,Graduate School,Single,Osaka,Male,-0.03817389094582013,65039.33319882843,6.229725641176459,50.0,Yes
Urban,58.0,High School,Divorced,Osaka,Male,-0.08988660171090432,34375.511136046494,7.5732565249608825,37.0,Yes
Urban,46.0,High School,Single,Tokyo,Male,0.2773532268873433,39179.703418370744,7.6209121208118376,65.0,
Suburban,62.0,Graduate School,Married,Osaka,Female,0.43277735209154716,71488.0764979287,6.226391185040578,40.0,No
Urban,65.0,College,Divorced,Osaka,Male,0.006225386209660996,50627.727649927845,5.5565679311615215,46.0,Yes
Urban,38.0,,Single,Kyoto,Female,-0.2935432863286246,57149.31726382871,7.388939587121086,54.0,Yes
Urban,28.0,High School,Divorced,Kyoto,Male,-0.497102993111174,64809.22911637521,5.2957576816241385,59.0,Yes
Suburban,25.0,Graduate School,Single,Tokyo,Male,-1.0288906096489243,39107.427514447045,4.72954405594286,44.0,Yes
Urban,39.0,Graduate School,Divorced,Kyoto,Female,-0.6257497685384767,50544.66004586503,4.095770630705032,43.0,Yes
Rural,55.0,Graduate School,Single,Tokyo,Female,0.45644227916729757,64667.36328173393,4.879126375377418,49.0,No
Rural,105.0,High School,Single,Tokyo,Male,0.26098129550647153,45409.73330403445,4.546788268592507,41.0,No
Suburban,62.0,College,Divorced,Tokyo,Male,-0.33480583212453546,46562.479929279325,5.219644112659463,54.0,Yes
Rural,,Graduate School,Married,,Female,0.015218763367209842,44992.17332286452,6.752914454288218,47.0,No
Rural,54.0,Graduate School,Divorced,Kyoto,Female,0.4232279209769715,33388.87950449329,4.450008110084352,46.0,No
Urban,70.0,High School,Single,Tokyo,Male,-0.40814859455939834,49991.358820779395,3.0584235480898996,45.0,Yes
Rural,44.0,Graduate School,Single,Osaka,,-0.9514764165038789,56355.75836839191,5.422547620792876,60.0,Yes
Urban,33.0,College,Divorced,Osaka,Male,-0.6526667263734656,70690.77317888898,5.224946698745395,58.0,Yes
Rural,74.0,Graduate School,Married,Osaka,Male,0.8457459759720043,57156.4596316974,3.796963052825666,40.0,No
,34.0,High School,Married,Osaka,Female,0.25013402914165705,61524.155688537874,5.465305431587363,49.0,No
Suburban,41.0,College,Married,Osaka,Female,-0.44117904199976454,61878.67750029667,5.651122350621767,53.0,No
Rural,77.0,High School,Married,Osaka,Male,0.4931713469514731,56510.24171786995,4.2116243553980865,48.0,No
Suburban,45.0,High School,Married,Tokyo,Female,0.5754798126900553,53042.55398066826,5.451847596347136,46.0,No
Urban,66.0,Graduate School,Divorced,Osaka,Male,0.2968054897051731,41138.59619659559,4.066824670297317,39.0,Yes
Urban,48.0,Graduate School,Single,Kyoto,Male,-0.5816619365639741,77006.43519451232,5.4707160061205515,68.0,Yes
Rural,64.0,High School,Single,Osaka,Male,0.4370428484257484,50981.30589372451,5.512286105498774,46.0,Yes
Urban,51.0,Graduate School,Divorced,Kyoto,Male,-0.0495561314672934,66185.67268966236,5.941398836321939,55.0,Yes
Rural,,Graduate School,Divorced,Kyoto,Male,0.4238731068130551,64745.84031876696,4.629050409347087,48.0,No
Rural,59.0,High School,Divorced,Kyoto,,0.5061928187061837,42185.37824542598,,47.0,No
Urban,120.0,High School,Divorced,Kyoto,Female,0.7927556193260512,45760.19130858938,2.1713881745815913,29.0,Yes
Suburban,45.0,,Married,Osaka,Female,0.1939457434880905,43829.59139957689,5.553381140776851,47.0,No
Suburban,61.0,College,Married,Tokyo,Female,0.6996109039868927,64773.865154074345,3.767101421894875,47.0,No
Urban,68.0,Graduate School,Divorced,Kyoto,Female,0.15805496345045913,67911.00334904446,1.9966762129658995,32.0,Yes
Urban,39.0,High School,Divorced,Kyoto,Male,-1.260051194944012,46021.31758183391,6.782878795231189,64.0,Yes
Suburban,54.0,College,Divorced,Tokyo,Female,-0.18374485283929798,38518.148783362456,6.656655246346073,60.0,Yes
Rural,31.0,High School,Married,Osaka,Female,0.5101162524729406,52360.60337335124,5.722404959569168,45.0,No
Urban,58.0,College,,Osaka,Male,-0.15217560671491176,74681.97304298863,5.5380176040283535,61.0,Yes
Suburban,32.0,College,Married,Kyoto,Male,0.31246323482699834,68248.2747862752,5.186008483445078,52.0,No
Suburban,74.0,High School,Married,Tokyo,Female,0.07025785924383568,63304.08997163684,,45.0,No
Urban,41.0,Graduate School,Divorced,,Male,-0.42563620148733805,71192.35900046055,4.863221228947788,52.0,Yes
Urban,64.0,Graduate School,Single,Tokyo,Female,-0.35904345978241864,77733.95118373857,3.927502239578027,50.0,Yes
Rural,62.0,Graduate School,Married,Tokyo,Female,0.28232255716949756,60832.481136208,5.1210276291856145,49.0,No
Urban,52.0,Graduate School,Single,Osaka,Male,-1.451105069576987,57383.15292648025,4.244612195838194,45.0,Yes
Suburban,73.0,College,Married,Kyoto,Female,-0.352717788600564,84844.59919980535,5.34997867600323,47.0,No
Urban,63.0,College,Single,Osaka,Male,-0.13881144262955872,68198.76608776639,4.1240502012169005,38.0,Yes
Urban,44.0,College,Divorced,Osaka,Female,-1.0459562574884318,49126.96834694441,5.40550657885308,59.0,Yes
Rural,38.0,Graduate School,Divorced,,Female,0.15276710092840584,44922.82124667347,5.542100705186344,49.0,No
Suburban,43.0,College,Divorced,Tokyo,Male,0.804600651000021,44828.4264862291,4.434824597948058,49.0,No
Suburban,33.0,High School,Married,Osaka,Female,0.39082787457888907,47125.929218122525,4.726539748988772,51.0,No
Rural,57.0,Graduate School,Divorced,Kyoto,Female,0.30949395513236666,55658.46639021169,4.879519952812291,49.0,No
Urban,26.0,High School,Single,Kyoto,Female,-0.4345341846420545,58500.095380402745,5.20828322808149,50.0,Yes
Rural,76.0,Graduate School,Divorced,Kyoto,Male,0.26346951744320907,65663.62327817663,4.822051416481555,34.0,Yes
Urban,39.0,Graduate School,Single,Osaka,Female,-0.6076561102780182,29596.365268156704,8.572524588334518,54.0,Yes
Rural,58.0,High School,Married,Kyoto,Male,0.9463848586849466,60973.29357329298,3.4998219546299065,49.0,No
Suburban,60.0,High School,Married,Osaka,Female,0.803157554160226,71329.1972579126,2.8449160196648045,51.0,No
Urban,74.0,College,Single,Osaka,Female,-0.054543855330829644,49891.529097602084,6.187815984422915,41.0,Yes
Urban,40.0,Graduate School,Single,Kyoto,Male,-0.2616270269576926,70090.31568448563,7.510565762197602,61.0,Yes
Urban,67.0,College,Divorced,Kyoto,Male,-0.15531381644948156,57014.54775500968,5.821524144854345,41.0,Yes
Rural,63.0,Graduate School,Married,Kyoto,Female,0.12580240099300935,64173.35435499749,6.869731857809564,46.0,No
Urban,58.0,College,Divorced,Osaka,Male,0.7451238700839996,55142.49226682666,6.367948963616971,41.0,Yes
Urban,54.0,College,Divorced,Tokyo,Male,0.018242995544915055,60498.985733938425,9.045312883091661,53.0,Yes
Suburban,50.0,High School,Divorced,Kyoto,Female,0.1721929080662662,74457.78025793735,7.2999987287519446,35.0,Yes
Suburban,68.0,Graduate School,Married,Kyoto,Female,-0.029595506769611007,67976.02118506804,6.5442243188541545,43.0,Yes
Suburban,58.0,High School,Divorced,Kyoto,Female,0.7072645696303167,71418.97584995604,5.918964633864072,40.0,No
Urban,55.0,College,Married,Kyoto,Female,-0.2171286509234553,71636.057297686,1.76155806707769,42.0,Yes
Suburban,93.0,Graduate School,Married,Kyoto,Female,0.0032324579844481144,58553.194956970656,5.201689601369645,43.0,No
Suburban,60.0,College,Divorced,Kyoto,Female,0.5714377762315692,82573.3653383927,6.88380083847658,56.0,Yes
Urban,65.0,College,Divorced,Tokyo,Male,-0.17266782782801599,71901.49532905639,5.404789942837292,45.0,Yes
Suburban,50.0,High School,Single,Tokyo,Female,0.14308289061146237,62879.85782606002,5.820465583544936,58.0,Yes
Urban,93.0,Graduate School,Single,Osaka,,0.06570603016001234,76213.4770556588,4.687941238479445,51.0,No
Urban,53.0,College,Divorced,Tokyo,,-0.17569295725413792,71039.98823421117,6.178996771541806,52.0,Yes
Urban,66.0,Graduate School,Divorced,Osaka,Female,0.825943667605203,57568.94145513607,,29.0,Yes
Urban,97.0,College,Single,Osaka,Female,1.0458539501563453,,,36.0,Yes
Suburban,43.0,Graduate School,Single,Osaka,Female,-0.3933691915892671,50294.71311265406,2.537985879949583,49.0,Yes
Suburban,20.0,High School,Divorced,Tokyo,Male,-1.0193423014546212,62161.03381736112,5.280576923706467,59.0,Yes
Suburban,,,Single,Osaka,Male,-0.32946623303327466,67025.40447621189,3.3804610714689716,41.0,Yes
Rural,56.0,High School,Divorced,Tokyo,Male,0.5648699162029782,60610.61287288472,4.8809710436517255,47.0,No
Suburban,53.0,Graduate School,Divorced,Osaka,Male,0.23024535149791708,41205.767166488025,6.032129929760321,53.0,Yes
Urban,77.0,College,Divorced,Osaka,Male,-0.4152313802408355,40315.29391407218,5.603903648776738,55.0,Yes
Suburban,74.0,High School,Single,Tokyo,Female,0.7691106093813317,45691.48068795129,4.710273451220075,46.0,No
Urban,,Graduate School,Divorced,Tokyo,Male,-0.2668436929305943,63445.383759552016,6.152646298063902,56.0,Yes
Rural,32.0,College,Married,Osaka,Male,,49465.169040682864,4.111766730627369,51.0,No
Urban,66.0,High School,Married,Osaka,Female,0.6274884353542077,57198.43347377192,4.104020315878638,23.0,Yes
Rural,57.0,Graduate School,Married,Osaka,,0.45377763731677706,29476.352980946718,5.827778923370555,43.0,No
Suburban,74.0,Graduate School,Single,Tokyo,Female,0.3218744603346594,68179.39257052846,5.082695271827708,44.0,Yes
Urban,60.0,College,Married,Tokyo,Female,-0.3636253417904957,45862.15396771747,7.40998681080502,43.0,No
Suburban,40.0,Graduate School,Married,Osaka,Male,-0.3772209471694131,43872.93518492588,4.810375848089479,45.0,Yes
Suburban,40.0,High School,Divorced,Osaka,Male,-0.5292979736533041,75083.02829878143,7.336656752130404,55.0,Yes
Suburban,67.0,College,Divorced,Tokyo,Female,-0.26944948131292035,59654.23403083855,5.99350329636367,38.0,
Urban,74.0,College,Divorced,Osaka,Male,0.5840006098951502,52179.275619225125,4.436905167011544,42.0,Yes
Urban,77.0,Graduate School,Divorced,Osaka,Female,0.03936004433790713,46592.57073571577,2.936027319834614,26.0,Yes
Rural,83.0,Graduate School,Divorced,Osaka,Female,-0.09437285637163703,69515.19935981181,5.851381843602047,41.0,No
Urban,39.0,College,Single,Kyoto,,0.5322653089050604,43360.364169774126,7.496282456060446,49.0,Yes
Urban,77.0,High School,Divorced,Kyoto,Male,-0.6806617042989234,44920.71324807339,4.63601006253278,32.0,Yes
Rural,55.0,College,Divorced,Tokyo,Male,-0.1876126338169452,57691.52670395791,3.057142385026034,47.0,Yes
Rural,49.0,College,Married,Kyoto,Female,0.5070908786275536,57696.67678220567,6.543055991428142,44.0,No
Rural,60.0,High School,Married,Kyoto,Male,0.2132805998716267,68351.618777794,5.631707370146706,43.0,No
Urban,37.0,,,Osaka,Female,0.7802874536082643,41921.451016783765,5.8248254238890205,45.0,No
Suburban,44.0,College,Divorced,Kyoto,Male,0.2070963831206829,85239.82977596158,4.305795841355317,52.0,No
Suburban,74.0,High School,Married,Osaka,Male,0.2627690579505241,69653.8601516414,5.469915964048755,46.0,No
Urban,15.0,College,Divorced,Osaka,Male,0.4826273785530711,80379.88831186996,7.264290532270346,52.0,Yes
Urban,25.0,Graduate School,Divorced,Tokyo,Female,-0.3197571824593188,74031.44544651973,6.616602718206449,65.0,Yes
Urban,59.0,High School,Divorced,Kyoto,Female,0.02782351341498386,70866.2877158611,4.930562287458346,57.0,Yes
Suburban,38.0,College,Divorced,Kyoto,Male,-0.0726009940913874,59461.01682309267,4.190577167341464,35.0,Yes
Rural,60.0,Graduate School,Married,Osaka,Female,,33695.168057652336,6.584279000747948,38.0,No
Suburban,44.0,College,Single,Osaka,Male,-0.26108447927473155,65439.346986371354,5.272668553237835,43.0,Yes
Urban,92.0,High School,Single,Kyoto,Female,-0.005005186742035539,52596.87690414083,3.727295617903718,35.0,Yes
Urban,64.0,Graduate School,Single,Tokyo,Female,0.7099376498806712,77322.74401941586,5.2319931194388065,38.0,Yes
Urban,48.0,High School,Divorced,Tokyo,Female,1.3540637511467237,59096.68699168851,6.741339913853146,39.0,Yes
Suburban,41.0,College,Single,Osaka,Female,-1.0239706449465524,57921.171538472074,3.2875002397663153,58.0,Yes
Suburban,70.0,High School,Married,Tokyo,Female,1.0236145041762286,58093.44757860912,4.45117351307465,43.0,No
Rural,41.0,Graduate School,Single,Tokyo,Male,-0.24298512560063978,46559.4296518331,5.883497730297625,50.0,Yes
Urban,42.0,College,Single,Tokyo,Female,0.1135082760627334,83260.06379751953,,46.0,Yes
Suburban,57.0,College,Divorced,Kyoto,Male,-0.49355681967526477,67905.26818422988,8.335323479775527,58.0,Yes
Rural,66.0,College,Married,Kyoto,Male,0.07151327749603181,50980.991727495064,3.1336364717327574,50.0,No
Urban,61.0,College,Divorced,Osaka,Male,-0.6034855914929873,80405.17231372085,6.040454088636673,64.0,
Urban,69.0,Graduate School,Single,Kyoto,Male,0.3271677068575448,62238.316720622235,6.84710684229848,47.0,No
Suburban,41.0,High School,Divorced,Tokyo,Male,-0.26389825439457243,48314.9705157606,3.3446654291502944,35.0,Yes
Suburban,82.0,Graduate School,Divorced,,Male,-0.2270695413407785,65294.40577377689,3.909876219777128,49.0,Yes
Urban,62.0,Graduate School,Single,Kyoto,Male,-0.30484268199447184,74686.99727380871,6.11563272403626,59.0,Yes
Rural,52.0,College,Married,Tokyo,Male,0.4778753964934846,64502.628972306025,6.6769416277484135,39.0,No
Rural,67.0,High School,Married,Kyoto,Male,,56496.35483576532,5.006141317336397,43.0,No
Rural,57.0,College,Married,Tokyo,Female,0.6366685142710207,43382.483009364325,5.335456391026293,46.0,No
Urban,47.0,Graduate School,Single,Kyoto,Male,-0.716454350334018,50070.56635598204,3.16348943449148,44.0,Yes
Urban,48.0,College,Married,Kyoto,Female,0.48071725892597283,49404.94669554741,3.9773111164550654,49.0,No
Rural,52.0,High School,Divorced,Tokyo,Male,-0.10362400350892861,63775.49593397576,6.298283897347007,,No
Rural,72.0,College,Married,Osaka,Male,-0.12735732641348324,64170.97092715197,6.899451274665976,41.0,No
Rural,70.0,Graduate School,Divorced,Osaka,Female,0.4971696901441474,47433.772357309754,4.236726576088119,48.0,No
Suburban,40.0,College,Divorced,Tokyo,Male,0.6314323910194091,45945.82220408366,7.526852650033156,44.0,Yes
Rural,34.0,Graduate School,Divorced,,,0.13834048331800297,68949.07975838345,7.96652000177763,52.0,Yes
Urban,42.0,High School,Divorced,Osaka,Male,-0.061549685314473274,36341.171773595095,7.471861821582216,51.0,Yes
Suburban,59.0,High School,Married,Tokyo,Female,0.0924759647603845,71374.47035718526,6.478285722702692,41.0,No
Rural,43.0,Graduate School,Divorced,Tokyo,Male,-0.5224689758332134,67665.98704011092,7.7254711079600416,51.0,Yes
Urban,40.0,College,Divorced,Osaka,Female,-0.2869158512719759,55765.94857892958,2.10492927010004,34.0,Yes
Urban,49.0,High School,Divorced,Osaka,Female,0.6670364734511192,71177.43940581515,6.507161468086063,39.0,Yes
Urban,61.0,College,Divorced,Kyoto,Female,0.27667111472056904,61983.18414910185,5.299768050743727,27.0,Yes
Rural,39.0,Graduate School,Married,Osaka,Female,-0.3228592478453968,79308.1790347372,5.504457956265508,48.0,
Rural,39.0,College,Married,Tokyo,Female,0.26140792670834445,81583.02268514624,6.73517662723145,46.0,No
Rural,4.0,College,Married,Osaka,Male,0.26907653353538963,67454.70593238153,6.185320793119056,49.0,No
Suburban,48.0,Graduate School,Divorced,Tokyo,Female,-0.44598643613511324,93610.40373715525,5.423673349424644,55.0,Yes
Urban,37.0,Graduate School,Single,Kyoto,Female,-0.7949893457009444,65061.08980377974,7.204927361964296,49.0,Yes
Rural,93.0,High School,Single,Tokyo,Female,0.1370173430130356,69415.93881013499,2.5464333224780615,50.0,No
Urban,54.0,Graduate School,Married,Tokyo,Female,,73836.76137122014,3.2192099367413434,40.0,Yes
Rural,37.0,High School,Married,Osaka,Female,-0.2842810822219421,71012.47806462071,5.872967285434942,50.0,No
Rural,60.0,College,Married,Tokyo,Male,0.1858678998864467,71511.51661868763,6.161761456318773,42.0,No
Urban,38.0,Graduate School,Single,Osaka,Female,-0.5876515777922623,88350.81262337168,3.9483183996174436,45.0,Yes
Rural,103.0,Graduate School,Single,Tokyo,Male,0.40318167554757206,77200.28576554659,4.517098236672141,45.0,No
Suburban,36.0,High School,Divorced,Kyoto,Female,0.6142519385171954,58140.70048433653,6.33599521220563,45.0,Yes
Rural,79.0,College,Single,Kyoto,Female,0.20800261399933528,60365.19398906984,4.36204011484034,42.0,No
,76.0,High School,Single,Osaka,Male,0.4356444801404348,58286.64884871675,5.082340960917968,46.0,No
Rural,57.0,High School,Married,Tokyo,Male,0.875026829973063,62359.47318641754,4.788914245996134,45.0,No
Urban,,College,Single,Tokyo,Male,-0.5367381758590074,55934.77156622484,4.377373909011305,38.0,Yes
Rural,35.0,College,Single,Tokyo,Female,0.27337856658164084,68946.55800881478,6.333754798889069,47.0,No
Urban,73.0,College,Married,Tokyo,Male,-0.48640600256498845,74087.85938174571,4.385386313959229,42.0,Yes
Suburban,53.0,College,Single,Kyoto,Female,0.7252223446650466,64730.70879689317,,40.0,No
Suburban,65.0,High School,Married,Osaka,Male,0.16105514736582965,58125.85185282227,3.070544516402623,52.0,No
Suburban,49.0,College,Single,Kyoto,Female,-0.7513406826853083,53569.64889027311,5.1836938117070455,60.0,Yes
Suburban,34.0,College,Divorced,Tokyo,Female,-0.22789727826563366,45487.47029720275,6.144368115162217,50.0,No
Suburban,39.0,College,Divorced,Tokyo,Male,-0.10202263400419181,52356.08117417537,,51.0,Yes
Urban,53.0,Graduate School,Divorced,Tokyo,Female,-0.47157448462279594,47080.07401739419,4.178430401657435,48.0,Yes
Rural,84.0,High School,Single,Tokyo,Male,0.18940635186714105,58121.08547797866,2.8297565492628545,49.0,No
Suburban,45.0,High School,Single,Osaka,Male,-0.06548245406909942,72312.54786719312,4.271245656453465,46.0,Yes
Suburban,76.0,College,Divorced,,Female,0.34711161564404697,44377.60186490463,2.2516587397891104,42.0,Yes
Rural,41.0,High School,Married,Tokyo,Female,-0.028917869699425475,56864.92324252472,6.978333340115684,46.0,No
Rural,41.0,,Married,Osaka,Male,0.4424399687327271,74471.75238433138,4.621541632359421,50.0,No
Rural,70.0,Graduate School,Married,Osaka,Male,0.9786552848327317,63824.70656538281,5.376901866552241,40.0,No
Urban,91.0,Graduate School,Single,Tokyo,Female,-0.0023221078176365595,47075.13541604883,4.65171360349679,40.0,Yes
Suburban,68.0,High School,Divorced,Kyoto,Female,0.517696623086041,53084.26087847745,7.7327221865556,46.0,Yes
Rural,35.0,Graduate School,Married,Kyoto,Female,0.6073930625387098,62251.2999373396,7.932331317132347,39.0,No
Suburban,75.0,High School,Divorced,Tokyo,Male,,56778.31544676582,3.69354864958148,,Yes
Urban,75.0,Graduate School,Single,Osaka,Male,0.7561840635733105,68328.60149900056,5.77558073757253,40.0,No
Suburban,51.0,High School,Single,Tokyo,Female,,64139.48165323902,5.217065478544488,47.0,Yes
Urban,68.0,Graduate School,,Tokyo,Female,0.2772472981330357,55409.36660490964,3.8742141195675535,54.0,Yes
Urban,5.0,Graduate School,Divorced,Tokyo,Male,-0.42451868635420587,66684.05702682401,8.52808771221751,60.0,Yes
Urban,56.0,Graduate School,Single,Kyoto,Female,-0.7861551658100968,88396.96882612353,6.0390268433012135,55.0,Yes
Suburban,85.0,High School,Single,Osaka,Female,-0.16641323307881778,61417.04600279695,4.235054948424798,38.0,Yes
Urban,64.0,Graduate School,Divorced,Tokyo,Female,-0.2389595932242659,76087.21845112123,5.027206194150591,52.0,Yes
Urban,89.0,High School,Single,Osaka,Male,0.06935528243337097,65810.22225709379,7.107938913886645,46.0,Yes
Rural,81.0,College,Married,Kyoto,Male,-0.12912790589785728,34448.60652245363,5.139403068107885,45.0,No
Rural,54.0,Graduate School,Married,Osaka,Female,0.407351273581666,77267.83911338061,6.680301594397701,45.0,No
Suburban,52.0,Graduate School,Single,Osaka,Male,-0.5357664446979099,55010.12006777666,5.361266425428154,53.0,Yes
Suburban,56.0,College,Married,Tokyo,Male,1.1863736078337204,50504.30062828093,6.291991054321454,41.0,No
Urban,78.0,High School,Single,Osaka,Female,-0.31444849408672304,59418.824072112686,4.078213457558341,41.0,Yes
Urban,34.0,Graduate School,Single,Osaka,Female,0.07985598424779035,53159.69410098926,5.04846557395179,36.0,Yes
Rural,72.0,College,Married,Tokyo,Female,0.7473320037990479,56840.665532528714,4.286290926323893,42.0,No
Urban,61.0,College,Single,Osaka,Male,0.287226591451781,55218.26603645993,7.068206226353244,53.0,Yes
Urban,97.0,College,Married,Osaka,Female,-0.43751634654154625,61952.402489721804,4.37843221424811,36.0,Yes
Urban,61.0,High School,Divorced,Osaka,Male,0.01023826279696137,75621.68949830954,4.161620648237713,37.0,Yes
Suburban,68.0,High School,Married,Osaka,Male,-0.23263568037178145,67326.41633227898,5.354597986260221,42.0,Yes
