Annual Income,Hours Online,Sex,Months with Company,Renew,Age,City,Brand Loyalty,Location Code,Education Level,Marital Status
82335.43887872699,9.329917050750492,F,48.0,,30.0,Khon Kaen,-0.5764815656107124,Suburban,High School,Single
71600.71445351138,5.449129822781415,F,106.0,No,55.0,,0.3329457580629598,Suburban,High School,Married
54240.49075361662,5.777588061795667,M,61.0,Yes,45.0,Khon Kaen,0.5229595132006202,Urban,College,Divorced
58841.931557731936,5.545132338802236,M,51.0,Yes,45.0,Khon Kaen,-0.18301044806240008,Rural,College,Divorced
55037.4122713654,7.736302572853262,F,66.0,No,51.0,Khon Kaen,0.4047789690115802,Suburban,College,Single
69941.48895707616,,F,49.0,Yes,47.0,Udon,-0.8335097273883741,Rural,Graduate School,Divorced
66970.51776490631,5.121819107040083,F,44.0,Yes,51.0,Mahasarakam,0.7441139884005362,Suburban,Graduate School,Single
64474.10716173744,5.8868735127083465,F,51.0,No,47.0,Mahasarakam,-0.2590967877949477,Rural,High School,Single
83948.87407435453,6.791275925206742,F,41.0,Yes,34.0,Udon,-0.44436722941784595,Rural,College,Married
75786.72664144263,4.210784238726084,M,36.0,Yes,44.0,Udon,-0.04880067709671891,Rural,College,Divorced
52523.1874838144,6.459839144610514,F,53.0,No,42.0,Udon,0.07213428430817265,Rural,High School,Married
51794.42744513164,4.434793328768945,F,60.0,Yes,61.0,Mahasarakam,-0.28619863724022987,Urban,College,Single
38598.19716066489,4.216221940090801,F,74.0,No,74.0,Udon,0.2057402267832555,Rural,Graduate School,Married
61030.90130145641,4.897074693900537,F,45.0,Yes,55.0,Mahasarakam,0.005538665746812457,Suburban,College,Single
60662.057568896584,2.694281400596206,F,56.0,Yes,68.0,Mahasarakam,-0.20344170121262403,Urban,Graduate School,Divorced
52777.733464931494,6.9477828864259905,F,67.0,No,54.0,Mahasarakam,-0.31452456782631166,Rural,Graduate School,Married
62390.55285243952,,M,69.0,No,52.0,Khon Kaen,0.21530654175734987,Suburban,Graduate School,Divorced
74881.5160459841,4.021791883461195,F,44.0,Yes,42.0,Khon Kaen,-0.1950355269191963,Suburban,College,Divorced
64946.05488995738,3.548129291438614,F,50.0,Yes,59.0,Mahasarakam,0.19071304994947758,Urban,High School,Divorced
74623.34187161364,3.973804956209146,M,40.0,Yes,40.0,Mahasarakam,-0.2616626707550454,Rural,High School,Divorced
43122.48706204824,5.338902096755258,M,24.0,No,37.0,Mahasarakam,-0.03913821702122815,Suburban,College,Married
61087.05480375039,6.349836496837049,F,44.0,No,32.0,Mahasarakam,,Suburban,High School,Divorced
64414.0306216909,6.066640775934753,M,35.0,No,38.0,Khon Kaen,-0.5262951329555954,Rural,High School,Married
57114.19903745749,9.074202008019066,F,55.0,No,54.0,Udon,0.49726097809559844,Rural,College,Married
43207.459294254004,4.997104783907219,F,48.0,No,49.0,Mahasarakam,-0.3422883359197895,Suburban,College,Married
69473.60806924952,6.0180473812336945,F,30.0,Yes,35.0,Udon,0.2566881402132245,Rural,College,Divorced
47056.04968213603,5.797656392459949,F,84.0,No,53.0,Khon Kaen,0.3891298718369512,Suburban,Graduate School,Married
57124.241950820724,4.039777658364335,M,51.0,Yes,47.0,Mahasarakam,0.09694161853373134,Urban,College,Divorced
75939.95974582246,5.199224292782169,M,33.0,Yes,40.0,Mahasarakam,0.15849919658166015,Urban,High School,Single
40591.48382175194,5.170258787032138,M,43.0,No,43.0,Khon Kaen,0.8205584461269622,Rural,High School,Married
50932.33668332831,5.880023146335528,F,68.0,No,55.0,Mahasarakam,0.16269877515129363,Suburban,High School,Divorced
83153.71240823859,3.557528661953706,F,37.0,Yes,44.0,Khon Kaen,,Suburban,High School,Single
69233.37029279611,5.085386737287947,F,34.0,Yes,51.0,Mahasarakam,-0.12420035047259809,Urban,Graduate School,Divorced
47207.28596146044,2.4751506814525337,M,66.0,Yes,56.0,Udon,0.020276008237798723,Rural,College,Single
49374.88577985083,3.979223373564057,F,93.0,No,53.0,Mahasarakam,0.3576932006778125,Suburban,Graduate School,Divorced
71512.66165195817,5.952963098439383,F,40.0,Yes,52.0,Khon Kaen,-0.8140302186074985,Rural,Graduate School,Divorced
66912.37269187307,5.461337797597162,F,42.0,Yes,46.0,,0.6812616660475049,Urban,College,Divorced
73217.59644462938,7.43883311730267,M,43.0,Yes,42.0,Mahasarakam,0.4541313582083487,Urban,College,Divorced
84685.41863260927,5.223888994384393,F,29.0,Yes,44.0,Khon Kaen,0.014383969052707377,Urban,High School,Married
49765.81541971465,6.322302658172829,F,64.0,No,48.0,Mahasarakam,-0.12101553794382708,Rural,College,Divorced
49359.075030526205,5.664540890950561,,73.0,No,45.0,Mahasarakam,0.041827734069053144,Suburban,College,Single
59294.46466459655,3.1855017004800374,F,63.0,Yes,60.0,Udon,-0.017538033030420272,Suburban,High School,Single
67685.08872871211,4.6250938501988506,M,66.0,Yes,53.0,Mahasarakam,0.5854383759146019,Urban,College,Single
59345.09911919377,3.338243569578567,M,67.0,Yes,73.0,Khon Kaen,-0.11004524325506831,Urban,Graduate School,Married
62436.054079464884,3.2360890563635545,F,38.0,Yes,55.0,Mahasarakam,-0.2447615782988255,Suburban,High School,Single
44309.305549789126,6.391919540187487,F,71.0,No,,Khon Kaen,-0.3188551897169767,Suburban,Graduate School,Single
64746.30343639009,3.7433122263464953,F,49.0,Yes,51.0,Udon,-0.5965655063463792,Suburban,High School,Single
66538.92667793806,5.7017214937535226,F,45.0,Yes,43.0,Khon Kaen,-0.016120134246068098,Urban,High School,Married
54669.11777267041,5.426420938246609,M,55.0,No,41.0,Mahasarakam,-0.2405718971525758,Rural,Graduate School,Married
58841.60786751946,6.762007314974252,M,58.0,No,49.0,Khon Kaen,-0.22652688456709266,Rural,High School,Married
51947.81021942611,6.442866033666956,F,63.0,No,62.0,Udon,-0.3780049841922721,Rural,College,Single
72019.51879643954,4.457533801895346,M,45.0,Yes,49.0,Khon Kaen,,Urban,College,Single
60919.54423307193,4.303898391687271,M,63.0,Yes,47.0,Udon,0.49033152549553793,Urban,High School,Single
39879.90968017389,3.1931011144872485,M,70.0,No,47.0,Mahasarakam,0.0606912216427567,Urban,College,Divorced
87215.65093700295,3.737722811370122,M,32.0,Yes,38.0,Khon Kaen,1.10874110404627,Suburban,High School,Divorced
63335.97017597193,5.92297421288236,F,68.0,No,42.0,Mahasarakam,-0.28108703771532184,Rural,High School,Married
72610.70231444448,5.363935651330445,F,28.0,Yes,37.0,Khon Kaen,-0.007068788102303339,Urban,High School,Single
49441.696353626256,,M,54.0,No,42.0,Mahasarakam,0.6005525388331379,Rural,High School,Divorced
64338.00476728537,6.330553561103551,F,38.0,No,42.0,Udon,-0.27567409257218695,Rural,High School,Married
48368.74699621418,3.3345970152497832,M,79.0,No,49.0,Khon Kaen,-0.28118891440715627,Suburban,College,Single
80334.20467839498,5.468631414009401,F,37.0,Yes,54.0,Mahasarakam,-0.3438532756696762,Urban,High School,Divorced
39527.852455507615,5.260679682161538,M,83.0,No,60.0,Udon,-0.1966203278594501,Urban,Graduate School,Married
64194.55544965961,4.077115129825547,F,49.0,Yes,61.0,Udon,0.298847719271991,Rural,College,Single
40787.92493793782,2.924585288064047,M,72.0,No,49.0,Udon,-0.28650175831135116,Urban,Graduate School,Divorced
70457.90073732591,8.078937785848456,M,84.0,No,53.0,Udon,0.1431539456129515,Suburban,High School,Divorced
75811.80658686659,3.875800959936571,F,25.0,Yes,49.0,Udon,-1.0085295261710248,Suburban,Graduate School,Single
66151.4129608109,4.766349195619977,F,24.0,Yes,42.0,Udon,0.6367279608184501,Urban,High School,Divorced
61795.15914889541,8.750213245800456,M,27.0,No,32.0,Udon,0.6922066916969628,Rural,Graduate School,Single
60672.04608973325,7.230852312460432,F,56.0,No,50.0,Mahasarakam,,Suburban,College,Married
62373.90344965371,4.552391544807901,F,65.0,Yes,55.0,Khon Kaen,-1.308535387662707,Urban,High School,Divorced
62288.73694085046,2.783621741248281,F,55.0,Yes,64.0,Mahasarakam,0.004147881390797747,Urban,College,Divorced
77137.21872843184,6.401494538112235,F,42.0,Yes,36.0,Udon,0.5459672495230837,Suburban,College,Divorced
79932.67654249357,6.984684052685052,M,38.0,Yes,33.0,Udon,-0.24035054579685866,Urban,High School,Single
59362.77747235522,5.859470831009293,M,72.0,No,54.0,Udon,0.3441096420089142,Suburban,College,Married
65806.88444478827,5.408418201405071,F,47.0,Yes,44.0,Khon Kaen,-1.4065667234875936,Suburban,High School,Single
65814.9685387004,7.858313527078866,M,80.0,No,43.0,Udon,-0.4916223722318822,Suburban,College,Married
75348.49565042692,8.040807478870917,M,57.0,No,36.0,Udon,0.9949404486611728,Rural,College,Married
36769.406036621214,4.636248460849911,M,100.0,No,69.0,Udon,0.6995222912770251,Rural,High School,Married
75928.81736507536,3.4402087867471307,F,28.0,Yes,40.0,Udon,-0.009828770627073949,Urban,College,Divorced
59233.33617226144,3.764453063536831,M,54.0,Yes,72.0,Udon,0.10482707715091197,Urban,High School,Single
60783.26282195411,6.1513974484017115,F,95.0,No,65.0,Mahasarakam,0.10952799494555118,Rural,College,Married
67388.0910725474,5.798054255937059,F,43.0,No,41.0,Khon Kaen,0.9649142919702258,Rural,Graduate School,Married
67107.3294106477,5.704766792122979,M,30.0,Yes,42.0,Khon Kaen,0.009328675895472746,Urban,College,Married
48771.606549685326,4.287533391960625,F,47.0,No,60.0,Khon Kaen,-1.162331756561437,Suburban,High School,Married
52235.88526524089,6.088730777357018,M,76.0,No,54.0,Mahasarakam,0.39999072259495205,Rural,Graduate School,Single
64755.47483125599,6.1820475406851205,F,39.0,Yes,36.0,Mahasarakam,-0.28284852964532015,Suburban,College,Single
81241.73648779468,7.321797802560107,M,65.0,No,38.0,Mahasarakam,-0.38467165515569957,Rural,High School,Married
89193.78326476159,4.360215485059174,F,24.0,Yes,46.0,Udon,-0.2771133682896755,Suburban,High School,Married
,5.783746891335108,M,53.0,No,47.0,Khon Kaen,-0.25246262333381986,Rural,High School,Married
66328.13211538517,6.555418989846182,M,68.0,No,49.0,Mahasarakam,0.1838554240539022,Suburban,High School,Married
59063.67794139539,3.440576068943101,M,66.0,,43.0,Khon Kaen,0.49634596821897947,Urban,College,Single
68654.38389537865,3.9431173697546384,F,44.0,Yes,50.0,Mahasarakam,0.2626237533020137,Urban,Graduate School,Single
70441.66206977071,5.275845713333156,F,53.0,Yes,41.0,Mahasarakam,0.26394539910144255,Rural,College,Divorced
76730.52854771464,4.432154100926326,M,46.0,Yes,60.0,Udon,-0.11187657055672293,Suburban,Graduate School,Single
79817.75068299368,3.6726961743080127,F,24.0,Yes,50.0,Khon Kaen,-1.408852241732037,Rural,High School,Single
85498.17602457924,3.796464783973935,F,33.0,Yes,54.0,Khon Kaen,-0.491334691049642,Suburban,Graduate School,Divorced
65256.322594723286,5.8643934144176715,F,48.0,Yes,,Mahasarakam,-0.0726182943951855,Suburban,High School,Single
74867.22834055296,6.125887030901137,M,32.0,Yes,,,-0.48768897131516753,Urban,High School,Single
52788.12763904623,6.474213130144581,F,49.0,No,38.0,Udon,-0.7411669702100061,Rural,Graduate School,Married
76486.36003237446,7.36543414135065,F,32.0,Yes,28.0,Mahasarakam,0.5929161740148553,Urban,Graduate School,Divorced
75317.01703372106,,F,40.0,Yes,38.0,Khon Kaen,-0.03903427714487186,Suburban,Graduate School,Single
57809.483172088185,4.068632045917639,F,59.0,Yes,60.0,Mahasarakam,0.88360759403608,Urban,Graduate School,Divorced
66430.61352502901,6.445727834874837,M,50.0,Yes,49.0,Khon Kaen,0.44911393896918084,Suburban,College,Single
51897.24979443928,3.0041763458586916,F,58.0,Yes,57.0,Khon Kaen,0.22857336062254807,Urban,High School,Single
77051.46574918226,5.916802110058257,F,43.0,Yes,51.0,Khon Kaen,0.11823321631300501,Urban,High School,Single
58230.63439127467,7.815145535397269,M,51.0,No,31.0,Khon Kaen,-0.13225430433138255,Rural,College,Single
55246.28617311774,5.640318287968139,M,65.0,No,48.0,Udon,0.44352571903435656,Suburban,College,Married
73985.92784480925,4.751248079958649,F,48.0,Yes,44.0,Mahasarakam,0.20388553234468781,Urban,High School,Divorced
64112.7988628531,4.994030262465527,F,40.0,Yes,46.0,Mahasarakam,-0.030743768172153685,Urban,Graduate School,Married
67705.4568222533,4.94068171230127,M,47.0,Yes,41.0,Udon,-0.1892026145116688,Urban,High School,Married
39724.052269811444,5.799693390179376,F,58.0,No,61.0,Khon Kaen,-0.035135435943767765,Urban,College,Married
80192.78769136457,5.189597460816749,M,44.0,Yes,41.0,Udon,-0.49787787262158506,Urban,High School,Divorced
42141.27481114603,4.506335124585041,M,64.0,No,47.0,Khon Kaen,0.4813264926766936,Suburban,High School,Married
74264.7620867767,5.927321965735781,F,36.0,Yes,54.0,Udon,-0.28013190802186655,Urban,High School,Single
65902.95598306341,5.663063027916651,F,45.0,Yes,56.0,,-0.14596640097729352,Urban,College,Divorced
54344.69282872196,5.809887604928264,M,96.0,No,64.0,Mahasarakam,0.28398861903126926,Suburban,High School,Married
63930.11697645092,3.907857243804452,F,49.0,Yes,59.0,Udon,-1.3934902952450066,Rural,High School,Single
45615.322950183676,4.42841805155,F,54.0,No,47.0,Udon,-0.38480345535592975,Rural,High School,
81260.67550527376,3.9628598430416933,F,27.0,Yes,47.0,Mahasarakam,0.363937344164458,Urban,Graduate School,Single
47512.53873094111,6.581597902354973,F,58.0,No,55.0,Khon Kaen,-0.7996146236139069,Rural,High School,Divorced
71547.14103430974,6.018134426968022,F,66.0,No,48.0,Udon,0.018117405007171877,Suburban,Graduate School,Married
50592.9867453297,6.384268622196418,M,89.0,No,58.0,Mahasarakam,-0.7565021730431863,Suburban,Graduate School,Divorced
41415.6650007693,3.9597608245751674,M,79.0,No,59.0,Mahasarakam,0.44848384371527905,Rural,High School,Divorced
,7.666432575410088,M,64.0,No,42.0,Khon Kaen,-0.41052955326020457,Rural,Graduate School,Divorced
54619.605445672765,5.7208140213903995,F,62.0,No,53.0,Mahasarakam,0.9564854348527076,Rural,High School,Divorced
56917.59571346517,7.962784082470055,F,63.0,No,37.0,Udon,0.4894457159265241,Urban,High School,Married
75723.87764516007,4.3392437111642375,M,39.0,Yes,53.0,Khon Kaen,0.25093573069744635,Urban,High School,Single
57739.65533237155,7.356462210446516,M,34.0,No,36.0,Mahasarakam,0.14646658473962046,Rural,College,Single
56283.19276133609,5.2600737944,M,59.0,Yes,50.0,Udon,-0.06663898660332603,Suburban,Graduate School,Single
79114.1559495286,6.2856755314902895,F,24.0,Yes,40.0,Khon Kaen,-0.23523075309276922,Urban,High School,Divorced
75591.63447066314,4.639185808831355,M,,Yes,40.0,Udon,-0.79031719975115,Suburban,College,Divorced
52779.71476157549,3.9634039791798426,F,51.0,Yes,64.0,Mahasarakam,0.093712054773512,Urban,College,Single
64933.05869561069,3.933916747908615,M,51.0,Yes,50.0,Khon Kaen,-0.26666753590247005,Rural,Graduate School,Single
77591.8324509119,4.859049014515364,F,32.0,Yes,50.0,Udon,-0.25524320408885337,Urban,Graduate School,Divorced
57617.77366343698,6.970030883611538,M,71.0,No,50.0,Khon Kaen,-0.6837589014727945,Rural,College,Married
71130.2388268992,5.112952875587132,F,47.0,Yes,59.0,Khon Kaen,0.5496706666495301,Urban,College,Divorced
64231.5502100223,4.1812005615824495,M,56.0,Yes,53.0,Mahasarakam,0.03884659708912999,Urban,College,Single
51396.220488553416,5.635792274925534,F,94.0,No,55.0,Mahasarakam,-0.5064602985154103,Rural,Graduate School,Married
69902.75732423231,5.550752024705321,M,40.0,Yes,51.0,Mahasarakam,-0.41234782868693964,Suburban,College,Divorced
46072.10210102128,3.5069881583532436,M,73.0,No,55.0,Khon Kaen,-0.4964000653440317,Suburban,College,Single
64315.62559350932,4.142313960471856,F,45.0,Yes,45.0,Udon,0.23392937960182053,Urban,College,Divorced
43200.599112928205,3.683804843785975,M,59.0,No,52.0,Udon,0.1200693020066973,,Graduate School,Single
74709.47325484581,,M,55.0,No,32.0,Udon,0.19052432993041474,Rural,Graduate School,Married
69234.83830776603,5.2601979467093685,M,56.0,Yes,54.0,Khon Kaen,0.49080978858176494,Suburban,College,Divorced
63298.810038465286,4.181183684869831,M,52.0,Yes,55.0,Mahasarakam,-0.8989585066328661,Urban,High School,Married
76971.83071380758,3.048149194106132,F,39.0,Yes,40.0,Mahasarakam,-0.04847296113707385,Urban,College,Divorced
62225.81429192977,3.916361264305698,M,55.0,Yes,58.0,Khon Kaen,0.2579609387209709,Urban,College,Single
76379.4565959178,5.130308114329312,M,46.0,Yes,45.0,Khon Kaen,-0.32165832146249895,Suburban,High School,Single
78290.28143009596,4.8323153237147345,M,40.0,Yes,34.0,Khon Kaen,0.2277141473413838,Urban,Graduate School,Divorced
,3.037531919011926,F,44.0,Yes,56.0,Mahasarakam,-0.7171400391106837,Urban,College,Single
70851.85932762982,5.645707101208873,F,28.0,Yes,33.0,Udon,-0.5017067980618813,Suburban,High School,Single
66162.25399197495,6.867359398987093,M,73.0,No,55.0,Khon Kaen,0.6066960321378223,Rural,College,Married
58892.22405914793,6.2652655712268,M,67.0,No,44.0,Khon Kaen,-0.44975195999637724,Rural,Graduate School,Divorced
68921.79015660766,6.4253429688387405,M,84.0,No,53.0,Udon,0.272043131528711,Rural,High School,Divorced
74479.07174640955,5.62083390381207,,37.0,Yes,49.0,Udon,-0.9130749385399047,Suburban,Graduate School,Married
77922.96433601419,4.66400898313481,M,46.0,Yes,45.0,Udon,-0.5082838423115389,Suburban,High School,Married
85665.57466295337,3.077567147458799,F,21.0,Yes,46.0,Mahasarakam,-0.19576373916683343,Urban,High School,Single
66883.01193465015,6.128556069199934,F,56.0,Yes,44.0,Mahasarakam,-0.6102548920276323,Urban,High School,Divorced
50788.45626241828,6.5509042807050735,M,48.0,No,44.0,Khon Kaen,-0.7285889597740535,Rural,Graduate School,Single
31009.52871117843,3.2297508433170674,F,81.0,Yes,60.0,,-0.7780067720147184,Urban,High School,Single
36780.473735414955,4.345834231155203,F,40.0,No,52.0,Khon Kaen,0.6518775080691074,Rural,High School,Divorced
62859.898667692076,2.0666585189093807,M,45.0,Yes,67.0,Mahasarakam,-0.013067461210666771,Urban,College,Single
28814.5223552674,3.406657419045491,M,74.0,No,61.0,Khon Kaen,0.07032235598012623,Suburban,College,
71802.33493326067,3.6387349143521384,F,42.0,Yes,57.0,Mahasarakam,-0.41206227219885033,Urban,Graduate School,Divorced
67172.64831751681,6.210067077672232,M,38.0,Yes,48.0,Khon Kaen,0.12094775412962522,Urban,High School,Single
61374.51604023082,4.161224914375639,M,46.0,Yes,38.0,Udon,0.24443911346304403,,Graduate School,Married
51294.17922947028,5.606269599609029,F,47.0,No,37.0,Khon Kaen,0.215399667489659,Rural,High School,Divorced
84406.10798954296,3.682250499909536,F,31.0,,45.0,Mahasarakam,0.10634475777189639,Rural,Graduate School,Divorced
58306.13640429698,3.7519706318084474,M,51.0,Yes,63.0,Mahasarakam,-0.08131772857564316,Suburban,Graduate School,Divorced
65359.977690321444,7.198798954875372,F,56.0,,47.0,Udon,0.5547549400391517,Rural,Graduate School,Divorced
42172.217668696496,4.797424144855486,M,33.0,No,45.0,Udon,-0.32471400465951195,Suburban,High School,Single
67207.65979800807,6.63530267854645,F,71.0,No,44.0,Udon,-0.7135732810616876,Rural,Graduate School,Married
55594.609727954565,5.364001201666062,F,78.0,No,43.0,Khon Kaen,0.5050712673012948,Rural,High School,Single
62783.50876812733,6.412150705365681,M,30.0,No,32.0,Udon,-0.4562331567622898,Suburban,Graduate School,Single
82738.15639512899,5.850039504996304,M,31.0,Yes,34.0,Khon Kaen,0.6479530170879454,Suburban,Graduate School,Divorced
36745.55606869323,2.512038638621262,F,43.0,No,40.0,Mahasarakam,0.049864519251948486,Rural,High School,Single
,4.376361197049979,F,44.0,Yes,49.0,Mahasarakam,0.39356410443953804,Urban,Graduate School,Single
40866.40547536226,4.338299794128945,M,45.0,No,38.0,Udon,-0.6991988244328737,Suburban,Graduate School,Married
82764.46502535304,5.994370990858755,M,43.0,Yes,53.0,Udon,-1.0023245558878564,,Graduate School,Divorced
71196.59074796109,4.03736779277741,F,29.0,Yes,62.0,Mahasarakam,0.3217562592144366,Rural,College,Divorced
62416.40026610799,6.295342447197485,F,67.0,No,46.0,Udon,-0.22459988262645694,Suburban,High School,Single
65818.59152082435,5.71697737431219,M,50.0,No,35.0,Khon Kaen,-0.6890222228408768,Rural,College,Married
70961.42384004302,4.959270893813403,F,39.0,Yes,46.0,Udon,-0.12793464787398587,Urban,Graduate School,Married
76020.75949528623,6.695544609720944,F,49.0,No,34.0,Udon,-0.6718982728586462,Urban,College,Married
67315.40760626155,4.631276469785455,M,50.0,Yes,,Mahasarakam,0.09423026923952604,Rural,High School,Married
59020.72918347713,3.3150037136531267,M,67.0,Yes,60.0,Khon Kaen,-0.7238363079450713,Urban,College,Single
27465.14598311385,3.7536561254428067,F,89.0,No,59.0,Mahasarakam,-0.6450142247821345,Rural,College,Single
78165.29037815852,5.145477951318208,M,47.0,Yes,54.0,Mahasarakam,-0.639344406063228,Urban,College,Divorced
54229.69335864637,5.997147843619208,F,41.0,No,44.0,Mahasarakam,-1.1732242931816173,Suburban,Graduate School,Married
47198.490786662675,5.176112694131056,M,84.0,No,56.0,Mahasarakam,0.5006200247248471,Suburban,Graduate School,Married
65525.50612510217,3.9763462609967215,F,40.0,Yes,51.0,Khon Kaen,0.4993659481472956,Suburban,Graduate School,Divorced
67510.43237110086,7.206427605376259,M,66.0,Yes,56.0,Udon,-0.41795630528392647,Urban,College,Single
55347.5610566555,7.695804333033768,F,84.0,No,52.0,Mahasarakam,-0.6287615244150986,Urban,Graduate School,Married
55986.97845605377,6.787565497781642,F,91.0,No,57.0,Udon,-0.5080091284810577,Suburban,College,Divorced
46826.453622258,5.010099290725528,M,64.0,Yes,62.0,Khon Kaen,0.6488998201751264,Suburban,High School,Single
53984.06809823258,5.3639965819457265,F,46.0,No,50.0,Mahasarakam,-0.28685534014086633,Rural,High School,Married
56318.84636387016,5.205817081381704,F,43.0,No,39.0,Khon Kaen,-0.18113243696639508,Suburban,College,Married
39032.45829786869,4.740388376537407,F,77.0,No,52.0,Mahasarakam,-0.32204405208372267,Rural,College,Married
72557.9569481727,5.077327668137047,F,37.0,Yes,39.0,Mahasarakam,0.19190654587474504,Urban,High School,Divorced
45634.75779526513,3.6409147140198748,F,52.0,No,53.0,Khon Kaen,0.5804685153646286,Rural,College,Married
77790.23489211522,3.7515650981018376,F,29.0,Yes,39.0,Udon,-0.11110813095776796,Rural,College,Divorced
36639.41974017827,4.522255938387762,F,69.0,No,48.0,Mahasarakam,0.8958630254548506,Rural,Graduate School,Divorced
79237.08874401366,6.959452391910332,M,41.0,Yes,43.0,Khon Kaen,0.6032607862526348,Urban,College,Single
,4.4601032620950205,M,50.0,Yes,54.0,Udon,-0.9766690513718294,Urban,College,Single
69059.91620530335,1.7211202457589012,F,41.0,Yes,54.0,Khon Kaen,-0.109566886253634,Rural,College,Single
43200.87998962378,5.301015680006686,F,42.0,No,44.0,Udon,0.38620394834082383,Suburban,College,Married
81495.26878598265,5.423768944170312,F,29.0,Yes,47.0,Mahasarakam,-0.6214369986752918,Suburban,High School,Divorced
44843.23412246003,4.690344707452006,M,57.0,No,45.0,Khon Kaen,-0.6870495708648121,Rural,College,Married
51351.31278668181,5.884467462731517,M,59.0,No,58.0,Udon,-0.4733552925852752,Urban,High School,Married
60480.98037196898,5.186199636959449,M,71.0,No,30.0,Khon Kaen,0.6857153769635262,Rural,College,Married
69180.80866840856,4.27148168296422,F,32.0,Yes,47.0,Udon,0.36615364283277224,Rural,College,Divorced
77459.64764716198,5.1721876175183015,M,24.0,Yes,36.0,Udon,-0.4778912824801864,Suburban,Graduate School,Divorced
