Months with Company,Location Code,Renew,Marital Status,Brand Loyalty,Education Level,Annual Income,Active online hours,Age,Gender,City
56.0,Urban,Yes,Divorced,0.00802663542627624,High School,39442.18811002375,6.326194157457894,43.0,F,New Castle
65.0,Suburban,No,Married,-0.12706760640748146,High School,51667.130261811355,7.255878737383947,37.0,F,London
52.0,Rural,No,Divorced,-0.1940244034341668,Graduate School,43872.72456659614,6.449022435613073,68.0,M,Manchester
54.0,Suburban,Yes,Divorced,0.10089415532399196,College,53839.29612700621,5.588097333134163,56.0,F,New Castle
58.0,Urban,Yes,Married,0.06869811698824568,High School,67351.87015423409,5.491126150030131,51.0,M,New Castle
63.0,Suburban,Yes,Single,-0.40256305549902505,College,69815.00279618135,6.19264870897849,47.0,M,London
79.0,Urban,Yes,Married,-0.21758757537135848,High School,68501.73382714545,4.359662488851246,65.0,F,London
62.0,Rural,No,Married,-0.5572622504189358,High School,47793.72151199105,6.455327615139938,43.0,M,New Castle
56.0,Suburban,Yes,Single,0.091809565561675,Graduate School,59817.296516742506,,54.0,M,London
66.0,Rural,Yes,Married,-0.308035632172693,Graduate School,49913.58364229947,6.5814584493125645,46.0,F,New Castle
35.0,Urban,Yes,Married,-0.6114986750985978,Graduate School,60474.842586777944,4.4117899900049125,59.0,F,Manchester
57.0,Urban,Yes,Divorced,-0.4226242643501079,College,42074.45986067066,6.014335358026384,51.0,F,Manchester
,Rural,No,Married,0.18583236105953188,College,51987.422672196466,5.357248154081134,43.0,M,Manchester
74.0,Rural,No,Married,-0.3493730299312203,High School,42343.86365779376,5.984895727477711,55.0,M,New Castle
40.0,Rural,No,Married,0.5058494686135651,Graduate School,49824.53580660651,6.6558536881506285,46.0,M,New Castle
72.0,Rural,No,Single,-0.831222091857903,College,59803.084189658584,7.315055547385846,43.0,F,London
42.0,Suburban,Yes,Divorced,-0.4236650755836124,College,51131.71063114191,5.766746276314371,56.0,F,New Castle
51.0,Urban,Yes,Married,-0.20918838473913978,High School,69364.75760699731,5.667376555860529,44.0,M,New Castle
50.0,Urban,Yes,Single,-0.8271451024976288,High School,52003.93378598148,6.368764777828608,47.0,M,Manchester
61.0,Rural,No,Divorced,0.06909825058882316,High School,48866.99609530831,7.287711006458896,43.0,F,Manchester
24.0,Suburban,Yes,Single,-0.47378997171414694,High School,50107.70781994138,5.932430672997679,57.0,M,London
63.0,Suburban,No,Married,-0.6548492006040171,Graduate School,47852.89800345063,6.533398305178509,34.0,F,Manchester
64.0,Urban,No,Single,0.9676442240397434,Graduate School,46560.74288252798,5.838053681481493,55.0,M,New Castle
50.0,Suburban,Yes,Single,-0.5730139502049902,Graduate School,66484.74422612066,4.819336384213443,64.0,M,Manchester
91.0,Rural,No,Single,0.8132662447255028,High School,43401.30207610545,7.879115066673277,42.0,F,New Castle
34.0,Urban,Yes,Divorced,0.6059280266243335,High School,55633.303826400916,5.824525448238701,53.0,F,New Castle
62.0,Urban,Yes,Divorced,-0.7027703413044023,Graduate School,78190.7834647262,5.77523218808483,58.0,F,New Castle
45.0,Urban,Yes,Divorced,0.49865699904653726,High School,61037.84143781294,4.903495422349732,57.0,M,New Castle
56.0,Suburban,Yes,Married,0.2704030423939559,High School,65180.94806850857,7.436313190337465,56.0,M,New Castle
57.0,Urban,Yes,Divorced,-0.32095183758871926,College,57100.397049131076,5.804205047619398,57.0,M,New Castle
38.0,Rural,No,Married,-0.4761094964270154,High School,20091.369638594762,5.957637772049187,61.0,F,London
59.0,Suburban,Yes,Single,-0.852192626421802,Graduate School,,6.442215889434476,49.0,F,Manchester
76.0,Suburban,No,Single,-0.1295251123783285,Graduate School,36600.11675647191,8.196119958637457,49.0,M,Manchester
82.0,Urban,Yes,Single,-0.18090400185925282,Graduate School,76946.83952941612,7.1036066333037216,60.0,F,Manchester
22.0,Urban,Yes,Divorced,-0.17727557473619157,College,49420.92694049876,4.835216717414597,62.0,F,London
78.0,Rural,No,Divorced,-0.630775288001674,Graduate School,45002.650234001805,7.399473016312845,44.0,F,Manchester
58.0,Urban,Yes,Divorced,-0.4355538341464732,High School,,6.447025942604275,41.0,F,London
52.0,Urban,Yes,Married,-0.06143123704781279,High School,49402.76208255156,5.296746086785041,53.0,M,London
,Rural,No,,0.33647047373093886,Graduate School,48918.65561696435,4.89714173884191,56.0,M,London
33.0,Suburban,Yes,Single,-0.26438186769991,Graduate School,49403.602259118,5.010720624464956,43.0,M,New Castle
75.0,Urban,No,Divorced,-0.3281560772590657,Graduate School,43593.86128777411,7.653303881232684,47.0,M,Manchester
37.0,Suburban,Yes,Divorced,0.09606927902503365,High School,50237.681397203945,5.03610978972645,55.0,M,New Castle
32.0,Urban,Yes,Divorced,0.29586655109008,High School,64144.34824282842,5.075891572030288,55.0,M,New Castle
78.0,Suburban,No,Married,0.5309116990741098,College,42932.11396476093,6.923238344072673,61.0,M,New Castle
58.0,Urban,No,Single,-0.3512426371771286,College,42253.988304436745,5.736468467027428,56.0,M,London
66.0,Rural,No,Married,-0.6563505572422176,High School,61953.51423938159,7.487707122269332,33.0,F,New Castle
36.0,Rural,No,Single,0.20296970407335468,Graduate School,55049.76042738707,5.116779059966551,39.0,F,New Castle
65.0,Urban,Yes,Divorced,-0.13411473832400442,Graduate School,59517.52727415047,5.0787903067584494,59.0,M,London
46.0,Urban,Yes,Divorced,0.08920257544005525,High School,51068.951676714205,6.367014976616011,59.0,M,Manchester
65.0,Suburban,Yes,Married,0.12710884961808272,College,65191.74108575524,5.5215901611414875,61.0,F,Manchester
70.0,Urban,Yes,Single,0.5067618678399692,College,70665.5891944771,5.195551522796731,55.0,M,London
49.0,Urban,Yes,Divorced,0.4046553124405145,Graduate School,41107.908195967466,5.173489290460543,56.0,M,London
70.0,Rural,No,Married,-0.19740913403669078,College,43272.803341048806,7.056628684423887,47.0,M,Manchester
52.0,Rural,No,Married,0.2068771694488274,Graduate School,66143.69959079877,7.269279579644685,27.0,F,London
55.0,Suburban,Yes,Divorced,-0.1743497296316375,High School,57919.634353707865,4.872638689155853,52.0,M,Manchester
66.0,Urban,No,Divorced,0.011782769921319602,College,51029.03456857024,5.334705950720832,38.0,M,New Castle
60.0,Rural,Yes,Divorced,-0.023865563570082966,College,67187.3063075597,5.718380635525758,57.0,M,New Castle
38.0,Rural,Yes,Single,-0.2804013618514635,College,55284.47003778536,4.243847257171736,48.0,M,New Castle
49.0,Suburban,Yes,Single,-0.15740458751207487,College,46172.30246912314,6.501753446575637,44.0,F,Manchester
68.0,Rural,No,Married,0.2922377460248161,High School,45561.83224342231,7.008849986738527,42.0,M,London
68.0,Urban,Yes,Divorced,0.00532269891180126,Graduate School,62634.30423433006,6.801406007658024,42.0,M,London
70.0,Urban,Yes,Married,0.39857836001029756,Graduate School,78572.58538929501,3.428753605069989,68.0,F,
90.0,Suburban,No,,0.5475851386267399,High School,44108.96510160665,7.846209014180134,51.0,,Manchester
49.0,Suburban,Yes,Married,0.028814267092030263,Graduate School,,5.947857808336561,54.0,M,Manchester
67.0,Suburban,No,Married,-0.43505999367104725,College,34897.098028304536,5.1678437521514065,46.0,M,New Castle
76.0,,No,Married,0.4001581805765085,High School,42652.9760817098,6.040979103405873,36.0,M,London
40.0,Urban,Yes,Divorced,-0.5412682961922191,Graduate School,56106.21350629229,5.686150736238782,57.0,F,London
92.0,Suburban,No,Divorced,-0.12885751223084216,Graduate School,52753.30884955404,8.147764787867052,53.0,F,New Castle
36.0,Urban,Yes,Divorced,-0.2165240388031629,High School,32122.21387858746,6.128624474702617,40.0,F,Manchester
60.0,Urban,Yes,Single,0.10457547947146914,College,66491.57830311227,6.740133331634227,50.0,M,London
42.0,Rural,No,Married,0.051647818946658486,High School,,6.234557448303615,51.0,M,London
35.0,Urban,Yes,Single,0.34843542550275414,High School,55276.32593526271,4.526389884944161,60.0,M,New Castle
44.0,Rural,No,Married,0.17776139063921031,Graduate School,38352.45300646566,4.896173960352449,47.0,F,New Castle
33.0,Rural,No,Single,0.00784360301540564,High School,51975.92989944852,4.032835066837212,46.0,,New Castle
73.0,Rural,No,Divorced,-0.14583247751480788,College,43669.11170844488,5.450892304919554,51.0,F,Manchester
67.0,Suburban,Yes,Divorced,0.5939717366597617,High School,55452.1553466296,8.077320857680844,45.0,F,London
51.0,Suburban,No,Married,0.01262016248150477,College,51341.869300516475,5.605762780597594,49.0,F,Manchester
56.0,Urban,Yes,Divorced,,High School,,6.973570633979346,51.0,F,Manchester
63.0,Suburban,No,Married,-0.2321485959712652,High School,43389.923084795664,5.0186006552605225,49.0,M,London
56.0,Urban,Yes,Single,0.6925067010348536,College,49588.91892724643,4.500529673263348,49.0,F,New Castle
47.0,Rural,No,Married,0.17210141411025265,Graduate School,43025.50880934215,5.590428579458866,48.0,M,New Castle
50.0,Urban,Yes,Divorced,-0.24031659377598613,College,64139.50700649493,6.193466769999329,52.0,F,London
93.0,,No,Married,-0.3100583710705091,College,40592.09699651584,7.252174564147287,46.0,M,Manchester
66.0,Suburban,Yes,Divorced,-0.5383882181204627,College,75349.67183433163,5.579990291209198,60.0,M,London
31.0,Urban,Yes,Divorced,0.4731775672127031,Graduate School,47205.29060208191,4.566669965836331,57.0,F,Manchester
52.0,Rural,No,Divorced,0.0968837842823898,College,57907.61560488914,5.657814551374329,61.0,F,New Castle
49.0,Suburban,No,Married,-0.21340370918767995,College,32061.329627857973,5.45993937432303,63.0,F,Manchester
42.0,Rural,No,Married,-0.5165047059541611,Graduate School,65848.78721568781,4.7989192878137406,35.0,M,New Castle
26.0,Urban,Yes,Divorced,-0.5014655024990402,Graduate School,32579.44553901949,3.852029860663708,52.0,F,New Castle
85.0,Rural,No,Single,0.1190943826567448,Graduate School,62715.13613204811,8.126067815695635,30.0,M,London
78.0,Rural,Yes,Single,0.015191469538892319,Graduate School,82198.37753726424,6.4405147782975645,64.0,F,Manchester
40.0,Suburban,No,Single,-0.12046828060037261,College,62863.73422726057,7.331167891303804,27.0,F,London
46.0,,Yes,Single,0.7868668683843366,Graduate School,66241.56300536857,6.484052693705506,45.0,M,New Castle
59.0,Rural,Yes,Divorced,-0.412223166392799,High School,68082.22257152208,5.9304035328719875,44.0,M,Manchester
36.0,Suburban,Yes,Divorced,-0.28353776451529933,High School,51267.344764847105,6.025876159329763,53.0,F,Manchester
57.0,Suburban,Yes,Married,0.18851349384256455,High School,88489.3302254104,4.943097907273349,64.0,F,Manchester
82.0,Urban,Yes,Divorced,-0.6476488658798479,High School,68873.90302273413,7.239476428023837,47.0,M,New Castle
50.0,Rural,Yes,Divorced,0.21435165502154935,High School,60830.57499669546,4.256979841468232,60.0,F,Manchester
46.0,Urban,Yes,Single,0.028008902803647345,High School,56836.64162108822,5.33976030039528,57.0,F,Manchester
27.0,Suburban,Yes,Single,0.07641881931405015,Graduate School,63105.082688986964,5.266312381893298,51.0,F,Manchester
55.0,,Yes,Single,0.23924083682089958,Graduate School,44260.466270478355,5.218553196351541,44.0,F,New Castle
25.0,Urban,,Divorced,0.029267100935009185,,43105.60564981882,3.027362349315069,52.0,M,Manchester
37.0,Urban,Yes,,-0.050320168776672766,College,64273.363135843094,3.6112656979312043,72.0,M,New Castle
62.0,Suburban,Yes,Single,0.23620758355328564,College,54434.44258620757,4.717797408623317,49.0,M,New Castle
66.0,Urban,Yes,Divorced,0.009119024824716465,Graduate School,61584.51279209961,6.018587345760579,48.0,M,New Castle
45.0,Suburban,Yes,Single,0.18164792312969535,Graduate School,53764.120386509676,6.046992327402437,50.0,F,London
64.0,Urban,Yes,Married,-0.9764204653102418,Graduate School,48050.8935028783,6.326608171422964,48.0,F,Manchester
43.0,Suburban,Yes,Single,-0.28200509146500374,College,61143.99948921813,3.0703163570835583,58.0,M,Manchester
39.0,Rural,No,Single,-0.8685699802620002,High School,39397.66807389437,5.477284669980652,44.0,M,New Castle
45.0,Urban,No,Married,-0.6439147857740023,Graduate School,61488.95089751317,7.020871602232999,36.0,F,London
74.0,Suburban,,Single,-0.579007694872004,High School,52879.04544425895,6.2256688885761,63.0,M,Manchester
52.0,Rural,No,Married,-0.7728859642013383,Graduate School,43566.406762170445,6.199655077041953,41.0,F,London
58.0,Suburban,No,Single,-0.5885868486409928,Graduate School,60501.90696022062,6.240085832506689,46.0,M,New Castle
83.0,Rural,No,Divorced,-0.47258483566629367,College,48843.71840123654,6.281220907512184,45.0,F,Manchester
37.0,Suburban,Yes,Single,0.14589707373898214,Graduate School,52560.37956128491,4.927088980327495,43.0,M,London
62.0,Urban,Yes,Married,-0.267009013043129,College,70146.03511161046,5.1785458615820374,50.0,M,Manchester
67.0,Urban,Yes,Single,-0.378746974552494,College,69497.19821008865,5.8317002047264435,51.0,F,New Castle
34.0,Rural,Yes,Single,-0.2822728848414239,College,67554.68320802378,4.9525465955572,53.0,F,London
39.0,Rural,No,Single,-0.4321342556307586,College,41582.53531149081,4.633224061242478,53.0,F,New Castle
75.0,Suburban,Yes,Divorced,0.05408566055485073,Graduate School,86369.9135863502,5.031150997758546,65.0,F,New Castle
45.0,Urban,Yes,,0.0402142868160157,Graduate School,67369.49371779225,5.071682565223383,58.0,F,New Castle
77.0,Rural,No,Divorced,-0.22533748558941244,High School,52385.69299810422,5.814832706696038,46.0,M,New Castle
38.0,Suburban,Yes,Single,0.1955412745641732,College,44532.83399917018,4.600951850151446,53.0,F,New Castle
66.0,Urban,Yes,Single,0.2784625678447226,Graduate School,58096.850639522396,4.765256858901893,55.0,F,London
0.0,Urban,Yes,Divorced,0.621064147080399,High School,52182.46485279165,3.1936984832621476,54.0,F,London
39.0,Suburban,Yes,Married,-0.7413118052804325,High School,60679.8267443062,5.778378150634558,51.0,M,London
34.0,Rural,Yes,Single,0.06824959828936722,Graduate School,61421.319355967906,3.0023441088873457,63.0,M,London
69.0,Suburban,No,Single,0.6940233838950504,Graduate School,31097.58578164288,6.991715495107698,50.0,M,London
79.0,Rural,No,Married,0.0712330549432994,High School,53934.30167887935,6.108868618853051,54.0,,Manchester
76.0,Rural,No,Divorced,-0.6111860026420588,College,66070.60839458148,6.95783491918311,34.0,M,New Castle
57.0,Rural,No,Married,0.14040311071597414,College,55096.83253242328,6.384612505429647,42.0,F,Manchester
23.0,Urban,Yes,Divorced,-0.7454968182131932,Graduate School,70760.17723959364,3.583100234509194,57.0,F,Manchester
62.0,Rural,No,Married,-0.026148603163951095,Graduate School,36830.92492954245,6.789190711385887,48.0,F,Manchester
35.0,Suburban,Yes,Divorced,-0.5860108395887504,High School,57201.43568997792,5.568191167330445,52.0,F,London
74.0,Urban,No,Married,0.48544195824488867,Graduate School,50122.03396745592,7.936521679432346,35.0,M,London
57.0,Urban,No,Married,-0.17665913251271403,High School,35950.86228607841,5.415534627248929,57.0,F,Manchester
46.0,Suburban,No,Married,-0.8682848533897101,Graduate School,51384.31272318258,5.5622114194965055,43.0,F,Manchester
34.0,Suburban,Yes,Single,-0.03841662005994971,High School,43690.15333607346,5.273695732582146,50.0,F,Manchester
67.0,Suburban,No,Single,0.1965191163107325,High School,62538.9654298683,7.917327264856962,30.0,F,New Castle
44.0,Urban,Yes,Divorced,-0.574296809556851,Graduate School,40262.88212020074,5.339129300648849,55.0,F,Manchester
23.0,Rural,No,Divorced,-0.46542209814149565,Graduate School,46640.448511544186,4.816541550403351,61.0,M,New Castle
61.0,Suburban,Yes,Divorced,0.8817001447069819,High School,63517.50098255863,4.346045658255746,62.0,M,New Castle
58.0,Urban,Yes,Divorced,0.628575241937445,High School,62044.32031639099,6.774357665831345,53.0,F,New Castle
58.0,Urban,Yes,Divorced,0.6551898350128601,Graduate School,61348.16762888019,7.4457439390241245,45.0,F,
54.0,Rural,No,Divorced,-0.30267481652010597,High School,47466.999179341365,5.586300128869002,48.0,M,New Castle
60.0,Urban,No,Married,0.3821034481213582,College,48847.30471993139,6.153558705354698,52.0,M,London
66.0,Rural,No,Divorced,-0.16570799280555853,College,45494.74933421708,7.512770246021196,44.0,M,New Castle
55.0,Urban,Yes,Divorced,-0.27583708702631055,High School,,5.617447613465047,60.0,M,London
76.0,Rural,No,Single,0.40238489203448924,Graduate School,45693.52879986138,6.283703450751611,50.0,M,London
29.0,Urban,Yes,Married,0.29256433205863347,College,62842.88048018883,3.33676468325423,56.0,M,London
58.0,Suburban,No,Divorced,-0.6602756280877385,College,45716.397654541215,6.412476048714769,38.0,M,Manchester
42.0,Urban,Yes,Divorced,-0.2848144328006025,High School,49173.71491140738,2.5483949778653523,66.0,F,London
,Suburban,Yes,Divorced,-0.47454920118051824,High School,39050.91289625175,5.398562102644092,50.0,,London
69.0,Rural,No,Single,0.1670106256402622,High School,46606.03570994045,6.39483255566411,51.0,F,New Castle
47.0,Suburban,No,Single,-0.4178543611638444,College,41940.7986505271,6.006573530093123,55.0,F,London
62.0,Suburban,Yes,Divorced,-0.184334887847122,Graduate School,63383.48750637353,5.260363119441375,64.0,,London
31.0,Suburban,Yes,Single,0.07063487289180856,High School,26758.81378272579,5.98871103619316,45.0,M,Manchester
47.0,,Yes,Divorced,-0.04835734860588249,Graduate School,62865.35767174973,5.254642136389402,59.0,F,Manchester
44.0,Urban,Yes,Divorced,-0.4889586983207112,College,52871.4480832974,3.0532922879155953,56.0,F,Manchester
55.0,Urban,Yes,Married,-0.6066652542531279,College,59795.402999116755,5.444163997012916,43.0,M,Manchester
,Suburban,Yes,,-0.4879321252068514,High School,51455.03287684218,4.98335006303195,63.0,M,London
39.0,Urban,Yes,Married,-0.45237280639864735,College,61179.738135603235,3.8290415678269842,61.0,F,London
76.0,Rural,No,Married,-0.14638630366231684,High School,36147.56299324572,5.885619449198383,45.0,F,London
89.0,Rural,No,Married,-0.8944827015010326,High School,52676.93101364543,8.283879443602528,40.0,F,Manchester
48.0,Suburban,Yes,Divorced,0.5741974257462789,High School,67106.27191296723,7.288896086117668,50.0,F,New Castle
52.0,Urban,Yes,Divorced,-0.5469052461453472,Graduate School,58365.07101491481,5.807913280161196,63.0,F,Manchester
43.0,Rural,No,Divorced,-0.10274524701750158,High School,47618.394222025345,4.905153173765498,39.0,M,Manchester
58.0,Rural,No,,-0.245398406523272,College,55055.92782711778,7.034299056216874,45.0,M,London
49.0,Urban,Yes,Married,-0.031468295444724174,High School,77111.98588442848,5.851467245359392,57.0,M,Manchester
53.0,Suburban,,Divorced,0.14470333345165085,College,41133.04612829442,6.531084400491917,48.0,M,London
84.0,Rural,No,Single,0.2076401490159797,College,58260.35668769032,8.694207265994104,40.0,M,London
48.0,Urban,Yes,Single,-0.4273196278379289,High School,58888.807466671235,5.31256225893933,45.0,F,
56.0,Rural,No,Married,0.3470090134985615,College,48821.37819073302,7.656891633224169,49.0,F,New Castle
53.0,Rural,No,Married,-0.011376836384257655,High School,52054.368847141115,6.358034717551807,52.0,M,New Castle
56.0,Suburban,Yes,Single,0.017312469251723958,,59182.97367140166,5.574490483593565,51.0,F,Manchester
27.0,Suburban,Yes,Single,0.5014446366008937,College,40252.648323701615,6.60424606070416,52.0,M,London
88.0,Suburban,No,Divorced,0.05356548596484789,College,71899.03689396844,8.114651614598902,38.0,M,London
60.0,Rural,No,Single,0.47453001531951255,High School,46388.66088379698,5.952949142994393,43.0,F,London
55.0,Suburban,Yes,Single,0.17901405026336187,High School,65271.08008628221,5.431936545207035,54.0,M,London
45.0,Rural,Yes,Divorced,,College,55844.4480905019,4.58339979289023,47.0,F,New Castle
67.0,Rural,Yes,Single,-1.0700661324233294,Graduate School,87442.26393097275,6.971344387618675,59.0,F,Manchester
69.0,Suburban,Yes,Single,0.6164874431546692,Graduate School,70557.26408470624,6.519254289650903,64.0,F,London
48.0,Suburban,No,Single,0.28238495872308556,High School,42184.21744433185,6.3248293623270495,41.0,M,New Castle
62.0,Suburban,Yes,Single,-1.0850437752914641,Graduate School,66835.53733504844,5.18729650614005,55.0,M,New Castle
88.0,Rural,No,Married,-0.47384402329147873,High School,41401.72082570831,6.815345803601385,49.0,F,London
87.0,Urban,Yes,Divorced,-0.1762209610399198,High School,52383.56524024381,6.276968607313318,64.0,F,
73.0,Rural,No,,-0.5148630982281419,High School,49672.45459624414,6.3188263528584505,57.0,F,New Castle
55.0,Urban,Yes,Divorced,-0.21546497233464723,Graduate School,56281.02821138821,5.176051074639012,53.0,F,Manchester
55.0,Urban,Yes,Single,0.4065088644975184,High School,56542.28858881672,5.659418027804413,46.0,M,Manchester
35.0,Suburban,No,Single,-0.28631313154906585,College,54914.604449310245,4.234749389070627,39.0,M,London
33.0,Suburban,No,Married,-0.681984807889448,College,40448.753219782004,5.970146244931994,46.0,M,Manchester
49.0,Urban,Yes,Single,-0.5266704766089532,High School,55282.446557633266,6.3264529936726,48.0,F,London
,Urban,Yes,Single,0.3552779547841772,Graduate School,53806.4553078113,3.776479233979811,58.0,M,New Castle
55.0,Urban,Yes,Single,-0.9504957065141689,Graduate School,60487.20273004585,6.982435680341103,43.0,M,Manchester
52.0,Suburban,No,Single,-0.17556360279278677,,40041.68256826895,5.050790549192973,60.0,F,New Castle
70.0,Urban,No,Married,-0.5262017136409429,High School,64873.35641452478,8.228175903047447,37.0,F,New Castle
46.0,Urban,Yes,Single,-0.38747038085603913,College,71707.1352582914,6.148548359793736,49.0,F,Manchester
77.0,Urban,Yes,Married,0.15663368308042538,High School,73273.88114988088,6.202037803747731,64.0,F,Manchester
62.0,Rural,No,Divorced,0.3483127099843333,High School,42814.11475341661,7.372841164837448,50.0,F,Manchester
64.0,Rural,No,Married,0.34928841442721237,High School,40578.922875869415,6.111322158791739,53.0,F,London
33.0,,Yes,Divorced,0.5534021325329493,College,66792.1004195211,3.7738878035117205,53.0,F,New Castle
21.0,Suburban,Yes,Married,-0.12654457374211717,High School,40858.42331409594,6.374523622119597,40.0,F,New Castle
79.0,Urban,Yes,Divorced,0.3732097933106308,College,90544.75914092181,4.486888304326719,70.0,F,London
75.0,Rural,No,Married,0.8647416104955559,High School,56755.083152061896,8.564750864917047,38.0,M,Manchester
35.0,Urban,Yes,Single,0.02984374220424177,,62322.44605019416,4.797889234458511,47.0,M,New Castle
32.0,Urban,Yes,Single,0.2395459404219361,Graduate School,40138.8300433369,4.326853395046853,50.0,F,London
48.0,Suburban,,Single,0.09001709251137344,Graduate School,41660.096951132204,5.243236789817594,42.0,M,New Castle
78.0,Urban,Yes,Divorced,0.10081043266131523,,73457.11684062475,5.605131247856901,51.0,F,Manchester
47.0,Suburban,Yes,Married,-0.21863465304714286,Graduate School,56026.709111927106,3.7770351467276644,62.0,M,New Castle
46.0,Urban,Yes,Divorced,-0.3890435738101159,College,51214.689999508875,3.938546740550532,55.0,M,London
42.0,,Yes,Divorced,-0.32232233025714163,High School,52358.74266571128,6.194639421837764,46.0,F,New Castle
36.0,Urban,Yes,Divorced,0.4162507635725503,Graduate School,53925.985793377324,4.456286290052816,49.0,M,New Castle
38.0,Suburban,Yes,Divorced,-0.5690295805479851,Graduate School,60353.25619350406,5.335847013780014,46.0,F,London
55.0,Urban,Yes,Single,0.7509343762628388,Graduate School,64707.07921406705,4.61857428307359,57.0,M,London
54.0,Rural,No,Divorced,,College,47874.55513666849,4.710260688026718,56.0,F,Manchester
68.0,Rural,No,Single,0.22782075580318983,,43476.82248611306,5.996766458452489,45.0,F,New Castle
43.0,Urban,,Divorced,-0.8517123836014344,College,56839.35342281877,4.455395701876032,52.0,M,Manchester
80.0,Rural,No,Married,,Graduate School,42615.610812091596,6.753572185650371,52.0,M,Manchester
43.0,Urban,Yes,Single,0.2662647304850577,High School,59993.57383928908,5.58945420586134,52.0,F,London
71.0,Suburban,No,Married,-0.6649074386799174,High School,57676.386458023575,7.847119584915952,48.0,F,London
27.0,Suburban,Yes,Single,-0.0002060926709936406,Graduate School,44411.15245200203,3.8387142498488163,50.0,F,Manchester
40.0,Urban,Yes,Single,-0.053882241631682336,High School,55683.55355662745,6.427899432094828,52.0,M,Manchester
50.0,Suburban,Yes,Married,-0.2984539529099711,College,36490.98777754573,6.930273258927004,51.0,M,Manchester
52.0,Rural,No,Married,-0.8252225538029148,College,26719.550880406816,4.605385294232733,73.0,F,Manchester
59.0,Urban,Yes,Divorced,-0.04583706397152969,Graduate School,58154.90924679949,7.163529153826946,43.0,M,New Castle
25.0,Rural,Yes,Single,0.19578502346391458,High School,65168.64491280915,4.814165772445837,55.0,M,London
51.0,Urban,Yes,Divorced,0.2056842894232298,Graduate School,,5.235298142872362,54.0,F,New Castle
100.0,Suburban,No,Married,-0.6726298388629047,Graduate School,62754.95800382346,9.170072268672753,54.0,M,New Castle
63.0,Rural,No,Divorced,0.4767423908274323,College,57569.972264774544,6.600764910222167,42.0,M,New Castle
