Marital Status,Location Code,Monthly Income,City,Brand Loyalty,Months with Company,Online Activity,Renew,Gender,Education Level,Years after high school graduation
Divorced,Urban,5783.350378742123,Tokyo,-0.05904070241669973,40.0,4.417653786113912,Yes,Female,Graduate School,36.0
Divorced,Suburban,3762.468064546949,Tokyo,-0.527581288546157,73.0,3.98087692103635,Yes,Male,Graduate School,18.0
Single,Urban,4208.435905695549,Osaka,-0.6755577781655587,70.0,2.6910215231205505,Yes,Male,High School,25.0
Married,Rural,5112.961617437446,Kyoto,-0.4666040437822262,68.0,4.591327757251084,No,Female,College,25.0
Married,Suburban,3854.8398881290277,Tokyo,-0.41441294004620144,58.0,6.125650415882909,No,,College,27.0
Divorced,Urban,1788.5290731958994,Tokyo,0.1007994587480684,78.0,4.9542930592884185,Yes,Male,High School,5.0
Married,Rural,5206.949072755799,Kyoto,0.35043731851682147,53.0,5.455476473779632,No,Female,College,32.0
Single,Urban,5346.033831088525,Osaka,-0.3616220048653665,87.0,4.126608381690764,Yes,Male,College,29.0
Married,Urban,4389.225500540989,Kyoto,0.4622807035741482,27.0,3.721060364837725,Yes,Female,High School,26.0
Divorced,Rural,4038.2829653303934,Osaka,-0.10446005803082745,78.0,4.622416787687816,No,Female,Graduate School,33.0
Divorced,Urban,4896.492825645995,Kyoto,0.24924456292888986,86.0,6.382291505892135,Yes,Female,Graduate School,32.0
Single,Rural,4240.788260179873,Osaka,-0.21861446302386428,,4.1845198016049485,Yes,Female,Graduate School,31.0
Single,Urban,5292.402414745475,Osaka,-0.15500548432398478,56.0,1.0000000000000004,Yes,Female,Graduate School,32.0
Divorced,Urban,5278.169778992952,Tokyo,-0.1493269215166914,34.0,5.199679760395151,Yes,Male,Graduate School,39.0
Divorced,Urban,3515.4709527395726,Osaka,0.09047236456269797,69.0,7.0405706232025524,Yes,Male,High School,23.0
Divorced,Rural,6241.768398013125,Kyoto,-0.04069545216251069,42.0,4.500042856974245,No,Female,High School,23.0
Divorced,Urban,4928.002248262514,Tokyo,-0.15770261719481468,89.0,4.675005171171631,Yes,Female,College,27.0
Married,Rural,6214.140305911304,Kyoto,-0.008454238709244055,32.0,4.28297674339692,No,Male,High School,31.0
Married,Rural,4724.339355643215,,-0.4577151298102632,64.0,5.123238047810497,No,Male,College,22.0
Single,Rural,4357.786297179715,Osaka,-0.5991975092920007,88.0,4.8447428944710715,No,Male,College,27.0
,Rural,3198.661864221782,Tokyo,-0.37994693105462074,72.0,3.647809097376806,Yes,Female,College,11.0
Divorced,Urban,6150.821690719745,Tokyo,-0.3136495383769156,52.0,5.5395319747631335,Yes,Female,Graduate School,43.0
Divorced,Urban,2255.993358710051,Osaka,0.624874156732055,36.0,7.255773802404029,Yes,Male,College,4.0
Married,Rural,4749.040486212161,Osaka,-0.0718615208205296,39.0,4.872652841181878,No,Female,Graduate School,26.0
Single,Urban,6375.257204707551,Osaka,0.33740821243213615,76.0,4.663169659197688,Yes,Female,Graduate School,20.0
Married,Rural,4493.5373931725335,Osaka,0.08040511749181484,54.0,4.291998587341527,No,Female,High School,32.0
Married,Urban,4866.953532653238,Kyoto,-0.43940451913217854,97.0,,Yes,Male,High School,28.0
Single,Suburban,5292.772245581808,Tokyo,-0.1774610400538552,68.0,5.389618447320707,Yes,Female,Graduate School,32.0
Divorced,Urban,5376.9749023170525,Kyoto,-0.09942840024416691,48.0,3.4029335525652904,Yes,Male,College,33.0
Divorced,Urban,5027.113644765439,Osaka,0.3136243678278827,68.0,6.334264846812383,Yes,Male,Graduate School,29.0
Married,Urban,5397.193042573666,Tokyo,-0.5514131825802131,92.0,3.7532253683817896,Yes,Male,High School,43.0
Divorced,Suburban,3853.9560001009004,Tokyo,0.6136267574787422,62.0,4.866300936000799,Yes,Female,Graduate School,13.0
Single,,5371.096340863562,Tokyo,-0.18098892792766458,67.0,8.630354211151687,Yes,Male,Graduate School,37.0
Divorced,Urban,7344.051846694121,Osaka,0.1850917158324984,55.0,,Yes,Female,Graduate School,46.0
Single,Urban,4918.146884691229,Osaka,0.5162479169818917,81.0,6.55802805366425,Yes,Male,College,31.0
Divorced,Suburban,5578.303408742725,Osaka,-0.9781506233292169,89.0,1.9985207165610044,Yes,Female,Graduate School,37.0
Married,Rural,,Kyoto,-0.6773835824934961,53.0,5.6042289675147625,No,Male,College,18.0
Divorced,Urban,4159.330392614542,Osaka,-0.06345867536527983,106.0,5.802018524779879,No,Male,College,28.0
Married,Rural,5395.895065356131,Tokyo,0.14621138195123434,45.0,3.609808131710952,No,Male,High School,39.0
Divorced,Urban,5840.645997349844,Tokyo,0.8174608582614704,28.0,8.224104854180716,Yes,Female,Graduate School,35.0
,Urban,4007.824559740222,Kyoto,-0.8467983998379864,94.0,3.618517906313931,Yes,Male,College,30.0
Divorced,Suburban,5008.447161458044,Kyoto,0.08653796907414874,102.0,6.692840831110541,Yes,Female,High School,28.0
Divorced,Urban,4288.561458661352,Osaka,0.2772945400963952,54.0,6.674641175553916,Yes,Male,College,20.0
Single,Suburban,4950.936692757462,Kyoto,-0.32061317566914715,47.0,3.542702699818619,Yes,Female,High School,25.0
Divorced,Suburban,5936.119639085815,Osaka,-0.3943449323142254,52.0,3.2367664357579065,Yes,Female,College,36.0
Divorced,Urban,5130.289616769077,Osaka,-0.8197802818546496,92.0,4.10477026498042,Yes,Male,,31.0
Single,Urban,3165.8029494394573,Tokyo,-0.7922203327560133,65.0,4.317472228894216,Yes,Female,High School,20.0
Divorced,Suburban,4552.411696027415,Tokyo,-0.12202372133310793,75.0,5.849719350082375,Yes,Female,High School,36.0
Married,Rural,6231.8235014476195,Kyoto,-0.06566811594350203,61.0,3.936868509193232,No,Female,High School,25.0
Single,Suburban,5139.777790591971,Tokyo,-0.6302376400176206,46.0,5.869943651865732,No,Male,College,12.0
Divorced,Rural,4684.649465024198,Osaka,-0.19039893179867992,59.0,4.749669357393974,No,Male,Graduate School,29.0
Single,Suburban,4861.208093948575,Osaka,-0.07118911002158557,94.0,4.505052684824404,Yes,Male,High School,26.0
Married,Suburban,4777.104828465084,Tokyo,0.10628652537280037,64.0,4.126614292313486,No,Male,Graduate School,38.0
Married,Suburban,5114.823387228457,Osaka,-0.2591649277916353,52.0,4.50674340531575,No,Female,High School,25.0
Married,Rural,4394.675512407428,Kyoto,0.3258701295363394,54.0,4.4562394584168015,No,Female,College,32.0
Single,Urban,5924.32065162835,Kyoto,,30.0,5.751147761169479,Yes,Female,Graduate School,42.0
Divorced,Urban,,Tokyo,-0.1912266757283674,90.0,3.645448170001962,Yes,Male,College,22.0
Single,Urban,4613.040592301982,Osaka,0.6600483760215086,64.0,6.230140003580355,Yes,Male,High School,18.0
Married,Suburban,3449.2655304755326,Kyoto,0.19712182157715874,57.0,6.111391657188215,Yes,Male,Graduate School,11.0
Single,Suburban,6177.618260584557,Osaka,0.3248703064806716,66.0,3.6656101720579946,Yes,Male,College,26.0
Divorced,Urban,5343.188965658977,Kyoto,-0.11110824085293203,67.0,4.232209904808914,Yes,Male,High School,32.0
Single,Rural,3865.5674446762964,Kyoto,-0.28321960237856203,17.0,5.575796921244778,Yes,Female,College,35.0
Single,Urban,5669.9102913513025,Osaka,0.11386554611989053,24.0,7.287490253756669,Yes,Male,Graduate School,38.0
Single,Urban,4360.261861213036,Kyoto,,64.0,3.721388920134404,Yes,Male,Graduate School,20.0
Divorced,Urban,4728.701782541271,Kyoto,0.1648796219528385,61.0,4.223083827666515,Yes,Male,College,35.0
Single,Suburban,4210.207580508008,Tokyo,0.21445672958570483,28.0,7.101584892976735,Yes,Male,Graduate School,21.0
Divorced,Urban,2560.1643729345774,Tokyo,-0.7409069833655848,87.0,4.356567035446114,Yes,Female,College,21.0
Single,Urban,4824.1480323233955,Osaka,-0.6407707915180783,65.0,2.661641952627467,Yes,Male,Graduate School,29.0
Divorced,Urban,5423.673542364656,Kyoto,0.7578497960734347,62.0,6.276737533796682,Yes,Female,Graduate School,21.0
Married,Rural,5285.73654433629,Osaka,-0.4628551429152439,62.0,5.074219727641653,No,Male,College,32.0
Single,Rural,3482.353721455267,Osaka,0.27323442010278454,49.0,5.057347808415829,Yes,Female,College,21.0
Married,Suburban,3779.519976816043,Kyoto,-0.10948201137760319,58.0,5.092811273710788,No,Female,College,28.0
Single,Suburban,4847.950564394923,Kyoto,-0.30256786727073465,97.0,3.7859999679070446,Yes,Female,High School,28.0
Single,Urban,4431.951821795277,Tokyo,-0.31337757112380266,58.0,5.265945301278212,Yes,Male,College,
Married,Rural,3553.042318467663,Kyoto,0.4389289603788018,76.0,4.984343142848658,No,Male,College,34.0
Married,Suburban,4523.9982234680765,Osaka,0.06790424070993112,89.0,5.883744772508708,No,Female,College,29.0
Divorced,Urban,4163.96364583741,Kyoto,0.6134842122969485,64.0,5.79104255277812,Yes,Male,High School,22.0
Married,Suburban,3661.585057443789,Osaka,-0.5570186471926807,43.0,2.4691555211365026,Yes,Male,High School,18.0
Divorced,Suburban,6593.488190851388,Osaka,-0.01908539103318585,57.0,3.400829050159722,Yes,Male,High School,41.0
Single,Rural,2944.8600813762664,,-0.49722076687348704,57.0,6.1095701119766375,No,Male,Graduate School,24.0
Divorced,,5538.757979175816,Kyoto,-0.2864685005178397,61.0,3.997493818399406,Yes,Female,High School,35.0
Single,Suburban,4539.02198979609,Kyoto,-0.301471358820289,24.0,2.556574375527026,Yes,Female,Graduate School,22.0
Married,Suburban,4181.1028586788325,Tokyo,-0.23900919788427039,82.0,6.754826698193879,No,Male,College,18.0
Single,Urban,5060.262982515693,Osaka,0.16364332974797863,71.0,3.186575113893414,Yes,Male,High School,28.0
Divorced,Rural,5122.479102885812,Tokyo,-0.24005998029133366,56.0,6.675998348042999,Yes,Male,Graduate School,22.0
Divorced,Urban,4697.835680986247,Osaka,0.23104051189318864,46.0,5.438956440452667,Yes,Male,High School,18.0
Single,Suburban,4009.603234797875,Osaka,-0.019886823211585136,94.0,4.301080181093081,Yes,Female,Graduate School,20.0
Single,Urban,5518.41542057247,Kyoto,-0.7073929975982535,50.0,3.5674581286245397,Yes,Female,College,31.0
Divorced,Urban,6130.396087288293,Tokyo,-0.1264708208625689,71.0,4.2835234528559765,Yes,Male,College,34.0
Divorced,Urban,2640.510353709012,Osaka,-0.6372806018396269,58.0,2.2565536555322554,Yes,Female,College,
Divorced,Urban,4685.066956195654,Tokyo,-0.3333594021208754,61.0,3.901805913868954,Yes,Male,College,27.0
Married,Rural,4691.731100506306,Kyoto,0.24645895816964158,82.0,5.084131057650395,No,Female,College,31.0
Divorced,Urban,5604.096422792408,Kyoto,-0.5694004821733339,114.0,4.72149851387068,Yes,,Graduate School,30.0
Divorced,Urban,4964.267485259548,Tokyo,-0.03407854512252956,47.0,6.268220408015409,Yes,Male,Graduate School,26.0
Married,Rural,4154.748230317425,Osaka,-0.8856853269379454,67.0,5.560676086230666,No,Female,College,21.0
Single,Rural,3388.7086455852004,Kyoto,-0.029395997466606094,79.0,5.207147492036768,No,Male,High School,29.0
Single,Urban,4095.566215256026,Kyoto,-0.8855015686068101,68.0,2.9467095110239008,Yes,Male,Graduate School,23.0
Married,Rural,4531.07986963451,Osaka,0.433505827182718,52.0,4.539154390531128,No,Female,College,44.0
Divorced,Suburban,5631.974192225901,Osaka,0.15077739146015806,70.0,4.092766082930155,Yes,Male,College,30.0
Divorced,Urban,5351.598158148077,Kyoto,0.08354912368833645,56.0,4.6830941772819,Yes,Male,Graduate School,36.0
Married,Rural,4960.632137551986,Kyoto,0.16523004535167796,62.0,4.404243820861733,No,Female,College,43.0
Single,Urban,5727.599299213529,Kyoto,0.3319681405342164,75.0,5.688337792793177,Yes,Female,College,31.0
Single,Urban,3432.7202267247335,Tokyo,-0.6406977527088324,71.0,3.3259193951413084,Yes,Female,College,18.0
Single,Suburban,3448.825620679515,Tokyo,0.35608287531938454,38.0,5.28082228872224,Yes,Female,High School,16.0
Divorced,Suburban,4627.099771298845,Osaka,-0.25914135768492574,,4.282716519220826,No,Female,High School,28.0
Single,Rural,6150.2960884205995,Kyoto,0.5177523717658495,72.0,6.395831617872243,Yes,Female,Graduate School,41.0
,Urban,5160.64711830845,Kyoto,0.002903712258219948,63.0,6.077576518263195,Yes,Female,Graduate School,24.0
Married,Rural,6062.672398163299,Osaka,-0.2619248234145826,40.0,4.04920063476772,No,Male,Graduate School,31.0
Single,Suburban,4410.946319212621,,-0.26304659493307675,67.0,4.488787439096077,Yes,Female,College,26.0
Divorced,Urban,5971.514999653508,Tokyo,-0.6930202973229123,69.0,4.256902145583778,Yes,Male,High School,34.0
Single,Suburban,3453.9351972115082,Kyoto,-0.8579743698332365,77.0,5.1271893323930815,Yes,Female,College,28.0
Divorced,Suburban,4552.540348768206,Osaka,-0.3049448871532874,62.0,2.8346270890735497,Yes,Female,Graduate School,32.0
Single,Urban,5184.035327357697,Kyoto,-0.5360715012828332,83.0,4.816258731445763,No,Male,Graduate School,14.0
Single,Rural,3941.26713673374,Tokyo,-0.30653519702721116,67.0,5.223523662757613,No,Male,College,28.0
Married,Rural,2213.727750591533,Tokyo,-0.2908760199116788,90.0,5.921916305389864,No,Male,Graduate School,31.0
Married,Rural,5170.397327389847,Tokyo,0.18369412385383377,67.0,5.221732380852173,No,Female,High School,31.0
Divorced,Suburban,4635.696469855557,Kyoto,0.15195536455938957,71.0,4.577412754611429,No,Female,High School,32.0
Single,Suburban,6180.812669092598,Osaka,0.4312135803167507,62.0,4.310798579768418,Yes,Male,High School,31.0
Divorced,Urban,2849.1289515978115,Kyoto,-1.4042978205979433,97.0,2.4107211896915564,Yes,Female,College,18.0
Divorced,Urban,6023.000092285379,Osaka,-0.8658944976046256,61.0,2.5312037313632727,Yes,Male,Graduate School,31.0
Divorced,Urban,6295.57162560257,Osaka,0.9456419101529283,63.0,5.612486375185362,Yes,Female,High School,39.0
Divorced,Suburban,5941.5684191017235,Kyoto,0.20341687040181633,74.0,4.497834404599129,Yes,Female,College,44.0
Single,,4825.123375853553,Osaka,-0.20812676571627087,91.0,7.949975768001893,Yes,Male,Graduate School,29.0
Divorced,Urban,4579.981953912123,Tokyo,0.05398980432708694,65.0,5.134421456838612,Yes,Male,High School,23.0
Married,Urban,5710.008703066959,Kyoto,0.6992587004498942,81.0,4.465319108949119,Yes,Female,Graduate School,26.0
Divorced,Suburban,5873.9114227903065,Osaka,-0.28374253535338834,39.0,4.865600744061595,,Female,Graduate School,39.0
Divorced,Urban,5099.823943731967,Kyoto,-0.21768096714346954,34.0,4.033669289558144,Yes,Male,Graduate School,27.0
Single,Urban,4698.760537545859,Tokyo,-0.6395979470731653,60.0,3.016990328676104,Yes,Male,High School,23.0
Single,Rural,7409.120679708665,Osaka,-0.6021690148416701,49.0,5.735576924662179,Yes,Male,Graduate School,53.0
Divorced,Rural,5604.28187247801,Tokyo,,58.0,4.237065662728294,Yes,Male,High School,38.0
Married,Rural,5506.665971442436,Osaka,0.10268016643618438,74.0,4.096312489720128,No,Male,College,31.0
Divorced,Suburban,4871.673896536397,Osaka,0.256671691493384,69.0,4.880965401252579,Yes,Male,High School,33.0
Divorced,Urban,4052.6377032590426,Kyoto,0.04285100039110684,72.0,3.5152782928773845,Yes,Male,Graduate School,16.0
Single,Rural,5854.775332873236,,0.18477513633951714,61.0,5.047424385267671,Yes,Female,Graduate School,27.0
Married,Rural,5695.234253629256,Kyoto,0.01618737235270734,56.0,4.145405569348638,Yes,Male,High School,30.0
Married,Rural,6377.774443726306,Osaka,-0.05113771989913002,89.0,3.540524718034744,No,Male,Graduate School,35.0
Divorced,Urban,4968.298928334539,Kyoto,-0.46827510599519734,59.0,4.758034938972301,Yes,Female,Graduate School,31.0
,Suburban,5817.544115129679,Osaka,-0.07326376422654535,54.0,3.765630325492696,No,Male,College,36.0
Single,Suburban,5109.11433037951,Tokyo,-0.06342731511372718,71.0,5.747142927412593,No,Male,High School,26.0
Divorced,Suburban,3465.215806651846,Kyoto,0.2888057803241547,98.0,7.24952181147523,Yes,Male,Graduate School,21.0
Divorced,Urban,4028.4186306850497,Osaka,-1.2036003889917999,38.0,2.6505112461713773,Yes,Female,Graduate School,34.0
Married,Urban,5259.018002460953,Tokyo,0.11192640492625533,58.0,7.7907800181118425,Yes,Male,Graduate School,41.0
Divorced,Urban,4093.9932466559576,Tokyo,-0.17381336242675052,10.0,5.942301891968473,Yes,Female,College,40.0
Married,Rural,6688.999688041664,Kyoto,-0.7390168797992442,37.0,5.670028515514278,No,Male,Graduate School,13.0
Single,Urban,5909.87781746448,Tokyo,0.07180428825134716,52.0,2.3876314539459393,Yes,Male,Graduate School,36.0
Single,Rural,4249.13518974138,Osaka,-0.5007650576936946,61.0,5.3510229216128415,No,Male,Graduate School,30.0
Single,Rural,4967.523837706586,Osaka,-0.21757746090218683,58.0,5.75954570436494,No,Male,High School,27.0
Single,Urban,5924.475609543826,Osaka,0.5355923611093377,59.0,4.443570674796018,Yes,Male,College,32.0
Married,Rural,4755.775397701148,Kyoto,-0.33351722442596593,74.0,4.478138372609479,No,Male,,27.0
Single,Urban,5003.091302847414,Kyoto,0.05052687816350454,61.0,5.213269989817253,Yes,Female,High School,33.0
Divorced,Suburban,7357.415260259298,Tokyo,0.19683660977864326,82.0,5.566616251728858,Yes,Female,College,43.0
Married,,4543.643537113103,Kyoto,-0.46112746820168415,49.0,1.8270192268805765,Yes,Female,College,22.0
Single,Suburban,5425.88095187622,Kyoto,-0.21980826029356468,67.0,4.162918313231289,Yes,Female,College,39.0
Single,Urban,5455.041553866895,Kyoto,0.05060843969431983,74.0,6.514825799998458,Yes,Male,High School,32.0
Married,Rural,5138.351633288761,Tokyo,-0.5848679028842962,82.0,5.955266611360318,No,Male,College,19.0
Single,Urban,5245.129946908701,Kyoto,-0.5088277604819474,59.0,5.26714398513661,Yes,,Graduate School,27.0
Single,Urban,5245.178077595072,Tokyo,-0.42368304604557944,68.0,4.539490957535045,Yes,Male,High School,24.0
Divorced,Urban,5149.999035175475,Tokyo,-0.11800253267089578,45.0,3.863710012224324,Yes,Female,High School,25.0
Divorced,Urban,5417.481912632023,Tokyo,-0.6627250201120604,82.0,6.3303761304011275,Yes,Female,High School,29.0
Married,Urban,4197.453770044883,Osaka,-0.7334584101888403,56.0,4.9634378844947,Yes,Male,College,27.0
Divorced,Urban,5937.985207732905,Kyoto,0.2620220187235006,26.0,7.276076544885244,Yes,Male,Graduate School,44.0
Divorced,Urban,3241.498587639055,Kyoto,-0.8236100564692201,105.0,4.141374332555557,Yes,Male,College,33.0
Divorced,Urban,4258.1301788110895,Tokyo,-0.27916168991852447,54.0,5.635487763737164,Yes,Male,High School,25.0
Divorced,Urban,3202.6357320839143,Osaka,0.41856767628503944,51.0,4.746553478607765,Yes,Female,,23.0
Divorced,Urban,4219.805265863255,Osaka,-0.5397688494852988,42.0,4.628381366527751,Yes,Male,College,21.0
Married,Rural,2926.653175239815,Tokyo,-0.30177241553772627,69.0,5.684589503045848,No,Female,College,22.0
Single,Urban,3647.1332323012557,Tokyo,-0.5588047318754821,81.0,2.1633906373733756,Yes,Female,High School,18.0
Married,Suburban,6110.403386259,Tokyo,1.0307567960873518,74.0,5.844840166331531,Yes,Female,Graduate School,36.0
Divorced,Suburban,7183.075082978414,Kyoto,-0.26300753859333065,53.0,5.00211912133262,Yes,Female,College,34.0
Married,Urban,4927.373530964796,Tokyo,0.3433732097993827,54.0,4.678814563355202,No,Male,College,38.0
Married,Urban,5383.58796499147,Osaka,-0.5494211396415096,75.0,4.605068184522405,Yes,Male,Graduate School,33.0
Divorced,Urban,4636.915635085465,Tokyo,0.31867477175376646,87.0,5.605363542711595,Yes,Female,Graduate School,27.0
Divorced,Suburban,5071.281329569227,Osaka,0.22215758354762782,51.0,10.0,Yes,Male,College,31.0
Single,Urban,5224.8778066157965,Osaka,-0.5704186285946656,79.0,3.300063725752688,Yes,Male,High School,34.0
Divorced,,4379.685656493411,Osaka,0.5777115101589838,69.0,4.518911340082571,Yes,Female,Graduate School,13.0
Divorced,Rural,6849.108833128882,Kyoto,-0.12043606273122426,57.0,6.051789875745455,Yes,Female,College,44.0
Married,Suburban,4564.822560236503,Osaka,-0.06989771195607758,78.0,5.083976317214864,No,Female,Graduate School,33.0
Single,Urban,3950.745759441589,Osaka,-0.3681453534766813,68.0,3.1782014542103654,Yes,Male,Graduate School,33.0
Married,Rural,3971.6801720111434,Tokyo,0.11845191690470269,,4.645303935391786,No,Male,College,36.0
Single,Urban,4048.4440087615853,Tokyo,-1.073186282387042,77.0,3.2146330615486685,Yes,Female,High School,29.0
Divorced,Suburban,3985.8978845668485,Kyoto,0.2098459249492094,70.0,4.818678974422694,Yes,Female,Graduate School,23.0
Married,Suburban,3495.9835761460954,Tokyo,-0.42011408667238215,45.0,4.689209858760487,No,Male,College,21.0
Divorced,Rural,4227.076622850659,Kyoto,0.4101162695451166,46.0,4.7241055140682615,No,Male,College,40.0
Divorced,Urban,4810.68192503124,Tokyo,-0.7839481989720847,45.0,5.761879045403984,Yes,Female,College,35.0
Single,Urban,4544.838301394431,Kyoto,-0.24129495155766778,42.0,3.9287452354415002,Yes,Male,High School,29.0
Divorced,Rural,6124.371406006384,Osaka,-0.050244713488447834,49.0,3.6203583453820523,No,Male,High School,36.0
Divorced,Suburban,5890.904992697913,Osaka,-0.8324516383638386,68.0,4.479714768281864,Yes,Female,College,37.0
Single,Rural,4636.1671325745265,Kyoto,-0.18118017600763178,101.0,4.559241843084885,No,Male,High School,29.0
Married,Rural,5072.863899051293,Osaka,-0.6054521687849306,87.0,5.2445695496716205,No,Male,High School,22.0
Single,Suburban,4106.7919232276545,Tokyo,0.4444563034900113,56.0,3.7459074426712915,No,Female,High School,43.0
Divorced,Suburban,4889.859471050851,Kyoto,-0.4246702833305643,58.0,5.550998686648063,No,Male,High School,27.0
Married,Urban,3538.585827688821,Osaka,-1.2018105526735279,41.0,3.886967532555783,Yes,Male,Graduate School,33.0
Married,Rural,4382.713607280847,Kyoto,-0.17682341447482086,60.0,6.059801593202853,No,Female,High School,28.0
Single,Urban,5177.5681770401125,Osaka,0.08114735615751484,62.0,5.833148785550531,Yes,Male,High School,37.0
Married,Suburban,2270.7817146902044,Osaka,-0.3198960615893654,67.0,6.854619790082434,No,Female,College,25.0
Married,Rural,3645.1244623550538,Osaka,-0.3223365578964126,47.0,5.534126403391259,No,Male,College,26.0
Divorced,Rural,5509.25694445853,Osaka,0.2373384998651472,64.0,3.9838576618901413,No,Female,High School,30.0
Single,Urban,5325.20474016496,Osaka,0.48314711068081817,46.0,6.171447554400225,Yes,Male,College,41.0
Single,Urban,3090.454793454512,Kyoto,-0.4184059439467531,51.0,4.782981338383438,Yes,Female,College,18.0
Married,Suburban,4002.674474765193,Osaka,0.030787199048507963,63.0,6.4528881993574965,Yes,Female,Graduate School,26.0
