Education Level,Years after high school graduation,Hours Online,Monthly Income,Gender,Marital Status,Location Code,City,Years subscribed,Brand Loyalty,Renew
Graduate School,25.0,5.884441034771812,5026.567727996382,M,Divorced,Rural,Mahasarakam,4.0,-0.28394675861724056,Yes
College,32.0,4.344623842369108,3262.327568912461,F,Divorced,Urban,Udon,4.0,0.307822643747971,Yes
Graduate School,31.0,6.129119928431926,5975.255261376535,F,Divorced,Rural,Mahasarakam,4.0,-0.36427538370496276,No
High School,21.0,6.738241168793765,5465.888627068223,F,Single,Urban,Udon,5.0,-0.24617321648457874,Yes
Graduate School,17.0,5.6085326783701985,3853.8918153596032,M,Divorced,Suburban,Udon,2.0,-0.02084249000133409,No
High School,29.0,6.677805238939657,3224.989475219013,M,Divorced,Suburban,Udon,5.0,0.7618141531678665,Yes
College,29.0,6.230995570577813,3549.788456953378,M,Divorced,Suburban,Khon Kaen,4.0,0.3455347430909632,Yes
High School,26.0,6.589446775397374,4772.175103275756,M,,Rural,Khon Kaen,4.0,-0.1780099162775426,No
,33.0,3.211167323990534,4594.131037647542,F,Married,Rural,Udon,6.0,-0.6584762322475021,No
,25.0,,4580.317373650788,F,Married,Urban,Udon,4.0,-0.3199893220468634,Yes
College,25.0,7.006738632815888,3866.4382289252553,M,Divorced,Suburban,Udon,4.0,-0.0821690079085498,No
High School,32.0,5.314746328891333,2397.2006690288513,M,Single,Rural,,5.0,0.7998437373457128,Yes
College,36.0,4.942601667110479,5187.047535341431,F,Single,Rural,Udon,4.0,-0.384936376424136,No
High School,47.0,5.85155558886069,5079.349646438181,F,Married,Rural,Udon,6.0,0.06313349238150173,No
College,22.0,6.133977461237637,5272.552351052846,M,Divorced,Suburban,Khon Kaen,5.0,-0.19989856576371495,Yes
Graduate School,18.0,6.019970983002454,5931.91272254457,M,Married,Suburban,Udon,4.0,-0.8366739910929639,Yes
College,29.0,5.742091687113668,4588.812885680625,M,Single,Suburban,Udon,4.0,0.16051377727435687,Yes
High School,20.0,7.665098856688843,6202.276921930126,F,Divorced,Urban,,5.0,-0.45176585958831367,Yes
High School,28.0,4.839463734808456,3156.8203886096226,M,Married,Suburban,Udon,4.0,-0.4168153156833337,No
High School,14.0,4.479688595746026,2512.265166252319,M,Single,Suburban,Khon Kaen,7.0,0.4627114815181031,Yes
High School,13.0,7.912622326831222,5978.644414066201,F,Divorced,Urban,Khon Kaen,6.0,-0.5767952332809051,Yes
High School,35.0,6.127863844185279,5117.915283399638,M,Divorced,Rural,Udon,6.0,-0.4532883845690826,No
High School,34.0,7.123832661038789,5615.156586766638,M,Married,Rural,Mahasarakam,6.0,-0.042026596949651183,No
College,38.0,6.535796669999758,4908.962590617162,M,Married,Rural,Khon Kaen,6.0,-0.49649683789356663,No
High School,29.0,5.714214423969862,4488.096895733246,M,Divorced,Urban,Udon,4.0,0.015691785662954524,Yes
Graduate School,33.0,3.6937195857209604,5962.264157638371,F,Married,Rural,Udon,5.0,0.05473980521648185,No
High School,35.0,5.452290072522416,3299.3861267160396,M,Divorced,Rural,Udon,3.0,0.13896655827268464,Yes
Graduate School,32.0,7.695881098996624,6355.250141655784,M,,Urban,Udon,3.0,-0.5862205428663853,Yes
College,27.0,6.430252909068408,4127.114011274353,F,Divorced,Rural,Mahasarakam,4.0,0.08849363761281512,No
High School,11.0,7.120448003347283,4828.278550852493,F,Divorced,Urban,Khon Kaen,6.0,-0.490909074201563,Yes
Graduate School,17.0,5.03348425417328,,M,Married,Suburban,Udon,4.0,0.14011755434987883,No
Graduate School,37.0,4.151628158496012,3285.0857688725223,F,Divorced,Rural,Khon Kaen,4.0,0.5073802884561606,Yes
College,29.0,4.840698558108353,3728.826939163461,M,Divorced,,Mahasarakam,4.0,0.2412884625866467,Yes
High School,43.0,4.808409851681589,4942.796078546531,M,Single,Urban,Udon,3.0,0.4472369087211732,Yes
College,28.0,4.853654774730901,3355.4890779956036,F,Divorced,Suburban,Mahasarakam,4.0,-0.8033672433641159,No
High School,28.0,4.626324051773947,4713.950143314114,F,Married,Suburban,Khon Kaen,5.0,-0.32552406812653156,No
High School,37.0,6.134232909517205,4791.796389646214,M,Married,Urban,Khon Kaen,3.0,0.057175241925035175,Yes
Graduate School,34.0,6.277124753166571,4264.089756411978,M,Divorced,Suburban,Udon,4.0,0.2972562309268195,Yes
College,26.0,8.19074459440812,4782.394083587358,M,Married,Suburban,Khon Kaen,3.0,-0.4267362000475049,No
High School,38.0,4.542230170417681,5126.303413733169,M,Single,Urban,Khon Kaen,6.0,-0.5206110508145346,No
Graduate School,28.0,5.740559407923971,,F,Divorced,Suburban,Udon,4.0,-0.351264607404821,Yes
College,16.0,5.523762342056771,2806.8825235411505,F,,Rural,Udon,6.0,0.3236165835504327,No
Graduate School,18.0,7.58326395462778,4132.2605751228375,M,,Urban,Mahasarakam,6.0,0.07382245638243094,Yes
High School,25.0,4.544605103364988,2387.8576356015037,F,Married,Suburban,,5.0,0.40339227834577246,Yes
High School,53.0,3.7927996212436526,4158.768608854729,F,Divorced,Urban,Mahasarakam,2.0,0.6135736693296303,Yes
Graduate School,45.0,4.4865890361103995,5355.04999765532,F,Married,Suburban,Khon Kaen,7.0,-0.021675287846108893,No
High School,27.0,7.01070804895555,2597.1870663630402,M,Single,Rural,Khon Kaen,6.0,0.8003672091756368,Yes
High School,33.0,6.033546422635947,4766.282494081346,M,Divorced,Urban,Khon Kaen,5.0,0.1845296600532185,Yes
Graduate School,30.0,5.479148981495397,3897.039675210367,M,Married,Urban,Khon Kaen,5.0,0.12679174946807287,Yes
High School,23.0,6.072383028947097,3591.8166400112523,M,Single,Suburban,Udon,5.0,0.14399339036619258,Yes
High School,28.0,6.247051179478684,2550.343824690817,,Divorced,Rural,Khon Kaen,3.0,-0.44609843990450104,No
High School,35.0,3.6682746146451555,4205.193486943311,F,Single,Rural,Khon Kaen,5.0,-0.19113583562812164,No
Graduate School,31.0,6.230596579321928,3530.3143837516463,M,Single,Suburban,Udon,6.0,0.5864428041190778,Yes
Graduate School,34.0,5.856787298081761,4725.570531632032,F,Married,Urban,Mahasarakam,5.0,-0.4714429476242256,No
College,37.0,4.235628025694888,3173.2699150464437,M,Divorced,Urban,Khon Kaen,3.0,0.6633497983114723,Yes
High School,37.0,6.00076306153475,3834.0614045570896,F,Single,Rural,Mahasarakam,5.0,-0.3517794935577371,No
High School,35.0,5.8269033007526945,3486.5912457767213,M,Married,Urban,Khon Kaen,7.0,0.1554981978074847,No
High School,39.0,6.44232607205787,4302.630070691862,F,Divorced,Rural,Khon Kaen,7.0,0.15700569909452525,No
High School,37.0,3.8772188726810946,4759.629736529707,M,Married,Rural,Mahasarakam,6.0,-0.22887852231058345,No
College,38.0,7.723370059591691,5612.521857533654,F,Married,Suburban,Mahasarakam,6.0,0.10437733030731336,No
Graduate School,47.0,6.4446036360503545,3725.663070404477,M,Married,Rural,Udon,6.0,-0.3733539777520621,No
High School,31.0,5.283384402093066,3079.1817125313605,F,Divorced,Suburban,Khon Kaen,4.0,0.3636146649554153,Yes
High School,27.0,5.955770429666401,4803.411516921999,F,Divorced,Urban,Mahasarakam,4.0,-0.4892951872565694,Yes
High School,26.0,6.829855573780346,4902.50228205043,M,Divorced,Urban,Mahasarakam,5.0,-0.0016821233453034254,Yes
College,26.0,6.37877529511677,6221.047186424828,F,Married,Suburban,Udon,4.0,-0.6721448384677046,Yes
Graduate School,16.0,5.8350055156877785,3201.7753173386827,M,Single,Suburban,Khon Kaen,3.0,-0.5914042583595907,No
High School,41.0,5.1940947832495405,5333.909251878827,F,Single,Urban,Mahasarakam,1.0,-0.09170229517538286,Yes
College,,2.9424291939835543,1696.1468861276667,F,Single,Urban,Udon,3.0,1.1452640857730605,Yes
College,41.0,6.4848782152417215,5507.950085651791,M,Divorced,Rural,Mahasarakam,8.0,-0.2587504754579599,No
High School,24.0,6.9051976234400545,4291.973793256386,F,Single,Urban,Khon Kaen,5.0,-0.009068334914367596,Yes
College,28.0,4.699997260635259,4189.025232716214,M,Divorced,Rural,Khon Kaen,4.0,0.019829323774763805,Yes
High School,25.0,4.807152411281759,3136.4032741759843,F,Divorced,Urban,Udon,4.0,0.31120648222005237,Yes
High School,30.0,6.234659899401704,5499.713191819055,M,Single,Urban,Mahasarakam,6.0,-0.41510690132082007,No
Graduate School,22.0,4.9331746406133945,5092.786427182237,F,Married,Rural,Khon Kaen,5.0,-0.034460800845645574,No
,22.0,5.268498775565297,4057.180263487648,M,Married,Suburban,Khon Kaen,4.0,-0.03852955155911486,No
High School,19.0,4.516603791290463,2748.4007124520517,M,Divorced,Urban,Udon,5.0,0.14884821957827257,Yes
College,22.0,5.930159990961369,4601.049661963859,M,Divorced,Urban,Khon Kaen,5.0,0.17225329030038256,Yes
High School,23.0,3.3815438243880047,3686.603008189865,M,Married,Suburban,Mahasarakam,4.0,-0.31287369077922567,No
High School,34.0,4.822181499622267,3931.4369424426854,F,Single,Urban,Mahasarakam,3.0,0.21030150975321665,Yes
College,29.0,5.565837811642548,3879.126091336209,M,Single,Urban,Khon Kaen,3.0,0.005839947181943944,Yes
College,25.0,4.4198606306170785,2806.4228278784967,M,Married,Suburban,Khon Kaen,3.0,-0.3865078951614522,No
Graduate School,22.0,5.092784560888833,5048.033852081189,F,Single,Rural,Khon Kaen,3.0,-0.5575558661761539,Yes
High School,17.0,6.377252260146832,3881.3800394715404,F,Single,Rural,,6.0,-0.14438717334087814,Yes
Graduate School,26.0,4.589577936644323,4026.114721460813,M,,Suburban,Mahasarakam,4.0,0.23054191258589024,Yes
Graduate School,29.0,5.9614167989908635,5832.096648271588,M,Married,Urban,Udon,4.0,-0.5659325470258637,Yes
College,18.0,7.637825945519254,5983.021318743682,M,Married,Rural,Khon Kaen,3.0,-0.11065141103544723,
High School,36.0,5.310958762930476,4697.58685330573,F,Divorced,Urban,Khon Kaen,4.0,0.49337652276844746,Yes
High School,13.0,5.095843998632306,3802.8908538282426,M,Married,Suburban,Mahasarakam,4.0,-0.21030213040735926,No
High School,25.0,6.055398317556917,3819.400947994374,M,Married,Rural,Mahasarakam,5.0,-0.25188767542106405,No
High School,30.0,6.484907261490452,6406.933695085245,F,Divorced,Urban,Udon,3.0,-0.656863645100519,Yes
College,35.0,7.3376244500960865,5123.571634425642,F,Divorced,Suburban,Udon,4.0,-0.05511042072312737,Yes
High School,23.0,5.82552726772652,4316.876608187405,M,Divorced,Urban,Udon,5.0,-0.16566406846892884,No
Graduate School,28.0,6.221790809091494,3218.630062100657,M,Divorced,Rural,Udon,3.0,-0.15786336557312086,No
Graduate School,41.0,4.796459686192144,3763.9729304177476,M,Married,Suburban,Udon,3.0,0.382229394615338,Yes
High School,50.0,7.953849691976149,5295.185327311064,F,Divorced,Rural,Khon Kaen,7.0,-0.4673235387575897,No
College,26.0,1.8369211456731396,2974.2938604284764,F,Married,Rural,Udon,4.0,-0.1306100584825634,No
College,36.0,6.244098123700713,5282.323522939806,F,Married,Rural,Khon Kaen,5.0,-0.6852384688675918,No
,37.0,,4786.282005974201,F,Married,Suburban,Mahasarakam,7.0,-0.11301552000075661,No
College,28.0,6.638078040215946,4601.437057546358,M,Divorced,Urban,Udon,6.0,0.333678855400957,Yes
High School,16.0,3.479989160438694,2789.1330986661346,M,Married,Rural,Mahasarakam,3.0,-0.2337387426322423,No
High School,16.0,6.657746485875494,3667.4365384458633,M,Married,Urban,Khon Kaen,7.0,0.17219504094098662,Yes
College,26.0,5.421416940284212,4832.381131262158,M,Single,Urban,Udon,4.0,0.0418879317996262,Yes
College,32.0,5.779159956150075,4451.444204989316,F,Married,Rural,Udon,5.0,-0.3284768189278677,No
College,22.0,5.922630413157059,4065.2513391426096,M,Divorced,Suburban,Udon,6.0,0.3992123177797541,Yes
High School,,6.915552081473527,4097.247831085031,F,Divorced,Urban,Khon Kaen,5.0,0.3239564998996718,Yes
College,29.0,4.026017152895866,3868.6830033643196,F,Single,Rural,Mahasarakam,7.0,-0.5449398344706338,No
College,24.0,6.328978249802105,4206.6731393021055,M,Single,Suburban,Khon Kaen,6.0,0.24655621989519766,Yes
High School,,7.405454032169697,5983.9046747648335,M,Married,Urban,Udon,5.0,-0.3133975688219947,Yes
Graduate School,40.0,3.9333096295932943,2843.6532990253963,F,Single,Suburban,Mahasarakam,3.0,0.7707116851274896,Yes
Graduate School,25.0,5.039037421784247,3649.6956705667285,M,,Urban,Udon,4.0,0.2894836687840781,Yes
College,49.0,3.781226366402083,5205.743257082417,M,Married,Urban,Udon,2.0,0.10853334712096796,
Graduate School,9.0,8.64293205582026,4170.978189679489,M,Single,Suburban,Udon,7.0,0.10135605877859588,Yes
Graduate School,19.0,8.067365940803612,5095.272974562216,M,Single,Suburban,Khon Kaen,7.0,0.008977225800412325,Yes
Graduate School,30.0,6.370781821615401,4160.477156133385,F,Single,Rural,Udon,5.0,0.38314255424552024,Yes
Graduate School,20.0,6.462001456289297,4298.744476530693,F,Divorced,Rural,Khon Kaen,4.0,-0.3365402036347816,No
High School,28.0,,5875.55668713218,F,Married,Rural,Mahasarakam,3.0,0.37776358001009736,No
Graduate School,37.0,4.90258981084652,3763.2120016680833,M,Single,Urban,Mahasarakam,3.0,0.30666160437397166,Yes
College,20.0,6.580268595835268,6035.132559975414,M,Divorced,Urban,Mahasarakam,4.0,-0.8654746223570544,Yes
High School,19.0,7.193346014927213,4734.4443428331815,F,Divorced,Urban,Udon,6.0,-0.059751264831711295,Yes
College,20.0,7.395714848411983,5152.714238057764,F,Married,Rural,Khon Kaen,6.0,-0.1857262397883981,Yes
Graduate School,21.0,6.1512577175794,4062.1133298949767,M,Single,Suburban,Khon Kaen,5.0,0.08609562228133034,Yes
Graduate School,33.0,8.107331719455948,5587.674273776238,F,Married,Rural,Udon,5.0,0.010822164548585145,No
Graduate School,22.0,6.119717281867359,4958.221341607446,F,Divorced,Suburban,Mahasarakam,4.0,-0.2559797083498922,Yes
High School,36.0,5.312298711812057,4552.647511526677,F,Married,Rural,Udon,3.0,0.11994604936459169,Yes
Graduate School,35.0,4.037753125713493,3547.734105226182,F,Married,Suburban,Mahasarakam,4.0,-0.3284651140619473,No
High School,27.0,4.7742740318142625,3508.373295543227,M,Married,Rural,,3.0,-0.21742557904265045,No
College,30.0,5.00071897202196,3606.808175280847,F,,Urban,Mahasarakam,4.0,0.3718476370966985,Yes
Graduate School,14.0,8.441788885014452,,F,Divorced,Urban,Udon,7.0,-0.05565802310097593,Yes
High School,30.0,6.695261863810974,,F,Divorced,Suburban,Udon,4.0,0.04150251438111839,Yes
Graduate School,26.0,3.978534275866296,2736.3155054959307,F,Single,Urban,Udon,5.0,0.33623691488430857,Yes
High School,36.0,4.5850136972171285,2909.038582761343,M,Married,Urban,Mahasarakam,6.0,-0.44436578916196606,No
,52.0,6.619356782743399,5157.751228937821,,Married,Rural,Khon Kaen,7.0,-0.32262071287566124,No
Graduate School,27.0,7.077362056849136,5733.109081751014,F,Married,Suburban,Khon Kaen,4.0,-0.18687253038536858,
High School,37.0,3.5964043221286044,2583.5934500902285,F,Married,Rural,Mahasarakam,5.0,-0.39637022476530714,No
High School,20.0,6.4031711905254545,3623.400626900201,M,Divorced,Urban,Mahasarakam,6.0,0.26974946576124137,Yes
High School,23.0,6.699526371309188,4651.990061096143,M,Single,Suburban,Mahasarakam,6.0,-0.1518267753784513,Yes
High School,27.0,7.457554378256405,5227.267927279175,M,Divorced,Rural,Mahasarakam,4.0,0.5168229438104422,No
High School,42.0,6.668808391017108,4615.215410972061,F,Single,Urban,Khon Kaen,7.0,0.33716806594519255,No
College,39.0,6.4796710194253855,4367.354105744467,M,Married,Urban,Khon Kaen,4.0,0.5426651554173002,Yes
Graduate School,44.0,5.733533341984069,4653.0817894241945,F,Single,Urban,Khon Kaen,2.0,-0.07175203920116874,Yes
College,18.0,6.452839341644095,4781.590244102731,F,Divorced,Suburban,Khon Kaen,6.0,-0.24980671000395835,Yes
Graduate School,45.0,4.506102524047997,4116.7641484123415,M,Married,Suburban,Mahasarakam,4.0,-0.12630578210116603,No
High School,44.0,6.340176265826302,5356.668208829502,F,Divorced,Suburban,Udon,2.0,0.05913056393186936,Yes
Graduate School,45.0,3.501103428600204,3137.794998887969,F,,Rural,Mahasarakam,2.0,0.784415467037307,Yes
High School,30.0,6.123589932129894,4800.887843819428,M,Married,Suburban,Mahasarakam,4.0,-0.261117067601049,No
College,30.0,5.008259924503801,4514.728247279272,M,Married,Rural,Khon Kaen,4.0,-0.3687801255095435,No
College,37.0,7.338902746812801,5342.454108333184,M,Single,Suburban,Udon,3.0,-0.2392907798303872,Yes
Graduate School,34.0,4.048608884987985,2829.160488561317,M,Married,Urban,Mahasarakam,4.0,0.462735158996939,Yes
High School,12.0,5.677372247791205,2816.3652040436264,F,Married,Suburban,Mahasarakam,7.0,0.4487110595414148,Yes
High School,35.0,5.984853766829693,5359.597006893077,F,Single,Suburban,Udon,,-0.009501737850503747,No
High School,,5.233356191084516,6418.039980347439,M,,Rural,Khon Kaen,8.0,-0.04630899190338005,No
Graduate School,26.0,6.415730703438435,4934.984773212466,M,Married,Rural,Mahasarakam,5.0,-0.18480575589250706,No
High School,32.0,3.2102797953329265,4012.0940594543417,F,Married,Rural,Mahasarakam,7.0,-0.40983605843634985,No
High School,17.0,6.780197522703662,5418.091983851873,F,Single,Urban,Khon Kaen,5.0,-0.47430727035159326,Yes
High School,30.0,4.800453524440138,3829.5945838936677,M,Divorced,Suburban,Udon,3.0,0.1018861061031022,Yes
High School,34.0,4.599048433659511,3598.4331197460297,M,Single,Suburban,Udon,3.0,0.2003583983686707,Yes
Graduate School,20.0,4.89643165704723,3096.7605434378984,F,Married,Suburban,Khon Kaen,3.0,-0.4860998454981416,No
Graduate School,47.0,6.962677945219967,,M,Married,Urban,Mahasarakam,3.0,0.2601442695998746,Yes
Graduate School,40.0,,2935.046043779829,F,Single,,Udon,4.0,0.8053392170955612,Yes
College,45.0,5.482903947787808,3418.38818561743,F,Divorced,Suburban,Mahasarakam,2.0,0.496520249671496,Yes
High School,25.0,6.2162037761998885,4124.374883731898,M,Divorced,Suburban,Khon Kaen,5.0,-0.13565765770897964,No
College,42.0,5.645487425571661,4697.6200549673795,M,Single,Rural,Mahasarakam,6.0,-0.29857441126028,No
High School,,,5031.321426853645,F,Single,Rural,Mahasarakam,4.0,-0.3327352810915328,Yes
Graduate School,49.0,6.339928693390785,3967.74570020972,M,Married,Rural,Khon Kaen,7.0,0.022685267581431245,No
College,40.0,5.922873096582934,4581.706185716431,F,Married,Urban,Khon Kaen,5.0,0.2576354933017701,No
College,34.0,5.382511193191022,3551.801296315162,F,Divorced,Urban,Khon Kaen,4.0,0.17055497121082658,Yes
Graduate School,44.0,5.45988719966308,4237.276451439969,M,Single,Urban,Khon Kaen,3.0,0.5365711502188284,Yes
High School,31.0,5.960817132071087,4264.506785523701,F,Single,Urban,Udon,4.0,0.19845690978747513,Yes
High School,,5.719633955842041,4324.613855858439,M,Divorced,Rural,Khon Kaen,4.0,0.5185201677452043,No
College,32.0,5.774749264924672,5714.625237262448,M,Divorced,Urban,Khon Kaen,3.0,-0.21100598283895147,Yes
College,39.0,4.812433953342492,4269.1946652887655,F,Single,Suburban,Udon,3.0,0.278104595167093,Yes
College,41.0,5.109707920670498,,,Married,Rural,Udon,7.0,-0.4745187962004917,No
High School,26.0,4.9194760872099765,3691.9728955552273,M,Single,Urban,Khon Kaen,5.0,0.25104757082707413,Yes
High School,42.0,5.3405863508733304,4148.500081598514,F,Divorced,Urban,Mahasarakam,2.0,0.23669484202929003,Yes
,27.0,5.612441306467037,3323.160893554897,F,Divorced,Urban,Khon Kaen,4.0,0.3517994783534903,Yes
Graduate School,50.0,4.16737859653213,3605.134901092353,M,Divorced,Suburban,Udon,1.0,0.4130865651257726,Yes
High School,20.0,7.359560318672207,5776.046032660834,F,Single,Urban,Udon,5.0,-0.2903949475931842,Yes
High School,23.0,7.254346751805762,4004.2664653710262,M,Married,,Mahasarakam,2.0,0.2465128966692704,No
College,32.0,5.295297359147455,5499.153732885881,M,Divorced,Urban,Khon Kaen,2.0,-0.4787943961359429,Yes
Graduate School,18.0,6.648952729605295,5645.33715863429,F,Married,Rural,Udon,4.0,0.6186972731611962,No
Graduate School,45.0,2.4573764742150312,2576.306411846681,M,Single,Suburban,Khon Kaen,1.0,0.5304674661118713,Yes
High School,30.0,8.57358896668204,3022.020540319546,F,Married,Rural,Mahasarakam,5.0,0.11791495542220837,No
Graduate School,41.0,6.641309109087718,6320.195944489198,F,Single,,Khon Kaen,7.0,-0.046498073992798185,No
Graduate School,27.0,5.524861086295526,4195.154436414266,F,,Urban,Udon,4.0,0.07554828102197349,Yes
High School,34.0,5.113356474412715,4623.550043517274,M,Divorced,Urban,Khon Kaen,4.0,0.14082013088746162,Yes
College,41.0,4.895063298734176,4455.007551003386,F,Single,Suburban,Khon Kaen,2.0,-0.14040651987514666,Yes
Graduate School,21.0,4.82503883050155,4014.7067107599605,,Single,Suburban,Khon Kaen,6.0,-0.014809034608126336,No
Graduate School,10.0,8.83788144055428,3339.811474467526,F,Married,Rural,Udon,3.0,0.11552128324882527,No
Graduate School,30.0,6.224184852606266,3705.0481083398486,F,Divorced,Rural,Khon Kaen,6.0,-0.6510354896808385,No
High School,31.0,6.613724415262847,5177.016087531463,M,Single,Urban,Udon,4.0,0.045106318646024116,Yes
Graduate School,43.0,9.747672911287236,4260.808806766864,F,Single,Rural,Udon,6.0,0.45396188354957084,No
High School,26.0,5.5141821587219075,4988.048268565391,F,Married,Urban,Khon Kaen,4.0,-0.05453028931139456,No
Graduate School,12.0,6.034382547152754,5058.573948524768,M,Single,Suburban,Udon,5.0,-0.33105837457185483,Yes
High School,38.0,4.295805318064255,4050.0902832168745,F,Single,Urban,Khon Kaen,3.0,0.46819219303317183,Yes
College,25.0,6.029443913564184,3657.4118503175873,M,Divorced,Urban,Khon Kaen,6.0,0.41678466884225623,Yes
College,18.0,6.3286082727006026,2915.1042879457336,M,Single,Suburban,Mahasarakam,6.0,0.5311242063194709,Yes
Graduate School,46.0,3.919578675439852,2739.732785298298,F,Married,Suburban,Mahasarakam,2.0,0.5596743120549004,Yes
Graduate School,33.0,5.493519339170515,5495.523504578789,M,Divorced,Suburban,Udon,5.0,0.027595155943743857,No
High School,35.0,5.422461555084324,4070.848149852901,M,Married,Suburban,Udon,6.0,-0.27982324067789754,No
Graduate School,39.0,4.247144131483179,4017.040725302635,M,Single,Urban,Khon Kaen,4.0,0.10821340243808525,Yes
College,39.0,4.1531160607213184,2992.863857407893,M,Divorced,Suburban,Udon,4.0,0.4342015919761872,Yes
High School,2.0,8.993196895293963,5189.561641061985,M,Divorced,Suburban,Mahasarakam,8.0,-0.5376351953877808,Yes
College,46.0,6.996956485715839,5375.4089945596625,M,Married,Rural,Khon Kaen,7.0,-0.27316436162248336,No
Graduate School,32.0,5.412409539679365,4278.266010695431,F,Single,Suburban,Mahasarakam,4.0,0.07405501951518381,No
Graduate School,37.0,4.8536561786935035,3167.90729139944,F,Single,,Mahasarakam,4.0,0.317562366066689,Yes
College,32.0,4.635908347049418,3724.107868941062,F,Single,Rural,Khon Kaen,3.0,0.20266806933451584,Yes
College,43.0,7.995592215868232,4619.341708191651,F,Single,Rural,Udon,7.0,-0.15979010557843215,No
High School,15.0,6.1224989932327105,4264.811081490223,M,Divorced,Urban,Mahasarakam,7.0,0.20666608629439615,Yes
High School,48.0,7.5311963622020155,5111.810104295721,F,Married,Suburban,Mahasarakam,4.0,0.3359237072613103,No
High School,15.0,5.329738591325753,3449.7256562170596,M,Divorced,Urban,Khon Kaen,6.0,0.263981919437477,Yes
Graduate School,35.0,5.600480328302435,3461.902837318404,F,Married,Rural,Udon,8.0,-0.5490156976944381,No
High School,21.0,7.59365268210129,6107.554560580502,M,Divorced,Urban,Udon,5.0,-0.507571263961901,Yes
Graduate School,14.0,7.1797882258985295,3569.5313134381518,M,Divorced,Urban,Udon,6.0,0.31862128758017194,Yes
Graduate School,24.0,6.161994343791115,3280.885111793591,M,Divorced,Rural,Udon,4.0,-0.23166715640684063,No
High School,45.0,5.089146897509079,4824.663204923299,F,Single,Urban,Udon,2.0,-0.013811769726371676,Yes
Graduate School,35.0,6.847439399820413,3507.288956008163,F,Married,Rural,Udon,6.0,-0.34743148519093575,No
College,31.0,7.30390234594757,4846.564736971303,F,Divorced,Urban,Khon Kaen,5.0,0.6542234162336995,
College,29.0,4.60848734543137,6419.0212170614805,F,Divorced,Suburban,Khon Kaen,4.0,-0.8197264329337405,Yes
College,43.0,5.437275138562524,5393.763966626364,M,Single,Urban,Udon,1.0,-0.39150137643491484,Yes
High School,35.0,6.786633769220415,4725.3943526027615,M,Divorced,Suburban,Khon Kaen,4.0,-0.007365564347336474,Yes
Graduate School,36.0,5.236831133919149,5251.2399706828965,M,Single,Rural,,6.0,-0.2172349502607193,No
,39.0,5.53230250652093,4662.65053667351,M,Single,Rural,Khon Kaen,5.0,0.18239408288186085,No
College,42.0,6.1725356896411725,4116.2616434096035,F,Married,Suburban,Khon Kaen,4.0,0.25110214682849685,
Graduate School,33.0,4.937427784697019,4263.390037259181,M,Married,Rural,Khon Kaen,5.0,-0.7760171741862131,No
