Gender,Household Income,Age,Brand Royalty,Marital Status,Subscription score
Female,179016.04572270083,30,92.14265205421422,Single,89.1593943126236
Male,48477.971810961295,75,43.36678795171356,Single,38.779285788594436
Male,157291.87373316416,36,4.340228676608831,Single,-4.007311396303912
Male,60595.01378223187,70,37.98009149697164,Divorced,40.650006190481555
Female,37687.176254708305,72,40.39939657525975,Married,26.890204337999556
Female,121586.1370370053,34,85.52632412713562,Single,76.48601560704006
Male,119055.94847079963,60,53.86533305024614,Divorced,57.291392573458005
Male,128232.02107711633,37,19.59586489238637,Married,6.828076312451076
Female,36613.541910890446,71,42.309642230271066,Single,43.93858764841068
Female,152796.745784474,39,11.123596156868643,Single,26.31969226858579
Male,187448.826128228,26,97.98509526949437,Divorced,88.85310514474634
Female,122121.05854405307,40,19.937536339512672,Divorced,10.887299851363364
Female,55695.029496589916,73,41.392028623758975,Single,42.34781533533213
Male,172489.25680011703,29,88.92547019783072,Married,96.98935632376745
Female,117534.97020271885,38,86.92472495468999,Divorced,86.58290087558655
Female,157075.21754713298,38,13.769706586532529,Divorced,13.628986048014388
Female,153001.19586803156,37,10.430902284705354,Married,21.642940905145803
Male,128005.57937068935,39,28.29064585108775,Married,11.901895296242078
Male,126204.90372104164,39,23.925752759370866,Married,34.62331695607833
Male,117009.67333294573,57,41.698483211926266,Single,41.05811050179017
Female,117181.22744799542,40,86.79083874906307,Single,102.45211712652602
Female,131837.49900431925,38,21.550162663790125,Married,-7.7858783958069715
Male,55016.00953207898,72,41.57669854851193,Single,48.23556599877641
Female,176911.60253271076,24,87.23814531788716,Single,91.99723835580681
Female,184879.6475935022,28,82.64235813842919,Divorced,78.83241840761974
Female,153686.62048444687,35,7.329810745322128,Single,4.38933760107402
Male,120992.74114609807,37,80.9876035640886,Single,88.95601968187685
Female,120799.37852392756,39,25.913169177741274,Married,31.186809519884715
Female,117775.94043170902,37,22.165267683256904,Married,5.702195657760807
Female,173396.07612130922,23,87.81655889355261,Single,81.01809004668607
Male,177988.59263265334,26,88.08194986255629,Single,76.26191567838899
Male,111220.20791481477,59,51.3919197406598,Single,49.48821175463687
Male,45005.428424211714,69,48.93947225609651,Divorced,76.52599241869656
Female,107060.07194651048,58,55.32654911784773,Married,64.09305199531859
Male,126347.57293442255,35,24.349857982589118,Single,38.646813937783314
Female,40648.739331849385,70,46.55217372901826,Married,56.52113198169299
Male,142654.46119966148,38,15.241710935416812,Divorced,16.4056190737097
Female,128480.8931719852,38,82.3126411092978,Divorced,94.13944316148239
Male,125342.24134776118,33,27.162201417817535,Single,37.24075363264527
Female,103032.20038160021,57,47.54216290241488,Single,49.34131455251201
Female,36665.79122883124,72,43.71316870691801,Divorced,64.90381924389393
Female,121273.16260202794,33,31.00072238452253,Married,27.023552520067746
Male,84276.8644818354,56,50.97883356420695,Married,50.375002252802396
Male,126733.67202541056,38,83.64234682058304,Married,76.8550147766027
Male,127315.25212556226,36,83.46486762887024,Married,84.33926985612398
Female,122057.8065633463,40,77.22821270690454,Married,76.83101734080014
Male,51754.46865783806,74,39.639053492542516,Married,38.176875578858294
Male,45911.088944422314,74,46.365360819548,Married,32.59334916121432
Female,45820.29420188506,72,35.71116132651328,Divorced,36.98101339929488
Male,52929.26081870718,70,38.42102278891413,Single,48.626317607596626
Female,114145.67083069927,58,50.82785721550257,Divorced,58.96192209423104
Male,122042.24790244088,40,86.352398397903,Single,73.52898612566187
Female,144087.66597557266,38,17.179744450287473,Married,27.321175608510874
Female,125276.1046824785,39,91.2208885735614,Divorced,81.67050207990259
Male,50942.78781534753,71,37.623059794502666,Married,37.49162341732885
Male,175350.7396775965,25,88.34452978488271,Married,98.76757513463724
Female,182419.90377315588,24,85.14284043631083,Single,95.47336446214416
Female,131087.97482261714,40,31.94564907805902,Divorced,22.389280352617575
Female,156928.58701888824,40,13.349621866442192,Married,3.0416165195773086
Male,121108.12196494694,38,79.00927387641845,Divorced,70.73654834987448
Male,124689.23274467041,39,86.59388434473459,Married,105.73220371192824
Female,143154.44198959818,36,2.338561057112493,Married,-0.4335220244337479
Male,186611.20486614216,27,92.77531182282868,Divorced,98.24219915736906
Male,183399.70952311723,29,84.60361947935823,Divorced,101.8079577293667
Male,92459.92441982304,58,52.86521783198162,Married,43.146781497430574
Female,181695.3943042154,28,83.64875660458284,Married,76.53599973020151
Male,41981.452136481166,72,45.89186034843728,Divorced,57.79319003309395
Female,118200.5115898079,63,48.40775238891207,Single,54.68216442838715
Male,45128.22691190532,72,48.17104923955147,Married,31.944389324889098
Male,114462.68125189152,60,44.59327768837956,Single,63.55966995072128
Male,156067.3007817029,38,12.356474206261886,Divorced,0.8768308303200598
Female,159776.30081794068,37,6.744634472978149,Married,13.808951390159358
Female,106186.5130217285,56,41.03466973275346,Divorced,26.47149165482893
Female,104533.58774961863,56,51.54232665662635,Single,51.6679579079404
Male,94942.35448606005,58,55.29491163598024,Divorced,65.88446113508496
Female,164741.79440799687,39,4.361854306949851,Divorced,-7.98913277628734
Female,139833.1907970469,41,26.035031033238575,Single,29.779636229749272
Male,116043.9993380673,44,83.63346022634174,Single,90.9791332624406
Female,125885.90409894429,39,26.710931065081326,Married,28.48205864495433
Female,118517.2914016067,40,83.81231863352704,Divorced,73.72970266246124
Male,167671.2950202208,41,10.917090621305107,Divorced,19.66920584716582
Male,176518.448419692,23,85.78834109369515,Divorced,78.71252089330805
Male,194971.20998141688,27,86.24758521688736,Married,96.96847662427076
Female,122445.27177509369,41,86.4368814544842,Divorced,90.0078881456743
Male,109941.11656885748,61,51.5114260772123,Single,38.55603236708287
Male,55943.190162687104,71,39.144593970709494,Married,45.06899397032097
Female,110907.70838944855,61,57.26452245541932,Divorced,56.394452583663636
Male,94621.31607762119,60,45.022656923245876,Married,44.43354623032631
Male,104808.38575541058,58,53.69813725988061,Divorced,49.184591046173246
Female,44204.65735127749,71,43.89333513189071,Single,59.74303644421887
Male,162821.66273230914,42,15.656025191845153,Divorced,14.531080482157723
Male,49665.80968370645,70,43.07665432334562,Single,54.05418798713808
Female,38138.48472490118,69,46.18178931460585,Married,52.65599380949932
Male,157665.12482876118,35,4.430142645500894,Married,3.4151007084555838
Female,47582.481989273074,74,38.36680849998719,Married,62.659198014465616
Male,50895.641040341776,69,39.34759043851778,Divorced,37.925422593511186
Male,123106.35097907437,39,82.93603966327206,Single,86.18451844808337
Female,151707.30074563724,43,8.479873827682106,Married,24.48562062972275
Female,118488.40511708509,59,47.29521939572238,Single,38.99543940916175
Female,113846.77611185805,59,52.362550836752064,Single,51.65271085071286
Male,135127.83597765412,39,21.82332867933169,Divorced,12.099231143217516
Female,170694.19141732465,40,8.022755218000334,Single,2.9589324288400203
Male,172884.90704045942,25,85.63423529904044,Married,88.3814916887474
Male,124853.07950493257,35,24.39270209878874,Married,32.14412823923401
Male,102150.28764253738,61,51.53956410095096,Single,47.80064795639205
Female,52606.30043978302,72,46.015105662233765,Married,43.69580076751349
Male,152953.6744776498,37,8.864525392409192,Single,1.2496028525986462
Male,36941.946074706095,71,43.33886269489109,Married,33.007383391755866
Male,157727.38402314548,38,7.239410114458529,Married,4.097103422345366
Female,171040.64263861877,22,86.70288966254873,Divorced,107.30194551529813
Male,165237.4000743301,37,7.239472185581427,Single,-2.284736181022838
Male,168752.75321617263,25,83.5197077367814,Married,91.65283348715096
Male,149981.9383711621,40,8.47448219921084,Married,15.381078745174944
Male,43497.69784076186,73,44.36026395581811,Divorced,33.69994079836325
Female,134666.19554828477,37,90.0371614305331,Single,85.85970048789599
Male,174499.3765035682,26,87.87031026875971,Married,84.98094355132213
Male,195770.10583738505,27,88.88185019065872,Married,79.82540816302692
Female,132516.35513368447,35,20.442705999443255,Married,23.121452456420204
Female,95540.61991098057,61,47.29799658455042,Divorced,49.643859698328185
Male,127808.50975026126,36,30.43322998012523,Married,33.967663091477704
Female,127817.54856592804,39,86.6724141960677,Single,79.5932852716752
Female,46266.705358607534,69,36.899914844580124,Divorced,42.94523564510207
Male,125810.70736573573,41,88.31169392401996,Married,88.92570536942084
Female,174165.85217900737,30,85.61942040519145,Divorced,71.80570485370376
Male,131639.08001715274,35,19.959559182625306,Divorced,28.972563449548712
Male,166779.6776083791,28,85.96940988565872,Married,98.46626972468174
Female,43388.96172921811,67,44.86664487780267,Single,57.757371791420454
Male,133129.19347708515,39,87.1113232954489,Divorced,78.58468467647485
Female,155905.91179595608,32,14.804339130882987,Single,18.912350951868007
Male,130702.22027753721,38,22.541742186131625,Married,19.988624115764157
Male,64276.44146547938,71,42.648608222826,Single,36.85634364003037
Male,174323.80633992242,22,90.09469201022773,Divorced,77.85725738400592
Male,122082.49202303134,39,87.29256880724049,Single,98.91196785763842
Female,184027.88457845978,30,87.63633415112731,Divorced,98.50862054710356
Female,112221.29809180173,58,47.573712299482956,Single,41.544984614799354
Female,133748.57822727447,36,19.704623119528772,Divorced,10.653666039082044
Male,55912.022914666784,71,41.82187531156622,Married,55.65625599503457
Male,132871.51024125813,32,22.207273458539873,Married,14.884210467306975
Male,154853.64816204138,39,10.442551071747744,Divorced,8.02492416269187
Male,52194.583260088264,69,46.61032131690251,Single,45.5376912511405
Male,98065.63268480454,58,57.543058962108574,Single,47.88582169184423
Female,148530.43353351275,35,15.530930071363883,Married,25.01719245370512
Female,155067.51492663016,33,1.5071105396451472,Divorced,-6.551766431575166
Male,165779.3842282364,39,12.87876501377582,Single,4.264091519602811
Male,103397.07736833363,57,55.596033826219916,Married,52.123730054915576
Female,40699.00389871973,72,40.31142738860088,Single,42.18443618943123
Female,159102.1808361454,37,9.975871061854384,Divorced,6.565138847847866
Female,120177.41626673462,34,21.575698074262267,Single,4.915807849832689
Female,105889.95863370929,59,45.78684314415234,Married,69.68526114657121
Male,181167.17213229294,23,79.15002353737557,Single,79.42830401555769
Female,170160.87076463422,30,85.42638307870803,Divorced,97.18344006510532
Male,176865.16261088307,28,84.83590138985323,Married,102.20379543798099
Male,136333.14209351005,42,28.58956025593694,Married,20.522173168635273
Female,157851.7997523629,43,14.225842380751622,Married,9.272123056610234
Female,122207.81963030613,41,87.83377268885354,Divorced,96.91830540963048
Female,123559.96174158095,41,21.728114266482155,Divorced,34.219445103325754
Male,133126.62749758377,37,84.25565482187187,Single,85.89736560036175
Female,57909.981277941995,73,45.2245067333112,Single,46.944820592056004
Female,131583.11840862656,35,18.295777459920505,Divorced,21.601159281394416
Female,94028.28349296299,56,44.28654110505432,Divorced,49.04958528978566
Male,138801.8349954229,45,79.26282014750188,Single,96.04969819264107
Male,167656.7300533921,37,7.067345239099801,Single,2.8808107011585387
Male,122969.49281537448,39,84.66437935063138,Single,87.19376820456914
Male,183227.43797197944,23,83.3222251252297,Single,85.9485054927495
Male,182770.6649280158,25,83.81368501777072,Divorced,85.08756369410273
Female,184226.622865704,31,94.07561652630295,Single,95.69810010416467
Male,109978.13903427527,62,49.717032818500996,Single,48.38466730902028
Female,92652.28236484711,58,52.70906375620903,Married,69.47935392775695
Female,125943.04875384807,40,82.96122673217565,Divorced,65.68833225022959
Female,127103.55200215829,35,19.975559926783628,Married,21.7513543891158
Female,119747.14621038485,43,88.7047627557034,Divorced,99.27757420098546
Male,184639.67185557508,25,83.13034986812202,Single,89.4396382902037
Male,40531.735349605835,66,45.851567418949486,Married,36.49043263438458
Male,94673.96279493353,58,55.79221949555511,Divorced,43.199920483586894
Female,152031.93392631115,38,18.135839547103934,Divorced,27.960418561873713
Female,161931.24613209575,39,4.897857859943933,Divorced,3.419602459552647
Female,95218.52163490333,58,42.82984606262987,Divorced,35.06136984446104
Male,159829.79072307126,38,11.705014614240405,Married,4.626639872764769
Female,139624.0214975597,39,90.17643910001067,Divorced,85.26344821633616
Female,131201.69738497338,36,89.68431007540153,Divorced,81.85642929220569
Female,43703.365955247165,69,43.84140486070936,Married,36.54236024767053
Female,110105.74863601892,51,44.99329936315117,Single,30.162734061968763
Male,48890.577660064475,70,42.76539645794556,Divorced,34.76330924171103
Male,135748.15618901033,35,21.031069801025374,Married,19.96125856657482
Male,47194.99056611178,66,39.89629168067144,Married,39.445333929857526
Female,150937.95935471638,41,7.514746300388353,Divorced,11.914661502762105
Male,41573.34936892301,71,43.58174868278088,Single,42.47721797050395
Male,126224.1044116806,41,25.084213196622194,Divorced,9.658736486796425
Male,176904.3111712437,32,83.1666974824038,Single,91.74429018146778
Female,155350.1152100574,40,5.812159058325015,Single,9.49868620032879
Male,136254.89761045188,33,25.724956607906194,Divorced,22.669374273519157
Female,100963.53757797655,58,55.82862607183782,Married,74.01176601461616
Male,121766.15891309956,38,12.863747884476794,Single,19.67281032643472
Female,150079.91890655507,40,11.424866613535876,Married,9.40394050414758
Female,137194.41732892877,34,88.17338286547019,Divorced,90.96627338515363
Male,126497.08366332055,40,84.47891649717275,Married,76.61820883331207
Male,113070.09249831663,43,87.11410917440166,Single,70.9270235236143
Female,91051.96010840061,56,51.80429142434509,Divorced,34.32808661905298
Female,127639.71526247125,35,30.448179336514464,Single,23.44692968891239
Male,119170.63862974067,41,87.06771882268671,Divorced,94.27832245723349
Female,133125.78251020284,40,85.45245398774668,Single,91.33069868259983
Male,44614.17230260733,72,43.87246573917291,Married,37.06186399730066
Male,172939.22993937996,25,87.72967309420578,Married,94.01169565597631
Male,99564.44546655986,64,49.413003259027946,Divorced,54.66203225998941
Male,103531.99635720775,52,46.03906799270548,Married,28.018074045486586
Female,128179.73986353035,44,90.13876181818304,Single,100.88562533067802
Male,111863.29537202597,38,85.10405498644224,Divorced,89.14016349267173
Male,124049.16529920965,37,29.340008284815582,Divorced,49.934310907540706
Male,163340.2797340936,35,8.164530347932406,Divorced,15.48521563538224
Female,133165.53639853484,37,82.03051888646284,Married,85.75699209040042
Male,122353.43812140507,33,27.605064579569554,Married,21.01680188914047
Male,64137.88536836017,73,46.52117014992072,Married,59.489962539474625
Female,31270.646931340598,72,44.633810858317425,Single,60.63521829717262
Male,159970.5925588848,45,16.41871145568794,Divorced,33.9161012912719
Male,123522.16018844814,42,19.54226885292098,Married,36.09049880509923
Male,105521.30910754626,60,48.24697954528246,Divorced,52.21559997770041
Male,166949.9740617054,39,9.610393035223105,Married,14.106586484304596
Male,94769.85116989019,57,42.322498582801224,Single,57.062672406626746
Male,173010.19434394865,28,82.88902930649513,Divorced,87.4138568226858
Male,183248.97335295714,28,94.53663155345947,Divorced,84.76515246889704
Male,181837.44754010142,22,85.77714902169596,Divorced,86.94289636742283
Male,111477.27990116218,60,52.43848397402506,Married,59.42607253351365
Male,169480.67813820305,26,87.97366609956359,Divorced,99.04100436763953
Male,126514.23310593798,38,82.72221316095867,Single,106.53398834707542
Male,184718.00589567583,31,93.29704914181418,Married,111.80846668325707
Female,194230.59708952805,24,81.20743539044624,Married,79.49102623203085
Male,123209.78972064167,38,19.119131149841753,Single,13.227372107873109
Male,125383.07908194182,38,90.84087636624912,Single,84.32023541097686
Male,103652.62866683523,58,37.47619478680805,Single,41.112911755198496
Female,174312.20920983818,25,86.0961773755372,Married,80.77129543643176
Male,53392.064959792566,71,49.67746408963331,Single,49.647246867713655
Female,103640.74718091665,60,48.49049768220342,Single,31.85697321930975
Male,138678.09799080674,39,89.71158076527546,Married,91.46597545470348
Male,110104.88676016897,56,50.13325319719053,Married,65.60787213115341
Male,125737.06877131073,37,9.217507102421266,Single,-1.469364601892286
Male,118743.86691028182,60,54.56920012355215,Single,54.7289422703461
Male,121638.25782922585,38,16.496705783261987,Single,14.637011273752622
Female,124524.7509389317,42,83.9398453181782,Married,98.8392175428037
Female,185070.9104883435,24,92.46408558296145,Married,100.43311182770715
Male,142791.48589128323,39,91.20582268344002,Married,94.84487697006018
Male,126757.2647467187,39,26.171193164175367,Divorced,40.6507639762695
Male,171322.0022271967,27,84.66242623797908,Married,91.03026143706947
Female,149617.34033337355,39,6.936994386363928,Single,6.223518305459555
Male,123159.41998485013,37,80.87878365882969,Married,71.7677501831227
Female,160141.55075677403,37,12.580574956922206,Single,4.629575014299205
Male,52676.28057408544,72,40.4174662011571,Married,40.87046200166813
Male,125012.353864988,34,28.565503883401504,Divorced,24.551818719860577
Male,102756.20461228666,58,50.551871677298784,Divorced,44.26866613618822
Female,188572.57739508682,28,91.58368950794966,Married,101.07816568471299
Male,122153.04189247756,37,27.89123324944989,Single,29.25455722624782
Female,173230.08716014173,26,90.719829499731,Single,101.21021193287089
Male,155446.62731067342,36,4.584475730628647,Married,5.266437855711308
Female,164273.73418705433,25,82.98522817927768,Married,84.80874445314826
Male,160831.22545217886,41,4.860710787501411,Married,-11.26900513682072
Female,174881.85533169305,22,91.03149450928524,Married,80.70492946032078
Male,140149.89873836256,33,83.37271509514149,Divorced,84.44020489802038
Female,107751.92808295522,56,50.16712833300583,Divorced,48.785469720879476
Male,131360.2101745434,40,94.09554835383946,Single,95.26913886834869
Female,126119.97267370562,34,26.742388407562068,Married,35.8128425163078
Male,44086.73317786347,70,45.310370542674406,Divorced,61.993611750931116
Female,91493.54712440149,59,49.291344522730164,Single,48.270093749752654
Female,54971.64196395836,67,43.28892118535091,Single,36.391528095153724
Male,170313.8140161337,38,9.32194056856627,Single,-0.8298205154012219
Female,45895.29906135415,68,38.7824366293952,Divorced,40.785724534873395
Female,129576.00684589577,36,20.676271677800592,Divorced,13.068681796506077
Male,167179.3835509792,25,85.35879464002215,Single,89.14375409980191
Male,126445.66503542145,39,85.18607383080348,Married,75.27620217140253
Male,165780.49489311912,41,17.583216628233615,Divorced,6.56966522859309
Female,55736.3941476711,73,45.20314924408821,Married,59.9816471126195
Male,127591.59846229255,36,89.11824407028057,Divorced,86.17214558316233
Male,104831.90228657896,56,47.313448997512964,Divorced,67.50224191052189
Female,176890.79668278902,26,84.73727092546847,Divorced,84.24128815352688
Female,122395.16984419758,38,87.08844205317156,Single,81.12880464923225
Female,104948.66071186383,58,51.14006672952455,Single,36.739730887596295
Female,102729.68159357311,63,46.66455245634711,Single,38.623953715601864
Female,117134.1411732508,35,82.5452350754422,Single,77.7555354498345
Male,169543.82288414054,37,7.549220679996182,Divorced,8.903877668556323
Female,161514.65013926383,35,15.209330142521466,Married,15.020990577289725
Female,49379.548926666364,74,36.57469057618672,Divorced,27.131650217297405
Male,43161.8096857022,69,42.73428135956351,Married,37.625763419589354
Female,106346.75695231449,59,53.031119091443045,Single,63.65230863703868
Male,169421.94592107873,24,81.01496320498829,Divorced,79.52768204217664
Male,130540.80871942708,42,23.023940523143104,Married,19.614044944743043
Male,118238.90702484515,40,93.50094847917632,Single,112.05024950260412
Male,160399.83148111738,33,6.243795248641625,Married,2.620729683599539
Female,114868.15387537066,40,86.84507707921242,Single,94.31327683150727
Male,166064.4388034432,21,82.37955469516947,Single,92.67868023306795
Male,40878.25223911059,75,41.68991693258046,Single,44.889906983021135
Female,161245.42651878292,37,9.911217616847942,Single,2.325478651084051
Female,107728.41750124423,41,86.18985506414703,Divorced,83.3409997338592
Female,55863.80960697196,71,50.82482947697756,Married,64.44483123740135
Male,131547.28321145102,40,81.41556031344885,Single,99.33144248169454
Female,127892.62103069067,37,81.90220224836352,Single,91.99130936216342
Male,55821.71325809644,71,41.41855953869771,Married,46.72913714443567
Male,38755.280988730956,74,37.41543851977672,Divorced,33.52448323441193
Male,99583.76256727755,56,57.90667077623971,Single,49.764124838441774
Female,54769.79695210291,72,42.8714692096448,Single,51.58810870267262
Female,124465.77236006419,34,84.1436199010045,Married,81.5546137710943
Male,50150.30961946683,75,41.76417226390231,Divorced,31.52924298401416
Male,56212.61879567363,69,41.48903450244741,Married,36.782100523446644
Female,100267.78666154915,59,49.21141122187432,Single,50.57876235610258
Male,53101.999419583044,67,42.4824861992304,Married,58.49873874346905
Male,181394.18862756295,22,84.81540673351523,Married,92.94652070410726
Male,136104.52641685944,39,22.32162356696964,Single,27.47161514002144
Male,105615.6772679035,55,53.351878452228995,Married,61.49571455845156
Female,134731.40552574513,36,87.99295231851933,Married,86.91276185345437
Male,37101.263894432865,69,42.67494439300529,Divorced,37.06781019647798
Female,40886.296967344984,78,41.46033006444445,Single,35.272463467155774
Male,97662.37881773728,59,54.69600694152723,Married,50.78578825440778
Male,129192.81789160853,41,13.286991492339823,Single,-5.596172165933446
Male,150167.11155890717,38,10.294923299824092,Divorced,-2.8690347792757613
Female,119454.98109993462,35,30.739394758774228,Divorced,48.89034205345263
Male,138069.2840554918,39,21.521326205884705,Divorced,26.78629966095823
Male,167450.95573618854,39,17.9552883289075,Married,20.66807950224311
Male,41078.178734148256,71,44.20194183178817,Married,49.58107768354529
Female,39664.13048868424,70,38.814449008078526,Divorced,24.369972679404576
Male,119114.20401402524,34,24.062487676386528,Married,26.913739009215696
Male,47902.41279552809,73,46.59103355208142,Married,37.83481345390085
Female,38271.792734013,80,51.51653953635549,Single,75.4568567992773
Male,170264.81511840777,38,18.40794263237482,Married,23.602456683372065
Female,40950.41211997767,71,39.245383580407434,Single,25.120230977367974
Female,125347.33350507518,41,88.72971565209903,Divorced,81.43939733326539
Male,126021.85296067836,36,17.400292934003346,Single,4.453617685611897
Female,115297.04750756077,36,94.64138288466154,Married,86.41852484547282
Female,164579.26171173278,32,11.31833467917243,Single,13.49207085972769
Male,99426.72965582648,60,50.54439195991512,Divorced,54.39482485087591
Male,193958.67568541004,24,88.87373854061997,Married,106.75442851670073
Male,126191.30401582402,40,80.71761344026895,Divorced,70.34969468643277
Female,176025.10906639748,27,94.65317484705572,Divorced,96.12289356434229
Male,109316.45141205391,53,50.12442212459368,Divorced,49.82356481081082
Female,131513.18504435587,40,21.227554311801914,Married,12.705910857688782
Female,56686.560876262854,66,35.50434497115091,Married,10.614885907029851
Male,35492.393189353126,73,38.743167169397815,Married,32.77639291499073
Female,164726.23561612575,36,5.6106522940266075,Divorced,4.932076842649831
Female,128402.24319893714,40,89.10860351568124,Single,106.51950015977653
Female,119559.66146778972,34,19.109318847327817,Married,15.029929336915696
Male,179138.71721350067,26,94.1394317198689,Single,86.56738764711749
Female,130712.34905730642,33,22.44763464137754,Married,33.78758619838332
Male,121338.18653262426,37,85.40983578423175,Married,80.90612578148122
Male,155112.46446921205,40,9.724035485635333,Divorced,16.9464609523927
Male,184899.21504526728,22,84.16434778645768,Single,80.90772282255524
Male,164630.69559690412,33,6.101831196876368,Divorced,-15.838122540241542
Female,117880.8709415155,58,52.69153972003896,Married,48.04977779116713
Female,184962.10169521565,31,88.18148804278346,Divorced,72.72360099772231
Male,129484.03495650864,40,24.545623748210385,Divorced,11.78271439528776
Female,124237.50018136142,40,27.71498646743479,Divorced,32.562096390127124
Male,100611.87186924779,54,51.25892575539439,Divorced,48.989726156361755
Female,174023.54838409327,25,83.73035512061861,Married,78.72843808621269
Female,199433.07225560863,27,79.31322775379786,Married,77.19676341872038
Female,180047.06341607904,26,88.70049566082744,Married,81.6347567397031
Female,156617.69763589866,35,6.318640334041675,Divorced,1.3677674441711183
Male,108668.39728195318,55,49.47724419510405,Divorced,33.1592894756965
Female,103635.86208227433,59,46.545835788397305,Married,46.44001391075959
Male,126010.40403628175,40,90.86906983614328,Married,85.34350968297554
Female,110558.67608472976,58,50.818776659848325,Married,52.714694380614844
Male,125792.65010805063,35,16.843044316213998,Divorced,24.123682771068346
Female,190543.8703298851,24,85.87046210077347,Single,102.76786928465914
Male,98327.26692030003,56,52.59696766480124,Single,57.27198168536791
Male,109383.47114047375,37,83.58053101690106,Married,72.26861082966619
Female,36373.42758134421,70,44.05408790809379,Single,52.39697357289404
Female,189725.21328807028,23,80.42719056508253,Married,85.75704650455143
Female,145728.55871288103,41,3.08145765577121,Divorced,-25.400328802579388
Female,179583.16564721148,20,85.3146865534487,Single,95.64369300232275
Female,123828.26064987897,39,23.304116042671573,Divorced,34.4891743197987
Female,84011.14887473991,61,54.37125671616227,Divorced,53.73544838949174
Male,112907.63763402072,43,80.33878929427458,Married,76.47011147212565
Female,139881.6959505659,33,25.06370036936176,Divorced,20.8891344612331
Female,182854.5949591255,31,86.83374332793696,Married,92.45004977779082
Male,149481.0580319151,38,9.689634798089443,Divorced,8.954390972061251
Female,188695.6897301149,27,74.90512917799111,Divorced,76.5807301529257
Female,176031.54616341184,26,79.24542949180822,Divorced,77.35098691703443
Male,135316.84932872767,40,25.314821119619637,Divorced,19.230325612997724
Female,159577.12407819656,38,11.316521486860815,Divorced,14.040786362488845
Male,162727.40966831782,39,10.95761609125207,Single,11.184948867450798
Male,49533.56913269099,67,36.149105065242864,Divorced,28.655124531801356
Female,177442.53598375348,22,81.318187305902,Married,83.09284953610565
