Education Level,Marital Status,Gender,Age,Years with Company,Location Code,Online Activity,Annual Income,City,Brand Loyalty,Renew
Graduate School,Single,F,51.0,6.0,Urban,4.568954955542415,49563.344027115876,Osaka,-0.19352638955140927,Yes
Graduate School,Married,F,52.0,4.0,Urban,6.065695100738921,52920.98269724896,Tokyo,0.316053712521725,Yes
High School,Divorced,M,58.0,7.0,Urban,5.342503830095121,45860.27744586424,Kyoto,0.38970409806171125,Yes
College,Married,F,56.0,7.0,Rural,4.9510366037347335,45782.46678707907,Kyoto,-0.4480846893880952,No
College,Divorced,M,55.0,3.0,Suburban,4.910552432277318,32667.870242386933,Kyoto,0.852540182017396,Yes
Graduate School,Single,M,33.0,6.0,Urban,,57428.096281237835,Osaka,0.848144333482576,Yes
High School,Divorced,F,47.0,7.0,Urban,6.427378531917897,59176.66126661862,Tokyo,0.14470398033971166,Yes
College,Divorced,M,53.0,5.0,Urban,,52559.011496495536,Tokyo,0.7308743608940571,Yes
Graduate School,Married,F,48.0,5.0,Rural,5.666294670024292,44903.392557215106,Kyoto,-0.5023426205787532,No
College,Divorced,F,56.0,6.0,Suburban,7.652990328624165,56274.42285424476,Kyoto,0.1803937325320299,No
College,Married,M,55.0,2.0,Rural,4.185238546319475,51172.27148273838,Osaka,0.802475513723761,No
College,Married,M,49.0,7.0,Urban,6.247119138558982,49960.3597420809,Tokyo,1.2549037170396569,Yes
College,Divorced,M,54.0,3.0,Rural,4.05625611519314,70353.13765040113,Kyoto,-0.17079847725173758,No
College,Divorced,F,53.0,5.0,Suburban,4.949410690361539,49400.88332313067,Kyoto,0.1088455413592355,No
High School,Single,F,63.0,4.0,Suburban,6.902899472203849,64432.672157304114,Osaka,0.044072441491546835,No
College,Married,M,60.0,5.0,Rural,6.52799518769597,47496.750209738675,Kyoto,0.3758281321136632,No
College,Divorced,F,44.0,6.0,Rural,9.411144347429602,46725.82458712508,Osaka,0.015331461597933652,No
Graduate School,Divorced,F,46.0,6.0,Urban,8.773664134842573,47996.868685280635,Kyoto,0.6404472462656056,Yes
College,Married,M,45.0,5.0,Suburban,6.235112936522432,63989.999123947666,Tokyo,-1.5,No
Graduate School,Married,F,51.0,3.0,Rural,7.270952126488341,57738.92083720918,Osaka,0.16366777092121532,No
College,,M,53.0,2.0,Rural,7.449033091120647,,Osaka,-0.3444151916986314,No
,Divorced,M,41.0,5.0,Urban,6.439832561435007,55636.341910077965,Tokyo,0.05549169431347786,Yes
Graduate School,Married,F,45.0,6.0,Suburban,6.059997450537228,,Tokyo,-0.3895878122967727,No
College,Divorced,M,47.0,5.0,Urban,6.440219397141618,47268.73829111322,Osaka,0.4866137352050066,Yes
High School,Divorced,M,43.0,6.0,Urban,,54271.154918037064,Tokyo,-0.12084737081227662,Yes
Graduate School,Divorced,M,49.0,7.0,Urban,6.5481748662443895,50156.98633049278,Kyoto,0.35592155536254555,
College,Divorced,M,28.0,,Rural,3.860833158664678,42469.121360096455,Kyoto,-0.4154237889108935,Yes
College,Divorced,F,49.0,3.0,Rural,4.404249006273822,53681.43201863674,Tokyo,-0.09257706510785879,Yes
Graduate School,Single,M,53.0,6.0,Urban,6.844592275572071,43232.860440658595,Tokyo,0.5390267373028622,Yes
High School,Divorced,M,57.0,3.0,Rural,6.458652947825173,45703.268296782546,Tokyo,0.8402540084881577,Yes
College,Married,M,59.0,4.0,Suburban,6.753023360068432,53784.64217223795,Tokyo,-0.45797985946751407,No
High School,Married,F,57.0,4.0,Urban,6.083795449781425,47801.81675428332,Osaka,0.4536439110602919,Yes
Graduate School,Married,F,52.0,4.0,Suburban,4.8956388189752635,37146.97243317469,Osaka,0.6225451686112307,Yes
College,Divorced,F,49.0,5.0,Urban,6.571295247874157,40070.10793925511,Kyoto,0.08993313141178125,Yes
High School,Divorced,F,,4.0,Urban,5.466155359252412,55267.76121236717,Osaka,-0.1538052366402764,No
College,Married,M,58.0,2.0,Rural,6.236578761806191,60664.42398838186,Osaka,-0.5910474542332943,No
Graduate School,Divorced,F,48.0,6.0,Suburban,7.504703790521469,81391.48771740336,Osaka,-0.08111077195448457,No
High School,Divorced,F,,5.0,Urban,7.340168111209703,50304.13721225398,Kyoto,-0.3474333310985636,Yes
High School,Married,M,50.0,8.0,Suburban,6.666936005726663,55280.95063275404,Kyoto,0.6450222907800433,Yes
College,Single,M,40.0,5.0,Urban,7.228458730747037,35701.148799221824,Kyoto,0.2939101474533714,Yes
Graduate School,Divorced,M,44.0,3.0,Urban,6.0407021445417,37267.7951367254,Osaka,-0.24441031329041968,Yes
High School,Single,F,58.0,4.0,Rural,3.5534967581349424,46875.828116282995,Osaka,0.37459269545519924,No
Graduate School,Married,M,42.0,6.0,Urban,7.102621015431392,51609.06458677024,Tokyo,,Yes
High School,Divorced,M,58.0,6.0,Urban,7.6548875108046825,45426.034541903886,Kyoto,0.259488194505328,Yes
Graduate School,Divorced,M,40.0,3.0,Urban,6.134743037410161,,Kyoto,0.04963823943933219,Yes
High School,Divorced,M,44.0,4.0,Urban,6.311532242147311,66105.78133678169,Kyoto,0.002690200433860354,Yes
College,Divorced,F,36.0,3.0,Urban,7.5779389408934135,76351.19944915525,Kyoto,-0.0923259566622584,Yes
High School,Divorced,M,51.0,8.0,Rural,4.593551917763742,52810.82827009547,Tokyo,-0.15542006273612996,No
High School,Married,M,43.0,4.0,Rural,5.893650469904867,20515.396181119737,Kyoto,-0.04686023793658087,No
College,Single,F,50.0,6.0,Suburban,7.598933699628096,50365.975149956656,Osaka,0.16272302741988148,
Graduate School,Divorced,F,53.0,7.0,Suburban,5.473561577758568,52911.0234478368,Kyoto,0.2670169379143744,Yes
Graduate School,Married,F,36.0,1.0,Rural,4.420077606870346,51715.97813940903,Tokyo,-0.5293624749324946,No
,Divorced,M,56.0,5.0,,6.469257140674033,75018.72506386274,Tokyo,0.23151306252553974,No
College,Married,F,52.0,4.0,Suburban,7.330594402593871,56813.37903420064,Kyoto,0.08262028555196213,No
High School,Divorced,F,44.0,3.0,Rural,5.159818626460307,54418.78863716443,Osaka,0.10048053237077346,No
College,Married,M,43.0,4.0,Urban,8.033649346776429,64559.786742078686,Kyoto,0.5414513110864247,No
College,Divorced,M,60.0,5.0,Urban,8.293353708003503,42900.70681016493,Kyoto,0.6103375389908104,Yes
College,Married,F,32.0,5.0,Suburban,3.9255679771091794,54574.745437855694,Osaka,0.008571763490971898,No
High School,Married,F,30.0,6.0,Rural,5.041367148432949,60683.912482183114,Tokyo,0.4335567015969079,No
High School,Divorced,M,50.0,8.0,Urban,4.089922466143858,34458.99558682692,Tokyo,-0.12160544112385868,Yes
Graduate School,Divorced,M,44.0,3.0,Urban,6.441104317195353,54788.61488742687,Kyoto,1.0661072015951851,Yes
Graduate School,Divorced,F,52.0,6.0,Suburban,4.603999295261115,51066.581462105336,Osaka,-0.5202073748836693,No
College,Married,M,51.0,5.0,Suburban,4.818494897619399,47097.45187823623,Tokyo,0.8178238552420581,Yes
High School,Single,F,39.0,4.0,Suburban,5.502695484949072,52074.2469618111,Kyoto,0.49713553266133953,Yes
Graduate School,Divorced,M,56.0,4.0,Rural,4.365845334933215,59640.50189654029,Osaka,0.02517862869221664,No
College,Divorced,M,59.0,5.0,Suburban,6.174619989775508,46539.90935730825,Kyoto,1.0002545498160367,Yes
Graduate School,Divorced,F,59.0,8.0,Suburban,6.0943014992557805,33336.3214239248,Kyoto,0.5800816602164331,Yes
High School,Married,F,42.0,3.0,Rural,3.3826137241531433,66954.04006088685,Tokyo,-0.49660613434516665,No
High School,Single,F,44.0,5.0,Urban,5.927944087001802,44015.91924100085,Kyoto,0.07030021931218344,Yes
Graduate School,Divorced,F,51.0,7.0,Urban,6.117546112436416,56013.73506780915,Tokyo,0.4724108645325701,No
College,Divorced,F,,6.0,Urban,6.204976156997571,33767.03697028168,Osaka,-0.2804907847121878,Yes
High School,Divorced,F,47.0,6.0,Suburban,5.340178749094623,54817.135925270275,Osaka,0.44846787837809904,Yes
College,Married,F,60.0,3.0,Rural,5.008321326692892,62489.55527090902,Osaka,-0.3697585012098712,No
College,Single,M,60.0,2.0,Urban,5.926641105294419,42099.485966939304,Tokyo,0.2298335864972687,Yes
College,Single,F,58.0,2.0,Suburban,4.167164347497489,47037.697057313366,Osaka,-0.38455971084214224,No
College,Married,M,51.0,4.0,Suburban,2.8288885741165233,41127.80905545671,Osaka,-0.09433043367705793,No
High School,Divorced,M,51.0,4.0,Suburban,3.7031806438348105,49406.49283340712,Tokyo,0.309951184813751,Yes
College,Divorced,M,48.0,3.0,Rural,4.966523929521698,42093.764176314,Osaka,0.01890397430401873,Yes
High School,Married,M,64.0,2.0,Rural,4.300979072079392,59028.60948798322,Osaka,0.18998115480961086,No
High School,Divorced,M,43.0,7.0,Urban,5.3633404582395805,47965.518738819985,Osaka,0.40712452195585047,Yes
College,Married,M,41.0,8.0,Rural,5.176216142628967,48577.638208451695,Tokyo,-0.1093640477772608,No
High School,Married,M,48.0,5.0,Rural,5.988167729623268,88483.86140856874,Tokyo,0.43198821824326666,No
Graduate School,Married,F,47.0,5.0,Urban,4.435802701002311,95924.25181609119,Osaka,-1.2521543490898603,No
Graduate School,Married,F,73.0,4.0,Suburban,5.195169531453527,59777.88550495828,Kyoto,-0.40533091512630215,No
High School,Single,M,51.0,6.0,Urban,4.949590461832139,47035.76088193804,Kyoto,0.2445804187784886,Yes
High School,Married,M,45.0,4.0,Suburban,6.472670145457284,66178.21563180187,,-0.10002171782416158,No
College,Married,F,36.0,7.0,Suburban,6.483925243889035,63589.814593754374,Kyoto,0.014688861593715907,No
College,Divorced,F,47.0,5.0,,3.7076016894623343,58708.71264821649,Osaka,0.6572166550404428,Yes
College,Divorced,F,48.0,4.0,Urban,6.277200327222395,36419.1452477739,Tokyo,0.4886083690151378,Yes
Graduate School,Divorced,F,65.0,3.0,Rural,3.3867157191519577,53327.25218325062,Osaka,-0.5721142655842287,No
High School,Divorced,F,61.0,6.0,Urban,5.275089314083639,42287.25945778463,Osaka,0.3348602326593964,Yes
College,Divorced,M,63.0,6.0,Urban,6.916859453658829,38338.706774078324,Osaka,0.3537151996054281,Yes
College,Married,F,53.0,2.0,Rural,6.689506574356633,76737.34291896387,Tokyo,-0.3294291434960867,No
High School,Divorced,M,39.0,3.0,Urban,4.9606412831422135,57431.55977769095,Osaka,0.335789039023568,Yes
High School,Single,F,47.0,5.0,Urban,5.871766172422588,43541.38226445372,Tokyo,1.0761293519776869,Yes
College,Single,M,47.0,6.0,Urban,5.5845957688459755,48271.51230305686,Kyoto,-0.18264398707850887,Yes
Graduate School,Married,M,54.0,,Rural,7.537741422163704,52219.85234772552,Osaka,0.00020145748189080714,No
High School,Single,M,56.0,6.0,Suburban,6.217269327006878,47214.03332010604,Tokyo,1.230422294125689,Yes
College,Married,F,54.0,4.0,Rural,4.392403642922365,69723.21272194985,Tokyo,-0.46622632018096133,No
,Married,F,49.0,7.0,Urban,7.2110974411309225,42934.28022169086,Osaka,0.6333416990579752,Yes
Graduate School,Married,M,51.0,5.0,Suburban,6.282980790477962,81865.59240301944,Osaka,0.03918469190286844,No
High School,Divorced,M,55.0,8.0,Suburban,6.352358213567106,47358.739008341414,Kyoto,0.5012980651578945,Yes
Graduate School,Single,M,52.0,4.0,Suburban,5.756766965595155,77729.2993933468,Osaka,-0.31775302126124727,No
College,Divorced,M,63.0,7.0,Rural,5.0655062871439975,31551.410031454314,Tokyo,0.27394866083918556,Yes
High School,Single,F,54.0,4.0,Rural,6.829048124037626,51972.335578096165,Kyoto,0.11039551435444311,No
High School,Divorced,M,48.0,5.0,Urban,5.844988186324863,55810.79654060822,Tokyo,0.01741860932347078,Yes
High School,Married,M,49.0,7.0,Suburban,6.43616185916199,34760.53755308592,Kyoto,,Yes
College,Divorced,F,56.0,4.0,Urban,4.269615202491483,44283.20178004675,Tokyo,0.53630457086063,Yes
College,Divorced,F,51.0,5.0,Rural,8.76084988333087,75957.43456927445,Osaka,-0.01001675249985097,No
College,Single,M,50.0,4.0,Suburban,4.1300548893877,39650.00955779114,Tokyo,0.4723783977570394,Yes
High School,Married,M,58.0,4.0,Rural,6.920383038485623,65114.729301059226,Kyoto,-0.46244775837956487,No
Graduate School,Single,M,60.0,5.0,Urban,5.624036133814927,43768.37968635851,Tokyo,0.0744889333098889,Yes
College,Divorced,M,62.0,4.0,Rural,2.890262748459292,53356.06666061065,Tokyo,0.2257079046789167,Yes
High School,Divorced,F,50.0,3.0,Urban,5.026384592825365,36843.90299950197,Kyoto,0.8188644410465284,Yes
College,Single,M,,6.0,,4.425008407209459,48345.12940889788,Osaka,0.25769963529944223,Yes
Graduate School,Divorced,M,46.0,5.0,Urban,3.91047413380245,53826.5182517117,Osaka,0.4394343576949011,Yes
High School,Divorced,F,55.0,2.0,Urban,7.0430430841817016,50860.238209448406,Osaka,0.3339136990156817,Yes
College,Married,M,44.0,6.0,Suburban,4.874003712716909,58704.97566251713,,-0.21955824026391257,No
High School,Single,M,45.0,5.0,Suburban,5.958118274618848,44437.34569383599,Osaka,0.4307301161157924,Yes
High School,Single,F,49.0,1.0,Rural,8.15370782434244,50173.56924764259,Osaka,0.10027640997417657,Yes
High School,Divorced,F,55.0,5.0,Rural,6.655056359361845,52437.55504990564,Kyoto,-0.298712640464465,No
Graduate School,Divorced,F,51.0,7.0,Urban,5.272774123054592,39857.2725199406,Tokyo,-0.9019679622914163,Yes
College,Single,F,52.0,8.0,Urban,4.58985471315629,52483.36963358208,Tokyo,-0.37333580174597875,Yes
Graduate School,Single,F,48.0,7.0,Rural,7.567609969645268,57445.48919109704,Osaka,-0.6250973824174579,No
High School,Married,M,39.0,6.0,Suburban,3.999105256229035,65806.40890786848,Tokyo,0.3962426245562173,
High School,Married,F,40.0,6.0,Urban,6.795590392669772,59800.629475783906,Osaka,1.2374224139733832,No
Graduate School,Married,F,52.0,2.0,Suburban,,52703.57632306159,Osaka,0.41792947126698404,Yes
College,Single,M,57.0,7.0,Urban,3.2992452520023017,54339.32427453754,Tokyo,0.05424791419016238,Yes
College,Married,F,50.0,4.0,Rural,4.3319882370939355,57247.24351850372,Tokyo,-0.13752393469538773,No
High School,Single,M,43.0,6.0,Suburban,4.754074037140323,59481.50316160242,Tokyo,0.7356048308658227,No
College,Divorced,F,48.0,7.0,Urban,4.325980584166455,40692.445628594825,Kyoto,0.5975393816416976,Yes
High School,,F,53.0,6.0,Suburban,6.079757994629202,47608.04613787722,Kyoto,-0.17297205720001652,No
Graduate School,Divorced,M,43.0,4.0,Suburban,5.170982847081918,59523.58589289194,Kyoto,0.5291274593126063,Yes
College,Divorced,M,34.0,5.0,Urban,5.499778337836451,49495.67543282839,Tokyo,-0.4667805056500991,Yes
High School,Divorced,F,49.0,7.0,Urban,4.192814746944942,44239.00727171173,Osaka,0.23656254024004594,No
Graduate School,Married,M,43.0,6.0,Rural,5.845361166398538,73047.38930856902,,-0.4880993257522567,No
College,Single,F,32.0,5.0,Rural,6.533639080208768,34153.51562866343,Kyoto,-0.3655743193014959,No
Graduate School,Divorced,F,47.0,7.0,Rural,4.24326298661106,77045.3002434564,Kyoto,0.035686138933369735,No
High School,Divorced,F,54.0,2.0,Suburban,5.271999278480104,39015.16148748043,Kyoto,0.7172816497447007,No
College,Married,M,43.0,6.0,Rural,2.812118348217234,64793.5213196135,Kyoto,0.18784032684337149,No
Graduate School,Divorced,F,64.0,7.0,Rural,6.618670998592107,38226.142380060155,Kyoto,-0.17761474812652445,No
College,Married,F,55.0,5.0,Rural,5.954198690326844,46367.050683800866,Tokyo,0.23290778174129648,
College,Single,F,43.0,5.0,Rural,3.7286972136245815,64771.6448925497,Kyoto,-0.2293375911187026,No
College,Single,F,47.0,8.0,Rural,3.92541182232815,54243.86304683298,Kyoto,-0.42097123330512143,No
High School,Married,F,36.0,4.0,Suburban,4.509214367468906,68109.1835051804,Osaka,0.35077986272983797,No
College,Single,F,60.0,6.0,Rural,4.532974038134482,52440.46256799663,Osaka,-0.45536838526313683,No
Graduate School,Divorced,M,59.0,7.0,Urban,3.8965460283247064,44665.369497730215,Osaka,0.6846389726304932,Yes
High School,Married,M,41.0,5.0,,4.7814294311321115,65762.04740523033,Kyoto,-0.29746776448407064,No
College,Single,M,51.0,6.0,Urban,6.882940786789982,46101.697162251134,Osaka,0.6605987966042006,Yes
Graduate School,Divorced,M,31.0,7.0,Urban,5.253222616697574,48683.8267045235,Osaka,-0.4417212587091024,Yes
Graduate School,Single,F,45.0,2.0,Suburban,6.071172613717678,56583.692246136794,Kyoto,1.2660663919536512,Yes
Graduate School,Married,F,49.0,5.0,Rural,4.882204595140418,66285.18704469228,Osaka,-0.8369720023069732,No
High School,Divorced,M,48.0,3.0,Urban,5.40401905151041,62621.26915013403,Kyoto,0.40449699858777444,Yes
Graduate School,Married,M,54.0,5.0,Rural,4.739969050606263,54311.00757815715,Osaka,-0.2736548863550213,No
High School,Divorced,M,42.0,2.0,Suburban,,38300.48033618279,Tokyo,0.6439744031907003,Yes
High School,Single,M,49.0,5.0,Suburban,3.5164414077424917,39842.396005420815,Osaka,0.4796678218027181,Yes
High School,Divorced,M,49.0,6.0,Urban,5.714355530502713,68419.63272674587,Kyoto,-0.4322484015043736,No
Graduate School,Divorced,M,48.0,5.0,Urban,5.206856208499555,56424.573361316805,Kyoto,,Yes
High School,Single,F,66.0,6.0,Rural,7.325456710101005,27250.43330392782,Kyoto,0.4174304322501122,Yes
Graduate School,Divorced,F,48.0,5.0,Urban,7.550980272651356,42646.96500488411,Kyoto,0.46969383417734717,Yes
Graduate School,Divorced,M,55.0,6.0,Rural,5.184694732536849,60676.22116150679,Osaka,0.7340414117084971,Yes
Graduate School,Married,M,31.0,5.0,Suburban,4.388334743685729,48561.234024598445,Tokyo,-0.20014225011329245,Yes
High School,,M,49.0,5.0,Rural,5.991798339499865,67405.27183105468,Osaka,-0.2973915683321476,No
College,Single,F,45.0,5.0,Suburban,7.1914480650919606,48616.843583380934,Tokyo,0.3334400056827598,Yes
College,Divorced,F,46.0,6.0,Urban,5.978910518957322,49266.554482126405,Osaka,0.5017516246371985,No
Graduate School,,F,47.0,6.0,Urban,4.755270436542362,55634.69875443996,Osaka,0.3133677620968041,Yes
Graduate School,Single,F,38.0,6.0,Urban,5.640563469102274,47173.99601641134,Kyoto,0.2531134697788632,Yes
College,Married,,30.0,6.0,Suburban,6.450763328604384,73799.23963202174,Osaka,-0.126921128496567,No
College,Married,F,62.0,3.0,Rural,5.883762967166538,,Tokyo,0.06982552123899896,
College,Single,M,60.0,4.0,Urban,4.932509303774354,35567.55374151131,Tokyo,0.005782152284722952,Yes
Graduate School,Married,,43.0,6.0,Urban,6.033293727910298,40282.76979827104,Tokyo,0.37079121361087886,Yes
College,Married,M,50.0,4.0,Suburban,5.357667683244772,39721.996747189674,Osaka,0.412908453496784,Yes
Graduate School,Divorced,M,41.0,3.0,Urban,7.052967780768421,59599.73967494805,Osaka,0.6452081114730198,Yes
Graduate School,Married,F,47.0,8.0,Rural,3.877013398159229,64778.742528976596,Kyoto,-0.3980869643071855,No
High School,Divorced,M,61.0,3.0,Urban,6.235931897322116,31390.186537289585,Tokyo,0.31398405095770626,Yes
Graduate School,Single,F,53.0,,Suburban,5.129086170763131,60134.68104209815,Kyoto,-0.17043366357725004,No
Graduate School,Married,M,45.0,6.0,Urban,7.338179018287465,69714.50893512618,Kyoto,-0.3521036071171188,No
College,Married,M,61.0,4.0,Rural,6.429577545158808,25518.32696669425,Tokyo,0.2476765828304548,No
High School,Married,M,58.0,4.0,Rural,4.707872255765493,49734.45154120202,Tokyo,0.245484607989991,No
High School,Divorced,M,41.0,3.0,Rural,5.730248506940118,64961.2151753924,Tokyo,-1.1355876483777214,No
Graduate School,Married,M,56.0,4.0,Rural,3.0476877661680124,65473.11405328993,Osaka,-0.19160843142722817,No
High School,Single,F,51.0,4.0,Suburban,6.258692371222622,62210.44603043829,Kyoto,-0.1677258709868385,No
,Single,M,49.0,4.0,Urban,3.512302781754456,54865.05952993863,Kyoto,0.882923241171431,Yes
Graduate School,Married,F,34.0,7.0,Suburban,4.549664476036737,53077.68053569972,Tokyo,-0.44845116073450264,Yes
College,Single,F,47.0,2.0,Suburban,5.489575973025557,51788.24252115363,Kyoto,0.6975542865961759,Yes
High School,Divorced,F,50.0,6.0,Suburban,5.476993061932255,51782.547229663534,Osaka,-0.4895911635334007,Yes
High School,Married,F,55.0,3.0,Urban,6.845971760950491,47630.77389276989,Osaka,-0.3103658581066993,Yes
Graduate School,Single,F,33.0,2.0,Suburban,6.185678574466464,47685.502596450264,Kyoto,0.259199005555146,No
High School,Married,M,51.0,8.0,Rural,5.878544971823625,69393.84500732465,Kyoto,-0.7362623368584736,No
College,Divorced,M,47.0,2.0,Suburban,5.456643782368392,61998.18376568681,Osaka,1.0268601267093649,Yes
Graduate School,Single,F,44.0,6.0,Rural,5.897739609151542,72391.54377788179,Kyoto,,No
College,Married,M,35.0,7.0,Rural,8.006585181181723,75800.45662917863,Kyoto,-0.5520958055582438,No
College,Single,M,45.0,5.0,Urban,6.217088408444974,,Tokyo,0.091852978459684,Yes
Graduate School,Single,M,57.0,4.0,Suburban,6.3310225096881725,35253.76400191241,Tokyo,0.0841129016664268,No
High School,Married,F,42.0,5.0,Suburban,4.32323533104903,55676.78366353137,Kyoto,0.14869010035246294,No
High School,Single,M,38.0,5.0,Rural,7.688114333830428,57998.52527162705,Kyoto,-0.49346778223388954,No
,Single,M,48.0,3.0,Urban,5.326616299421959,41002.85565672672,Kyoto,0.29556109477557396,Yes
Graduate School,Single,M,52.0,5.0,Urban,5.061182267049853,33927.304230786845,Kyoto,0.638071350426866,Yes
High School,Single,M,63.0,5.0,Rural,5.3329204276213265,37469.06173104892,Osaka,0.062321784167870035,Yes
Graduate School,Divorced,M,52.0,7.0,Urban,6.663758796019772,50574.49993760489,Kyoto,0.4753091694517597,Yes
High School,Single,F,74.0,7.0,Suburban,4.515351762365556,56054.497289768624,Tokyo,-0.9190038422272275,No
High School,Divorced,F,50.0,1.0,Rural,6.459131876829719,50900.80096087461,Osaka,0.13099014895467737,Yes
College,Single,M,47.0,5.0,Rural,8.444410799413312,47922.52554532357,Osaka,0.6216782365931113,Yes
High School,Married,F,47.0,3.0,Urban,6.985756762446247,41909.02730290793,Kyoto,0.2164319032708894,Yes
Graduate School,Divorced,M,50.0,6.0,Suburban,5.2877035303671684,38131.31284370161,Osaka,0.37763935775945984,Yes
College,Single,F,48.0,6.0,Urban,4.247479473744793,51573.3686094169,Osaka,0.007470724208378465,Yes
High School,Divorced,M,47.0,1.0,Suburban,4.336789213430814,49755.95473230047,Tokyo,,Yes
Graduate School,Married,M,58.0,4.0,Rural,4.88337868388245,57409.56648446533,Osaka,-0.5629931746261403,No
Graduate School,Married,M,54.0,6.0,Suburban,5.035080178546254,66465.90712371163,Kyoto,0.09376426162829742,No
High School,Single,F,47.0,5.0,Rural,4.228033815746986,59148.035239157,Tokyo,-0.5236156245886449,No
,Single,M,36.0,5.0,Suburban,4.932551778248242,51255.26065602371,Kyoto,-0.14379537667383674,Yes
Graduate School,Single,F,57.0,4.0,,8.804176251505513,37659.97976335652,Osaka,-0.6895017390286654,Yes
High School,Single,F,47.0,6.0,Urban,5.993733646523308,43526.81191132486,Tokyo,0.18918636465118785,Yes
High School,Married,F,24.0,3.0,Urban,5.689850613597232,62480.7296533895,Kyoto,0.13862647387775162,No
College,Divorced,M,66.0,5.0,Urban,3.5592113988760397,35507.22488681332,Osaka,-0.31889599559426407,Yes
High School,Divorced,M,58.0,4.0,Rural,6.824608536554638,42067.26395969984,Osaka,0.25873932313837955,Yes
Graduate School,Divorced,F,42.0,4.0,Suburban,5.4667297390462,63615.18678318634,Tokyo,0.7687542411905965,Yes
High School,Married,F,61.0,6.0,Suburban,5.63006866194505,47177.32911785047,Kyoto,0.30151749368059566,No
College,Single,F,42.0,3.0,Suburban,5.0658964193562,41502.81750135439,Tokyo,0.16148842305525818,Yes
Graduate School,Divorced,,52.0,5.0,Urban,6.0151582145772675,43830.97879213243,Tokyo,-0.20646369933917386,Yes
College,Single,F,44.0,5.0,Rural,4.909886349169158,52975.47291415366,Osaka,0.5117590693280896,Yes
Graduate School,Divorced,M,42.0,4.0,Urban,6.14269928408345,36582.08032893199,Tokyo,0.8712223264411317,Yes
Graduate School,Married,M,55.0,4.0,Urban,3.7066062022002337,30217.812918223324,Tokyo,0.5317734786835336,Yes
High School,Divorced,M,50.0,7.0,Suburban,6.175633477910805,,Osaka,0.08829436078594423,Yes
